search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Marca del celular,Tipo de funda
1, Mophie Funda Bateria Juice Pack Para iPhone 8/7 Plus Negro ,47.99,69.990,1,2,6,7.998,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-475910245-mophie-funda-bateria-juice-pack-para-iphone-87-plus-negro-_JM,NA,NA,NA,NA,NA,#475910245,Mophie,NA,NA
2, Tech 21 Funda Dura iPhone 8/7 Plus Evoke Transparente/azul ,23.99,NA,1,9,6,3.998,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-496719646-tech-21-funda-dura-iphone-87-plus-evoke-transparenteazul-_JM,NA,NA,NA,NA,NA,#496719646,Tech 21,Apple,Carcasa
3, Carcasas Colores iPhone Silicona 6/7/8/x/xs/xr/plus ,6.99,NA,89,49,12,582,NA,Envío a todo el país,NA,NA,5,5,https://perfil.mercadolibre.cl/BANANATIENDA,https://articulo.mercadolibre.cl/MLC-492059051-carcasas-colores-iphone-silicona-678xxsxrplus-_JM?searchVariation=39967227028,5,0,0,0,0,#492059051,Silicone,Apple,Carcasa
4, iPhone 5 5s 6 6s 7 8 Plus Carcasa 360 Slim Gkk | Kyrios ,6.99,NA,83,4,6,1.165,NA,Envío a todo el país,NA,NA,4.8,6,https://perfil.mercadolibre.cl/TIENDA+KYRIOS,https://articulo.mercadolibre.cl/MLC-473097419-iphone-5-5s-6-6s-7-8-plus-carcasa-360-slim-gkk-kyrios-_JM?searchVariation=41301697027,5,1,0,0,0,#473097419,GKK,Apple,Carcasa
5, Carcasa Rock Ultra Delgada iPhone 6/7/8/x/xs/plus ,8.99,NA,364,155,12,749,NA,Envío a todo el país,NA,NA,4.7,30,https://perfil.mercadolibre.cl/BANANATIENDA,https://articulo.mercadolibre.cl/MLC-452176797-carcasa-rock-ultra-delgada-iphone-678xxsplus-_JM,27,1,0,1,1,#452176797,Rock,Apple,Carcasa
6, Carcasas Apple Cuero iPhone 6 6 Plus 6s Plus 7 8 7 8 Plus ,7.99,NA,611,3,6,1.332,NA,Envío a todo el país,NA,NA,4.3,42,https://perfil.mercadolibre.cl/SMARTBUYCHILE,https://articulo.mercadolibre.cl/MLC-434288453-carcasas-apple-cuero-iphone-6-6-plus-6s-plus-7-8-7-8-plus-_JM?searchVariation=35810579020,26,8,4,3,1,#434288453,Apple,Apple,Carcasa
7, Carcasa Magnética iPhone 6 6s 6 Plus 7 8 8 Plus X | Digitek ,9.99,NA,31,69,6,1.665,NA,Envío a todo el país,NA,NA,4,1,https://perfil.mercadolibre.cl/DIGITEK.CL,https://articulo.mercadolibre.cl/MLC-489124640-carcasa-magnetica-iphone-6-6s-6-plus-7-8-8-plus-x-digitek-_JM,0,1,0,0,0,#489124640,NA,Apple,Carcasa
8, Apple iPhone Xr 64gb 4g Plus Banda28 Mica Funda -phone Store ,649.99,749.990,7,893,6,108.332,NA,Envío gratis a todo el país,NA,NA,4.8,18,https://perfil.mercadolibre.cl/PHONESTORE-RETAILCHILE,https://articulo.mercadolibre.cl/MLC-471445619-apple-iphone-xr-64gb-4g-plus-banda28-mica-funda-phone-store-_JM,15,3,0,0,0,#471445619,Apple,NA,NA
9, Power Case Bateria Externa Funda 5000mah iPhone 6 7 8 Plus ,14.99,NA,27,73,6,2.498,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TECNOPICADA,https://articulo.mercadolibre.cl/MLC-471415131-power-case-bateria-externa-funda-5000mah-iphone-6-7-8-plus-_JM,NA,NA,NA,NA,NA,#471415131,NA,NA,NA
10, Carcasa + Soporte Dragon Ball iPhone X 6 7 8 Plus Xs Max ,7.99,NA,18,4,12,666,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/COMERCIALIZADORA+REGALOCO,https://articulo.mercadolibre.cl/MLC-475108196-carcasa-soporte-dragon-ball-iphone-x-6-7-8-plus-xs-max-_JM,NA,NA,NA,NA,NA,#475108196,NA,Apple,Carcasa
11, Carcasa Logo Apple iPhone 7 Plus / 8 Plus + Lamina De Vidrio ,9.99,NA,13,37,12,832,NA,Envío a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/CARCASASPUNTOCL,https://articulo.mercadolibre.cl/MLC-477968233-carcasa-logo-apple-iphone-7-plus-8-plus-lamina-de-vidrio-_JM,1,0,0,0,0,#477968233,NA,Apple,Carcasa
12, Carcasa Original Ipaky 360º iPhone 8 Plus + Vidrio Templado ,13.99,NA,3011,4,6,2.332,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MONKEYCOLOR,https://articulo.mercadolibre.cl/MLC-451130493-carcasa-original-ipaky-360-iphone-8-plus-vidrio-templado-_JM,NA,NA,NA,NA,NA,#451130493,Genérico,Apple,Carcasa
13, Carcasa Love Mei iPhone 7 8 X Y 7 8 Plus - Tecnostrike ,20.99,22.990,332,6,6,3.498,NA,Envío gratis a todo el país,NA,NA,4.1,13,https://perfil.mercadolibre.cl/TECNOSTRIKE,https://articulo.mercadolibre.cl/MLC-435358128-carcasa-love-mei-iphone-7-8-x-y-7-8-plus-tecnostrike-_JM?searchVariation=41841315657,8,1,1,3,0,#435358128,LOVE MEI,Apple,Carcasa
14, 10 Carcasas Magnética iPhone 8 Plus Por Mayor ,69.99,NA,0,9,6,11.665,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/COMERCIALONLINE+EIRL,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=YQf9cPs2CFD9DCERgyhh7otSfkE6JP9lYQu51pnkyAmlmQOAVCcMGOQs3ckvaYc5kcP211i7uooh7r3Crj2zmIzBO7fxVoSUQn6yJ4StzVFwx%2F11H%2Bfo%2FvzZBAt6ZMiBcCpBOwjDhxpa2XNJaeNjGR0vdZI8ufzQvEn3S1ZKkRdUoQ0%2B8SJYpv45gpLvPKj12P019prVJgQ2GPMcA7p3OxfVU2tslulRAjrSOkw3wnPbnX3eH%2FDbZe17gmz8vfSUu45y7bCSd2XsDD6RY5vtN1KCfov%2FO1oynJJIzr78Qew5%2BleZoFZPdDVEFtXotxzeR%2B%2F07%2BLKy%2B7hiItQo9TZhvnNL8st84d3sdzPeBOUNAHLj%2Fi9RzAwGdt3xkoXsbnr9ynYJjh1T3Zy4iVFPrw%2F8QiNeDLceP9PsGGHO7Wpw2ru3cfe7RJXVtvwE21gn435S3CmeA9%2FHve1lHSNfUiv7%2B%2FVXutqeQ9tPUGcmtFVz5AvCvdaBScgnFozeopSfXuJAOaE26EKWfOPKOB9wGJOu8fMvYdrnOdZ91o7EupxAti2Iyn5lQK7qEl2z8bFWvHqYYxnErI8ehv6dVc%2FdJPQrpfXnn3N3UbloDwXgO%2FmdGqK54fpX9AHinbd8oG%2Fe16qOHFWbfcUo160W2VmsvIR7KjHtfNL79gDRN%2BjI%2FAEcrK%2BkZ0vWz5P%2FQ%2FYxeaGued0%2FGosjOqya5SKkvVBkCrpobVmhHI0eZvY%2BqmfVfavKQY19t2cXhCxRnRgH7q2rXudtp4WW1ntrT4KjS3TRse5s%2B2wPWkmGjQNrnaON5WDh10Hadx6QM3Knc5GJcPHPB9e%2Fqb4Y9xcQQap1vXhfztiD9NfauyjW%2BuB6OrWDFcz%2F6mRaPkSwwNr5Cra1VUQtolmXRS3K32bEY4uZMazQPZOgAmwTV98TtQWdS2klnXNYDYd1%2FmMTKEvo3bxcZosgCfDE4OFrA%2B5VIoW9VE88IQoYTWa8m7Rf0VR2EFd4NXJGj8j3ClHvfHmfwhb3i6ao6atq8QQ55o4ryEQQhA07lwXKOdYOUaqZl%2FOY0vqk%2BpoeEsS9hoYsAp610urRIvfNA19Q9wriWBMc9PVRfHMYBBgvah2NyrMg%2BvDxtLjSP9khOKpe9dOKmW3CFDgBBa7aD%2BE0dgj9i0Ca4NefMtQVswZt09%2BDc09u09Asrhu0TueBS%2B6oQ7swwTz7Oj7Y2icnEsb2PyO%2Fg8KoGEZ9J2snWGCdSqtUSlMVmw4c4KxzT%2F9eaLsDUzi5Ik1Sp91JgkplbKKOxSzJe03w3qhNhvp0dk%2B0N9J25XFEpTZiebism%2FqB%2BnBTsjaw1E0js01IYiPqSatL%2B%2BFDbOcj1lGsH%2F6HxQT94UgXhiOGY3J%2FUfa%2Fw5Km5HjeJhx8zlpCdpFnhx9Qs7zwYo8e0rV8Xuxl8rCLztfq6t2GoP2Op405a%2FjIN7virKTYvxYNkGzfsww4eei0md7ZtxVuP7B6ZDJ77GwUAKo0Ipvx8E3XVHmPd9Zy10ubyUxXyT%2FT2%2F3sw1bnJ1VO9%2FmJ%2BVJVReUa3XupxLSlHakLs%2FBqc6XJQ%3D%3D,NA,NA,NA,NA,NA,#471393023,NA,Samsung,Carcasa
15, Carcasa Transparente Reforzada Para iPhone 8 Plus Miaustore ,1.99,NA,26,9,12,166,NA,Envío a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/MIAUSTORE.CL,https://articulo.mercadolibre.cl/MLC-453525745-carcasa-transparente-reforzada-para-iphone-8-plus-miaustore-_JM,1,0,0,0,0,#453525745,NA,Apple,Carcasa
16, iPhone 7 / 8 / 7 Plus / 8 Plus Carcasa Magnética | Kyrios ,9.99,NA,35,2,12,832,NA,Envío a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/TIENDA+KYRIOS,https://articulo.mercadolibre.cl/MLC-470386540-iphone-7-8-7-plus-8-plus-carcasa-magnetica-kyrios-_JM?searchVariation=37721968573,1,0,0,0,0,#470386540,LUPHIE,Apple,Carcasa
17, Carcasa 360° iPhone 8 Plus 7 Plus + Lámina Negro 3 En 1 ,9.995,NA,37,2,6,1.666,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/ALPHATECHILE,https://articulo.mercadolibre.cl/MLC-452824745-carcasa-360-iphone-8-plus-7-plus-lamina-negro-3-en-1-_JM,1,0,0,0,0,#452824745,NA,Apple,Carcasa
18, Carcasas Colores iPhone Silicona 6/7/8/x/xs/xr/plus ,6.99,NA,89,205,12,582,NA,Envío a todo el país,NA,NA,5,5,https://perfil.mercadolibre.cl/BANANATIENDA,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=%2BX3hPQHtoFgDFmiiKSQ8mSeiqkPxt%2Fsice%2BSOgub9Xxq%2BErLH0Z4EXOr4A6uZaYqLstAhgKxx%2BEJV62gEQdbLDDP3Wz%2FN%2FdZP%2F9aXm8saPa3jIOegvHJquGANKsJJ6WUbklW8UxeqAPqZou0yIK7jbm%2FqItntHfZqCMNDuNwT9kEAPOpqQtept4SNgAaoAb0IQvlfDK%2FDu1fo93oZ6KEficLOpTrpSPNMMzgKztnHhOxBzWkVNJFYP0CL%2Ff0PqnjkAj1vRL5xuCzwNVlTxn1BsrAE9Lpad1ANinIoej8QuAbV1L2btogkeMJcaY%2F5hmHx6bi9Lfcc09NTQNHE5WfqS6CAfDnQcqUH5osao3X0usi0Py4L2QyJwDPhkZwsv%2BcSzj3wXGQKDXMyIEIJ%2Bwodmvn8U1qz1MQSxJMDr27TZGRN92JOhog0mpA5BhZBNVpbWnuNUcDfRfnD7fTpkCNIAvWvEl5cAKHzhYZyPTf32FrzVeHCBSePFoUfAI4RbLJw4aO6Dxt%2BfW4G9EoyC9ycu0bJe9umWa40jUX1eK7cpUe9m12eEgJyPgJXG0ybzOy8MannhgkQdVXzvskaElrFyzAsqtsXECpptxXHtQNBqYxTpllePeWh4rcMAPeUjwYLW5sh%2FgBNTuKMsD%2BUv%2FZZU5W5tN0bYVYDQC8G73tOITxlNg7sYGf4HgAEM90H54w8OR6dMY%2BpYCmGshPhBdvisxuz2dM1ThLW4GMheEpsKkuhT%2FFmnHUlIOilVGX2Knb2gSW4%2FPA2S3t5IhQ9rPse7hOPD%2BD61Ix%2BwmIV%2FGgb6QxfdCnY5znw3Jubw5VU5buH9vwXRw6FJWQyt5EcGywhNBq0bwrMpmLOF%2B5e%2BL3b8EdXtv4pzgLyBFLuvu7eFTrmDaR5DcV6WApWNJiFigYDfqRpoXCrdo3Qje%2F6YyVH12uj4qttoNWVqLIRZ1SdhNc0wYs1e3X%2FgFnfzvGY854%2FFAER%2B%2BAKmB5JdteuVXmCC%2FHs6bqAGAKh5btcBADoxDycmRnThbzwZOhmPjcxxEJm8enQzHSz7l12TwNNdDZWbgWe54%2BfWAwrcv6azQfolUZ5s484tvo%2FHspahDDqwybuAO4ppTxh078TN%2Bxh4n0FVC5f4%2Bl4hO4sc9nd%2FLiIstt2u%2B2Vx6GjkIJIRVXEVU4VPtt7x0b4coek2GoVik5WjndDzivbsoRtIiIIg1r%2FzAn966xkgE9gc6taxjckIjlbld%2Fa2vAXFWdzD7LYBnlfzRdaUaw6EZQ%2BULGCaK462%2FmA3wChI7X1%2B%2FFHDADyt8FE6%2Bbkov5nK06bnY1cHGsV8G2dBZRi%2FwNg5rCp1f9Qgxoy2J%2FR8G35Jys49BRsUMSpz10maJfBwQ1q4EQvKPFsIinsJeAF7KsMs1CT50MF2FcrrdZyMV4e0zl%2ByuMFp0teBgRXdXdQ8G%2FfFrbLft8OjaU4EZcDZM7Zbaox6cGIR68j5%2BfsXFNttbBcG1UzQMepVyRszbm2EVBeSUqwNJheabj%2B33cANsGErCoyph%2BVqzX0b%2Fr4An1YiD2OkQpiaLD9hQahlQRaA%3D%3D,5,0,0,0,0,#492059051,Silicone,Apple,Carcasa
19, Carcasa 360° iPhone 8 7 Plus + Vidrio Templado Rojo 3 En 1 ,9.995,NA,11,5,6,1.666,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/ALPHATECHILE,https://articulo.mercadolibre.cl/MLC-452825550-carcasa-360-iphone-8-7-plus-vidrio-templado-rojo-3-en-1-_JM,NA,NA,NA,NA,NA,#452825550,NA,Apple,Carcasa
20," Carcasa Antigolpes Metal R-just Classic iPhone Xr,7y8plus ",19.99,NA,8,4,12,1.666,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/ARAGUISS,https://articulo.mercadolibre.cl/MLC-489269436-carcasa-antigolpes-metal-r-just-classic-iphone-xr7y8plus-_JM,NA,NA,NA,NA,NA,#489269436,r-just,Apple,Carcasa
21, iPhone 7 / 8 / Plus Carcasa Silicona Platered Esr | Kyrios ,7.99,NA,9,4,12,666,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TIENDA+KYRIOS,https://articulo.mercadolibre.cl/MLC-448592292-iphone-7-8-plus-carcasa-silicona-platered-esr-kyrios-_JM?searchVariation=41543798622,NA,NA,NA,NA,NA,#448592292,ESR,Apple,Carcasa
22, iPhone 7 / 8 / Plus Carcasa Silicona Brillos Esr | Kyrios ,8.99,NA,13,1,12,749,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TIENDA+KYRIOS,https://articulo.mercadolibre.cl/MLC-446510146-iphone-7-8-plus-carcasa-silicona-brillos-esr-kyrios-_JM?searchVariation=37740180343,NA,NA,NA,NA,NA,#446510146,ESR,Apple,Carcasa
23, Apple iPhone 7/8 Plus Tpu Premium Nillkin - Webphone ,7.99,NA,6,2,12,666,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/WEBPHONESPA,https://articulo.mercadolibre.cl/MLC-468866299-apple-iphone-78-plus-tpu-premium-nillkin-webphone-_JM,NA,NA,NA,NA,NA,#468866299,Nillkin,Apple,Carcasa
24, Carcasa Cuero Hanman Billetera iPhone 6 7 8 / Plus + Colores ,15.99,NA,45,123,12,1.332,NA,Envío a todo el país,NA,NA,4.4,5,https://perfil.mercadolibre.cl/SMARTBUYCHILE,https://articulo.mercadolibre.cl/MLC-448901342-carcasa-cuero-hanman-billetera-iphone-6-7-8-plus-colores-_JM?searchVariation=35452869692,4,0,0,1,0,#448901342,Hanman,Apple,Carcasa
25, iPhone 6 / 7 / 8 / Plus Carcasa Magnética Premium | Kyrios ,11.99,NA,12,14,12,999,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TIENDA+KYRIOS,https://articulo.mercadolibre.cl/MLC-464042219-iphone-6-7-8-plus-carcasa-magnetica-premium-kyrios-_JM?searchVariation=41533249095,NA,NA,NA,NA,NA,#464042219,BOTYE,Apple,Carcasa
26," Carcasa Magnética iPhone X, Xs, Xs Max, Xr + Lamina Vidrio ",11.99,NA,6,506,6,1.998,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/PALMCITO,https://articulo.mercadolibre.cl/MLC-497546294-carcasa-magnetica-iphone-x-xs-xs-max-xr-lamina-vidrio-_JM?searchVariation=40536215842,NA,NA,NA,NA,NA,#497546294,Genérico,Apple,Carcasa
27, Carcasa Tpu Militar Táctica Camuflaje iPhone X 6 7 8 Plus ,5.99,NA,5,9,12,499,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/COMERCIALIZADORA+REGALOCO,https://articulo.mercadolibre.cl/MLC-474169702-carcasa-tpu-militar-tactica-camuflaje-iphone-x-6-7-8-plus-_JM,NA,NA,NA,NA,NA,#474169702,NA,Apple,Carcasa
28, Carcasa iPhone 7/8 Plus 360° Vidrio Templado Negro Baseus ,9.99,NA,4,3,12,832,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/BERRIAKLTDA,https://articulo.mercadolibre.cl/MLC-482951470-carcasa-iphone-78-plus-360-vidrio-templado-negro-baseus-_JM,NA,NA,NA,NA,NA,#482951470,Baseus,Apple,Carcasa
29, Carcasa Supreme iPhone 6/6 Plus/7/8/ 7plus / 8 Plus /x ,6,NA,5,15,12,500,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/STMA9082314,https://articulo.mercadolibre.cl/MLC-489419502-carcasa-supreme-iphone-66-plus78-7plus-8-plus-x-_JM,NA,NA,NA,NA,NA,#489419502,NA,Apple,Carcasa
30, Funda Brazo Celular Teléfono Brazalete Iphonegalaxy S8 Plus ,1.99,2.786,20,80,12,166,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/FORCECL,https://articulo.mercadolibre.cl/MLC-458986521-funda-brazo-celular-telefono-brazalete-iphonegalaxy-s8-plus-_JM,NA,NA,NA,NA,NA,#458986521,NA,Apple,Brazalete
