search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Tipos de cabezales,Cantidad de cabezales,Sistema de afeitado,Tipo de alimentación,Tiempo de funcionamiento,Tiempo de carga,Peso
1," Terminadora Barba Y Cortadora Vello Nasal, Oido Wahl Plata ",399,NA,1666,89,12 meses,39.42,NA,Envío gratis,NA,NA,4.5,64,https://perfil.mercadolibre.com.mx/CARAS1990?brandId=1233,https://articulo.mercadolibre.com.mx/MLM-604529806-terminadora-barba-y-cortadora-vello-nasal-oido-wahl-plata-_JM,48,8,3,1,4,#604529806,Wahl,Beard Home,5537-420,Plano,4,Láminas,NA,NA,NA,NA
2, Rasuradora Taurus Minos 2.5w Recargable Navaja De Acero ,248,284,1059,39,12 meses,24.58,NA,Envío gratis,NA,NA,4.2,65,https://perfil.mercadolibre.com.mx/LIFTORTIENDAOFICIAL?brandId=1084,https://articulo.mercadolibre.com.mx/MLM-591638162-rasuradora-taurus-minos-25w-recargable-navaja-de-acero-_JM,37,14,9,2,3,#591638162,Taurus,Minos,Taurus Minos,Planos,1,Láminas,Recargable,45,45 m,0.14 kg
3, Maquina Para Rasurar Rasuradora Recargable 14 Pzs Wahl Full ,244,299,415,6,18 meses,13.61,NA,Envío a todo el país,NA,NA,5,2,https://perfil.mercadolibre.com.mx/PSACOMPUTOYPAPELERIA,https://articulo.mercadolibre.com.mx/MLM-679723274-maquina-para-rasurar-rasuradora-recargable-14-pzs-wahl-full-_JM,2,0,0,0,0,#679723274,Wahl,Higiene Personal,9685,Removibles,NA,NA,Recargable,NA,NA,NA
4, Máquina Philips Norelco Barba Nariz Y Oídos Envío Gratuito ,599,NA,1543,47,18 meses,33.28,NA,Envío gratis,NA,NA,4.8,95,https://perfil.mercadolibre.com.mx/GIMPORTACIONESMX,https://articulo.mercadolibre.com.mx/MLM-596508768-maquina-philips-norelco-barba-nariz-y-oidos-envio-gratuito-_JM,80,12,2,1,0,#596508768,Philips,Series 3000,Multigroom 3000,Removible,3,Láminas,Recargable,60 m,NA,NA
5, Rasuradora Recargable Wahl 14pzs Recontruida De Fabrica ,244,442,465,291,18 meses,13.58,NA,Envío a todo el país,NA,NA,4.4,15,https://perfil.mercadolibre.com.mx/TC+MEMORY.,https://articulo.mercadolibre.com.mx/MLM-669844256-rasuradora-recargable-wahl-14pzs-recontruida-de-fabrica-_JM,9,3,3,0,0,#669844256,Wahl,rasuradora,All-In-One,Removibles,NA,NA,Recargable,40 minutos,NA,907 g
6, Rasuradora Eléctrica Qp2510/10 + Repuesto Cuchilla Oneblade ,279,NA,273,NA,12 meses,27.56,NA,Envío gratis,NA,NA,4.4,9,https://perfil.mercadolibre.com.mx/IMPORTACIONES+ACAPULCO,https://articulo.mercadolibre.com.mx/MLM-657933483-rasuradora-recargable-portatil-4-cabezales-pelo-y-barba-kit-_JM,6,2,0,1,0,#657933483,etceo,rasuradora,etceo,Planos,4,Láminas,Recargable,40 min,8 h,NA
7, Rasuradora Recargable Portatil 4 Cabezales Pelo Y Barba Kit ,995,NA,104,11,12 meses,98.30,NA,Envío gratis,NA,NA,5,1,https://perfil.mercadolibre.com.mx/DIRECTISHOP+OFICIAL,https://articulo.mercadolibre.com.mx/MLM-644599481-rasuradora-trimmer-solo-micro-touch-barba-bigote-afeitadora-_JM,1,0,0,0,0,#644599481,MicroTouch,Trims,Microtouch Solo,Pivotantes,1,Láminas,Recargable,45,9 h,NA
8, Rasuradora Profesional Wahl Five Stars Recarg. Shaver Shaper ,244,442,465,291,18 meses,13.58,NA,Envío a todo el país,NA,NA,4.4,15,https://perfil.mercadolibre.com.mx/TC+MEMORY.,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=K4dPv7DpurkgAknlyensFL5btwHP2SIUDFk8w3%2BwGXXK1pE7rORLZ5dhixAIrD7StbnW8kO2fGEDb3jt%2FVoRkY8xo%2BfU4LVgtiPH0C4wHf2M1UC7p8qYqrFg10Ly%2BZ0Fd7vx7gQd4WveFrU9h8F8GTID5FBAtOGar8Hnk4mWnEcz5xfmIj01IIvWUHqa%2F3jwbOFbLitu9oXvIabopLfi4naoEmFw6NU8e9Ao61WTzG6yPiStNGis9NS6hfp9w5g6BoWDyJKNq6k0p3BtJayAQ2A4RLZuJ79bSEHbLcos4xgQW9FgxeSRviNkkqb6UcYA0LnSRWKMNKiYfytKjTKysTRqAVjZQ2jDIrNuiQZt1oFp%2FRmt64tbPZUD6mpQjTwciZhrnzHvmWicgB8UyR1mOiIaaWwsOGtUON6RR75wpEADeTJbxBgt0Ny4LvTggRIkm2BaVvUwAlfgEJoWfMiVgBqkDQc%2FkuHurl%2BlhinoNQ5VfaXRgwsVf%2FdLb%2F4bV8fdEkbG5ruaJc6SHNHxrwkSSQV1lDxd5tSbM8wrTG%2BSGcC41Ny98%2Fdg1iu8hG66KZFpEh0mPZyFLfCBjpZmcG0o2DTaSZFvCp963UNeVJN8XAwYh7QSaObcs1HLYRylH032lTCErnL%2Bi%2BBX7%2BwBYUlrF4I%2B39f1mfxyPrXEvgoyvFAyD%2BYxMTbEsP2r9d0HHTTrSTiW56FWiVj8HL8aFTkGbOhwsnbCeBPfb2p0YGX%2Btf%2BtRoI4BB1WdlLfcWVFT45bc%2FSyBcAqM%2FZzeKRtStZgto40PTwb1FK27nVI6OYNbRbeI6rSdIOSgyyBqiJ3%2FWu0k2N9Y51ZPv2s6Cumnfgmq7drRIuvNdEBfUNLYhwJsahe3YkBiSoSekkf75L2aUYt2amb8thgzwg21z4biofZKDsOuDXP9qej%2BMcks%2BWj0zdR34r1EjAu8hQTlNE6ZVnb3N683nRtKIKuzQ%2F1Fj5Jon2lOJ7zZYojqIzFR00lzVdyyPRMTVewfipJ%2BnCoaO40xy2FJ6AEPC8ydoUsCMq%2BivlS3XoQfNyXAztCSeSoOo5zxQRUP2KQZW1qkrsnZ6B2pan9uWMjAVy0IxhWh9U2wOiGR2YYXFhlk9%2Bl%2FbaUM%2BvVnJh2AGnNuaHZ23Ra6JIJu9gGQnCa6nFNk8nDoA4%2Bw5SDdmlbI9mI7RXBOlbrnsCMB5jKpoH2rRQ2GkjTgL0naBJEB%2FgMesNRSgBFbcnntopNTlx1QmTjNjseVLc9FbF00urSRKuYANAiJ8H7oZBwxWFWkS4APmG1BcH9DJfH8%2Bf5TVvj%2FCRwZ%2Fh0rEDWYTSfif7oS81SKNF0VwoCG91QtSORcD1Fsa6%2Bb5tPSx7WnArZcD10sbeoCUdppoKtDW7MXGa7UgH2ZL6Od2TyM4DTEBNg6%2BpMgUTPe48bNEDvnbnHPhOAXjtwn%2FbaAQZfHCFmzQ7wVTvHq30TR9UpAuBqxMs%2BRq0nYWIZLQxkf0eWFPrUKePXWHLzyZUPKbCA8CHj526tnfk0k2r%2Ft%2Bwal7o1V%2FIkhDMHfD8u9t21AlIOl41K5Uj7XChxW26%2FOMoAzRg6AumTQEW28FZL33EeCkIC41g6Lp4%2FPe0KS6DmnVfwW78kFH1X2DPZ6QX8ZDMAgyGYjVJZOKf3guHI7hssngiEHTex93e1Ig7O0xIqle%2FZ%2BIJFkQDftNK0nfbei7A62JIChjxuKCKAMQLmag5KiEbkOIJnfXCNz3YwVqn1WJHvUxooSHxY4GYuLVFIg1Bb3AuVkLl%2Fm%2FYlGZn9ICxxaupeiNro0Mu89u0cCCe4tg3wRdrahIGCTMxQCJTTKwE%3D,9,3,3,0,0,#669844256,Wahl,rasuradora,All-In-One,Removibles,NA,NA,Recargable,40 minutos,NA,907 g
9, Afeitadora Rasuradora Philips Norelco Edición Esp Star Wars ,599,799,730,300,18 meses,33.28,NA,Envío gratis,NA,NA,4.9,20,https://perfil.mercadolibre.com.mx/IBUSHAK+OFICIALES?brandId=270,https://articulo.mercadolibre.com.mx/MLM-661343849-rasuradora-electrica-qp251010-repuesto-cuchilla-oneblade-_JM,17,2,0,0,0,#661343849,Philips,OneBlade,QP2510/10,Planos,1,Láminas,Recargable,30 minutos,8 h,NA
10, Afeitadora Andis Profil Lithium Titanium Foil Recarga Fade ,780,NA,129,36,12 meses,77.06,NA,Envío gratis,NA,NA,4.7,12,https://perfil.mercadolibre.com.mx/CARAS1990?brandId=1233,https://articulo.mercadolibre.com.mx/MLM-652811828-afeitadora-rasuradora-philips-norelco-edicion-esp-star-wars-_JM,9,1,1,0,0,#652811828,Philips,Norelco / Star Wars,SW175,Giratorios,2,Rotativo,Recargable,40m,1 h,NA
11, Rasuradora Cortadora Barba Bigote Remington Maquina ,349,NA,116,181,18 meses,19.39,NA,Envío,NA,NA,4.7,3,https://perfil.mercadolibre.com.mx/ELECTRONICS.MEXICO,https://articulo.mercadolibre.com.mx/MLM-666698396-rasuradora-afeitadora-wahl-recargable-all-in-one-14pzs-nueva-_JM,2,1,0,0,0,#666698396,Wahl,all in one,9685-200,Nariz y Oído Trimmer,NA,NA,Recargable,80 m,NA,NA
12, Rasuradora Multi-usos 8 En 1 Timco X-48 ,549,790,948,50,12 meses,54.24,NA,Envío gratis a todo el país,NA,NA,4.5,46,https://perfil.mercadolibre.com.mx/MERCADAZOOFICIALES?brandId=880,https://articulo.mercadolibre.com.mx/MLM-612753157-rasuradora-electrica-remington-cortadora-cabello-vello-9pzas-_JM,33,8,0,2,2,#612753157,Remington,REMINGTON,PG6020B (110) F,"Cortador para detalles, Peine con 8 ajustes, 3 peines para barba, Cortador curvo, Cortador de vellos nariz y orejas, Mini afeitadora, Base de Almacenaje",4,Láminas,Eléctrica,50 MINUTOS,4 h,386 g
