search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potencia de salida (RMS),Peso,Conectores de entrada,Tipos de filtros del parlante
1,"Parlante Karaoke Bluetooth Fiddler Altavoz 6,5'' Panel Led",19.99,29.99,235,38,6,3.332,NA,Envío gratis a todo el país,NA,NA,4.4,12,https://perfil.mercadolibre.cl/MACROTEL+TO?brandId=335,https://articulo.mercadolibre.cl/MLC-462984847-parlante-karaoke-bluetooth-fiddler-altavoz-65-panel-led-_JM,8,3,0,0,1,#462984847,Fiddler,FD-PKBT61,10 W,2.8 kg,NA,NA
2,Parlante Karaoke Bluetooth Fiddler Doble Altavoz + Micrófono,29.99,49.99,306,15,6,4.998,NA,Envío gratis a todo el país,NA,NA,3.3,27,https://perfil.mercadolibre.cl/MACROTEL+TO?brandId=335,https://articulo.mercadolibre.cl/MLC-461986096-parlante-karaoke-bluetooth-fiddler-doble-altavoz-microfono-_JM,9,6,4,1,7,#461986096,Fiddler,FD-PKBTD6,10 W,NA,Auxiliar,NA
3,Jbl Go 2 Bluetooth Portátil Resistente Al Agua Loi Chile,21.89,29.99,199,13,6,3.648,NA,Envío gratis a todo el país,NA,NA,4.8,45,https://perfil.mercadolibre.cl/LOI+CHILE,https://articulo.mercadolibre.cl/MLC-466753692-jbl-go-2-bluetooth-portatil-resistente-al-agua-loi-chile-_JM,38,6,0,1,0,#466753692,JBL,GO 2,3 W,NA,NA,Activo
4,Parlante Bluetooth Harman Kardon Onyx Studio 4 Onlineclub,99.99,129.99,341,18,6,16.665,NA,Envío gratis a todo el país,NA,NA,5,42,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-448975270-parlante-bluetooth-harman-kardon-onyx-studio-4-onlineclub-_JM,41,0,1,0,0,#448975270,Harman Kardon,Onyx Studio 4,60 W,NA,NA,Activo
5,Amazon Echo Dot 3 Generación Alexa Español Latino Original,36.98,69.99,112,30,6,6.163,NA,Envío gratis a todo el país,NA,NA,5,3,https://perfil.mercadolibre.cl/LOI+CHILE,https://articulo.mercadolibre.cl/MLC-482258081-amazon-echo-dot-3-generacion-alexa-espanol-latino-original-_JM,3,0,0,0,0,#482258081,Amazon,NA,NA,NA,NA,NA
6,Jbl Go2 Parlante Portátil Bluetooth Inalámbrico Negro,22.49,29.99,296,74,6,3.748,NA,Envío gratis a todo el país,NA,NA,4.8,45,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-470706708-jbl-go2-parlante-portatil-bluetooth-inalambrico-negro-_JM,38,6,0,1,0,#470706708,JBL,GO 2,3 W,184 g,NA,Activo
7,Parlantes Cajas Activas Bluetooth Tws Fiddler Con Trípode,59.99,99.99,24,4,6,9.998,NA,Envío gratis a todo el país,NA,NA,3,2,https://perfil.mercadolibre.cl/MACROTEL+TO?brandId=335,https://articulo.mercadolibre.cl/MLC-486139169-parlantes-cajas-activas-bluetooth-tws-fiddler-con-tripode-_JM,0,0,2,0,0,#486139169,Fiddler,FD-PKBTDUAL8,NA,NA,NA,NA
8,Barra De Sonido Soundbar Bluetooth Sensewave Master G,12.99,16.99,151,41,6,2.165,NA,Envío a todo el país,NA,NA,3.4,9,https://perfil.mercadolibre.cl/PROGLOBALCHILE,https://articulo.mercadolibre.cl/MLC-456354330-barra-de-sonido-soundbar-bluetooth-sensewave-master-g-_JM,4,1,1,1,2,#456354330,Master-G,Soundbar MGSB110,NA,NA,NA,NA
9,Parlante Ducha Bluetooth Portátil Agua Piscina 71603 Gocy,2.89,NA,512,97884,6,482,NA,Envío a todo el país,NA,NA,5,2,https://perfil.mercadolibre.cl/GOCYEXPRESS,https://articulo.mercadolibre.cl/MLC-439441873-parlante-ducha-bluetooth-portatil-agua-piscina-71603-gocy-_JM,2,0,0,0,0,#439441873,Gocy,71603,3 W,NA,NA,NA
10,Jbl Flip 4 Parlante Bluetooth - Inetshop,59.89,99.99,511,5,6,9.982,NA,Envío gratis a todo el país,NA,NA,4.7,85,https://perfil.mercadolibre.cl/INETSHOP_2011,https://articulo.mercadolibre.cl/MLC-457315838-jbl-flip-4-parlante-bluetooth-inetshop-_JM,70,11,2,1,1,#457315838,JBL,Flip 4,16 W,515 g,NA,Activo
11,Ld Systems Maui5 - Line Array Audio Portatil Activo Parlante,439,NA,4,10,12,36.583,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/XPRO.STORE,https://articulo.mercadolibre.cl/MLC-449031045-ld-systems-maui5-line-array-audio-portatil-activo-parlante-_JM,NA,NA,NA,NA,NA,#449031045,LD Systems,MAUI 5,NA,NA,NA,NA
12,Parlante Bluetooth Karaoke Mlab 60w 8 + 2 Microfonos,39.99,NA,197,44,6,6.665,NA,Envío gratis a todo el país,NA,NA,4.9,11,https://perfil.mercadolibre.cl/MMSMIKE1,https://articulo.mercadolibre.cl/MLC-465278552-parlante-bluetooth-karaoke-mlab-60w-8-2-microfonos-_JM,10,1,0,0,0,#465278552,NA,NA,NA,5.8 kg,NA,NA
13,Parlante Jbl Charge 4 Bluetooth Portatil Cargador Waterproof,119.99,159.99,38,395,12,9.999,NA,Envío gratis a todo el país,NA,NA,5,2,https://perfil.mercadolibre.cl/MR.CLICK+CHILE,https://articulo.mercadolibre.cl/MLC-481530674-parlante-jbl-charge-4-bluetooth-portatil-cargador-waterproof-_JM,2,0,0,0,0,#481530674,JBL,Charge 4,30 W,0.96 kg,NA,Activo
14,Parlante Bluetooth Harman Kardon Onyx Studio 4 Onlineclub,99.99,129.99,341,18,6,16.665,NA,Envío gratis a todo el país,NA,NA,5,42,https://perfil.mercadolibre.cl/ONLINECLUB,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=oHsgRNDSqC5J3Lkw9hoJ2tEkSSRwZhgNvtnhZjvsosYScZzgISHvh4fT5pNLJPtrftfvSUjfIF7yq4ne98PYqkQctUaU0%2BtJ7%2Bv42USOc97xXzMsDDNLCa8QWEqhmSlSGTL8pzFHXOmGDtCq3w9tDSDKKmJq3MnW4Cu0QpZKIsGbGaaeWmHOnFzLz6%2BXtun2Q7ddleKE2cAjNyQ7EepG84%2BsqaBp%2B%2BKY9W8kt7ESufPdUTJDNNHkK0rd9Q2JT73p7F2%2B955kTWA9TOTYOc05AJNrwGOfhhSTpA0wzq%2B%2FIMfw3Dvqug%2FfinO6EVuIOtyHC5ahMd5FgEYEw4eCUcgfUPWSqZRd1%2BmZR5tkHB%2B3LeKEaVJzcsI82DeqqzTDpC%2FEy7j4Baql1JXKiyIHxYysBc4NGsuNX51VmGVaRJxXtww7FCAGld%2FwYS9cPCqg%2BjsH5NHByYW78lESK088VlSKwNs%2BgiKHC0d%2BaFMjv%2Fvu450oz4qgv9IWBGA%2BXF%2BTdaJDYPvX%2FI4BT6gU3VmxAqIK7UF400LWvGqN%2Brj%2Fe5fMnRhKkXu8B0TtulnMuV1GWRN6bjm4o6FMnXIVgNAmEYEAS7o83ZdZAxX0TfMgyLWEQjqgSZDO7tctXhpGl0TYP9OO4daCkSfUFk1%2Fiy2J4kDCTl0vGHK4gPwBkbQCP%2F3YvEofeYh0jgvUOvipuok3KISPmC0T%2FEcRdOF9ehyo5bYrZnT5fn2MenN5X2r9%2Byr%2FCLsEaSz3wFrixsSfNpawqHUXgPmYeXZ6z3ITdcTM9xs3%2FkVDkA7V0zzyty5%2Bce7dz8vrZ97CWTez2MYIWOaRdoTOsc%2FsoIuLzzYGtY39%2Fmmi3VVWGFveR46%2BHuolHKNoOb%2B%2BQpLJ9LGRpuWrstZB0DyXjn8%2FYpoXMW0yq4hPhQSftDm0HOv4tpChjwKdMNwtNbZtgcoiLWohsrnLOx2P85lnFz4jLUcwMk5U%2Fkx%2Biv2DZotsVt8A%2Bb5fxmJyltcievpiOS%2BArR4dJlredGluo8g%2FAhFvDw%2BHY%2FxFeLQXXXYqbz5IglDA%2BW7FDoN22LRCEru%2BO65ZC1Z6RrGBMIpOZ7aftWgtCTw9CId8RIrIlFcKFZE9Kxk%2BnhCSjWOZ2ai%2Bj4WByrVwiTd10uK5kRFQwAuMCLRDSrVFc9WB97nYCTxdUfX85afEyW%2FVsEea%2Fc%2BPRJqnoGKOQWUl9tk6USLjlZlhP%2BCwcP4yS1CHIpEUSJiNfgggjpPihXZh6FaK%2FsqUrGT8u%2FdzQhGrdHwcZAqJU0ko1gWH96GfTPuskSnlmusZLTnXlNIoT9Svd93ZBTtcIFzJbN%2Fe6bEjB3pz4sMOrgGLE%2FPMzoOlNKsjv5OpiHcI%2BcXXOPGmazX1A109Yj4NHIDd1Z2Onnu8V2VGTD8kOI3uRFHvVFrGLELeoQ9go%2FX%2F5tBJLCHBAQelZqKOtRPwhQGUghq5lO30dZzKBDONwqVplJGaZSPo1e39T%2FFqY8NO9zZQgMBvwE6DOzf2%2F4JkQMx3V2T%2FJtmTh33cQtG%2BIqdcQETiIngSt%2Bjlgw1eb%2BjRyTvqINXUsERvxg%2FfYQ%3D%3D,41,0,1,0,0,#448975270,Harman Kardon,Onyx Studio 4,60 W,NA,NA,Activo
15,Parlante Portátil Bluetooth Bose Soundlink Revolve,199.99,NA,40,5,6,33.332,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=392,https://articulo.mercadolibre.cl/MLC-471014399-parlante-portatil-bluetooth-bose-soundlink-revolve-_JM,NA,NA,NA,NA,NA,#471014399,Bose,Revolve,NA,NA,Auxiliar,Activo
16,Parlante Bluetooth Inalambrico Impermeable Ducha Agua,3.99,4.99,674,319,6,665,NA,Envío a todo el país,NA,NA,4.3,7,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-434759217-parlante-bluetooth-inalambrico-impermeable-ducha-agua-_JM,4,1,2,0,0,#434759217,NA,NA,NA,NA,NA,NA
17,Micrófono Karaoke Bluetooth Con Parlantes Inalámbrico Usb,5.99,6.99,108,192,12,499,NA,Envío a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/HDFACTORY,https://articulo.mercadolibre.cl/MLC-457050245-microfono-karaoke-bluetooth-con-parlantes-inalambrico-usb-_JM,1,0,0,0,0,#457050245,NA,NA,NA,NA,NA,NA
18,Parlante Karaoke Bluetooth Fiddler Doble Altavoz + Micrófono,29.99,49.99,306,15,6,4.998,NA,Envío gratis a todo el país,NA,NA,3.3,27,https://perfil.mercadolibre.cl/MACROTEL+TO?brandId=335,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=Lvgy2Vr2F0ElJaN0%2FNaFgSODnIeJCvFFYCHPcC44awQNBB7bO5rpQ%2FjK3zh%2Fy0BNbfHp9R5XVNxhg2KSyht71tf29aHJ1GYa8iqAJbD3ejkT6zi3PRXX2lStGimMdcyKDJAUBLz1DXN8ZFHcp%2BuiaNcWr%2FJzkP3JZD9%2BcxAh%2BLwVbyjXvNs4lPjlNvIvBvX0xNw7weT8%2B5vYSwHlBUCFG6Qc8VejGZvSPQDbMybgPDKcoXF%2B1687Gng3ICWsLdt7YiwBHQKQVDbvAPpl1cRCYzDmt3CRnZRefhLlabh%2Bv7SjoTK421VKDN1BUD01m3zxAHC%2BjhaUO6P87i7fzRRc1uHtlgnYfoHsJ7OBPV6v1ESxFRXsk4%2FuvwWvVuIswDnG%2Bs%2FY2Bms91AoeYLIsNPBEjrIiPcyMye1zyoqqmOzK5GKKGRV4%2BBTVepn1i0XR5fxX0JMgrEhTxHSkqUZsIkxvrW8RcjTRdq1i3YBAvdBD9g5o%2BHJeW3vE%2Bm6AgolVRogdNhjGyD%2F3sqcH1Y4Ct7EQx2t76GYaQ7cr1gfOk%2FDAL21y5QwReQ5ClLUwduH8O%2BLcuYgu%2B%2FhaIGucxcplJ%2FwaEMpVgA281yqtnlBU8EtNQzPsn9%2FZT%2B%2BRSLSuBDznzE566RD1%2Fci5XJUwWysDC8Whlnsslgu4PFmrE8Qt7Qx0qfMRVeSIgI8pRQKVDTrrZKXoiFGWIQOPDsRrhHo1p9aWKQp6fgZGYk7n1B6uuYOdZz34CIcIdRVbD6ubkYBGYKD6%2FwnjKWIloNlL6aYim1Umn6QPGVe9Sn3KB5J3%2FlEwn%2FO3aEwTS78wOXvClunQVhOWQddA8%2Bf5F7RrrBln2%2F9h0z4%2F4tOHDH0N9XIZsuNan6Zmht7EXP%2BGZfJ5XTr9h21QCWwgFsJypVWt5Nr%2BVXAuIlOlEKCQSFwucW6A2%2F1jnBqOEruzpSp%2BlfiFdWFeFo4uER66dHP1N07Ga%2F3CMZbd0%2BI1Euj85UVPJWW%2BotVX77kRjeTGo6D823eXdo%2BfrJM0DF2ci6B6KuP8qAbZrCgbkrfkDF9fAabP1YMuYSW1y0WzIQ1k8NKeiIvb%2Fz0KBTS9q8QnYcXvEWoZe21QtrZG0ekhvcPKRBMUk7X%2BVd0tqHDKF69WBtIiU9uEYh1ac9GE60D8HKJt2xwXxK8JjAH43oQNUWAazp4xnAOjyw9C%2Bsv1mqYGWX223elPQbUmrCLP58ZCjXm6uJ%2Ff%2FPBoNUUWopQVHJw5EeqsSy%2BmF2hX9SDKZPJ7HGLi0L3tdX%2BEbpfU3VcPN7cKmwAEVG9JfYxgkvFEQWVz9Xb1Uj0R9fE%2BPTGS1PqaCZ9kMO1Vf%2B2Rohvg03hIh3bTX2L5gOlnCUKtT6Vy2eGASzpyImbnwWb8lt6r9EvcM3dQPb9V0S7hJDwazEFkHKKct2%2FSsG3%2F5a1Ovcv%2FhB2f89XDHiYoSMb5uBVKA6dLesJky0YBSrAWHTe4JOLcc5eUvv7HKKL4d6hfJWx9kJNPTXnmp2ejdSHSuvPCGcneHYf6yIeihGEeepUepnMR0c9fnuaDaSPcYme03FXXnItmFl%2B%2BXIIahs%3D,9,6,4,1,7,#461986096,Fiddler,FD-PKBTD6,10 W,NA,Auxiliar,NA
19,Sony Parlante Portátil Extra Bass Con Bluetooth Xb41 Azul,119.99,149.99,102,11,12,9.999,NA,Envío gratis a todo el país,NA,NA,5,6,https://perfil.mercadolibre.cl/-SONY+CHILE?brandId=32,https://articulo.mercadolibre.cl/MLC-463377316-sony-parlante-portatil-extra-bass-con-bluetooth-xb41-azul-_JM,6,0,0,0,0,#463377316,Sony,NA,NA,1500 g,USB,NA
20,Mini Parlante Bluetooth Usb Sd Con Luces Led,2.59,3.99,66,34,12,216,NA,Envío a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/OFERTABKNCL,https://articulo.mercadolibre.cl/MLC-486318322-mini-parlante-bluetooth-usb-sd-con-luces-led-_JM,1,0,0,0,0,#486318322,NA,NA,NA,NA,NA,NA
21,Parlante Bluetooth Soundcore Motion Q,31.99,49.99,97,8,6,5.332,NA,Envío gratis a todo el país,NA,NA,5,7,https://perfil.mercadolibre.cl/ANKERSTORE?brandId=188,https://articulo.mercadolibre.cl/MLC-467409330-parlante-bluetooth-soundcore-motion-q-_JM,7,0,0,0,0,#467409330,Anker,NA,NA,NA,Auxiliar,NA
22,Parlante Bluetooth Bose Soundtouch 20,339.99,NA,15,4,6,56.665,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=392,https://articulo.mercadolibre.cl/MLC-472179479-parlante-bluetooth-bose-soundtouch-20-_JM,1,0,0,0,0,#472179479,Bose,SoundTouch 20 Serie III,NA,NA,NA,NA
23,Parlante Marshall Portatil Stockwell Funda Negra - Marshall,149.99,239.99,23,4,6,24.998,NA,Envío gratis a todo el país,NA,NA,5,4,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=466,https://articulo.mercadolibre.cl/MLC-478509680-parlante-marshall-portatil-stockwell-funda-negra-marshall-_JM,4,0,0,0,0,#478509680,Marshall,Stockwell,27 W,1.2 kg,NA,Activo
24,Parlante Bluetooth Outdoor Powerbass3 10w Ipx6 Njoytech,19.99,24.99,100,100,12,1.666,NA,Envío gratis a todo el país,NA,NA,4.6,7,https://perfil.mercadolibre.cl/NJOYTECH+CHILE,https://articulo.mercadolibre.cl/MLC-464586508-parlante-bluetooth-outdoor-powerbass3-10w-ipx6-njoytech-_JM,5,1,1,0,0,#464586508,NA,NA,NA,287 g,NA,NA
25,Mlab Parlante Karaoke Bluetooth Funky Disco + Micrófono,29.99,34.99,43,3,6,4.998,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-484827689-mlab-parlante-karaoke-bluetooth-funky-disco-microfono-_JM,1,0,0,0,0,#484827689,Mlab,Funky Disco + Micrófono,3000 W,NA,NA,No aplica
26,Pendrive Receptor Transmisor Bluetooth Usb Parlantes Auto,3.99,NA,1220,83,6,665,NA,Envío a todo el país,NA,NA,3.5,50,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-435146526-pendrive-receptor-transmisor-bluetooth-usb-parlantes-auto-_JM,24,6,3,6,11,#435146526,Importado,Pendrive,NA,NA,NA,NA
27,Home Theater Mp3 Bluetooth/fm/puerto Usb/ Sd Aiwa Awa-299bt,39.9,NA,6,4,12,3.325,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/PARO1305168,https://articulo.mercadolibre.cl/MLC-477322523-home-theater-mp3-bluetoothfmpuerto-usb-sd-aiwa-awa-299bt-_JM,NA,NA,NA,NA,NA,#477322523,Aiwa,NA,NA,NA,NA,NA
28,Sony Parlante Bluetooth Inalámbrico Portatil Srs-xb10 Rojo,32.99,NA,221,2,6,5.498,NA,Envío gratis a todo el país,NA,NA,4.6,15,https://perfil.mercadolibre.cl/-SONY+CHILE?brandId=32,https://articulo.mercadolibre.cl/MLC-448165798-sony-parlante-bluetooth-inalambrico-portatil-srs-xb10-rojo-_JM,11,2,0,1,0,#448165798,Sony,SRS-XB10,NA,260 g,NA,Activo
29,Jbl Flip 4 Negro Parlante Portátil Bluetooth Inalámbrico,64.99,79.99,29,2,6,10.832,NA,Envío gratis a todo el país,NA,NA,5,3,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-469200539-jbl-flip-4-negro-parlante-portatil-bluetooth-inalambrico-_JM,3,0,0,0,0,#469200539,JBL,JBL Flip 4,8 W,515 g,NA,No aplica
30,Parlante Harman Kardon Aura Studio 2 Sistema De Altavoces,129.99,249.99,53,15,6,21.665,NA,Envío gratis a todo el país,NA,NA,5,2,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-451893220-parlante-harman-kardon-aura-studio-2-sistema-de-altavoces-_JM,2,0,0,0,0,#451893220,Harman Kardon,Aura Studio 2,NA,NA,NA,Activo
31,Parlante Caja Acústica 15 Eon615 Jbl - Envío Gratis,320,400,11,NA,6,53.333,NA,Envío gratis a todo el país,NA,NA,5,3,https://perfil.mercadolibre.cl/ARTECNOINSTRUMENTOS,https://articulo.mercadolibre.cl/MLC-487386671-parlante-caja-acustica-15-eon615-jbl-envio-gratis-_JM,3,0,0,0,0,#487386671,JBL,EON615,NA,NA,NA,NA
32,Parlante Karaoke Bluetooth Master G Spbyf7 Doble Bocina,34.99,39.99,150,1,6,5.832,NA,Envío gratis a todo el país,NA,NA,3,2,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=278,https://articulo.mercadolibre.cl/MLC-472376689-parlante-karaoke-bluetooth-master-g-spbyf7-doble-bocina-_JM,0,0,2,0,0,#472376689,Master-G,SPBYF7,20 W,3.13 kg,Auxiliar,Activo
33,Parlante Soundbar Irt Bluetooth 24w Rms Nuevo Envío Gratis,24.99,29.99,33,NA,6,4.165,NA,Envío gratis a todo el país,NA,NA,5,3,https://perfil.mercadolibre.cl/TECNOBEST+CHILE,https://articulo.mercadolibre.cl/MLC-453169030-parlante-soundbar-irt-bluetooth-24w-rms-nuevo-envio-gratis-_JM,3,0,0,0,0,#453169030,NA,NA,NA,NA,NA,NA
34,Parlante Portátil Bluetooth Bose Soundlink Micro,79.99,99.99,40,3,6,13.332,NA,Envío gratis a todo el país,NA,NA,5,2,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=392,https://articulo.mercadolibre.cl/MLC-471020818-parlante-portatil-bluetooth-bose-soundlink-micro-_JM,2,0,0,0,0,#471020818,Bose,Micro,NA,NA,NA,Activo
35,"Parlante Karaoke Bluetooth Fiddler Altavoz 6,5'' Panel Led",19.99,29.99,235,38,6,3.332,NA,Envío gratis a todo el país,NA,NA,4.4,12,https://perfil.mercadolibre.cl/MACROTEL+TO?brandId=335,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=TWkIpmA3hS9Qyvn2frGbUQyoHejk4DQf4gjYLdfdwFQEmQ9SqTihnArd04TUnwcGDt8uwplFulZ2zE0FHgSSC9GVnKR3%2BMME%2Fh0%2Bo73ZRBVC%2B5FoscJ0E0mYWE8fMNGsOmKedXgnOYjNXJsPJPPTHJJCxqlhwWvo8H2g1YC0wcfitecx6W3nY7OISW4iypvvzt%2BCEevQMJGefrTs8IjoRhlvfuwSalAsqSAIJUCH2TmpfK6Hib3%2FBKIgH2KhY4ctO2169nCvl%2BrDiRh7YlSoQHwjFEmBk36WCd%2BVNK383zUZRKc0zhwSqpGStuoatmd%2Br7WlPDwGyn5aXhouvhS%2Fd2L19o6X0WvzHCfhKvOBCHc5I86NZgk8lUMKuHsMgRUfuJ9iHCaetoxOfTk38hvUBs%2Fhj5RE1yUIgmVEW7ixuSgDXZDOZ5E6m6KSuNbDV%2F1sNjI%2F1R%2BulLHwjWGy5zGCeLXSnMOhuZYztHYu%2FJMMj%2FWeO3BE6ydsyy4QOIrvw5n1%2FhR4FATNdSk2WRdtWxTILtT8K9a3pHzjYORc0wr9iuFtdzGASxuhlyL2Ac7kpIdYzuyyIH%2Bp03Cno5d0DERS0Qh8R%2F6OQp28tjbuzCa3ys9D2V58sB89W90%2Blehs%2F%2FUOBoh2dWsG3gYsPoQlx6X9MjLPK%2BHDKdTfwPFtwyaBAQY77XN2HrcEyz4t12g1BgdZQSv45rtjnp9Fb0iREYTszYDOCHXl%2FuJhx4NPMeDuILgVPYGaWyKW2PEyLVqBhhIIAJyGVkRwaOI%2F2kSL16GYzpviXWPNvdQaHCa0gtGxL4wRVf5xOmBEKrbN6fFVAYhglgK45hCAaZE4%2FwWBioF%2BJeTzH2UKrIvwlZUIqu9sGuniv5LQvsr0QXkpLycNag1Ft8bnIMLjYgFmGiWZaGDiPF15SCxo4AKGdD%2FwIB%2BZE0iI2BrUI94UUV77s2ubfsMGG44rtS7G0RGTSzDoMMlQK9f%2FIuGTgsl%2BvFo0CMG%2B42BKEC67qLOvU%2BqiLJvdR00UC%2F4frcpfPIQJCY2EHejnzrdKJqq0nuvHdH2ABP96E2mkN07GtrvFDE26FkGk6fkD4IIbSmQ%2FYfDcY6AWaxkJBB2gWVS7U6ZoSOF5dzuNdUC2NLqDczWN%2FeoaAcXhxL5ugKJgwFS8B88byuJyuhf892kzQWca5KyhzW6gzXiXicfD%2Fyfmxxhk8NNCTkKOTbJATFgq4tb18U8DaZITaM5PTWCNWBOoR3xKbgYL9zemmYmVIcVbBFyRENV5kapJlsNpD87KRgO1229zIFDqZDiBsawuCviss0d1CCpkdzFh5RQesm7392eAVr5Na%2B876iZxBD7cfdiGsjDHUGbn10SpUBDt19dnNDEG2Qnt8sQFwFYLGWlvNkxBxz9sl3l2Yn%2BraCiZVTyqe7KL0850zgnPE9KL58lh5HL8vnQ%2Bzp47LF1SpJczJXACDxye5O3KOOedLYNAUk4vQ7BF%2FCjwurHqyHYtbFAnluUjVlTQOx9VDjAZ5eMuHdpiq%2FhlbS%2BGppFb52IeT%2FKIk9%2FZGq%2FHjTCgUTZ1xI0K%2FESI1zg%3D,8,3,0,0,1,#462984847,Fiddler,FD-PKBT61,10 W,2.8 kg,NA,NA
