search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Linha,Modelo,Modelo alfanumérico,Voltagem,Potência de saída (RMS),Tipos de alto-falante,Tipos de filtros do alto-falante,Lugares de colocação,Formato do alto-falante,Configuração de canais,Quantidade de alto-falantes,Sensibilidade de entrada,Resposta máxima em frequência,Resposta mínima em frequência,Conectores de entrada,Peso,Largura,Altura,Profundidade,Cor
11, Caixa Som Bluetooth Fb107 40w Rms Mp3 Usb Aux Radio Controle ,36,NA,"
			
				Novo
			
			
				
					 - 
				
				3049
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 684
		
		 sem juros
		
	

	
		",84,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,137,https://perfil.mercadolivre.com.br/TROPARDI+ELETRO,https://produto.mercadolivre.com.br/MLB-1175508663-caixa-som-bluetooth-amplificada-torre-mp3-fm-usb-sd-pc-500w-_JM,114,7,7,2,7,#1175508663,Grasep,Portátil,Torre,GT--515BT,110V/220V (Bivolt),10 W,NA, , , , ,2,80 dB,NA,NA,USB,NA,NA,NA,NA,NA
12, Mini Caixa De Som Rádio Fm Am Sw Portátil Mp3 Player Usb Sd ,90,NA,"
			
				Novo
			
			
				
					 - 
				
				39
				vendidos
			
		",(961 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 750
		
		 sem juros
		
	

	
		",50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/LUCRIMAXTENDNCIAS,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=1WdrooKdN%2FXhWZJfc9XFJJGKZKVIAFZPNM9ZuCGePJth4pZ3mMeukzhyOXW53NFED%2BvGsA6vly4seP8kqAxjbabL%2BU2rML5kAFirC%2FhgnbWOTsTh4T7wMbym%2B4VwMvHvXb6K3bbtAxa2DkKjL071zzQ%2BSH9n81YvheudSdEcDFlvqO%2BWXkaKkjmDYRUWU0IReM75UdytN7OY3ELE0XA5YrOcMnDBggd9c6XI%2BR2Z7ClO3x%2F%2FSELoSvUxL%2BjBe%2FDISQHx4dS96Q3kPhrgURMADap9Gt%2F0z5NOIZe32WwnxNtl1CGvEC37tcWV5zA7H8%2BnPKsgMpInqxpOZ5t0bgTF9KgO7pZ9mXCPRF0FgoD55qkTnGH86Uikrops9cpDeJ0wVjLX4cRPEe4Kxca27SPaWs5yXr6OSIXVynKFCgfEslRVmhA%2BZmDdLicnUJMMp%2F7DzlwZsEetqVb%2Fheg2B25BhnhxCiL5nejKF9KqplXW4UGcDDvJ%2FQMUlcde33vpGPY4iH4%2BzSTmhkXMYLGuYZu4S67PnheiyLBqSjeUlx817IEwlF5zJOUc%2FfVMQiLIbFj0k3P3i9QnCtNJaeJvVeO9fYAZuz9EQ%2BP6EqjpYcWZVYvCqoRLbrX7zFn2ykP1XOCRhpV71EiV2tb25aq87a0aMwbIhD017gLErj%2B8l8Jnm3PUIiRb%2Fok%2B7ZUeo%2BLxl7qWyddIxTcLirfb2B%2F%2FIJcJaVsoU0LFLlGGD7p12zAv5SNq0kZS5XgZun%2FUvza%2BulenmJ7puMAFq297M0Ee76MCrKTuKRp9UrsSqDHczLJbgcf%2BBZjkZtsekjaKGIGcNTvz2cSdo9KuOMqVt%2FP2xVXMkg3t1K2xYYjVaU1gN014vk44sABDkII09brWUWamu2Y4TNvs1JY%2BVQ7xOP9LjWgtWk764tP%2B9RNg3ytKmi1DraP2SqHTXvHJtr9kokw1VwuaqlWFKiuu4ZgWuV4yVhmn9VW55GW1EOW4XirVmuxr9%2BfzZo3407MIMbgU01FcbZSHWMLvDGTyUjMMjt0IZuAxW8m%2FoueLuHRlq2QlRdGWKOOmNzk%2Ft7TKivEFOI3dBzH9VdYvht7EVAU4msHGn3BjtM1O9jNd%2BPejbsCOy1mVZ1XfpDscPTpoWgLxrmE7fhALQMxQZkxOop%2BP70u78gaSjZX3fEh%2BYNIlFPOrTbbO%2BmqlTU9Sdi0J2JeFragfeHix5KcPjEAmwZVYlQctBF%2FPRKVqk%2FWnRqzSIAezdRwR%2BDK7erqFR8HWuRG96WdEuGmujyI67aUFHo1HCb4dTIw%2FF6hAbSGD%2F3ssNzKL96yJK5wQtY23CDcfx2c5fpIRgnYc7pmArGGhoZm1P1Gw4M2M4go3RJtdhipr%2BR5W%2FsifuFW2NuTy2hIm%2BmP3szp2zDpPkx%2BaIw%2B7MEEmviyI7fFRm4IwEOjy6muRud7S%2F6cZeBInDWEyZ2EtOvXnLLlYtY%2BsZ3BcH%2Fn2r6Mn0bx0pLVUMe9KvE1QTPx5r7%2FJuuuliKgP2lL1yCsgjgsx%2FYCE8KrMAUjBwXgp51dMfscmsAvdBtnLz6y6er7ple%2BZIMqVhl%2FemjS6Rqh%2BRYJ7MLLq0JG8i0GDt6QCq1j0rHNN%2B4ebiVGV00i0bkVPUIJTYTmmiye51fd0vdI6JUDLmRYtsS5gzgb3Mb2qfFwzg3YtV20v46MGVDuZS5EhirluTDwGYEFcPUd1V9eWLaZO3UI2YbYJwOYDse0h5YLEeLyMs1uJhgCerMzIx6HkkoabxSp7l655Xyo8nCVLifYuatUTmbtre57V3yLqJrmismfjW9336rsQusC6SX%2FZ79YiocOUzegGSiJHMUUtahSGb%2FaeAA%2FsJYaiSTHGFyfeOekT,NA,NA,NA,NA,NA,#1244442589,Goldenultra,NA,Torre,NA,NA,10 W,Subwoofer,Ativo/Passivo,Todos,Caixa,5.1,NA,NA,NA,NA,USB,NA,NA,NA,NA,NA
13, Caixa Som Xtreme Mini Portatil ,194,NA,"
			
				Novo
			
			
				
					 - 
				
				135
				vendidos
			
		",(65 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1864
		
		 sem juros
		
	

	
		",64,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,6,https://perfil.mercadolivre.com.br/SANTOSMOTTAMARIA,https://produto.mercadolivre.com.br/MLB-1220069260-caixa-de-som-speaker-google-home-mini-2019-portugus-preta-_JM,6,0,0,0,0,#1220069260,Google,NA,Home Mini,NA,NA,3 W,fixo,Passivo,multiplos,circular,mono,NA,NA,NA,NA, ,350 g,"3.86 ""","3.86 """,NA,NA
14, Kit 3 Caixa Som Bluetooth Torre Amplificada - Mp3 Usb Fm Top ,32,NA,"
			
				Novo
			
			
				
					 - 
				
				1114
				vendidos
			
		",(67 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 609
		
		 sem juros
		
	

	
		",09,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,30,https://perfil.mercadolivre.com.br/123+COMPROU,https://produto.mercadolivre.com.br/MLB-1019314215-mini-caixa-de-som-8w-rms-bluetooth-radio-fm-sd-auxiliar-usb-_JM,20,4,5,0,1,#1019314215,Importado,NA,QS-505,NA,NA,8 W,NA,NA,NA,Caixa,NA,1,80 dB,150 kHz,18 kHz,USB,387 g,NA,NA,NA,NA
15, Caixa De Som Speaker Google Home Mini Wi-fi Sem Embalagem ,179,NA,"
			
				Novo
			
			
				
					 - 
				
				209
				vendidos
			
		",(219 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1720
		
		 sem juros
		
	

	
		",20,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,16,https://perfil.mercadolivre.com.br/RODOLFOSANTOSMOTTA,https://produto.mercadolivre.com.br/MLB-1245708274-caixa-de-som-speaker-google-home-mini-wi-fi-sem-embalagem-_JM,13,3,0,0,0,#1245708274,Google,NA,Home Mini,NA,NA,3 W,NA,Ativo,NA,Caixa,mono,NA,NA,NA,NA,NA,350 g,"3.86 ""","3.86 """,NA,NA
16, Caixa De Som Speaker Google Home Mini Wi-fi Original ,211,NA,"
			
				Novo
			
			
				
					 - 
				
				122
				vendidos
			
		",(14 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1758
		
		 sem juros
		
	

	
		",58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,5,https://perfil.mercadolivre.com.br/ALISSONFERREIRAVENCESLAU,https://produto.mercadolivre.com.br/MLB-1079363611-caixa-de-som-speaker-google-home-mini-wi-fi-original-_JM,5,0,0,0,0,#1079363611,Google,NA,Home Mini,NA,NA,3 W,NA,abaulado,NA,NA,NA,NA,NA,NA,NA,USB,346 g,NA,NA,NA,NA
17, Caixa Som Bluetooth Amplificada Torre Mp3 Fm Usb Sd Pc 500w ,174,NA,"
			
				Novo
			
			
				
					 - 
				
				109
				vendidos
			
		",(241 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1672
		
		 sem juros
		
	

	
		",72,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.0,4,https://perfil.mercadolivre.com.br/RODOLFOSANTOSMOTTA,https://produto.mercadolivre.com.br/MLB-1244348795-caixa-de-som-speaker-google-home-mini-novo-sem-embalagem-_JM,3,0,0,0,1,#1244348795,Google,NA,Home Mini,NA,NA,3 W,caixa,NA,", multiplos", circular,mono,NA,NA,NA,NA, ,350 g,"3.86 ""","3.86 """,NA,NA
18, Mini Caixa De Som 8w Rms Bluetooth Rádio Fm Sd Auxiliar Usb ,29,NA,"
			
				Novo
			
			
				
					 - 
				
				65
				vendidos
			
		",(99939 disponíveis),"
	
		
			
		
		5x 
		
			
				R$ 656
		
		 sem juros
		
	

	
		",56,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/CASA.ELETRONICO,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=MYmAmvGtIq9n%2FKDVD%2FC9nYU7uRjXzW3kEcj2JU2n08Zy2vMwir7cQZuhIxSIGN63WbnsJyzFGt0mUDARkB4%2Borjx2JU%2FS%2B1VhyII4WmvVHtjUuk8huClkSBxIbZ5bs3cX3YYs16ECfqXoWp1hnwFDRFtOjI9JWunzEYI%2F0K9eYDmmFZONdnPz%2FVUjIcJMVrF%2BPvtVRKK6nOoWX4G%2BzCzutlZrV3ofmc17fvew6UuZ%2F2KiLhDrSUbCMYKKlaWkza1%2B1MXX8sENIO%2B0%2B1H%2FJEAGSjS2wqG8GCu2%2BtoyRFr5NHDNAq19v6ia8yyKp5Hi66U9Bm%2FTolzIxGNmjnHPg%2FmFu%2BvuIiGGELmgqaTdxUxNds6eSY0MFiCj9HXLX8nkkpBCJRUHPtC5w%2FLVC4e3bvEsbBP6TgECryp33%2BuW28FN0nJZLG9qNCC3Lk6jQhGuxz%2Frfadc2e0wsYUMH4U716auu0RpHLM3iy12NzNYfvc4sLxGEQqxc2JsSAdDLhb%2B6bDQyAx5sz1Ikw%2FqJvXb%2F1Sd1qM0veVkVUGlXOlH6gqnB08oM1TYWpvIMx1mX16jvJJSnQaKr7Wd8UsWf9IVBzuXfQy20JNwlQ8Hbg8Rsuk9D7AWiHJJJ3lat96Me1gUI9XydiGv06k3kheu0B4zyuatdl4UsXuAUOKy6u0X4pdOoTg3Z4EncuRvLpdOHBy2MN9GRfEoz07mEk4%2F4pQGSdsJ0DhA8rxYO%2B4dceGvLGFIbCJ8XmuxljVLSxpCqDyxFhuXgbm00DdEWMAVrYgf3GN88R0sFyze5iV0ciLkx6A%2FnsQTeh06kQD5QuVZSl3ZMe0XQXBvJL%2FpGate8CQJIhe9xo%2BDnVZ9aPgP%2FdsP3YVC8OrYGR8qWk0QbiIIjp5ZYGxGg0ikjSuaTYSxP7830c%2F5BlF9is%2BGVGXadaw6DO2dH7p6l1GjG7pslRr4JQr2%2BFUNVx2XhG0j8vUuQKemxOVX7ZVWsI3gLuu%2BLZn9DwOmWstLCXBD4Hv7bSNNQqxZ9BPxUA4xoZGSsae7WysR28JMpJc0pVKT8c9Gqb3hlU6PnwoL0i8q1z%2BNsPd89EbL%2B%2B%2FUY8i8fnDnuGiefOyuysBCSTuw9eQ44YODxenWXvpBYrDc8MwUjHUPUIobebLKkHdAsRQfDTrPZCN9ofN3%2B7IOYULqXjKRp%2BigPz3xKqgxD0GUEbWWfOKd21rBT5y7OXCftWPzQnfTxXtYhRK24kyx6aI8%2FfDxpcnUzRjIURDGvdbhDzgf5dgJ%2FG7e6AJ3Xbx0fuzsl81XvwUI54evR6mHjkFv8BHoRliZLjdZ3cr%2FqHvebEMNiT4kLcXPF8fevqs3dbwQCTWwB8py%2BSxQcSRfNh2lpCXo8zMMkxytUEwtvmVaKkxVEQj%2BkSTTxn1r6NlAA%2F9Go5rbeirVyRmeHXxG6l9vua8sgfOhajYfyY3%2BrX1jxvqW70ZbA6Fn6%2BPGNBwvOSB%2B%2BG%2Fc7ApMwkcmsDZ3iN%2Fw4lBw1OnBWU%2B%2F7AuTQb7IiTL6JsHemgMSeukJyRwZaQe8ZMiFdMCStCh6yMxUO2%2FlwTAd6kYiuQtn7O6GWqt988RH3J3ocBWyOCuX2IGTIJFdNFd3uBnSqPvWxIs3mKVrTesnB%2FinZJWaGYqw5KMmBy6Op%2B2gRp1rUNV2KpL81NzWn7dSdYSSsaIK6lwugyx1YOOwmqQ53D1uL5qRKgJZaEsXNCHLOF6ot806Zv1pbJAve8LJTI%2B5L8iXZeIiLIILax7HwoTot%2FdnaHjNThYPPUYNx47iraTkbxq%2Bi6o822qYc9qAJhMhi8ZB92mT7nupojszfPZSkSFvZwKh0zWhpJQIrZvFfchR%2BrmGhqKCxsU03BS8jxpnno%3D,NA,NA,NA,NA,NA,#1030203154,WM,NA,Q3,NA,NA,5 W,Mini tweeter,NA,NA,NA,NA,NA,NA,NA,NA,USB,NA,NA,NA,NA,NA
19, Caixa De Som Speaker Google Home Mini - Novo Sem Embalagem ,130,NA,"
			
				Novo
			
			
				
					 - 
				
				513
				vendidos
			
		",(274 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1088
		
		 sem juros
		
	

	
		",88,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,1831,https://perfil.mercadolivre.com.br/LACORTE+IMPORTS,https://produto.mercadolivre.com.br/MLB-1252136643-caixa-som-bluetooth-xtreme-mini-potente-40w-rms-radio-fm-_JM,1186,311,170,67,96,#1252136643,JBL,NA,Com LED,NA,NA,40 W,Subwoofer,Subwoofer,Portatil,Caixa,5.1,1,80 dB,20 kHz,70 Hz,USB,780 g,NA,NA,NA,NA
20, Caixa De Som Bluetooth Q3 Pendrive Wireless Speaker Ruize ,28,NA,"
			
				Novo
			
			
				
					 - 
				
				615
				vendidos
			
		",(9 disponíveis),"
	
		
			
		
		5x 
		
			
				R$ 635
		
		 sem juros
		
	

	
		",35,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,19,https://perfil.mercadolivre.com.br/MAGAZINE+NOBREAK,https://produto.mercadolivre.com.br/MLB-1191652215-caixa-caixinha-som-portatil-usb-bluetooth-p2-fm-mp3-_JM,16,2,0,1,0,#1191652215,Goldenultra,NA,GT-356BT,NA, ,8 W,NA, ,NA,Caixa,NA,NA,NA,NA,NA, ,NA,NA,NA,NA,NA
