search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Potencia de salida (RMS),Tipos de filtros del parlante,Lugares de colocación,Formato del parlante,Configuración de canales,Conectores de entrada,Peso,Tipos de parlante,Voltaje,Altura
1, Parlante Portatil Bluetoooth Thonet Vander Frei Potenciado ,2998,NA,"
			
			
				
				531
				vendidos
			
		",(92 disponibles),6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,313,https://perfil.mercadolibre.com.ar/THONETANDVANDER?brandId=370,https://articulo.mercadolibre.com.ar/MLA-745802501-parlante-portatil-bluetoooth-thonet-vander-frei-potenciado-_JM,191,86,25,6,4,#745802501,Thonet & Vander,Portatil,Frei BT,16 W,Woofer,Living,Caja,1.0,"USB, bluetooth, 3.5"" stereo",600 g,NA,NA,NA
2, Parlante Portatil Bluetooth Gadnic + Mic Bateria Recargable ,3199,5950,"
			
			
				
				204
				vendidos
			
		",(552 disponibles),12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,19,https://perfil.mercadolibre.com.ar/SALES+COM?brandId=945,https://articulo.mercadolibre.com.ar/MLA-784926490-parlante-portatil-bluetooth-gadnic-mic-bateria-recargable-_JM,11,7,0,1,0,#784926490,Gadnic,NA,XBS11,2500 W,"Parlante Karaoke, Parlante Bluetooth, Parlante Inalambrico, Parlante Portatil","Evento, Fiesta, Boliche, Casa, departamentos",Trolley,NA,Entrada para Micrófono,NA,Karaokee,NA,NA
3, Parlante Xiaomi Portatil Bluetooth Inalambrico Mi Speaker ,1490,2190,"
			
				Nuevo
			
			
				
					 - 
				
				3582
				vendidos
			
		",(58 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,404,https://perfil.mercadolibre.com.ar/ALCLICK+ML,https://articulo.mercadolibre.com.ar/MLA-665013349-parlante-bluetooth-portatil-luces-radio-usb-envio-gratis-_JM,244,88,44,7,21,#665013349,Otras Marcas,MS,MS-105BT,NA,Activo,NA,Caja Portátil,NA,"Bluetooth, USB, microSD, AUX, Micrófono.",1.5 kg,Woofer,usb,NA
4, Parlante Bluetooth Portátil Luces Radio Usb + Envío Gratis ,3990,4790,"
			
				Nuevo
			
			
				
					 - 
				
				5988
				vendidos
			
		",(90 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,686,https://perfil.mercadolibre.com.ar/ALCLICK+ML,https://articulo.mercadolibre.com.ar/MLA-679025125-parlante-bluetooth-portatil-4500-w-tripode-mic-inalambrico-_JM,449,152,59,10,16,#679025125,Otras Marcas,PBX,PBX-811SM,NA,Activo,De piso,Caja Portátil,NA,"Bluetooth, USB, microSD, AUX, Micrófono.",NA,Woofer,220V,NA
5, Parlante Jbl Go 2 Original 100% Nuevo Modelo Garantía ,2681,2979,"
			
				Nuevo
			
			
				
					 - 
				
				407
				vendidos
			
		",(10 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,33,https://perfil.mercadolibre.com.ar/JAZAKSHOP.COM,https://articulo.mercadolibre.com.ar/MLA-767432359-parlante-xiaomi-portatil-bluetooth-inalambrico-mi-speaker-_JM,28,5,0,0,0,#767432359,Xiaomi,Bluetooth,Mi Speaker,6 W,Portátil,Universal,Bluetooth,NA,Auxiliar,NA,Portatil,1500mAh 3.8V,NA
6, Parlante Bluetooth Inalambrico Resistente Agua Sopapa Ducha ,208,NA,"
			
				Nuevo
			
			
				
					 - 
				
				225
				vendidos
			
		",(6 disponibles),12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,3.0,2,https://perfil.mercadolibre.com.ar/DIGITAL+APPS,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=E3pUp6uIUhcQ2ZlqGWZOWda%2BtgXNOe%2FdP4tVqZ%2FFx9dAlm21HV5LX7W69GXc0gOBpQmfZ7rYgKzYqwbwU2msPc6BlvJz3zgwCcw8L3xS2BfTv1Z78%2Bl9xnvwSJAfcfpaiTIJwURcaO%2Bbfq6lJhGjS0WKX%2BGj%2B5DXu0h%2FCnYa91SBrZYCiyzbwxWaiZSKWVO%2F05KE%2BLo2qT%2BoY6rnG1IRmc46GmL2cYJ4LQJRIYKcB89arWZGojHbPIA7iRSFYnQ9m2NP3Ha6Bkw%2F9fnKfH3PNRaZWX2VTo3zO1dMDo1Tpce54l%2F7tJyuf5hdOLz0AdZBKQOrAfyqgyUMeGUfpgTR9FVg2UePI3U0ZUMFmw8Ypew61dd8VSjZ4rx2y3wRLBHcEeMHDKu4TxXGEGRuXzS913IBb8qn2EI1VzoQIV8H6BksCCSzVAL9gyk3qKevNVV4f35WG7fmJ5sHsKVoorljwahCvRXDbvYGWZWmYF6kEeRMr4iS14de0qrgVTraZFOmf4JiBG8q9My0zPjg%2Bfen4q5SRmzkl9FTvo7aGLqMi%2B55p1kAqpCqmNimP%2BKyrv0hBzm0LZz%2FbCLp9Km32bRsbPcH0qIj6KkD0s5M2Y2rodgYyDDlzoiN6pD9lh53t3n9%2FVB0QrBuBo4ZawTYAZCL3%2Fn0oV6rwFPlrA0xvKijRlRS4wuKDFjWNcQ4nnB910XxdX1Bx2Q78BYEw0bt7pqlX6lKcNjeaa55gIDb1YpDjPoCIcWMrsev%2FoN3nu3qgff%2BvfYsrSvJe3L4Ijt4K20m%2BW71JUS31EpjJDhqW%2F2RpgOjEe9HZ2qL65CZSV9tz8JtPeovJWI6kYhnvBF0BAAdLaBs7tH%2B60C25kv0IJkPS1HCgtwEIa4DXbJI5MHnFs0gs%2FAn5T06oZfFYkJe5i3spJ%2BGtf2bSiKFgwsgNr%2BNKq54%2FVTKc9Kmrdzxg7%2FGOpY8IJYOvzEBcWMFFzDZZ6J%2F%2BNPZ4CHtaMxKO6PzbAVIDG7BHyF5GaJdhWOZaPP1IzuwwqvdjBjyMmnGAEJPVXIonSPPo23ct%2BwkM%2B5GQaXQFNtD3bLk08xamfIO%2FM7qh9qVcT1xu1YAAkbAEgI%2FSscRvjm6PtzyJZF5eAzAbQa0JTL0g6fSdgWs3e%2BtTHT%2FzcA6QhxkNcJXXe%2Btpkbwn8tlkHnAHmO34giNDnX1uJdAXC2%2ByW3uT0PjhqFaXnYmu4mXufyEPWsmtKKiOwjwbZeHduuC0somAbW0a2l%2BGC451DV8hm7nTXiQ%2Bu2lyN0J3fipYet6PSQkOewwDG215hKNIChE5kjO1V5cS%2Fj3VGVzstZwNDS%2BOMRnEShez1SM%2BE67L5LKOOjuHQMXmBqNDPB4Bfkv7LmbYJC%2FQKXaEX28C41ZbJojGUl8yHi6v0wtmjMtaMdfciLpGHwurXWE2%2FpJIKai1B%2FdZlSLo2A79fITiS9s9sZBKtnGdWmvFXI1PquTcBqVW%2BUz2S7uGexZq%2B%2Bq8pl5W0c4RFFWLpKhCChSp%2FZSXaeA8fjI2Rwf03WwKglsTIltLXA2srLb53nVVFnL13yIjCpBdlFxf%2FIeN%2FLeZk8jMDEmLtOBnIps7nC%2Bdp5Z5qy7vPilsxyBdhuFhRwdWTPJsYKz%2BwX8BQnFSXkyEFVHCRYDFxoWJp8CDn7aZL6MrlYcpch94a6B9VA%2BrFIjfZW0A3MiH7JMyRHUQveF5CoEP4qk8Zn5iYFRGuzJ3sqG7XpOTZdfaf22b5jTJK4r4E6d2%2FZMJzcuhIFBIcl9x%2B6d35maGeXKwVmtGGSycacc6I0jbCodTDS83JwuKOL7c%2B39G6UsqL0LGuLb8Jrm5VgwXsodRNY2LI1qPDtKE%2B%2BCW%2BHHCGhqIH%2F%2B,NA,NA,NA,NA,NA,#723725229,Global Electronics,NA,Bluetooth,3 W,NA,NA,redondo,NA,NA,NA,Bluetooth Inalambrico,NA,NA
7, Parlante Karaoke Mp3 Sd Usb Bluetooth Luces Efecto Full! ,2849,2999,"
			
				Nuevo
			
			
				
					 - 
				
				379
				vendidos
			
		",(38 disponibles),6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,34,https://perfil.mercadolibre.com.ar/ELECTROWORLDGROUPARGENTINA,https://articulo.mercadolibre.com.ar/MLA-762427109-parlante-portatil-karaoke-8-bluetooth-fm-usb-bateria-luces-_JM,22,7,3,0,2,#762427109,Otras Marcas,PBX-8,PBX-8,NA,Woofer,NA,Caja,NA,NA,NA,Tweeter,9V,NA
8, Parlante Bluetooth Bomb 40w Luces Led Potenciado Usb Radio ,2890,3790,"
			
				Nuevo
			
			
				
					 - 
				
				2417
				vendidos
			
		",(849 disponibles),12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,325,https://perfil.mercadolibre.com.ar/ALCLICK+ML,https://articulo.mercadolibre.com.ar/MLA-739077353-parlante-karaoke-bluetooth-torre-fm-usb-mic-lampara-disco-_JM,213,84,18,4,6,#739077353,Otras Marcas,KPB,KPB-221,1500 W,Activo,NA,Torre Portátil,NA,"Bluetooth, USB, microSD y Aux 3.5 mm.",NA,Woofer,220V,NA
9, Parlante Portatil Karaoke 8'' Bluetooth Fm Usb Bateria Luces ,1889,NA,"
			
				Nuevo
			
			
				
					 - 
				
				402
				vendidos
			
		",(41 disponibles),12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,785,https://perfil.mercadolibre.com.ar/LMS-TIENDAVIRTUAL,https://articulo.mercadolibre.com.ar/MLA-732396927-parlante-jbl-go-2-original-100-nuevo-modelo-garantia-_JM,652,122,9,0,1,#732396927,JBL,NA,GO 2,3 W,NA,NA,NA,NA,NA,NA,NA,NA,NA
10, Parlante Xiaomi Bluetooth Inalambrico Mi Speaker Jazak Shop ,1899,2849,"
			
				Nuevo
			
			
				
					 - 
				
				373
				vendidos
			
		",(4 disponibles),12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,785,https://perfil.mercadolibre.com.ar/ELECTRO-SHOWS,https://articulo.mercadolibre.com.ar/MLA-779932908-parlante-jbl-go-2-bluetooth-portatil-nuevo-modelo-original-_JM,652,122,9,0,1,#779932908,JBL,NA,GO 2,3 W,Super tweeter,De piso,Caja,Estereo,NA,NA,Super tweeter,NA,NA
