search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Formato,Marca,Modelo,Color
1, Auriculares Bluetooth P47 Inalámbricos Microsd Colors En Loi ,399,NA,"
			
			
				
				1311
				vendidos
			
		",(656 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 2217
		
		 sin interés
		
	

	
		",17,NA,Envío a todo el país,NA,NA,4.7,44,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-458983451-auriculares-bluetooth-p47-inalambricos-microsd-colors-en-loi-_JM,32,11,0,0,1,#458983451,NA,NA,NA,NA
2, Auriculares Inalámbricos P15 Bluetooth Radio Fm Mic Sd Loi ,470,497,"
			
			
				
				92
				vendidos
			
		",(980 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 2611
		
		 sin interés
		
	

	
		",11,NA,Envío a todo el país,NA,NA,4.3,4,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-462662158-auriculares-inalambricos-p15-bluetooth-radio-fm-mic-sd-loi-_JM,2,1,1,0,0,#462662158,Con Vincha,NA,NA,NA
3, Auriculares Bluetooth Manos Libres Jbl E25bt iPhone Febo ,2388,NA,"
			
				Nuevo
			
			
				
					 - 
				
				187
				vendidos
			
		",(99812 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 13267
		
		 sin interés
		
	

	
		",67,NA,Envío a todo el país,NA,NA,4.8,22,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-449243520-auriculares-bluetooth-manos-libres-jbl-e25bt-iphone-febo-_JM,16,5,0,0,0,#449243520,Sin Vincha,JBL,E25BT,NA
4, Auricular Bluetooth I7s Ej-06 Circuit ,407,NA,"
			
				Nuevo
			
			
				
					 - 
				
				136
				vendidos
			
		",(7 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 2261
		
		 sin interés
		
	

	
		",61,NA,Envío a todo el país,NA,NA,4.5,6,http://perfil.mercadolibre.com.uy/CIRCUIT+OFERTAS,https://articulo.mercadolibre.com.uy/MLU-458996542-auricular-bluetooth-i7s-ej-06-circuit-_JM,4,1,1,0,0,#458996542,NA,NA,NA,NA
5, Auriculares Bluetooth P47 Inalámbricos Microsd Manos Libre. ,425,NA,"
			
				Nuevo
			
			
				
					 - 
				
				266
				vendidos
			
		",(535 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 2361
		
		 sin interés
		
	

	
		",61,NA,Envío a todo el país,NA,NA,4.6,17,http://perfil.mercadolibre.com.uy/TMO+TUMEJOROPCION,https://articulo.mercadolibre.com.uy/MLU-456663027-auriculares-bluetooth-p47-inalambricos-microsd-manos-libre-_JM,12,3,2,0,0,#456663027,Con Vincha,NA,NA,NA
6, Auriculares Bluetooth Caja De Carga Inalámbrica Oferta ,635,NA,"
			
				Nuevo
			
			
				
					 - 
				
				216
				vendidos
			
		",(2831 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 3528
		
		 sin interés
		
	

	
		",28,NA,Envío a todo el país,NA,NA,3.6,13,http://perfil.mercadolibre.com.uy/ELECTROVENTAS+ONLINE,https://articulo.mercadolibre.com.uy/MLU-459144646-auriculares-bluetooth-caja-de-carga-inalambrica-oferta-_JM,4,4,3,0,2,#459144646,NA,Apple,NA,NA
7, Auriculares Bluetooth I7 Tws Mini Caja Carga Inalámbrica Loi ,467,640,"
			
			
				
				327
				vendidos
			
		",(755 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 2594
		
		 sin interés
		
	

	
		",94,NA,Envío a todo el país,NA,NA,3.6,21,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-456795897-auriculares-bluetooth-i7-tws-mini-caja-carga-inalambrica-loi-_JM,8,5,3,1,4,#456795897,NA,NA,NA,NA
8, Auriculares Bluetooth Simil AirPods iPhone + Caja De Carga ® ,550,NA,"
			
				Nuevo
			
			
				
					 - 
				
				274
				vendidos
			
		",(5000 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 3056
		
		 sin interés
		
	

	
		",56,NA,Envío a todo el país,NA,NA,4.0,16,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-443023854-auriculares-bluetooth-simil-airpods-iphone-caja-de-carga--_JM,9,2,3,0,2,#443023854,NA,Apple,AirPods,NA
9, Auriculares Bluetooth Inalambrico Android iPhone Jogger ® ,330,NA,"
			
				Nuevo
			
			
				
					 - 
				
				443
				vendidos
			
		",(3992 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1833
		
		 sin interés
		
	

	
		",33,NA,Envío a todo el país,NA,NA,3.9,29,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-449191430-auriculares-bluetooth-inalambrico-android-iphone-jogger--_JM,12,9,4,2,2,#449191430,Sin Vincha,Jogger,NA,NA
10, Auricular Manos Libres Bluetooth Wireless Headset ,290,NA,"
			
				Nuevo
			
			
				
					 - 
				
				127
				vendidos
			
		",(15 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1611
		
		 sin interés
		
	

	
		",11,NA,Entrega a acordar con el vendedor,NA,NA,3.8,9,http://perfil.mercadolibre.com.uy/ILUMINAR%C3%81S,https://articulo.mercadolibre.com.uy/MLU-459217731-auricular-manos-libres-bluetooth-wireless-headset-_JM,4,2,1,1,1,#459217731,NA,NA,NA,NA
