search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Marca del celular,Tipo de funda,Color
1, Mophie Funda Bateria Juice Pack Para iPhone 8/7 Plus Negro ,47.990,69.990,"
			
			
				
				1
				vendido
			
		",(2 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 7.998
			
		
		 sin interés
		
	

	
		","
				$ 7.998
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-475910245-mophie-funda-bateria-juice-pack-para-iphone-87-plus-negro-_JM,NA,NA,NA,NA,NA,#475910245,Mophie,NA,NA,NA
2, Tech 21 Funda Dura iPhone 8/7 Plus Evoke Transparente/azul ,23.990,NA,"
			
			
				
				1
				vendido
			
		",(9 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.998
			
		
		 sin interés
		
	

	
		","
				$ 3.998
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-496719646-tech-21-funda-dura-iphone-87-plus-evoke-transparenteazul-_JM,NA,NA,NA,NA,NA,#496719646,Tech 21,Apple,Carcasa,NA
3, iPhone 5 5s 6 6s 7 8 Plus Carcasa 360 Slim Gkk | Kyrios ,7.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				80
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 666
			
		
		 sin interés
		
	

	
		","
				$ 666
			",NA,Envío a todo el país,NA,NA,4.8,6,https://perfil.mercadolibre.cl/TIENDA+KYRIOS,https://articulo.mercadolibre.cl/MLC-473097419-iphone-5-5s-6-6s-7-8-plus-carcasa-360-slim-gkk-kyrios-_JM?searchVariation=41301697056,5,1,0,0,0,#473097419,GKK,Apple,Carcasa,NA
4, Carcasa Silicona iPhone 7 iPhone 8 Apple Colores | Maxtech ,8.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				78
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 749
			
		
		 sin interés
		
	

	
		","
				$ 749
			",NA,Envío a todo el país,NA,NA,5.0,3,https://perfil.mercadolibre.cl/MAXTECHCHILELTDA,https://articulo.mercadolibre.cl/MLC-441102468-carcasa-silicona-iphone-7-iphone-8-apple-colores-maxtech-_JM,3,0,0,0,0,#441102468,Apple,Apple,Carcasa,NA
5, Apple iPhone 8 64gb Nuevo + Lamina Y Funda - Phone Store ,699.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				164
				vendidos
			
		",(736 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 116.665
			
		
		 sin interés
		
	

	
		","
				$ 116.665
			",NA,Envío gratis a todo el país,NA,NA,4.8,40,https://perfil.mercadolibre.cl/PHONESTORE-RETAILCHILE,https://articulo.mercadolibre.cl/MLC-450308147-apple-iphone-8-64gb-nuevo-lamina-y-funda-phone-store-_JM,34,5,0,0,1,#450308147,Apple,NA,NA,Real
6, Carcasa Original Ipaky 360º iPhone 8 + Vidrio Templado ,13.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3017
				vendidos
			
		",(6 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 2.332
			
		
		 sin interés
		
	

	
		","
				$ 2.332
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MONKEYCOLOR,https://articulo.mercadolibre.cl/MLC-451127669-carcasa-original-ipaky-360-iphone-8-vidrio-templado-_JM,NA,NA,NA,NA,NA,#451127669,Apple,Apple,Carcasa,NA
7, Carcasa Original Ipaky 360º iPhone 8 Plus + Vidrio Templado ,13.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3010
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 2.332
			
		
		 sin interés
		
	

	
		","
				$ 2.332
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MONKEYCOLOR,https://articulo.mercadolibre.cl/MLC-451130493-carcasa-original-ipaky-360-iphone-8-plus-vidrio-templado-_JM,NA,NA,NA,NA,NA,#451130493,Genérico,Apple,Carcasa,NA
8, Carcasa Transparente Reforzada Para iPhone 8 Plus Miaustore ,1.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				25
				vendidos
			
		","
		
			¡Último disponible!
		
	","
	
		
			
		
		12 cuotas de
		
			
				$ 166
			
		
		 sin interés
		
	

	
		","
				$ 166
			",NA,Envío a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/MIAUSTORE.CL,https://articulo.mercadolibre.cl/MLC-453525745-carcasa-transparente-reforzada-para-iphone-8-plus-miaustore-_JM,NA,NA,NA,NA,NA,#453525745,NA,Apple,Carcasa,NA
9," Tpu Silicona 360 Carcasas Para iPhone 8, 7 Y 6s ",7.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				21
				vendidos
			
		",(5 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.332
			
		
		 sin interés
		
	

	
		","
				$ 1.332
			",NA,Envío a todo el país,NA,NA,3.0,1,https://perfil.mercadolibre.cl/VAPORISLANDCHILE,https://articulo.mercadolibre.cl/MLC-461042132-tpu-silicona-360-carcasas-para-iphone-8-7-y-6s-_JM?searchVariation=38943862593,NA,NA,NA,NA,NA,#461042132,NA,Apple,Carcasa,NA
10, iPhone 8 Carcasa Sublimacion 2d Pack De 5 Uni ,12.800,NA,"
			
				Nuevo
			
			
				
					 - 
				
				21
				vendidos
			
		",(69 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 2.133
			
		
		 sin interés
		
	

	
		","
				$ 2.133
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/AMPLEX_CHILE,https://articulo.mercadolibre.cl/MLC-455544333-iphone-8-carcasa-sublimacion-2d-pack-de-5-uni-_JM,NA,NA,NA,NA,NA,#455544333,NA,Apple,Carcasa,Negro transparente
11, Cafele Carcasa Magnética + Vidrio iPhone 8 Negro ,13.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				10
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.083
			
		
		 sin interés
		
	

	
		","
				$ 1.083
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CUATRO+GLACIARES,https://articulo.mercadolibre.cl/MLC-480448512-cafele-carcasa-magnetica-vidrio-iphone-8-negro-_JM,NA,NA,NA,NA,NA,#480448512,NA,Apple,Carcasa,NA
12, Carcasa 360° iPhone 8 Plus 7 Plus + Lámina Negro 3 En 1 ,9.995,NA,"
			
				Nuevo
			
			
				
					 - 
				
				36
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.666
			
		
		 sin interés
		
	

	
		","
				$ 1.666
			",NA,Envío gratis a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/ALPHATECHILE,https://articulo.mercadolibre.cl/MLC-452824745-carcasa-360-iphone-8-plus-7-plus-lamina-negro-3-en-1-_JM,NA,NA,NA,NA,NA,#452824745,NA,Apple,Carcasa,NA
13, Carcasa 360° iPhone 8 7 Plus + Vidrio Templado Rojo 3 En 1 ,9.995,NA,"
			
				Nuevo
			
			
				
					 - 
				
				10
				vendidos
			
		",(6 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.666
			
		
		 sin interés
		
	

	
		","
				$ 1.666
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/ALPHATECHILE,https://articulo.mercadolibre.cl/MLC-452825550-carcasa-360-iphone-8-7-plus-vidrio-templado-rojo-3-en-1-_JM,NA,NA,NA,NA,NA,#452825550,NA,Apple,Carcasa,NA
14, Carcasa Silicona iPhone 7 iPhone 8 Apple Colores | Maxtech ,15.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				12
				vendidos
			
		",(8 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 2.500
			
		
		 sin interés
		
	

	
		","
				$ 2.500
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TECNOSTRIKE,https://articulo.mercadolibre.cl/MLC-470875704-carcasa-proteccion-360-iphone-7-y-iphone-8-tecnostrike-_JM,NA,NA,NA,NA,NA,#470875704,Baseus,Apple,Carcasa,NA
15, Carcasa Proteccion 360° iPhone 7 Y iPhone 8 - Tecnostrike ,19.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				21
				vendidos
			
		",(174 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.666
			
		
		 sin interés
		
	

	
		","
				$ 1.666
			",NA,Envío gratis a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/SUSPENSIONTRAINING,https://articulo.mercadolibre.cl/MLC-471755427-carcasa-otterbox-defender-iphone-7-iphone-8-_JM,NA,NA,NA,NA,NA,#471755427,OtterBox,Apple,Carcasa,NA
16, Carcasa Otterbox Defender iPhone 7 / iPhone 8 ,10.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(7 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.832
			
		
		 sin interés
		
	

	
		","
				$ 1.832
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CELULARES-EN-VENTA,https://articulo.mercadolibre.cl/MLC-492274577-iphone-8-plus-7-plus-funda-carcasa-dorada-proteccion-360-_JM,NA,NA,NA,NA,NA,#492274577,GKK,Apple,Carcasa,NA
17, iPhone 8 Plus / 7 Plus - Funda Carcasa Dorada Protección 360 ,11.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(7 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.998
			
		
		 sin interés
		
	

	
		","
				$ 1.998
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITEK.CL,https://articulo.mercadolibre.cl/MLC-470861069-carcasa-360-magnetica-iphone-8-negro-plata-digitek-_JM,NA,NA,NA,NA,NA,#470861069,NA,Apple,Carcasa,NA
18, Carcasa Original Ipaky 360º iPhone 8 + Vidrio Templado ,23.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				10
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.999
			
		
		 sin interés
		
	

	
		","
				$ 1.999
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/ALPHATECHILE,https://articulo.mercadolibre.cl/MLC-452413396-carcasa-metalica-iphone-8-7-negro-lunatik-taktik-armadura-_JM,NA,NA,NA,NA,NA,#452413396,NA,Apple,Carcasa,Negro
19, Carcasa 360 Magnética iPhone 8 Negro Plata Digitek ,15.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(965 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 2.500
			
		
		 sin interés
		
	

	
		","
				$ 2.500
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/PROPHONELTDA,https://articulo.mercadolibre.cl/MLC-455903823-apple-iphone-8-plus-case-cuero-premium-nillkin-prophone-_JM,NA,NA,NA,NA,NA,#455903823,Nillkin,Apple,Carcasa,NA
20, Carcasa Metálica iPhone 8 7 Negro Lunatik Taktik Armadura ,11.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(8 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 999
			
		
		 sin interés
		
	

	
		","
				$ 999
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/WEBPHONESPA,https://articulo.mercadolibre.cl/MLC-475197980-apple-iphone-87-plus-case-eton-premium-nillkin-webphone-_JM,NA,NA,NA,NA,NA,#475197980,Nillkin,Apple,Carcasa,NA
21, Apple iPhone 8 Plus Case Cuero Premium Nillkin - Prophone ,9.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(983 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.665
			
		
		 sin interés
		
	

	
		","
				$ 1.665
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/PROPHONELTDA,https://articulo.mercadolibre.cl/MLC-452140446-apple-iphone-8-case-frosted-premium-lamina-prophone-_JM,NA,NA,NA,NA,NA,#452140446,Apple,Apple,Carcasa,NA
22, Apple iPhone 8/7 Plus Case Eton Premium Nillkin - Webphone ,19.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(5 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.666
			
		
		 sin interés
		
	

	
		","
				$ 1.666
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CELULARES-EN-VENTA,https://articulo.mercadolibre.cl/MLC-498947321-iphone-8-plus-7-plus-case-carcasa-dorada-lamina-vidrio-_JM,NA,NA,NA,NA,NA,#498947321,"Original, Legitima, Auténtica y Genuina - Fabricantes: GKK, Nillkin, Lenuo, Mofi, Goospery, Cafele, Enkay",Apple,Carcasa,NA
23, Apple iPhone 8 Case Frosted Premium + Lamina - Prophone ,10.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.832
			
		
		 sin interés
		
	

	
		","
				$ 1.832
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CELULARES-EN-VENTA,https://articulo.mercadolibre.cl/MLC-492398182-iphone-8-iphone-7-proteccion-carcasa-roja-100-original-_JM,NA,NA,NA,NA,NA,#492398182,GKK,Apple,Carcasa,NA
24, iPhone 8 Plus / 7 Plus - Case Carcasa Dorada + Lamina Vidrio ,4.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		","
		
			¡Último disponible!
		
	","
	
		
			
		
		12 cuotas de
		
			
				$ 416
			
		
		 sin interés
		
	

	
		","
				$ 416
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CRANDEP,https://articulo.mercadolibre.cl/MLC-479552127-carcasa-protector-iphone-78-case-funda-_JM,NA,NA,NA,NA,NA,#479552127,Ugreen,Apple,Carcasa,NA
25, iPhone 8 / iPhone 7 - Protección Carcasa Roja 100% Original ,7.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(6 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 666
			
		
		 sin interés
		
	

	
		","
				$ 666
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/BOXPLAY+2019,https://articulo.mercadolibre.cl/MLC-480849059-carcasa-iphone-8-silicona-transparente-tpu-ultra-fina-_JM,NA,NA,NA,NA,NA,#480849059,NA,Apple,Carcasa,NA
26, Carcasa Protector iPhone 7/8 Case Funda ,3.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				14
				vendidos
			
		",(86 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 332
			
		
		 sin interés
		
	

	
		","
				$ 332
			",NA,Envío a todo el país,NA,NA,1.0,1,https://perfil.mercadolibre.cl/CELPRO_CL,https://articulo.mercadolibre.cl/MLC-454559641-carcasa-funda-silicona-iphone-7-plus-iphone-8-plus-celpro-_JM,NA,NA,NA,NA,NA,#454559641,Genérico,Apple,Carcasa,NA
27, Carcasa iPhone 8 Silicona Transparente Tpu Ultra Fina ,3.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(30 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 332
			
		
		 sin interés
		
	

	
		","
				$ 332
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CELPRO_CL,https://articulo.mercadolibre.cl/MLC-454559323-carcasa-funda-silicona-iphone-7-iphone-8-celpro-_JM,NA,NA,NA,NA,NA,#454559323,Genérico,Apple,Carcasa,NA
28, Carcasa Funda Silicona iPhone 7 Plus / iPhone 8 Plus/ Celpro ,1.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(6 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 166
			
		
		 sin interés
		
	

	
		","
				$ 166
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIAUSTORE.CL,https://articulo.mercadolibre.cl/MLC-453749078-carcasa-silicona-transparente-iphone-8-miaustore-_JM,NA,NA,NA,NA,NA,#453749078,NA,Apple,Carcasa,NA
29, Carcasa Funda Silicona iPhone 7 / iPhone 8 / Celpro ,19.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.332
			
		
		 sin interés
		
	

	
		","
				$ 3.332
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CUATRO+GLACIARES,https://articulo.mercadolibre.cl/MLC-481927101-otterbox-carcasa-symmetry-vidrio-iphone-8-plus-negro-_JM,NA,NA,NA,NA,NA,#481927101,OtterBox,Apple,Carcasa,NA
30, Carcasa Silicona Transparente iPhone 8 Miaustore ,97.838,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		","
		
			¡Único disponible!
		
	","
	
		
			
		
		12 cuotas de
		
			
				$ 8.153
			
		
		 sin interés
		
	

	
		","
				$ 8.153
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITALWAREHOUSECL,https://articulo.mercadolibre.cl/MLC-498522350-moshi-sensecover-iphone-87-funda-beige-_JM,NA,NA,NA,NA,NA,#498522350,Moshi,Apple,Flip Cover,NA
31, Otterbox Carcasa Symmetry + Vidrio iPhone 8 Plus Negro ,13.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.083
			
		
		 sin interés
		
	

	
		","
				$ 1.083
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CUATRO+GLACIARES,https://articulo.mercadolibre.cl/MLC-481798379-cafele-carcasa-magnetica-vidrio-iphone-8-rojo-_JM,NA,NA,NA,NA,NA,#481798379,NA,Apple,Carcasa,NA
32, Moshi Sensecover iPhone 8/7 Funda - Beige ,5.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(9 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 998
			
		
		 sin interés
		
	

	
		","
				$ 998
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/SAFE_MICASE,https://articulo.mercadolibre.cl/MLC-471568395-iphone-8-plus-carcasa-lamina-de-regalo-_JM,NA,NA,NA,NA,NA,#471568395,NA,Apple,Carcasa,NA
33, Cafele Carcasa Magnética + Vidrio iPhone 8 Rojo ,1.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(2 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 332
			
		
		 sin interés
		
	

	
		","
				$ 332
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/VENTAS+ELECTRONICAS1,https://articulo.mercadolibre.cl/MLC-479132417-carcasa-ultrafina-iphone-7-i-iphone-8-i-diseno-original-_JM,NA,NA,NA,NA,NA,#479132417,NA,Apple,Carcasa,Rosa
34, iPhone 8 Plus Carcasa + Lamina De Regalo. ,1.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				9
				vendidos
			
		",(7 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 332
			
		
		 sin interés
		
	

	
		","
				$ 332
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/VENTAS+ELECTRONICAS1,https://articulo.mercadolibre.cl/MLC-459074884-carcasa-360-iphone-7-i-iphone-8-i-full-proteccion-i-tpu-_JM,NA,NA,NA,NA,NA,#459074884,NA,Apple,Carcasa,Negro
35, Carcasa Original Ipaky 360º iPhone 8 Plus + Vidrio Templado ,774.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				104
				vendidos
			
		",(796 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 129.165
			
		
		 sin interés
		
	

	
		","
				$ 129.165
			",NA,Envío gratis a todo el país,NA,NA,4.9,47,https://perfil.mercadolibre.cl/PHONESTORE-RETAILCHILE,https://articulo.mercadolibre.cl/MLC-450308073-apple-iphone-8-plus-64gb-lamina-y-funda-phone-store-_JM,44,1,2,0,0,#450308073,Apple,NA,NA,NA
36, Carcasa Ultrafina iPhone 7 I iPhone 8 I Diseño Original ,11.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		","
		
			¡Último disponible!
		
	","
	
		
			
		
		6 cuotas de
		
			
				$ 1.998
			
		
		 sin interés
		
	

	
		","
				$ 1.998
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TIENDATRANSPARENCIA,https://articulo.mercadolibre.cl/MLC-460227967-tapa-trasera-iphone-8-plus-_JM,NA,NA,NA,NA,NA,#460227967,Genérico,Apple,Carcasa,NA
37, Carcasa 360º iPhone 7 I iPhone 8 I Full Protección I Tpu ,15.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.250
			
		
		 sin interés
		
	

	
		","
				$ 1.250
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/COLOR-CELL,https://articulo.mercadolibre.cl/MLC-440311793-flip-cover-rock-dr-v-series-iphone-7-8-envio-colorcell-_JM,NA,NA,NA,NA,NA,#440311793,ROCK,Apple,Flip Cover,NA
38, Apple iPhone 8 Plus 64gb + Lamina Y Funda - Phone Store ,719.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				28
				vendidos
			
		",(872 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 59.999
			
		
		 sin interés
		
	

	
		","
				$ 59.999
			",NA,Envío gratis a todo el país,NA,NA,4.8,40,https://perfil.mercadolibre.cl/PHONESTORE-RETAILCHILE,https://articulo.mercadolibre.cl/MLC-450309223-apple-iphone-8-64gb-lamina-y-funda-12-ctas-phone-store-_JM,34,5,0,0,1,#450309223,Apple,NA,NA,Real
39, Tapa Trasera iPhone 8 Plus ,8.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(3 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 749
			
		
		 sin interés
		
	

	
		","
				$ 749
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/COLOR-CELL,https://articulo.mercadolibre.cl/MLC-440277153-carcasa-rock-con-soporte-iphone-8-colorcell-_JM,NA,NA,NA,NA,NA,#440277153,Rock,Apple,Carcasa,NA
40, Flip Cover Rock Dr. V Series iPhone 7 / 8 +envío - Colorcell ,3.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(4 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 665
			
		
		 sin interés
		
	

	
		","
				$ 665
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TIENDATRANSPARENCIA,https://articulo.mercadolibre.cl/MLC-500010865-carcasa-gel-silicona-iphone-8-plus-lamina-_JM,NA,NA,NA,NA,NA,#500010865,Tet,Apple,Carcasa,NA
41, Apple iPhone 8 64gb + Lamina Y Funda / 12 Ctas - Phone Store ,23.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				7
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.999
			
		
		 sin interés
		
	

	
		","
				$ 1.999
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/ALPHATECHILE,https://articulo.mercadolibre.cl/MLC-452413572-carcasa-metalica-iphone-8-7-rojo-lunatik-taktik-alphatec-_JM,NA,NA,NA,NA,NA,#452413572,NA,Apple,Carcasa,NA
42, Carcasa Rock Con Soporte iPhone 8 Colorcell ,10.990,NA,"
			
				Nuevo
			
			
		",(4 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.832
			
		
		 sin interés
		
	

	
		","
				$ 1.832
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CELULARES-EN-VENTA,https://articulo.mercadolibre.cl/MLC-492182033-iphone-8-iphone-7-full-carcasa-funda-original-resistente-_JM,NA,NA,NA,NA,NA,#492182033,OEM /Apple,Apple,Carcasa,NA
43, Carcasa Gel Silicona iPhone 8 Plus + Lamina ,10.990,NA,"
			
				Nuevo
			
			
		",(3 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.832
			
		
		 sin interés
		
	

	
		","
				$ 1.832
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CELULARES-EN-VENTA,https://articulo.mercadolibre.cl/MLC-492182036-iphone-8-plus-7-plus-carcasa-funda-original-resistente-_JM,NA,NA,NA,NA,NA,#492182036,OEM /Apple,Apple,Carcasa,NA
44, Carcasa Metálica iPhone 8 7 Rojo Lunatik Taktik / Alphatec ,10.990,NA,"
			
				Nuevo
			
			
		",(4 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.832
			
		
		 sin interés
		
	

	
		","
				$ 1.832
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CELULARES-EN-VENTA,https://articulo.mercadolibre.cl/MLC-492274582-iphone-8-iphone-7-funda-carcasa-dorada-proteccion-total-_JM,NA,NA,NA,NA,NA,#492274582,GKK,Apple,Carcasa,NA
45, iPhone 8 / iPhone 7 - Full Carcasa Funda Original Resistente ,15.000,NA,"
			
				Nuevo
			
			
		",(5 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 2.500
			
		
		 sin interés
		
	

	
		","
				$ 2.500
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CELULARES-EN-VENTA,https://articulo.mercadolibre.cl/MLC-499322930-iphone-8-plus-7-plus-funda-carcasa-dorada-proteccion-360-_JM,NA,NA,NA,NA,NA,#499322930,"Original, Legitima, Auténtica y Genuina - Fabricantes: GKK, Nillkin, Lenuo, Mofi, Goospery, Cafele, Enkay",Apple,Carcasa,NA
46, iPhone 8 Plus / 7 Plus - Carcasa Funda Original Resistente ,19.990,NA,"
			
				Nuevo
			
			
		",(3 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.666
			
		
		 sin interés
		
	

	
		","
				$ 1.666
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CELULARES-EN-VENTA,https://articulo.mercadolibre.cl/MLC-498947300-iphone-8-iphone-7-funda-carcasa-dorada-lamina-vidrio-_JM,NA,NA,NA,NA,NA,#498947300,"Original, Legitima, Auténtica y Genuina - Fabricantes: GKK, Nillkin, Lenuo, Mofi, Goospery, Cafele, Enkay",Apple,Carcasa,NA
