search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del Celular,Modelo del Celular,Marca de la Funda,Modelo de la Funda,Tipo de funda,Material,Fabricante
1, Apple iPhone 8 64 GB Gris espacial ,NA,NA,NA,NA,NA,NA.NA,NA,NA,NA,NA,NA,NA,NA,https://www.mercadolibre.com.mx/p/MLM8752432?searchVariation=MLM8752432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2, Apple iPhone 6 16 GB Gris espacial ,NA,NA,NA,NA,NA,NA.NA,NA,NA,NA,NA,NA,NA,NA,https://www.mercadolibre.com.mx/p/MLM6055015?searchVariation=MLM6055015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3, Apple iPhone 6 Plus 64 GB Oro 1 GB RAM ,NA,NA,NA,NA,NA,NA.NA,NA,NA,NA,NA,NA,NA,NA,https://www.mercadolibre.com.mx/p/MLM6055027?searchVariation=MLM6055027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4, Apple iPhone 6 64 GB Gris espacial ,NA,NA,NA,NA,NA,NA.NA,NA,NA,NA,NA,NA,NA,NA,https://www.mercadolibre.com.mx/p/MLM6055018?searchVariation=MLM6055018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5, Ringke Fusion Case Funda Rigida iPhone 7 / 8 Bumper + Mica ,219,NA,276,12,12 meses,21.64,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,35,https://perfil.mercadolibre.com.mx/RINGKE.MX?brandId=873,https://articulo.mercadolibre.com.mx/MLM-566187365-ringke-fusion-case-funda-rigida-iphone-7-8-bumper-mica-_JM?searchVariation=29753835855,29,4,0,2,0,#566187365,Apple,iphone 7 / iphone 8,Ringke,Fusion,Alta resistencia,POLIMERO HIBRIDO ALTA RESISTENCIA,REARTH RINGKE
6, Funda Tipo Piel Leather Case iPhone 6 7 8 Plus X Max Xr +mic ,269,NA,2381,50,18 meses,14.94,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,79,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-623748083-funda-tipo-piel-leather-case-iphone-6-7-8-plus-x-max-xr-mic-_JM?searchVariation=32254170267,69,9,1,0,0,#623748083,Apple,6 6s 6 plus 6s plus 7 7 plus 8 8 plus X Xs Xs max Xr,Mikki,Business Leather,Protector,TPU,NA
7, Celular Apple iPhone 8 64gb Liberado + Audifonos + Funda ,"9,999",NA,159,11,18 meses,555.50,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,105,https://perfil.mercadolibre.com.mx/TEKKNOSHOP,https://articulo.mercadolibre.com.mx/MLM-644856769-celular-apple-iphone-8-64gb-liberado-audifonos-funda-_JM?searchVariation=30987052344,86,13,3,0,3,#644856769,NA,NA,NA,NA,NA,NA,NA
8, Funda Tipo Piel Leather Case iPhone 6 7 8 Plus X Max Xr +mic ,269,NA,2381,13,18 meses,14.94,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,79,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=e78Rl4kMux85BQoku%2BEHjh0nnw33X8UP%2B6OleDgubYiBleQUERVhzOlluCne3PqPZxfZnI2%2FqlthOAi%2BlMY3fdvjqgJJyumb7jjVSOuVbxC4nMM1P34xd2nW9hytDXwTqu0uYeZze6LJ5yAFUdaeAj6ApG3Y0oKq4T9hmxWmWYiWm6FIBgXBU5c9BiOwBuM2%2BXAYKmaZDuo1UarO2SYM5cgCyBjgHN%2BBvqpAPHuqB3natMqBlJpk9pa%2FEZwCNUAgo%2F7ZKbEUVs6GGlDbnK%2B8Memb%2F%2BZ7wgNhmTtcwoxrTeO3n51ml5hufIc25Qvx5SPuG0A15j0JHQW2%2BtZBdP6GANBCurZfRgN34Lyo%2BVPFGc0e%2F6ej4ZAgbKugCpUchw9XjzyYMKQe2vOkKbr8Q9PiVyF%2FMUxahYbXiMQ1PPiac7phOI6wi1nptHelPz38UHzClGdpN%2FdqVugn9GTZjm540az216TJPJ3pNWAFS2%2B%2BBTPoPUdvf30%2Fj2suJQ4GOrUegJNXQ9D9oO%2BCsOL6IPGipcskS5k9y64XH7CSjjV9XIs%2BCzpSpCCX74djLstWIuQ8uFwmPaXWZIDSQRzGQM27egKh7KkaxsOy9eCEI%2FnjcjaQ6A%2FN6a86D6iRO%2BDN66%2BugxxBceD8Mp2hnsXCxd7YJTwmMgzzJRXi0kTTcxZDRJo51ngqAMMM4NyKIKnL4h%2FX9j2p32K9wsyrLJHhFxuND%2FizcyA54W3ptbQWPcq9YdlWLxrEXPbONDM1WdrhCYz4nXBX4dJxpA5113bRYcUPpxFcNQnsV4wLN%2Ba4kRssB14QlLWyeShynVOCRn9sy%2ByYjbtNT%2BabN%2BS9B1DETGrjYpNVmnIomRvlPhnVQ%2BlZ8SIy%2FSBI8qtaUSb9aRXIOX6ELnXFspxhnjGCb7s0q7ndxvL5ccfXDiKEbRqde2n1fUgLYwbT6u4l%2BBbJ2%2BQ2SuVNlROVn8I%2FTP1QeTiXPMOOHRqCwpU4f9GDMyTKaD5cW8m0bW8nzS2%2FQsOMbdXbR6nb3pr6ZzFvJdql4W%2FMEYfsoXXPTeTPZAXLZCC03XgAES%2FXSre5ksJusATW%2B%2BZhPwig89zBUEIroKDQDWJvcNLNrROp3aK3W6FQntbM7iXTdCAkQ2S48uklUCTyXMGTEOw8fTMRkcTGQhskDjIB0zCBy46D7Ayw06hIunBN5dhQ3pUoiZlX1tGzLJW6zNAtKd8xgNBi1vT%2FPEfH07cRJ4HUyVapx1srrxsE%2FgqLcNoGdCabElcX67Taki40qIb%2BzeLPzcEU0rvPrit4jmn8w0IbR5aDtvbwQ0FKWOgiOk5zDtUUo33AQYlmrDOYihl9cZbkd1KefeaAhW0x0e67WcnrF1G0mbvNF5mRsFLXd6ponNpxd0XdCg%2FP92nMMy97gUyia723nOVc7gzLT3vGtDiFa5wuteko5mI6zquvwxOblalB7ox6%2BnsBLymnNVOrMpkr0qWg2w8BoVsgdBHF5vjP%2FSAwQo9NltJVcBwyFMVSMKj8LWuFsyUwnI5Wq%2FaAegr1bYzZmTPyFjU%2BGp1AEKEBnqupOdap0zRP1kflctSpAPllPjHMlHotero0W0INaeOpUOpp544XGlBfQUsimpX0LEN34a5MxSUczbGABqUemdGKA1IaP6DFoTdsFaSv6VOkGrnVpBHU8e9pef9bM8KKl7CiB%2FmEX46anPO4zjhOdQfwAw%3D%3D,69,9,1,0,0,#623748083,Apple,6 6s 6 plus 6s plus 7 7 plus 8 8 plus X Xs Xs max Xr,Mikki,Business Leather,Protector,TPU,NA
9," Funda 360 iPhone 6, 6 Plus, 7, 7 Plus, 8, 8 Plus X + Cristal ",189,NA,5147,84,18 meses,10.50,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,319,https://perfil.mercadolibre.com.mx/VIGU+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-588207953-funda-360-iphone-6-6-plus-7-7-plus-8-8-plus-x-cristal-_JM?searchVariation=32729163913,231,55,16,8,9,#588207953,Apple,iPhone,360,360°,360,Plástico,VIGU
10, Celular Original iPhone 8 Plus 64gb + Funda + Audifonos ,"13,899",NA,107,4,18 meses,772.17,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,125,https://perfil.mercadolibre.com.mx/TEKKNOSHOP,https://articulo.mercadolibre.com.mx/MLM-660440827-celular-original-iphone-8-plus-64gb-funda-audifonos-_JM?searchVariation=31858499427,102,13,2,0,8,#660440827,NA,NA,NA,NA,NA,NA,NA
