search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del Celular,Modelo del Celular,Marca de la Funda,Modelo de la Funda,Tipo de funda,Material,Fabricante
1, Apple iPhone 6 16 GB Gris espacial ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.mercadolibre.com.mx/p/MLM6055015?searchVariation=MLM6055015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2, Apple iPhone 6 Plus 64 GB Gris espacial 1 GB RAM ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.mercadolibre.com.mx/p/MLM6055028?searchVariation=MLM6055028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3, Apple iPhone 8 64 GB Gris espacial ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.mercadolibre.com.mx/p/MLM8752432?searchVariation=MLM8752432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4, Apple iPhone 6 64 GB Gris espacial ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.mercadolibre.com.mx/p/MLM6055018?searchVariation=MLM6055018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5, Ringke Fusion Case Funda Rigida iPhone 7 / 8 Bumper + Mica ,219,NA,"
			
			
				
				269
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 2164
		
		 sin intereses
		
	

	
		",64,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,35,https://perfil.mercadolibre.com.mx/RINGKE.MX?brandId=873,https://articulo.mercadolibre.com.mx/MLM-566187365-ringke-fusion-case-funda-rigida-iphone-7-8-bumper-mica-_JM?searchVariation=29753835855,29,4,0,2,0,#566187365,Apple,iphone 7 / iphone 8,Ringke,Fusion,Alta resistencia,POLIMERO HIBRIDO ALTA RESISTENCIA,REARTH RINGKE
6, Funda iPhone 6s 7 8 8 Plus Leather Piel Pu + Mica 9h Aurum ,239,NA,"
			
			
				
				2161
				vendidos
			
		",(22 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1328
		
		 sin intereses
		
	

	
		",28,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.4,151,https://perfil.mercadolibre.com.mx/AURUM+79?brandId=2277,https://articulo.mercadolibre.com.mx/MLM-568002496-funda-iphone-6s-7-8-8-plus-leather-piel-pu-mica-9h-aurum-_JM?searchVariation=39646910919,104,20,15,5,7,#568002496,Apple,"IPHONE 7/8 , 7 /8 PLUS",Apple,Leather Case,Piel Sintetica,Piel,IP
7," Funda 360 iPhone 6, 6 Plus, 7, 7 Plus, 8, 8 Plus X + Cristal ",189,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5096
				vendidos
			
		",(106 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1050
		
		 sin intereses
		
	

	
		",50,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,319,https://perfil.mercadolibre.com.mx/VIGU+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-588207953-funda-360-iphone-6-6-plus-7-7-plus-8-8-plus-x-cristal-_JM?searchVariation=32729163913,231,55,16,8,9,#588207953,Apple,iPhone,360,360°,360,Plástico,VIGU
8," Funda 360 iPhone 6, 6 Plus, 7, 7 Plus, 8, 8 Plus X + Cristal ",189,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5096
				vendidos
			
		",(106 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1050
		
		 sin intereses
		
	

	
		",50,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,319,https://perfil.mercadolibre.com.mx/VIGU+ACCESORIOS,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=MjaUK%2BUN6ZRzaC8PVObo7beyIquebtzaSM1sRivpeV5eUaC4fxMsmadYnO6b5hTXob9u51lAneRLfzP03RnP%2FA5CIUIANvVdz%2F8NmKZMexjRNhpOMbLh%2BXPiq5pHydbYPSOffAG1DQzZvKbeVWtcH4rFxIjtDUE0MoXLRFRah9y7NcbPfoqat6zsXrqbAd7wyaenkC6MdKXQ8%2BtPY5Rw3l1I1I2ASQh4uijdykNfMvw2Byh6YDbvvgmnh4k%2FB3Hj8bqx0aTRT%2F9UYdENMgzUy9WIs1NqW624ORcq2YNkvp9%2BhJmKW4cV%2FmasinIdHkH8%2BR8q3X%2BVzvf%2BLhOLbzbZty24mL%2F26fFJSmTX4Yt7qrWnvbYS%2Bh9SCKsMlQQqk1xWyuhBbaJmJFcVIJJT8loJCFO6H1FfYNh50Z65tx9GpTJ%2FHFWChUKS7Oh2QKPopPsUazIgZ335BwO2ob3hjSrnoSXSLK4x7W5PzFZQXSeRc7kj%2Bc4GAttlvtXklazajzTtwsWApmruw2vwUCQQW6o%2BSUIwE%2FYfOa85hH3q3s9LyllCBaPKxNeqn6OyIL4IgjYUgn2fy2FRsMQifBH4lkPiYAA97OopAUd0hpDojYzifNvdcw5FCltNy59r9YSbi5Eol9kfhO748p24nW2yMLhpg5RTdyMTKnjBKBj4taH5zSi95KO1fJvI2ybDVElJTlO%2BPPP6J%2F40V1SMG0iUHwzfv0PuDfDImY5vkVDXxz3UalwQE7X3qFTRt1U%2FECmPD3Rlo5yRU99jrW3vQGBcUY9fY%2Fz5fe7w9jcVnjmK5tlvYZf3vhhZ5bDXaA1HEo39ynHB4IYD6yjThcTf53hIlmcHtoiJ9jGwOz%2FDq%2Fev6Qv0psI537N3DeE1%2F%2B8jyBrtS8kuIFI8W7A5BhDnVxgjJySxWWetazg11ojQcKTVHWypZ4TZZWDG%2FXx3Nlab2uqV1RaRYAZLPEVoD%2F%2BQ%2F%2FNnb%2BBMr8XMFnxHp5bfpzLNLabIpN8tOFyyR1D65IyJPaTqeJkMEZ9vJunaZaGoQIe5rGIfK668%2BMotMqIhQfCQeB%2FPLTt9BPE6Y9QoMlTw9ZsgSbTqvxF%2BxRdwqWzEDmcnungsiCYWaV96rCNmBW1nijwaddp0ZdefPxlPLvBRjN%2FDftp3Yn3BSQ7MlxlSzlHrO51uUdvSX7UAuQJ2vSo3T4UL447KN7BX%2FRcjpXmX6lDhh5ociE%2BrMnTBfl%2Fnx4gVBYYzFR8IDEYXDcoOAcFEJ0vGfUpKLeih6B8M%2FOOKuuEGUaQ8A%2FAKgpoGJSu6Pls7LaPXUtBILbzQLo69db%2FzeXbteNrND7ttYA19bqjOuj2xXatKoWd4XJ12mEnFwcoTfajDfHJskqvrPIiLknw%2BNekXpF8X4mxBV909IkAZkiYNn8WVkBVrlmgYNNAEr7OWqEPuBcrtPXJqdQBHA74Cso33ia0NvE2Lq%2BsOoS%2Fv84DNr0EllpT%2FAdJfN8AukUmqh6aUnq9v9eVRiIDHMBJk9eZZdsBHl0M3%2FeNGxgZqzt0t4lMOmc7sHj8MKbH21SiTk01kucxU%2BOjlKVVo5Ti6BxnMwkmxMqqzBv%2BCA9WQKj0b5bdTq0tDu3%2FRlhCn9Heolggd6zz1dMbq8pnKsWiqDAv1DUDEjNpXefD0cewz9pfhRDyS5LbCkCo7uMsvV9vnYNPmbr%2B9Z9JHCGet2Oo%3D,231,55,16,8,9,#588207953,Apple,iPhone,360,360°,360,Plástico,VIGU
9, Funda Tipo Piel Leather Case iPhone 6 7 8 Plus X Max Xr +mic ,269,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2324
				vendidos
			
		",(19 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1494
		
		 sin intereses
		
	

	
		",94,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,77,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-623748083-funda-tipo-piel-leather-case-iphone-6-7-8-plus-x-max-xr-mic-_JM?searchVariation=32254170260,68,8,1,0,0,#623748083,Apple,6 6s 6 plus 6s plus 7 7 plus 8 8 plus X Xs Xs max Xr,Mikki,Business Leather,Protector,TPU,NA
10, Funda Protector Case R-just Batman Original De Aluminio ,449,NA,"
			
				Nuevo
			
			
				
					 - 
				
				70
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 4436
		
		 sin intereses
		
	

	
		",36,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,5.0,1,https://perfil.mercadolibre.com.mx/TECNOLOCK,https://articulo.mercadolibre.com.mx/MLM-689155990-funda-protector-case-r-just-batman-original-de-aluminio-_JM,NA,NA,NA,NA,NA,#689155990,Samsung,S10,R JUST,1,CASE,Aluminio,NA
11," Funda Case Survivor 360 iPhone 8, 8+, 7, 7+, 6, 6+, X, Xs, R ",379,NA,"
			
				Nuevo
			
			
				
					 - 
				
				87
				vendidos
			
		",(30 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 2106
		
		 sin intereses
		
	

	
		",06,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,5.0,3,https://perfil.mercadolibre.com.mx/JUAR2374152,https://articulo.mercadolibre.com.mx/MLM-690250134-funda-case-survivor-360-iphone-8-8-7-7-6-6-x-xs-r-_JM?searchVariation=38982966980,3,0,0,0,0,#690250134,APPLE IPHONE,"XS MAX, XS, XR, X,8 PLUS, 8, 7 PLUS, 7, 6 PLUS, 6S PLUS, 6, 6S, 5, 5S, SE",ARMOR,SURVIVOR USO RUDO ALTO IMPACTO,SURVIVOR ALTO IMPACTO,"Aluminio, tau, metal, acero, caucho, vidrio",NA
12, Funda Uso Rudo Antigolpes Camuflaje iPhone 5 6s 7 7+ 8 8+ X ,219,NA,"
			
				Nuevo
			
			
				
					 - 
				
				271
				vendidos
			
		",(77 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1217
		
		 sin intereses
		
	

	
		",17,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,10,https://perfil.mercadolibre.com.mx/NETONBOX,https://articulo.mercadolibre.com.mx/MLM-650104729-funda-uso-rudo-antigolpes-camuflaje-iphone-5-6s-7-7-8-8-x-_JM?searchVariation=34880612172,8,2,0,0,0,#650104729,Apple,iPhone X / 7 / 7 Plus / 8 / 8 Plus / 6 /6s / 6 Plus / 5 / 5s / SE,NETONBOX,Militar Camuflado,Uso Rudo Antigolpes Flexble y Rigida,Plástico,NETONBOX
13, Funda iPhone X Xs Max iPhone 8 Plus iPhone 7 Plus 6 Plus ,136,170,"
			
				Nuevo
			
			
				
					 - 
				
				447
				vendidos
			
		",(167 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 756
		
		 sin intereses
		
	

	
		",56,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.4,21,https://perfil.mercadolibre.com.mx/IMPOR.MEX,https://articulo.mercadolibre.com.mx/MLM-566115766-funda-iphone-x-xs-max-iphone-8-plus-iphone-7-plus-6-plus-_JM?searchVariation=24517211188,14,3,3,1,0,#566115766,Apple,iPhone,Genérico,Trasera,Transparente,Aluminio,Apple
