search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Marca,Tipo de funda,Color
1, Carcasa Apple Silicona Original 6 / 7 Y 7 Plus / 8 Y 8 Plus ,7.800,NA,"
			
				Nuevo
			
			
				
					 - 
				
				247
				vendidos
			
		",(79 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 650
			
		
		 sin interés
		
	

	
		","
				$ 650
			",NA,Envío a todo el país,NA,NA,4.8,16,https://perfil.mercadolibre.cl/CELLBOX.CL,https://articulo.mercadolibre.cl/MLC-454645969-carcasa-apple-silicona-original-6-7-y-7-plus-8-y-8-plus-_JM?searchVariation=36229993361,15,0,0,0,1,#454645969,Apple,Apple,Carcasa,NA
2, Carcasa Rock Ultra Delgada iPhone 6/7/8/x/xs/plus ,8.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				351
				vendidos
			
		",(168 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 749
			
		
		 sin interés
		
	

	
		","
				$ 749
			",NA,Envío a todo el país,NA,NA,4.7,29,https://perfil.mercadolibre.cl/BANANATIENDA,https://articulo.mercadolibre.cl/MLC-452176797-carcasa-rock-ultra-delgada-iphone-678xxsplus-_JM,26,1,0,1,1,#452176797,Apple,ROCK,Carcasa,NA
3, iPhone 5 5s 6 6s 7 8 Plus Carcasa 360 Slim Gkk | Kyrios ,7.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				65
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 666
			
		
		 sin interés
		
	

	
		","
				$ 666
			",NA,Envío a todo el país,NA,NA,4.8,5,https://perfil.mercadolibre.cl/TIENDA+KYRIOS,https://articulo.mercadolibre.cl/MLC-473097419-iphone-5-5s-6-6s-7-8-plus-carcasa-360-slim-gkk-kyrios-_JM,4,1,0,0,0,#473097419,Apple,GKK,Carcasa,NA
4, Apple iPhone Xr 64gb 4g Plus Banda28 Mica Funda -phone Store ,649.990,749.990,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(894 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 108.332
			
		
		 sin interés
		
	

	
		","
				$ 108.332
			",NA,Envío gratis a todo el país,NA,NA,4.9,14,https://perfil.mercadolibre.cl/PHONESTORE-RETAILCHILE,https://articulo.mercadolibre.cl/MLC-471445619-apple-iphone-xr-64gb-4g-plus-banda28-mica-funda-phone-store-_JM,12,2,0,0,0,#471445619,NA,Apple,NA,Live
5, Carcasa Magnética iPhone 6 6s 6 Plus 7 8 8 Plus X | Digitek ,9.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				29
				vendidos
			
		",(71 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.665
			
		
		 sin interés
		
	

	
		","
				$ 1.665
			",NA,Envío a todo el país,NA,NA,4.0,1,https://perfil.mercadolibre.cl/DIGITEK.CL,https://articulo.mercadolibre.cl/MLC-489124640-carcasa-magnetica-iphone-6-6s-6-plus-7-8-8-plus-x-digitek-_JM,NA,NA,NA,NA,NA,#489124640,Apple,NA,Carcasa,NA
6, Carcasas Colores iPhone Silicona 6/7/8/x/xs/xr/plus ,6.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				51
				vendidos
			
		",(81 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 582
			
		
		 sin interés
		
	

	
		","
				$ 582
			",NA,Envío a todo el país,NA,NA,5.0,3,https://perfil.mercadolibre.cl/BANANATIENDA,https://articulo.mercadolibre.cl/MLC-492059051-carcasas-colores-iphone-silicona-678xxsxrplus-_JM?searchVariation=39967227028,3,0,0,0,0,#492059051,Apple,Silicone,Carcasa,NA
7, Carcasas Apple Cuero iPhone 6 / 6 Plus 7 7 Plus 8 Y 8 Plus ,8.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				131
				vendidos
			
		",(376 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 749
			
		
		 sin interés
		
	

	
		","
				$ 749
			",NA,Envío a todo el país,NA,NA,4.3,8,https://perfil.mercadolibre.cl/CELLBOX.CL,https://articulo.mercadolibre.cl/MLC-455131366-carcasas-apple-cuero-iphone-6-6-plus-7-7-plus-8-y-8-plus-_JM?searchVariation=36233406122,5,2,0,0,1,#455131366,Apple,Apple,Carcasa,NA
8, iPhone 6 7 8 Plus Carcasa Shockproof Ipaky | Kyrios ,10.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				67
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 916
			
		
		 sin interés
		
	

	
		","
				$ 916
			",NA,Envío a todo el país,NA,NA,5.0,4,https://perfil.mercadolibre.cl/TIENDA+KYRIOS,https://articulo.mercadolibre.cl/MLC-455542006-iphone-6-7-8-plus-carcasa-shockproof-ipaky-kyrios-_JM?searchVariation=38591914053,4,0,0,0,0,#455542006,Apple,IPAKY,Carcasa,NA
9, Power Case Bateria Externa Funda 5000mah iPhone 6 7 8 Plus ,14.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				19
				vendidos
			
		",(81 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 2.498
			
		
		 sin interés
		
	

	
		","
				$ 2.498
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TECNOPICADA,https://articulo.mercadolibre.cl/MLC-471415131-power-case-bateria-externa-funda-5000mah-iphone-6-7-8-plus-_JM,NA,NA,NA,NA,NA,#471415131,NA,NA,NA,NA
10, Apple iPhone 8 Plus 64gb + Lamina Y Funda - Phone Store ,774.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				104
				vendidos
			
		",(796 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 129.165
			
		
		 sin interés
		
	

	
		","
				$ 129.165
			",NA,Envío gratis a todo el país,NA,NA,4.9,46,https://perfil.mercadolibre.cl/PHONESTORE-RETAILCHILE,https://articulo.mercadolibre.cl/MLC-450308073-apple-iphone-8-plus-64gb-lamina-y-funda-phone-store-_JM,43,1,2,0,0,#450308073,NA,Apple,NA,NA
11, Carcasa + Soporte Dragon Ball iPhone X 6 7 8 Plus Xs Max ,7.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				15
				vendidos
			
		",(7 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 666
			
		
		 sin interés
		
	

	
		","
				$ 666
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/COMERCIALIZADORA+REGALOCO,https://articulo.mercadolibre.cl/MLC-475108196-carcasa-soporte-dragon-ball-iphone-x-6-7-8-plus-xs-max-_JM,NA,NA,NA,NA,NA,#475108196,Apple,NA,Carcasa,NA
12, iPhone 7 / 8 / 7 Plus / 8 Plus Carcasa Magnética | Kyrios ,11.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				34
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 999
			
		
		 sin interés
		
	

	
		","
				$ 999
			",NA,Envío a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/TIENDA+KYRIOS,https://articulo.mercadolibre.cl/MLC-470386540-iphone-7-8-7-plus-8-plus-carcasa-magnetica-kyrios-_JM?searchVariation=37721968573,NA,NA,NA,NA,NA,#470386540,Apple,LUPHIE,Carcasa,NA
13, Carcasas Apple Cuero iPhone 6 6 Plus 6s Plus 7 8 7 8 Plus ,14.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				606
				vendidos
			
		",(6 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 2.498
			
		
		 sin interés
		
	

	
		","
				$ 2.498
			",NA,Envío a todo el país,NA,NA,4.4,40,https://perfil.mercadolibre.cl/SMARTBUYCHILE,https://articulo.mercadolibre.cl/MLC-434288453-carcasas-apple-cuero-iphone-6-6-plus-6s-plus-7-8-7-8-plus-_JM?searchVariation=35810579020,25,8,4,2,1,#434288453,Apple,Apple,Carcasa,NA
14, Lote De 12 Fundas De Cuero Para iPhone 6 / 7 / Plus / 8 / X ,89.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(98 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 7.499
			
		
		 sin interés
		
	

	
		","
				$ 7.499
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CELLBOX.CL,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=aozkfU6yyCS1JbtwiolOn2d6oUG0HmAqJ2XIc0I2jTeTH%2F%2FtFe1w5YGU1E25BuvDEcJ6Mk%2F0XFG%2F2M9Sn68ph1C4B5dreXXaV76EbIWvocJaCdsBfZuVrXrSgAGT3Uyu4hd4Smto5YonUS3d8yN1G1DEbb5nPSCJ4LKVx43lfl8qZEwhpxjSl9WZpWmq7%2Fl0uihigqedVdskLJ698nY4NCK%2FpET01pd2Ov4ulYcL%2BnlGY5Ly2%2Fowu%2B%2FYcKU8968oRe8ufjtDxIXctFdld1f1B1JUs47KN3jlFufiYzNDl51XpGYUEFsTvOS7aQJwizDGrtW92gGNLVwLv7WI8ZYtPV76AEL3Ox5L%2BW27puQ2gI81nr%2Beiwm1RafbrN%2BnDf2dUzpXU6du2EFwK9ckb1k2aOjKKNbJSYFvAHnmZvH2DAchy%2BMAPWjFfOQ%2BNA2xJY7gL4Z3SyD5qpYUbcc6J3AWMHjs0BvJRmWH6ft4HvAQJxIctzA0m%2F72ermuQ77rXI2HzoGr3r0df5nKWJy3lZ69YgU3MtDs2tVO0IzLfGGaADf6RkW%2BNI%2FoGWBGDsWCMcNheulx9uydVaAAa2j0bgV3HY%2FvWlEnN%2BWVezAlBbubgGFCwiFJFZflvJ8kF4IltT1kUgrz4W2bIRTNadT7g6q8fEmjY2Fd6GRkM1ptEgnKWRP32kPndgl3wKofaSzhHOp2Ci%2FY1xzLymkuzsTAamufLpG2vTXvIMWQSVq9KSjqZ2Kg7FSG9QgRuaqQ%2BwiS3sQShyZF5Q76JxbA3T0Xhr%2FMti2X%2BIXzdcJlCvQvZKZygEUmVvdmE0Pl31AGNRYcsBtP0uPnnRdXBSjuQJLGLINkd6dpam0JOikWMT5TxLuFtIuwSCXHqRWd9KfyX1HmlfcpeFjtjLPdKLRIs1A4UGvg28CSbom50V8UxK2cumyqqd1wSGTh1rHdfZRJhZg8h6f3rAHl7tW91uYfepW9S5fLPQXuKfJTpAOPOOfqTgGegBkPfbuwIhOpbN3ukCKUzry91H55wZLvOuGscfDnM4FNAxICoRSsc3p%2BiAdWRL0bqY1aZiZadE6QEp7yPTOtS6R5rb5kwxAhnrgo5NxbeC7VCAJVJSO91rn7cr43d%2FT5v9JvgBHgX%2FMxwouyalCUTQWlBKZ8Kgwg9zOLIQt1I6Fe3BnIdYm41%2FPrPQQUMeZdzp8ukseaJ%2F%2F0ELNd5YfPoPqAyQCHGacuOz7djL2V4xA5WJbv3RFOQgyYqiwiIeaVb6ftpZGFwQjN0EGt5hriBW7OOoPt834spsj92wXzr4nGE7yzy0%2BbwAQBuZ76xuB5iN9U9yHXJbpP6D23Jn3pIM7gC2AcVxMv7DWEiRxDhpU0f4M3tW9kZWpmvLtInDx2tCiCWQDsTzUDQqQkwlV2l9oWDf3rrRsHy8FJYuZBM80mJtuU8Ce88a01FQ%3D%3D,NA,NA,NA,NA,NA,#459600680,Apple,NA,Carcasa,NA
15, Carcasa Love Mei iPhone 7 8 X Y 7 8 Plus - Tecnostrike ,20.990,22.990,"
			
				Nuevo
			
			
				
					 - 
				
				331
				vendidos
			
		",(710 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.498
			
		
		 sin interés
		
	

	
		","
				$ 3.498
			",NA,Envío gratis a todo el país,NA,NA,4.1,13,https://perfil.mercadolibre.cl/TECNOSTRIKE,https://articulo.mercadolibre.cl/MLC-435358128-carcasa-love-mei-iphone-7-8-x-y-7-8-plus-tecnostrike-_JM,8,1,1,3,0,#435358128,Apple,LOVE MEI,Carcasa,NA
16, Carcasa Original Ipaky 360º iPhone 8 Plus + Vidrio Templado ,13.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3008
				vendidos
			
		",(5 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 2.332
			
		
		 sin interés
		
	

	
		","
				$ 2.332
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MONKEYCOLOR,https://articulo.mercadolibre.cl/MLC-451130493-carcasa-original-ipaky-360-iphone-8-plus-vidrio-templado-_JM,NA,NA,NA,NA,NA,#451130493,Apple,Genérico,Carcasa,NA
17, Carcasa Transparente Reforzada Para iPhone 8 Plus Miaustore ,3.590,NA,"
			
				Nuevo
			
			
				
					 - 
				
				22
				vendidos
			
		",(7 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 299
			
		
		 sin interés
		
	

	
		","
				$ 299
			",NA,Envío a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/MIAUSTORE.CL,https://articulo.mercadolibre.cl/MLC-453525745-carcasa-transparente-reforzada-para-iphone-8-plus-miaustore-_JM,NA,NA,NA,NA,NA,#453525745,Apple,NA,Carcasa,NA
18, Carcasa Apple Silicona Original 6 / 7 Y 7 Plus / 8 Y 8 Plus ,7.800,NA,"
			
				Nuevo
			
			
				
					 - 
				
				247
				vendidos
			
		",(79 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 650
			
		
		 sin interés
		
	

	
		","
				$ 650
			",NA,Envío a todo el país,NA,NA,4.8,16,https://perfil.mercadolibre.cl/CELLBOX.CL,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=QuCfa8eMT8jHXw3pz6kBX89UFG7K9Y0MN9VnC9qIDx7ylLhzL2zP0AjRi2TQ8vdQ%2BICFJeQZmdoWg0UEI7L%2FxsVY4z4kLelVvqs7ctlouVZbgCGK5OFzGr9P6zWS5QdS6YdWgo5Q166CHYN2TQx7VPKXwbFOjvQPcb7gI89TtxmhIWXFqnkXj8eCckPac2ESKracpqTAwRX%2BUQ%2B3624QUqQwBAu44fznVGdhp191U91UxGI2rqYM4i%2FFUHweUrbi5GVTMRrypL1dlPfYcrkoSVU71Y0mbkXdB6WUUGojRXofUcxpajc2pj196DWPWsaaAqpxCqDisEqE095GDmQZU5QTUH5awcIGJfa92BUN3NWfm7mUgCP60vpwfAyBlaEiUW8kn0oE8ch0E2CQRGpHW0Dpov71VqlbvURSEsk2RvMxsgsBx1jNYMuC0ehZIHxuTl9amrllBUtmcy2JzOlsyD04dV17K9Q1MIF%2BYAO2gki1ZySEUCGZlhD3nUi%2BDXBRDJwqvKfpjcutExkY585Q%2FdoWxypm2k8BfjRvEj5SI7n2ltnynCi1T3fzb%2Fx4P6kb2FXZysD%2BrWeAUgt5P8o%2FgU2egYumNfgrIFVuMPFzvMz%2FZgNvQ6op3Q7LLbfO7iOICFQq5wlqB9YPTR4tw%2F7IpYhVzoI9qppGUDJznjShW%2BxHsfLdETeuqJ%2FyMfLtXIEyGHQqS4JSW8bbNZ5yzaA9cFMN0%2Fj%2FYac16NbR52gWA17tc09g4N90%2BrxlH8o8UX%2BXdEqyjANJyxGlECh1U4ATbBa5MAK44dHDQ5zU7TtBtZ1jiHf0q2mRb1WduSu3FIkQ7BwRpJhiAd0Cw4sYt3vUXc0R5ITQfefrVpAsbwU2CtrFsBbP1bRF9G1cC46K2z%2FIR7XX3U2ETIDlbf18YTx3Wx8fMvHt6yqG2BDj2iidvr489D68M4s3YybZlr06TCHpo%2BixrPYIRxPgRFYpgxY9N7ihi9Zu0%2BctnHaD4WwpfTxJC0SBN7vxqn55uZ67o0562XSugmDSffWPKwmt7q5SmqCRGWFURGTfuMniPcV0%2B1H%2BBMpKKzl9w7PPZBo%2F0PHJXtmOMfhMKvP5kVfSo9EHlOKIfe9BM0085E5J2mq9DlFnqaBPDv2Gy29BklmL8Rs5hSut7jwiaVab6iRLzq8kaYjtNWs4O6TN0bg7x2mn0DEQdgO4XyXYfk96FRo1L1RpK8DHDaTiNX0nOBsKIPrwNQqErCUmAraJ2ERiC31K%2FEA1xiP3KkJsKLUjqsVNioHu9aWS43qQznbTsUlLdLxOcCdlntJocHshihogftqYNhMr3CwNEdVF5xvqg%2BPv3ZuQWxjeavI1XfbfaPE8tK30vdjMpEYSJjH2j91CXwO6HsU6N1dJyx9Tykz59mynP%2FWEBH%2B3LAfJ09%2BsBPhK%2BZmSHJGsDAzNiNvrbg5LC1o%3D,15,0,0,0,1,#454645969,Apple,Apple,Carcasa,NA
19, iPhone 7 8 Plus Carcasa Silicona Platered Slim Esr | Kyrios ,7.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				9
				vendidos
			
		",(1 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 666
			
		
		 sin interés
		
	

	
		","
				$ 666
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TIENDA+KYRIOS,https://articulo.mercadolibre.cl/MLC-448592292-iphone-7-8-plus-carcasa-silicona-platered-slim-esr-kyrios-_JM?searchVariation=34841122657,NA,NA,NA,NA,NA,#448592292,Apple,ESR,Carcasa,NA
20, Apple iPhone 7/8 Plus Tpu Premium Nillkin - Webphone ,9.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 832
			
		
		 sin interés
		
	

	
		","
				$ 832
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/WEBPHONESPA,https://articulo.mercadolibre.cl/MLC-468866299-apple-iphone-78-plus-tpu-premium-nillkin-webphone-_JM,NA,NA,NA,NA,NA,#468866299,Apple,NA,Carcasa,NA
21, Carcasa Cuero Hanman Billetera iPhone 6 7 8 / Plus + Colores ,15.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				44
				vendidos
			
		",(124 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.332
			
		
		 sin interés
		
	

	
		","
				$ 1.332
			",NA,Envío a todo el país,NA,NA,4.3,4,https://perfil.mercadolibre.cl/SMARTBUYCHILE,https://articulo.mercadolibre.cl/MLC-448901342-carcasa-cuero-hanman-billetera-iphone-6-7-8-plus-colores-_JM?searchVariation=35452869692,3,0,0,1,0,#448901342,Apple,Hanman,Carcasa,NA
22, Carcasa 360° iPhone 8 7 Plus + Vidrio Templado Rojo 3 En 1 ,9.995,NA,"
			
				Nuevo
			
			
				
					 - 
				
				8
				vendidos
			
		",(8 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.666
			
		
		 sin interés
		
	

	
		","
				$ 1.666
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/ALPHATECHILE,https://articulo.mercadolibre.cl/MLC-452825550-carcasa-360-iphone-8-7-plus-vidrio-templado-rojo-3-en-1-_JM,NA,NA,NA,NA,NA,#452825550,Apple,NA,Carcasa,NA
23, iPhone 7 8 Plus Carcasa Silicona Antigolpe Brillos | Kyrios ,8.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				11
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 749
			
		
		 sin interés
		
	

	
		","
				$ 749
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TIENDA+KYRIOS,https://articulo.mercadolibre.cl/MLC-446510146-iphone-7-8-plus-carcasa-silicona-antigolpe-brillos-kyrios-_JM?searchVariation=34372215982,NA,NA,NA,NA,NA,#446510146,Apple,ESR,Carcasa,NA
