search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Material,Marca,Modelo
1, Estuche Funda iPhone 7 Y iPhone 8 ® Blister En Silicona ,450,NA,23,65,18 cuotas,25.00,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.uy/VENTAUY,https://articulo.mercadolibre.com.uy/MLU-455406832-estuche-funda-iphone-7-y-iphone-8-blister-en-silicona-_JM,1,0,0,0,0,#455406832,Apple,Silicona,NA,NA
2, Funda Transparente iPhone 8 & 8 Plus Shockproof Hybrid Case ,440,NA,62,8,18 cuotas,24.44,NA,Entrega a acordar con el vendedor,NA,NA,5,4,http://perfil.mercadolibre.com.uy/FREE_BUY_2633,https://articulo.mercadolibre.com.uy/MLU-455994544-funda-transparente-iphone-8-8-plus-shockproof-hybrid-case-_JM,4,0,0,0,0,#455994544,Apple,NA,NA,NA
3, Carcasa Case iPhone Original Silicona 6 7 8 6/7/8pls 10 X Xs ,490,NA,6,159,18 cuotas,27.22,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MUNDOSHOP.UY,https://articulo.mercadolibre.com.uy/MLU-464439097-carcasa-case-iphone-original-silicona-6-7-8-678pls-10-x-xs-_JM?searchVariation=39510407312,NA,NA,NA,NA,NA,#464439097,Apple,Silicona,Apple,Todos
4, Protector Full 360 + Vidrio iPhone 8 7 6s 6 Y Plus 5 5s Se ® ,117,NA,1827,3940,18 cuotas,6.50,NA,Envío a todo el país,NA,NA,4.6,65,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-442559969-protector-full-360-vidrio-iphone-8-7-6s-6-y-plus-5-5s-se--_JM,50,10,3,0,2,#442559969,Apple,NA,NA,NA
5, Protector Tpu Borde Alto Impacto iPhone 8 7 6 6s Plus 5s 5 ® ,150,NA,229,3815,18 cuotas,8.33,NA,Envío a todo el país,NA,NA,4.6,8,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-446712450-protector-tpu-borde-alto-impacto-iphone-8-7-6-6s-plus-5s-5--_JM,6,1,1,0,0,#446712450,Apple,TPU,NA,NA
6, Protector 360 Magnetico iPhone 6 7 7plus 8 8plus Xs Xr Xsmax ,490,NA,437,43,18 cuotas,27.22,NA,Envío a todo el país,NA,NA,1,2,http://perfil.mercadolibre.com.uy/TUBELUXUY,https://articulo.mercadolibre.com.uy/MLU-443922805-protector-360-magnetico-iphone-6-7-7plus-8-8plus-xs-xr-xsmax-_JM?searchVariation=35598511124,0,0,0,0,2,#443922805,Apple,TPU,NA,NA
7, Protector Funda iPhone 8 Plus Ardillas Carcasa ,599,NA,3,3,18 cuotas,33.28,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-449485678-protector-funda-iphone-8-plus-ardillas-carcasa-_JM,NA,NA,NA,NA,NA,#449485678,Apple,Silicona,NA,NA
8, Funda Transparente iPhone 8 & 8 Plus Ultra Slim Hybrid Case ,420,NA,242,68,18 cuotas,23.33,NA,Entrega a acordar con el vendedor,NA,NA,4.6,22,http://perfil.mercadolibre.com.uy/FREE_BUY_2633,https://articulo.mercadolibre.com.uy/MLU-448803228-funda-transparente-iphone-8-8-plus-ultra-slim-hybrid-case-_JM,14,7,1,0,0,#448803228,Apple,NA,NA,NA
9, Protector Fino Cristal Bumper iPhone 8 7 6 6s 5 5s Se Plus ® ,190,NA,631,3933,18 cuotas,10.56,NA,Envío a todo el país,NA,NA,4.4,35,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-443333988-protector-fino-cristal-bumper-iphone-8-7-6-6s-5-5s-se-plus--_JM,20,10,4,1,0,#443333988,Apple,TPU,Apple,5/SE/6s/7/8/ Plus
10, Funda Tpu+vidrio Templado+cable Datos iPhone 8 7 ,299,NA,8,3,18 cuotas,16.61,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-449000648-funda-tpuvidrio-templadocable-datos-iphone-8-7-_JM,NA,NA,NA,NA,NA,#449000648,Apple,NA,Apple,NA
11, Protector Funda Silicona iPhone 8 7 Plus Rock 3d Carcasa ,249,NA,3,2,18 cuotas,13.83,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-449413855-protector-funda-silicona-iphone-8-7-plus-rock-3d-carcasa-_JM,NA,NA,NA,NA,NA,#449413855,Apple,Silicona,Apple,NA
12, Protector Fino Simil Cuero iPhone 8 7 6s 6 Se 5s 5 Y Plus ® ,380,NA,806,3985,18 cuotas,21.11,NA,Envío a todo el país,NA,NA,4,25,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-443202210-protector-fino-simil-cuero-iphone-8-7-6s-6-se-5s-5-y-plus--_JM,12,7,2,3,1,#443202210,Apple,Cuero,NA,NA
13, Protector 360 Magnetico iPhone 6s Plus 8 8 Plus X Xr Xs Max ,540,NA,37,50,18 cuotas,30.00,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/TUBELUXUY,https://articulo.mercadolibre.com.uy/MLU-460107403-protector-360-magnetico-iphone-6s-plus-8-8-plus-x-xr-xs-max-_JM?searchVariation=35752124178,NA,NA,NA,NA,NA,#460107403,Apple,NA,NA,NA
14, Carcasa Case iPhone Original Silicona 6 7 8 6/7/8pls 10 X Xs ,490,NA,6,794,18 cuotas,27.22,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MUNDOSHOP.UY,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=%2F4PD9apfbXuwi2Ur473MQcp2yEDRAwPjl6KvwsIbT1M2TKV7Rq6s5BzhBJOfePB6X%2FTvXYJYS7XRZ%2FB3B1hC4oLoXebecW7dnMZTqeO2bpbL2oxOeCtBFCKPLhvNWbnRX9w%2B08HNpH0T06JCbTVtrTfZLPNXT93LdtVwiMQanwOQPPCdBa9vukzQcukhcR2mjyIHpr%2BlcoKDPHC%2BEclX5kO%2BZtq4TSzLBKJyhxlSnOd6aVPH9eqSYLtym%2BBbKuG6pRhM11LZ1v%2FiQemKAs0JoaQaxlfEtUUpJb1X0DBl4qJFJh7dTbgnOd2lNFNUXWBHEMdxL06dzIZgLIfeKmAoybkEQg7p6hT4GX2R7RCrBxzA4LgYg%2F4Sr5a2KRHaAx24TMNd7ihtDTZ2y1tEuSkod5w4hk3eDqtI2Tvl%2BHt1F0HtH4gYaJX9xpj9YX4KjN32J2IH2dNwRfG5FdwekOIZtEk3D0tIHigTBcF5lLytc3avobyiNQuxoGBNsbYB3Mn%2Bt2Zt10nFa9nWHm%2Fhrw%2B9XEAY4Y%2BSvuMXzxlwiNZCUm%2BY9WSnYYKpMvloJhz7F2epoPzFmIt3dUCOWbXczDlnrR1RR497Qq%2FbEb9uf0VaDw%2BfQrgifGhkaJKT%2B8k46r2yj8EcYIm%2BfTgwfzTkLDnScD7rDC4xYDbsP81xarpX%2FMkxQNSZV5Arbsd9%2BSFre2te4Lc1wq4aqr725Z0IVVgTkXJii0oSs%2BmC5%2BncLzg87Eu2IRej6nzlet9dpVRIonRRnFyv8TiuE%2B%2FeGVYJzb02c%2FPJKPOxtHk4T3boTovnuxL%2FsKUAFBTegTnXNydRsy3Now05udpeEoWHHxK9g1dhiJ2IirARYq8XSgSkJ6nEW2o2iQsm9GlESZA6bT2hPonEybwpRTxLH68kIaX1FZKUmEj6EGmyqhbbysPFyKCZz4b9X00uJgg%2FOedpJNuQC6wLGm1VvXhYJzGLN8k%2FidM7ydNOD4Q2Aa8L1UQOZstSAZjy31KcrkUbTn8WeihBPsZYuMB3x1ckOju8GBUXbac2JlFWXmJEGP4hQTblqAYYWWf2W8CAOoDy9yAp9%2F3SpySdeSuHgwMzYOM7bsgKdbxdW%2BkX2G22rl9Ft36dBT7B0Dv%2F68ra5RN8Hw4rMpny1rZnwtJlIz1C%2FdPdraG%2BZmRX6UD0OD00jQoy20SYtgsIIHHNDzAhA2nRHyYpgZaKby8dJ1CX70k%2B2QBQ5GEgUOUB7NM96kdAx7v7woMBfoIBWMAYNYipPmq2LzxkGenOjC4w%2BUXpq0tI2R3%2BsX%2BHUsAMrOsGiu%2FPV6oDgyMjiaEur6QJPgiqp89TY7BZZrS%2FGidrio8I7U3M%2BcsVZQZckWdzs16dTg1ykdNbgQw3pplJLrH4xHCz8PkZvs9aNkaqbqN4zI4fQpvengxiNxp5eesXe9Rjg21eJunxewr2BnWdlUve%2BiwitIIk0UR6PeZLMA9nZKEewkGtxCoeqGPgAtiwzacsNgxQqYlEDq%2Bp%2Beo0eTQCEpPmkc6UQ%2F22SriL0QMY6Gs0WkB4O5iSJ3KUnK8nlQf0%2BH%2F%2BIu%2BxN%2Byi%2FsaiQmDL%2F4aaNIv%2BuPLmGqzoEQtR352w3q5HCCarsrXFWPeColel8rfS9hMtjPm4FBaN,NA,NA,NA,NA,NA,#464439097,Apple,Silicona,Apple,Todos
15, Protector Funda iPhone 8 7 6 Plus Silicona 3d Alien ,199,NA,4,17,18 cuotas,11.06,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-448209107-protector-funda-iphone-8-7-6-plus-silicona-3d-alien-_JM,NA,NA,NA,NA,NA,#448209107,Apple,Silicona,Apple,NA
16, Protector Tpu Premium + Vidrio Templado iPhone 8 7 6s 6 Plus ,150,NA,185,122,18 cuotas,8.33,NA,Envío a todo el país,NA,NA,4.6,5,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-440300653-protector-tpu-premium-vidrio-templado-iphone-8-7-6s-6-plus-_JM,3,2,0,0,0,#440300653,Apple,TPU,NA,S LINE
17, Funda Eco Cuero Apple iPhone 8 8 Plus Caja Simi Original ,490,NA,6,12,18 cuotas,27.22,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/FREE_BUY_2633,https://articulo.mercadolibre.com.uy/MLU-453894906-funda-eco-cuero-apple-iphone-8-8-plus-caja-simi-original-_JM,NA,NA,NA,NA,NA,#453894906,Apple,NA,Apple,NA
18, Protector Funda iPhone 8 Estuche Azul ,210,NA,2,4,18 cuotas,11.67,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-450284207-protector-funda-iphone-8-estuche-azul-_JM,NA,NA,NA,NA,NA,#450284207,Apple,Silicona,Apple,NA
19, Estuche Espejados Aluminio iPhone 8 7 6 6 Plus 5 Se ,90,NA,152,85,18 cuotas,5.00,NA,Envío a todo el país,NA,NA,4.6,5,http://perfil.mercadolibre.com.uy/PRO+ACCESORIOSUY,https://articulo.mercadolibre.com.uy/MLU-445173371-estuche-espejados-aluminio-iphone-8-7-6-6-plus-5-se-_JM,4,0,1,0,0,#445173371,Apple,Aluminio,NA,Espejados
20, Brazalete iPhone 8 7 6s 6 Plus Note Y Otros Hasta 16x9cm ® ,100,NA,275,5000,18 cuotas,5.56,NA,Envío a todo el país,NA,NA,4.3,11,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-443333995-brazalete-iphone-8-7-6s-6-plus-note-y-otros-hasta-16x9cm--_JM,6,2,3,0,0,#443333995,Apple,Neopreno,Genérico,NA
21, Protector Funda iPhone 8 7 Silicona 3d Pop Carcasa ,199,NA,2,5,18 cuotas,11.06,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-448303164-protector-funda-iphone-8-7-silicona-3d-pop-carcasa-_JM,NA,NA,NA,NA,NA,#448303164,Apple,Silicona,Apple,NA
22, Funda Protector Estuche Case Premium iPhone 8 7 6 6s 5 5s Se ,200,NA,196,95,18 cuotas,11.11,NA,Envío a todo el país,NA,NA,4.7,11,http://perfil.mercadolibre.com.uy/PRO+ACCESORIOSUY,https://articulo.mercadolibre.com.uy/MLU-444778610-funda-protector-estuche-case-premium-iphone-8-7-6-6s-5-5s-se-_JM,8,3,0,0,0,#444778610,Apple,TPU,NA,Borde Cromado
23," Funda iPhone 7, Funda iPhone 8 [armorbox] I-blason Incorpora ",1488,NA,1,100,18 cuotas,82.67,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMESSTORE,https://articulo.mercadolibre.com.uy/MLU-457481427-funda-iphone-7-funda-iphone-8-armorbox-i-blason-incorpora-_JM,NA,NA,NA,NA,NA,#457481427,Apple,NA,i-Blason,iPhone7-Armorbox-Green
24, Protector Funda iPhone 8 Plus 7 Plus Silicona Pink ,399,NA,4,20,18 cuotas,22.17,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-448324848-protector-funda-iphone-8-plus-7-plus-silicona-pink-_JM,NA,NA,NA,NA,NA,#448324848,Apple,Silicona,Apple,NA
25, Funda Estuche C/ Bateria Powerbank iPhone 8 7 6s 6 ® ,690,NA,472,4999,18 cuotas,38.33,NA,Envío a todo el país,NA,NA,4.5,19,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-444690734-funda-estuche-c-bateria-powerbank-iphone-8-7-6s-6--_JM,13,4,1,1,0,#444690734,NA,NA,Power Bank,iPhone 8 / 7 / 6s / 6
26, Protector Funda iPhone 8 7 Silicona Pink Carcasa ,399,NA,4,2,18 cuotas,22.17,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-448324775-protector-funda-iphone-8-7-silicona-pink-carcasa-_JM,NA,NA,NA,NA,NA,#448324775,Apple,Silicona,Apple,NA
27, Funda Transparente iPhone 8 Plus Ultra Slim Hybrid Hard ,420,NA,3,10,18 cuotas,23.33,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/FREE_BUY_2633,https://articulo.mercadolibre.com.uy/MLU-449580489-funda-transparente-iphone-8-plus-ultra-slim-hybrid-hard-_JM,NA,NA,NA,NA,NA,#449580489,Apple,NA,NA,NA
