search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Marca,Material
1," Case Silicone iPhone 5s, Se, 6, 6s, 6 Plus, 7, 7 Plus, 8, X ",30,NA,"
			
				Nuevo
			
			
				
					 - 
				
				66
				vendidos
			
		",(110 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,4,http://perfil.mercadolibre.com.pe/APPLEMALLCENTER,https://articulo.mercadolibre.com.pe/MPE-427265378-case-silicone-iphone-5s-se-6-6s-6-plus-7-7-plus-8-x-_JM,4,0,0,0,0,#427265378,Apple,Silicone,Silicona
2, Case iPhone X Xr Xs Max 7 8 Plus Protector Delgado Mate ,69,NA,"
			
				Nuevo
			
			
				
					 - 
				
				7
				vendidos
			
		",(92 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.0,1,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-435989808-case-iphone-x-xr-xs-max-7-8-plus-protector-delgado-mate-_JM,NA,NA,NA,NA,NA,#435989808,Apple,NA,NA
3, Funda iPhone 7/8/7 Plus/8 Plus/ X 3 En 1 Case Carcasa ,12,NA,"
			
				Nuevo
			
			
				
					 - 
				
				15
				vendidos
			
		",(59 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JAPIMPORTA,https://articulo.mercadolibre.com.pe/MPE-431223060-funda-iphone-787-plus8-plus-x-3-en-1-case-carcasa-_JM,NA,NA,NA,NA,NA,#431223060,Apple,NA,NA
4, Case Cover Galaxy S10 S9 S8+ Plus S8 iPhone Xs Max X Note 9 ,169,NA,"
			
				Nuevo
			
			
				
					 - 
				
				78
				vendidos
			
		",(75 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,6,http://perfil.mercadolibre.com.pe/GLOBAL+CELS,https://articulo.mercadolibre.com.pe/MPE-424678527-case-cover-galaxy-s10-s9-s8-plus-s8-iphone-xs-max-x-note-9-_JM,5,1,0,0,0,#424678527,Samsung,NA,TPU/Policarbonato
5, Funda Case Transparente iPhone X 8 8 Plus 7 7 Plus 6s 6 ,39,NA,"
			
				Nuevo
			
			
				
					 - 
				
				9
				vendidos
			
		","
		
			¡Último disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CSHOP1,https://articulo.mercadolibre.com.pe/MPE-432367752-funda-case-transparente-iphone-x-8-8-plus-7-7-plus-6s-6-_JM,NA,NA,NA,NA,NA,#432367752,Apple,NA,NA
6, Protector Funda Silicone Case iPhone X 7 8 Y Plus Sellado ,34,NA,"
			
				Nuevo
			
			
				
					 - 
				
				394
				vendidos
			
		",(34 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,3.7,7,http://perfil.mercadolibre.com.pe/CASEMOTIONS.PE,https://articulo.mercadolibre.com.pe/MPE-422401481-protector-funda-silicone-case-iphone-x-7-8-y-plus-sellado-_JM,3,2,0,1,1,#422401481,Apple,NA,NA
7, Funda Case Protector iPhone 7/8/plus+ Protector Pantalla ,19,NA,"
			
				Nuevo
			
			
				
					 - 
				
				18
				vendidos
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,3.5,2,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-431577553-funda-case-protector-iphone-78plus-protector-pantalla-_JM,NA,NA,NA,NA,NA,#431577553,Apple,NA,NA
8," Funda Para iPhone 6, 6 Plus,7 Plus ,8 Plus - Autofocus Case ",16,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(70 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JAPIMPORTA,https://articulo.mercadolibre.com.pe/MPE-432242766-funda-para-iphone-6-6-plus7-plus-8-plus-autofocus-case-_JM,NA,NA,NA,NA,NA,#432242766,Apple,NA,NA
9, Case iPhone X Xs Max Xr 7 8 10 Plus Xs Protector Supcase Usa ,129,159,"
			
				Nuevo
			
			
				
					 - 
				
				15
				vendidos
			
		",(84 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.0,1,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-435989656-case-iphone-x-xs-max-xr-7-8-10-plus-xs-protector-supcase-usa-_JM,NA,NA,NA,NA,NA,#435989656,Apple,NA,NA
10, Apple® Leather Case Para iPhone 7 8 Plus Funda Cuero Tienda ,189,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(97 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-435990324-apple-leather-case-para-iphone-7-8-plus-funda-cuero-tienda-_JM,NA,NA,NA,NA,NA,#435990324,Apple,Apple,Cuero
11, Case Funda Protector Supcase iPhone 7 8 Y Plus Stock Colores ,39,NA,"
			
				Nuevo
			
			
				
					 - 
				
				160
				vendidos
			
		",(104 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,5,http://perfil.mercadolibre.com.pe/CASEMOTIONS.PE,https://articulo.mercadolibre.com.pe/MPE-421205404-case-funda-protector-supcase-iphone-7-8-y-plus-stock-colores-_JM,4,1,0,0,0,#421205404,Apple,NA,NA
12," Protector Funda Case Para Apple iPhone 7, 8 Original Sp ",59,NA,"
			
				Nuevo
			
			
				
					 - 
				
				15
				vendidos
			
		",(981 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SMARTPHONES_PERU,https://articulo.mercadolibre.com.pe/MPE-429142689-protector-funda-case-para-apple-iphone-7-8-original-sp-_JM,NA,NA,NA,NA,NA,#429142689,Apple,Apple,NA
13, iPhone Case Fibra Carbono 8 7 Plus X Protector Funda Cover ,24,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5
				vendidos
			
		",(15 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TIENDAEXPRESS.PE,https://articulo.mercadolibre.com.pe/MPE-433924614-iphone-case-fibra-carbono-8-7-plus-x-protector-funda-cover-_JM,NA,NA,NA,NA,NA,#433924614,Apple,NA,NA
14," Case Funda Anti Golpe Caída iPhone 6, 6+, 7/8, 7/8 Plus, X ",34,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(46 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/RODRI+STORE01,https://articulo.mercadolibre.com.pe/MPE-432630035-case-funda-anti-golpe-caida-iphone-6-6-78-78-plus-x-_JM,NA,NA,NA,NA,NA,#432630035,Apple,NA,TPU
15," Funda Case iPhone 6, 6s, 7, 7plus,8, 8plus,xr, X, Xs, Xs Max ",55,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(11 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GHINEXS,https://articulo.mercadolibre.com.pe/MPE-435296638-funda-case-iphone-6-6s-7-7plus8-8plusxr-x-xs-xs-max-_JM,NA,NA,NA,NA,NA,#435296638,Apple,NA,NA
16, Case iPhone 7/8 / 7/8 Plus X De Cuero Louis Vuitton Y Gucci ,65,NA,"
			
				Nuevo
			
			
				
					 - 
				
				7
				vendidos
			
		",(493 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/MALUPHONE,https://articulo.mercadolibre.com.pe/MPE-433215134-case-iphone-78-78-plus-x-de-cuero-louis-vuitton-y-gucci-_JM?searchVariation=40515285935,NA,NA,NA,NA,NA,#433215134,Apple,NA,Cuero
17, Case Delgado Mate Para iPhone X Xr Xs Max 7 8 Plus Protector ,69,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(95 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-435989675-case-delgado-mate-para-iphone-x-xr-xs-max-7-8-plus-protector-_JM,NA,NA,NA,NA,NA,#435989675,Apple,NA,NA
18, Case Galaxy Note 9 8 S7 Normal iPhone 7 8 Funda +vidrio Zizo ,169,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(96 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GLOBAL+CELS,https://articulo.mercadolibre.com.pe/MPE-432000557-case-galaxy-note-9-8-s7-normal-iphone-7-8-funda-vidrio-zizo-_JM,NA,NA,NA,NA,NA,#432000557,Samsung,NA,NA
19, Funda Protector Case Uag Monarch Note 8 iPhone 7 8 Xs Max ,69,NA,"
			
				Nuevo
			
			
				
					 - 
				
				112
				vendidos
			
		",(75 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.0,2,http://perfil.mercadolibre.com.pe/CASEMOTIONS.PE,https://articulo.mercadolibre.com.pe/MPE-420085642-funda-protector-case-uag-monarch-note-8-iphone-7-8-xs-max-_JM,NA,NA,NA,NA,NA,#420085642,Apple,NA,NA
20, iPhone 8 Plus Billetera Funda De Phone iPhone 7 Plus Funda X ,147,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(11 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NEGOCIOS+DANTE1920,https://articulo.mercadolibre.com.pe/MPE-436462758-iphone-8-plus-billetera-funda-de-phone-iphone-7-plus-funda-x-_JM,NA,NA,NA,NA,NA,#436462758,Apple,XRPOW,Cuero
