search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Linha,Modelo,Formato,Modelo alfanumérico
1, Fone De Ouvido Bluetooth Xiaomi Redmi Airdots ,115,148,"
			
			
				
				7122
				vendidos
			
		",(597 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 958
		
		 sem juros
		
	

	
		",58,NA,NA,NA,NA,4.7,496,https://perfil.mercadolivre.com.br/LOYALMALLBR?brandId=2069,https://produto.mercadolivre.com.br/MLB-1218445107-fone-de-ouvido-bluetooth-xiaomi-redmi-airdots-_JM,407,61,17,2,9,#1218445107,Xiaomi,Mi,Redmi  Airdots,In-ear,NA
2, Fone De Ouvido Flexi Sport Bluetooth Preto Multilaser Ph181 ,120,NA,"
			
				Novo
			
			
				
					 - 
				
				169
				vendidos
			
		",(30 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1147
		
		 sem juros
		
	

	
		",47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,3.7,13,https://perfil.mercadolivre.com.br/QUICK+BRASIL,https://produto.mercadolivre.com.br/MLB-1159521710-fone-de-ouvido-flexi-sport-bluetooth-preto-multilaser-ph181-_JM,8,0,1,1,3,#1159521710,Universal,Sport,PH181,In-ear,PH181
3, Fones De Ouvido Sem Fio Bluetooth I7s Tws ,58,NA,"
			
				Novo
			
			
				
					 - 
				
				288
				vendidos
			
		",(891 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 588
		
		 sem juros
		
	

	
		",88,NA,NA,NA,NA,4.7,1166,https://perfil.mercadolivre.com.br/MILAIBR,https://produto.mercadolivre.com.br/MLB-1184828280-fone-de-ouvido-bluetooth-i7stws-airpods-iphone-android-sfio-_JM,970,91,41,25,39,#1184828280,Apple,NA,i7s,In-ear,MMEF2
4, Fone De Ouvido Edifier W800bt Bluetooth - Nota Fiscal E Gtia ,250,NA,"
			
				Novo
			
			
				
					 - 
				
				1822
				vendidos
			
		",(146 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2083
		
		 sem juros
		
	

	
		",83,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,1002,https://perfil.mercadolivre.com.br/RCKAUDIO,https://produto.mercadolivre.com.br/MLB-1054567240-fone-de-ouvido-edifier-w800bt-bluetooth-nota-fiscal-e-gtia-_JM,841,127,28,3,3,#1054567240,Edifier,W,W800BT,Over-ear,NA
5, Headphone Bluetooth Fone De Ouvido Usb Micro Sd Rádio Fm B01 ,49,NA,"
			
				Novo
			
			
				
					 - 
				
				3857
				vendidos
			
		",(27 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 833
		
		 sem juros
		
	

	
		",33,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,67,https://perfil.mercadolivre.com.br/NATHCELLDIGITALL,https://produto.mercadolivre.com.br/MLB-920966446-fone-de-ouvido-bluetooth-41-bateria-dura-20-horas-de-musica-_JM,48,14,1,1,3,#920966446,Universal,Primeira,Marca JWCOM Modelo H30,In-ear,4.1 + EDR
6, Fone Ouvido Sem Fio Bluetooth 4.1 Celular Micro Sd Fm P2 Mp3 ,39,NA,"
			
				Novo
			
			
				
					 - 
				
				4237
				vendidos
			
		",(20 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 658
		
		 sem juros
		
	

	
		",58,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,181,https://perfil.mercadolivre.com.br/SUEDVENDAS,https://produto.mercadolivre.com.br/MLB-687286154-fone-de-ouvido-sem-fio-bluetooth-41-esportivo-stereo-sport-_JM,96,47,25,6,7,#687286154,Universal,Fone Bluetooth Sem Fio,BH-503,Over-ear,3.0
7, Fone De Ouvido Jbl E25bt Preto Bluetooth Original 12x ,189,NA,"
			
				Novo
			
			
				
					 - 
				
				757
				vendidos
			
		",(156 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1806
		
		 sem juros
		
	

	
		",06,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,232,https://perfil.mercadolivre.com.br/PONTOCERTOELETRO,https://produto.mercadolivre.com.br/MLB-1166049389-fone-de-ouvido-jbl-e25bt-preto-bluetooth-original-12x-_JM,172,38,12,4,5,#1166049389,JBL,E-Series,JBL E25BT,Ear-Buds,E25BT
8, Mini Fone De Ouvido Ponto Eletrônico Sem Fio Bluetooth ,20,NA,"
			
				Novo
			
			
				
					 - 
				
				298
				vendidos
			
		",(764 disponíveis),"
	
		
			
		
		4x 
		
			
				R$ 567
		
		 sem juros
		
	

	
		",67,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,2.8,5,https://perfil.mercadolivre.com.br/ARCORROM,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=blMczcHrYRs%2FsLEX1eE2PUH2sf2Mszl0SXbXtIhbMS5X6AMQ7I70HTK3FT%2FoS1TR%2Bkbxox953P39x7Fgi5auD9Fgu%2F9%2FCKHZuG7Dk4EISx5TbAhF3ftq9Fncr3w6Fs2HDiukZMN9swJnFM8smImx53uKXux6gzCGrT8hI%2BPR4uFbUBSRjRpA3jy7Vu34O3i7L3oVi7tGHOYDcNybDb36MZ6ZP9p%2Fz%2FQNCdbneXEU%2BnSrG9VCW35EB6PB0ePPSneXGxcN9MgZbUlINHu%2FtoL%2FW7cBEBcnN09Nienx42qPKKk47t2kKJBfEnqjMS8vUvaBZyfFG3LexWqu0E6WwGizPO8289FHgs4T%2F738cpQmm1PxS%2FpqsHzKEg2dz%2F2fW2JUr8kF100CRD%2BSxJTT56aFaJAW3%2FiCzZ7K7H68yvsV0durUdsCPA81hlR6tvG4PIlbQenFnkzBc3bms9TtIBLfLLO7RyZz7I66l9oB6MgH1qOYJ7gSorUCJeGYc0f2pTTj7hQb2l4ppvipVhQm%2FLRRyO5i6Gh19QiGKgO1KOlsa8t7VZCCz1KKL5oJB1lamp0wSNosBCFreuHLlx5pTkedhuCku5JntSykNG70Qj%2BstZRGZboQwQXAiqCb2XZNW4xXWrRrWbbZ25eyI%2FVNPSC2dKnEEnZCs28gaIEwcTMholeFyN56ebTTr3Bv%2FG6u51wXL0WdHvpsbNnCYYYBv%2FUJuU77kjkjRoVDQzdwJ7TMyl3jICif5Xl0V0n33JKM%2BLRObevdhXpYq%2FwWpnhNKyBTWD%2FSv8e3IOlJOoW9jlI%2FOsizQJ5a9F98Dzs7d8%2F7W2SElsCFqPbJ1aaH9E%2Bs9v170W6XHGlPM26aCuNUbzWeuaZrYZ24AwULQYHGGjNrhjND%2FERfvbYuFxNRpU%2BVpIAQ2NyD2qXQFRfS0KunMyhKf1ynVmizFISXWFLZ9ZQjXJ1jdApXLu2Am%2BSIzo3Jr%2FFf377vlz36ctCKiJKl7MMftyyp7zxIfgn4dYEQENO3Ycz6YG5li70ERvYTbmYh%2BBEWhXogsGefKuZQqYfCwxSfA3w6cBwYd1iPX1RYVBs59hDzIXdfahzZb%2BEh%2BTWHN3ft2aaf2Mi55UjW8PXX999qEVpJiaNkdvoCxtY81NLPftDp5OxcwIpMgF6u3L125QSMui2sMXPsSf%2FAH1CwTvg680CdoEyX7hxpkZIe1o3Z%2FNWT8I98yhfbAzSCB3VMs7D4CD6WVmNkX7vlxT2wOFdxtYeJ9osfier4CU9N0l9X%2BUYrW7b3lD0Ws%2FhEz9ttVjL41corj2vRyBAuXyxx4Fs0A5rDyHK7pqapAi%2BLuPm%2FsvA72yZ6Rj4E0iOXoj5qGZ4g3WB5u%2BWfwyW0rjHoYXLNgwP0QjeLm7dGVT%2BUovBclF8v9braDqToqpRJyKLvK7x06OkyJCKkasi1sZE6kGyX6rQ0pnjaN0vLlUlMNNjhEHKy%2FhzIc97oYXOSFwejTdx6tq%2FfWhntMmcrNkEC3JS6o0Pcapmfjx9u33MCY9UO7XhF%2FBORqqugU1D9a1Lf6JYwfV8k44M9jmWk6kWWnjDRGMUAnRDXQ0IrQzOosps%2BMa5tMH%2FNd%2FJDqwlhILFFzzszGSznjj9OSLMi%2FA%3D%3D,1,1,1,0,2,#1199185679,Universal,Mini,smg,In-ear,3
9, Mini Fone De Ouvido S530 V4.1 Sem Fio Bluetooth Universal ,45,NA,"
			
				Novo
			
			
				
					 - 
				
				4459
				vendidos
			
		",(305 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 849
		
		 sem juros
		
	

	
		",49,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,246,https://perfil.mercadolivre.com.br/123+COMPROU,https://produto.mercadolivre.com.br/MLB-751234756-headphone-bluetooth-fone-de-ouvido-usb-micro-sd-radio-fm-b01-_JM,151,50,21,12,12,#751234756,Importado,NA,Headphone,Headset,NA
10, Fone Ouvido Bluetooth Sem Fio Chamada Micro Sd Fm P2 Mp3 B05 ,33,NA,"
			
				Novo
			
			
				
					 - 
				
				311
				vendidos
			
		",(162 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 627
		
		 sem juros
		
	

	
		",27,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.4,9,https://perfil.mercadolivre.com.br/ELETRO+SHOK,https://produto.mercadolivre.com.br/MLB-1170559488-fone-ouvido-bluetooth-sem-fio-headphone-rock-in-rio-100-nf-_JM,4,2,0,0,3,#1170559488,Universal,Rock In Rio,Rock in Rio,On-Ear,NA
