search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Linha,Modelo,Formato,Modelo alfanumérico
1, Fone De Ouvido Bluetooth Xiaomi Redmi Airdots ,115,148,8265,273,12x,9.58,NA,NA,NA,NA,4.7,604,https://perfil.mercadolivre.com.br/LOYALMALLBR?brandId=2069,https://produto.mercadolivre.com.br/MLB-1218445107-fone-de-ouvido-bluetooth-xiaomi-redmi-airdots-_JM,498,76,19,2,9,#1218445107,Xiaomi,Mi,Redmi  Airdots,In-ear,NA
2, Fones De Ouvido Sem Fio Bluetooth I7s Tws ,150,NA,438,632,12x,12.50,NA,NA,NA,NA,5,1,https://perfil.mercadolivre.com.br/AUTOMOPARTBR?brandId=2161,https://produto.mercadolivre.com.br/MLB-1266175094-blitzwolf-bw-fye7-tws-bluetooth-50-fone-de-ouvido-baixo-pes-_JM,1,0,0,0,0,#1266175094,Blitzwolf,NA,New,NA,NA
3, Fone De Ouvido Jbl E25bt Preto Bluetooth Original 12x ,189,NA,842,73,12x,18.06,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,225,https://perfil.mercadolivre.com.br/PONTOCERTOELETRO,https://produto.mercadolivre.com.br/MLB-1166049389-fone-de-ouvido-jbl-e25bt-preto-bluetooth-original-12x-_JM,165,36,14,4,6,#1166049389,JBL,E-Series,JBL E25BT,Ear-Buds,E25BT
4, Headphone Bluetooth Fone De Ouvido Usb Micro Sd Rádio Fm B01 ,39,NA,4323,17,6x,6.58,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,187,https://perfil.mercadolivre.com.br/SUEDVENDAS,https://produto.mercadolivre.com.br/MLB-687286154-fone-de-ouvido-sem-fio-bluetooth-41-esportivo-stereo-sport-_JM,99,49,25,6,8,#687286154,Universal,Fone Bluetooth Sem Fio,BH-503,Over-ear,3.0
5, Fone Ouvido Sem Fio Bluetooth 4.1 Celular Micro Sd Fm P2 Mp3 ,45,NA,4551,242,6x,8.49,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,249,https://perfil.mercadolivre.com.br/123+COMPROU,https://produto.mercadolivre.com.br/MLB-751234756-headphone-bluetooth-fone-de-ouvido-usb-micro-sd-radio-fm-b01-_JM,151,52,21,12,13,#751234756,Importado,NA,Headphone,Headset,NA
6, Fone De Ouvido Edifier W800bt Bluetooth - Nota Fiscal E Gtia ,152,NA,1097,931,12x,14.62,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,72,https://perfil.mercadolivre.com.br/TECHWEB-STORE,https://produto.mercadolivre.com.br/MLB-1184388935-fone-de-ouvido-duplo-sem-fio-bluetooth-50-qcy-qs1-promoco-_JM,57,10,4,0,1,#1184388935,QCY XIAOMI,Fone Bluetooth Sem Fio,QS1 - NOVA VERSÃO,COMPACTO E ANATÔMICO,QCY QS1
7, Mini Fone De Ouvido S530 V4.1 Sem Fio Bluetooth Universal ,250,NA,1840,131,12x,20.83,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,1017,https://perfil.mercadolivre.com.br/RCKAUDIO,https://produto.mercadolivre.com.br/MLB-1054567240-fone-de-ouvido-edifier-w800bt-bluetooth-nota-fiscal-e-gtia-_JM,853,129,29,3,3,#1054567240,Edifier,W,W800BT,Over-ear,NA
8, Fone De Ouvido Bluetooth Jbl Tune T500bt Preto 1ano Garantia ,245,NA,171,81,12x,23.42,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,162,https://perfil.mercadolivre.com.br/CITRON+INSTRUMENTOSMUSICAIS,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=hSJIHRmX%2BVdzVRMv61okySseP1Dtf%2FkonhFHCMlD57uz9IrAtmA1Cqck%2F7zMngIgnmSr%2Bg9hqbEPBdZcaPS3DVxAwkwVkP1gNJ3LMe34JfkZP%2BpTpgoJmAUAYmMch%2BAgo735t8qJzLnj7OymTRIQ%2BIxpz4IGSFRfTXMZ67HozSOL4vAswOLsmkv%2BtuvaW%2BDfASKvrx0r4%2BxrtvbD7cCb3cJYObCfHyLCxK8GluueetYCvG4nuX8JmdfSTiQ07idaA3zbG9EfDNkaPTaSq%2FM3iSeVoOpOZyAJlCJuXB4f8S%2Fg9lXB9OWoj7eA9YkQBajV0GFRRAhHmSVdIF75K5nKGA2Xe%2BQAjrt7eydVnyjxj%2FEkDs4vHP%2FFlB4QDmuBVp788sRIVgWOmy73fQKk8Ocpd8Ca4WsK1ggp5%2BbKo21ZulQa6cBWut57ND89nV8w02j4jG32KSOEC6bMdeQ%2BwoMni2YrM0LEMsRMH8rGRwJogtD2iqXFxyFl0wN7G8jYow3Tj90tuGe4KZvWo%2FQUfP%2BymdEen61ln69IDmIhMQ%2FNB1OZRQeGOucdT0O1xWev%2F1K4IbvGBp%2FCFUtDhHx5eK9crz8OfFYWblSpvvRoEHfL2hoqyC7e6JRhcKFn6SaNeT%2BceIQ%2BhFBePw0AhQ5L9vlXA6FsqgDUgMO9NwO34atQ26vymRv9mQWldhOUIXhkemXkRU1m8kBxZlQxpQTUtJ0paiKIxnLSsscyOIZw%2BUzR4oP9KEUq552Gj5qeDlt5cy3vSglPG2vOtHons%2FB7kdurQlPnXbPsMiOiKdlZJVdyhQNyi%2FzqyY%2BFmq%2F3Nha39rr8bSKL8wy0EszdNsFiP25PjYPqG%2BmcZBDG6vi6rcgSxmuHMEFIEqT4bIq%2B1O5cvD%2FeVheIv0eJbWp4ceZK%2B1A2ijGAOhdlFgN2Vc7lhA8qd%2BH28i%2BULzrL%2BclXzkDPIDowSC6GmYg%2B%2F%2Bt5e7ck%2B14mxE%2Ft%2BtC%2B75o850KNS0DINuPKN8%2BA3NRv9JDluJHoBepNcfXV18MCWmuSTgM8vCvxwZG0uX0Jc8yQrJOAHu%2BdZkboKfeU8NSbq6KbRhj4d6IuCWAEfDT7UCZnHUaTAsZ3NpIbWzkNiXyHNrSY9EizujFlXwyPl6ddScQJQkOt8DTCj5SdqoFjOkoqjJzK11lA4OnOz8SrXBC%2FhX3%2BDrzeM02inaekME6hsOFngGYOf%2ByOAjtg3TAeGiurCPJ3scdX139KBImoTVkAUHvybOYnS27okg9qmW%2BOzGjcs%2B%2B1lcSMRIJi9ZxqQOq%2FLaaBnW2RVRxWs1YeiTWzbK3pdvDEeQK8XyfrCcbAobAB%2BToFo9B6%2FxZ64NR4pkBcO48ZpF5LS1fq1PDq2bGD6eS1DSZce2oJA2r5lmr%2BcHQGNbCK%2F9Res4JHjgAL9s2wY%2Bp4g%2FwJNi35zttGLvGji30W0dSrJdotw87GwgWtTaKd96a9Nh59gZkMwWn8zaqhAQwWcN2mO9zD%2BRxv7Dy5rPIM%2Fp3o2oKpGnVJ%2BccpewL1JGR9HQiPu9T%2FjQBXs9oPONWkAxCVvxdSlPkQQ%2B6Je3z3iIVElIclzP5eW4H%2BcW%2FQM4D4vHiW5s5%2Bvprs48Jg9GyfckByN4TP1q9qfhZw95%2Bpxyp1YTI%3D,139,20,1,0,2,#1186898023,JBL,TUNE500bt,Tune 500,Over-ear,JBLTUNE500BTBLK
9, Fone Ouvido Bluetooth Sem Fio Chamada Micro Sd Fm P2 Mp3 B05 ,33,NA,348,125,6x,6.27,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.5,11,https://perfil.mercadolivre.com.br/ELETRO+SHOK,https://produto.mercadolivre.com.br/MLB-1170559488-fone-ouvido-bluetooth-sem-fio-headphone-rock-in-rio-100-nf-_JM,5,2,1,0,3,#1170559488,Universal,Rock In Rio,Rock in Rio,On-Ear,NA
10, Fone Ouvido Sem Fio Bluetooth Stereo Universal Mini Bh-503 ,36,NA,3585,4,6x,6.84,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,222,https://perfil.mercadolivre.com.br/TROPARDI+ELETRO,https://produto.mercadolivre.com.br/MLB-1183090499-fone-ouvido-sem-fio-bluetooth-41-celular-micro-sd-fm-p2-mp3-_JM,198,14,7,0,3,#1183090499,NA,Bluetooth,B-05,Over-ear,B-05
