search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Formato
1,Stock Audifonos Original Xiaomi Redmi Airdots,88,NA,460,798,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.6,76,http://perfil.mercadolibre.com.pe/ZEALOTT+IMPORTACIONES,https://articulo.mercadolibre.com.pe/MPE-436293760-stock-audifonos-original-xiaomi-redmi-airdots-_JM,52,20,4,0,0,#436293760,Xiaomi,Redmi AirDots,Headset
2,Audifonos Jbl Bluetooth Pure Bass Sound T110 Wireles Colores,119,149,38,36,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,6,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-435128963-audifonos-jbl-bluetooth-pure-bass-sound-t110-wireles-colores-_JM,5,1,0,0,0,#435128963,JBL,T110,NA
3,Audifonos Original Xiaomi Redmi Airdots En Stock + Tienda !!,89,99,154,446,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.6,76,http://perfil.mercadolibre.com.pe/CASEMOTIONS.PE,https://articulo.mercadolibre.com.pe/MPE-433005812-audifonos-original-xiaomi-redmi-airdots-en-stock-tienda--_JM,52,20,4,0,0,#433005812,Xiaomi,AirDots,In-ear
4,Audifonos Inalambrios Bluetooth Imantados Deportivos 2018,30,NA,411,33,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.3,28,http://perfil.mercadolibre.com.pe/FROG_PEOPLE+_IMPORT,https://articulo.mercadolibre.com.pe/MPE-420579803-audifonos-inalambrios-bluetooth-imantados-deportivos-2018-_JM,15,10,1,0,2,#420579803,NA,NA,NA
5,Stock Audifonos Original Xiaomi Redmi Airdots Envío Inmediat,88,NA,134,129,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.6,76,http://perfil.mercadolibre.com.pe/MAJU4927724,https://articulo.mercadolibre.com.pe/MPE-436361713-stock-audifonos-original-xiaomi-redmi-airdots-envio-inmediat-_JM,52,20,4,0,0,#436361713,Xiaomi,Redmi Airdots,Headset
6,Audifonos I7s Plus Bluetooth 5.0 Inalambricos Apple Android,64,NA,310,290,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,2,1,http://perfil.mercadolibre.com.pe/HUMA7820320,https://articulo.mercadolibre.com.pe/MPE-433034458-audifonos-i7s-plus-bluetooth-50-inalambricos-apple-android-_JM,0,0,0,1,0,#433034458,i7s Plus,NA,NA
7,Audifonos Hands Free Bluetooth V4.1 Micro Magneticos,17,NA,24,4,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/VENTAS+O.,https://articulo.mercadolibre.com.pe/MPE-436216694-audifonos-hands-free-bluetooth-v41-micro-magneticos-_JM,NA,NA,NA,NA,NA,#436216694,NA,NA,NA
8,Audifonos Deportivos Bluetooth 4.2 Inalámbricos Radio Sd,39,49,618,382,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.4,9,http://perfil.mercadolibre.com.pe/GRUPONATIC.PE,https://articulo.mercadolibre.com.pe/MPE-418636835-audifonos-deportivos-bluetooth-42-inalambricos-radio-sd-_JM,5,3,1,0,0,#418636835,st3,NA,NA
9,Samsung Galaxy Buds 2019 Audifonos Inalambricos En Stock!!,539,NA,65,34,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,5,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-436048863-samsung-galaxy-buds-2019-audifonos-inalambricos-en-stock-_JM,5,0,0,0,0,#436048863,Samsung,Buds,In-ear
10,Audifonos Bluetooth Inalambrico I7s Tws Itelsistem,32,59,25,75,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4,1,http://perfil.mercadolibre.com.pe/ITELSISTEMSAC,https://articulo.mercadolibre.com.pe/MPE-435912653-audifonos-bluetooth-inalambrico-i7s-tws-itelsistem-_JM,0,1,0,0,0,#435912653,NA,NA,NA
11,Motorola Audifonos Bluetooth Pulse Escape Super Combo Pack,139,189,118,34,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,17,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-433512029-motorola-audifonos-bluetooth-pulse-escape-super-combo-pack-_JM,14,3,0,0,0,#433512029,Motorola,Pulse Escape,Over-ear
12,Audifonos Hands Free Sports Bluetooth V4.1 Con Micro,60,NA,608,301,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,52,http://perfil.mercadolibre.com.pe/MKURON0,https://articulo.mercadolibre.com.pe/MPE-421391955-audifonos-hands-free-sports-bluetooth-v41-con-micro-_JM,41,9,2,0,0,#421391955,NA,NA,NA
13,Mini Auricular Bluetooth S530 Funcion Para Llamadas Y Musica,17,NA,109,77,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.3,6,http://perfil.mercadolibre.com.pe/ZEALOTT+IMPORTACIONES,https://articulo.mercadolibre.com.pe/MPE-432787876-mini-auricular-bluetooth-s530-funcion-para-llamadas-y-musica-_JM,3,2,1,0,0,#432787876,NA,S530,NA
