search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Formato
1, Audífonos Sony Inalámbricos On-ear - Wh-ch400 ,129.915,199.900,"
			
			
				
				81
				vendidos
			
		",(17 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.609
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.5,14,https://perfil.mercadolibre.com.co/SONY+COLOMBIA?brandId=11,https://articulo.mercadolibre.com.co/MCO-473241027-audifonos-sony-inalambricos-on-ear-wh-ch400-_JM,9,4,0,1,0,#473241027,Sony,WH-CH400,Over-ear
2, Audífonos Sony Bluetooth Y Función Manos Libres - Wh-ch500 ,159.900,229.900,"
			
			
				
				155
				vendidos
			
		",(13 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 4.442
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.6,35,https://perfil.mercadolibre.com.co/SONY+COLOMBIA?brandId=11,https://articulo.mercadolibre.com.co/MCO-474486245-audifonos-sony-bluetooth-y-funcion-manos-libres-wh-ch500-_JM,24,9,2,0,0,#474486245,Sony,WH-CH500,NA
3, Audifonos Touch Bluetooth Auriculares Inalambricos Manos Lib ,118.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				588
				vendidos
			
		",(239 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 9.916
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.4,33,https://perfil.mercadolibre.com.co/KZCOLOMBIA,https://articulo.mercadolibre.com.co/MCO-479127462-audifonos-touch-bluetooth-auriculares-inalambricos-manos-lib-_JM,21,8,2,1,1,#479127462,NA,NA,NA
4, Audifonos Bluetooth Deportivos R1 Microfono 5 Horas Obsequio ,24.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1143
				vendidos
			
		",(962 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.075
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.2,50,https://perfil.mercadolibre.com.co/BLUEKATOOM,https://articulo.mercadolibre.com.co/MCO-488593898-audifonos-bluetooth-deportivos-r1-microfono-5-horas-obsequio-_JM,28,11,6,3,2,#488593898,BlueKatoom,R1,In-ear
5, Audífonos Diadema Sony Mdr-xb400by Extra Bass Bluetooth ,44.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				138
				vendidos
			
		",(7 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.247
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.0,5,https://perfil.mercadolibre.com.co/MYMTECNOLOGIC,https://articulo.mercadolibre.com.co/MCO-501567032-audifonos-diadema-sony-mdr-xb400by-extra-bass-bluetooth-_JM,2,1,2,0,0,#501567032,Sony,NA,Over-ear
6, Audífonos Bluetooth Xiaomi Redmi Airdots + Cable + Estuche ,139.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				414
				vendidos
			
		",(46 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.861
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,35,https://perfil.mercadolibre.com.co/CRONOSELECTRONICA,https://articulo.mercadolibre.com.co/MCO-513799922-audifonos-bluetooth-xiaomi-redmi-airdots-cable-estuche-_JM,27,6,1,1,0,#513799922,NA,NA,NA
7, Audifonos Bluetooth Inalambricos Magneticos + Estuche ,21.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				624
				vendidos
			
		",(98 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 583
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.3,20,https://perfil.mercadolibre.com.co/GANGAD1G1TAL,https://articulo.mercadolibre.com.co/MCO-502127141-audifonos-bluetooth-inalambricos-magneticos-estuche-_JM,11,4,5,0,0,#502127141,NA,NA,NA
8, Audífonos I7 Mini Bluetooth Inalámbrico Los 2 Auriculares ,54.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				368
				vendidos
			
		",(7 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.525
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,3.3,15,https://perfil.mercadolibre.com.co/SHOPPING--WEB,https://articulo.mercadolibre.com.co/MCO-467311073-audifonos-i7-mini-bluetooth-inalambrico-los-2-auriculares-_JM,6,2,2,1,4,#467311073,HBQ,NA,NA
9, Audífonos Bluetooth Inalámbricos ,45.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				300
				vendidos
			
		",(51 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 3.750
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,3.1,14,https://perfil.mercadolibre.com.co/BELLAYVITAL,https://articulo.mercadolibre.com.co/MCO-488555518-audifonos-bluetooth-inalambricos-_JM,4,3,2,1,4,#488555518,NA,NA,NA
10, Audifono Bluetooth I7 Tws Mini + Base De Carga ,54.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				517
				vendidos
			
		",(10 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 4.575
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.0,11,https://perfil.mercadolibre.com.co/MARIACLAUDIAGUEVARAPICO,https://articulo.mercadolibre.com.co/MCO-479550378-audifono-bluetooth-i7-tws-mini-base-de-carga-_JM,6,1,3,0,1,#479550378,NA,NA,NA
