search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Formato
1, Audífonos Bluetooth Bt-100 Negro Maxell- Con Obsequio ,9.99,15.990,292,6,12,832,NA,Envío a todo el país,NA,NA,4.5,31,https://perfil.mercadolibre.cl/MAXELL+CHILE?brandId=219,https://articulo.mercadolibre.cl/MLC-452371070-audifonos-bluetooth-bt-100-negro-maxell-con-obsequio-_JM,22,5,2,2,0,#452371070,Maxell,EB-BT100 CARBON,NA
2, Sony Audífonos Inalámbricos Wh-ch500 Negro ,34.99,49.990,171,7,6,5.832,NA,Envío gratis a todo el país,NA,NA,4.8,11,https://perfil.mercadolibre.cl/-SONY+CHILE?brandId=32,https://articulo.mercadolibre.cl/MLC-459705101-sony-audifonos-inalambricos-wh-ch500-negro-_JM,9,2,0,0,0,#459705101,Sony,WH-CH500,NA
3, Audifonos Bluetooth Qcy T1c ,23.69,NA,157,8,6,3.948,NA,Envío gratis a todo el país,NA,NA,4.7,16,https://perfil.mercadolibre.cl/AFRICCA+STORE,https://articulo.mercadolibre.cl/MLC-471677503-audifonos-bluetooth-qcy-t1c-_JM,12,3,1,0,0,#471677503,QCY,T1c / T1,TWS
4, Audifonos Bluetooth I7s Tws Alta Calidad Colores + Base ,13.99,19.990,429,1091,12,1.166,NA,Envío a todo el país,NA,NA,4.3,15,https://perfil.mercadolibre.cl/WSTECHNOLOGY.,https://articulo.mercadolibre.cl/MLC-472793392-audifonos-bluetooth-i7s-tws-alta-calidad-colores-base-_JM,9,2,3,1,0,#472793392,CHINO,I7S,In-ear
5, Audifonos Bluetooth P47 Stereo Radio Mp3 Inalambricos /04126 ,6.99,NA,921,228,6,1.165,NA,Envío a todo el país,NA,NA,4.6,13,https://perfil.mercadolibre.cl/CUPOCLICKCHILE,https://articulo.mercadolibre.cl/MLC-473637938-audifonos-bluetooth-p47-stereo-radio-mp3-inalambricos-04126-_JM,11,1,0,0,1,#473637938,047,WIRELESS 4.2+EDR,Headset
6, Audifono Bluetooth Jbl S700i Oem ,19.98,NA,94,6,6,3.330,NA,Envío a todo el país,NA,NA,4.4,7,https://perfil.mercadolibre.cl/VENTASMACUL2014,https://articulo.mercadolibre.cl/MLC-462764799-audifono-bluetooth-jbl-s700i-oem-_JM,5,1,0,1,0,#462764799,JBL,NA,NA
7, Audifono Bluetooth V4.2 Inalámbrico Hbq I7-tws ,7.99,14.990,407,93,6,1.332,NA,Envío a todo el país,NA,NA,3.1,11,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-459017997-audifono-bluetooth-v42-inalambrico-hbq-i7-tws-_JM,2,3,2,2,2,#459017997,TWS,I7S,NA
8, Audifonos Bluetooth Tipo iPhone 7 iPhone 8 ,14.99,NA,199,17,6,2.498,NA,Envío a todo el país,NA,NA,3.3,4,https://perfil.mercadolibre.cl/TELOTENEMOS.CL,https://articulo.mercadolibre.cl/MLC-461170076-audifonos-bluetooth-tipo-iphone-7-iphone-8-_JM,2,0,0,1,1,#461170076,NA,NA,NA
9, Audifonos Bluetooth Qcy T1s ,26.99,NA,90,3,6,4.498,NA,Envío gratis a todo el país,NA,NA,4.8,6,https://perfil.mercadolibre.cl/AFRICCA+STORE,https://articulo.mercadolibre.cl/MLC-488306883-audifonos-bluetooth-qcy-t1s-_JM,5,1,0,0,0,#488306883,NA,NA,NA
10, Audifonos Bluetooth Binaural Tws Qcy T1 ,36.99,NA,101,3,6,6.165,NA,Envío gratis a todo el país,NA,NA,4.5,2,https://perfil.mercadolibre.cl/CASTLETECEIRL,https://articulo.mercadolibre.cl/MLC-470772617-audifonos-bluetooth-binaural-tws-qcy-t1-_JM,1,1,0,0,0,#470772617,QCY,T1,In-ear
11, Auricular Inalambrico Bluetooth Manos Libres Tipo Airpod ,3.79,NA,164,8,12,316,NA,Envío a todo el país,NA,NA,3,2,https://perfil.mercadolibre.cl/LAOCASIONSTORE,https://articulo.mercadolibre.cl/MLC-460325127-auricular-inalambrico-bluetooth-manos-libres-tipo-airpod-_JM,0,0,2,0,0,#460325127,i7,I7,Headset
12, Audífonos Bluetooth Auriculares Inalámbrico Caildad!!! ,9.99,NA,454,271,6,1.665,NA,Envío a todo el país,NA,NA,4.7,36,https://perfil.mercadolibre.cl/MUNDOMAGIA%C3%91U%C3%91OA,https://articulo.mercadolibre.cl/MLC-447161588-audifonos-bluetooth-auriculares-inalambrico-caildad-_JM,30,3,2,0,1,#447161588,NA,NA,NA
13, Audífonos Bluetooth Tipo I7s Tws Gamer V4.2 Oem ,6.99,NA,52,44,6,1.165,NA,Envío a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/MAMI+HOUSE,https://articulo.mercadolibre.cl/MLC-491571996-audifonos-bluetooth-tipo-i7s-tws-gamer-v42-oem-_JM,1,0,0,0,0,#491571996,NA,NA,NA
14, Audifonos Pioneer Bluetooth Aptx Hi-res Se-ms7bt ,69.99,119.990,85,15,12,5.832,NA,Envío gratis a todo el país,NA,NA,4.9,11,https://perfil.mercadolibre.cl/MUSICWORLDCHILE?brandId=183,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=h%2B7BRuJZbDdf0%2BUmIn8yDKGZ0q3KYeh1JGBpRcVMpBSBugP467WMo3sOW3odpqKKEBh%2FBVQyESs59Ie9YyOmT2Jcwx5qPvEnqgSJ3GDRkcn%2BnQpEQikUUCPNa3SPs1WCQy3VTxzjS3t%2BaFjD%2B9fqPT8yX2NLE0TxQOkVP7t1WjdJEmSa%2FuBiGP3Ivzi5XeRYFreZazUoDeN3UiA1i3kSM6D146T6J4JTyt7WiSHZ24CPZHT%2B0kuFhb7vFz%2BPavCx1q2N0Vrvhuf5VNSjOo5MSyYQLOKY0EoP6%2Bg1QS1wPMg3WhdVLXhTyj9zl4uXhFB9dWFPcXu9n4jWrFVPVfcG4oy4i%2FxU9h0XT8YdZFJlRx%2BMCdYAcHTdmzXjVo7zZwNPTjHYMSnNqG09ckhl%2F0NqPMD%2BuYL65c%2BRpXTAm9QGqimJtiytCbOlU1PwFHTHKBDbiNh%2FOVubFbhMmaFtOPZ8IjO8JtFXwSPi7d0V65Xo7AKxwHtuN0fu3czAaYJVeXZ1dL7R1wJ2MGVnpiOgSzzypvHv0oxO2yWIoYaLw8SQA8khvjvzmmf8UxYwaNEH5WkuWXUBR8TUq4H9sC6SvRaRlWwP5Y%2F2dsCR0b1tsyiLFoWseR47rSTiVoziOxFVTqeSeKy4eBO39N330vzYeuUYkNS8lXJ2PO2kJQ527UiCKm3ICW%2FUJUqLfVTj3oO4YnfUZFyVieIq%2B8HLZotx9b4GPmRYhcNCrQPlMtpq2ueO8mUIHjqhzuF7WusMoPVKNthZy8cMVOKj9JcgkmtKa7MpzsNmgglTk8HObMP0JwKMp8Cp5MPfacacrOWgUDeuJENYt%2FHm5bTbZ5pRjiJpbm4X6x4Q23PsYzSMDkkNd930KwLM439UvzFtGVy4pjHWkaKpIieQypge3BlQd%2FPEi9CcWuBOksZcfjZbMF%2B1TkrNdC5NHVpaxYid5Tn8eo5jTlJozRc9iJ8U61oMrhLqPrvWalPG5dH4xuhqvggo98uNMxZtKHTLHwokUiQQst8P4UNtNSa76kZWXVYWApxXQM%2BZI2oHF3rpsII2kwaoQIky5rV3BGrF3ptTItiaIu6%2FJGXFspmcXVxeQhsCbyKX9tTa359KA0J03eyk1Vok3FQWDrhYLKhPBdgQXmBoEbv5%2Bu2zP1Ofrdre7ZwEvNgc6lUmnXtznF99%2FBMS%2F1QIUF8nGQPXvuOD3cGcp%2BsNpYLItd8OT2tSKdGy%2FHyozyeFgw4TTczGbquKEZ34iRQ2EVLSbFGk03kwMkIRY8bB5iNCh%2BvEhdzyPhiwnRxviZejYoefXtlHZnSCsZMInCX%2FN%2F9eNhocIotpqP7lSZtgObSqOtoN4JJtqt2jwBqv%2F466GO%2B8eYd2np8DD9h%2Fd4mFQSSi2GayDtmXBj7By6zYXtw4QxEFORGL2NH74UP0ZJpLO5%2FeiWPTrDPFY8K8QED6sG08fkK0fkAv0mpTNT92lhd3w2ohdPCbuvtp2nmvVBsLOARAKtd7TzCUaCcj63QdtaVB6dfwbhoMRbmy2mXAdvKuVk81f8dJicuLyprswmajAHbEhnK4KmZ316R6,10,1,0,0,0,#445968498,Pioneer,SE-MS7BT,NA
15, Par De Audífonos Bluetooth I7s Tws Inalámbricos | Maxtech ,12.99,NA,90,940,12,1.082,NA,Envío a todo el país,NA,NA,2,4,https://perfil.mercadolibre.cl/MAXTECHCHILELTDA,https://articulo.mercadolibre.cl/MLC-477090402-par-de-audifonos-bluetooth-i7s-tws-inalambricos-maxtech-_JM,1,0,0,0,3,#477090402,NA,NA,NA
16, 1 Par De Audífonos Bluetooth I7s Tws Gamer V2.0 ,4.99,NA,62,4,12,416,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CELLBOX.CL,https://articulo.mercadolibre.cl/MLC-469009538-1-par-de-audifonos-bluetooth-i7s-tws-gamer-v20-_JM,NA,NA,NA,NA,NA,#469009538,NA,NA,NA
17, Manos Libres Bluetooth Mini Auricular ,3.99,NA,320,40,12,332,NA,Envío a todo el país,NA,NA,4,4,https://perfil.mercadolibre.cl/LAOCASIONSTORE,https://articulo.mercadolibre.cl/MLC-465965042-manos-libres-bluetooth-mini-auricular-_JM,2,0,2,0,0,#465965042,NA,NA,NA
