search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Linha,Modelo,Formato,Modelo alfanumérico
1, Fone De Ouvido Bluetooth Xiaomi Redmi Airdots ,115,148,7701,800,12x,9.58,NA,NA,NA,NA,4.7,555,https://perfil.mercadolivre.com.br/LOYALMALLBR?brandId=2069,https://produto.mercadolivre.com.br/MLB-1218445107-fone-de-ouvido-bluetooth-xiaomi-redmi-airdots-_JM,456,70,18,2,9,#1218445107,Xiaomi,Mi,Redmi  Airdots,In-ear,NA
2, Fones De Ouvido Sem Fio Bluetooth I7s Tws ,31,NA,3580,954,6x,5.33,NA,Envio para todo o país,NA,NA,3.4,88,https://perfil.mercadolivre.com.br/OLIST?brandId=866,https://produto.mercadolivre.com.br/MLB-1132266958-fones-de-ouvido-sem-fio-bluetooth-i7s-tws-_JM,32,20,10,7,19,#1132266958,AQ Shopping,NA,NA,NA,NA
3, Fone De Ouvido Edifier W800bt Bluetooth - Nota Fiscal E Gtia ,250,NA,1835,136,12x,20.83,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,1009,https://perfil.mercadolivre.com.br/RCKAUDIO,https://produto.mercadolivre.com.br/MLB-1054567240-fone-de-ouvido-edifier-w800bt-bluetooth-nota-fiscal-e-gtia-_JM,846,128,29,3,3,#1054567240,Edifier,W,W800BT,Over-ear,NA
4, Headphone Bluetooth Fone De Ouvido Usb Micro Sd Rádio Fm B01 ,45,NA,4501,276,6x,8.49,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,249,https://perfil.mercadolivre.com.br/123+COMPROU,https://produto.mercadolivre.com.br/MLB-751234756-headphone-bluetooth-fone-de-ouvido-usb-micro-sd-radio-fm-b01-_JM,151,53,21,12,12,#751234756,Importado,NA,Headphone,Headset,NA
5, Fone Ouvido Sem Fio Bluetooth 4.1 Celular Micro Sd Fm P2 Mp3 ,36,NA,3454,4,6x,6.84,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,212,https://perfil.mercadolivre.com.br/TROPARDI+ELETRO,https://produto.mercadolivre.com.br/MLB-1183090499-fone-ouvido-sem-fio-bluetooth-41-celular-micro-sd-fm-p2-mp3-_JM,189,13,7,0,3,#1183090499,NA,Bluetooth,B-05,Over-ear,B-05
6, Fone Ouvido Bluetooth Sem Fio Chamada Micro Sd Fm P2 Mp3 B05 ,32,NA,7469,4,6x,6.10,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,349,https://perfil.mercadolivre.com.br/MEGA+EXOPLANET.SHOP,https://produto.mercadolivre.com.br/MLB-1169578355-fone-ouvido-bluetooth-sem-fio-chamada-micro-sd-fm-p2-mp3-b05-_JM,313,20,10,0,6,#1169578355,B05 Over-Ear,Bluetooth,B05,Over-ear,B05 Over-Ear
7, Fone Ouvido Bluetooth 4.1 Sem Fio Universal Stereo Radio Fm ,47,NA,6728,3,6x,8.86,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.1,364,https://perfil.mercadolivre.com.br/DNR+PARTS,https://produto.mercadolivre.com.br/MLB-701050410-fone-ouvido-bluetooth-41-sem-fio-universal-stereo-radio-fm-_JM,185,92,47,17,23,#701050410,Universal,Fone De Ouvido Bluetooth,Headphone,Over-ear,4.1
8, Fone Bluetooth 4.1 Sport Sem Fio C33 Longa Duração 20 Horas ,69,NA,187,1056,12x,6.59,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,13,https://perfil.mercadolivre.com.br/PRESIMPORT,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=LS3nBa6frDxWEAHmlkYnFfeSix7ek3y4SaDjuFOr5ZjKXaapE9d6qbTS2Hdi8niL8okruwY7v27L1qVOwGG6mPow5Z%2Fc%2FSQUzuCKLeokT5P2kmlha1aZYctYKILM9JpRpk4AIkHTA8t7KhjPXkTDxlnmUgVZwunLFRgQt6UdgWZ1dpO1VsVXKzg1FsU6uUHJWEvBPc2VJpMp95oCZymxDuC1YVDnO9o8siim9Q7eT%2BlYIcFnI7sT2rv9bmi%2FJH6JJL1HyKeiszt8zoqL8IVkpukXbu%2B6xxmr17dICH9fHQuiW1Yjnp763tIrpTQRZpWhJHG%2FpU2fpvG5UevChHO5XSkSlA45mK0GAhLU9PVDAyrY%2B%2BRjiYc29i53hT7t43awzTq8ef4VzllGY3ctEbD1G4nh7In7igbIuBkVHV4FXNcfw5neSt4%2FG9Gc2Z%2ByEUBp8yVIj0%2F6D4i%2Fysd3G7amS00kBYPszfiJYZSiDQnVTuVSGn6t7TGLsIArs6Z3JZ5XR%2BaD6k1N%2FDbPpZe2VdDiJW%2F6IDQBG4d8VAwlcQc4%2Fx8ukwuCLXQcHQJKPt7Qic63pyU2aWieY%2FWmya1lo9Z6QKe5%2BnyAiLdHVUD6QKEJZxmNYGOa6CaFUvz3mDPrnWaJw4GlYSKkFAVITZpUp0AR%2BAn4k63XDKp6NvD1ThRbDqf3BTLicXDgB86c81eJDV%2BVkt3VO4aEwW0AThRNzK3pSiHKAmH9pDArBdnzPGXKTscv3lXk7YMcLSTjBUmiTzQnvmDRjerv9jJhTiduXy9K1W70yVM5wD2aOwGAwGL26vvydCqNh7R%2FuFre0YcnHL0YidqykzFKbLfF%2BHgkBSUvSPT7pgmUgy533ivD4DklKMq7p2z3S9T9SjfLeBJM%2FaI0eN6KS9gDmf5tJAE0bKhcPOVYbH%2BfDS4IcJQkVi9LHX%2FXs9rfz5XzWMaJ4%2B%2B4gdrJgVH2%2FJKGGR%2FzyS2VdNjOyKhvi0ZBAugfvfk9GVxKOBnK9NptWlWt4OU%2BfekNMUbOqOe3lprrXGcHKPtpvSGDOS4jatASFV7ssjY5C0hj8wE70j%2FgGHfhZFK9ZDW7PevVTwbZ2ipA9QRiF7fzuHpfWqkTp6xM5PkeHeaVj4Lo1%2FLmvw1V9zEYnD71yO1lFskvmjB%2Fh1vFcuO4m0LdlD2G5J7MMvE1nSHOIsy6rPcfLt%2Fcwzp1AMLINdA1Rw3cHBH3%2B3ddT0JUyh2xYKI%2FRJUfRQD9osSnCPtXvmtrz6D0zcdx9GVrbf9VME7w%2BMb9VfApYKueCs0F6HJi9wSaH11fMcJWnwqYgivVYIDjqz5I%2BWiBHiPAGTS8zWQfDD6quoHULQVY0m9JeU1DyKx0TUgichjp6%2Bq0FbnuAgzvcdsEXsYPmxR10t3EWZ6%2BYlPyy6Cgr6uFom9i8KCHVVB8gwkw6QD09bHXiUG9sX1mWPoklA0uFjuuZ5l6pYPm3mSwJowE3bYYLpX4adP%2FWD1Y0a8ZJAihySDuCR9nlF725xPf6TGwZgypHdcfOETHNhDJ93Ydy3EL6mTlZK%2BfBs0tiIs%2FPxeXuaRWirr%2BBnH2zH1UR5%2B81dCsSSYIceDkFP7Lqi0v6c5APRlsor6YK3xuvcDQ6BfBaXebHtatOl2bjaU%3D,7,4,1,1,0,#1202661520,JWCOM,fone sport,C33,Neckband,FO - C33
9, Mini Fone De Ouvido S530 V4.1 Sem Fio Bluetooth Universal ,21,NA,23606,4045,4x,5.94,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.8,809,https://perfil.mercadolivre.com.br/BETINHO+ELETRO,https://produto.mercadolivre.com.br/MLB-832062116-mini-fone-de-ouvido-s530-v41-sem-fio-bluetooth-universal-_JM,362,164,130,59,94,#832062116,Universal,NA,S530,NA,NA
10, Fone De Ouvido Jbl E25bt Preto Bluetooth Original 12x ,189,NA,800,113,12x,18.06,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,218,https://perfil.mercadolivre.com.br/PONTOCERTOELETRO,https://produto.mercadolivre.com.br/MLB-1166049389-fone-de-ouvido-jbl-e25bt-preto-bluetooth-original-12x-_JM,173,40,12,4,6,#1166049389,JBL,E-Series,JBL E25BT,Ear-Buds,E25BT
