search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Marca del celular,Tipo de funda
1, Mophie Funda Bateria Juice Pack Para iPhone 8/7 Plus Negro ,47.990,69.990,"
			
			
				
				1
				vendido
			
		",(2 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 7.998
			
		
		 sin interés
		
	

	
		","
				$ 7.998
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-475910245-mophie-funda-bateria-juice-pack-para-iphone-87-plus-negro-_JM,NA,NA,NA,NA,NA,#475910245,Mophie,NA,NA
2, Tech 21 Funda Dura iPhone 8/7 Plus Evoke Transparente/azul ,23.990,NA,"
			
			
				
				1
				vendido
			
		",(9 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.998
			
		
		 sin interés
		
	

	
		","
				$ 3.998
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-496719646-tech-21-funda-dura-iphone-87-plus-evoke-transparenteazul-_JM,NA,NA,NA,NA,NA,#496719646,Tech 21,Apple,Carcasa
3, Carcasa Apple Silicona Original 6 / 7 Y 7 Plus / 8 Y 8 Plus ,7.800,NA,"
			
				Nuevo
			
			
				
					 - 
				
				269
				vendidos
			
		",(72 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 650
			
		
		 sin interés
		
	

	
		","
				$ 650
			",NA,Envío a todo el país,NA,NA,4.8,18,https://perfil.mercadolibre.cl/CELLBOX.CL,https://articulo.mercadolibre.cl/MLC-454645969-carcasa-apple-silicona-original-6-7-y-7-plus-8-y-8-plus-_JM?searchVariation=36229993361,17,0,0,0,1,#454645969,Apple,Apple,Carcasa
4, Carcasas Colores iPhone Silicona 6/7/8/x/xs/xr/plus ,6.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				98
				vendidos
			
		",(46 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 582
			
		
		 sin interés
		
	

	
		","
				$ 582
			",NA,Envío a todo el país,NA,NA,5.0,5,https://perfil.mercadolibre.cl/BANANATIENDA,https://articulo.mercadolibre.cl/MLC-492059051-carcasas-colores-iphone-silicona-678xxsxrplus-_JM?searchVariation=39967227028,5,0,0,0,0,#492059051,Genérico,Apple,Carcasa
5, iPhone 5 5s 6 6s 7 8 Plus Carcasa 360 Slim Gkk | Kyrios ,6.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				86
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.165
			
		
		 sin interés
		
	

	
		","
				$ 1.165
			",NA,Envío a todo el país,NA,NA,4.8,6,https://perfil.mercadolibre.cl/TIENDA+KYRIOS,https://articulo.mercadolibre.cl/MLC-473097419-iphone-5-5s-6-6s-7-8-plus-carcasa-360-slim-gkk-kyrios-_JM?searchVariation=41301697027,5,1,0,0,0,#473097419,GKK,Apple,Carcasa
6, Carcasa Rock Ultra Delgada iPhone 6/7/8/x/xs/plus ,8.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				367
				vendidos
			
		",(152 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 749
			
		
		 sin interés
		
	

	
		","
				$ 749
			",NA,Envío a todo el país,NA,NA,4.7,30,https://perfil.mercadolibre.cl/BANANATIENDA,https://articulo.mercadolibre.cl/MLC-452176797-carcasa-rock-ultra-delgada-iphone-678xxsplus-_JM,27,1,0,1,1,#452176797,Rock,Apple,Carcasa
7, Carcasas Apple Cuero iPhone 6 6 Plus 6s Plus 7 8 7 8 Plus ,7.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				613
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.332
			
		
		 sin interés
		
	

	
		","
				$ 1.332
			",NA,Envío a todo el país,NA,NA,4.3,42,https://perfil.mercadolibre.cl/SMARTBUYCHILE,https://articulo.mercadolibre.cl/MLC-434288453-carcasas-apple-cuero-iphone-6-6-plus-6s-plus-7-8-7-8-plus-_JM?searchVariation=35810579020,26,8,4,3,1,#434288453,Apple,Apple,Carcasa
8, Carcasa Magnética iPhone 6 6s 6 Plus 7 8 8 Plus X | Digitek ,9.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				30
				vendidos
			
		",(70 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.665
			
		
		 sin interés
		
	

	
		","
				$ 1.665
			",NA,Envío a todo el país,NA,NA,4.0,1,https://perfil.mercadolibre.cl/DIGITEK.CL,https://articulo.mercadolibre.cl/MLC-489124640-carcasa-magnetica-iphone-6-6s-6-plus-7-8-8-plus-x-digitek-_JM,NA,NA,NA,NA,NA,#489124640,NA,Apple,Carcasa
9, Carcasas Apple Cuero iPhone 6 / 6 Plus 7 7 Plus 8 Y 8 Plus ,8.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				134
				vendidos
			
		",(373 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 749
			
		
		 sin interés
		
	

	
		","
				$ 749
			",NA,Envío a todo el país,NA,NA,4.3,8,https://perfil.mercadolibre.cl/CELLBOX.CL,https://articulo.mercadolibre.cl/MLC-455131366-carcasas-apple-cuero-iphone-6-6-plus-7-7-plus-8-y-8-plus-_JM?searchVariation=36233406122,5,2,0,0,1,#455131366,Apple,Apple,Carcasa
10, Power Case Bateria Externa Funda 5000mah iPhone 6 7 8 Plus ,14.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				28
				vendidos
			
		",(72 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 2.498
			
		
		 sin interés
		
	

	
		","
				$ 2.498
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TECNOPICADA,https://articulo.mercadolibre.cl/MLC-471415131-power-case-bateria-externa-funda-5000mah-iphone-6-7-8-plus-_JM,NA,NA,NA,NA,NA,#471415131,NA,NA,NA
