search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca da Capa,Marca de Celular,Modelo de Celular,Modelo da Capa,Tipo de capa,Material,Cor
1, Capinha Silicone Ultra Fina Casca De Ovo iPhone 8 / 8 Plus ,11,NA,"
			
			
				
				14
				vendidos
			
		",(87 disponíveis),"
	
		
			
		
		2x 
		
			
				R$ 618
		
		 sem juros
		
	

	
		",18,NA,Envio para todo o país,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/OLIST?brandId=866,https://produto.mercadolivre.com.br/MLB-1189824344-capinha-silicone-ultra-fina-casca-de-ovo-iphone-8-8-plus-_JM,NA,NA,NA,NA,NA,#1189824344,Hrebros,NA,NA,NA,NA,NA,NA
2, Capinha Capa Silicone C/ Logo iPhone 6s 7 8 Plus X Xr Xsmax ,33,NA,"
			
				Novo
			
			
				
					 - 
				
				1060
				vendidos
			
		",(4480 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 566
		
		 sem juros
		
	

	
		",66,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,16,https://perfil.mercadolivre.com.br/MALE2382936,https://produto.mercadolivre.com.br/MLB-1248683581-capinha-capa-silicone-c-logo-iphone-6s-7-8-plus-x-xr-xsmax-_JM?searchVariation=38604797226,12,3,1,0,0,#1248683581,Silicone,Apple,iPhone 6 / 6s / 6 Plus / 6s Plus / 7 / 7 Plus / 8 / 8 Plus / X / XR / XS / XS Max,iPhone 6 / 6s / 6 Plus / 6s Plus / 7 / 7 Plus / 8 / 8 Plus / X / XR / XS / XS Max,Apple Case,Silicone e microfibra(camurça),NA
3, Capinha Capa Case Silicone iPhone 7 Plus 8 Plus Aveludada ,22,NA,"
			
				Novo
			
			
				
					 - 
				
				898
				vendidos
			
		",(96 disponíveis),"
	
		
			
		
		4x 
		
			
				R$ 572
		
		 sem juros
		
	

	
		",72,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,17,https://perfil.mercadolivre.com.br/BULIERMODASACESSORIOS,https://produto.mercadolivre.com.br/MLB-1026051169-capa-capinha-ultra-fina-fosca-iphone-6s-plus-7-8-plus-novo-_JM?searchVariation=25994987550,11,4,0,0,2,#1026051169,Bumper,Apple,Iphone,Silicone,Slim,Silicone,NA
4, Capinha Casca De Ovo Ultra Fina iPhone 7 8 Plus X + Pelicula ,54,NA,"
			
				Novo
			
			
				
					 - 
				
				527
				vendidos
			
		",(7471 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 550
		
		 sem juros
		
	

	
		",50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,13,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1213994623-capa-capinha-magnetica-luxo-iphone-7-8-plus-x-xs-xr-xs-max-_JM?searchVariation=38590025464,12,0,0,1,0,#1213994623,jk capas,Apple,iphone,Magnética,capa protetor,metal e vidro,NA
5, Capinha Anti Queda Silicone Resistent iPhone Xs 7 8 Plus Xr ,22,NA,"
			
				Novo
			
			
				
					 - 
				
				526
				vendidos
			
		",(99 disponíveis),"
	
		
			
		
		4x 
		
			
				R$ 572
		
		 sem juros
		
	

	
		",72,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,12,https://perfil.mercadolivre.com.br/BULIERMODASACESSORIOS,https://produto.mercadolivre.com.br/MLB-1026034649-capinha-ultra-fina-fosca-iphone-6-6s-plus-7-plus-8-luxo-capa-_JM?searchVariation=23594227857,8,2,2,0,0,#1026034649,Bumper,Apple,Iphone,Silicone,Slim,Silicone,NA
6, Capa Capinha Magnetica Luxo iPhone 7 8 Plus X Xs Xr Xs Max ,49,NA,"
			
				Novo
			
			
				
					 - 
				
				299
				vendidos
			
		",(17572 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 833
		
		 sem juros
		
	

	
		",33,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,17,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1210095124-capa-capinha-anti-impacto-4em1-iphone-6-7-8-plus-xr-x-xs-max-_JM?searchVariation=35219107399,13,3,1,0,0,#1210095124,JK CAPAS,Apple,IPHONE,CAPA 4 EM 1 ANTI IMPACTO,CAPA PROTETOR,TPU/Policarbonato,NA
7, Capa Capinha Anti Impacto 4em1 iPhone 6 7 8 Plus Xr X Xs Max ,16,NA,"
			
				Novo
			
			
				
					 - 
				
				997
				vendidos
			
		",(12 disponíveis),"
	
		
			
		
		3x 
		
			
				R$ 566
		
		 sem juros
		
	

	
		",66,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,29,https://perfil.mercadolivre.com.br/NOMOTEC,https://produto.mercadolivre.com.br/MLB-1047628140-capa-anti-impacto-pelicula-gel-p-iphone-5-6-7-8-10-x-xs-xr-_JM?searchVariation=36089029726,21,5,2,0,1,#1047628140,HR,Apple,Iphone,TPU,Capinha de silicone,Silicone,NA
8, Capinha Capa Case Silicone iPhone 7 Plus 8 Plus Aveludada ,32,NA,"
			
				Novo
			
			
				
					 - 
				
				466
				vendidos
			
		",(791 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 550
		
		 sem juros
		
	

	
		",50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,8,https://perfil.mercadolivre.com.br/GLOBALELETRONICOSEIRELI,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=MTV9IbYQKvaP7gxedZyqJRYf1SS7ghZmPlJ2irTa%2BjgUqqhgk90UqfpZzKmbEur3enKiaEXe8am2zg3XujCBXe%2FL10cYa57HBsarfcY4R63QMt70PaiwMv8rQ%2FBM7UyhSsAO0j8tVdo3Hh3mnZUt2tYcV1K%2FFPTbty%2FeLTHW2xZ4JSk9qSsU4OlbaAcFb2TGR4rQ24XW%2FPvB93TerdFIPsIvWFMldiCfL98Fv0abQJQDkKIObRvH%2F0TmBBDRAhBEzzFNC65xYqGs5hJeBFlAsi8eyFLApbicurTSPFSbK%2F3HcNXahBe2Z6ThART%2BgdKn9Q5kdK8BHcsf5eQMFl2SOUyiySjKLdw2Zbg%2BtlN9DXY%2Bqu8MFBB4RjJyd6DfcXupbZCr1K%2B2Il%2F%2BwaHbcXBAey22w5Sr4oq%2B7mHpdPNyVcvbhWdLm%2Bp4hqekS%2Bd3iPPx%2B923kRv42BAKtBRYeKAnuXZs0mkWWwyb%2FjKKPNMv5H1SOX7pcn3O8nJeHmZ5WaE%2Fu0cL7YkCKzge2x45H9y%2B9VIK54v57yAdna%2BB42X5DQKJXhTX56yXBGNruY354dJpzreSh6pO7HTlv9CO7chWW%2FYIrcbniowURwIsrbmaPhhoFseeycHVOv%2B1U3jHn4ObCZbFOjYe5Loj6yso81nTG8B%2BgyophjRfBvSRzysxAL%2Fdrf4Z%2F33nzdI3azMLzVMgI1wsFwAKxfjuVEk2bOcaiyPwDQlFRlNuYa%2BEXBcNtYYFFveu1dVDVUiq%2BvaX2y1WaaOysaRNFFD4UaYzwJQoP3nBjVMCnhizN3xI3AejtBfhtW3VH0JHf%2FXS4CGe7C%2FQUgHp39UOgda5TWumitZBbWIEZQJO0UkqcrdqDD%2BQ2UmJSY7j93GmbdZU%2BVand9esT6g%2BNsG7Uvzs3HrkzBEKqvv5V9I7wgkhV4Rou9ad6ckVLyzvI%2FYu7lUVpB2Llz%2BhqimpUOKrk62ZVizJbeXWlX168933kh5NqlOb54GhxFg0N2NDBg%2Ffdg5KkEi15qK0OLBhVtrKdJtXfWW0Y4FGiqnriDYXWYDBp8DiGJ0pOsrBuf%2FPk6ZY8w7wOgfRdvIjr6ms2GEMQpW0rNWohQPrVCjSm6rQVJKEDvNOZNz1BG8o7GEHyJqYxezi6GDqK8%2BSjLwake9wOY%2BVQjk0bDtdmBaV81PK8f%2FkEt5l7nkk8op2Lx5mtX18lzDUmZ%2BnaJsgvVBsypvnNZF6UinUyjPGsjPZ9T4EowxgRT1y4XFHmdpr0c2jdUST7f3lI1rHdT0ioZ8OT9ravPXELymGRedq3pJXQ5qsjdLgl0gJf0DuEB065%2FmCboCRwL5b4chGKQydq4fVz%2F3Y5AUEQQlcAzccFB%2FingHcKwvl9ZsLoFQiYF2%2F1Nh9rvogU7w71%2Bcrti16y82YKPKY8DVQLlSpT1ITQeYFif2MpMRfh2dgEBuVrNC0V605AnK05f%2BiIKk9eKC0d8QSL8%2FnE%2F3H3bj5LUGLU6OMEi2P7FW9Wdc5sFTgipCy5jhLPRqIE9rtwSKQWz6x3RvWGeLnaDre2RBgS3aczyTKIhLUMlQ%2BYGNTnooQkZsasvq7eNnphC8jU7uWEQT9iim%2BC9OP%2Bl7d7fijbC01KUNOXkAkKdY%3D,8,0,0,0,0,#1246923437,Silicone,Apple,iphone7 plus  iphone 8 plus,iPhone,Silicone,Silicone- Aveludada,NA
9, Capa Capinha Ultra Fina Fosca iPhone 5 6 7 8 Plus Xs Xr Max ,35,NA,"
			
				Novo
			
			
				
					 - 
				
				307
				vendidos
			
		",(9819 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 583
		
		 sem juros
		
	

	
		",83,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,9,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1197368219-capa-capinha-ultra-fina-fosca-iphone-5-6-7-8-plus-xs-xr-max-_JM?searchVariation=34356084379,9,0,0,0,0,#1197368219,jk capas,iPhone,iphone,ultra fina fosca,capa protetor,TPU/Policarbonato,NA
10, Capinha Silicone Aveludado iPhone 8 Plus Verde Agua ,34,NA,"
			
				Novo
			
			
				
					 - 
				
				5686
				vendidos
			
		",(39189 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 583
		
		 sem juros
		
	

	
		",83,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,499,https://perfil.mercadolivre.com.br/JKCAPAS,https://produto.mercadolivre.com.br/MLB-682539065-capa-capinha-ultra-fina-fosca-iphone-5-6-7-8plus-x-xr-xs-max-_JM?searchVariation=22563854091,400,60,25,11,3,#682539065,JK CAPAS,Apple,IPHONE,ULTRA FINA,CAPA PROTETOR,TPU,NA
