search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del Celular,Modelo del Celular,Marca de la Funda,Modelo de la Funda,Tipo de funda,Material,Fabricante
1, Funda iPhone 6s 7 8 8 Plus Leather Piel Pu + Mica 9h Aurum ,239,NA,"
			
			
				
				2185
				vendidos
			
		",(13 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1328
		
		 sin intereses
		
	

	
		",28,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.4,153,https://perfil.mercadolibre.com.mx/AURUM+79?brandId=2277,https://articulo.mercadolibre.com.mx/MLM-568002496-funda-iphone-6s-7-8-8-plus-leather-piel-pu-mica-9h-aurum-_JM?searchVariation=39646910922#position=1&type=item&tracking_id=b1021dd0-4ecc-4db4-99f3-837d7c5cfa0c,105,20,15,5,8,#568002496,Apple,"IPHONE 7/8 , 7 /8 PLUS",Apple,Leather Case,Piel Sintetica,Piel,IP
2," Funda 360 iPhone 6, 6 Plus, 7, 7 Plus, 8, 8 Plus X + Cristal ",189,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5308
				vendidos
			
		",(49 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1050
		
		 sin intereses
		
	

	
		",50,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,322,https://perfil.mercadolibre.com.mx/VIGU+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-588207953-funda-360-iphone-6-6-plus-7-7-plus-8-8-plus-x-cristal-_JM?searchVariation=32729163913#position=2&type=item&tracking_id=b1021dd0-4ecc-4db4-99f3-837d7c5cfa0c,232,55,18,8,9,#588207953,Apple,iPhone,360,360°,360,Plástico,VIGU
3, Funda Tipo Piel Leather Case iPhone 6 7 8 Plus X Max Xr +mic ,269,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2693
				vendidos
			
		",(72 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1494
		
		 sin intereses
		
	

	
		",94,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,89,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-623748083-funda-tipo-piel-leather-case-iphone-6-7-8-plus-x-max-xr-mic-_JM?searchVariation=32254170260#position=3&type=item&tracking_id=b1021dd0-4ecc-4db4-99f3-837d7c5cfa0c,78,9,2,0,0,#623748083,Apple,6 6s 6 plus 6s plus 7 7 plus 8 8 plus X Xs Xs max Xr,Mikki,Business Leather,Protector,TPU,NA
4," Funda Case Survivor 360 iPhone 8, 8+, 7, 7+, 6, 6+, X, Xs, R ",379,NA,"
			
				Nuevo
			
			
				
					 - 
				
				172
				vendidos
			
		",(47 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 2106
		
		 sin intereses
		
	

	
		",06,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.4,7,https://perfil.mercadolibre.com.mx/JUAR2374152,https://articulo.mercadolibre.com.mx/MLM-690250134-funda-case-survivor-360-iphone-8-8-7-7-6-6-x-xs-r-_JM?searchVariation=38982966966#position=4&type=item&tracking_id=b1021dd0-4ecc-4db4-99f3-837d7c5cfa0c,5,1,0,1,0,#690250134,APPLE IPHONE,"XS MAX, XS, XR, X,8 PLUS, 8, 7 PLUS, 7, 6 PLUS, 6S PLUS, 6, 6S, 5, 5S, SE",ARMOR,SURVIVOR USO RUDO ALTO IMPACTO,SURVIVOR ALTO IMPACTO,"Aluminio, tau, metal, acero, caucho, vidrio",NA
5, Funda Protector Case R-just Batman Original De Aluminio ,489,NA,"
			
				Nuevo
			
			
				
					 - 
				
				118
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 4831
		
		 sin intereses
		
	

	
		",31,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,5.0,6,https://perfil.mercadolibre.com.mx/TECNOLOCK,https://articulo.mercadolibre.com.mx/MLM-689155990-funda-protector-case-r-just-batman-original-de-aluminio-_JM#position=5&type=item&tracking_id=b1021dd0-4ecc-4db4-99f3-837d7c5cfa0c,6,0,0,0,0,#689155990,Samsung,S10,R JUST,1,CASE,Aluminio,NA
6, Funda iPhone X Xs Max iPhone 8 Plus iPhone 7 Plus 6 Plus ,129,170,"
			
				Nuevo
			
			
				
					 - 
				
				498
				vendidos
			
		",(125 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 718
		
		 sin intereses
		
	

	
		",18,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,22,https://perfil.mercadolibre.com.mx/IMPOR.MEX,https://articulo.mercadolibre.com.mx/MLM-566115766-funda-iphone-x-xs-max-iphone-8-plus-iphone-7-plus-6-plus-_JM?searchVariation=24517211188#position=6&type=item&tracking_id=b1021dd0-4ecc-4db4-99f3-837d7c5cfa0c,15,3,3,1,0,#566115766,Apple,iPhone,Genérico,Trasera,Delgada,Silicona,Apple
7, Funda Uso Rudo Antigolpes Camuflaje iPhone 5 6s 7 7+ 8 8+ X Xs Max Xr ,219,NA,"
			
				Nuevo
			
			
				
					 - 
				
				362
				vendidos
			
		",(83 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1217
		
		 sin intereses
		
	

	
		",17,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,14,https://perfil.mercadolibre.com.mx/NETONBOX,https://articulo.mercadolibre.com.mx/MLM-650104729-funda-uso-rudo-antigolpes-camuflaje-iphone-5-6s-7-7-8-8-x-xs-max-xr-_JM?searchVariation=34880612172#position=7&type=item&tracking_id=b1021dd0-4ecc-4db4-99f3-837d7c5cfa0c,10,4,0,0,0,#650104729,Apple,iPhone X / 7 / 7 Plus / 8 / 8 Plus / 6 /6s / 6 Plus / 5 / 5s / SE,NETONBOX,Militar Camuflado,Uso Rudo Antigolpes Flexble y Rigida,Plástico,NETONBOX
8, Funda Tipo Piel Leather Case iPhone 6 7 8 Plus X Max Xr +mic ,269,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2693
				vendidos
			
		",(72 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1494
		
		 sin intereses
		
	

	
		",94,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,89,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=GdmQ2J7n0cKif7Fy2ysAjm41m131GdyouVjLGR27e32JjTO67C8mr8u5deO1cgDYzmro%2FOSrjI%2FhfWSBndKSy722mORzCE3vqyGZAVdvzwgfLuNXGqkl6375TKf4w1YP0pdW9TeW8qwhVGAMdCbA0N99YfpccJmB8uOnvEIGDVXU0cDqNV%2FTNxHRmmdIaT40tDUMM6bhrlHucb4hU%2F5PMkbP5kXgyRr1vTcDZo%2Bn8P%2B7sdPB0ehic8%2BG%2BAaZn4klAd44kJ5xUqh4oBpfiZtFKF1bYH9M0HJ%2FzOte1U1X1cazHs7wGfegALW5TyiPHuCgRyky1DSlu1cqxqalFBgyMQwVgIPQBA064w30AG4Jw1zWKuq%2FhSZq0jLbHoZpDKQpn8yRxAvgHy5mPGY5iZoNWJpM8xMFQ6pfgNjTpyR0sJ5oyR7fPGYF2Uu4E47F8b6TO8n0IS%2FrC2J7VFE758%2FtIEzTpV9sGVogrzOLnRfSeAI8NyRY2UaEPoq%2FiPFdOEl7eiQ8w6DrnoM1mn1Vd1pSGm0ei0o2gbNHaykRyQAKPpAElhlO0RqX6bi9RtVhnRQPqNQz5r2J1Uy%2Bpe7ROTypiOMm%2FFMvdyzhQHANyPI%2FP0cNJuxQ4Y32A9MUTDCN7Xol7DPqxioOk2snPMnMs1GYVotX3fIapDeLfp29JdDhLRYnSOFxdO5CywEGTqGDlDAXdTnLX1jPicV7Y%2ByR5XuODmP6236qvTccGwLcrSxpeDKiCUlJ1Mpn7UX5Gm5QqFdYorLpZ7AEFM0XxaFJgxNw6MYPU7awvkvzDWkj2vSTTkw%2FL%2BdsH8k%2FttT5A1ALNx1r3NM8gRHvxowfnExpuIOrW9wFu4kc6WO9oODCXV0c%2BJIhJw4gj2AeJYNmJuKV0k%2FpLEKQu%2FYBM%2FCVttgxPbN7YgFT4XlibZBKuJkz6fVHiJJEFTxGGKpCiTdgO2s33Y7ptp%2FjKnoyz8Vmwgae%2BT8VeGDuLO87NuMDuFthIyODxzoa1LvQsBWjPt9ortEvMXteXD83oUgsRK7d%2Fiy1osROVFEsjOcAT53BZvlJ%2F%2BR1XCitc2F7aO%2FD%2F%2B%2BFbewGW4KGHXvbxvuaKvb7bZFL89WeUJu15GQkrZy2epc9xPCmhutkamnCdAd36YOMl1X8h%2FysT8JRUf14DhcyfPB7F2kSTvQZ1R0ef%2Fc9GYLf4NRkHMkugs5iharQujZxJtJj4RZj8CzwinsEEXH%2BHCdDF7AtadLYDLzA68uOYFKv6la6FxwLOKgv2iPnD%2B7P1XGcwD%2F9D0efCWy%2F%2BTGmuMwGyRq7rjF%2FBbpY3yfMmV712tSn1dAGXB0ltPFxiy2JH8dhhbkYbTThaBvGB26aa0PDNTyLgcAU36gT9onuZ6cXj4u%2BLRzjaM7fHDjYCwol26jusOGfe17WbTl%2BywwhwQ7YosjJpJUddj8Z3rCrpTAZtwlUWqP1OshizetArBslxtev%2F6TGaONdm8dcoPle9O%2BM343Ua2j8MemIriBAcv6s242Rdxap8i2%2B9%2BULw9Pm0Gyu1lZHa745FIiDWQlqNh2LBSEq7ffj0ZSdqlQLq91iqa%2FRRBY99tgszztXAsh0ATAmPtxqKRMuOMMIPulSDNPJiWy%2FO6zkrhhoDjQNoa73Mnutauw9wbWr7hxPfgfufSHwsTnD9KcSUgX%2FRvfbjgm4EMJyjLtZ57ZJct1%2BGForAXNz%2BrhhYKxgErskOszKmhBb2N0oJPtzHFP1DU5or3U8uR0j0t9SHmbzmJVmw6nMnlZ%2BkYzQV3KiToHzfL3ohsw1eOIHdfGOMP%2BrxTokbfeS3KBoCEuvDAkR,78,9,2,0,0,#623748083,Apple,6 6s 6 plus 6s plus 7 7 plus 8 8 plus X Xs Xs max Xr,Mikki,Business Leather,Protector,TPU,NA
9," Funda Lujo iPhone 6, 6 Plus, 7, 7 Plus,8, 8 Plus, X+ Cristal ",189,NA,"
			
				Nuevo
			
			
				
					 - 
				
				989
				vendidos
			
		",(51 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1050
		
		 sin intereses
		
	

	
		",50,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.4,52,https://perfil.mercadolibre.com.mx/VIGU+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-595379740-funda-lujo-iphone-6-6-plus-7-7-plus8-8-plus-x-cristal-_JM#position=9&type=item&tracking_id=b1021dd0-4ecc-4db4-99f3-837d7c5cfa0c,37,6,5,1,3,#595379740,Apple,iPhone,Lujo,Lujo,Lujo,Plástico,VIGU
10," Funda Case 360 ° iPhone 8, 8 Plus, 7, 7 Plus + Vidrio 9 H ",149,NA,"
			
				Nuevo
			
			
				
					 - 
				
				632
				vendidos
			
		",(81 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 828
		
		 sin intereses
		
	

	
		",28,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,34,https://perfil.mercadolibre.com.mx/PILILASTEAM,https://articulo.mercadolibre.com.mx/MLM-606306839-funda-case-360-iphone-8-8-plus-7-7-plus-vidrio-9-h-_JM?searchVariation=33466514143#position=10&type=item&tracking_id=b1021dd0-4ecc-4db4-99f3-837d7c5cfa0c,28,2,3,1,0,#606306839,Apple,"IPHONE 7, IPHONE 7 PLUS",360,iPhone,360,Plástico,IPHONE
