search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Marca,Tipo de funda
1, Mophie Funda Bateria Juice Pack Para iPhone 8/7 Plus Negro ,47.990,69.990,"
			
			
				
				1
				vendido
			
		",(2 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 7.998
			
		
		 sin interés
		
	

	
		","
				$ 7.998
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-475910245-mophie-funda-bateria-juice-pack-para-iphone-87-plus-negro-_JM#position=1&type=item&tracking_id=ebfe9b44-c794-4d53-b8da-56bb8d1f9a47,NA,NA,NA,NA,NA,#475910245,NA,NA,NA
2, Tech 21 Funda Dura iPhone 8/7 Plus Evoke Transparente/azul ,23.990,NA,"
			
			
				
				1
				vendido
			
		",(9 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.998
			
		
		 sin interés
		
	

	
		","
				$ 3.998
			",NA,Lo retiro en la tienda del vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-496719646-tech-21-funda-dura-iphone-87-plus-evoke-transparenteazul-_JM#position=2&type=item&tracking_id=ebfe9b44-c794-4d53-b8da-56bb8d1f9a47,NA,NA,NA,NA,NA,#496719646,Apple,Tech 21,Carcasa
3, iPhone 5 5s 6 6s 7 8 Plus Carcasa 360 Slim Gkk | Kyrios ,6.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				94
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.165
			
		
		 sin interés
		
	

	
		","
				$ 1.165
			",NA,Envío a todo el país,NA,NA,4.8,6,https://perfil.mercadolibre.cl/TIENDA+KYRIOS,https://articulo.mercadolibre.cl/MLC-473097419-iphone-5-5s-6-6s-7-8-plus-carcasa-360-slim-gkk-kyrios-_JM?searchVariation=41301697056#position=3&type=item&tracking_id=ebfe9b44-c794-4d53-b8da-56bb8d1f9a47,5,1,0,0,0,#473097419,Apple,GKK,Carcasa
4, Carcasa Silicona Logo Apple iPhone 7 / 8 + Lamina De Vidrio ,9.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				47
				vendidos
			
		",(88 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 832
			
		
		 sin interés
		
	

	
		","
				$ 832
			",NA,Envío a todo el país,NA,NA,5.0,2,https://perfil.mercadolibre.cl/CARCASASPUNTOCL,https://articulo.mercadolibre.cl/MLC-480609141-carcasa-silicona-logo-apple-iphone-7-8-lamina-de-vidrio-_JM#position=4&type=item&tracking_id=ebfe9b44-c794-4d53-b8da-56bb8d1f9a47,NA,NA,NA,NA,NA,#480609141,Apple,NA,Carcasa
5, Apple iPhone 8 64gb Nuevo + Lamina Y Funda - Phone Store ,699.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				164
				vendidos
			
		",(736 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 116.665
			
		
		 sin interés
		
	

	
		","
				$ 116.665
			",NA,Envío gratis a todo el país,NA,NA,4.8,40,https://perfil.mercadolibre.cl/PHONESTORE-RETAILCHILE,https://articulo.mercadolibre.cl/MLC-450308147-apple-iphone-8-64gb-nuevo-lamina-y-funda-phone-store-_JM#position=5&type=item&tracking_id=ebfe9b44-c794-4d53-b8da-56bb8d1f9a47,34,5,0,0,1,#450308147,NA,Apple,NA
6, Carcasa Original Ipaky 360º iPhone 8 Plus + Vidrio Templado ,12.990,19.990,"
			
				Nuevo
			
			
				
					 - 
				
				3015
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 2.165
			
		
		 sin interés
		
	

	
		","
				$ 2.165
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MONKEYCOLOR,https://articulo.mercadolibre.cl/MLC-451130493-carcasa-original-ipaky-360-iphone-8-plus-vidrio-templado-_JM#position=6&type=item&tracking_id=ebfe9b44-c794-4d53-b8da-56bb8d1f9a47,NA,NA,NA,NA,NA,#451130493,Apple,Genérico,Carcasa
7, Carcasa Love Mei iPhone 7 8 X Y 7 8 Plus - Tecnostrike ,17.990,20.990,"
			
				Nuevo
			
			
				
					 - 
				
				339
				vendidos
			
		",(21 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 2.998
			
		
		 sin interés
		
	

	
		","
				$ 2.998
			",NA,Envío a todo el país,NA,NA,4.1,13,https://perfil.mercadolibre.cl/TECNOSTRIKE,https://articulo.mercadolibre.cl/MLC-435358128-carcasa-love-mei-iphone-7-8-x-y-7-8-plus-tecnostrike-_JM#position=7&type=item&tracking_id=ebfe9b44-c794-4d53-b8da-56bb8d1f9a47,8,1,1,3,0,#435358128,Apple,LOVE MEI,Carcasa
8, Carcasa Original Ipaky 360º iPhone 8 + Vidrio Templado ,12.990,19.990,"
			
				Nuevo
			
			
				
					 - 
				
				3024
				vendidos
			
		",(5 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 2.165
			
		
		 sin interés
		
	

	
		","
				$ 2.165
			",NA,Envío gratis a todo el país,NA,NA,3.0,1,https://perfil.mercadolibre.cl/MONKEYCOLOR,https://articulo.mercadolibre.cl/MLC-451127669-carcasa-original-ipaky-360-iphone-8-vidrio-templado-_JM#position=8&type=item&tracking_id=ebfe9b44-c794-4d53-b8da-56bb8d1f9a47,NA,NA,NA,NA,NA,#451127669,Apple,Apple,Carcasa
9, Carcasa Transparente Reforzada Para iPhone 8 Plus Miaustore ,1.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				34
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 166
			
		
		 sin interés
		
	

	
		","
				$ 166
			",NA,Envío a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/MIAUSTORE.CL,https://articulo.mercadolibre.cl/MLC-453525745-carcasa-transparente-reforzada-para-iphone-8-plus-miaustore-_JM#position=9&type=item&tracking_id=ebfe9b44-c794-4d53-b8da-56bb8d1f9a47,NA,NA,NA,NA,NA,#453525745,Apple,NA,Carcasa
10, Carcasa 360° iPhone 8 Plus 7 Plus + Lámina Negro 3 En 1 ,9.995,NA,"
			
				Nuevo
			
			
				
					 - 
				
				38
				vendidos
			
		","
		
			¡Último disponible!
		
	","
	
		
			
		
		6 cuotas de
		
			
				$ 1.666
			
		
		 sin interés
		
	

	
		","
				$ 1.666
			",NA,Lo retiro en el domicilio del vendedor,NA,NA,5.0,1,https://perfil.mercadolibre.cl/ALPHATECHILE,https://articulo.mercadolibre.cl/MLC-452824745-carcasa-360-iphone-8-plus-7-plus-lamina-negro-3-en-1-_JM#position=10&type=item&tracking_id=ebfe9b44-c794-4d53-b8da-56bb8d1f9a47,NA,NA,NA,NA,NA,#452824745,Apple,NA,Carcasa
