search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del Celular,Modelo del Celular,Marca de la Funda,Modelo de la Funda,Tipo de funda,Material,Fabricante
1, Funda Case Marca Ringke Rigida Para iPhone 7 / 8 Bumper . Shock Absorption Technology ,219,NA,"
			
			
				
				304
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 2164
		
		 sin intereses
		
	

	
		",64,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,27,https://perfil.mercadolibre.com.mx/RINGKE.MX?brandId=873,https://articulo.mercadolibre.com.mx/MLM-566187365-funda-case-marca-ringke-rigida-para-iphone-7-8-bumper-shock-absorption-technology-_JM#position=1&type=item&tracking_id=6b70ad1a-3613-48a9-a097-e26b7654c5c5,23,3,0,1,0,#566187365,Apple,iphone 7 / iphone 8,Ringke,Fusion,Alta resistencia,POLIMERO HIBRIDO ALTA RESISTENCIA,REARTH RINGKE
2, Funda Tipo Piel Leather Case iPhone 6 7 8 Plus X Max Xr +mic ,269,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2651
				vendidos
			
		",(77 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1494
		
		 sin intereses
		
	

	
		",94,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,86,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-623748083-funda-tipo-piel-leather-case-iphone-6-7-8-plus-x-max-xr-mic-_JM?searchVariation=32254170260#position=2&type=item&tracking_id=6b70ad1a-3613-48a9-a097-e26b7654c5c5,75,9,2,0,0,#623748083,Apple,6 6s 6 plus 6s plus 7 7 plus 8 8 plus X Xs Xs max Xr,Mikki,Business Leather,Protector,TPU,NA
3, Funda Lujo Cromo 3 En 1 iPhone X 8 7 6 Plus 6s 5 Se ,169,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6649
				vendidos
			
		",(13 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 939
		
		 sin intereses
		
	

	
		",39,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.4,350,https://perfil.mercadolibre.com.mx/ONE-CLICK,https://articulo.mercadolibre.com.mx/MLM-577013572-funda-lujo-cromo-3-en-1-iphone-x-8-7-6-plus-6s-5-se-_JM#position=3&type=item&tracking_id=6b70ad1a-3613-48a9-a097-e26b7654c5c5,236,61,31,12,10,#577013572,Apple,iPhone 5 / 5s / SE / 6 / 6s / 6 Plus / 6s Plus / 7 / 7 Plus / 8 / 8 Plus / X / Xs / XR / XS Max,3 EN 1,Funda 3 en 1 Lujosa,Funda Protectora de Lujo,Plástico,Apple
4, Celular Apple iPhone 8 64gb Liberado + Audifonos + Funda ,"9,999",NA,"
			
				Nuevo
			
			
				
					 - 
				
				215
				vendidos
			
		",(22 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 55550
		
		 sin intereses
		
	

	
		",50,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,111,https://perfil.mercadolibre.com.mx/TEKKNOSHOP,https://articulo.mercadolibre.com.mx/MLM-644856769-celular-apple-iphone-8-64gb-liberado-audifonos-funda-_JM?searchVariation=30987052344#position=4&type=item&tracking_id=6b70ad1a-3613-48a9-a097-e26b7654c5c5,90,15,3,0,3,#644856769,NA,NA,NA,NA,NA,NA,NA
5, Celular Original iPhone 8 Plus 64gb + Funda + Audifonos ,"13,699",NA,"
			
				Nuevo
			
			
				
					 - 
				
				141
				vendidos
			
		",(7 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 76106
		
		 sin intereses
		
	

	
		",06,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,124,https://perfil.mercadolibre.com.mx/TEKKNOSHOP,https://articulo.mercadolibre.com.mx/MLM-660440827-celular-original-iphone-8-plus-64gb-funda-audifonos-_JM?searchVariation=31858499423#position=5&type=item&tracking_id=6b70ad1a-3613-48a9-a097-e26b7654c5c5,101,13,2,0,8,#660440827,NA,NA,NA,NA,NA,NA,NA
6, Case Acrigel iPhone Galaxy Huawei Xiaomi Moto Lg Airbag Gruesa Anticaida Uso Rudo Resistente Dama Hombre Caballero Funda ,70,NA,"
			
				Nuevo
			
			
				
					 - 
				
				894
				vendidos
			
		",(1732 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 389
		
		 sin intereses
		
	

	
		",89,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,13,https://perfil.mercadolibre.com.mx/IPHONE+MX,https://articulo.mercadolibre.com.mx/MLM-692096261-case-acrigel-iphone-galaxy-huawei-xiaomi-moto-lg-airbag-gruesa-anticaida-uso-rudo-resistente-dama-hombre-caballero-funda-_JM#position=6&type=item&tracking_id=6b70ad1a-3613-48a9-a097-e26b7654c5c5,12,0,1,0,0,#692096261,iPhone,iPhone Samsung Galaxy Huawei LG Motorola Xiaomi,iPhoneMX,Acrigel Uso Rudo Resistente Goma Dura con Rigida Acrilico Dama Mujer Hombre Caballero Fuerte Resistente Mayoreo Lote Negocio,Case Bumper Protector Funda,Acrigel Goma con Acrilico Plastico Rigido,NA
7," Funda Case Magica De Moda iPhone 8, 8 +, 7 7 Plus, 6s, 6s+ X ",85,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1581
				vendidos
			
		",(96 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 472
		
		 sin intereses
		
	

	
		",72,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,64,https://perfil.mercadolibre.com.mx/PROSU+ELECTRONICOS,https://articulo.mercadolibre.com.mx/MLM-607286668-funda-case-magica-de-moda-iphone-8-8-7-7-plus-6s-6s-x-_JM?searchVariation=19237535867#position=7&type=item&tracking_id=6b70ad1a-3613-48a9-a097-e26b7654c5c5,48,10,2,1,3,#607286668,NA,"IPHONE 7, IPHONE 7 PLUS, IPHONE 6, 6 PLUS,  6S, 6S PLUS",s/n,iPhone,Magica,Plástico,S/N
8, Funda Glitter Case iPhone 8 | 7 | 6 | X | Plus Brillante ,15,NA,"
			
				Nuevo
			
			
				
					 - 
				
				676
				vendidos
			
		",(109 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 083
		
		 sin intereses
		
	

	
		",83,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,17,https://perfil.mercadolibre.com.mx/PROSU+ELECTRONICOS,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=lU05YPrLZ41tJzZgFrLH9EaB39u8bfajgFDqhZ0y2ruKoUTJ9m9971%2F5GwdO79ktPfmq8wFEzI57TZ7SbXFIgrGciuoSWkoDaFqBSdsax0dWH8cLVLKcnGqB3Ia2scNqgiv5x0aCHVoDT23CqhiKDjbZnFLtKbVYoAMKXDyznglDon%2F6Y1IeniqBwB9Lp8ty9WHqKE9%2FvhENcxzxbB9Xf1V73v%2BfVb0FwTDpJXsfOty%2FIwB%2BZNFqkwx7yyNCtRk%2FIWemEX%2FRXoKr3ZT3fl7XlmvoEipplYHeRTgSLm7Oy7FPe%2FpGGF0Y%2FgJccuxfjg1JP33tJVxjnIULS%2BcCuuCjqp4wmN9e0x%2B0yA27G9cmgeOpyyWALCqflMpf543IHRDHwQBZuPHHjiyqHP%2FnJAN1XPIN0JXNdBJcpVD8y7%2BgGEfCBRQCXmrTd%2FUdBE9fIAW1a5fHkxan9t9dOMW7pzWg19A1teNq2j84sRIs3VXkHQCGkMPd5raDs3yhMenhBqNdQZ7fJ2bbGGC4Ay6nwwJeZu1D5Jvo4lfvy8MbHFU7oX09LgBzvAEi%2BwI0FlEAuukX8eSARarJjSHSeoseGKxdCR%2B4bb9LCwoVMt79%2F9bEWOfnWoRIR9DjDt6yG1S1pXbXyiVPWAK%2BL7RcvCvFiXKcXEIBV%2BhTrIUUGoQuqadsxFuvhANwVwvp99OQIgUQqXayc9K6C8fX8gVlbT1eI2iDOdVIS0inePJ6%2BK5X6hyEGEzIXgfNNyx%2FsUmcyqiPozG4m8wsLjOluOWU%2B4QbG5j742IgJAV21B43PusrVANLfKJz4lqTDkLl7PBjrI32hogWqKEvrwpnuehGW476fIRXKG0YLYgWEuncJmpth9j2WR11HpPfvBuBbkensYo9iDVTavp8RBrrUyqTe0cYbRRAz%2BaL0mopMOdIT0k7k%2B%2FrTFeIfkSLiL5MxmQFaI66j8kfuKhkhUesyepB72FHOjk%2FhYdNXRWXInB4pzT1e7wX5be6USjN%2FFKU1ldL%2BYaXg9cppw2QfJ778ZyNkQNaUbnXa4Mwsxz6ybPXxV5VnMNizYDvPM2wDXY4e%2F6yXfdzJ1cPgIY%2Fx3dWGs%2F7aLEEgHk7syU1or1q0pWX9pL2es24aOwXaYiuraj4Jv4KlVfN6FcGO%2BK0W6BuWeNxz%2FmrTLOvQcQKHXmD2YlF3%2FUpN99kUebLRY7OErE7cm0Arf8j5musP6RoP4yauSMfYVAb3iZf40nKk9b7%2FF95y4Hh0JZtEuitndrjzsIf98KIqNXSikvk1z%2BVSF6uTCpakKZdrwwtD9TVhhwtnLsOFTq2yIbbKibyIRz4CPeC0ZaGGkwZ4VsebPYpA2eNY7eajky%2BXeLcLVyQUCvosecuMw1WW9rPgymePbXYxx47HQp%2Ferr5u2jjkPlY0sMV0SStVzqXMcT4QBC4ZZVDI4zhSKjke14m%2FOkUgf1XlhxIq%2BUlJzbqjv4UlTL0nBtX%2FpdIEvZz76mVX3BDW%2Byc73yCG9B8G6xCinJFmqzryG3anweRvZcCqEKMDfMcILuRa%2B9lpblRoRbrL4jwRQ4Dl7B6VjlgXYUzyR2sdi6Co7QI5WN%2FwA1AcsnXVPzhGFAYVDpFvH6%2FqPsheN1voP%2Fi2E7Tc03bi%2BM9Lpd5bd45c%2B5IViV3fwBIMuVfxVXLHiYgWs%2BZ%2BTljYo6scarBe3QFDbhE7F2BqkXM201h%2BC0RQTjV2qVyT2NsJRGzDvhk8U30p3H1PN8c0QaF3uel1E1QZ1tRFCexAfDgunWd5YoKUQS4RUMvHcuDai0iVTWlXOO1eSU%2B,13,2,1,1,0,#613665999,iPhone,Iphone 7 y 7 Plus,Genérico,Silicone Case,SILICON,Silicona,generica
9, Funda 360 Bicolor iPhone X 8 7 6 Plus 6s Se 5 + Mica ,169,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2121
				vendidos
			
		",(36 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 939
		
		 sin intereses
		
	

	
		",39,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.3,103,https://perfil.mercadolibre.com.mx/ONE-CLICK,https://articulo.mercadolibre.com.mx/MLM-604203954-funda-360-bicolor-iphone-x-8-7-6-plus-6s-se-5-mica-_JM#position=9&type=item&tracking_id=6b70ad1a-3613-48a9-a097-e26b7654c5c5,66,18,9,3,7,#604203954,Apple,iPhone 5 / 5s / SE / 6 / 6s / 6 Plus / 6s Plus / 7 / 7 Plus / 8 / 8 Plus / X,360° Bicolor,Protector 360º,Funda Protectora 360°,Plástico,Apple
10, Funda 360 Lujo Espejo iPhone X 8 7 6 Plus 6s Se 5s 5 + Mica ,189,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2901
				vendidos
			
		",(8 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1050
		
		 sin intereses
		
	

	
		",50,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,105,https://perfil.mercadolibre.com.mx/ONE-CLICK,https://articulo.mercadolibre.com.mx/MLM-605956130-funda-360-lujo-espejo-iphone-x-8-7-6-plus-6s-se-5s-5-mica-_JM?searchVariation=27291542355#position=10&type=item&tracking_id=6b70ad1a-3613-48a9-a097-e26b7654c5c5,77,12,7,5,4,#605956130,Apple,iPhone 5 / 5s / SE / 6 / 6s / 7 / 6 Plus / 6s Plus / 7 Plus / 8 / 8 Plus,360° Espejo,Funda Protector 360°,Funda Protectora,Aluminio,Apple
