search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Color,Modelo del celular,Marca,Modelo,Material
17, iPhone 8 Plus Billetera Funda De Phone iPhone 7 Plus Funda X ,147,NA,1,11,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NEGOCIOS+DANTE1920,https://articulo.mercadolibre.com.pe/MPE-436462758-iphone-8-plus-billetera-funda-de-phone-iphone-7-plus-funda-x-_JM#position=17&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,NA,NA,NA,NA,NA,#436462758,Apple,Red,NA,XRPOW,NA,Cuero
18, Funda Case Protector Antishock iPhone 7/8/plus Delgada ,15,NA,5,90,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-432695703-funda-case-protector-antishock-iphone-78plus-delgada-_JM#position=18&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,NA,NA,NA,NA,NA,#432695703,Apple,NA,NA,NA,NA,NA
19, Lunatik iPhone 5/6/6s 7/7plus 8/8plus Armadura De Aluminio ,125,NA,3,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ALBERTOPP75,https://articulo.mercadolibre.com.pe/MPE-428313439-lunatik-iphone-566s-77plus-88plus-armadura-de-aluminio-_JM#position=19&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,NA,NA,NA,NA,NA,#428313439,Apple,Negro,NA,NA,NA,Aluminio
20, Funda Otterbox Defender iPhone 8 Apple Estuche Case Armor ,95,NA,1,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MACMELLOWMIRAFLORES,https://articulo.mercadolibre.com.pe/MPE-435619794-funda-otterbox-defender-iphone-8-apple-estuche-case-armor-_JM#position=20&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,NA,NA,NA,NA,NA,#435619794,Apple,NA,NA,Apple,NA,NA
21, Rock Case Funda Protector Moc Series iPhone 7 / 8plus ,50,NA,4,29,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ZONAMOVILPERU1,https://articulo.mercadolibre.com.pe/MPE-430286444-rock-case-funda-protector-moc-series-iphone-7-8plus-_JM#position=21&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,NA,NA,NA,NA,NA,#430286444,Apple,Roja,NA,NA,NA,NA
22, Case Protector Funda Transparente iPhone X Xs Xmax 7/8 ,69,NA,1,3,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CSHOP1,https://articulo.mercadolibre.com.pe/MPE-436685984-case-protector-funda-transparente-iphone-x-xs-xmax-78-_JM#position=22&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,NA,NA,NA,NA,NA,#436685984,Apple,NA,NA,NA,NA,NA
23, iPhone 7/8 6 6s Case Funda Ferrari De Cuero Genuino ,50,NA,1,3,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ISTORETEC,https://articulo.mercadolibre.com.pe/MPE-433042547-iphone-78-6-6s-case-funda-ferrari-de-cuero-genuino-_JM#position=23&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,NA,NA,NA,NA,NA,#433042547,Apple,NA,NA,NA,NA,NA
24, Protector Case Funda De Silicona iPhone 6/6s 7/8 Plus ,39,NA,3,3,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SERGIOAMARANTOPEREA,https://articulo.mercadolibre.com.pe/MPE-431846795-protector-case-funda-de-silicona-iphone-66s-78-plus-_JM#position=24&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,NA,NA,NA,NA,NA,#431846795,Apple,NA,NA,NA,NA,NA
25, Case Consola Retro Games iPhone 6s 7 8 Plus Xs Funda Juegos ,54,NA,3,3,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TIENDAEXPRESS.PE,https://articulo.mercadolibre.com.pe/MPE-431938397-case-consola-retro-games-iphone-6s-7-8-plus-xs-funda-juegos-_JM#position=25&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,NA,NA,NA,NA,NA,#431938397,Apple,NA,NA,NA,NA,NA
26, Funda Case Protector Marmol Laut iPhone 8+ 7+ 8 Plus 7 Plus ,80,NA,1,9,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MVH+STORE,https://articulo.mercadolibre.com.pe/MPE-430059713-funda-case-protector-marmol-laut-iphone-8-7-8-plus-7-plus-_JM#position=26&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,NA,NA,NA,NA,NA,#430059713,Apple,NA,NA,NA,NA,NA
27, Funda iPhone 5s/se/6/6plus/7/7plus/8/8plus Luxury Case ,45,NA,15,47,NA,NA,NA,Envío gratis a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.pe/MERKA.G,https://articulo.mercadolibre.com.pe/MPE-428375700-funda-iphone-5sse66plus77plus88plus-luxury-case-_JM#position=27&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,1,0,0,0,0,#428375700,Apple,Rosa dorado,NA,NA,NA,NA
28, Funda Case Protector Antigolpes iPhone 6 7 Y 8 Plus 3 Piezas ,69,NA,1,99,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DASTORE+PERU,https://articulo.mercadolibre.com.pe/MPE-429706820-funda-case-protector-antigolpes-iphone-6-7-y-8-plus-3-piezas-_JM#position=28&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,NA,NA,NA,NA,NA,#429706820,Apple,NA,NA,NA,NA,NA
29, Funda Cases Protector 360 + Mica De Vidrio iPhone 8 & 8 Plus ,45,NA,1,99,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ASMOBILEACCESORIES,https://articulo.mercadolibre.com.pe/MPE-432015260-funda-cases-protector-360-mica-de-vidrio-iphone-8-8-plus-_JM#position=29&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,NA,NA,NA,NA,NA,#432015260,Apple,NA,NA,NA,NA,NA
30, Funda Case Protector Bumper Anti Shock iPhone 7/8/plus/x ,129,NA,4,16,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-429994028-funda-case-protector-bumper-anti-shock-iphone-78plusx-_JM#position=30&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,NA,NA,NA,NA,NA,#429994028,Apple,Roja,NA,NA,NA,NA
31, Funda iPhone Case 5s/se/6/6plus/7/7plus/8/8plus Multi Case ,40,NA,36,38,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MERKA.G,https://articulo.mercadolibre.com.pe/MPE-430509893-funda-iphone-case-5sse66plus77plus88plus-multi-case-_JM#position=31&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,NA,NA,NA,NA,NA,#430509893,Apple,Roja,NA,NA,NA,NA
32, Case Cover Funda Silicona 3d Alto Relieve Variado iPhone 8 7 ,20,NA,1,4,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CELLBYTEZ,https://articulo.mercadolibre.com.pe/MPE-425886349-case-cover-funda-silicona-3d-alto-relieve-variado-iphone-8-7-_JM#position=32&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,NA,NA,NA,NA,NA,#425886349,Apple,NA,NA,NA,NA,Silicona
33, Case Funda Protector De Lujo iPhone 7/8 ¡oferta! ,19,NA,1,4,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FLORESALVARADOLUISALONSO,https://articulo.mercadolibre.com.pe/MPE-431747226-case-funda-protector-de-lujo-iphone-78-oferta-_JM#position=33&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,NA,NA,NA,NA,NA,#431747226,Apple,Roja,NA,NA,NA,NA
34, Case iPhone X Xs Max Xr 7 8 10 Plus + Gancho Y Mica Supcase ,129,NA,1,98,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-435990497-case-iphone-x-xs-max-xr-7-8-10-plus-gancho-y-mica-supcase-_JM#position=34&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,NA,NA,NA,NA,NA,#435990497,Apple,NA,NA,NA,NA,NA
35, Case iPhone 5 5s Se 8 7 Y Plus Súper Protector 360° Supcase ,129,NA,1,98,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-435990424-case-iphone-5-5s-se-8-7-y-plus-super-protector-360-supcase-_JM#position=35&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,NA,NA,NA,NA,NA,#435990424,Apple,Negro,NA,NA,NA,NA
36, Case iPhone X Xs 7 8 5s Plus Max Xr + Mica Supcase Original ,129,NA,1,98,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-435989860-case-iphone-x-xs-7-8-5s-plus-max-xr-mica-supcase-original-_JM#position=36&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,NA,NA,NA,NA,NA,#435989860,Apple,NA,NA,NA,NA,NA
37, Protector Case Ringke Fusión Bumper iPhone X 7 8 Y Plus ,59,NA,63,189,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4,2,http://perfil.mercadolibre.com.pe/CASEMOTIONS.PE,https://articulo.mercadolibre.com.pe/MPE-421426418-protector-case-ringke-fusion-bumper-iphone-x-7-8-y-plus-_JM#position=37&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,0,2,0,0,0,#421426418,Apple,NA,NA,Ringke,Fusion,NA
38, Case Slim Tpu Transparente Marca Nillkin iPhone 7 / 8 Plus ,25,NA,1,28,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BTPERU_VENTAS,https://articulo.mercadolibre.com.pe/MPE-432175719-case-slim-tpu-transparente-marca-nillkin-iphone-7-8-plus-_JM#position=38&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,NA,NA,NA,NA,NA,#432175719,Apple,NA,NA,Nillkin,NA,NA
39, Case Slim Tpu Transparente Marca Nillkin Para iPhone 7 / 8 ,25,NA,1,29,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BTPERU_VENTAS,https://articulo.mercadolibre.com.pe/MPE-432175758-case-slim-tpu-transparente-marca-nillkin-para-iphone-7-8-_JM#position=39&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,NA,NA,NA,NA,NA,#432175758,Apple,NA,NA,Nillkin,NA,NA
40, Funda Case Protector Aluminio iPhone 6s /6 / 7 /8 Magnetico ,49,NA,8,82,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PERUIMPORTA.,https://articulo.mercadolibre.com.pe/MPE-433356222-funda-case-protector-aluminio-iphone-6s-6-7-8-magnetico-_JM#position=40&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,NA,NA,NA,NA,NA,#433356222,Apple,NA,NA,NA,NA,Aluminio
41, Estuche Cuero Correa Samsung iPhone X Xs 7 Plus 8 Luxmo ,30,NA,1,28,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BTPERU_VENTAS,https://articulo.mercadolibre.com.pe/MPE-434092787-estuche-cuero-correa-samsung-iphone-x-xs-7-plus-8-luxmo-_JM#position=41&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,NA,NA,NA,NA,NA,#434092787,Samsung,NA,NA,Samsung,NA,Cuero
42, Case Funda Protector Spigen iPhone X 7 8 Y Plus Original Usa ,89,99,217,37,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.4,7,http://perfil.mercadolibre.com.pe/CASEMOTIONS.PE,https://articulo.mercadolibre.com.pe/MPE-421175972-case-funda-protector-spigen-iphone-x-7-8-y-plus-original-usa-_JM#position=42&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,4,2,1,0,0,#421175972,Apple,NA,NA,NA,NA,NA
43, Funda Case iPhone 6 7 8 Plus X Xs Max Xr Otterbox Defender ,60,NA,1,19,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BTPERU_VENTAS,https://articulo.mercadolibre.com.pe/MPE-434433295-funda-case-iphone-6-7-8-plus-x-xs-max-xr-otterbox-defender-_JM#position=43&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,NA,NA,NA,NA,NA,#434433295,Apple,NA,NA,OtterBox,Defender,NA
44," Case Funda Protector Silicona iPhone 6s Plus, 7plus, 8 Plus ",25,NA,1,8,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ORQUIDEA2,https://articulo.mercadolibre.com.pe/MPE-434564795-case-funda-protector-silicona-iphone-6s-plus-7plus-8-plus-_JM#position=44&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,NA,NA,NA,NA,NA,#434564795,Apple,NA,NA,NA,NA,NA
45, Funda Protector Case Plastico Variados iPhone 5c ,10,NA,23,1,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CELLBYTEZ,https://articulo.mercadolibre.com.pe/MPE-419982058-funda-protector-case-plastico-variados-iphone-5c-_JM?searchVariation=37694598100#position=45&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,NA,NA,NA,NA,NA,#419982058,Apple,NA,NA,NA,NA,NA
46," Case Funda Silicona iPhone 5, Se, 6, 7, 8, X ",22,NA,21,991,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.pe/IMANIA.PERU,https://articulo.mercadolibre.com.pe/MPE-431979684-case-funda-silicona-iphone-5-se-6-7-8-x-_JM#position=46&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,1,0,0,0,0,#431979684,Apple,NA,Silicone Case,Apple,NA,Silicona Rígida
47, Case iPhone 7 6 Plus Galaxy Note 9 8 S9 C/ Vidrio Funda Usa ,169,NA,2,97,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GLOBAL+CELS,https://articulo.mercadolibre.com.pe/MPE-432123028-case-iphone-7-6-plus-galaxy-note-9-8-s9-c-vidrio-funda-usa-_JM#position=47&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,NA,NA,NA,NA,NA,#432123028,Apple,NA,NA,NA,NA,NA
48, Case Funda Resistente Color Camaleón Para iPhone 8 Y 7 Plus ,49,NA,0,2,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/YAJOMATECH,https://articulo.mercadolibre.com.pe/MPE-434939764-case-funda-resistente-color-camaleon-para-iphone-8-y-7-plus-_JM#position=48&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,NA,NA,NA,NA,NA,#434939764,Apple,Verde,Iphone 8 Y 7,Apple,Case color Camaleon,NA
49, Apple Leather Case @ iPhone 7 8 Funda Cuero Tienda ,189,NA,0,99,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-435990410-apple-leather-case-iphone-7-8-funda-cuero-tienda-_JM#position=49&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,NA,NA,NA,NA,NA,#435990410,Apple,Negro,NA,Apple,Leather Case,Cuero
50, Protector Bumper Funda Case iPhone 7/8/plus/x Aluminio Pro ,59,NA,39,16,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-427126693-protector-bumper-funda-case-iphone-78plusx-aluminio-pro-_JM#position=50&type=item&tracking_id=a5601641-2789-48ee-8264-a8a24c1d93a9,NA,NA,NA,NA,NA,#427126693,Apple,NA,NA,NA,NA,NA
51, Nuevo Case Magnetico iPhone 6 /6s / 7 iPhone 8 + Vidrio ,49,NA,7,43,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.pe/PERUIMPORTA.,https://articulo.mercadolibre.com.pe/MPE-433356344-nuevo-case-magnetico-iphone-6-6s-7-iphone-8-vidrio-_JM#position=1&type=item&tracking_id=cc4dac13-756c-47a3-906d-d00798869f24,1,0,0,0,0,#433356344,Apple,NA,NA,NA,NA,Aluminio
52, Protector Bumper Funda Case iPhone 6 / 6s 7 / 8plus Aluminio ,75,NA,11,13,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ZONAMOVILPERU1,https://articulo.mercadolibre.com.pe/MPE-426950928-protector-bumper-funda-case-iphone-6-6s-7-8plus-aluminio-_JM#position=2&type=item&tracking_id=cc4dac13-756c-47a3-906d-d00798869f24,NA,NA,NA,NA,NA,#426950928,Apple,NA,NA,NA,NA,NA
53," Case Funda iPhone 6, 6s, 7/8, 7/ 8 Plus, X, Xs, Xr ",55,NA,1,6,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GHINEXS,https://articulo.mercadolibre.com.pe/MPE-436663632-case-funda-iphone-6-6s-78-7-8-plus-x-xs-xr-_JM#position=3&type=item&tracking_id=cc4dac13-756c-47a3-906d-d00798869f24,NA,NA,NA,NA,NA,#436663632,Apple,NA,NA,NA,NA,NA
