search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Modelo,Marca,Formato
1, Audífonos True Wireless Soundcore Liberty Lite ,249,389,16,5,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.5,2,http://perfil.mercadolibre.com.pe/ANKER+PERU?brandId=144,https://articulo.mercadolibre.com.pe/MPE-435245798-audifonos-true-wireless-soundcore-liberty-lite-_JM,1,1,0,0,0,#435245798,NA,NA,NA
2, Mini Auricular Bluetooth S530 Funcion Para Llamadas Y Musica ,17,NA,97,89,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.7,3,http://perfil.mercadolibre.com.pe/ZEALOTT+IMPORTACIONES,https://articulo.mercadolibre.com.pe/MPE-432787876-mini-auricular-bluetooth-s530-funcion-para-llamadas-y-musica-_JM,2,1,0,0,0,#432787876,S530,NA,NA
3, V5 Audifonos Inalámbricos Bluetooth 5.0 Calidad Y Estilo ,120,NA,50,7,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.6,5,http://perfil.mercadolibre.com.pe/CLOUD+BUSINESS,https://articulo.mercadolibre.com.pe/MPE-434419720-v5-audifonos-inalambricos-bluetooth-50-calidad-y-estilo-_JM,3,2,0,0,0,#434419720,NA,NA,NA
4, Stock Audifonos Original Xiaomi Redmi Airdots Envio Inmediat ,94,NA,285,973,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.7,36,http://perfil.mercadolibre.com.pe/ZEALOTT+IMPORTACIONES,https://articulo.mercadolibre.com.pe/MPE-436293760-stock-audifonos-original-xiaomi-redmi-airdots-envio-inmediat-_JM,26,8,2,0,0,#436293760,Redmi AirDots,Xiaomi,Headset
5, Audifonos Deportivos Bluetooth 4.2 Inalámbricos Radio Sd ,39,49,612,388,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.4,9,http://perfil.mercadolibre.com.pe/GRUPONATIC.PE,https://articulo.mercadolibre.com.pe/MPE-418636835-audifonos-deportivos-bluetooth-42-inalambricos-radio-sd-_JM,5,3,1,0,0,#418636835,NA,st3,NA
6, Audífonos AirPods I11 Tws ( I10 2019 ) Bluetooth 5.0 Tactil ,139,NA,49,4,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,7,http://perfil.mercadolibre.com.pe/MONTEZAMOVIL,https://articulo.mercadolibre.com.pe/MPE-434495285-audifonos-airpods-i11-tws-i10-2019-bluetooth-50-tactil-_JM,7,0,0,0,0,#434495285,I11,TWS,In-ear
7, Audifonos I7s Plus Bluetooth 5.0 Inalambricos Apple Android ,64,NA,309,291,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,2,1,http://perfil.mercadolibre.com.pe/HUMA7820320,https://articulo.mercadolibre.com.pe/MPE-433034458-audifonos-i7s-plus-bluetooth-50-inalambricos-apple-android-_JM,0,0,0,1,0,#433034458,NA,i7s Plus,NA
8, Audífonos Xiaomi Redmi Airdots Mejor Que I12 Tws I10 ,99,NA,21,44,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.7,36,http://perfil.mercadolibre.com.pe/ZEALOTT+IMPORTACIONES,https://articulo.mercadolibre.com.pe/MPE-433927417-audifonos-xiaomi-redmi-airdots-mejor-que-i12-tws-i10-_JM,26,8,2,0,0,#433927417,Redmi Airdots,Xiaomi,Headset
9, Audifonos Original Xiaomi Redmi Airdots Entregas En 10 Dias ,89,119,128,472,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.7,36,http://perfil.mercadolibre.com.pe/CASEMOTIONS.PE,https://articulo.mercadolibre.com.pe/MPE-433005812-audifonos-original-xiaomi-redmi-airdots-entregas-en-10-dias-_JM,26,8,2,0,0,#433005812,AirDots,Xiaomi,In-ear
10, Audifonos Jbl Bluetooth Pure Bass Sound T110 Wireles Colores ,119,NA,26,48,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,4,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-435128963-audifonos-jbl-bluetooth-pure-bass-sound-t110-wireles-colores-_JM,3,1,0,0,0,#435128963,T110,JBL,NA
11, Audifonos Bluetooth I7s Tws Cargador Portatil Apple Android ,35,39,744,4,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.3,11,http://perfil.mercadolibre.com.pe/BRUNOESPINOZAFALCN,https://articulo.mercadolibre.com.pe/MPE-432083624-audifonos-bluetooth-i7s-tws-cargador-portatil-apple-android-_JM,7,2,1,0,1,#432083624,NA,Apple,NA
12, Audifonos Inalambrios Bluetooth Imantados Deportivos 2018 ,30,NA,405,39,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.3,28,http://perfil.mercadolibre.com.pe/FROG_PEOPLE+_IMPORT,https://articulo.mercadolibre.com.pe/MPE-420579803-audifonos-inalambrios-bluetooth-imantados-deportivos-2018-_JM,15,10,1,0,2,#420579803,NA,NA,NA
13, Samsung Galaxy Buds 2019 Audifonos Inalambricos En Stock!! ,539,NA,56,43,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,5,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-436048863-samsung-galaxy-buds-2019-audifonos-inalambricos-en-stock-_JM,5,0,0,0,0,#436048863,Buds,Samsung,In-ear
14, Audífono Bluetooth Twins True Wireless Stereo + Base K2 ,79,NA,50,50,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DIGITAL-PERU,https://articulo.mercadolibre.com.pe/MPE-431013752-audifono-bluetooth-twins-true-wireless-stereo-base-k2-_JM,NA,NA,NA,NA,NA,#431013752,NA,NA,NA
15, Audifono Bluetooth Bluetooth X2t Originales Sellado ,79,NA,216,26,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,3.3,3,http://perfil.mercadolibre.com.pe/MATHEUSBARTRA,https://articulo.mercadolibre.com.pe/MPE-432605423-audifono-bluetooth-bluetooth-x2t-originales-sellado-_JM,1,1,0,0,1,#432605423,NA,NA,NA
16, Skullcandy Audifonos Bluetooth Method Sport Supreme Sound ,189,209,27,35,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.5,2,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434305464-skullcandy-audifonos-bluetooth-method-sport-supreme-sound-_JM,1,1,0,0,0,#434305464,Method,Skullcandy,NA
17, Audífono Bluetooth Huawei Honor Sport Am61 ,125,NA,14,11,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.5,4,http://perfil.mercadolibre.com.pe/MAJU4927724,https://articulo.mercadolibre.com.pe/MPE-435912269-audifono-bluetooth-huawei-honor-sport-am61-_JM,3,0,1,0,0,#435912269,Xsport,Huawei,In-ear
18, Motorola Audifonos Bluetooth Pulse Escape Super Combo Pack ,149,NA,105,47,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,15,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-433512029-motorola-audifonos-bluetooth-pulse-escape-super-combo-pack-_JM,12,3,0,0,0,#433512029,Pulse Escape,Motorola,Over-ear
19, Audifonos B3300 Hands Free Sports Bluetooth V4.1 Con Micro ,60,NA,607,302,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,52,http://perfil.mercadolibre.com.pe/MKURON0,https://articulo.mercadolibre.com.pe/MPE-421391955-audifonos-b3300-hands-free-sports-bluetooth-v41-con-micro-_JM,41,9,2,0,0,#421391955,NA,NA,NA
20, Audifonos Bluetooth I7s Tws Cargador Portátil Apple Android ,39,NA,76,24,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4,4,http://perfil.mercadolibre.com.pe/VRB+EIRL,https://articulo.mercadolibre.com.pe/MPE-433144734-audifonos-bluetooth-i7s-tws-cargador-portatil-apple-android-_JM,3,0,0,0,1,#433144734,NA,Apple,NA
21, Audifonos Xiaomi Mi Sports Bluetooth Inalambricos ,109,NA,51,33,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.3,3,http://perfil.mercadolibre.com.pe/FRANKSMAZA,https://articulo.mercadolibre.com.pe/MPE-432908688-audifonos-xiaomi-mi-sports-bluetooth-inalambricos-_JM,1,2,0,0,0,#432908688,NA,Xiaomi,NA
22, Stock Audifonos Original Xiaomi Redmi Airdots Envío Inmediat ,94,NA,48,92,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.7,36,http://perfil.mercadolibre.com.pe/MAJU4927724,https://articulo.mercadolibre.com.pe/MPE-436361713-stock-audifonos-original-xiaomi-redmi-airdots-envio-inmediat-_JM,26,8,2,0,0,#436361713,Redmi Airdots,Xiaomi,Headset
23," Audifono Bluetooth Handsfree 8 Horas, Original, Envio Gratis ",75,NA,37,1,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SOLUMATICA+IMPORT,https://articulo.mercadolibre.com.pe/MPE-432140061-audifono-bluetooth-handsfree-8-horas-original-envio-gratis-_JM,NA,NA,NA,NA,NA,#432140061,NA,NA,NA
24, Audifonos Skullcandy Ink'd Wireless Supreme Sound Bluetooth ,139,NA,35,101,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,2,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434095418-audifonos-skullcandy-inkd-wireless-supreme-sound-bluetooth-_JM,2,0,0,0,0,#434095418,INK'D Wireless,Skullcandy,NA
25, Mini AirPods I9s Tws Audifonos Bluetooth 5.0 Ultima Version ,79,NA,18,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MAJU4927724,https://articulo.mercadolibre.com.pe/MPE-435244365-mini-airpods-i9s-tws-audifonos-bluetooth-50-ultima-version-_JM,NA,NA,NA,NA,NA,#435244365,NA,NA,NA
26, Audífonos Bluetooth Tipo AirPods I9s Estuche Cargador ,44,NA,39,84,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ARAMBURUPEDRO,https://articulo.mercadolibre.com.pe/MPE-433483521-audifonos-bluetooth-tipo-airpods-i9s-estuche-cargador-_JM,NA,NA,NA,NA,NA,#433483521,NA,NA,NA
27, Audifonos Xiaomi Mi Sports 11 Hrs - Entrega Gratis ,84,NA,24,17,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MAJU4927724,https://articulo.mercadolibre.com.pe/MPE-436221893-audifonos-xiaomi-mi-sports-11-hrs-entrega-gratis-_JM,NA,NA,NA,NA,NA,#436221893,NA,Xiaomi,NA
28, Audífonos Sony Bluetooth Ch500 (negro) ,169,249,24,25,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SONYPERUSRL?brandId=25,https://articulo.mercadolibre.com.pe/MPE-432503826-audifonos-sony-bluetooth-ch500-negro-_JM,NA,NA,NA,NA,NA,#432503826,NA,Sony,NA
29, Audífono Bluetooth Huawei Sport Am61 ,149,NA,16,8,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.5,4,http://perfil.mercadolibre.com.pe/PRO-ACCESORIOS,https://articulo.mercadolibre.com.pe/MPE-434541487-audifono-bluetooth-huawei-sport-am61-_JM,3,0,1,0,0,#434541487,NA,Huawei,NA
30, Jbl Audifonos Bluetooth Pure Bass T450 Wireless Harman ,149,169,24,26,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434659465-jbl-audifonos-bluetooth-pure-bass-t450-wireless-harman-_JM,1,0,0,0,0,#434659465,T450,JBL,NA
31, Audifonos Motorola Bluetooth Pulse Escape Plus Camuflado ,149,169,20,42,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,8,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-433197597-audifonos-motorola-bluetooth-pulse-escape-plus-camuflado-_JM,6,2,0,0,0,#433197597,Pulse Escape+,Motorola,Over-ear
32, Auricular Audifono Manos Libres Bluetooth V9 Inalambrico ,80,NA,8,92,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TITECHNOLOGYIMPORT,https://articulo.mercadolibre.com.pe/MPE-435701012-auricular-audifono-manos-libres-bluetooth-v9-inalambrico-_JM,NA,NA,NA,NA,NA,#435701012,V9,NA,NA
33, Audifonos Hands Free Bluetooth V4.1 Micro Magneticos ,18,NA,17,1,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/VENTAS+O.,https://articulo.mercadolibre.com.pe/MPE-436216694-audifonos-hands-free-bluetooth-v41-micro-magneticos-_JM,NA,NA,NA,NA,NA,#436216694,NA,NA,NA
34," Audifono Redmi Xiaomi Airdots Originales, Stock En 8 Dias! ",97,NA,25,75,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.7,36,http://perfil.mercadolibre.com.pe/TITECHNOLOGYIMPORT,https://articulo.mercadolibre.com.pe/MPE-436723758-audifono-redmi-xiaomi-airdots-originales-stock-en-8-dias-_JM,26,8,2,0,0,#436723758,AIRDOTS REDMI,Xiaomi,NA
35, Audífonos Bluetooth 5.0 Qcy - Qs1 Tws Estereo/ Deportivo ,99,NA,6,4,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MONTEZAMOVIL,https://articulo.mercadolibre.com.pe/MPE-436749040-audifonos-bluetooth-50-qcy-qs1-tws-estereo-deportivo-_JM,NA,NA,NA,NA,NA,#436749040,QS1,QCY,In-ear
36, Audifonos Bluetooh Ink'd Wireless + Lentes Skullcandy Unisex ,159,NA,11,39,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4,1,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434095009-audifonos-bluetooh-inkd-wireless-lentes-skullcandy-unisex-_JM,0,1,0,0,0,#434095009,ink'D,Skullcandy,NA
37, Audífonos I7s Tws Bluetooth Tipo AirPods Blanco Y Negro ,29,NA,20,5,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/LIZANDROAN,https://articulo.mercadolibre.com.pe/MPE-432449528-audifonos-i7s-tws-bluetooth-tipo-airpods-blanco-y-negro-_JM,NA,NA,NA,NA,NA,#432449528,NA,NA,NA
38, Audifonos Skullcandy Hesh 3 Bluetooth Premium Sound Edition ,299,NA,11,22,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-433197679-audifonos-skullcandy-hesh-3-bluetooth-premium-sound-edition-_JM,1,0,0,0,0,#433197679,NA,Skullcandy Hesh 3,NA
39, Audífono Música Hd Handsfree Bluetooth Llamada Ios Android ,12,NA,63,825,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,3,1,http://perfil.mercadolibre.com.pe/VMC+SOLUCIONES,https://articulo.mercadolibre.com.pe/MPE-426244950-audifono-musica-hd-handsfree-bluetooth-llamada-ios-android-_JM,0,0,1,0,0,#426244950,NA,Samsung,NA
40, Repuesto De Sujetador De Audífono Bluetooth Handsfree ,4,NA,143,857,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,3.4,9,http://perfil.mercadolibre.com.pe/GRUPONATIC.PE,https://articulo.mercadolibre.com.pe/MPE-425332744-repuesto-de-sujetador-de-audifono-bluetooth-handsfree-_JM,4,0,3,0,2,#425332744,NA,NA,NA
41, Audifonos Bluetooth Inalambrico I7s Tws Itelsistem ,34,NA,12,88,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ITELSISTEMSAC,https://articulo.mercadolibre.com.pe/MPE-435912653-audifonos-bluetooth-inalambrico-i7s-tws-itelsistem-_JM,NA,NA,NA,NA,NA,#435912653,NA,NA,NA
42, Audifonos Motorola Pulse Escape Plus Bluetooth 20 Horas ,149,169,12,28,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,8,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-435131028-audifonos-motorola-pulse-escape-plus-bluetooth-20-horas-_JM,6,2,0,0,0,#435131028,Pulse Escape+,Motorola,Over-ear
43, P Audífono Sennheiser Hd 4.40bt Bluetooth Dynamic Bass ,399,NA,4,1,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,3.5,2,http://perfil.mercadolibre.com.pe/INTECGLOBALPERU,https://articulo.mercadolibre.com.pe/MPE-432524651-p-audifono-sennheiser-hd-440bt-bluetooth-dynamic-bass-_JM,0,1,1,0,0,#432524651,HD 4.40 BT,Sennheiser,Over-ear
44, Jbl Audifonos Bluetooth Pure Bass Sound T110bt Wireless ,119,NA,10,46,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,2,1,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-435223202-jbl-audifonos-bluetooth-pure-bass-sound-t110bt-wireless-_JM,0,0,0,1,0,#435223202,T110BT,JBL,NA
45, Audifono Blitzwolf Inalambrico Blutooth Ipx6 Tactil AirPods ,199,NA,6,4,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AVY-BELLA,https://articulo.mercadolibre.com.pe/MPE-436210221-audifono-blitzwolf-inalambrico-blutooth-ipx6-tactil-airpods-_JM,NA,NA,NA,NA,NA,#436210221,NA,BlitzWolf,NA
46, Huawei Freebuds Audífonos Bluetooth / Tienda / Mercadopago ,499,NA,5,995,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/IMANIA.PERU,https://articulo.mercadolibre.com.pe/MPE-433132299-huawei-freebuds-audifonos-bluetooth-tienda-mercadopago-_JM,NA,NA,NA,NA,NA,#433132299,NA,Huawei,NA
47, Audífonos Pulse Escape Plus Camuflado Motorola Tienda ,159,NA,20,984,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,8,http://perfil.mercadolibre.com.pe/IMANIA.PERU,https://articulo.mercadolibre.com.pe/MPE-431979687-audifonos-pulse-escape-plus-camuflado-motorola-tienda-_JM,6,2,0,0,0,#431979687,Pulse Escape+,Motorola,Over-ear
48, Audifonos Bluetooth Skullcandy Jib Negros Rojos Y Azul ,95,NA,13,4,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BESTOFFERSPERU,https://articulo.mercadolibre.com.pe/MPE-432778414-audifonos-bluetooth-skullcandy-jib-negros-rojos-y-azul-_JM,NA,NA,NA,NA,NA,#432778414,Jib,Skullcandy,In-ear
49, Mini Audifono Bluetooth S530 Manos Libres Llamadas Y Musica ,29,NA,222,88,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,3,3,http://perfil.mercadolibre.com.pe/TODATECNOLOGIAPERU.COM.,https://articulo.mercadolibre.com.pe/MPE-427350535-mini-audifono-bluetooth-s530-manos-libres-llamadas-y-musica-_JM,0,2,0,0,1,#427350535,S530,NA,NA
50, AirPods I7 Tws Bluetooth ,59,NA,12,90,NA,NA,NA,Envío gratis a todo el país,NA,NA,4,1,http://perfil.mercadolibre.com.pe/AGKE6470835,https://articulo.mercadolibre.com.pe/MPE-435089395-airpods-i7-tws-bluetooth-_JM,0,1,0,0,0,#435089395,NA,NA,NA
51, Skullcandy Audifonos Crusher Wireless Bass Sound Bluetooth ,399,439,19,36,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434515999-skullcandy-audifonos-crusher-wireless-bass-sound-bluetooth-_JM,1,0,0,0,0,#434515999,Crusher Wireless,Skullcandy,NA
52, Audífonos Bluetooth Magnéticos Metálicos / ,20,NA,27,73,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4,1,http://perfil.mercadolibre.com.pe/HANNZOTIENDAONLINE,https://articulo.mercadolibre.com.pe/MPE-432393832-audifonos-bluetooth-magneticos-metalicos--_JM,0,1,0,0,0,#432393832,NA,NA,NA
53, Huawei Audifonos Bluetooth Sport Lite Am61 Nuevos Sellado ,135,149,23,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NRTELCOM,https://articulo.mercadolibre.com.pe/MPE-432508169-huawei-audifonos-bluetooth-sport-lite-am61-nuevos-sellado-_JM,NA,NA,NA,NA,NA,#432508169,NA,NA,NA
54, Audifonos Inalambricos Bluetooth X2t Originales ,110,NA,171,22,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.3,4,http://perfil.mercadolibre.com.pe/VRB+EIRL,https://articulo.mercadolibre.com.pe/MPE-430095732-audifonos-inalambricos-bluetooth-x2t-originales-_JM,2,1,1,0,0,#430095732,NA,NA,NA
55, Audifono Bluetooth Sony (tipo) Con Lector De Sd/radio Fm ,60,NA,35,78,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,3.7,3,http://perfil.mercadolibre.com.pe/TITECHNOLOGYIMPORT,https://articulo.mercadolibre.com.pe/MPE-433199797-audifono-bluetooth-sony-tipo-con-lector-de-sdradio-fm-_JM,2,0,0,0,1,#433199797,NA,NA,NA
56, Audifonos Smoke Wireless Rasta Ultimate Sound Bluetooth ,89,NA,10,25,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-435408723-audifonos-smoke-wireless-rasta-ultimate-sound-bluetooth-_JM,1,0,0,0,0,#435408723,NA,Skullcandy,NA
57, Sony Wh-1000xm3 Audifonos Bluetooth Stock Tda Miraflores ,1598,NA,6,1,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DIGITALPERU,https://articulo.mercadolibre.com.pe/MPE-434735551-sony-wh-1000xm3-audifonos-bluetooth-stock-tda-miraflores-_JM,NA,NA,NA,NA,NA,#434735551,NA,NA,NA
58, Auricular Bluetooth Tipo Seguridad Original ,75,NA,99,3,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.pe/FROG_PEOPLE+_IMPORT,https://articulo.mercadolibre.com.pe/MPE-419546341-auricular-bluetooth-tipo-seguridad-original-_JM,1,0,0,0,0,#419546341,NA,NA,NA
59, Meizu Audifonos Ep51 Sport Bluetooth Alta Calidad Original ,114,NA,9,4,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.pe/MIALIENSTORE,https://articulo.mercadolibre.com.pe/MPE-429704651-meizu-audifonos-ep51-sport-bluetooth-alta-calidad-original-_JM,1,0,0,0,0,#429704651,EP51,Meizu,NA
60, Samsung Audifonos Handsfree Bluetooth Musica Mg900 Original ,99,NA,10,40,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-436527045-samsung-audifonos-handsfree-bluetooth-musica-mg900-original-_JM,NA,NA,NA,NA,NA,#436527045,MG900,Samsung,NA
61, Xgody X9 Tws Auriculares Bluetooth V5.0 + Envio Gratis Lima ,190,NA,3,14,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ANDREUS+STORE,https://articulo.mercadolibre.com.pe/MPE-435422337-xgody-x9-tws-auriculares-bluetooth-v50-envio-gratis-lima-_JM,NA,NA,NA,NA,NA,#435422337,NA,NA,NA
62, Nuevos Audífonos Inalambricos Bluetooth X4t Originales ,169,NA,8,22,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/EZ+TECH,https://articulo.mercadolibre.com.pe/MPE-435057077-nuevos-audifonos-inalambricos-bluetooth-x4t-originales-_JM,NA,NA,NA,NA,NA,#435057077,NA,NA,NA
63, Auriculares Xiaomi Airdots Táctil Bluetooth 5.0 En Stock ,165,NA,12,5,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.7,36,http://perfil.mercadolibre.com.pe/PEDROAE24,https://articulo.mercadolibre.com.pe/MPE-435715517-auriculares-xiaomi-airdots-tactil-bluetooth-50-en-stock-_JM,26,8,2,0,0,#435715517,AirDots,Xiaomi,In-ear
64, Audifonos Skullcandy Hesh 3 Wireless Premium Sound Bluetooth ,299,NA,6,24,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-432199274-audifonos-skullcandy-hesh-3-wireless-premium-sound-bluetooth-_JM,NA,NA,NA,NA,NA,#432199274,Hesh 3,Skullcandy,NA
65, Audifonos Bluetooth 5.0 I12 Tws Version 2019 Inalambrico ,89,NA,3,17,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/RAUL.BERNARDO,https://articulo.mercadolibre.com.pe/MPE-436434857-audifonos-bluetooth-50-i12-tws-version-2019-inalambrico-_JM,NA,NA,NA,NA,NA,#436434857,NA,NA,NA
66, Audifonos Inalambricos Bluetooth I7s Tws!!! De Oferta !!! ,39,NA,134,62,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,3,9,http://perfil.mercadolibre.com.pe/VRB+EIRL,https://articulo.mercadolibre.com.pe/MPE-432746644-audifonos-inalambricos-bluetooth-i7s-tws-de-oferta--_JM,2,3,0,1,3,#432746644,NA,NA,NA
67, Huawei Audifonos Bluetooth Honor Sport Lite Am61 Wireless ,159,NA,3,17,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434303187-huawei-audifonos-bluetooth-honor-sport-lite-am61-wireless-_JM,NA,NA,NA,NA,NA,#434303187,Sport bluetooth,Huawei,NA
68, I12 Tws Auricular Bluetooth Inalámbrico ,100,NA,4,7,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BRUNELLA_GIA,https://articulo.mercadolibre.com.pe/MPE-436083421-i12-tws-auricular-bluetooth-inalambrico-_JM,NA,NA,NA,NA,NA,#436083421,NA,NA,NA
69, Audifonos Inalambricos Bluetooth X2t Original Nuevo Sellado ,79,NA,27,57,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AUDIO_FILO,https://articulo.mercadolibre.com.pe/MPE-435519530-audifonos-inalambricos-bluetooth-x2t-original-nuevo-sellado-_JM,NA,NA,NA,NA,NA,#435519530,NA,NA,NA
