search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Formato
1, Auriculares Bluetooth P47 Inalámbricos Microsd Colors En Loi ,427,NA,1165,704,18 cuotas,23.72,NA,Envío a todo el país,NA,NA,4.7,36,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-458983451-auriculares-bluetooth-p47-inalambricos-microsd-colors-en-loi-_JM,27,8,0,0,1,#458983451,NA,NA,NA
2, Auriculares Jbl Manos Libres T450 Bluetooth Inalambricos ® ,2690,NA,38,462,18 cuotas,149.44,NA,Envío a todo el país,NA,NA,4.8,66,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://articulo.mercadolibre.com.uy/MLU-457117328-auriculares-jbl-manos-libres-t450-bluetooth-inalambricos--_JM,53,12,0,1,0,#457117328,JBL,T450,Con Vincha
3, Auriculares Bluetooth P47 Inalámbricos Microsd Manos Libre. ,425,NA,228,594,18 cuotas,23.61,NA,Envío a todo el país,NA,NA,4.6,13,http://perfil.mercadolibre.com.uy/TMO+TUMEJOROPCION,https://articulo.mercadolibre.com.uy/MLU-456663027-auriculares-bluetooth-p47-inalambricos-microsd-manos-libre-_JM,9,3,1,0,0,#456663027,NA,NA,Con Vincha
4, Auriculares Bluetooth Simil AirPods iPhone + Caja De Carga ® ,490,NA,259,5000,18 cuotas,27.22,NA,Envío a todo el país,NA,NA,4,14,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-443023854-auriculares-bluetooth-simil-airpods-iphone-caja-de-carga--_JM,8,2,2,0,2,#443023854,Apple,AirPods,NA
5, Auriculares Bluetooth Manos Libres Jbl E25bt iPhone Febo ,2298,2499,178,99821,18 cuotas,127.67,NA,Envío a todo el país,NA,NA,4.7,22,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-449243520-auriculares-bluetooth-manos-libres-jbl-e25bt-iphone-febo-_JM,16,6,0,0,0,#449243520,JBL,E25BT,Sin Vincha
6, Auriculares Bluetooth Caja De Carga Inalámbrica Oferta ,635,NA,154,2893,18 cuotas,35.28,NA,Envío a todo el país,NA,NA,3.3,8,http://perfil.mercadolibre.com.uy/ELECTROVENTAS+ONLINE,https://articulo.mercadolibre.com.uy/MLU-459144646-auriculares-bluetooth-caja-de-carga-inalambrica-oferta-_JM,2,2,2,0,2,#459144646,Apple,NA,NA
7, Auriculares Bluetooth Inalambrico Android iPhone Jogger ® ,350,NA,430,3759,18 cuotas,19.44,NA,Envío a todo el país,NA,NA,3.9,28,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-449191430-auriculares-bluetooth-inalambrico-android-iphone-jogger--_JM,11,9,4,2,2,#449191430,Jogger,NA,Sin Vincha
8, Auriculares Bluetooth I7tws Mini Caja Carga Inalámbrica Loi ,487,640,186,896,18 cuotas,27.06,NA,Envío a todo el país,NA,NA,3.2,10,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-456795897-auriculares-bluetooth-i7tws-mini-caja-carga-inalambrica-loi-_JM,3,2,2,0,3,#456795897,NA,NA,NA
9," Auriculares Inalambricos Para iPhone, Android ",590,NA,72,6,18 cuotas,32.78,NA,Envío a todo el país,NA,NA,2.6,5,http://perfil.mercadolibre.com.uy/TMO+TUMEJOROPCION,https://articulo.mercadolibre.com.uy/MLU-457250371-auriculares-inalambricos-para-iphone-android-_JM,1,1,0,1,2,#457250371,NA,NA,NA
10, Auriculares Manos Libres P47 Bluetooth Inalambrico Calidad ,417,NA,43,967,18 cuotas,23.17,NA,Envío a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://articulo.mercadolibre.com.uy/MLU-453667348-auriculares-manos-libres-p47-bluetooth-inalambrico-calidad-_JM,1,0,0,0,0,#453667348,NA,NA,NA
