search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Linha,Modelo,Modelo alfanumérico,Formato
31, Fone De Ouvido Bluetooth Orelha De Gato Com Led Celular P2 ,56,NA,1128,45,10x,5.65,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,591,https://perfil.mercadolivre.com.br/NATHCELLDIGITALL,https://produto.mercadolivre.com.br/MLB-921059311-fone-ouvido-sem-fio-bluetooth-jwcom-bh-668-conecta-2-celular-_JM,388,113,57,12,21,#921059311,Universal,Primeira,668,668,Neckband
32, Mono Fone De Ouvido Bluetooth Samsung Hm1350 Original Lacrad ,127,NA,321,677,12x,10.64,NA,NA,NA,NA,4.7,115,https://perfil.mercadolivre.com.br/TOPDEALSBR?brandId=2069,https://produto.mercadolivre.com.br/MLB-1224551757-fones-de-ouvido-xiaomi-bluetooth-_JM,90,16,6,0,3,#1224551757,Xiaomi,Mi,Redmi AirDots,NA,In-ear
33, Fone Ouvido Bluetooth 4.1 Sem Fio Universal Stereo Radio Fm ,142,149,433,342,12x,13.62,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,12,https://perfil.mercadolivre.com.br/YEEKO+BRASIL,https://produto.mercadolivre.com.br/MLB-1130070766-qcy-qs1-t1c-fone-de-ouvido-tws-sem-fio-bluetooth-50-case-_JM,10,2,0,0,0,#1130070766,QCY,"NA",T1C,N/A,Ear-Buds
34, Fone De Ouvido Headphone S Fio Micro Sd Usb Fm Bluetooth P15 ,39,NA,3955,17,6x,7.31,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,159,https://perfil.mercadolivre.com.br/SUEDVENDAS,https://produto.mercadolivre.com.br/MLB-687286154-fone-de-ouvido-sem-fio-bluetooth-41-esportivo-stereo-sport-_JM,80,43,24,5,7,#687286154,Universal,Fone Bluetooth Sem Fio,BH-503,3.0,Over-ear
35, Fone Ouvido Sem Fio Bluetooth 4.1 Celular Micro Sd Fm P2 Mp3 ,39,NA,1219,63,6x,7.38,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,201,https://perfil.mercadolivre.com.br/DNR+IMPORT,https://produto.mercadolivre.com.br/MLB-1081371623-fone-de-ouvido-sem-fio-bluetooth-universal-stereo-lc-100-_JM,118,35,28,3,17,#1081371623,Universal,Fone Bluetooth,LC-100,4.1,Over-ear
36, Fone De Ouvido I7s Tws (estilo: AirPods) 6 7 8 X Android ,125,NA,883,744,12x,10.48,NA,NA,NA,NA,4.7,115,https://perfil.mercadolivre.com.br/MILAIBR,https://produto.mercadolivre.com.br/MLB-1241292892-xiaomi-fone-de-ouvido-redmi-airdots-bluetooth-reduzir-ruido-_JM,90,16,6,0,3,#1241292892,Xiaomi,Mi,TWSEJ04LS,NA,In-ear
37, Fone De Ouvido Bluetooth Jb950 Sem Fio Cartão Sd Rádio Fm ,23,NA,227,773,5x,5.23,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,11,https://perfil.mercadolivre.com.br/FIXEXPLODE,https://produto.mercadolivre.com.br/MLB-1241493404-fone-ouvido-sem-fio-bluetooth-41-sports-universal-celular-_JM,10,0,1,0,0,#1241493404,Universal,Bluetooth,Sports,Amw-810,Neckband
38, Mini Fone Ouvido Lc100 Bluetooth 4.1 Sem Fio Micro Meno ,149,NA,25,7,12x,12.49,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,3,2,https://perfil.mercadolivre.com.br/SHOPNANETBH,https://produto.mercadolivre.com.br/MLB-1056031761-mono-fone-de-ouvido-bluetooth-samsung-hm1350-original-lacrad-_JM,0,0,2,0,0,#1056031761,NA,NA,NA,NA,NA
39, Fone Sem Fio Bluetooth K2 Original + Nf + Case Brinde ,42,45,1268,1,6x,7.77,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,52,https://perfil.mercadolivre.com.br/HAIZ_SHOP,https://produto.mercadolivre.com.br/MLB-1089729923-fone-ouvido-bluetooth-fm-mp3-carto-sd-ultrabass-hz18-nf-_JM,39,9,1,1,2,#1089729923,HAIZ,NA,Bluetooth,NA,Over-Ear
40, Kit 2 Fone De Ouvido Bluetooth 4.1 Mini Portátil Chamada Mús ,37,NA,2058,132,6x,6.94,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,61,https://perfil.mercadolivre.com.br/ACCESSORY+WORD,https://produto.mercadolivre.com.br/MLB-969414631-mini-fone-ouvido-lc100-bluetooth-41-sem-fio-micro-meno-_JM,41,8,3,4,5,#969414631,Universal,Importado,LC-100,NA,Over-ear
41, Fone Ouvido Boas Headset Bluetooth Universal Celular Lc777 ,41,NA,9393,15,6x,7.77,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/ESPA%C3%87O+VENDASS,https://produto.mercadolivre.com.br/MLB-707135444-fone-ouvido-boas-bluetooth-universal-smartphone-lc777-_JM,NA,NA,NA,NA,NA,#707135444,Universal,Lc777,LC-777,Lc777,In-ear
42, Adaptador Para Fone De Ouvido Sem Fio Bluetooth Para Ps4 ,118,NA,923,459,12x,9.92,NA,NA,NA,NA,4,9,https://perfil.mercadolivre.com.br/TOPDEALSBR?brandId=2069,https://produto.mercadolivre.com.br/MLB-1183592949-fone-de-ouvido-bluetooth-earbuds-tws-50-_JM,6,1,0,0,2,#1183592949,TWS,NA,Bluetooth 5.0,NA,NA
43, Fone De Ouvido Bluetooth Sem Fio Headphone Rock In Rio ,58,NA,2107,9599,12x,5.54,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,1975,https://perfil.mercadolivre.com.br/MARKGABRIELMOREIRALOPES,https://produto.mercadolivre.com.br/MLB-1233866312-fone-de-ouvido-bluetooth-jb950-sem-fio-carto-sd-radio-fm-_JM,1433,323,122,37,60,#1233866312,JBL,Everest Series,JB950,950,Over-Ear
44, Headphone Bluetooth Fone De Ouvido Usb Micro Sd Rádio Fm ,21,NA,22578,4443,4x,5.94,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.8,776,https://perfil.mercadolivre.com.br/BETINHO+ELETRO,https://produto.mercadolivre.com.br/MLB-832062116-mini-fone-de-ouvido-s530-v41-sem-fio-bluetooth-universal-_JM,355,159,122,55,85,#832062116,Universal,NA,S530,NA,NA
45, Headset B 05 B-05 Fone De Ouvido Bluetooth Sem Fio Sd Fm P2 ,39,NA,257,19,6x,7.40,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,7,https://perfil.mercadolivre.com.br/HAIZ_SHOP,https://produto.mercadolivre.com.br/MLB-1135367218-fone-ouvido-bluetooth-sport-mp3-hz-k4-corrida-carto-micro-_JM,5,2,0,0,0,#1135367218,HAIZ,NA,Bluetooth,NA,Neckband
46, Mini Micro Fone Ouvido Bluetooth 4.0 Universal ,28,NA,732,5,6x,5.36,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,33,https://perfil.mercadolivre.com.br/FIXEXPLODE,https://produto.mercadolivre.com.br/MLB-1234865706-fone-ouvido-bluetooth-41-sem-fio-esportivo-corrida-chamadas-_JM,29,2,0,2,0,#1234865706,Universal,Bluetooth,Esportivo,BT-1,In-ear
47, Fone De Ouvido Duplo Sem Fio Bluetooth 5.0 Qcy Qs1 Promoção ,819,NA,24,18,12x,68.25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,76,https://perfil.mercadolivre.com.br/SM2-DISTRIBUIDORA,https://produto.mercadolivre.com.br/MLB-1126237838-fone-de-ouvido-wireless-samsung-galaxy-buds-sm-r170-12x-nfe-_JM,67,8,1,0,0,#1126237838,Samsung,BUDS 2019,GALAXY BUDS,SM-R170,In-ear
48, Fone Ouvido Bluetooth I7s 4.2 Par Tws Sem Fio Case Base ,52,NA,726,661,10x,5.28,NA,Envio para todo o país,NA,NA,4.5,323,https://perfil.mercadolivre.com.br/HARDFAST_INFO?brandId=2311,https://produto.mercadolivre.com.br/MLB-696548496-fone-ouvido-favix-b01-sem-fio-bluetooth-fm-entrada-carto-p2-_JM,217,61,26,13,6,#696548496,Universal,Fone Ouvido Sem Fio,Favix B01 Fxb01,NA,Headset
49, Fone De Ouvido Wireless Samsung Galaxy Buds Sm-r170 12x Nfe ,179,NA,242,3,12x,15.00,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,28,https://perfil.mercadolivre.com.br/RICARDOALTOVALE,https://produto.mercadolivre.com.br/MLB-1144626960-fone-de-ouvido-jbl-t205bt-sem-fio-bluetooth-nota-fiscal-g-_JM,22,6,0,0,0,#1144626960,JBL,NA,JBLT205BTBLK,NA,Ear-Buds
50, Mini Fone De Ouvido S530 4.1 S/ Fio Bluetooth Micro Menor ,21,NA,1830,9588,4x,5.48,NA,Envio para todo o país,NA,NA,3.6,51,https://perfil.mercadolivre.com.br/OLIST?brandId=866,https://produto.mercadolivre.com.br/MLB-925483094-mini-micro-fone-ouvido-bluetooth-40-universal-_JM,24,6,6,5,10,#925483094,Universal,NA,NA,NA,In-ear
51, Fone De Ouvido Motorola Pulse Escape + Camuflado Ip54 Aguá ,90,NA,343,12,12x,7.50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4,9,https://perfil.mercadolivre.com.br/GOLDEN+ELETRONICOS.,https://produto.mercadolivre.com.br/MLB-1012270188-fone-de-ouvido-i7s-tws-estilo-airpods-6-7-8-x-android-_JM,4,3,1,0,1,#1012270188,i7,TWS,i7S TWS,NA,Ear-Buds
52, Fone De Ouvido Bluetooth Headphone iPhone Motorola Samsung ,29,NA,1854,181,6x,5.46,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.1,39,https://perfil.mercadolivre.com.br/ORIONOFICIAL?brandId=1259,https://produto.mercadolivre.com.br/MLB-1071598423-fone-de-ouvido-bluetooth-41-mini-portatil-chamada-musica-bt-_JM,12,6,6,5,10,#1071598423,Universal,Bluetooth,Wolf Tech,NA,In-ear
53, Fone De Ouvido iPhone 7 Plus 8 8 Plus X Xs Max Xr Bluetooth ,39,NA,358,12,6x,7.38,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.7,6,https://perfil.mercadolivre.com.br/DNR+IMPORT,https://produto.mercadolivre.com.br/MLB-1077888782-fone-de-ouvido-esportivo-sem-fio-bluetooth-estereo-bh-503-_JM,2,2,1,0,1,#1077888782,Importado,Fone De Ouvido,Mini BH-503,4.0,Over-ear
54, Headset B 05 B-05 Fone De Ouvido Bluetooth Sem Fio Sd Fm P2 ,152,NA,637,714,12x,14.62,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,21,https://perfil.mercadolivre.com.br/TECHWEB-STORE,https://produto.mercadolivre.com.br/MLB-1184388935-fone-de-ouvido-duplo-sem-fio-bluetooth-50-qcy-qs1-promoco-_JM,18,3,0,0,0,#1184388935,QCY XIAOMI,Fone Bluetooth Sem Fio,QS1 - NOVA VERSÃO,QCY QS1,COMPACTO E ANATÔMICO
55, Fone Ouvido Sem Fio Favix B01 Bluetooth Fm Sd Card Original ,52,NA,726,661,10x,5.28,NA,Envio para todo o país,NA,NA,4.5,323,https://perfil.mercadolivre.com.br/HARDFAST_INFO?brandId=2311,https://produto.mercadolivre.com.br/MLB-696548496-fone-ouvido-favix-b01-sem-fio-bluetooth-fm-entrada-carto-p2-_JM,217,61,26,13,6,#696548496,Universal,Fone Ouvido Sem Fio,Favix B01 Fxb01,NA,Headset
56, Kit 2 Fone De Ouvido Bluetooth 4.1 Mini Portátil Chamada Mús ,309,NA,213,78,12x,25.75,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,81,https://perfil.mercadolivre.com.br/PONTOCERTOELETRO,https://produto.mercadolivre.com.br/MLB-963166908-fone-de-ouvido-jbl-reflect-mini-bt-2-bluetooth-sport-preto-_JM,60,16,2,3,0,#963166908,JBL,Reflect,REFLECT MINI 2 BT PRETO,NA,Ear-Buds
57, Fone De Ouvido Headphone Bluetooth Stereo Usb Radio Fm ,52,NA,1464,18648,12x,5.06,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,591,https://perfil.mercadolivre.com.br/NOWSHOPIMPORT,https://produto.mercadolivre.com.br/MLB-724163854-fone-ouvido-bluetooth-2-cel-unv-sams-lg-moto-simil-jbl-jwcom-_JM,388,113,57,12,21,#724163854,Universal,bluethoot,jwcom,BH668,Ear-Buds
58, Fone De Ouvido Bluetooth Jbl Jb950 Super Bass - Promoção ,43,NA,7,85,6x,8.08,NA,Envio para todo o país,NA,NA,5,1,https://perfil.mercadolivre.com.br/OLIST?brandId=866,https://produto.mercadolivre.com.br/MLB-1194421935-fone-bluetooth-ouvido-samsung-estereo-headset-_JM,1,0,0,0,0,#1194421935,Samsung,NA,NA,NA,NA
59, Fone De Ouvido Esportivo Sem Fio Bluetooth Estéreo Bh-503 ,60,63,3676,732,12x,5.79,NA,Envio para todo o país,NA,NA,4.5,323,https://perfil.mercadolivre.com.br/HARDFAST_INFO?brandId=2311,https://produto.mercadolivre.com.br/MLB-764418013-fone-ouvido-sem-fio-favix-b01-bluetooth-fm-sd-card-original-_JM,217,61,26,13,6,#764418013,Favix,Fone Sem fio,b01FX Genuine,Fone Favix b01,Over-Ear
60, Fone Ouvido Boas Bluetooth Universal Smartphone Lc777 ,40,NA,2331,42,6x,6.67,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4,200,https://perfil.mercadolivre.com.br/PODIUM+PARTS,https://produto.mercadolivre.com.br/MLB-688182058-fone-de-ouvido-bluetooth-sem-fio-headphone-rock-in-rio-_JM,104,35,31,7,23,#688182058,Universal,Fone Bluetooth,Rock in Rio,MTC1212,Over-ear
61, Fone De Ouvido Esportivo Sem Fio Bluetooth Estéreo Bh-503 ,39,NA,358,12,6x,7.38,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.7,6,https://perfil.mercadolivre.com.br/DNR+IMPORT,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=zHpNy3BbSarvLnWBCGrtmAwNBB%2BpBilZCTZ9g7YRlEYqNV3EFFnejeoHJ7VVkGYvjRerIPStpNbrMgME3lU9xVg19rLMXH9gNPID%2FIQaNi%2FpfxqEpOQ0QI79tZW473UceI6j7bEydQl%2BveGOuxjCjExQ%2F5TS1T6Cmyah1UFg7CY%2FKE7seZVNVh4U3oiV%2BcdBOihubobyr6Qyo%2F71sKTnagu6iRdwAGH3aJ83fHI%2Bq7%2BdYoRd5GOI6Vo6cG%2FbCAANOzuOsLOhJU%2BZcqOcKtB8KIhx0phLQIT8MEnZ7yIwc3YkfMa%2BT84EsB9vx2tw%2F2Z0b627PRGty1MO4lMiyU5aCZ3AtZC51yYGGHc%2FpLI7c%2BxvHnhS1Xn3Jc%2BKUC%2Fl0R6e2%2BI2h976eXK3RC9OFlPZrUJdIUKie2WCfO%2FhHDa%2Bku0sn%2BQrIl0hvBOAIiRdwDiOGHT1RGz9BkejeEre6VrIR9WYmadwFS5kKbqrutBbwDKj8RuymeOeZz0kFby4lprzBfU3IPJEM6uRv6FPV7oHhbVS4Wo%2FatdvfE0FdqnBbaE2xXJHO6oe4c4RJ9BgcuIatFgGSPeWL2c0YqdqIdPg7ANErE%2FmsE%2BCQ3bWAEpqRlKQENVAVarVVfmfuobhs7bMbdrk%2F1u%2BqZIZ%2BqaBMs%2F44a5PgTZ%2FfDvXsXv8ohr295%2BI8iZaJ4QmVzSbkNmxt1QrB4QQMsahIfz%2BS13oiLt8kltPTFGm%2FZYlysb2D9zbBdgjQxAH3e51SZ1BGGX6tAAKz1vinBN34KVIVjGYsk7g3Ifr7Ax1MyrHO609Ao80zIUz5ZiRhVEprwlZSkn7ZWX8npLHof%2Bzk2Cei%2Fod%2FEKm3YvedrP0xv8Q4OZxF%2FlycAjs4d%2Fpgs%2FWVeVX1ocgxWmbIwAKrWeWYpSU8iKNW73s3mIoD7vQvCZsI2o%2BhTlxx0yfniyAhZeZr1IMNqqvlwL2N8dgNjk7cjzsIgFwpWXHjh2jxCsav7M8HfDi3ANkDyFMk%2FJ3hD8hsHV%2FYDIprhs8G5mgAkz%2FWQJRImzU2jhnYbHGbgxFkwxFmw03VHkR4BsNCTdHmXt8HR8UOFdnKF1rB0GUTyCApSHq1kcQLSnBGS6b4STpfbjEJuImO9VfoOX5qZJ3HnhePP4PntYbdRu4txUS9WH7bCKEWWmxydJN6Ck20tR9LLu67ZeqcBh7REpuRMauZTXCOmoZckl14g%2FWoPXsvM9nDtriHcF%2BalwxnssE7CwMa%2BYGq2w5vRLC6OsvcOs25WhovonFlCNQqzfhLnZwBWV7L99Y4m165P2%2B9ebEIYv%2FnNwJ6HPDjzNejSJ3AwHdqcZR2mSe3OLL3aBkloFeZcvhZ1ChqICziwmUX7jWRCtTnCqyNVEZiLbYrhom2hf7oFZF6vi%2FIUS5yrPDLKW5GUASV388CSH93QtjhKLeNy7LyUPAxwOi5ofcXu43my9e6O32vejxggvAGHqrA4%2BW5evPNzfR2agn4yucW%2FeHJ4IA3Mg4846N02eeUU159xo%2F3UHA4sVHqOv26%2F1pH7DE8oXiw%2FiX5Jmf49eNsnyDUPUwjg%3D%3D,2,2,1,0,1,#1077888782,Importado,Fone De Ouvido,Mini BH-503,4.0,Over-ear
62, Fone De Ouvido Stereo Mp3 Bluetooth Haiz Hz-k168 ,39,NA,358,12,6x,7.38,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.7,6,https://perfil.mercadolivre.com.br/DNR+IMPORT,https://produto.mercadolivre.com.br/MLB-1077888782-fone-de-ouvido-esportivo-sem-fio-bluetooth-estereo-bh-503-_JM,2,2,1,0,1,#1077888782,Importado,Fone De Ouvido,Mini BH-503,4.0,Over-ear
63, Fone De Ouvido Sem Fio Bluetooth 4.1 Esportivo Stereo Sport ,29,NA,1854,181,6x,5.46,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.1,39,https://perfil.mercadolivre.com.br/ORIONOFICIAL?brandId=1259,https://produto.mercadolivre.com.br/MLB-1071598423-fone-de-ouvido-bluetooth-41-mini-portatil-chamada-musica-bt-_JM,12,6,6,5,10,#1071598423,Universal,Bluetooth,Wolf Tech,NA,In-ear
64, Fone Ouvido Mp3 Player Cartão Sd Fm Headfone Bluetooth ,129,NA,405,99,12x,12.42,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,15,https://perfil.mercadolivre.com.br/MICYU_OUTLET,https://produto.mercadolivre.com.br/MLB-1234322074-fone-de-ouvido-sem-fio-xg-12-bluetooth-50-ipx5-hifi-top-_JM,10,4,0,1,0,#1234322074,XG-12,VEICULAR,XG-12,Bluetooth 5.0,In-ear
65, Fone De Ouvido Headphone Bluetooth Sports Amw-810 ,599,NA,5,994,12x,49.96,NA,Envio para todo o país,NA,NA,3,1,https://perfil.mercadolivre.com.br/HARDFAST_INFO?brandId=2311,https://produto.mercadolivre.com.br/MLB-1131744536-fone-ouvido-level-u-bluetooth-samsung-bateria-dura-muito-box-_JM,0,0,1,0,0,#1131744536,Samsung,Fone de Ouvido Bluetooth Level U,Level U,EO-BG920BBPGBR,In-ear
66, Fone De Ouvido Bluetooth Jbl Jb950 Everest Super Bass Fone ,42,NA,500,148,6x,7.16,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,20,https://perfil.mercadolivre.com.br/SUPER25_,https://produto.mercadolivre.com.br/MLB-972265322-fone-de-ouvido-boas-headset-bluetooth-smartphone-samsung-lg-_JM,16,2,2,0,0,#972265322,Universal,NA,LC-777,NA,Ear-Buds
67, Fone Ouvido Universal Para Ios E Android Sem Fio Bluetooth ,47,NA,1359,25,10x,5.44,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.3,26,https://perfil.mercadolivre.com.br/DNR+IMPORT,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=vspRwI%2Bg4tez69NRdMAdfB0QTxqQcjz1beTGrXLx8sLeLJMk46pCWvAG8Un%2BxwbztzEm%2B8ojXYKHGG%2BybmyupOqDpup9g3fUUwq7r45TxxWJgioLiV9moc8RVMjhm67GgtmwW5PedHh%2FdMUG%2BIWYzwc1Mwgq3HJ2JuzDyIa0R8MlWRkdLrRmmhe9i4t8vnmcoJKQKKDT%2BT8K%2FzBXgL8p54yZa2k9MMgg1r4P6wPqiZahwYvN6kQqd3%2Fho%2B7ao6BnBgGh60VHUHi50KN8NIH963Vpd0xb2EoaTHG9v1WneIhhBIuwLubISVzUgB6VrVuXXjh%2BsoQyCNEEb7LfgDKKTO9STsz4I%2FCIR%2FesbrSl2s8ULvY4EdREeP32peDnAWyigbDNswxJZFafZutgGTfsoQRACfFkz1AbB9TqU5WZ1vy1kAUN49gKFwrF7yrerlIK6%2FQT%2FX%2BlDcPnGh3mSTa9eY1CCs05Ob5LxfntSdAfssSkSxTsO0eZcqxubpcspk%2By9ezl6v0wPwoppjgQ8inbu4bbA0o5ULHV%2BU8kyKcU7WPExS6DZTedDICx28o6ljyGcvmup0n5gZh3E2zv6hoPhLMmufK%2FLO1E7AadY0F0VETf%2BY%2FxDKEPXVj2wGxQBXd0jfd9sUj73wUofDipmwePG4c%2Fw21VZJ4CkY0B8QJiNoAUTvoNh2D4np1JqIGki8d1%2FFbU4Mfg7td469dYd%2F0LnHusSQ1gMWrg5rD8riY9cHmi75SMdcAj4Uv7it835iqU2gmqldI78AZiGX8PLUFjmL6T282vT%2Fp1LekF%2BRD3rmKoThfsxUaFX09jyHiAuAoJyPiGqQ66XzssnRcttg3wFrnLxO6Uzc45i4xEPE0n9Hk5KY3BLvhSXhAnuGhcGxbC89gl9J631zdU4CUqtEmMUesIzzbcB1F89J9CiejJD8DjblinIz4R2tTi%2B25LkAMihVTbgTl%2B%2BuySg9TYx3cht%2F%2Bl%2ByXuOHDsITX3nwg2QQBsLqtIPN6sv4B3TeuoMJljBcW8VnAN4dRQobEYB%2FwGcWysTrYLfyizuwuQoMXAYX10ZnKUbJOpOgHM%2B%2BZXExnQNwrLbz0rxzu%2BLAfo1%2BW%2Bvvo%2BHeqy1W9dzxSdrLOKG2I4VTZK4ZpYmx53fK003kSNCuFmZxugzXcnXKDqjpPiH4pnst0ZEgfq4BpFeRSVIQc4JJG8eMGvJZCjfTdZoETc8VIJIlfjQWKPA9YmduDQUkrpJaUsBrHfqi5Z9hBABfIhwpA19dyGjIfu0yz1RGK3JvdtdrYwJUbLPYCVU1rv9tDdkBEEgvSSRfcFn18lh5y8tU8wYczO7D7xjBzpAOloRu0F7lFJf4PnEYbl2Q1rsk5fpvbKA8sp5PWMUGR6LXFoL6fDES%2FpaP9FnssvERNnDjxz083L9NXry31gvhwaEvylwZ028m%2B1pEJQ%2B%2BuDEm%2FFxAwOihy%2Bx1J3ZJwZWiEynO8BBUPtMW6tIZHiBWcjirsvZetxz40eCGYuHmju7uiXVQV4KNjfenR0ZW4TiEOZHu6CE2%2BcyWNIqgd2DP7vKqiYfvns3gCr,7,6,6,2,5,#1137256842,Universal,Fone Bluetooth,Headphone Bluetooth,4.1,Headset
68, Fone De Ouvido Boas Headset Bluetooth Smartphone Samsung Lg ,30,NA,649,291,6x,5.56,NA,Envio para todo o país,NA,NA,2.4,16,https://perfil.mercadolivre.com.br/OLIST?brandId=866,https://produto.mercadolivre.com.br/MLB-1163987633-fone-de-ouvido-airpod-bluetooth-i7s-tws-iphone-android-sem-f-_JM,3,2,1,2,8,#1163987633,TWS,NA,NA,NA,NA
69, Mini Fone Ouvido Lc100 Bluetooth 4.1 Sem Fio Micro Meno ,186,NA,5756,53,12x,15.58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4,124,https://perfil.mercadolivre.com.br/NATHCELLDIGITALL,https://produto.mercadolivre.com.br/MLB-920969773-fone-de-ouvido-sem-fio-50-twins-duplo-bluetooth-awei-t5-_JM,67,25,13,9,10,#920969773,Universal,Primeira,Marca correta é AWEI modelo T5,Fone bluetooth 5.0,Ear-Buds
70, Fones De Ouvido Xiaomi Bluetooth ,62,NA,1899,13,12x,5.25,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,56,https://perfil.mercadolivre.com.br/ONMAXX.COM.BR,https://produto.mercadolivre.com.br/MLB-1155912553-fone-bluetooth-headset-jb950-modelo-az-009-sd-fm-p2-bt-_JM,45,6,3,0,2,#1155912553,JBL,AZ,AZ009,009,Over-Ear
71, Fone Ouvido Favix B01 Sem Fio Bluetooth Fm Entrada Cartão P2 ,89,NA,5224,8255,12x,7.45,NA,Frete grátis,NA,NA,4.6,765,https://perfil.mercadolivre.com.br/HARDFAST_INFO?brandId=2311,https://produto.mercadolivre.com.br/MLB-825019862-fone-de-ouvido-sem-fio-bluetooth-favix-b08-original-bass-fm-_JM,544,163,43,7,8,#825019862,NA,NA,NA,NA,NA
72, Fone Ouvido Universal Para Ios E Android Sem Fio Bluetooth ,150,NA,83,5,12x,12.50,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,4,https://perfil.mercadolivre.com.br/MARCELO+LUCK,https://produto.mercadolivre.com.br/MLB-998435817-fone-ouvido-bluetooth-42-mini-duplo-base-carregadora-_JM,4,0,0,0,0,#998435817,Samsung,Portátil,MARCA: TWS,TWS,Headset
