search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Formato
1, Audífonos Bluetooth Bt-100 Negro Maxell- Con Obsequio ,9.990,15.990,"
			
			
				
				285
				vendidos
			
		",(13 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 832
			
		
		 sin interés
		
	

	
		","
				$ 832
			",NA,Envío a todo el país,NA,NA,4.5,31,https://perfil.mercadolibre.cl/MAXELL+CHILE?brandId=219,https://articulo.mercadolibre.cl/MLC-452371070-audifonos-bluetooth-bt-100-negro-maxell-con-obsequio-_JM,22,5,2,2,0,#452371070,Maxell,EB-BT100 CARBON,NA
2, Sony Audífonos Inalámbricos Wh-ch500 Negro ,34.990,49.990,"
			
			
				
				163
				vendidos
			
		",(15 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 5.832
			
		
		 sin interés
		
	

	
		","
				$ 5.832
			",NA,Envío gratis a todo el país,NA,NA,4.8,11,https://perfil.mercadolibre.cl/-SONY+CHILE?brandId=32,https://articulo.mercadolibre.cl/MLC-459705101-sony-audifonos-inalambricos-wh-ch500-negro-_JM,9,2,0,0,0,#459705101,Sony,WH-CH500,NA
3, Audifonos Bluetooth P47 Stereo Radio Mp3 Inalambricos /04126 ,6.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				910
				vendidos
			
		",(232 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.165
			
		
		 sin interés
		
	

	
		","
				$ 1.165
			",NA,Envío a todo el país,NA,NA,4.6,13,https://perfil.mercadolibre.cl/CUPOCLICKCHILE,https://articulo.mercadolibre.cl/MLC-473637938-audifonos-bluetooth-p47-stereo-radio-mp3-inalambricos-04126-_JM,11,1,0,0,1,#473637938,047,WIRELESS 4.2+EDR,Headset
4, Audifonos Bluetooth I7s Tws Alta Calidad Colores + Base ,13.990,19.990,"
			
				Nuevo
			
			
				
					 - 
				
				421
				vendidos
			
		",(1091 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.166
			
		
		 sin interés
		
	

	
		","
				$ 1.166
			",NA,Envío a todo el país,NA,NA,4.3,15,https://perfil.mercadolibre.cl/WSTECHNOLOGY.,https://articulo.mercadolibre.cl/MLC-472793392-audifonos-bluetooth-i7s-tws-alta-calidad-colores-base-_JM,9,2,3,1,0,#472793392,CHINO,I7S,In-ear
5, Audifono Bluetooth Jbl S700i Oem ,19.980,NA,"
			
				Nuevo
			
			
				
					 - 
				
				90
				vendidos
			
		",(10 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.330
			
		
		 sin interés
		
	

	
		","
				$ 3.330
			",NA,Envío a todo el país,NA,NA,4.4,7,https://perfil.mercadolibre.cl/VENTASMACUL2014,https://articulo.mercadolibre.cl/MLC-462764799-audifono-bluetooth-jbl-s700i-oem-_JM,5,1,0,1,0,#462764799,JBL,NA,NA
6, Audifono Bluetooth V4.2 Inalámbrico Hbq I7-tws ,7.990,14.990,"
			
				Nuevo
			
			
				
					 - 
				
				405
				vendidos
			
		",(95 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.332
			
		
		 sin interés
		
	

	
		","
				$ 1.332
			",NA,Envío a todo el país,NA,NA,3.1,11,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-459017997-audifono-bluetooth-v42-inalambrico-hbq-i7-tws-_JM,2,3,2,2,2,#459017997,TWS,I7S,NA
7, Audifonos Bluetooth Tipo iPhone 7 iPhone 8 ,14.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				198
				vendidos
			
		",(18 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 2.498
			
		
		 sin interés
		
	

	
		","
				$ 2.498
			",NA,Envío a todo el país,NA,NA,3.3,4,https://perfil.mercadolibre.cl/TELOTENEMOS.CL,https://articulo.mercadolibre.cl/MLC-461170076-audifonos-bluetooth-tipo-iphone-7-iphone-8-_JM,2,0,0,1,1,#461170076,NA,NA,NA
8, Par De Audífonos Bluetooth I7s Tws Inalámbricos | Maxtech ,12.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				90
				vendidos
			
		",(940 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.082
			
		
		 sin interés
		
	

	
		","
				$ 1.082
			",NA,Envío a todo el país,NA,NA,2.0,4,https://perfil.mercadolibre.cl/MAXTECHCHILELTDA,https://articulo.mercadolibre.cl/MLC-477090402-par-de-audifonos-bluetooth-i7s-tws-inalambricos-maxtech-_JM,1,0,0,0,3,#477090402,NA,NA,NA
9, Audifonos Bluetooth Binaural Tws Qcy T1 ,36.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				96
				vendidos
			
		",(8 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 6.165
			
		
		 sin interés
		
	

	
		","
				$ 6.165
			",NA,Envío gratis a todo el país,NA,NA,4.5,2,https://perfil.mercadolibre.cl/CASTLETECEIRL,https://articulo.mercadolibre.cl/MLC-470772617-audifonos-bluetooth-binaural-tws-qcy-t1-_JM,NA,NA,NA,NA,NA,#470772617,QCY,T1,In-ear
10, Manos Libres Bluetooth Mini Auricular ,3.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				318
				vendidos
			
		",(42 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 332
			
		
		 sin interés
		
	

	
		","
				$ 332
			",NA,Envío a todo el país,NA,NA,4.0,4,https://perfil.mercadolibre.cl/LAOCASIONSTORE,https://articulo.mercadolibre.cl/MLC-465965042-manos-libres-bluetooth-mini-auricular-_JM,2,0,2,0,0,#465965042,NA,NA,NA
