search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Tipos de cabezales,Cantidad de cabezales,Sistema de afeitado,Tipo de alimentación,Tiempo de funcionamiento,Tiempo de carga,Peso
1," Terminadora Barba Y Cortadora Vello Nasal, Oido Wahl Plata ",399,NA,"
			
			
				
				1651
				vendidos
			
		",(104 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 3942
		
		 sin intereses
		
	

	
		",42,NA,Llega gratis mañana,NA,NA,4.5,64,https://perfil.mercadolibre.com.mx/CARAS1990?brandId=1233,https://articulo.mercadolibre.com.mx/MLM-604529806-terminadora-barba-y-cortadora-vello-nasal-oido-wahl-plata-_JM,48,8,3,1,4,#604529806,Wahl,Beard Home,5537-420,Plano,4,Láminas,NA,NA,NA,NA
2, Rasuradora Taurus Minos 2.5w Recargable Navaja De Acero ,265,284,"
			
			
				
				1043
				vendidos
			
		",(15 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 2618
		
		 sin intereses
		
	

	
		",18,NA,Llega gratis mañana,NA,NA,4.2,65,https://perfil.mercadolibre.com.mx/LIFTORTIENDAOFICIAL?brandId=1084,https://articulo.mercadolibre.com.mx/MLM-591638162-rasuradora-taurus-minos-25w-recargable-navaja-de-acero-_JM,37,14,9,2,3,#591638162,Taurus,Minos,Taurus Minos,Planos,1,Láminas,Recargable,45,45 m,0.14 kg
3, Maquina Para Rasurar Rasuradora Recargable 14 Pzs Wahl Full ,244,299,"
			
				Nuevo
			
			
				
					 - 
				
				388
				vendidos
			
		",(32 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1361
		
		 sin intereses
		
	

	
		",61,NA,Envío a todo el país,NA,NA,5.0,2,https://perfil.mercadolibre.com.mx/PSACOMPUTOYPAPELERIA,https://articulo.mercadolibre.com.mx/MLM-679723274-maquina-para-rasurar-rasuradora-recargable-14-pzs-wahl-full-_JM,NA,NA,NA,NA,NA,#679723274,Wahl,Higiene Personal,9685,Removibles,NA,NA,Recargable,NA,NA,NA
4, Máquina Philips Norelco Barba Nariz Y Oídos Envío Gratuito ,599,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1527
				vendidos
			
		",(63 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 3328
		
		 sin intereses
		
	

	
		",28,NA,Llega gratis mañana,NA,NA,4.8,94,https://perfil.mercadolibre.com.mx/GIMPORTACIONESMX,https://articulo.mercadolibre.com.mx/MLM-596508768-maquina-philips-norelco-barba-nariz-y-oidos-envio-gratuito-_JM,80,11,2,1,0,#596508768,Philips,Series 3000,Multigroom 3000,Removible,3,Láminas,Recargable,60 m,NA,NA
5, Rasuradora Recargable Portatil 4 Cabezales Pelo Y Barba Kit ,279,NA,"
			
				Nuevo
			
			
				
					 - 
				
				264
				vendidos
			
		",(10 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 2756
		
		 sin intereses
		
	

	
		",56,NA,Llega gratis el viernes,NA,NA,4.4,9,https://perfil.mercadolibre.com.mx/IMPORTACIONES+ACAPULCO,https://articulo.mercadolibre.com.mx/MLM-657933483-rasuradora-recargable-portatil-4-cabezales-pelo-y-barba-kit-_JM,6,2,0,1,0,#657933483,etceo,rasuradora,etceo,Planos,4,Láminas,Recargable,40 min,8 h,NA
6, Rasuradora Recargable Wahl 14pzs Recontruida De Fabrica ,244,442,"
			
				Nuevo
			
			
				
					 - 
				
				445
				vendidos
			
		",(311 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1358
		
		 sin intereses
		
	

	
		",58,NA,Envío a todo el país,NA,NA,4.4,12,https://perfil.mercadolibre.com.mx/TC+MEMORY.,https://articulo.mercadolibre.com.mx/MLM-669844256-rasuradora-recargable-wahl-14pzs-recontruida-de-fabrica-_JM,7,3,2,0,0,#669844256,Wahl,rasuradora,All-In-One,Removibles,NA,NA,Recargable,40 minutos,NA,907 g
7, Rasuradora Eléctrica Qp2510/10 + Repuesto Cuchilla Oneblade ,599,799,"
			
			
				
				720
				vendidos
			
		",(310 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 3328
		
		 sin intereses
		
	

	
		",28,NA,Llega gratis mañana,NA,NA,4.9,20,https://perfil.mercadolibre.com.mx/IBUSHAK+OFICIALES?brandId=270,https://articulo.mercadolibre.com.mx/MLM-661343849-rasuradora-electrica-qp251010-repuesto-cuchilla-oneblade-_JM,17,2,0,0,0,#661343849,Philips,OneBlade,QP2510/10,Planos,1,Láminas,Recargable,30 minutos,8 h,NA
8, Rasuradora Profesional Wahl Five Stars Recarg. Shaver Shaper ,"1,499",NA,"
			
				Nuevo
			
			
				
					 - 
				
				19
				vendidos
			
		",(12 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 8328
		
		 sin intereses
		
	

	
		",28,NA,Llega gratis mañana,NA,NA,5.0,2,https://perfil.mercadolibre.com.mx/TEKLIFE,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=PeYQwpK4Fi67F34iFDSgRDOiIGZc5myIRV9tqbMPYQb1ySH2ZGkxG0uR%2B43WktIU3n7UThHs3INA1eLG88zKxgj1N5YleCYioYyS5UOR8lgLqTUZ7taiolsVuDUNCkmuPS%2FFqHmzPyTA9ZMqb%2F%2BQ%2FQrBYffrns9AJ8q49cDyvRdoLNP18Jc5N2vwcV1Is8xf0BxvrOqJIwg%2BzKp90UnAXIO358y%2Bi2d0REgU9BRt2D%2BEeIvy5CA%2Bv1DApxYvbQgTGeBbQUQqg4Pi%2FpcmrcAotG%2F9Un29viFXfAl7bJXKsIV11sd6%2FIu3pnO3BZRp5ulc4wVdCO655r2D3urw8pluW9lDHeLeBCaL5m%2Br0%2FbJnU8Q6pjRhQS36ryo3pDNh%2Ba4%2By%2BggQcFg%2BnFkEinX6kVLN3zon6F7JDKAu84IqpaDIMuw4r6NP%2BC1h3%2Fl4asNhha6W2l%2B%2FPBMIzS2x3GqfmGcs%2FOXs3XIJndKEQU%2Fk5JP5BbTDyKyLsU%2BcLWeVlN92leTqFWDJeFNUnYmEjNzGowq8s8NCRru9eK0Uqnh4DBFvPQJJfG12xiz6TptlK%2BoEH1tI4f7elR1A3jT0mnZXK6EhNKxe%2Fc9c8Z5feUprnrhpdqoL2UFzOxzura2%2BH%2BqNaaVUtl%2Btdy9ogeyer5m5mlxa6ivfF1S9HUjyC6AEtx%2F7BP5kMO%2ByXFWJ8%2FMJFVNyjdfRDo%2Bn73oW3zJPgnW%2BBqSZf6KsxEEWb40SQnZhOWviVlLrySS%2FfGJey6RG1xo2UEzJmexhMzOQCa3UQUDDSys1vUn7F4ky8qsEpZF8oAYxQp6zSNIHxJvcai93ZPlEQ82PAnjNldUyVRt2ZygDOqoZcqBOtFdsu2aJyG6GS1zO7mk2E3wQDoLiua7H5tlKqZyaXNRLUuJWNFu1Ez6H7xIcY45VEgWzi7ewWjjPs4kGd4e2FJs9Y%2BeIqX8Nz1aP5zfSaHwABiEYRPlJTeBIvfNCf3i5YOERHDzZvdm%2BtA%2FBCfxP8MSgeVkuoixh4abb8n3rX5BRRdm8KRdtb7TS4dy3OPf3xKHPvkKa9A6gfVyTqPe6WuRxovzsavd%2BDvxpy%2B8LtoN1eiAx0vwmSPvmDP1ZH%2BqNWxwItH%2BXIlAY4Ib%2BA0gr3TXEsEZwLq4cwWt1rPuQ4nmQTcNDwlTKiiMXkyRMXWUkGqfgNlrzGMFd8hI5udM1BYE3nkSqr%2FHoLw%2BU1QeUL2DEQqIL9YnSVIbr7ss%2BNyAM37%2BkdQkW%2FtYhgp3txaEb5gt7IWiIP28rpD%2B8A7QpXj1GUxy4v6uptb%2Fj89wHMvTuKRyDzE1ONv32FOb53aZ6djCyu1sWdoIsPDUdNPpUWwbUKahMRVKlsblcWNCmJaPXvO3hJAc8VMKYziVFkeC4%2BD%2FTZdSo6DfEZsop5de1wMaIzN7KhLQ0k%2Fz2urVyUcW3KJBrQnhnBL%2FOMFj4%2FNBaVXUW1tnXRzSJyB9owgwL6Eyef3ajNtYURn7m5tz0cXNkMxBl3A6vGK389cU%2BD13E22S7s8j%2FpkXsbbNih6HZYBQAs%2BjYWu9pWAutsC8b655fPJpznLEpfGGexx%2B82eYwGBeObSixkzBKTxUtk4r1qPu11xLkx0IzBFYATuW8vTjEudyaYWfTWbDMWY%2Fn4oFGOkATJXHvpXEPmTZiunTd4M2IbSAQ9LpcdHSEtwiJ7IKvOg8Zz8bE8WW5Q%2BxwcjiHfZURyb0isxROEd9IM9boET0puA4trR1Hd85rK6%2BH7wK%2Fdnvp%2FyJMDz6Hez6k8%2Fsq8TSMI8adm65jaKpg6mh3o8ytDsJoJPi1yVQcD6NGYxIr9L%2ByXP%2F30MFFbtyKbH%2F4I%3D,NA,NA,NA,NA,NA,#652877853,Wahl Professional,Five Star,Shaver Shaper,De Rodillo,NA,NA,Recargable,NA,40 m,NA
9, Afeitadora Rasuradora Philips Norelco Edición Esp Star Wars ,780,NA,"
			
			
				
				127
				vendidos
			
		",(38 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 7706
		
		 sin intereses
		
	

	
		",06,NA,Llega gratis mañana,NA,NA,4.7,12,https://perfil.mercadolibre.com.mx/CARAS1990?brandId=1233,https://articulo.mercadolibre.com.mx/MLM-652811828-afeitadora-rasuradora-philips-norelco-edicion-esp-star-wars-_JM,9,1,1,0,0,#652811828,Philips,Norelco / Star Wars,SW175,Giratorios,2,Rotativo,Recargable,40m,1 h,NA
10, Rasuradora Trimmer Solo Micro Touch Barba Bigote Afeitadora ,997,NA,"
			
				Nuevo
			
			
				
					 - 
				
				102
				vendidos
			
		",(13 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 9850
		
		 sin intereses
		
	

	
		",50,NA,Llega gratis mañana,NA,NA,5.0,1,https://perfil.mercadolibre.com.mx/DIRECTISHOP+OFICIAL,https://articulo.mercadolibre.com.mx/MLM-644599481-rasuradora-trimmer-solo-micro-touch-barba-bigote-afeitadora-_JM,NA,NA,NA,NA,NA,#644599481,MicroTouch,Trims,Microtouch Solo,Pivotantes,1,Láminas,Recargable,45,9 h,NA
