search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Modelo alfanumérico,Tiempo de funcionamiento,Tipo de alimentación,Tipos de cabezales,Peso
1, Cortabarba Multigroom Philips Mg7715/15 ,2199,2999,1077,279,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,103,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-693493640-cortabarba-multigroom-philips-mg771515-_JM,73,23,4,2,1,#693493640,Philips,Series 7000,MG7715/15,MG7715/15,120,NA,NA,NA
2, Philips Oneblade Qp2526/10 Híbrida Recortá Modelá Y Afeitá ,1899,2299,274,25,12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,10,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-788821630-philips-oneblade-qp252610-hibrida-recorta-modela-y-afeita-_JM,7,3,0,0,0,#788821630,Philips,OneBlade,QP2526/10,QP2526/10,NA,100-240v,Planos,NA
3, Cortabarba Multigroom Philips Mg5730/15 Cuerpo Rostro ,2199,NA,2459,66,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,189,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-729119308-cortabarba-multigroom-philips-mg573015-cuerpo-rostro-_JM,141,43,4,0,1,#729119308,Philips,Series 5000,MG5730/15,MG5730/15,80,220v,Planos,NA
4, Corta Pelo Y Barba Afeitadora Gama Electrica Inalambrica ,1389,NA,3964,2,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,442,https://perfil.mercadolibre.com.ar/DARIO+HOGAR,https://articulo.mercadolibre.com.ar/MLA-618507579-corta-pelo-y-barba-afeitadora-gama-electrica-inalambrica-_JM,278,123,29,6,6,#618507579,GA.MA,NA,GC 545,NA,NA,NA,NA,NA
5, Cortabarba Multigroom Philips Mg3730/15 Barba Cabello Nariz ,1999,NA,667,84,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,41,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-740807251-cortabarba-multigroom-philips-mg373015-barba-cabello-nariz-_JM,29,12,0,0,0,#740807251,Philips,Series 3000,Multigroom,MG3730,60 M,220v,Planos,NA
6, Afeitadora Recortador De Barba Phillips One Blade ,1199,NA,679,106,12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,67,https://perfil.mercadolibre.com.ar/FARMA+YA,https://articulo.mercadolibre.com.ar/MLA-731504888-afeitadora-recortador-de-barba-phillips-one-blade-_JM,53,9,1,2,2,#731504888,Philips,OneBlade,OneBlade,QP2520/20,30 minutos,NA,NA,NA
7, Cortadora De Pelo Y Barba Electrica Gama Maquina Gm562 ,1392,NA,4,69,6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/PERFUMERIASAILEN,https://articulo.mercadolibre.com.ar/MLA-788700027-cortadora-de-pelo-y-barba-electrica-gama-maquina-gm562-_JM,NA,NA,NA,NA,NA,#788700027,GA.MA,Afeitadoras,GM520,NA,NA,NA,NA,NA
8, Maquina Afeitadora Rasuradora Vellos Facial Recargable Usb ,345,NA,65,934,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,5,2,https://perfil.mercadolibre.com.ar/01ENLINEA,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=RnkVZ%2FweDTQnEBa9sqE8hkG%2B4TqRjJFsbBzpjpJ1Sh3wnpqlos%2F57H%2FoAWLOXiW1xQnAAhDD7r8w2%2B9iXcFhF59MImzLH4djfGiVa7aThA8B%2FJHCfcYGMBp8J%2BrO1FGjUZB%2FS2rFoCBC9kzV76Ua6%2Bei73QoTU%2Byhjnjm9mofP7vntH5o7Jp1OUG5ibsagxX1KXy9O7tWkOInveM2o8Xn0ofhRHhUGoHJnWN13fXyQ8mKV%2B8R1pdG22B4jxuWFa%2FuhA83PQzbff1sB2vMJKnDReZUCzYl%2FiiVNQZpjqjvWv4nCbDAl1y4RZdQ2DeT9%2B0jQ830GRaeh79BIHRFCs4%2ByzOt8wHyfQ5t7l%2FNK9Rs%2BauXqgW%2FClGNR2u65iamWzrZ2neLj%2BznkFz70sy2hUhT1%2F9hfg10zPp%2Fc%2F0T0hd4htbRAdZAkNu1pbHelovQGaV3yUsWax%2Bm%2F%2BXWCDkmy3xVRoUlx6jyLzJ%2F4dD67dCxVpv1MiXzhKpJtOypngn2QT%2BR%2B%2BCeYrAflmYwJhEjm4MVCUGC%2Byg69%2FvA0tpsmgF%2FdMIL5qMUsynIp0cOESkY7BOlUIUMTCuiQfiShYAdxJK%2BeejXUk0DASYTRg0dMEXVIYPYy45aCwPaECts86LE%2B0iPbugqOcf6bJ2oyb1ZDxffNr%2BtCBIHkNrdmgrUYGfmmKRYlox9Bscv01VC3UAJbQYD3yp%2FINsNM9Gw8%2BUEgqls5rrUXJ%2BrnMEXVPg14cOC4YXKiStlsDBq%2F9zXym2QpKAF829cQoyk9zSuMFJ3TwgtM76TsOWPuHj0%2FdstrCW11JgV3rgTdzsxVwWYJHH0%2FhQZkgwifPjVdrJCTnUdSonzMKCB9phyE%2BTIJlI3%2F20A9GDy%2BdnvRgpbbwhLsMxMWtifrEOngHa4I%2B372EWVLqRakjHd7BdOWShBbiFNMoTDpjr4NQW2B7jEinaO1lIqVOoBducol53lw7j9%2B8Fj8Ean77ioi%2Bdnl1TXHHygEQro%2Fex%2FgOUtvgS3dx8agbRqPNQ2YT9uBlp3DHuK9XFLsj4UCiddEqhX5nF0GuvodS83192xkxg3vb5kuyxGI4XCs4utbe26wcRDE0gKOmoBPXSzB2yTnLJdxKCJt2AoTlH1ZLxYU3F%2BOYNSpP1QLYTWqArZ1JSs5binbcRPSSma1PZB09ycfNTxeB9WhAcBnB38wRLyu4ixRD9VGPPylylUjkdf2gsgpOrbSSoQK0jt7UwP9PvJyl3OIS%2F9LmVvDEp1h3xUBwt3ilSVXopA7S39edbzJiqRsoulw07BoaAxw6oJemfKF9FHbDthXr6nzlp60x3FJ8zzAfn14OWpsD5h4CUFX8MxvHBUrm5QW5UB9m1h4YXOmKYGS1Uj9DSw82pZyRQoqx0EGCgqEyUqn9dWgparfmYEl2HIcfqv3OQKUFX3FePZbe%2Fidh57%2BQF%2Fs0Qvw0Znp66h3qCKSJ53vtmp8QeON4PGht%2FJnM%2BMNL4l5Rj5k42aO%2BcR38pxBOC7cYQ1rm8TBoNVtbgA9XJFdnczD0ZUeZ4p1QoFAXrcy1N2LV8fOJcq3YRljbbCPGrTRM87GlFyIABk7%2B9Pd2TKCaNSR5%2FQxOBnRy2af5L5lsZfGWYFc%2B%2BIp2cAqfQWPXtBlgUmSALHIcg1f8ztlYAc4GaekVoCukhPoZk%2B2Vgy7oez%2B3fBXyKlWnuYc9C1NiaX6K0J9aqXavuJbFpCAR6SGMwSO38b12tLL8fBzNZTfyfgm2I8GweWnPk8Bqmuh7Ls4%2Bo45RDhPRY%2FSI84Deudw%3D%3D,2,0,0,0,0,#783178998,Nanzhong,"NA",NZ-203,NA,NA,USB,Giratorios,NA
9, Afeitadora Philips Aquatouch S5070/02 Eléctrica Recargable ,3999,NA,636,25,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,219,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-728426848-afeitadora-philips-aquatouch-s507002-electrica-recargable-_JM,145,57,13,0,3,#728426848,Philips,AquaTouch,S5070/02,S5070/02,40 M,220v,NA,NA
10, Cortabarba Multigroom Philips Mg5730/15 ,2499,NA,1946,54,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,296,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-687451947-cortabarba-multigroom-philips-mg573015-_JM,218,72,4,1,1,#687451947,Philips,Multigroom series 5000,MG5730/15,MG5730/15,80,220v,Planos,NA
11, Afeitadora Corporal Philips Bodygroom Bg3005/15 Apta Ducha ,2299,NA,387,37,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,58,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-739507858-afeitadora-corporal-philips-bodygroom-bg300515-apta-ducha-_JM,34,17,5,1,0,#739507858,Philips,Series 3000,BG3005/15,BG3005/15,40M,220v,Planos,NA
12, Cortadora De Pelo Gama Gcx685 Trimmer Afeitadora 6 Cabezales ,3059,NA,63,43,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,33,https://perfil.mercadolibre.com.ar/TECNOFAST_,https://articulo.mercadolibre.com.ar/MLA-624059346-cortadora-de-pelo-gama-gcx685-trimmer-afeitadora-6-cabezales-_JM,22,8,2,0,0,#624059346,GA.MA Italy,AFEITADORA,GCX 685,NA,NA,NA,NA,NA
13, Afeitadora Philips Aquatouch S1030/04 ,1799,NA,872,46,12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,551,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-729696881-afeitadora-philips-aquatouch-s103004-_JM,370,122,37,13,9,#729696881,Philips,AquaTouch,S1030/04,S1030/04,45 M,220v,Flexibles,NA
14, Afeitadora Teknikpro Maquina Shaver Barbero Recargable Usb ,1790,2740,436,35,12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,36,https://perfil.mercadolibre.com.ar/TIENDADEPELUQUERIA,https://articulo.mercadolibre.com.ar/MLA-741917410-afeitadora-teknikpro-maquina-shaver-barbero-recargable-usb-_JM,24,10,1,0,0,#741917410,Teknik Pro,Barber,Fading & Shaving,NA,40 minutos,Batería,NA,NA
15, Philips Oneblade Qp2521/10 Recortá Modelá Y Afeitá ,1799,NA,3870,28,12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,899,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-694476063-philips-oneblade-qp252110-recorta-modela-y-afeita-_JM,675,159,43,9,13,#694476063,Philips,OneBlade,QP2521/10,QP2521/10,45 m,Batería,Planos,NA
16, Afeitadora Eléctrica Fading Shaving Teknikpro ,2490,NA,412,138,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,36,https://perfil.mercadolibre.com.ar/-LASMARGARITAS-?brandId=100,https://articulo.mercadolibre.com.ar/MLA-684054385-afeitadora-electrica-fading-shaving-teknikpro-_JM,24,10,1,0,0,#684054385,Teknik Pro,NA,Fading & Shaving,NA,NA,NA,NA,NA
17, Rasuradora Electrica De Barba Y Patillas Trimmer Gt 555 Gama ,2950,NA,3,97,6 cuotas sin interés,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,91,https://perfil.mercadolibre.com.ar/FULL_PROF,https://articulo.mercadolibre.com.ar/MLA-756788500-rasuradora-electrica-de-barba-y-patillas-trimmer-gt-555-gama-_JM,61,18,6,2,3,#756788500,GA.MA Italy,NA,GT 555,NA,NA,NA,NA,NA
18, Afeitadora Remington Bht1000 Bodygroom Cortadora Corporal ,799,1099,537,112,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,128,https://perfil.mercadolibre.com.ar/PHOTOSTORE,https://articulo.mercadolibre.com.ar/MLA-614373794-afeitadora-remington-bht1000-bodygroom-cortadora-corporal-_JM,82,35,9,1,1,#614373794,Remington,Bodygroom,BHT1000,NA,30 minutos,Batería,Flexibles,NA
19, Set De Afeitado Multifunción Braun 9 En 1 Braun Mgk3080 ,2299,3999,274,441,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,31,https://perfil.mercadolibre.com.ar/NEW-VENTURES?brandId=642,https://articulo.mercadolibre.com.ar/MLA-752502673-set-de-afeitado-multifuncion-braun-9-en-1-braun-mgk3080-_JM,26,4,1,0,0,#752502673,Braun,NA,MGK3080,NA,60 m,NA,NA,NA
20, Repuesto Afeitadora Braun 32s 32b Foil Serie 3 320s 340s 380 ,2549,NA,387,82,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,49,https://perfil.mercadolibre.com.ar/RADARLP,https://articulo.mercadolibre.com.ar/MLA-614330177-repuesto-afeitadora-braun-32s-32b-foil-serie-3-320s-340s-380-_JM,45,4,0,0,0,#614330177,Braun,Series 3,32/S,NA,NA,NA,Flexibles,NA
21, Afeitadora Braun Serie 7 7840s Wetdry Alemana Sonica Premium ,10899,NA,229,7,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,145,https://perfil.mercadolibre.com.ar/RADARLP,https://articulo.mercadolibre.com.ar/MLA-617927378-afeitadora-braun-serie-7-7840s-wetdry-alemana-sonica-premium-_JM,109,29,3,2,1,#617927378,Braun,Series 7,7840s Wet&Dry,NA,50 minutos,Batería,Flexibles,400 g
22, Maquina De Cortar Pelo Y Cortabarba Bodygroom Philips Mg7730 ,2999,NA,603,442,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,19,https://perfil.mercadolibre.com.ar/TECH_SOURCE,https://articulo.mercadolibre.com.ar/MLA-747481161-maquina-de-cortar-pelo-y-cortabarba-bodygroom-philips-mg7730-_JM,15,3,1,0,0,#747481161,Philips,NA,Multigroom,MG7730/15,120 MIN,Batería,Planos,NA
23, Afeitadora Electrica Cortadora Barba Philips One Blade 2510 ,1650,NA,47,3,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,5,1,https://perfil.mercadolibre.com.ar/COSMETIC+SOLUTIONS,https://articulo.mercadolibre.com.ar/MLA-594545386-afeitadora-electrica-cortadora-barba-philips-one-blade-2510-_JM,1,0,0,0,0,#594545386,Philips,Afeitadora,QP2510/10,NA,NA,NA,NA,NA
24, Cortabarba Y Cortacabello Philips Mg3730 Kit Profesional ,1699,NA,1643,50,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,43,https://perfil.mercadolibre.com.ar/TECH_SOURCE,https://articulo.mercadolibre.com.ar/MLA-747798332-cortabarba-y-cortacabello-philips-mg3730-kit-profesional-_JM,26,15,2,0,0,#747798332,Philips,3000,MG3730/15,MG3730/15,60 min,220,Planos,400 g
25, Afeitadora Gama Corta Patilla Inalambrica Gsh Sport - Luico ,1035,NA,104,33,12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,24,https://perfil.mercadolibre.com.ar/LUICO+HOGAR,https://articulo.mercadolibre.com.ar/MLA-624061468-afeitadora-gama-corta-patilla-inalambrica-gsh-sport-luico-_JM,17,5,1,0,1,#624061468,GA.MA,GSH Sport,GSH Sport,NA,NA,A batería,3 Cuchillas de Acero,0.144 kg
26, Afeitadora Razor Shaver Andis Profoil Lithium ,6200,NA,213,71,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,5,15,https://perfil.mercadolibre.com.ar/E-SHOP+PELUQ,https://articulo.mercadolibre.com.ar/MLA-674516231-afeitadora-razor-shaver-andis-profoil-lithium-_JM,15,0,0,0,0,#674516231,Andis,ProFoil,Pro Foil,NA,80 min,220v,Ergónomicos,140 g
27, Corta Pelo Afeitadora Gama 545 Clipper Electrica Inalambrica ,1650,NA,26,4,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,5,1,https://perfil.mercadolibre.com.ar/TOMASSA+ONLINE?brandId=1449,https://articulo.mercadolibre.com.ar/MLA-749275441-corta-pelo-afeitadora-gama-545-clipper-electrica-inalambrica-_JM,1,0,0,0,0,#749275441,GA.MA,NA,GM 560,NA,NA,NA,NA,NA
28, Afeitadora Gama Con Corta Patilla Inalambrica Gsh Master ,1199,NA,272,3,12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,40,https://perfil.mercadolibre.com.ar/LUICO+HOGAR,https://articulo.mercadolibre.com.ar/MLA-624102892-afeitadora-gama-con-corta-patilla-inalambrica-gsh-master-_JM,23,14,1,0,2,#624102892,GA.MA,Afeitadora,GSH MASTER,NA,NA,A batería,Giratorios,117 g
29, Cortabarba Philips Mg7730/15 ,2990,NA,145,8,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,10,https://perfil.mercadolibre.com.ar/NETFULL+OK,https://articulo.mercadolibre.com.ar/MLA-757903232-cortabarba-philips-mg773015-_JM,6,2,2,0,0,#757903232,Philips,Series 7000,MG7730/15,MG7730/15,NA,NA,NA,NA
30," Recortador Philips Para Nariz, Orejas, Cejas Nt3160/10 ",999,NA,379,13,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,22,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-733195547-recortador-philips-para-nariz-orejas-cejas-nt316010-_JM,14,4,4,0,0,#733195547,Philips,Series 3000,Nosetrimmer,NT3160/10,NA,Pila,Giratorios,NA
31, Philips One Blade Afeitadora Recortadora Qp2510 Oneblade ,1099,NA,175,15,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,4,https://perfil.mercadolibre.com.ar/FARMACIA+SELMA,https://articulo.mercadolibre.com.ar/MLA-784833769-philips-one-blade-afeitadora-recortadora-qp2510-oneblade-_JM,3,1,0,0,0,#784833769,Philips,OneBlade,QP2510,NA,NA,Batería,Planos,NA
32, Corta Pelo Afeitadora Gama 545 Clipper Electrica Inalambrica ,1299,NA,6,13,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,1,1,https://perfil.mercadolibre.com.ar/PPSTOREPEPPERSRL,https://articulo.mercadolibre.com.ar/MLA-737092131-corta-pelo-afeitadora-gama-545-clipper-electrica-inalambrica-_JM,0,0,0,0,1,#737092131,GA.MA,NA,GC 545,NA,NA,NA,NA,NA
33, Afeitadora Philips Oneblade Pro Qp2521 Recorta Modela Afeita ,1399,NA,106,19,12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,899,https://perfil.mercadolibre.com.ar/TECH_SOURCE,https://articulo.mercadolibre.com.ar/MLA-721060660-afeitadora-philips-oneblade-pro-qp2521-recorta-modela-afeita-_JM,675,159,43,9,13,#721060660,Philips,Oneblade Pro,QP2521/10,QP2521/10,45 min por carga,220v,cuchillas,NA
34, Cortabarba Philips Mg7730/15 ,2999,NA,274,10,12 cuotas,NA,NA,Retiro gratis en local de Garbarino,NA,NA,5,1,https://perfil.mercadolibre.com.ar/GARBARINO?brandId=738,https://articulo.mercadolibre.com.ar/MLA-707652259-cortabarba-philips-mg773015-_JM,1,0,0,0,0,#707652259,Philips,NA,MG7730/15,MG7730/15,NA,NA,NA,NA
35, Recortador Multigroom Philips 11 En 1 Mg5730/15 ,1999,2499,300,185,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,17,https://perfil.mercadolibre.com.ar/WALMART+ARGENTINA?brandId=176,https://articulo.mercadolibre.com.ar/MLA-780584124-recortador-multigroom-philips-11-en-1-mg573015-_JM,9,7,1,0,0,#780584124,Philips,Multigroom,MG5730/15,MG5730/15,NA,Batería,Cuchillas Autoafilables,NA
36, Cortabarba Multigroom Philips Mg7730/15 ,3599,NA,1138,88,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,157,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-690160611-cortabarba-multigroom-philips-mg773015-_JM,119,35,3,0,0,#690160611,Philips,Series 7000,MG7730/15,MG7730/15,120,220v,Planos,NA
37, Corta Pelo Afeitadora Gama 545 Clipper Electrica Inalambrica ,1199,NA,2,NA,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,442,https://perfil.mercadolibre.com.ar/GAONA+NEXT,https://articulo.mercadolibre.com.ar/MLA-740289123-corta-pelo-afeitadora-gama-545-clipper-electrica-inalambrica-_JM,278,123,29,6,6,#740289123,GA.MA Italy,NA,545,NA,NA,NA,NA,NA
38, Afeitadora Gama 855 Inalambrica Cortapatilla Dia Del Padre ,1125,NA,190,10,12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,96,https://perfil.mercadolibre.com.ar/-MILYON-,https://articulo.mercadolibre.com.ar/MLA-670005766-afeitadora-gama-855-inalambrica-cortapatilla-dia-del-padre-_JM,47,34,13,2,0,#670005766,GA.MA Italy,GSH SPORT,GSH 855,NA,50 MINUTOS,Inalámbrica,3 cabezales,NA
39, Cortabarba Multigroom Philips Mg7730/15 16 En 1 ,3099,NA,326,18,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,29,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-734476821-cortabarba-multigroom-philips-mg773015-16-en-1-_JM,20,7,2,0,0,#734476821,Philips,Series 7000,Multigroom,MG7730/15,2 hs,220v,NA,NA
40, Afeitadora Philips One Blade Qp2521/10 ,1295,1619,307,5,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,899,https://perfil.mercadolibre.com.ar/WALMART+ARGENTINA?brandId=176,https://articulo.mercadolibre.com.ar/MLA-729594425-afeitadora-philips-one-blade-qp252110-_JM,675,159,43,9,13,#729594425,Philips,OneBlade,QP2521/10,QP2521/10,NA,Batería,One Blade,NA
41, Repuesto Afeitadora Braun 21b Foil Serie 3 310s Original ,2199,NA,67,18,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,26,https://perfil.mercadolibre.com.ar/RADARLP,https://articulo.mercadolibre.com.ar/MLA-763879853-repuesto-afeitadora-braun-21b-foil-serie-3-310s-original-_JM,22,1,3,0,0,#763879853,Braun,Series 3 Linea 2018,21B,21B,NA,NA,Flexibles,NA
42, Afeitadora Philips Aquatouch S5420/24 Eléctrica Recargable ,5999,NA,91,17,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,84,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-723885768-afeitadora-philips-aquatouch-s542024-electrica-recargable-_JM,57,19,4,2,2,#723885768,Philips,AquaTouch,S5420/24,NA,45,NA,NA,NA
43, Rasuradora Electrica Ga.ma Vello De Orejas Y Nariz Gnt 512 ,1799,NA,1,98,6 cuotas sin interés,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,67,https://perfil.mercadolibre.com.ar/FULL_PROF,https://articulo.mercadolibre.com.ar/MLA-756889307-rasuradora-electrica-gama-vello-de-orejas-y-nariz-gnt-512-_JM,36,27,4,0,0,#756889307,GA.MA Italy,NA,GNT 512,NA,NA,NA,NA,NA
44, Cortabarba Philips Qt4015/16 Uso Con O Sin Cable ,2199,NA,618,230,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,124,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-659772078-cortabarba-philips-qt401516-uso-con-o-sin-cable-_JM,85,34,4,1,0,#659772078,Philips,BeardTrimmer series 3000,QT4015/16,QT4015/16,90,baterías y 220v,Planos,NA
45, Afeitadora Philips 2 En 1 S1520/42 Recargable Cortapatilla ,2699,NA,330,22,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,38,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-729155884-afeitadora-philips-2-en-1-s152042-recargable-cortapatilla-_JM,30,6,1,0,0,#729155884,Philips,Shaver Series,S1520/42,S1520/42,45 M,220v,Flexibles,NA
46, Philips Oneblade Pro Qp6510/20 Recortá Modelá Y Afeitá ,2799,NA,363,10,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,248,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-718845241-philips-oneblade-pro-qp651020-recorta-modela-y-afeita-_JM,158,66,18,3,3,#718845241,Philips,OneBlade Pro,QP6510/20,Qp6510/20,60,Batería,NA,NA
47, Cortabarba Multigroom Philips Mg3730/15 Kit Multistyler ,1590,NA,157,69,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,8,https://perfil.mercadolibre.com.ar/NETFULL+OK,https://articulo.mercadolibre.com.ar/MLA-753967804-cortabarba-multigroom-philips-mg373015-kit-multistyler-_JM,5,2,0,1,0,#753967804,Philips,Series 3000,MG3730/15,MG3730/15,60,NA,NA,NA
48, Corta Pelo Afeitadora Gama 545 Clipper Electrica Inalambrica ,1199,NA,0,NA,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/GRUPO+S.M,https://articulo.mercadolibre.com.ar/MLA-782310114-corta-pelo-afeitadora-gama-545-clipper-electrica-inalambrica-_JM,NA,NA,NA,NA,NA,#782310114,GA.MA Italy,NA,545,NA,NA,NA,NA,NA
49, Afeitadora Philips Multigroom 10 En 1 Mg5730/15 Waterproof ,2199,NA,627,29,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,73,https://perfil.mercadolibre.com.ar/TECH_SOURCE,https://articulo.mercadolibre.com.ar/MLA-687167996-afeitadora-philips-multigroom-10-en-1-mg573015-waterproof-_JM,57,12,4,0,0,#687167996,Philips,Multigroom series 5000,MG5730/15,MG5730/15,80 Min,Bateria recargable a 220v,NA,NA
50, Afeitadora Philips Multigroom 10 En 1 Mg5730/15 Water Retiro ,2199,NA,83,127,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,11,https://perfil.mercadolibre.com.ar/TECH_SOURCE,https://articulo.mercadolibre.com.ar/MLA-777861630-afeitadora-philips-multigroom-10-en-1-mg573015-water-retiro-_JM,8,2,1,0,0,#777861630,Philips,Multigroom series 5000,MG5730/15,NA,NA,Batería recargable a 220v,Planos,NA
