search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Marca del celular,Tipo de funda
1, Mophie Funda Bateria Juice Pack Para iPhone 8/7 Plus Negro ,47.990,69.990,"
			
			
				
				1
				vendido
			
		",(2 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 7.998
			
		
		 sin interés
		
	

	
		","
				$ 7.998
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-475910245-mophie-funda-bateria-juice-pack-para-iphone-87-plus-negro-_JM#position=1&type=item&tracking_id=671bae17-fdff-4f82-948e-c8d26631d9a9,NA,NA,NA,NA,NA,#475910245,Mophie,NA,NA
2, Tech 21 Funda Dura iPhone 8/7 Plus Evoke Transparente/azul ,23.990,NA,"
			
			
				
				1
				vendido
			
		",(9 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.998
			
		
		 sin interés
		
	

	
		","
				$ 3.998
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-496719646-tech-21-funda-dura-iphone-87-plus-evoke-transparenteazul-_JM#position=2&type=item&tracking_id=671bae17-fdff-4f82-948e-c8d26631d9a9,NA,NA,NA,NA,NA,#496719646,Tech 21,Apple,Carcasa
3, Carcasa Apple Silicona Original 6 / 7 Y 7 Plus / 8 Y 8 Plus ,7.000,7.800,"
			
				Nuevo
			
			
				
					 - 
				
				279
				vendidos
			
		",(67 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 583
			
		
		 sin interés
		
	

	
		","
				$ 583
			",NA,Envío a todo el país,NA,NA,4.8,19,https://perfil.mercadolibre.cl/CELLBOX.CL,https://articulo.mercadolibre.cl/MLC-454645969-carcasa-apple-silicona-original-6-7-y-7-plus-8-y-8-plus-_JM?searchVariation=36229993361#position=3&type=item&tracking_id=671bae17-fdff-4f82-948e-c8d26631d9a9,18,0,0,0,1,#454645969,Apple,Apple,Carcasa
4, Carcasas Colores iPhone Silicona 6/7/8/x/xs/xr/plus ,5.990,6.990,"
			
				Nuevo
			
			
				
					 - 
				
				112
				vendidos
			
		",(39 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 998
			
		
		 sin interés
		
	

	
		","
				$ 998
			",NA,Envío a todo el país,NA,NA,5.0,5,https://perfil.mercadolibre.cl/BANANATIENDA,https://articulo.mercadolibre.cl/MLC-492059051-carcasas-colores-iphone-silicona-678xxsxrplus-_JM?searchVariation=39967227028#position=4&type=item&tracking_id=671bae17-fdff-4f82-948e-c8d26631d9a9,5,0,0,0,0,#492059051,Genérico,Apple,Carcasa
5, iPhone 5 5s 6 6s 7 8 Plus Carcasa 360 Slim Gkk | Kyrios ,6.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				92
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.165
			
		
		 sin interés
		
	

	
		","
				$ 1.165
			",NA,Envío a todo el país,NA,NA,4.8,6,https://perfil.mercadolibre.cl/TIENDA+KYRIOS,https://articulo.mercadolibre.cl/MLC-473097419-iphone-5-5s-6-6s-7-8-plus-carcasa-360-slim-gkk-kyrios-_JM?searchVariation=41301697043#position=5&type=item&tracking_id=671bae17-fdff-4f82-948e-c8d26631d9a9,5,1,0,0,0,#473097419,GKK,Apple,Carcasa
6, Carcasa Rock Ultra Delgada iPhone 6/7/8/x/xs/plus ,7.990,8.990,"
			
				Nuevo
			
			
				
					 - 
				
				369
				vendidos
			
		",(150 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.332
			
		
		 sin interés
		
	

	
		","
				$ 1.332
			",NA,Envío a todo el país,NA,NA,4.7,30,https://perfil.mercadolibre.cl/BANANATIENDA,https://articulo.mercadolibre.cl/MLC-452176797-carcasa-rock-ultra-delgada-iphone-678xxsplus-_JM#position=6&type=item&tracking_id=671bae17-fdff-4f82-948e-c8d26631d9a9,27,1,0,1,1,#452176797,Rock,Apple,Carcasa
7, Carcasas Apple Cuero iPhone 6 6 Plus 6s Plus 7 8 7 8 Plus ,7.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				616
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.332
			
		
		 sin interés
		
	

	
		","
				$ 1.332
			",NA,Envío a todo el país,NA,NA,4.3,42,https://perfil.mercadolibre.cl/SMARTBUYCHILE,https://articulo.mercadolibre.cl/MLC-434288453-carcasas-apple-cuero-iphone-6-6-plus-6s-plus-7-8-7-8-plus-_JM?searchVariation=35810579020#position=7&type=item&tracking_id=671bae17-fdff-4f82-948e-c8d26631d9a9,26,8,4,3,1,#434288453,Apple,Apple,Carcasa
8, Carcasa Magnética iPhone 6 6s 6 Plus 7 8 8 Plus X | Digitek ,9.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				34
				vendidos
			
		",(66 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.665
			
		
		 sin interés
		
	

	
		","
				$ 1.665
			",NA,Envío a todo el país,NA,NA,4.0,1,https://perfil.mercadolibre.cl/DIGITEK.CL,https://articulo.mercadolibre.cl/MLC-489124640-carcasa-magnetica-iphone-6-6s-6-plus-7-8-8-plus-x-digitek-_JM#position=8&type=item&tracking_id=671bae17-fdff-4f82-948e-c8d26631d9a9,NA,NA,NA,NA,NA,#489124640,NA,Apple,Carcasa
9, Carcasas Apple Cuero iPhone 6 / 6 Plus 7 7 Plus 8 Y 8 Plus ,7.800,8.990,"
			
				Nuevo
			
			
				
					 - 
				
				135
				vendidos
			
		",(372 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 650
			
		
		 sin interés
		
	

	
		","
				$ 650
			",NA,Envío a todo el país,NA,NA,4.3,8,https://perfil.mercadolibre.cl/CELLBOX.CL,https://articulo.mercadolibre.cl/MLC-455131366-carcasas-apple-cuero-iphone-6-6-plus-7-7-plus-8-y-8-plus-_JM?searchVariation=36233406122#position=9&type=item&tracking_id=671bae17-fdff-4f82-948e-c8d26631d9a9,5,2,0,0,1,#455131366,Apple,Apple,Carcasa
10, Apple iPhone Xr 64gb 4g Plus Banda28 Mica Funda -phone Store ,649.990,749.990,"
			
				Nuevo
			
			
				
					 - 
				
				7
				vendidos
			
		",(893 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 108.332
			
		
		 sin interés
		
	

	
		","
				$ 108.332
			",NA,Envío gratis a todo el país,NA,NA,4.8,18,https://perfil.mercadolibre.cl/PHONESTORE-RETAILCHILE,https://articulo.mercadolibre.cl/MLC-471445619-apple-iphone-xr-64gb-4g-plus-banda28-mica-funda-phone-store-_JM#position=10&type=item&tracking_id=671bae17-fdff-4f82-948e-c8d26631d9a9,15,3,0,0,0,#471445619,Apple,NA,NA
