search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del Celular,Modelo del Celular,Marca de la Funda,Modelo de la Funda,Material,Fabricante,Tipo de funda
1, Funda iPhone Airbag Transparente 5|6|7|8|plus|x|xr|xs|max Y Mas ,169,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6106
				vendidos
			
		",(5 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 939
		
		 sin intereses
		
	

	
		",39,NA,Llega gratis mañana,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,270,https://perfil.mercadolibre.com.mx/BROXYMEXICO,https://articulo.mercadolibre.com.mx/MLM-582143415-funda-iphone-airbag-transparente-5678plusxxrxsmax-y-mas-_JM?searchVariation=17472366030#position=1&type=item&tracking_id=542188ab-ab78-4c52-9c12-160e187e0042,233,26,5,2,4,#582143415,Apple,iPhone,BMX,iPhone XS MAX | XR | XS | X | PLUS | 8 | 7 | 6 | SE | 5,TPU,BMX,NA
2, Funda Rigida Transparente iPhone 5|6|7|8|plus|x|xs|xr|xs Max ,169,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1326
				vendidos
			
		",(1 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 939
		
		 sin intereses
		
	

	
		",39,NA,Llega gratis mañana,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,50,https://perfil.mercadolibre.com.mx/BROXYMEXICO,https://articulo.mercadolibre.com.mx/MLM-609084509-funda-rigida-transparente-iphone-5678plusxxsxrxs-max-_JM?searchVariation=22511225405#position=2&type=item&tracking_id=542188ab-ab78-4c52-9c12-160e187e0042,48,1,1,0,0,#609084509,Apple,iPhone,BMX,iPhone XS MAX | XR | XS | X | PLUS | 8 | 7 | 6 | SE | 5,TPU/Policarbonato,BMX,NA
3, Silicon Case Protector iPhone Varios Colores Y Modelos ,203,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1293
				vendidos
			
		",(167 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1132
		
		 sin intereses
		
	

	
		",32,NA,Llega gratis mañana,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,41,https://perfil.mercadolibre.com.mx/CELLKING21,https://articulo.mercadolibre.com.mx/MLM-671538364-silicon-case-protector-iphone-varios-colores-y-modelos-_JM?searchVariation=34395449949#position=3&type=item&tracking_id=542188ab-ab78-4c52-9c12-160e187e0042,35,6,0,0,0,#671538364,Apple iPhone,iphone 6 / 6 plus / 6S/ 6S plus / 7 / 7 plus / 8 / 8 plus / X / XS / XR / XS MAX,Apple,Silicon Case,Silicone / microfibra interior,NA,Liquid silicone
4, Protector Funda Case Uso Rudo iPhone 5 6 7 8 X Xs Xr Xs Max ,250,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2011
				vendidos
			
		",(210 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1389
		
		 sin intereses
		
	

	
		",89,NA,Llega gratis mañana,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,68,https://perfil.mercadolibre.com.mx/ROBERT+CG8,https://articulo.mercadolibre.com.mx/MLM-653278098-protector-funda-case-uso-rudo-iphone-5-6-7-8-x-xs-xr-xs-max-_JM?searchVariation=30591645308#position=4&type=item&tracking_id=542188ab-ab78-4c52-9c12-160e187e0042,51,12,3,1,1,#653278098,iPhone,iPhone 5 5s se 6 6s 7 8 PLUS X XR Xs MAX,OEM,Oem,Plástico,OEM,uso rudo
5, Funda Ultra Slim Silicon iPhone 6 7 8 | Plus X Xr Xs Max ,219,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2094
				vendidos
			
		",(77 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1217
		
		 sin intereses
		
	

	
		",17,NA,Llega gratis mañana,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,70,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-618319522-funda-ultra-slim-silicon-iphone-6-7-8-plus-x-xr-xs-max-_JM?searchVariation=32254069859#position=5&type=item&tracking_id=542188ab-ab78-4c52-9c12-160e187e0042,51,13,4,0,2,#618319522,Apple,iPhone,Apple,Apple,Silicona,Apple,Protector
6, Protector Funda iPhone 7 8 7 Plus 8 Plus X Xs Nuevo Uso Rudo ,250,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1983
				vendidos
			
		",(117 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1389
		
		 sin intereses
		
	

	
		",89,NA,Llega gratis mañana,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,58,https://perfil.mercadolibre.com.mx/ROBERT+CG8,https://articulo.mercadolibre.com.mx/MLM-637771698-protector-funda-iphone-7-8-7-plus-8-plus-x-xs-nuevo-uso-rudo-_JM?searchVariation=26411510022#position=6&type=item&tracking_id=542188ab-ab78-4c52-9c12-160e187e0042,45,9,2,1,1,#637771698,Apple,iPhone 5 5s se 6 6s 7 8 PLUS X XR Xs MAX,RAMEER,2018,Plástico,OEM,USO RUDO
7, Funda Tipo Piel Leather Case iPhone 6 7 8 Plus X Max Xr +mic ,269,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2641
				vendidos
			
		",(72 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1494
		
		 sin intereses
		
	

	
		",94,NA,Llega gratis mañana,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,86,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-623748083-funda-tipo-piel-leather-case-iphone-6-7-8-plus-x-max-xr-mic-_JM?searchVariation=32254170130#position=7&type=item&tracking_id=542188ab-ab78-4c52-9c12-160e187e0042,75,9,2,0,0,#623748083,Apple,6 6s 6 plus 6s plus 7 7 plus 8 8 plus X Xs Xs max Xr,Mikki,Business Leather,TPU,NA,Protector
8, Funda iPhone 7 | 8 | Plus | X | Xr | Xs | Max Slim Case ,219,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2094
				vendidos
			
		",(353 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1217
		
		 sin intereses
		
	

	
		",17,NA,Llega gratis mañana,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,70,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=kfy5Ovfccq3%2F0AVCFNituIVY2i7m2kvrQRrBB8xtr2lRqzcZij9sC91DLvDBNE6ZkkCxzWsk1IIajDdTD8Ppkr9IdvL3pj9DYKv0Vl0PcI5nS%2FT28MMF0TtfNG4T2hU5xRqQ2hw8LOQdyTS8KOE1DJLWb8j%2BitF4YNIypsqYKTQ%2Bh3Z%2F%2FMI%2Fa48XlTIa5DUPn%2FyQEBZvG%2FQExb26IjT1TqFipFLQ%2ByH9pCubb4AG1mWb52tcrppL3rU1BnuN2%2BVEssNy8QA0vmfMKCovZB3WU15NvikcJHoxOg2K7xSLmmx%2Fk2Alc6SKiLclM1eivX4VPIYt%2FAw6dY4D6sd8G37WCaWejwz0IwRme6%2BpH9R8tnO6jsmuUPSX8USuI1KqLRcgg6PqT%2Fi%2BLAfClqGDtIr7G5V7VjqeM9PQly%2Bj%2BrjXGltAu0GaLKsZdzXdXDJ2HqMpZCw1ptTNXZfRTc1WPsUqegvHwYFXGz37RcyS71yPuuKYOWLJpVsDEEzGX4cudWmPHFstLhBFG37HF6R4RVOKx5TipM4weS75BUHoi%2Fq3spO9KtlouTsug0KgAytIaxSFUOOqThkyGHm6ABxOhxBXR1JCLG%2Fg3204b4Rbu%2FJgNixhV4Ws6vz2vw%2Bek3b7azAaAHbCTJeBKZQim2%2BrOo2ego1t%2BGaERxlWPAMqRgE2Pahw02rqtMKWEDiQ%2FjZzBfk4c6QqyeutGYMUaS3sygSp8FA8rmrC5qCPaBHp9TX8%2FG4jNRkUfnqxRdiVm67z%2FuEVSaelXz10jJdSfxoLiBFPCVKeqsEiSXyJ7dmAPiOun1FSIctQLUSrgVaawN5P5EAkgrgyRpdXWtg4KzwfGLABF%2FAK8YcoJjNuHBmq1QUmY8ax5e1bIjtm%2B1BXkEZmCT4ZGNwaw10c1mBusciEptbeBCGF8qm5k9nzsH0vsw%2B6sUEgnCFtfxGX4OCAnoPxuLVT%2Fi1i0wc10Q%2B7Rf0Qu0WHExY47hNFWh6bXkeb9%2BQaWqGCY4W6v4379UWoykHOYA%2BOkZlIaJuyCeWmx3UCxPBZLUbgtrRMZ0k6rCzHhTxyfO8nkxL2%2BGKMm3P1hrbXZxnvX6gwaRw3ZcmxFCCJ23MGlQP%2By02f%2FoFFL2IFzqAIEqKhDeNCoerec2lYo1gSqhE%2Bk9%2FKuZO6dxqzxV6BXJWxxrqq5A8Z5WB5nw0A2U6kK2hU6QWF6L58n7mfBfYa8mO%2B4XbM8HS2p7CMgKFEAKoAx7P6SZZSFX%2FAKfmduS9D8hRbgONdfXlvnb0QfshPQIczvqo%2FMBep8043voeoTXhYibCfcxpRaN0yPAgViTLP4JoppTS0a7q6PlN05PLWrEgmsUw3el9kguQPMrpnFnjjnhhiNySEdiFvBI5aZUvvWFvDFPm34jUHMsXF9mxY018yaPpx1hlHDbCgFEXzv59STJqqAahNavSyBDC%2FdAgx%2FehDtmVk7Zp6Yw3%2B%2BYeugkcjNcupX9jX%2B9NOcXHrqpcKnRJsR1WNzTwFNHtU6DkhzcPi1Eiw5P%2BmNyUeYSi0ioOUGYVNnOlN6LzWqUv53IpRyTEktCZfQKP01cmuw%2BcA9VDnYfSDY7Dw1S1%2FPdvpprpqeogmT8vbB6h7dj9zyG1nHbOZYMCT53XMuST0yFdfDzRuKl7011SpQlK7AnUKHabv0xlgdtJYBFTk4jkOFqsufB8cGKe%2FWiR6hUAU9u2I6zUqDlzlzka8DL32Ikw7SCWgscolWY7z1QXr7n1GKD2vGIYfIyWQary6lyzWjd3LIVcNaFfzL3fL1kvcW5g%2Ff5Vze%2BHviK99cIV%2FcScJ1qSr1AIC6s9KBtbNmt%2FDi1V0G4EDs8E3cOevLel8ZRenmlQV%2FEsKNSikviGQ5ifJ%2Fg%3D%3D,51,13,4,0,2,#618319522,Apple,iPhone,Apple,Apple,Silicona,Apple,Protector
9, Mica + Funda Contra Golpes iPhone 6 7 8 Plus X Xs Max Xr ,169,NA,"
			
				Nuevo
			
			
				
					 - 
				
				530
				vendidos
			
		",(128 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 939
		
		 sin intereses
		
	

	
		",39,NA,Llega gratis mañana,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,36,https://perfil.mercadolibre.com.mx/BROXYMEXICO,https://articulo.mercadolibre.com.mx/MLM-612312235-funda-iphone-7-8-plus-x-xr-xs-max-slim-case-_JM?searchVariation=22511736888#position=9&type=item&tracking_id=542188ab-ab78-4c52-9c12-160e187e0042,34,1,0,1,0,#612312235,Apple,iPhone,BMX,iPhone 7 | 8 | PLUS | X,Silicona,BMX,NA
10, Mica + Funda Protector 2n1 iPhone 6 7 8 Plus X Xs Max Xr ,219,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1241
				vendidos
			
		",(155 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1217
		
		 sin intereses
		
	

	
		",17,NA,Llega gratis mañana,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,43,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-623749350-mica-funda-contra-golpes-iphone-6-7-8-plus-x-xs-max-xr-_JM?searchVariation=32254235791#position=10&type=item&tracking_id=542188ab-ab78-4c52-9c12-160e187e0042,37,3,2,0,1,#623749350,Apple,iPhone,NA,Slim Contra Golpes,TPU,Apple,Protector
