search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo
1, iPhone 8 Plus 7 Plus Funda De Silicona Transparente ,9.4,NA,5,15,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/APRECIOSDEREMATE,https://articulo.mercadolibre.com.co/MCO-525740005-iphone-8-plus-7-plus-funda-de-silicona-transparente-_JM#position=1&type=item&tracking_id=2387ac53-097b-4bce-a73b-2531ef697c1f,NA,NA,NA,NA,NA,#525740005,NA,NA
2," Funda Magnetica iPhone X; Xs Max, Xr, 7/8 Plus, 6/ 6 Plus ",35,NA,92,472,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,4,2,https://perfil.mercadolibre.com.co/BACKUPSTORECOL,https://articulo.mercadolibre.com.co/MCO-488553124-funda-magnetica-iphone-x-xs-max-xr-78-plus-6-6-plus-_JM#position=2&type=item&tracking_id=2387ac53-097b-4bce-a73b-2531ef697c1f,0,2,0,0,0,#488553124,NA,NA
3," Funda Espejo Iphone6/6 Plus 7/8 7 / 8 Plus, X Mickey Mouse ",30,NA,38,11,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,5,2,https://perfil.mercadolibre.com.co/BACKUPSTORECOL,https://articulo.mercadolibre.com.co/MCO-464139929-funda-espejo-iphone66-plus-78-7-8-plus-x-mickey-mouse-_JM#position=3&type=item&tracking_id=2387ac53-097b-4bce-a73b-2531ef697c1f,2,0,0,0,0,#464139929,NA,NA
4, Carcasa Funda Estuche iPhone ,19.999,NA,113,14,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,5,6,https://perfil.mercadolibre.com.co/MLOKEDO,https://articulo.mercadolibre.com.co/MCO-494589405-carcasa-funda-estuche-iphone-_JM?searchVariation=34800570882#position=4&type=item&tracking_id=2387ac53-097b-4bce-a73b-2531ef697c1f,6,0,0,0,0,#494589405,NA,NA
5, Funda iPhone 7/8 Plus Silicone Case ,18.9,NA,0,12,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TELEPRODUCTOS+BOGOTA,https://articulo.mercadolibre.com.co/MCO-527660171-funda-iphone-78-plus-silicone-case-_JM#position=5&type=item&tracking_id=2387ac53-097b-4bce-a73b-2531ef697c1f,NA,NA,NA,NA,NA,#527660171,NA,NA
6, Funda Sumergible /iPhone 8/7plus/ 6 Plus /8/7/6/6s/universal ,34.99,NA,17,2,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/NEXOSGROUP2010,https://articulo.mercadolibre.com.co/MCO-447917005-funda-sumergible-iphone-87plus-6-plus-8766suniversal-_JM#position=6&type=item&tracking_id=2387ac53-097b-4bce-a73b-2531ef697c1f,NA,NA,NA,NA,NA,#447917005,NA,NA
7, Spigen Tough Armor [2nd Generation] Funda iPhone 8 Plus ,119.9,NA,4,5,12 cuotas,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AKARGO+COLOMBIA,https://articulo.mercadolibre.com.co/MCO-463250747-spigen-tough-armor-2nd-generation-funda-iphone-8-plus-_JM#position=7&type=item&tracking_id=2387ac53-097b-4bce-a73b-2531ef697c1f,NA,NA,NA,NA,NA,#463250747,NA,NA
8, Fundas De Silicona Para Iphone 8 Y 8 Plus ,25,NA,0,12,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/SEBASTEANO,https://articulo.mercadolibre.com.co/MCO-495735959-fundas-de-silicona-para-iphone-8-y-8-plus-_JM#position=8&type=item&tracking_id=2387ac53-097b-4bce-a73b-2531ef697c1f,NA,NA,NA,NA,NA,#495735959,NA,NA
9, Estuche iPhone 7 8 Plus Funda D Cristal Templado Cierre Imán ,42,NA,2,9,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TEKNINN,https://articulo.mercadolibre.com.co/MCO-502290288-estuche-iphone-7-8-plus-funda-d-cristal-templado-cierre-iman-_JM#position=9&type=item&tracking_id=2387ac53-097b-4bce-a73b-2531ef697c1f,NA,NA,NA,NA,NA,#502290288,NA,NA
10, Funda Antichoque Para iPhone X - 7/8 - 7/8 Plus - Azul ,40.3,NA,5,286,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/PHONETIFYTIENDAONLINE,https://articulo.mercadolibre.com.co/MCO-483700658-funda-antichoque-para-iphone-x-78-78-plus-azul-_JM?searchVariation=40895018934#position=10&type=item&tracking_id=2387ac53-097b-4bce-a73b-2531ef697c1f,NA,NA,NA,NA,NA,#483700658,NA,NA
