search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Tipos de cabezales,Cantidad de cabezales,Sistema de afeitado,Tipo de alimentación,Tiempo de funcionamiento,Tiempo de carga
1," Terminadora Barba Y Cortadora Vello Nasal, Oido Wahl Plata ",399,NA,"
			
			
				
				1704
				vendidos
			
		",(216 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 3942
		
		 sin intereses
		
	

	
		",42,NA,Llega gratis mañana,NA,NA,4.5,66,https://perfil.mercadolibre.com.mx/CARAS1990?brandId=1233,https://articulo.mercadolibre.com.mx/MLM-604529806-terminadora-barba-y-cortadora-vello-nasal-oido-wahl-plata-_JM,49,9,3,1,4,#604529806,Wahl,Beard Home,5537-420,Plano,4,Láminas,NA,NA,NA
2, Rasuradora Taurus Minos 2.5w Recargable Navaja De Acero ,263,NA,"
			
			
				
				1101
				vendidos
			
		",(33 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 2601
		
		 sin intereses
		
	

	
		",01,NA,Envío gratis a todo el país,NA,NA,4.2,67,https://perfil.mercadolibre.com.mx/LIFTORTIENDAOFICIAL?brandId=1084,https://articulo.mercadolibre.com.mx/MLM-591638162-rasuradora-taurus-minos-25w-recargable-navaja-de-acero-_JM,38,14,10,2,3,#591638162,Taurus,Minos,Minos,Planos,1,Láminas,Recargable,45,45 m
3, Maquina Para Rasurar Rasuradora Recargable 14 Pzs Wahl Full ,244,NA,"
			
				Nuevo
			
			
				
					 - 
				
				454
				vendidos
			
		",(117 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1361
		
		 sin intereses
		
	

	
		",61,NA,Envío a todo el país,NA,NA,5.0,5,https://perfil.mercadolibre.com.mx/PSACOMPUTOYPAPELERIA,https://articulo.mercadolibre.com.mx/MLM-679723274-maquina-para-rasurar-rasuradora-recargable-14-pzs-wahl-full-_JM,5,0,0,0,0,#679723274,Wahl,Higiene Personal,9685,Removibles,NA,NA,Recargable,NA,NA
4, Máquina Philips Norelco Rasuradora Terminadora Barba Nariz Y Oídos Con Envío Gratuito Full ,599,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1624
				vendidos
			
		",(77 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 3328
		
		 sin intereses
		
	

	
		",28,NA,Llega gratis mañana,NA,NA,4.8,101,https://perfil.mercadolibre.com.mx/GIMPORTACIONESMX,https://articulo.mercadolibre.com.mx/MLM-596508768-maquina-philips-norelco-rasuradora-terminadora-barba-nariz-y-oidos-con-envio-gratuito-full-_JM,85,13,2,1,0,#596508768,Philips,Series 3000,Multigroom 3000,Removible,3,Láminas,Recargable,60 m,NA
5, Rasuradora Recargable Wahl 14pzs Recontruida De Fabrica ,244,442,"
			
				Nuevo
			
			
				
					 - 
				
				550
				vendidos
			
		",(206 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1358
		
		 sin intereses
		
	

	
		",58,NA,Envío a todo el país,NA,NA,4.3,16,https://perfil.mercadolibre.com.mx/TC+MEMORY.,https://articulo.mercadolibre.com.mx/MLM-669844256-rasuradora-recargable-wahl-14pzs-recontruida-de-fabrica-_JM,9,3,4,0,0,#669844256,Wahl,rasuradora,All-In-One,Removibles,NA,NA,Recargable,40 minutos,NA
6, Rasuradora Trimmer Solo Micro Touch Barba Bigote Afeitadora ,995,NA,"
			
				Nuevo
			
			
				
					 - 
				
				106
				vendidos
			
		",(9 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 9830
		
		 sin intereses
		
	

	
		",30,NA,Llega gratis mañana,NA,NA,5.0,1,https://perfil.mercadolibre.com.mx/DIRECTISHOP+OFICIAL,https://articulo.mercadolibre.com.mx/MLM-644599481-rasuradora-trimmer-solo-micro-touch-barba-bigote-afeitadora-_JM,NA,NA,NA,NA,NA,#644599481,MicroTouch,Trims,Microtouch Solo,Pivotantes,1,Láminas,Recargable,45,9 h
7, Afeitadora Rasuradora Philips Norelco Edición Esp Star Wars ,780,NA,"
			
			
				
				136
				vendidos
			
		",(29 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 7706
		
		 sin intereses
		
	

	
		",06,NA,Llega gratis mañana,NA,NA,4.8,13,https://perfil.mercadolibre.com.mx/CARAS1990?brandId=1233,https://articulo.mercadolibre.com.mx/MLM-652811828-afeitadora-rasuradora-philips-norelco-edicion-esp-star-wars-_JM,10,1,1,0,0,#652811828,Philips,Norelco / Star Wars,SW175,Giratorios,2,Rotativo,Recargable,40m,1 h
8," Philips Norelco Maquina Recortadora Barba Bigote Delineadora, Nasal Original ",589,NA,"
			
				Nuevo
			
			
				
					 - 
				
				193
				vendidos
			
		",(18 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 3272
		
		 sin intereses
		
	

	
		",72,NA,Llega gratis mañana,NA,NA,4.7,6,https://perfil.mercadolibre.com.mx/TEKLIFE,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=wnJcflh4xHlc6iMgSSk8YbVftjAaPSlb8KA9txNM%2B1RfEM5vCnx3aMWluz%2B5xLnwBWwxdek8viPLZMqh9ThnhqNkOj%2FFgt3ZactHBYH2zGMJvOhggJAmc9UwLJ22d4zE%2B1FVTPR6yQsFuciMay0Spz%2FX8liMUyxTriIPypi5%2F5r4VbNOEce9a3VuXaSlUJx84GLe%2FOAz1WGvrAio1jArIYT%2FL%2FfH8fG6iZfrDphOXaQV1uDRnkVGgxwfIaAaBuBXZh2F19ImkWMtEnczyUFn1jRF0pkVXsmJCkimta4SsuA23hCJ8SHFAO218kHp4woO9DbYi07wB%2B7P06vWiEzy7LOMYteje7hiEjHWlmrNVcN6rqzTgumtVXy7lGDdHt4GxgDhHlHkDtwAO06eKOyqYC4TPG%2BtLU7rbIl6f7CTSc5yDdQhfgjcDYix4YpTpC5zR2obHZcPGy4cTf71voUkbNv613CF7jnIM%2FFGot3uuqLOwNZuftsCvn6ZcdNiIpJGfzcdrhggkRd56LbVL9yCIfmg98bYpYRytjm5vKxq%2Fo4Ys348D3KCI2N%2BVyUy6bOtKobIBCeXIjsLlXEZbJ%2BD33FxEyD%2FunQXC1YqAmsuo%2BUCaxb%2FoMK6%2Bo1hU%2FYw8VXnywR3AY%2BCbVMqS3Qc5Pnroy2aKirKI7bvvRf8SPBC4vFga2ZgyWt7tl9txj4JuF3KH9arks5jF6vSxGvbSDPliWMrvehlUWpBnNE0pDDM2fc%2FRbrymZSOuBJFj0DYYyTWFzqvHjcdGUHZFFBDDHkcYIa459FJ6ubM69vDHowkHJefihQuxH8HSoCRsNgsVMeUwxrPF7zGWZV34hRldPBsyt9Zt8%2FFUDFh383gG8GCiCXvjWY%2BNQkCHpTDp2UJaVmyJruy7g6c69xiPNM2lTyhGjcWi2%2B0NEdvM2Rz4DSdVZlvnazhIX%2BnNJT%2BhAb4vWliblXhZ%2FooofBtDqhRZL%2BgX5tcjJzCHAxq60pQr0j2YV%2BdpGGolBVPQiy0q4g%2FsKuZLlWvXB%2F2uQkOddNui1ZzQevHCJYrNIX4Cijogi%2FXOdr1t8u6CsgICaMY0IQvfo5A9qQnDPsaVq40QiP%2Bnaqp87bNhmIjD71WxfpUouAriB2Mtko4tRzSnU4V5QO0wclqF8vT2SCYybZFY35RH6YY%2FFCUA6HmIvTLjBPDW323WbQApi%2F74drFFJgp6Mhvdv0VHxfNv9t3C8aR3Er%2Bs%2FkYZ%2Bel7tI9d8q3v%2F6rtfDgIaGZN20YX9X8AqLDrHj2YRSDFw8Ob7F9EhR0JklMsdiS9CpTkFoEoRgq9jmG0FZG2NDcSPJzaHSpZT%2BmD6r0GrIVqeXlXBy%2FBMJw57JXJ%2FaQTGCSpkbb5GHOXXu7eIpFfUpiaZW7emfeHuHb6gaYFr%2BZ7WdO7R6tng7FlNec4GSoxRw6h2E8CwYuSuuQljcpyQGr5KgwHnhMkTbPDm0FVhFC9yfm2QYsBOYUV9VCh0AmzrK4mAjkW8A5ivXaYKpY1GdsZy3InkZ5IMfxHgNJoDx0UWGU4DhfxoKPoU6N1Me4L%2Ft1EG7RnvS1gP74NdDoA3NVTdggrAmQLbKIzNbpKiRKir8mLvXYBjg2ZdcSc25iQ1LD6iNfyioyYsIpWcrr7KEFzc7rxEM17bfhD9H1JAbRg8Hw4XMfAj1XupgXv7Td46lGPjcuz3BbiaNw9qkB0IcEfC4FDsy8wk9nWZl9Jh%2BoyUAqMS2GyIc9MQsKjaaGouwsAukKNn1Lp7kww1OA1%2FOuItJlViFQ1fS7ynvFd4X%2FgKd2vmAeuG5lMJ0wVFAs0x2LL3cjXczL9ojRXKoqfvkOWPPQkX74KPu%2BZL10MlWfpVbJ2l6vCfBCNl5xmt0qZA2G0X7%2FfoPBA61a%2FO%2FY%2FA%3D%3D,4,2,0,0,0,#643071800,Philips,Recortadora,Multigroom 3000,NA,NA,NA,Eléctrica,NA,NA
9, Rasuradora Eléctrica Qp2510/10 + Repuesto Cuchilla Oneblade ,899,NA,"
			
			
				
				751
				vendidos
			
		",(279 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 4994
		
		 sin intereses
		
	

	
		",94,NA,Llega gratis mañana,NA,NA,4.9,20,https://perfil.mercadolibre.com.mx/IBUSHAK+OFICIALES?brandId=270,https://articulo.mercadolibre.com.mx/MLM-661343849-rasuradora-electrica-qp251010-repuesto-cuchilla-oneblade-_JM,18,2,0,0,0,#661343849,Philips,OneBlade,QP2510/10,Planos,1,Láminas,Recargable,30 minutos,8 h
10, Rasuradora Afeitadora Wahl Recargable All In One 14pzs Nueva ,389,NA,"
			
				Nuevo
			
			
				
					 - 
				
				157
				vendidos
			
		",(140 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 2161
		
		 sin intereses
		
	

	
		",61,NA,Llega mañana,NA,NA,4.8,4,https://perfil.mercadolibre.com.mx/ELECTRONICS.MEXICO,https://articulo.mercadolibre.com.mx/MLM-666698396-rasuradora-afeitadora-wahl-recargable-all-in-one-14pzs-nueva-_JM,3,1,0,0,0,#666698396,Wahl,all in one,9685-200,Nariz y Oído Trimmer,NA,NA,Recargable,80 m,NA
