search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca da Capa,Marca de Celular,Modelo de Celular,Modelo da Capa,Tipo de capa,Material,Cor
1, Capinha Silicone Ultra Fina Casca De Ovo iPhone 8 / 8 Plus ,11,NA,14,87,2x,6.18,NA,Envio para todo o país,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/OLIST?brandId=866,https://produto.mercadolivre.com.br/MLB-1189824344-capinha-silicone-ultra-fina-casca-de-ovo-iphone-8-8-plus-_JM,NA,NA,NA,NA,NA,#1189824344,Hrebros,NA,NA,NA,NA,NA,NA
2, Capinha Capa Silicone C/ Logo iPhone 6s 7 8 Plus X Xr Xsmax ,33,NA,889,4480,6x,5.66,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,13,https://perfil.mercadolivre.com.br/MALE2382936,https://produto.mercadolivre.com.br/MLB-1248683581-capinha-capa-silicone-c-logo-iphone-6s-7-8-plus-x-xr-xsmax-_JM?searchVariation=38604797226,10,2,1,0,0,#1248683581,Silicone,Apple,iPhone 6 / 6s / 6 Plus / 6s Plus / 7 / 7 Plus / 8 / 8 Plus / X / XR / XS / XS Max,iPhone 6 / 6s / 6 Plus / 6s Plus / 7 / 7 Plus / 8 / 8 Plus / X / XR / XS / XS Max,Apple Case,Silicone e microfibra(camurça),NA
3, Capa Capinha Ultra Fina Fosca iPhone 6s Plus 7 8 Plus Novo ,22,NA,852,78,4x,5.72,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,16,https://perfil.mercadolivre.com.br/BULIERMODASACESSORIOS,https://produto.mercadolivre.com.br/MLB-1026051169-capa-capinha-ultra-fina-fosca-iphone-6s-plus-7-8-plus-novo-_JM?searchVariation=25994987550,11,3,0,0,2,#1026051169,Bumper,Apple,Iphone,Silicone,Slim,Silicone,NA
4, Capa Anti Impacto + Película Gel P iPhone 5 6 7 8 10 X Xs Xr ,16,NA,979,11,3x,5.66,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,28,https://perfil.mercadolivre.com.br/NOMOTEC,https://produto.mercadolivre.com.br/MLB-1047628140-capa-anti-impacto-pelicula-gel-p-iphone-5-6-7-8-10-x-xs-xr-_JM?searchVariation=36089029726,20,5,2,0,1,#1047628140,HR,Apple,Iphone,TPU,Capinha de silicone,Silicone,NA
5, Capa Capinha Magnetica Luxo iPhone 7 8 Plus X Xs Xr Xs Max ,54,NA,462,7504,10x,5.50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,12,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1213994623-capa-capinha-magnetica-luxo-iphone-7-8-plus-x-xs-xr-xs-max-_JM?searchVariation=38590025464,12,0,0,0,0,#1213994623,jk capas,Apple,iphone,Magnética,capa protetor,metal e vidro,NA
6, Capa Capinha Ultra Fina Fosca iPhone 5 6 7 8 Plus Xs Xr Max ,35,NA,290,10938,6x,5.83,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,9,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1197368219-capa-capinha-ultra-fina-fosca-iphone-5-6-7-8-plus-xs-xr-max-_JM?searchVariation=34356084379,9,0,0,0,0,#1197368219,jk capas,iPhone,iphone,ultra fina fosca,capa protetor,TPU/Policarbonato,NA
7, Capa Capinha Anti Impacto 4em1 iPhone 6 7 8 Plus Xr X Xs Max ,49,NA,259,16495,6x,8.33,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,14,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1210095124-capa-capinha-anti-impacto-4em1-iphone-6-7-8-plus-xr-x-xs-max-_JM?searchVariation=35219107406,11,2,1,0,0,#1210095124,JK CAPAS,Apple,IPHONE,CAPA 4 EM 1 ANTI IMPACTO,CAPA PROTETOR,TPU/Policarbonato,NA
8, Capinha Capa Case Silicone iPhone 7 Plus 8 Plus Aveludada ,29,NA,214,286,5x,5.80,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,9,https://perfil.mercadolivre.com.br/REI_CELULAR,https://produto.mercadolivre.com.br/MLB-1165539317-capinha-silicone-aveludado-iphone-8-plus-verde-agua-_JM,8,1,0,0,0,#1165539317,Apple,Apple,Iphone 8 Plus,iPhone 8 Plus,Silicone,Silicone,NA
9, Capinha Silicone Aveludado iPhone 8 Plus Verde Agua ,22,NA,467,68,4x,5.72,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,10,https://perfil.mercadolivre.com.br/BULIERMODASACESSORIOS,https://produto.mercadolivre.com.br/MLB-1026034649-capinha-ultra-fina-fosca-iphone-6-6s-plus-7-plus-8-luxo-capa-_JM?searchVariation=23594227857,7,2,1,0,0,#1026034649,Bumper,Apple,Iphone,Silicone,Slim,Silicone,NA
10, Capinha Ultra Fina Fosca iPhone 6 6s Plus 7 Plus 8 Luxo Capa ,15,NA,494,18,3x,5.33,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,7,https://perfil.mercadolivre.com.br/TECMODENA,https://produto.mercadolivre.com.br/MLB-1230329082-capa-anti-impacto-p-iphone-6-7-8-10-x-xs-xr-pelicula-vidro-_JM?searchVariation=37033346817,5,2,0,0,0,#1230329082,HR,Apple,Escolher no anúncio.,TPU,Capinha,Silicone,NA
