search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del Celular,Modelo del Celular,Marca de la Funda,Modelo de la Funda,Material,Fabricante,Tipo de funda
1, Funda iPhone 5|6|7|8|plus|x|xs|xr|xs Max Airbag Transparente ,169,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5612
				vendidos
			
		",(41 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 939
		
		 sin intereses
		
	

	
		",39,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,253,https://perfil.mercadolibre.com.mx/BROXYMEXICO,https://articulo.mercadolibre.com.mx/MLM-582143415-funda-iphone-5678plusxxsxrxs-max-airbag-transparente-_JM?searchVariation=17472366030,218,26,3,2,4,#582143415,Apple,iPhone,BMX,iPhone XS MAX | XR | XS | X | PLUS | 8 | 7 | 6 | SE | 5,TPU,BMX,NA
2, Protector Funda Case Uso Rudo iPhone 5 6 7 8 X Xs Xr Xs Max ,250,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1712
				vendidos
			
		",(183 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1389
		
		 sin intereses
		
	

	
		",89,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,53,https://perfil.mercadolibre.com.mx/ROBERT+CG8,https://articulo.mercadolibre.com.mx/MLM-653278098-protector-funda-case-uso-rudo-iphone-5-6-7-8-x-xs-xr-xs-max-_JM?searchVariation=30591645308,42,9,2,0,0,#653278098,iPhone,iPhone 5 5s se 6 6s 7 8 PLUS X XR Xs MAX,OEM,Oem,Plástico,OEM,uso rudo
3, Funda Ultra Slim Transparente iPhone 6 7 8 Plus X Max +mica ,239,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1071
				vendidos
			
		",(56 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1328
		
		 sin intereses
		
	

	
		",28,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.3,25,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-651098477-funda-ultra-slim-transparente-iphone-6-7-8-plus-x-max-mica-_JM?searchVariation=32254386866,18,3,1,0,3,#651098477,Apple,6 6s 7 8 Plus X Xs Max Xr,Gurio,Ultra Thin,TPU,Apple,Protector
4, Funda Tipo Piel Leather Case iPhone 6 7 8 Plus X Max Xr +mic ,269,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2278
				vendidos
			
		",(29 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1494
		
		 sin intereses
		
	

	
		",94,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,75,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-623748083-funda-tipo-piel-leather-case-iphone-6-7-8-plus-x-max-xr-mic-_JM?searchVariation=32254170142,68,6,1,0,0,#623748083,Apple,6 6s 6 plus 6s plus 7 7 plus 8 8 plus X Xs Xs max Xr,Mikki,Business Leather,TPU,NA,Protector
5, Protector Funda iPhone 7 8 7 Plus 8 Plus X Xs Nuevo Uso Rudo ,250,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1715
				vendidos
			
		",(128 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1389
		
		 sin intereses
		
	

	
		",89,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,46,https://perfil.mercadolibre.com.mx/ROBERT+CG8,https://articulo.mercadolibre.com.mx/MLM-637771698-protector-funda-iphone-7-8-7-plus-8-plus-x-xs-nuevo-uso-rudo-_JM?searchVariation=26411510022,35,8,2,1,0,#637771698,Apple,iPhone 5 5s se 6 6s 7 8 PLUS X XR Xs MAX,RAMEER,2018,Plástico,OEM,USO RUDO
6, Funda Ultra Slim Silicon iPhone 6 7 8 | Plus X Xr Xs Max ,219,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1791
				vendidos
			
		",(58 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1217
		
		 sin intereses
		
	

	
		",17,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,59,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-618319522-funda-ultra-slim-silicon-iphone-6-7-8-plus-x-xr-xs-max-_JM?searchVariation=32254069859,42,11,4,0,2,#618319522,Apple,iPhone,Apple,Apple,Silicona,Apple,Protector
7, Funda Magnética De Metal Con Vidrio 9h iPhone Y Samsung ,249,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1031
				vendidos
			
		",(358 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1383
		
		 sin intereses
		
	

	
		",83,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.1,19,https://perfil.mercadolibre.com.mx/IBUMPER+VERACRUZ,https://articulo.mercadolibre.com.mx/MLM-638119024-funda-magnetica-de-metal-con-vidrio-9h-iphone-y-samsung-_JM?searchVariation=29751866132,11,3,2,2,1,#638119024,Apple,6/6S/6Plus/6SPlus/7/7Plus/8/8Plus/X/XS/XSMAX/XR/ Samsung S7Edge/S8/S8+/S9/S9+/Note8/Note9,NOHON,Magnética Metálica 9H,Aluminio,NOHON,Bumper Metálico con Vidrio 9H
8, Funda Ultra Slim Transparente iPhone 6 7 8 Plus X Max +mica ,239,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1071
				vendidos
			
		",(56 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1328
		
		 sin intereses
		
	

	
		",28,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.3,25,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=rEQBFbDHPNlvhNfDi8gFuK03csPmMjrXtNIRzAkgNCmV9%2Fat4%2FhOaiKw%2Fs%2BmqCYKHIRkJe3e%2Bx4bsDOobMIqOD7TA8BZWMRHovAG0EalrDFfNwvhYpb6i%2BZ2b0P6XBTDaMsB50Jpw0FGsn%2B5KEjTCrQeZvGtLdzFSS3xWgP9q3mfF7%2BbT7KAY8ahnxv%2FLZhqImDL0%2BkZE%2FcL6WlZxhNcj42xaO7gMePbD%2BxDuXKBsyS33a7%2F2D0UGKI3PcoHGZFlqlzN6brPpfZHBV0OLSPTZzeNTNptX7qZni5a3MCAHxk8X%2BRhs%2FOSypreB7LF7S5UBBD2EzIeyyUiM7YCMQXCWNc6sYVdodNVAABs5AsCRorjketQM%2FnQD4ogee%2BI%2FwrqhYzHPd%2FkNlXaL5fUxwIaIJaYcm2bZ%2BbRo6b9kFWvIhUCH6yIduy1Od7xOmMksW6Owr3tI2dzUEEvHVp09l%2BWyH3USOOLGRp28ptPD%2FIzvWy9FUhMUFVudV7lMXuiRV5QrNA69nDhhmKRp8SVijSKdhSBnK4OdHkji9gTmmpxXjfAkz3NckiE%2FW0jS2PT9v0wRSzj78wHMqVNhKuk1afBt5S57gj4kvtYzU352Z%2FASjsNIbu2SxbYR4%2FiHJU7DZCtqAtn%2BJ5MgYYfzmWVNYzmjcw%2BP2XyUpv4cqj%2FyzO7IM54cw0uiTp9kFNBtU1MkunrzJOmfXTz4PyfaVSjMFMckSs0BJ6AJw6bjavXZxoYeybTXP3cIjoj32YFSAf7UzNI%2BcHg57HhkdVwUfWQXmFIksNGzL6cWnmLSJrlIrpUGe9nn9VHsJxsBtv99xJscKuXK4kEjhoHDHTaiQGIuMH3S1wfDFlilkgMa2Q8vMuhxqAiyiY7Oq4NkCsRlR2JyWCswLCmsGmnSJ09TqzAB%2Fopt4%2Bmg1eJ2yTsma4SSX7VuM8AphpjmLmeTQfdjPmcvbhXrJ9mLrzMx%2FgOi5QFA3%2F6wTkpiq5PZhgKid%2BLRJV3GNkMQ2lhWGPSCiYVNqEEpuITwMzJjJhMylMl1VgKHjaezaWHM6nbEY2Lr9xI20kqNeXPwYpsA%2FUvy4xjp5YYfYcVO2lnXkzrSjA9v20uRc1%2FQmvJLc0xAhCgJESJGBlUYKKJoCBuwMgprw1FTTDcO15pOzoBEH7ZARv0sVDAE7uPTI2a2TaDatv6LTYm8820o9ToeFHQpW4dggRk5t4%2B7CpVz0bXHh2%2BR41%2FV0ElyDxXrUXl9CERkJu%2F9ZTesoOL7d2F9fMU4pYVJVr56g15NDH5oEVcNUdYH3%2FVxCL7OBwshy2F%2FOMBFp8ONEw8E652CidOe945rdyRVw5xGQegU1kRncFKidDl8mr%2FyyxSEoQpIUbJDhIkByFnqA6JVOSiNvXCt%2B0%2BwNw9yZSZVwTvy3zg3crmidmc4SM9FVLdUPHLdti7O2FYh954%2FkndztCQ7n%2FH1HaDtaVgfJLBly%2FXJzXRQxouL2r53ikQH%2FetzEFO%2F%2FSDbzHoVmjYrlbml9THUOTvDbH%2Fix3iPI4sZ9TTGtoWYKvozPNUGtZrG7%2BwJZ6WdwgoX8SLwlkGmU0obFIDmIdgVhOO5YPkeqb5HR9%2BiV9xa6uL0IQfOU7YcPHZNOsIqVRPqiNurKIVjBlp3pgy%2Fu%2FulHyuBgUEScHnnIg8TERWKJkemC7iD2YY%2BRsqphs8prp5YvFzTn27muWq8%2B%2FWmt7C8N1kWxp02zkYIjAiOYgWczBZ%2B4XQOh7ROa94o9nqatBFjkOhze%2B3chJaaQY%3D,18,3,1,0,3,#651098477,Apple,6 6s 7 8 Plus X Xs Max Xr,Gurio,Ultra Thin,TPU,Apple,Protector
9, Case Funda Magnetica Aluminio iPhone X Xr Xs Max 6 7 8 Plus ,279,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1160
				vendidos
			
		",(128 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1550
		
		 sin intereses
		
	

	
		",50,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,3.7,29,https://perfil.mercadolibre.com.mx/TEKKNOSHOP,https://articulo.mercadolibre.com.mx/MLM-599328986-case-funda-magnetica-aluminio-iphone-x-xr-xs-max-6-7-8-plus-_JM?searchVariation=31761977872,14,5,2,3,5,#599328986,Apple,iPhone,Apple,Magnetic-Adsorption,Aluminio y Cristal,Varios,Magnética
10," Protector Funda Skyfall iPhone X, 6 6 Plus 7 7 Plus 8 8 Plus ",199,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3459
				vendidos
			
		",(55 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1106
		
		 sin intereses
		
	

	
		",06,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.1,160,https://perfil.mercadolibre.com.mx/ROBERT+CG8,https://articulo.mercadolibre.com.mx/MLM-590567485-protector-funda-skyfall-iphone-x-6-6-plus-7-7-plus-8-8-plus-_JM?searchVariation=21340361935,91,33,14,9,13,#590567485,Apple,iPhone 5 5s se 6 6S 7 8 X XR Xs MAX PLUS,INNOVACEL,SKYFAL,Acrílico,OEM,trasera tpu + plastico
