search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del Celular,Modelo del Celular,Marca de la Funda,Modelo de la Funda,Material,Fabricante,Tipo de funda
1, Funda iPhone 5|6|7|8|plus|x|xs|xr|xs Max Airbag Transparente ,169,NA,5664,37,18 meses,9.39,NA,Llega mañana,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,253,https://perfil.mercadolibre.com.mx/BROXYMEXICO,https://articulo.mercadolibre.com.mx/MLM-582143415-funda-iphone-5678plusxxsxrxs-max-airbag-transparente-_JM?searchVariation=17472366030,218,26,3,2,4,#582143415,Apple,iPhone,BMX,iPhone XS MAX | XR | XS | X | PLUS | 8 | 7 | 6 | SE | 5,TPU,BMX,NA
2, Protector Funda Case Uso Rudo iPhone 5 6 7 8 X Xs Xr Xs Max ,250,NA,1741,178,18 meses,13.89,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,55,https://perfil.mercadolibre.com.mx/ROBERT+CG8,https://articulo.mercadolibre.com.mx/MLM-653278098-protector-funda-case-uso-rudo-iphone-5-6-7-8-x-xs-xr-xs-max-_JM?searchVariation=30591645308,44,9,2,0,0,#653278098,iPhone,iPhone 5 5s se 6 6s 7 8 PLUS X XR Xs MAX,OEM,Oem,Plástico,OEM,uso rudo
3, Funda Ultra Slim Transparente iPhone 6 7 8 Plus X Max +mica ,239,NA,1114,43,18 meses,13.28,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.3,27,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-651098477-funda-ultra-slim-transparente-iphone-6-7-8-plus-x-max-mica-_JM?searchVariation=32254386866,18,5,1,0,3,#651098477,Apple,6 6s 7 8 Plus X Xs Max Xr,Gurio,Ultra Thin,TPU,Apple,Protector
4, Funda Tipo Piel Leather Case iPhone 6 7 8 Plus X Max Xr +mic ,269,NA,2311,22,18 meses,14.94,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,77,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-623748083-funda-tipo-piel-leather-case-iphone-6-7-8-plus-x-max-xr-mic-_JM?searchVariation=32254170142,68,8,1,0,0,#623748083,Apple,6 6s 6 plus 6s plus 7 7 plus 8 8 plus X Xs Xs max Xr,Mikki,Business Leather,TPU,NA,Protector
5, Protector Funda iPhone 7 8 7 Plus 8 Plus X Xs Nuevo Uso Rudo ,250,NA,1759,115,18 meses,13.89,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,46,https://perfil.mercadolibre.com.mx/ROBERT+CG8,https://articulo.mercadolibre.com.mx/MLM-637771698-protector-funda-iphone-7-8-7-plus-8-plus-x-xs-nuevo-uso-rudo-_JM?searchVariation=26411510022,35,8,2,1,0,#637771698,Apple,iPhone 5 5s se 6 6s 7 8 PLUS X XR Xs MAX,RAMEER,2018,Plástico,OEM,USO RUDO
6, Funda Ultra Slim Silicon iPhone 6 7 8 | Plus X Xr Xs Max ,219,NA,1816,44,18 meses,12.17,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,62,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-618319522-funda-ultra-slim-silicon-iphone-6-7-8-plus-x-xr-xs-max-_JM?searchVariation=32254069859,44,12,4,0,2,#618319522,Apple,iPhone,Apple,Apple,Silicona,Apple,Protector
7, Funda Magnética De Metal Con Vidrio 9h iPhone Y Samsung ,249,NA,1049,354,18 meses,13.83,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.1,19,https://perfil.mercadolibre.com.mx/IBUMPER+VERACRUZ,https://articulo.mercadolibre.com.mx/MLM-638119024-funda-magnetica-de-metal-con-vidrio-9h-iphone-y-samsung-_JM?searchVariation=29751866132,11,3,2,2,1,#638119024,Apple,6/6S/6Plus/6SPlus/7/7Plus/8/8Plus/X/XS/XSMAX/XR/ Samsung S7Edge/S8/S8+/S9/S9+/Note8/Note9,NOHON,Magnética Metálica 9H,Aluminio,NOHON,Bumper Metálico con Vidrio 9H
8, Funda Ultra Slim Transparente iPhone 6 7 8 Plus X Max +mica ,239,NA,1114,43,18 meses,13.28,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.3,27,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=%2FofgWjA8qZXeTuZh6oOPO8VOYuH0Okgc4RzYGreG6BHbw3LeQwwl4CQihya1mT1ckEue91Eef1JqtMDOO4zSDtVu8ATWFAn96UdGCbM%2BnHe6kjZez%2BPj%2BR3AbPPzr7mcAGFCgbCIeQ57TVgA05YAl3d6xvluoM7EuETCXHZ%2Bv34DjG6%2BdAnykt7sHdgOmkNVODi%2BKme5DY%2BPigqmz6tc424NcY78vH48fI%2BYouyTCWVjl71RhIcgElNbPsPW9a8NdBDTfW6oFWwziPYMQhBTB%2BWEuTQwrfpe5Nsy%2FHLVcWL%2F0wjG%2FYoDKuJ7gOL9%2FlWqVliF%2F0CerRO1E0pXwdr6zpr70P1HQW8MTd7pTC3eFHxztkJ49nJZt2xVbgH88ZdCu9HDdMuo2HVc89q6KOQ93OdCyNK8HwE7KXX%2F8Dk5ItCklzVtFaWNel3s8d33M4IjVwc2v%2FOUrSp2uQ%2FhAUyeVKrFlQoAXXd81dfo4YioeejetEoJSTJA%2F2B3NvYlMonO%2BGapQUc4qBGjRquuYC320Y4YnYlQxY%2BVykjdRAlAWa4x6FXLpaup27DpbRiGSNx77hjtGjYKsZUrnC0J1F5zuqN5XtZos%2BF%2B0cMzZctEEuXd4Vi9XEBCelTL7gvXFJxh%2BG8MtK4qxYAx6Zyifz15aTXo5YgUr4cfCOci%2BQ1jaaRz5NdWSwOwoVeO5TkZ8pSJYzfJ%2BA6N50BsIYMyo3g5MxIqqj%2ByBVkdiY5OqYZiofzK1lEqStilaOPkMmeTKAvzdUcI4qrcyskX%2FoWzRCqJw1lHNwiE8dmlh1j6ktlSbJzGtJumOVygSN12bRQzumvSoamQbodVIqh9kTISHIRysnqzRsH76MzWvFM888sSkz0K%2BhLEJMRwNWBzqAdbZGOSV33iqcycJLu7%2FGmYZC7kDXqyCdklxU9BWcbcJxlHVxsD3NaGBhgLDdTKl3PpnsL7Wu4d3VBbnLWE3wzfHpneXfgZVv0Fa1mcWgc1OH1lFlbPQ2zbKWO%2FTZF%2FAtagnabcQ58G4Kv6uc3JDPS3c8BkoZ6eQk60i7Wu0L0oh47OviPhkcU2n0BNXExRUrMJ5PNGv%2FRY1yobA70D145a2NJSwf6N67%2FAegILglj2zEbtG6MR%2B4hnX8QYqOkWSR3GuiUF9VzkFpB2jb%2FJas2kK3IqLd81%2FYX5snns%2B8kUan%2FcZh%2FxK68FmNApYNwWUw7QUny88zcpjUi2bJZz%2BhVvOu5y9svuzz2D2DtKe%2Bn5gN19WjdkD%2BsD4E3waL8O1D5aKzUUweTYmS%2BZfsC8kMKZlVVxJbvp5wLXLpvt5JaHJTpiuPV9jVtdo9FWqVe5fe5JurkoGSo%2FuXS500GdDztWFkW1yX9QrIqqtgRRSieA56ejyaYl3GOacPZo0c4RU2o7WxmwUjENNxjHYD5MzQ4R%2B8mVsMp8rN%2FTog5jRdTm4uZRyWnDVBAqUIXhprP6UqVXGVr1HgDPQODQG0fITI6G3pFdKOcD879xy3Lxa3X0fdjvYxTd%2BA4QeW6OTJkpSw3BT9pZoi6XNfqsxLiXnN9Rgl1y38FROIMQfJbT0bqj%2Bsf2kfY3TvFnRCCnCLKGcDVLN7ZeTz3eF16yTA%2Bb%2BE3v0fdk1OJGQlQGM2KWzOt0YjBwNaaGcK2rv7%2FJQ7BtN%2BQOXqWxsQpySJf%2B079P1GYOjqijrvMml6MrOt8z7w%2BDFe0ZoDshTVb2d3yyOw3gpCnLMVYPNai6Xe5ei7qwdrQXtK%2FJf5gxLF6g576Q6ukwLQ%3D%3D,18,5,1,0,3,#651098477,Apple,6 6s 7 8 Plus X Xs Max Xr,Gurio,Ultra Thin,TPU,Apple,Protector
9, Silicon Case Protector iPhone Varios Colores Y Modelos ,203,NA,784,53,18 meses,11.32,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,25,https://perfil.mercadolibre.com.mx/CELLKING21,https://articulo.mercadolibre.com.mx/MLM-671538364-silicon-case-protector-iphone-varios-colores-y-modelos-_JM?searchVariation=34395449953,21,4,0,0,0,#671538364,Apple iPhone,iphone 6 / 6 plus / 6S/ 6S plus / 7 / 7 plus / 8 / 8 plus / X / XS / XR / XS MAX,Apple,Silicon Case,Silicone / microfibra interior,NA,Liquid silicone
10, Case Funda Magnetica Aluminio iPhone X Xr Xs Max 6 7 8 Plus ,279,NA,1173,127,18 meses,15.50,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,3.7,29,https://perfil.mercadolibre.com.mx/TEKKNOSHOP,https://articulo.mercadolibre.com.mx/MLM-599328986-case-funda-magnetica-aluminio-iphone-x-xr-xs-max-6-7-8-plus-_JM?searchVariation=31761977872,14,5,2,3,5,#599328986,Apple,iPhone,Apple,Magnetic-Adsorption,Aluminio y Cristal,Varios,Magnética
