search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del Celular,Modelo del Celular,Marca de la Funda,Modelo de la Funda,Tipo de funda,Material
1, Funda Silicone Case 5s Se 6 6s 7 Plus iPhone 8 Plus Original ,499,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2057
				vendidos
			
		",(331 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,68,https://perfil.mercadolibre.com.ar/REMOTODOMICILIO,https://articulo.mercadolibre.com.ar/MLA-689528238-funda-silicone-case-5s-se-6-6s-7-plus-iphone-8-plus-original-_JM,52,10,4,0,2,#689528238,Apple,Iphone,Apple,Silicone Case,Silicone case,Silicona
2, Funda Silicone Case iPhone 8 6s 7 Plus Se + Vidrio Templado ,599,NA,"
			
				Nuevo
			
			
				
					 - 
				
				689
				vendidos
			
		",(377 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,12,https://perfil.mercadolibre.com.ar/REMOTODOMICILIO,https://articulo.mercadolibre.com.ar/MLA-722492563-funda-silicone-case-iphone-8-6s-7-plus-se-vidrio-templado-_JM?searchVariation=34039427293,11,1,0,0,0,#722492563,Apple,Ihone 6s 7 8 Plus,Apple,Silicone Case,Silicone Case,Silicona
3, Funda Silicone Case iPhone 8 7 Plus 5s Se 6 6s Original ,499,NA,"
			
				Nuevo
			
			
				
					 - 
				
				402
				vendidos
			
		",(116 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,9,https://perfil.mercadolibre.com.ar/REMOTODOMICILIO,https://articulo.mercadolibre.com.ar/MLA-686264793-funda-silicone-case-iphone-8-7-plus-5s-se-6-6s-original-_JM,7,2,0,0,0,#686264793,Apple,Iphone 7 8 y Plus,Apple,Silicone Case,Silicone Case,Silicona
4, Funda Rigida Transparente Antigolpe iPhone 5 6s 7 8 Plus X ,499,NA,"
			
				Nuevo
			
			
				
					 - 
				
				89
				vendidos
			
		",(53 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,3,https://perfil.mercadolibre.com.ar/CLUBDELCELUOFICIAL,https://articulo.mercadolibre.com.ar/MLA-721627899-funda-rigida-transparente-antigolpe-iphone-5-6s-7-8-plus-x-_JM?searchVariation=34805249032,3,0,0,0,0,#721627899,Apple,"iPhone 6, 6s, 6 Plus, 6s Plus, 7, 7 Plus, 8, 8 Plus X",OEM,Fusion,Acrilico Reforzada,TPU/Policarbonato
5, Funda Ringke Original iPhone X Xs 7 8 Plus Max+vidrio+envio ,1122,1189,"
			
				Nuevo
			
			
				
					 - 
				
				388
				vendidos
			
		",(303 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,19,https://perfil.mercadolibre.com.ar/NORCEL_CABA,https://articulo.mercadolibre.com.ar/MLA-749127423-funda-ringke-original-iphone-x-xs-7-8-plus-maxvidrioenvio-_JM?searchVariation=32500157139,18,1,0,0,0,#749127423,Apple,IPHONE 7; 7 PLUS; 8; 8 PLUS; X; XS; XS MAX; XR,Ringke,Fusion,Rugerizada,Acrílico
6, Funda Rigida Antigolpe iPhone 6s 7 8 Plus Xs Max Xr + Glass ,740,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1724
				vendidos
			
		",(550 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,117,https://perfil.mercadolibre.com.ar/TIENDASHOPEALO,https://articulo.mercadolibre.com.ar/MLA-666368423-funda-rigida-antigolpe-iphone-6s-7-8-plus-xs-max-xr-glass-_JM?searchVariation=34624942900,77,25,7,3,5,#666368423,Apple,"iPhone 6, 6s, 6 Plus, 6s Plus, 7, 7 Plus, 8, 8 Plus X, Xs, Xs Max, Xr",Sin Marca,Fusion,Bumper,Acrílico
7, Funda Ringke Original iPhone X Xs Max 7 8 Plus Xr +envio ,971,1029,"
			
				Nuevo
			
			
				
					 - 
				
				975
				vendidos
			
		",(12 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,49,https://perfil.mercadolibre.com.ar/NORCEL_CABA,https://articulo.mercadolibre.com.ar/MLA-711298702-funda-ringke-original-iphone-x-xs-max-7-8-plus-xr-envio-_JM?searchVariation=32500129944,41,6,2,0,0,#711298702,Apple,IPHONE 7; 7 PLUS; 8; 8 PLUS; X; XS; XS MAX; XR,Ringke,Fusion,Rugerizada,Acrílico
8, Funda Silicone Case iPhone 8 7 Plus 5s Se 6 6s Original ,499,NA,"
			
				Nuevo
			
			
				
					 - 
				
				402
				vendidos
			
		",(116 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,9,https://perfil.mercadolibre.com.ar/REMOTODOMICILIO,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=vanIuwCxkyPZklHHcStH3kQkyr%2B00UaUYBVRGg2Ysc5Zrey0VQ5kapqr%2F%2FfFnjck%2Bs2vjOE5%2FgE3T20oOvcd8JJ%2BxcpmYxMdbXxu1eLd%2F2%2BLaAKqfq0JFx6BrJRH0R1n6Vlzk3MQSsrhH1YycUUSTc7UzS7w7oK0Ru3p6m1XSd2o0by4hl7CSo%2FG%2FuMfpffCBU%2BWZNndG%2B68TzeNnJ%2BWvfTNXWNXHcToomYQm3qgASZYQkZaidqR7UxFlEVbyiZ5cMYYgNCPhVSvxcsobe8tEhVHnYGCKQeY3jUSbAvZ3pKkOUSSX%2Bl83dKa9%2Ft7BJrSug4X4I90uScxp1BYphU9h5Nf9xBslaLBnZ1%2FzEkT1kbuTa2lsnXvYBrADP0MBIYi973fhZ8bB1Z5WDEsagIAS7QMt7a%2BTL%2FBQOGY1SUMlm6N4MCzlThAzZBmsruQJfXhpQ9X1eAF4d5Vkljm8fmDBHC2TF6Q%2BF5DtsZxGbbSZ14OQjwS3X18C%2BTr5tXuriJbsgvDCaiDtEdhgHb3mfGtyiK9LCk3mlMKFyzlJ4h%2FMjO%2Br6gSyvcU6%2FV9G7c3DPoVjL3K%2Fv6ntdufSjajOmU8HclKyxuwmtvveiVVKicUUY3uj2FFSUSXa4ACDuwZCpsWdwTlk0SLdI2KxDW8QiFRp0k2rUgpOODW34xjs1ZhCm%2BS9tDmKHVEZ7WC5RyJwTW0%2BvzYjru5M%2BGHfIwT3P9M5NaQkLPNcsk38%2FQ2AKN%2FI0oYwtGoW2%2BQtvG827uoRTtiP%2FxXnHpRWLMtSN69WT%2Bm2OdCZl%2FQR9CmvGJOtZNAswWQG%2BQf7cyhlAXTG2fcla%2FiqsQ9TlPcEJDrYnsIDbDhyGz%2BboeZiyTtWbVYKDHpJlg1tzN8pZL%2BA4wMUnF3WGp5%2FQjsGb5Kq%2BHPydBEipXsjLCXmM0bcFyVGxLQ3zRzS66gL7ZriJPcTu9P3kJTcS%2Bz5GqIfEKGl9PEQDGV5kB%2Ba0nF1eqoSLhvhyPNehzaxNiHdWQdj%2FOmxgzG4Uq2oh9JulxMyPDS97vxqbrlQu2yDa%2F10ZHxNJ5knGe0SaOyENGrYMGLIU0yxuPTVmkFrVVADTnAQ7UdO3Ij7KuD1lpcnB8vkWzT64KA2OP2UDP8jR2BYfn83Lppxx%2BOmbmv4LC%2BB2aRULNb9QPcfnDhPqEb8dQcYK9DS1EO80zMDyyj09lXmMUuZXs1TsvYMu8vZmi2usfAarawZL3ElzDiQalhPDU5CsjsmxU%2FqZqG4HzENU8LNUd8N9YAB06ttlFgbpzDx2RxCymVL2WnTdF5uDazUyR5LsKxKkJ5X0O%2BBT6U6dUz3VuzXOleMZHCdyb5IclE2yam3G99LOjhNjuc%2BjRed9nAT5Izmwt5XQVLT3ec89IMpb%2F7iHrFxFFBFr%2BGYzpMb5vjGzoRICnSMDfNndktsCkufdlsVjVfTum%2Fk8Q6whaiklrWZvQW1HwETOruiapn1i8OP7jn2xJSYJIqkPmBrIqc6emLyjDcqX0uy4ds3wqXuk%2BSJFQpmSKskwrc9GRodUTpm76Xv2MDcg9Gu5PHK0jvWnbC2G%2Fal5HKU874jgt60mH8vUKKQd3gwkkMOEoLqjPEWwSgQMRP6Kiqz%2BUfVOCSvm3oZ44iT11dgyHbufjNY92e5AJuvcAshUjjvQ8OC632krALNLU9kXZpWXFfpiTUz8oHWGUDez3fZ1y9ongnTy%2BF%2BCEdGqsaSoirmYAcu3FyMO9wFVVaqDw1%2BwQ%2BTZDjXxzxZuZ7NJLQCACCmHCDBv%2Fo2H%2FBX6BgwIjiTbnmxppiYyxHzNZQBaftcWC%2F6kGtteykJneHrfprKw%3D%3D,7,2,0,0,0,#686264793,Apple,Iphone 7 8 y Plus,Apple,Silicone Case,Silicone Case,Silicona
9, Funda Tpu Slim iPhone 6s 7 8 Plus X Xr Xs Max + Templado ,520,NA,"
			
				Nuevo
			
			
				
					 - 
				
				605
				vendidos
			
		",(834 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.0,22,https://perfil.mercadolibre.com.ar/TIENDASHOPEALO,https://articulo.mercadolibre.com.ar/MLA-636606079-funda-tpu-slim-iphone-6s-7-8-plus-x-xr-xs-max-templado-_JM?searchVariation=28306700078,10,7,2,1,2,#636606079,Apple,"iphone 6, 6s, 6 plus, 6s plus, 7, 7 plus, 8, 8 plus, X, Xs, Xr, Xs Max",Sin Marca,TPU,Silicona,Silicona
10, Funda Super Anti Golpe Reforzada iPhone X 6 7 Plus 5 Se X ,139,NA,"
			
				Nuevo
			
			
				
					 - 
				
				634
				vendidos
			
		",(9 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,23,https://perfil.mercadolibre.com.ar/GRUPO+TTB.S.R.L.,https://articulo.mercadolibre.com.ar/MLA-746999903-funda-super-anti-golpe-reforzada-iphone-x-6-7-plus-5-se-x-_JM?searchVariation=36479608140,18,4,1,0,0,#746999903,Apple,iPhone X 6 7 8 PLUS,TTG,iPhone X 6 7 8 PLUS,Air,Acrílico
