search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Formato
1, Mini AirPods I9s Tws Audifonos Bluetooth 5.0 Ultima Version ,75,NA,"
			
				Nuevo
			
			
				
					 - 
				
				26
				vendidos
			
		",(20 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/MAJU4927724,https://articulo.mercadolibre.com.pe/MPE-435244365-mini-airpods-i9s-tws-audifonos-bluetooth-50-ultima-version-_JM,NA,NA,NA,NA,NA,#435244365,NA,NA,NA,NA
2, Stock Audifonos Original Xiaomi Redmi Airdots Envió Inmediat ,88,NA,"
			
				Nuevo
			
			
				
					 - 
				
				487
				vendidos
			
		",(771 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.6,84,http://perfil.mercadolibre.com.pe/ZEALOTT+IMPORTACIONES,https://articulo.mercadolibre.com.pe/MPE-436293760-stock-audifonos-original-xiaomi-redmi-airdots-envio-inmediat-_JM,58,22,4,0,0,#436293760,Xiaomi,Audifonos Bluetooth,Redmi AirDots,Headset
3, Audifonos Jbl Bluetooth Pure Bass Sound T110 Wireles Colores ,129,NA,"
			
				Nuevo
			
			
				
					 - 
				
				39
				vendidos
			
		",(35 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,6,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-435128963-audifonos-jbl-bluetooth-pure-bass-sound-t110-wireles-colores-_JM,5,1,0,0,0,#435128963,JBL,NA,T110,NA
4, Audifonos Original Xiaomi Redmi Airdots En Stock + Tienda !! ,89,119,"
			
				Nuevo
			
			
				
					 - 
				
				160
				vendidos
			
		",(440 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.6,84,http://perfil.mercadolibre.com.pe/CASEMOTIONS.PE,https://articulo.mercadolibre.com.pe/MPE-433005812-audifonos-original-xiaomi-redmi-airdots-en-stock-tienda--_JM,58,22,4,0,0,#433005812,Xiaomi,Mi,AirDots,In-ear
5, Audifonos Inalambrios Bluetooth Imantados Deportivos 2018 ,30,NA,"
			
				Nuevo
			
			
				
					 - 
				
				416
				vendidos
			
		",(28 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.3,29,http://perfil.mercadolibre.com.pe/FROG_PEOPLE+_IMPORT,https://articulo.mercadolibre.com.pe/MPE-420579803-audifonos-inalambrios-bluetooth-imantados-deportivos-2018-_JM,15,11,1,0,2,#420579803,NA,NA,NA,NA
6, Stock Audifonos Original Xiaomi Redmi Airdots Entrega Rapida ,88,NA,"
			
				Nuevo
			
			
				
					 - 
				
				144
				vendidos
			
		",(119 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.6,84,http://perfil.mercadolibre.com.pe/MAJU4927724,https://articulo.mercadolibre.com.pe/MPE-436361713-stock-audifonos-original-xiaomi-redmi-airdots-entrega-rapida-_JM,58,22,4,0,0,#436361713,Xiaomi,Wearables Bluetooh,Redmi Airdots,Headset
7, Audifonos I7s Plus Bluetooth 5.0 Inalambricos Apple Android ,64,NA,"
			
				Nuevo
			
			
				
					 - 
				
				311
				vendidos
			
		",(289 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,2.0,1,http://perfil.mercadolibre.com.pe/HUMA7820320,https://articulo.mercadolibre.com.pe/MPE-433034458-audifonos-i7s-plus-bluetooth-50-inalambricos-apple-android-_JM,NA,NA,NA,NA,NA,#433034458,i7s Plus,NA,NA,NA
8, Samsung Galaxy Buds 2019 Audifonos Inalambricos En Stock!! ,539,NA,"
			
				Nuevo
			
			
				
					 - 
				
				66
				vendidos
			
		",(33 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,5,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-436048863-samsung-galaxy-buds-2019-audifonos-inalambricos-en-stock-_JM,5,0,0,0,0,#436048863,Samsung,Galaxy,Buds,In-ear
9, Audifonos Deportivos Bluetooth 4.2 Inalámbricos Radio Sd ,49,NA,"
			
				Nuevo
			
			
				
					 - 
				
				618
				vendidos
			
		",(382 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.4,9,http://perfil.mercadolibre.com.pe/GRUPONATIC.PE,https://articulo.mercadolibre.com.pe/MPE-418636835-audifonos-deportivos-bluetooth-42-inalambricos-radio-sd-_JM,5,3,1,0,0,#418636835,st3,NA,NA,NA
10, Motorola Audifonos Bluetooth Pulse Escape Super Combo Pack ,149,NA,"
			
				Nuevo
			
			
				
					 - 
				
				121
				vendidos
			
		",(31 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,18,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-433512029-motorola-audifonos-bluetooth-pulse-escape-super-combo-pack-_JM,15,3,0,0,0,#433512029,Motorola,NA,Pulse Escape,Over-ear
