search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del Celular,Modelo del Celular,Marca de la Funda,Modelo de la Funda,Material,Fabricante,Tipo de funda
1, Funda iPhone Airbag Transparente 5|6|7|8|plus|x|xr|xs|max Y Mas ,169,NA,5972,14,18 meses,9.39,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,264,https://perfil.mercadolibre.com.mx/BROXYMEXICO,https://articulo.mercadolibre.com.mx/MLM-582143415-funda-iphone-airbag-transparente-5678plusxxrxsmax-y-mas-_JM?searchVariation=17472366030,228,26,4,2,4,#582143415,Apple,iPhone,BMX,iPhone XS MAX | XR | XS | X | PLUS | 8 | 7 | 6 | SE | 5,TPU,BMX,NA
2, Funda Tipo Piel Leather Case iPhone 6 7 8 Plus X Max Xr +mic ,269,NA,2532,67,18 meses,14.94,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,84,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-623748083-funda-tipo-piel-leather-case-iphone-6-7-8-plus-x-max-xr-mic-_JM?searchVariation=32254170130,74,9,1,0,0,#623748083,Apple,6 6s 6 plus 6s plus 7 7 plus 8 8 plus X Xs Xs max Xr,Mikki,Business Leather,TPU,NA,Protector
3, Protector Funda Case Uso Rudo iPhone 5 6 7 8 X Xs Xr Xs Max ,250,NA,1935,238,18 meses,13.89,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,63,https://perfil.mercadolibre.com.mx/ROBERT+CG8,https://articulo.mercadolibre.com.mx/MLM-653278098-protector-funda-case-uso-rudo-iphone-5-6-7-8-x-xs-xr-xs-max-_JM?searchVariation=30591645308,48,10,3,1,1,#653278098,iPhone,iPhone 5 5s se 6 6s 7 8 PLUS X XR Xs MAX,OEM,Oem,Plástico,OEM,uso rudo
4, Funda Ultra Slim Transparente iPhone 6 7 8 Plus X Max +mica ,239,NA,1334,48,18 meses,13.28,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.3,39,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-651098477-funda-ultra-slim-transparente-iphone-6-7-8-plus-x-max-mica-_JM?searchVariation=32254386866,26,7,1,1,4,#651098477,Apple,6 6s 7 8 Plus X Xs Max Xr,Gurio,Ultra Thin,TPU,Apple,Protector
5, Funda Protector Slim Lujo iPhone 6 6s 7 8 Plus X Xs ,179,NA,1073,75,18 meses,9.94,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,32,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-670962507-funda-protector-slim-lujo-iphone-6-6s-7-8-plus-x-xs-_JM?searchVariation=34293895112,25,5,2,0,0,#670962507,Apple,iPhone,Auto Focus,Auto Focus,Acrílico,NA,Protector
6, Protector Funda iPhone 7 8 7 Plus 8 Plus X Xs Nuevo Uso Rudo ,250,NA,1928,129,18 meses,13.89,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,56,https://perfil.mercadolibre.com.mx/ROBERT+CG8,https://articulo.mercadolibre.com.mx/MLM-637771698-protector-funda-iphone-7-8-7-plus-8-plus-x-xs-nuevo-uso-rudo-_JM?searchVariation=26411510022,43,9,2,1,1,#637771698,Apple,iPhone 5 5s se 6 6s 7 8 PLUS X XR Xs MAX,RAMEER,2018,Plástico,OEM,USO RUDO
7, Funda Ultra Slim Silicon iPhone 6 7 8 | Plus X Xr Xs Max ,219,NA,2007,71,18 meses,12.17,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,65,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-618319522-funda-ultra-slim-silicon-iphone-6-7-8-plus-x-xr-xs-max-_JM?searchVariation=32254069859,46,13,4,0,2,#618319522,Apple,iPhone,Apple,Apple,Silicona,Apple,Protector
8, Funda Tipo Piel Leather Case iPhone 6 7 8 Plus X Max Xr +mic ,269,NA,2532,67,18 meses,14.94,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,84,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=iSyBiL2D2A0s9q4zlvPcjtzd5L2t9SyUcIJxKPNRWzqTwpOX0QepnRuKtGhHFMSqUHbD%2FgrTiJbHTI6VpIb1%2B0MKIOu9TzCfJzHHXL0axJ2sars9VWMzlSKSpi3PObn4WvNYLgKNanyqPLkxNfd6fpjlQZGmnNw%2Bd0utmOfXuZUHiaFrImaD%2FOnaJt650qQEjx%2BOqya2beXXE0epmBHty1%2FOxQX0KO80H10GGwzqkgevvcSjQplFq77pMe4bx9EEq3i9S02s4JF3xU2uh7H%2BANvNgbUnxLwqD9e3VNOhog072AVJ0BItJFo6eDLF4oEY3aw6zEaEVk%2F7O3IiYShIcrAXK2Bdo5V0Xd1QrsVSUrsOqdLqZOmGUwYyzsN46Cqtr3CyBssnXodh7wjGTkt1c4fTGaxmDJpXiUnh82ycNGwV79JrdKIOeivXKeJFw0VOCN2rRPIrcXda71AIN1RQYjfxwJopfv6KjOVMX%2FME%2FcdQV%2B3wFm53g6HMsblRn65iQPrSBarVhmEgis24z0U%2FLQwo7UhKX%2BEI2WfytTvsLb4EasnavLNZE30XV1u8gZ4%2FULLKo78fxfAFXCVewnyCRJ4TyVMnlxHj1IOWg8HEcIUOSlv8smThHQQ66k9tR28KHv%2FsMHPUIMu07HcKedck4IhWGZSSX%2F0DJGZ2Nc5ITkdDp2oieJccL%2Fnq8TWrBzhc5gd6vLFYJcD%2BXXna3HkW%2BxfL3fWpS9tZa7NPw06bVX6o1ErmkQyRX1NEWUzhH1Jc5Km6zpCP9OllD0yXaXuIs51CmFztcxqCC8we3%2B4K9UgvEaiyvdLmeD3RyKBpQnHaXibXxc1XX%2BPkLSe6L7E6IRVcUJCrBQajGVhhuxlNC4ca7bHH2%2FUtVHc%2FHuITgqwDp5kATxIY5CVfApERolePDz02GLGyP%2FMyedVtOAEhWVm0xEN5%2Fcu8g46fcBYArxlv7sAYjJAGGEcRGEBi0a2ogTa%2BQJUMjp93jpAzyv5ByKIfM1tkDtIBJPZT8hXmip5BVUavbPsiUQBcB54a6hUMG4PzGlfk2%2B6%2B4oHiHZ73WS4yefkR2ceiwu6ZEtdGoDd2e%2BaTMmn7SMJKUbPN6J1rYqfiymgYb%2BJ1Z%2BEZwo%2B2gyNSjX%2BMyvqMisCeNxyNZaDIPwn0IZ3EIOfJghQ2pwE2wpYkwAn8GGHigvcD%2FbQ6qTa3eezBBkvL0mXWxzMqMP%2FagzlbWZq7e1dJRB%2BEQgFdWgMVhwAM%2BvBMtDvPRFFYcync6aP36zpXr6nleK%2FGXzKaDm68VbZLqbMceLVV08SDc3WEm3d9t99jO3ZW9KZq7BlR695kz2FR4DQc8ICvbR88hKuJpp9wyr8RQYkM%2FNVOWsgMK2cBnxr9fyQn9adYzCuAUdfZupvEBV9UEuxptXHxtu8oRx4TKSsSRgwYFyRsaAEbBbzHoJW8m%2FS789KxTFjv2SWXCET1eTl%2F65W79Z9YzxK4iiytfsu%2BP1yUNntcLyCyhddB%2BCd9LvjRCNtmy4SGKTQ%2FQRBzA8%2BnY%2B6g0xbfvUUOms07eFXoQSc4A9RWDFOham0NCUfUaxvkvV4G2DAzhivEa6TmYStYsJ%2FSvdjheSH9Q%2FMu3L1kfJl3eEbvoyoSWHHYhIO%2B5jrSe6Utw%2BA8CM5PMvKwK4LZQttBAPXmwCqMJJ82ZR83IyYxZ6c5bO9qAX%2BSShUQ9hDFZ9tVNoUMKOsdmgwDPUvrBzVKp%2BsCk7pgrYYY%2FGCQSEp8tMqNmS10RBH4D0eeDrHpaYl47Jw%3D,74,9,1,0,0,#623748083,Apple,6 6s 6 plus 6s plus 7 7 plus 8 8 plus X Xs Xs max Xr,Mikki,Business Leather,TPU,NA,Protector
9, Funda Lujo Cromo 3 En 1 iPhone X 8 7 6 Plus 6s 5 Se ,169,NA,6513,54,18 meses,9.39,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.4,349,https://perfil.mercadolibre.com.mx/ONE-CLICK,https://articulo.mercadolibre.com.mx/MLM-577013572-funda-lujo-cromo-3-en-1-iphone-x-8-7-6-plus-6s-5-se-_JM?searchVariation=27291824497,236,61,31,11,10,#577013572,Apple,iPhone 5 / 5s / SE / 6 / 6s / 6 Plus / 6s Plus / 7 / 7 Plus / 8 / 8 Plus / X / Xs / XR / XS Max,3 EN 1,Funda 3 en 1 Lujosa,Plástico,Apple,Funda Protectora de Lujo
10, Silicon Case Protector iPhone Varios Colores Y Modelos ,203,NA,1181,19,18 meses,11.32,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,37,https://perfil.mercadolibre.com.mx/CELLKING21,https://articulo.mercadolibre.com.mx/MLM-671538364-silicon-case-protector-iphone-varios-colores-y-modelos-_JM?searchVariation=34395449953,32,5,0,0,0,#671538364,Apple iPhone,iphone 6 / 6 plus / 6S/ 6S plus / 7 / 7 plus / 8 / 8 plus / X / XS / XR / XS MAX,Apple,Silicon Case,Silicone / microfibra interior,NA,Liquid silicone
11, Funda Magnética De Metal Con Vidrio 9h iPhone Y Samsung ,249,NA,1155,381,18 meses,13.83,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.1,23,https://perfil.mercadolibre.com.mx/IBUMPER+VERACRUZ,https://articulo.mercadolibre.com.mx/MLM-638119024-funda-magnetica-de-metal-con-vidrio-9h-iphone-y-samsung-_JM?searchVariation=29751866132,14,3,2,2,2,#638119024,Apple,6/6S/6Plus/6SPlus/7/7Plus/8/8Plus/X/XS/XSMAX/XR/ Samsung S7Edge/S8/S8+/S9/S9+/Note8/Note9,NOHON,Magnética Metálica 9H,Aluminio,NOHON,Bumper Metálico con Vidrio 9H
