search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potencia de salida (RMS),Tipos de parlante,Tipos de filtros del parlante,Lugares de colocación,Formato del parlante,Conectores de entrada,Peso,Línea,Configuración de canales,Voltaje,Ancho,Altura
616, Parlante Portatil Bluetooth Gadnic Luces Mics + Bola Led ,8899,13650,"
			
			
				
				8
				vendidos
			
		",(5000 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/SALES+COM?brandId=945,https://articulo.mercadolibre.com.ar/MLA-784910476-parlante-portatil-bluetooth-gadnic-luces-mics-bola-led-_JM#position=33&type=item&tracking_id=b9be360f-212e-4a92-bbe8-4d9cdc2a65b0,NA,NA,NA,NA,NA,#784910476,Gadnic,XBS13,4300 W,Karaoke,"Parlante Portatil, Parlante Bluetooth, Parlante Con luces, Parlante Wireless","Eventos, Cumpleaños, Casas, Departamentos",Trolley,Entrada para Micrófono,NA,NA,NA,NA,NA,NA
617, Parlante Bluetooth Portátil Usb Fm Mp3 Luces Sonido Potente ,2990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(19 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/ALCLICK+ML,https://articulo.mercadolibre.com.ar/MLA-771999581-parlante-bluetooth-portatil-usb-fm-mp3-luces-sonido-potente-_JM#position=34&type=item&tracking_id=b9be360f-212e-4a92-bbe8-4d9cdc2a65b0,NA,NA,NA,NA,NA,#771999581,Otras Marcas,T202,1500 W,Subwoofer,Activo,NA,Caja,"Bluetooth, USB, AUX, 2 Micrófonos",NA,NA,NA,NA,NA,NA
618, Mini Parlante Usb Mini Bluetooth + Mp3 + Radio + Luz Led ,399,NA,"
			
				Nuevo
			
			
				
					 - 
				
				12
				vendidos
			
		",(3 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.0,1,https://perfil.mercadolibre.com.ar/ONLINE+SPACE,https://articulo.mercadolibre.com.ar/MLA-712223324-mini-parlante-usb-mini-bluetooth-mp3-radio-luz-led-_JM#position=35&type=item&tracking_id=b9be360f-212e-4a92-bbe8-4d9cdc2a65b0,NA,NA,NA,NA,NA,#712223324,SEWY,DB06,10 W,portatil,Activo,transportable,redondo,Auxiliar,NA,NA,5.1,NA,NA,NA
619, Parlante Bluetooth Portatil Jam Audio Xterior Plus Microfono ,2249,NA,"
			
				Nuevo
			
			
				
					 - 
				
				23
				vendidos
			
		",(2 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.2,5,https://perfil.mercadolibre.com.ar/DEVENTAS_TECH_STORE,https://articulo.mercadolibre.com.ar/MLA-633169772-parlante-bluetooth-portatil-jam-audio-xterior-plus-microfono-_JM#position=36&type=item&tracking_id=b9be360f-212e-4a92-bbe8-4d9cdc2a65b0,2,2,1,0,0,#633169772,Jam Audio,Xterior Plus,3 W,Portatil,Woofer,"Escritorio, Mesada",Caja,Auxiliar,NA,Xterior,NA,NA,NA,NA
620, Parlante Portatil Bluetooth Inalambrico Con Luces Ms-274bt ,1118,NA,"
			
				Nuevo
			
			
				
					 - 
				
				20
				vendidos
			
		",(980 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/MONA-FELISA+OPORTUNIDADESVIP,https://articulo.mercadolibre.com.ar/MLA-702757348-parlante-portatil-bluetooth-inalambrico-con-luces-ms-274bt-_JM#position=37&type=item&tracking_id=b9be360f-212e-4a92-bbe8-4d9cdc2a65b0,NA,NA,NA,NA,NA,#702757348,M&S,ms-275bt,15 W,NA,Portátil,De piso,Caja,USB,NA,NA,5.1,NA,14 cm,18 cm
621, Parlante Bluetooth Portátil Jam Audio Trance Plus Luces ,2599,NA,"
			
				Nuevo
			
			
				
					 - 
				
				40
				vendidos
			
		",(10 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,4,https://perfil.mercadolibre.com.ar/DEVENTAS_TECH_STORE,https://articulo.mercadolibre.com.ar/MLA-633171766-parlante-bluetooth-portatil-jam-audio-trance-plus-luces-_JM#position=38&type=item&tracking_id=b9be360f-212e-4a92-bbe8-4d9cdc2a65b0,3,1,0,0,0,#633171766,Jam Audio,Trance Plus,3.3 W,Portatil,stereo,"Mesada, Escritorio",Caja,Auxiliar,NA,Trance,NA,NA,NA,NA
622, Parlante Portátil Bluetooth Con Sopapa Ducha Baño Ventosa ,355,NA,"
			
				Nuevo
			
			
				
					 - 
				
				9
				vendidos
			
		",(990 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/RUDDERCEL,https://articulo.mercadolibre.com.ar/MLA-728442423-parlante-portatil-bluetooth-con-sopapa-ducha-bano-ventosa-_JM#position=39&type=item&tracking_id=b9be360f-212e-4a92-bbe8-4d9cdc2a65b0,NA,NA,NA,NA,NA,#728442423,SPEAKER,BTS-06,NA,Ducha Sopapa,"Ducha, Sopapa","Ducha, vidrio, Mesa",Ducha,NA,NA,NA,NA,NA,NA,10 m
623, Parlante Sony Extra Bass Srs-xb22 - New Linea 2019- Black ,8200,NA,"
			
				Reacondicionado
			
			
				
				38
				vendidos
			
		",(2 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,NA,NA,5.0,4,https://perfil.mercadolibre.com.ar/AURICULARESCOM,https://articulo.mercadolibre.com.ar/MLA-744648613-parlante-sony-extra-bass-srs-xb22-new-linea-2019-black-_JM#position=40&type=item&tracking_id=b9be360f-212e-4a92-bbe8-4d9cdc2a65b0,4,0,0,0,0,#744648613,Sony,SRS-XB22,20 W,Portatil,NA,NA,NA,NA,NA,EXTRA BASS,NA,NA,NA,NA
624, Parlante Vintage Speaker 15w Radio Usb Ft-101 ,3316,NA,"
			
				Nuevo
			
			
				
					 - 
				
				10
				vendidos
			
		",(7 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.0,1,https://perfil.mercadolibre.com.ar/DELAGRO.COM.AR,https://articulo.mercadolibre.com.ar/MLA-783499980-parlante-vintage-speaker-15w-radio-usb-ft-101-_JM#position=41&type=item&tracking_id=b9be360f-212e-4a92-bbe8-4d9cdc2a65b0,NA,NA,NA,NA,NA,#783499980,Only,PAR CSN-304,15 W,Portatil,Woofer,PORTATIL,Caja,Auxiliar,NA,NA,NO,NA,NA,NA
625, Lampara Bluetooth Parlante Musica Luces De Colores Led Disco ,920,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(9 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/DESAYUNOSENCOLORES,https://articulo.mercadolibre.com.ar/MLA-732047406-lampara-bluetooth-parlante-musica-luces-de-colores-led-disco-_JM#position=42&type=item&tracking_id=b9be360f-212e-4a92-bbe8-4d9cdc2a65b0,NA,NA,NA,NA,NA,#732047406,Art Home,LED Music bulb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
626, Parlante Jbl Flip 4 Bluetooth Portátil Resit. Agua Original ,7689,NA,"
			
				Nuevo
			
			
				
					 - 
				
				10
				vendidos
			
		",(6 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,1963,https://perfil.mercadolibre.com.ar/ULTRASHOP+ONE,https://articulo.mercadolibre.com.ar/MLA-785220336-parlante-jbl-flip-4-bluetooth-portatil-resit-agua-original-_JM#position=43&type=item&tracking_id=b9be360f-212e-4a92-bbe8-4d9cdc2a65b0,1674,247,31,6,5,#785220336,JBL,Flip 4,16 W,Portátil,NA,NA,Caja,NA,815 g,Flip Series 4,5.1,NA,NA,NA
627, Parlante Portatil Blue10'' Bateria Bluetooth Microfono Proco ,6490,NA,"
			
			
				
				7
				vendidos
			
		",(596 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/TIENDAS+STADIO?brandId=1212,https://articulo.mercadolibre.com.ar/MLA-726570446-parlante-portatil-blue10-bateria-bluetooth-microfono-proco-_JM#position=44&type=item&tracking_id=b9be360f-212e-4a92-bbe8-4d9cdc2a65b0,NA,NA,NA,NA,NA,#726570446,PROCO,Reck Blue 10,50 W,NA,NA,NA,Caja,Entrada para Micrófono,7 kg,NA,NA,NA,NA,NA
628, Parlante Portatil 12 Bateria Bluetooth Radio Microfono Luz ,5499,NA,"
			
				Nuevo
			
			
				
					 - 
				
				17
				vendidos
			
		",(37 disponibles),6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.0,2,https://perfil.mercadolibre.com.ar/INGETEC,https://articulo.mercadolibre.com.ar/MLA-752489072-parlante-portatil-12-bateria-bluetooth-radio-microfono-luz-_JM#position=45&type=item&tracking_id=b9be360f-212e-4a92-bbe8-4d9cdc2a65b0,NA,NA,NA,NA,NA,#752489072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
629, Parlantes Bluetooth Madera Titan Combo Con Parlante Frei ,43488,NA,"
			
			
				
				39
				vendidos
			
		",(52 disponibles),6 cuotas sin interés,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.6,7,https://perfil.mercadolibre.com.ar/THONETANDVANDER?brandId=370,https://articulo.mercadolibre.com.ar/MLA-636806817-parlantes-bluetooth-madera-titan-combo-con-parlante-frei-_JM#position=46&type=item&tracking_id=b9be360f-212e-4a92-bbe8-4d9cdc2a65b0,4,3,0,0,0,#636806817,Thonet & Vander,Titan,180 W,Woofer,Activo,Living,Caja,NA,22 kg,NA,2.0,100VAC ? 240VAC,NA,NA
630, Parlante Harrison Acid 8 250w Bluetooth Usb Incluye Microfo ,2778,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(1 disponibles),12 cuotas,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.com.ar/DATASOFT.,https://articulo.mercadolibre.com.ar/MLA-798818212-parlante-harrison-acid-8-250w-bluetooth-usb-incluye-microfo-_JM#position=47&type=item&tracking_id=b9be360f-212e-4a92-bbe8-4d9cdc2a65b0,NA,NA,NA,NA,NA,#798818212,Kanji,Acid,250 W,Woofer,Activo,De piso,Caja,NA,NA,NA,2.0,NA,NA,NA
631, Parlante Portátil Philco 20.000w Bluetooth Tap1750 Outlet ,14399,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5
				vendidos
			
		",(1 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/ELECTRO-OUTLET,https://articulo.mercadolibre.com.ar/MLA-783504983-parlante-portatil-philco-20000w-bluetooth-tap1750-outlet-_JM#position=48&type=item&tracking_id=b9be360f-212e-4a92-bbe8-4d9cdc2a65b0,NA,NA,NA,NA,NA,#783504983,Philco,TAP1750,20000 W,TORRE,NA,"lIBRE, PORTATIL",Columna,NA,NA,NA,5.1,NA,NA,NA
632, Speaker Portatil Noblex Psb500l Bluetooth Usb Azul Tio Musa ,1989,NA,"
			
				Nuevo
			
			
				
					 - 
				
				17
				vendidos
			
		","
		
			¡Último disponible!
		
	",12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/TIOMUSA,https://articulo.mercadolibre.com.ar/MLA-665985122-speaker-portatil-noblex-psb500l-bluetooth-usb-azul-tio-musa-_JM#position=49&type=item&tracking_id=b9be360f-212e-4a92-bbe8-4d9cdc2a65b0,NA,NA,NA,NA,NA,#665985122,Noblex,PSB500L,10 W,NA,NA,NA,NA,Auxiliar,NA,NA,NA,NA,NA,NA
633, Parlante Bluetooth Hogar + 2 Microfonos Wireless + Control ,14999,23100,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(5 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,15,https://perfil.mercadolibre.com.ar/BIDCOM,https://articulo.mercadolibre.com.ar/MLA-758254654-parlante-bluetooth-hogar-2-microfonos-wireless-control-_JM#position=50&type=item&tracking_id=b9be360f-212e-4a92-bbe8-4d9cdc2a65b0,13,2,0,0,0,#758254654,Gadnic,XBS6,NA,NA,Activo,NA,Caja,NA,NA,Live Studio,NA,3.7V,NA,NA
634, Parlante Portatil Jbl Go2 Bluetooth Sumergible Colores ,2659,NA,"
			
				Nuevo
			
			
				
					 - 
				
				28
				vendidos
			
		",(21 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,865,https://perfil.mercadolibre.com.ar/DATASOFT.,https://articulo.mercadolibre.com.ar/MLA-772790304-parlante-portatil-jbl-go2-bluetooth-sumergible-colores-_JM#position=51&type=item&tracking_id=b9be360f-212e-4a92-bbe8-4d9cdc2a65b0,719,135,10,0,1,#772790304,JBL,GO 2,3 W,"PORTATIL, TA",Activo,"INTERIOR, EXTERIOR",PORTATIL,Auxiliar,186 g,NA,1.0,NA,NA,NA
635, Parlante Bluetooth Portátil Mic + Usb Mp3 Leds Led Regalo .. ,2599,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(446 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/HELITEC,https://articulo.mercadolibre.com.ar/MLA-795015032-parlante-bluetooth-portatil-mic-usb-mp3-leds-led-regalo--_JM#position=52&type=item&tracking_id=b9be360f-212e-4a92-bbe8-4d9cdc2a65b0,NA,NA,NA,NA,NA,#795015032,HE-SOUND,HE-10P,1500 W,CAJA PORTATIL,Activo,NA,caja portatil,Auxiliar,NA,NA,NA,NA,NA,NA
636, Parlante Portatil Bluetooth Om K6 Mini Extreme Bazooka ,800,NA,"
			
				Nuevo
			
			
				
					 - 
				
				25
				vendidos
			
		",(8 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,3.0,1,https://perfil.mercadolibre.com.ar/ELECTROCENTER1,https://articulo.mercadolibre.com.ar/MLA-767224101-parlante-portatil-bluetooth-om-k6-mini-extreme-bazooka-_JM#position=53&type=item&tracking_id=b9be360f-212e-4a92-bbe8-4d9cdc2a65b0,NA,NA,NA,NA,NA,#767224101,OM,K6,10 W,Medio,PORTATIL BLUETOOTH,NA,bazooca,NA,700 g,MINI EXTREME,1,USB 5V,NA,NA
637, Bafle Parlante Karaoke Bluetooth 60w + 2 Mic Fm Sd Usb Mix ,9499,NA,"
			
			
				
				35
				vendidos
			
		",(5 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,3,https://perfil.mercadolibre.com.ar/TIENDAS+DEPOT?brandId=391,https://articulo.mercadolibre.com.ar/MLA-720652796-bafle-parlante-karaoke-bluetooth-60w-2-mic-fm-sd-usb-mix-_JM#position=1&type=item&tracking_id=881e9dc5-9d73-422f-96b3-0a5740cab605,1,2,0,0,0,#720652796,Noganet,Mix,60 W,Subwoofer,Karaoke,de mesa,Caja,NA,NA,NA,2.0,220V,34.3 cm,58 cm
638, Parlante Winco W247 Karaoke Portatil 3000 W Pmpo Microfono ,7801,NA,"
			
				Nuevo
			
			
				
					 - 
				
				11
				vendidos
			
		",(3 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,88,https://perfil.mercadolibre.com.ar/VENTAS_TECNOCENTER,https://articulo.mercadolibre.com.ar/MLA-709718503-parlante-winco-w247-karaoke-portatil-3000-w-pmpo-microfono-_JM#position=2&type=item&tracking_id=881e9dc5-9d73-422f-96b3-0a5740cab605,52,26,4,1,5,#709718503,Winco,W247,40 W,NA,Woofer,"Portatil, Aire Libre, Fiestas, Aulas, Salones, Pc, Tv",Columna,Auxiliar,NA,NA,2.1,NA,NA,NA
639, Parlante Bluetooth Portátil Smiley World ,839,NA,"
			
				Nuevo
			
			
				
					 - 
				
				48
				vendidos
			
		",(2 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,4,https://perfil.mercadolibre.com.ar/WEST-SHOP,https://articulo.mercadolibre.com.ar/MLA-733605603-parlante-bluetooth-portatil-smiley-world-_JM#position=3&type=item&tracking_id=881e9dc5-9d73-422f-96b3-0a5740cab605,3,1,0,0,0,#733605603,Smiley,SM4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
640, Parlante Bluetooth Portatil Batería Color Luces Led Potencia ,2399,NA,"
			
				Nuevo
			
			
				
					 - 
				
				168
				vendidos
			
		",(399 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,4,https://perfil.mercadolibre.com.ar/HELITEC,https://articulo.mercadolibre.com.ar/MLA-795256772-parlante-bluetooth-portatil-bateria-color-luces-led-potencia-_JM#position=4&type=item&tracking_id=881e9dc5-9d73-422f-96b3-0a5740cab605,2,1,1,0,0,#795256772,HE-SOUND,HE-710P,1500 W,NA,Activo,NA,CAJA PORTATIL,Auxiliar,NA,NA,NA,NA,NA,NA
641, Parlante Jbl Flip 4 Bluetooth iPhone Micro Usb Gtia Fact A B ,9299,NA,"
			
				Nuevo
			
			
				
					 - 
				
				43
				vendidos
			
		",(956 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,1963,https://perfil.mercadolibre.com.ar/RAPIDA_ENTREGA_,https://articulo.mercadolibre.com.ar/MLA-666045754-parlante-jbl-flip-4-bluetooth-iphone-micro-usb-gtia-fact-a-b-_JM#position=5&type=item&tracking_id=881e9dc5-9d73-422f-96b3-0a5740cab605,1674,247,31,6,5,#666045754,JBL,Flip 4,16 W,NA,Altavoz,NA,NA,NA,515 g,Flip,NA,NA,NA,NA
642, Parlante Portatil Bluetooth Philco Sph99l Manos Libres 2w ,1309,NA,"
			
				Nuevo
			
			
				
					 - 
				
				8
				vendidos
			
		",(9 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/BSASPROAUDIO,https://articulo.mercadolibre.com.ar/MLA-749668546-parlante-portatil-bluetooth-philco-sph99l-manos-libres-2w-_JM#position=6&type=item&tracking_id=881e9dc5-9d73-422f-96b3-0a5740cab605,NA,NA,NA,NA,NA,#749668546,Philco,SPH99L,2 W,NA,Activo,De piso,Caja,Auxiliar,0.036 kg,NA,NA,NA,78 mm,78 mm
643, Bafle Panacom Bluetooth 3500w Led Sp 3419wm Mic. Inalambrico ,5990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(9916 disponibles),12 cuotas,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.6,26,https://perfil.mercadolibre.com.ar/XHARDSRLXHARD,https://articulo.mercadolibre.com.ar/MLA-756366579-bafle-panacom-bluetooth-3500w-led-sp-3419wm-mic-inalambrico-_JM#position=7&type=item&tracking_id=881e9dc5-9d73-422f-96b3-0a5740cab605,16,9,1,0,0,#756366579,Panacom,SP 3419 WM,3500 W,Woofer,Activo,INTERIOR/EXTERIOR,Caja,"Entrada para Micrófono, USB, AUXILIAR",NA,SKYLINE,2,NA,NA,NA
644, Parlante Bluetooth Aux Usb Luces Microfonos Karaoke Control ,12599,18900,"
			
			
				
				10
				vendidos
			
		",(4999 disponibles),6 cuotas sin interés,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,15,https://perfil.mercadolibre.com.ar/SALESCOM12?brandId=945,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=ePb5fYei122Ffu8GhidsGdDkiMQUdajiw6t6U2d2%2B4CzO4seq4LifHBII2n1Q2DqoprzL6WVlqRrQ%2F02QL5mW9pFBboPOHaarkkF8ohAbEyFXTkJit%2F9eEBGOxqxclqgULBnlApXcfeEVwBHyn6cobCCZBSEvspICUuUhLUDHTEbtafcLOcVlvp9tyL8Nd4LvQjoF8LjoCeiBJ3c8CAu6izVG7Pl4eRUkfkl2BgB7VqJiY5g8cWA2Xomm6z6PXCD9JkjbbYtBffyudo%2B%2Fk%2Fnz08sMR0BruGskSTn8ybugLg3du1fXfOwDgiASJcmcouhUfuLFAAyOVhZmvTVIF97s3jer8W9NQqKr7glxL9%2Fl0CwCxt%2BZaZOwNAdFke%2FqOf7Btw8S27D6zjswpYSE8RZyR1Q6Yc3YPkBDoboWWFr8XIfW5QNVLK4h8yUVjQS17ALxIoJ59WuGCUo23unIGj773CBaxYGeuEJNuzcQSLw8cfrGaqxdouPS9iF5EodQ5hcMDRd6B%2ByvO6Rfg8A4a7tGK3oZpKHbA6lpcJBG29oX2OSTCgQjVrd2hRTcOX78p9lv2PgssBwpcwRvrEF8D0qJHzZZ4HSvpsgW1RrgEMW0qml1WpnfbYSgHv9JoFtalC9D0OAVuaGS%2FEQSOZOnAf3AG%2Fmnug2273H7MmXibjdpN4jh6dLLcv2g%2FuyWw%2F1%2B7XMomdd6GP5SAL0PnhYz6Jf0L8%2BFmdPqE2g6gv1sT9E7dqKm0ttBTHGtQLtHIF3wav7aA30O50rl5lNOUdB5XgHz6Gy71qNEnvZpTJ5aQJq1%2BcMq%2FCY5wIF8UkofJY%2FshXImhZqgvJQx%2BXj%2BHiCGDiR%2B11%2F1Glh9CtC81ogrdwbh3nOxWLTGDMQPjH%2FfsTQcHfOutVr3ux8PfWMXrbRRDT3DClUBWsQAkVAxC7puXtFlJw9voydhM7erOMwBwQ7024eo4%2B2%2ForHzth78KmuWlss59MonqQ14ks%2FNcd7tAzuywozWlTPBudgGn%2FekZAZ8OnT9mOv8cjVDz7IFLts%2BO1OFgEiXbUZ5TvY5RCxDDpow9mCMYjx2xD9RwlAk5IzeKSdYon6Ol%2BUVrm9Lysx6QwkKLGA5saPYkZGZIsh7IfLiYXrxvXr4pnnS2xTlJtbhjfGKRARDclmRC088%2FAX1XJy9pjrBrYJC%2F0E4rDuMnhqLW21L%2BzlEnkmoTOs611T0KeryYqIHqrd8i3OZMmXmcKWyTKO1l8AEE0NuCiGidDflLzL5CVJPxIrxZFqNlvEJZvR1f%2FaRFvQb5Ev%2FfHHyjSc7pWdt7jU6xq4UI%2FbWBgn0IP2O3NwWhY6aCk8NyUCWfizezxDuFhmlez2It0K6Kx9LEbdGKGI2HViShbD9AoImo4t93jq%2FGwNoBESsGUaK6ieTSgovHLlDRQu3oAYo7PnWR2S9SoTkBIeusIbhClSqmXfessZDZWM%2F6RVT%2BZN4H5DrGaS12Fqw1TNbvGI5CGGXujX2CZw2qUt3e4M0EEWSlgCn34wupc8%2FOU1sgv%2Bkj9OWjGEYypSWYDwwCwQuBPXCzlquxtSa7RK8awuMDPGlVi9urh7nDrJGvjpLBMhqlfg6zr3B7ymsc%2BDnR8fEsFJlOCL%2FdGW6dmi9XdR7OYCyZwu5xcSa0GVYc95Dm7kV9PfxgSOg8wVPNpo8vQTru3GHe6Ir6tnOCq0cKNzkbSW%2FrXo0O9q9Is7TriiaZ9CEhDg7oQyOA5%2B9TI2Gc%2BgetzywOm3mZstvd6DR3jLcs9P7irCEdQuEnxspCObs4BmdriCSSe0DsNJL9lUbuhQEO65O5c%2BOTjgX9mNmlE8jK9NfXoLsKDeadckpub9kS1dhJ0hXhuf4g2uwDEdhaXzK0ByRtEEAcwdyXVDTCb3yN8WyiFb0K%2Bc6G7uUfhSWzhdOeNalfDW2P2JNWuGGHvF1%2FCj0xAWr%2FcZ%2BR%2B5XgwXJbHnmO44i29KegVPqdL7rNWluL96mVjx2thz5BGkPJTdIswBLiTd98K8YPRllXwpRg%3D%3D,13,2,0,0,0,#805286789,Gadnic,XBS6,4500 W,Karaoke,"Parlante Portatil, Parlante Bluetooth, Parlante Con luces, Parlante Wireless","Eventos, Cumpleaños, Casas, Departamentos",Trolley,NA,NA,Live Studio,NA,NA,NA,NA
645, Parlante Portatil Crown Mustang Bt Microfono Cma-402bt 7000w ,5984,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(11 disponibles),6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/HOGAR+TECH,https://articulo.mercadolibre.com.ar/MLA-785794589-parlante-portatil-crown-mustang-bt-microfono-cma-402bt-7000w-_JM#position=9&type=item&tracking_id=881e9dc5-9d73-422f-96b3-0a5740cab605,NA,NA,NA,NA,NA,#785794589,Crown Mustang,CMA-402BT,500 W,NA,Portátil,NA,NA,USB,NA,NA,NA,NA,NA,NA
646, Parlante Portatil Bluetooth Karaoke Winco W247 Luz 12 Cuotas ,9999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				10
				vendidos
			
		",(4 disponibles),6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,88,https://perfil.mercadolibre.com.ar/CLUBDELCELUOFICIAL,https://articulo.mercadolibre.com.ar/MLA-741320000-parlante-portatil-bluetooth-karaoke-winco-w247-luz-12-cuotas-_JM#position=10&type=item&tracking_id=881e9dc5-9d73-422f-96b3-0a5740cab605,52,26,4,1,5,#741320000,Winco,W247,50 W,"Bluetooth, portatil, inalambrico",Torre,indoor,Caja,"Auxiliar, Guitarra, microfono, 2 puertos USB",NA,NA,NA,NA,NA,NA
647, Parlante Portatil Bluetooth Noblex Psb02 Rabbit 3w Rms C Mic ,699,NA,"
			
				Nuevo
			
			
				
					 - 
				
				18
				vendidos
			
		","
		
			¡Último disponible!
		
	",12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,92,https://perfil.mercadolibre.com.ar/TIOMUSA,https://articulo.mercadolibre.com.ar/MLA-756800057-parlante-portatil-bluetooth-noblex-psb02-rabbit-3w-rms-c-mic-_JM#position=11&type=item&tracking_id=881e9dc5-9d73-422f-96b3-0a5740cab605,68,20,2,1,1,#756800057,Noblex,PSB02rabbit,3 W,NA,Activo,NA,NA,NA,0.35 kg,Adorable,NA,NA,10.8 cm,10.2 cm
648, Parlante Daewoo Party Speaker Harr80w Rms ,5200,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		","
		
			¡Último disponible!
		
	",6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/CORDONAT+TECHNOLOGY,https://articulo.mercadolibre.com.ar/MLA-779445902-parlante-daewoo-party-speaker-harr80w-rms-_JM#position=12&type=item&tracking_id=881e9dc5-9d73-422f-96b3-0a5740cab605,NA,NA,NA,NA,NA,#779445902,Daewoo,NE-222,80 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
