search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca da Capa,Marca de Celular,Modelo de Celular,Modelo da Capa,Tipo de capa,Material,Cor
13, Capinha Aveludada Apple iPhone 5 Se 6 6s 6s 7 8 Plus Xr Xs ,15,NA,467,18,3x,5.33,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,7,https://perfil.mercadolivre.com.br/TECMODENA,https://produto.mercadolivre.com.br/MLB-1230329082-capa-anti-impacto-p-iphone-6-7-8-10-x-xs-xr-pelicula-vidro-_JM?searchVariation=37033346817,5,2,0,0,0,#1230329082,HR,Apple,Escolher no anúncio.,TPU,Capinha,Silicone,NA
14, Capinha Holográfica iPhone 6 6s Plus 7 8 Plus X Xr Xs Max ,24,NA,NA,10,4x,6.22,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/EXTURO,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=mJxDnBGKnkH4l6MnxXBWbvogPg4lLAxtG4m1P1MujDCKPs%2F0uG2FabUB4dUgkTYr2nOWbXg3UOCbRLfaaW%2Bp8x%2F%2Fbwu0N9OiB4%2F5tFgLeljtEHEAd%2FJV3nYAOV2TYhz3mvTbugm78o1dZjc1mS6StwtdZmygYEG5CxH%2BXRVUMJ4Y5DBRn6b9bmSNg%2FFXeURl1RWg1%2Frt%2B0K98FOT2VrRV94K2KdVfKf8VgFuRPvsSzD49JQK46lpLysxx71ZKTuYwyreWWccvlC0OmeJzS6yYDAUH0iZ0JbXiuvZxZQEJGUU3a%2F12N5GYej5okNSeCKXeEzKUnva5AGm4VBXxN75txvRzIKKOJRhYeki21QdvvdF7oYCRkPap8%2BpM08Pmlb6cE4e6COpph1qHzyucUhx%2BB74biLMYV10FzWhN9UrnGOwmYwKSiNYV8GqmvzFckVNkEAGiFwTJA6%2Br5zzZBpZdNMxMurGi4F5DnRMykZzFmOxfAOBAbeOfLpEZKt6bMNbzpdBuHsXid9%2FPPofn%2BJPLso6Bo9FrQZLPqXezBmSAw%2F8coV9sygMuYlHs63Bi4P7zQoQrd%2FjGRmHcwd48ll9FlE%2Bz6DBn4vndDWFTFBT53A7fv8x6sF%2BmICJGydz1L7ID9N2S8jsLsaXxpw1wyN4mzDkKvV8XrmdlQCx03Hz10Et0a8%2F1QhcTQqOxPQpLdtYkkaVO4YJKyISkfxNhXi5TfHvsgquTNGC280FroXCOB56VQFLM674OXbE5%2Bb0Yye6MSw0PICeVXkfhNECP81XYHeiApt436aBLcCPuec9QDHPVUtZBzXIVgK7EhqdOGXQ2unm8uZ5VMayr9XfI3vaW7OAYEdR9bykO0dszbVb1CoimuhTWybhLObeot5vXVYGdtTsrYZzMp87zgWL89g3Lfr00qc6L02fxZ2h1We4x8OG%2F%2Fo2uBhmWn0VcumA0UmdIlNrH2ZTlF3TjiS1aHLNgEPyTlBE0K2bR4Vu1ix0Y1nbXMvWKrDqMf%2B3RrkFetO9UjX4KsvQZNUIlVTPC2naZXmbVppFrLfZo%2FWE50h3c6KQ%2Fb4WS8kunzczoLiGM1rUuwtzpGVOT60XUeaxIkeQBtFOighxCdsZkL6Xypw%2FjO%2BQVqx3w7jlCtfO6dcWQkoHeR3IaHDha1v1dSwACxNgLA%2BZVSEftQky80gp88X007coG7ZHFSh4iLHrf%2BV%2FpTz4bDWzkBNjJLF4Et4RTkBsL7DslRIt7fwOM5qeNqVcEplT%2FHyigBUihC7qOWH%2Fw5xXDPh5%2B%2FIJHO8o3lJJmk2FA4p1WQVDjmx6Uj5NuPDD4ddB5zE9ki69%2BJAg%2F%2F7fge%2BRudKNPuE2HNKf4IHUzET0OG0tUZdvZo7lUSjvSSe6xjTwTAYNDjv2uBn9rbk4LpQx5oAsOiYaAfUIUGUPrxOM%2FKTSueBbQFwYXpN1uasWyXpputKjd6vFJYpx%2FJbS0bOxubWNfC%2BnAy85zgXm1Di9k6cAdOKhezyyIqgajYSoOurSTrxQRsMVVxSReT7%2FMgGDRNJNv%2FKaaC06aIosiPDpyDPs84lZ4cJHZigvUx9gGue4f0HJsNwl2g2%2F8PNGlZXp51bCi3O9pPDAS7Urlzdo9uTYins%3D,NA,NA,NA,NA,NA,#1295273051,NA,Apple,Iphone,Holográfica,Holográfica,TPU/Policarbonato,NA
15, Capa Capinha Anti Impacto 4em1 iPhone 6 7 8 Plus Xr X Xs Max ,16,NA,318,20,3x,5.62,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,5,https://perfil.mercadolivre.com.br/TECMODENA,https://produto.mercadolivre.com.br/MLB-1056485759-capa-anti-impacto-p-iphone-5-6-7-8-10-x-xs-xr-pel-gel-_JM?searchVariation=26828489024,5,0,0,0,0,#1056485759,H+,Apple,Escolher no anúncio.,TPU,capinha de silicone,Silicone,NA
16, Capinha Silicone Aveludado iPhone 8 Plus Amarelo ,32,NA,369,821,6x,5.50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,7,https://perfil.mercadolivre.com.br/GLOBALELETRONICOSEIRELI,https://produto.mercadolivre.com.br/MLB-1246923437-capinha-capa-case-silicone-iphone-7-plus-8-plus-aveludada-_JM,7,0,0,0,0,#1246923437,Silicone,Apple,iphone7 plus  iphone 8 plus,iPhone,Silicone,Silicone- Aveludada,NA
17, Capinha Silicone Aveludado iPhone 8 Plus Rosa ,60,NA,632,1262,12x,5.00,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4,26,https://perfil.mercadolivre.com.br/MARKETMIX1,https://produto.mercadolivre.com.br/MLB-687097200-capa-capinha-case-magnetica-iphone-6-7-8-7-plus-8-plus-x-xs-_JM?searchVariation=27812486572,15,3,3,2,3,#687097200,Marketmix1,Apple,Iphone,Magnetica,Silicone,Emborrachada,NA
18, Capa Capinha Ultra Fina Fosca iPhone 6s Plus 7 8 Plus Novo ,19,NA,697,940,3x,6.66,NA,Envio para todo o país,NA,NA,4.1,28,https://perfil.mercadolivre.com.br/MARKETMIX1,https://produto.mercadolivre.com.br/MLB-709855452-capinha-case-capa-iphone-4-5-5s-se-6-6s-7-8-7-plus-coracoes-_JM?searchVariation=20025292856,18,3,2,2,3,#709855452,Marketmix1,Apple,Iphone,Silicone,Silicone,Silicone,NA
19, Capa Capinha Ultra Fina Fosca iPhone 5 6 7 8plus X Xr Xs Max ,29,NA,91,409,5x,5.80,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/REI_CELULAR,https://produto.mercadolivre.com.br/MLB-1165536270-capa-case-capinha-silicone-aveludado-iphone-8-plus-branco-_JM,1,0,0,0,0,#1165536270,Apple,Apple,Iphone 8 Plus,iPhone 8 Plus,Silicone,Silicone,NA
20, Capinha Holográfica iPhone 6 6s Plus 7 8 Plus X Xr Xs Max ,55,NA,NA,10,10x,5.58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/EXTURO,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=FPT5Wdd4H6jfXATEsyius0Fp97Rq8090tW1dVF3w7ANvL8JA0JSDy%2FS7jUwaQJ62DVxYdr%2B6RR7f5EE3Xy1DknQ8NzlU183Xt3TEUwNAqDLiuI0VHUT1d%2F%2FCPyUx1dL9NWQNG%2FBGA%2B4fCkDm8YiOUPxPEXTX3303aMkc4vBsl9D8Ka%2F11ymQcLGezZsBoIqiTJXeqJdiou0ZJ0cAsFjAY6OcEzSDga2bodBGDuktSPNunPFG03RosEzDi1YozuXT149AB9elEdrdKhLMSOXvT8zm57bqkRcN2sF6m6rIlCTs6HBpi2h5ryF34CESilUYC7BW7OgnxwEbOvmmBxsvEXjFZTDar0ilCStAulQ1dABHCeJOZg%2B%2FXqt9aPxP9JbdZzy%2BaionNPvnXcu1K1oPQj1jnpXDCF8YVFcsCK%2B3jkgwLLQdiprqanEYfHnBKXGhNp6ic6w9Lbgj1Tt9rx9D9uEAz13n308jrXPtKv4fR8jjN2jThpq0ZSyST%2BNVI6SE6xYuN3%2FfcNSwTla4xp9kbTcGR9d3rJiXpbzb6cSevNxPFA%2BTyWyocReh82kx3GsvhLxN0P1dH1Cuxkmf%2BAZ04NRRTsDYBsaHP2F40UEX9XWEDoSXBnIzYqLD1mr3WqyClKqL80ZaoOdGHjGd3kff7YyFIWd8oTyseFkX0IYaGA6u%2BYUc5pvGgczLNWPfHd89unCvSyIiJXzfW%2BQVsnpoDFLUlsZ4ICsRsNpYdSpJ2dwKQdkODd3cjattPCjT3fJ%2FF7CzHco9WrUv8fJg8Rtp7xAptPAya98LS3DFVgqQ4IHPKGVftjwT4DCWrywca%2FkPib9gsQ4%2FmfH%2BZagyx3SH7p98NU0fXInruAbth0yQanwLCTEAjadUb5MrXhIaw3vpVgbYauU90WUcfIF5On0sVy2XyFwLYRGEOsSL1Zy02jxv0hVyOrknBX16pvRM5BFrKb0H2j34lShe2XiQMvhiM8Bnj8YmDQXxqqpoCJ9pr%2F8MuNiYEFIk%2BOnld325dHgghCw1zpDtNDw7cWmzVSytsCvWdmL0aYk8iuTgBH%2BPjfCOUjIqK6fpykGn2OxA1LwAKOJrbvA%2FUAWsQjvXx5SJkczG1uqdLfPEhggrGk83IKT5V5JSXipy0kvZIbP3TsPRLdopu2lFK02C2AMsMbVuf2X6laKlbFhhZ1fnarFC1KmYEMoNVmQ2sBvcN85%2BZf3jNbmeOvt4pw3BympVENnYpL4Go0cB%2FIZaOU1crUq3mpJKAXCxV0A4MkPflRU%2BDlShKAwByvXthUzB%2F98DLmQqpYIeivYqVp%2BCpWSpHZQ%2Br9QuEMFNUymaFgxehoU37Six4C918MOGG18QXqTfEM9KCeaUo4V7M%2FUUHZu3v3lSmQ33fpsoX8Qpa%2FLhqejHJ03GHcretBew0aY5y2IJXAjs3jPWj0%2FzHFQj%2FRT0yME%2BNj4GPxQGJvzU9jUP6b8QfPdoqpMgLK2bCUqd4XG%2FMRUeQcKWF4mUWtP%2B4ZkIq9Tm2%2B5yRcgTwxmdjVxUwX0UZbMh1gZBlkkoXmc59lYWBPEAvack%2FA4d%2FMgSUAcx9Qlt6DFbc5bzRV5KRCrSsrm8UoRYa%2FalaNL7awmnl92Chu7mRJ%2FCWjE%3D,NA,NA,NA,NA,NA,#1295280664,NA,Apple,Iphone,Holográfica,Holográfica,TPU/Policarbonato,NA
21, Capa Case Capinha Silicone Aveludado iPhone 8 Plus Preto ,17,NA,1199,879,3x,6.37,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,33,https://perfil.mercadolivre.com.br/MARKETMIX1,https://produto.mercadolivre.com.br/MLB-689234987-capinha-anti-queda-silicone-iphone-x-xs-xr-max-5-se-6s-7-8-p-_JM?searchVariation=21674208427,25,4,2,1,1,#689234987,Marketmix1,Apple,Iphone,Silicone,Anti impacto,Silicone,NA
22, Capa Capinha Case Flip Magnética iPhone 8 Plus ,48,NA,101,819,6x,8.11,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/KARMINPARTS2003,https://produto.mercadolivre.com.br/MLB-1214046247-capa-capinha-case-flip-magnetica-iphone-8-plus-_JM?searchVariation=35503300510,1,0,0,0,0,#1214046247,000,Apple,iPhone 8 Plus,Magnético,Flip Magnético,TPU/Policarbonato,NA
23, Capa Anti Impacto + Película Gel P iPhone 5 6 7 8 10 X Xs Xr ,54,NA,206,7644,10x,5.50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.7,6,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1213999114-capa-capinha-magnetica-premium-iphone-7-8-plus-x-xs-xr-xsmax-_JM?searchVariation=37715721002,3,0,1,2,0,#1213999114,jk capas,Apple,iphone,Magnética,capa protetor,metal e vidro,NA
24, Capa Capinha Case Flip Magnética iPhone 8 Plus ,22,NA,2216,3700,4x,5.75,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,99,https://perfil.mercadolivre.com.br/MARKETMIX1,https://produto.mercadolivre.com.br/MLB-686071680-capa-capinha-iphone-xs-x-xr-6-6s-7-8-plus-max-anti-impacto-_JM?searchVariation=20023563955,78,10,6,1,4,#686071680,Marketmix1,Apple,Iphone 5s/se/6/6s/7/Plus/X,Anti Impacto,Anti Impacto,Silicone,NA
25, Capinha iPhone 7 8 X Xr Xs Max Case Ultra-fina Transparente ,34,NA,340,443,6x,5.82,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.8,16,https://perfil.mercadolivre.com.br/AQUITEMDETUDO16,https://produto.mercadolivre.com.br/MLB-835972839-capa-capinha-case-rosa-de-iphone-7-feminina-_JM?searchVariation=25908148601,10,1,1,0,4,#835972839,Apple,Apple,7,"7""",Silicone,Silicone,NA
26, Capinha Ultra Fina Fosca iPhone 6 6s Plus 7 Plus 8 Luxo Capa ,20,NA,230,44,4x,5.25,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,3,https://perfil.mercadolivre.com.br/PRESENTES4ALL,https://produto.mercadolivre.com.br/MLB-828466878-capa-capinha-ultra-fina-fosca-iphone-x-5s-se-6s-plus-7-8plus-_JM?searchVariation=32338006784,3,0,0,0,0,#828466878,Apple,Apple,iPhone 7 Plus,iPhone,traseira,TPU,NA
27, Capinha Com Foto Personalizada iPhone 8 Plus ,49,NA,60,8857,6x,8.33,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,2,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1204440894-capa-capinha-anti-impacto-luxo-iphone-6-7-8-plus-x-xr-xs-max-_JM?searchVariation=34758789527,2,0,0,0,0,#1204440894,gkk,Apple,iphone,capa 360,capa protetor,TPU/Policarbonato,NA
28, Capinha Silicone Aveludado iPhone 8 Plus Azul Marinho ,29,NA,63,437,5x,5.80,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/REI_CELULAR,https://produto.mercadolivre.com.br/MLB-1165536360-capinha-silicone-aveludado-iphone-8-plus-amarelo-_JM,NA,NA,NA,NA,NA,#1165536360,Apple,Apple,Iphone 8 Plus,iPhone 8 Plus,Silicone,Silicone,NA
29, Capa Anti Impacto P iPhone 6 7 8 10 X Xs Xr + Película Vidro ,29,NA,59,441,5x,5.80,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,2,https://perfil.mercadolivre.com.br/REI_CELULAR,https://produto.mercadolivre.com.br/MLB-1165536357-capinha-silicone-aveludado-iphone-8-plus-rosa-_JM,2,0,0,0,0,#1165536357,Apple,Apple,Iphone 8 Plus,iPhone 8 Plus,Silicone,Silicone,NA
30, Capa Capinha Magnetica Premium iPhone 7 8 Plus X Xs Xr Xsmax ,14,NA,103,9,2x,7.60,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/MAITE_26,https://produto.mercadolivre.com.br/MLB-1205102371-capinha-casca-de-ovo-ultra-fina-iphone-7-8-plus-x-pelicula-_JM?searchVariation=34807626240,1,0,0,0,0,#1205102371,Ipremium,Apple,"Iphone 7, 8, 7Plus, 8Plus e X",Slim Transparente,Slim Transparente,TPU/Policarbonato,NA
31, Capa Case Capinha Silicone Aveludado iPhone 8 Plus Amarelo ,29,NA,39,461,5x,5.80,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,2,https://perfil.mercadolivre.com.br/REI_CELULAR,https://produto.mercadolivre.com.br/MLB-1165542688-capa-case-capinha-silicone-aveludado-iphone-8-plus-preto-_JM,2,0,0,0,0,#1165542688,Apple,Apple,Iphone 8 Plus,iPhone 8 Plus,Silicone,Silicone,NA
32, Capa Capinha Case iPhone 6 6s 7 7 8 P Ultra Fina Casca D Ovo ,20,NA,376,68,4x,5.25,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,11,https://perfil.mercadolivre.com.br/PRESENTES4ALL,https://produto.mercadolivre.com.br/MLB-828661397-capa-capinha-tpu-ultra-fina-iphone77plus5se5s6-8-barata-_JM?searchVariation=39632579712,7,2,1,0,1,#828661397,Importado,Apple,Iphone 7 plus/ 8plus,Flexível,traseira,TPU,NA
33, Capa Capinha iPhone 8/8 Plus/7/7 Plus Caseology Parallax ,64,NA,1,3,12x,5.41,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/CAPINHASMARTPHONE,https://produto.mercadolivre.com.br/MLB-1132500213-capinha-ultra-fina-iphone-8-plus-nillkin-nature-tpu-original-_JM,NA,NA,NA,NA,NA,#1132500213,Nillkin,Apple,iPhone 8 Plus,Nature TPU,Emborrachada,Silicone,NA
34, Capa Capinha iPhone 8 Plus/7 Plus Ringke Fusion Transparente ,139,NA,1,3,12x,11.66,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/CAPINHASMARTPHONE,https://produto.mercadolivre.com.br/MLB-1132808261-capa-iphone-8-plus-capinha-nillkin-de-fibra-de-carbono-tpu-_JM,NA,NA,NA,NA,NA,#1132808261,Nillkin,Apple,iPhone 8 Plus,Fibra de carbono,Fibra de Carbono,Silicone,NA
