search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del Celular,Modelo del Celular,Marca de la Funda,Modelo de la Funda,Tipo de funda,Material
1,Funda Silicone Case 5s Se 6 6s 7 Plus iPhone 8 Plus Original,499,NA,2103,285,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,68,https://perfil.mercadolibre.com.ar/REMOTODOMICILIO,https://articulo.mercadolibre.com.ar/MLA-689528238-funda-silicone-case-5s-se-6-6s-7-plus-iphone-8-plus-original-_JM,52,10,4,0,2,#689528238,Apple,Iphone,Apple,Silicone Case,Silicone case,Silicona
2,Funda Rigida Antigolpe iPhone 6s 7 8 Plus Xs Max Xr + Glass,599,NA,706,360,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,13,https://perfil.mercadolibre.com.ar/REMOTODOMICILIO,https://articulo.mercadolibre.com.ar/MLA-722492563-funda-silicone-case-iphone-8-6s-7-plus-se-vidrio-templado-_JM?searchVariation=34039427293,12,1,0,0,0,#722492563,Apple,Ihone 6s 7 8 Plus,Apple,Silicone Case,Silicone Case,Silicona
3,Funda Silicone Case iPhone 8 6s 7 Plus Se + Vidrio Templado,499,NA,407,111,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,9,https://perfil.mercadolibre.com.ar/REMOTODOMICILIO,https://articulo.mercadolibre.com.ar/MLA-686264793-funda-silicone-case-iphone-8-7-plus-5s-se-6-6s-original-_JM,7,2,0,0,0,#686264793,Apple,Iphone 7 8 y Plus,Apple,Silicone Case,Silicone Case,Silicona
4,Funda Silicona Silicone Case iPhone 7 8 Plus X Original,499,NA,98,44,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5,3,https://perfil.mercadolibre.com.ar/CLUBDELCELUOFICIAL,https://articulo.mercadolibre.com.ar/MLA-721627899-funda-rigida-transparente-antigolpe-iphone-5-6s-7-8-plus-x-_JM?searchVariation=34805249032,3,0,0,0,0,#721627899,Apple,"iPhone 6, 6s, 6 Plus, 6s Plus, 7, 7 Plus, 8, 8 Plus X",OEM,Fusion,Acrilico Reforzada,TPU/Policarbonato
5,Funda Ringke Original iPhone X Xs Max 7 8 Plus Xr +envio,1122,1189,404,284,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,19,https://perfil.mercadolibre.com.ar/NORCEL_CABA,https://articulo.mercadolibre.com.ar/MLA-749127423-funda-ringke-original-iphone-x-xs-7-8-plus-maxvidrioenvio-_JM?searchVariation=32500157139,18,1,0,0,0,#749127423,Apple,IPHONE 7; 7 PLUS; 8; 8 PLUS; X; XS; XS MAX; XR,Ringke,Fusion,Rugerizada,Acrílico
6,Funda Metalica Magnetica Vidrio iPhone X Xs Max 8 7 6 Plus,740,NA,1747,534,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,119,https://perfil.mercadolibre.com.ar/TIENDASHOPEALO,https://articulo.mercadolibre.com.ar/MLA-666368423-funda-rigida-antigolpe-iphone-6s-7-8-plus-xs-max-xr-glass-_JM?searchVariation=34624942900,79,25,7,3,5,#666368423,Apple,"iPhone 6, 6s, 6 Plus, 6s Plus, 7, 7 Plus, 8, 8 Plus X, Xs, Xs Max, Xr",Sin Marca,Fusion,Bumper,Acrílico
7,Funda Super Anti Golpe Reforzada iPhone X 6 7 Plus 5 Se X,971,1029,993,4,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,50,https://perfil.mercadolibre.com.ar/NORCEL_CABA,https://articulo.mercadolibre.com.ar/MLA-711298702-funda-ringke-original-iphone-x-xs-max-7-8-plus-xr-envio-_JM?searchVariation=32500129944,41,6,3,0,0,#711298702,Apple,IPHONE 7; 7 PLUS; 8; 8 PLUS; X; XS; XS MAX; XR,Ringke,Fusion,Rugerizada,Acrílico
8,Funda Rigida Antigolpe iPhone 6s 7 8 Plus Xs Max Xr + Glass,499,NA,407,111,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,9,https://perfil.mercadolibre.com.ar/REMOTODOMICILIO,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=2Zrbq0f0ZhlQmgZcriwYCAmdb7nA90s2WlCeKexBgaqYrvtqrRkaldw22Si44LHZA4bsinFKDj4r31Im3yBol7kz4f0boDERbPSTjlNOkPtgNLuy2n2gzFdT2lWAKAowg6zAK6togcvcSN2%2FjseP2oXbHdDNPg7CKNA%2FMueXU5qQWZdncHTAUKH40iSgLFs8Wa2VXLcdC1hfDHMtT2Z2VFs3WFg%2BMFSIjXVfcG6ibzGZyGcJ2S6h6MTvcUi3TOOMB6UIwQr6skaLbP27a4OvzXPCGrSbQArcfam0T7e9IINVv%2Bakx8z9l3C8Gsc3AFKv1bEJM9V%2FSxEo%2F3BLa2mja3o93qKrrn2%2F%2B9B4vTlBda6hN1j5yFAJqb4SUpKXl2GTagiCwWL4ul%2BZf6iThxJUaF8zyuYEvgzxIfu4%2FWyW%2BhomLiHukoI%2B7zN3TvzZRPgi7qX9ivI4L2AsYveD3ULmjOcPBqb%2FZkOx2Fc9TCRygf3l69jQZMVq4FRoYH21a1k8f8%2BB9jX3kMybIOuMk4T4XrLSAYnHjQIxOiQgSVkKKHbYowV6CeOuWoQgLHkdGSHJw4B7JB3JKL1B2lW1yUha1Hx%2BhTAdL20dP%2F4o8IveXG8s7hPxqflKsxjlrCcLZRPBhsYwxRkDgc6lDqvc5CWB7PsRrpNHP4oF4%2BL89WRXdQ4zyx%2FmDlFZ8cfR4PPHGqZPn1Qf7uUWozXGp4a9d6InsRo2HsR7xzzW36QBDd0ct7x%2BPmuq3u45T%2FeGkZN84IHQV9296k6qTHkcvMt78VAVkrrIz9cMDWVWe9XdoB2rjAPGa4oRijqvTpb6i2Y1d6r1drG4SAaZXyl5DKlurrSdAoS3Grhi1DHTVdpruWOR4L90cDhdtFAiEHEW2VVK6AcoNalNaQ%2FXt1DIPp%2FsfrXRfhfmFGQvk8dE0QzdvTR09OPwfGXMsmE3S5lyLKZyJrIq7dJ13lzBMYhe%2Fr4ks%2FGJUNrKBBfoqECf9gIZZV%2BEA3Lgf2YZ4qB9jWDkQ4ZoNV0DqkN2Gl1iJUhXzMPCSf1q12sTPpNRw%2FQXoNYZR0qIZkb1tLBjugMRp5fImmjU0U9VLbsGnL75n9Sjw5iMieVn66siKJjxmUQL7Tlr3PdL089RY%2FnUDH7ktm4rkkKRLpxNVwfsIfxoDfx3RBYDtvWZ%2FTgNOsvRoUIDmD%2FavGU9kUR6irfza0OHCeiv4troPuk7dgDU2xOTLCaUYxDMraoverfTwDvjpsizZ0zoF9JOifEwjY5PZ8PU7Itqy3X6EzC9Gf%2Blf00cq8XhXmuSkusq2z6oqta7Mn72p9Js19TGzC0Xd7qC3H4id5zNDcRPpuwyEY%2BzQFYWCg1991IpMLMyvWCbhBIBpcshHaPcE3XpK26uw391Klf2MaI9koXTK9NsnROvQ4cQlHX8k1z1MwhIuc7RId0XzPDyTfz71jjK8QLsR2fnKR1pGWzN43K3RwjnZ9Q6U8YlNcBBJB9kEnZYEKnADQNzsfkObyfV5LC3WrOCSRRyuYida1kRPXdyiiKnj83J7o%2BLf5p4TxHubFM7dxxneTn9hKiGfGJ5ByUbz8xv%2BHBx1FJYCN9ShDWVpZf1tp%2F%2BfPRnnCSxLWESTwsThu9zBs%2FvHpZvfOVBafwNEqaCnNR5VlYZillFHShKa7u8tn1ctDgW69EuI1CTdWrWup9PA6My55eElBp4UyNQkk3%2F%2BIRwSx7riX4LaU4TQadcppLW2p5wz0OFDIsNNooIj7Z5vr9ZXBaxcE7nSP5f78EUvuiJVQRCTqXGbtu5XxAdPGrVf39IaAKKXwPHOfoIZwY5yMUWDyRCviKO,7,2,0,0,0,#686264793,Apple,Iphone 7 8 y Plus,Apple,Silicone Case,Silicone Case,Silicona
9,Funda Ringke Original iPhone X Xs 7 8 Plus Max+vidrio+envio,520,NA,611,828,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4,23,https://perfil.mercadolibre.com.ar/TIENDASHOPEALO,https://articulo.mercadolibre.com.ar/MLA-636606079-funda-tpu-slim-iphone-6s-7-8-plus-x-xr-xs-max-templado-_JM?searchVariation=28306700078,11,7,2,1,2,#636606079,Apple,"iphone 6, 6s, 6 plus, 6s plus, 7, 7 plus, 8, 8 plus, X, Xs, Xr, Xs Max",Sin Marca,TPU,Silicona,Silicona
10,Funda Silicone Case iPhone 8 7 Plus 5s Se 6 6s Original,620,NA,146,665,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5,6,https://perfil.mercadolibre.com.ar/TIENDASHOPEALO,https://articulo.mercadolibre.com.ar/MLA-666367720-funda-tpu-rigida-antigolpe-iphone-6s-7-8-plus-x-xs-max-xr-_JM?searchVariation=34622412465,6,0,0,0,0,#666367720,Apple,"iPhone 6, 6s, 6 Plus, 6s Plus, 7, 7 Plus, 8, 8 Plus X, Xs, Xs Max, Xr",Sin Marca,Fusion,Silicona,Silicona
