search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Marca del celular
1, iPhone 8 Plus 7 Plus Funda De Silicona Transparente ,9.4,NA,4,16,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/APRECIOSDEREMATE,https://articulo.mercadolibre.com.co/MCO-525740005-iphone-8-plus-7-plus-funda-de-silicona-transparente-_JM,NA,NA,NA,NA,NA,#525740005,NA,NA,NA
2, Spigen Tough Armor [2nd Generation] Funda iPhone 8 Plus ,119.9,NA,4,5,12 cuotas,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AKARGO+COLOMBIA,https://articulo.mercadolibre.com.co/MCO-463250747-spigen-tough-armor-2nd-generation-funda-iphone-8-plus-_JM,NA,NA,NA,NA,NA,#463250747,NA,NA,NA
3, Funda Forro Protector 360 Gkk Estuche 3 En 1 iPhone 8 ,27.9,NA,5,5,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/CAROLINA.CASTRO68,https://articulo.mercadolibre.com.co/MCO-516343803-funda-forro-protector-360-gkk-estuche-3-en-1-iphone-8-_JM,NA,NA,NA,NA,NA,#516343803,NA,NA,NA
4, Funda Sumergible /iPhone 8/7plus/ 6 Plus /8/7/6/6s/universal ,34.99,NA,17,2,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/NEXOSGROUP2010,https://articulo.mercadolibre.com.co/MCO-447917005-funda-sumergible-iphone-87plus-6-plus-8766suniversal-_JM,NA,NA,NA,NA,NA,#447917005,NA,NA,NA
5, Vidrio Cristal Trasero Repuesto iPhone 8 Plus 100% Original ,89.9,NA,11,25,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/IWORLDSERVICE,https://articulo.mercadolibre.com.co/MCO-465277145-vidrio-cristal-trasero-repuesto-iphone-8-plus-100-original-_JM,NA,NA,NA,NA,NA,#465277145,APLE,CRIREP8P,NA
6," Forro Estuche Protector Funda iPhone 8, Solo Rosado ",16.99,NA,7,NA,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/WL+INVERSIONES,https://articulo.mercadolibre.com.co/MCO-472579934-forro-estuche-protector-funda-iphone-8-solo-rosado-_JM,NA,NA,NA,NA,NA,#472579934,NA,NA,NA
7, Estuche Funda Bumper Protector iPhone 8 / 8 Plus Negro ,39,NA,39,5,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/KLIDAD+OFICIAL,https://articulo.mercadolibre.com.co/MCO-524696672-estuche-funda-bumper-protector-iphone-8-8-plus-negro-_JM?searchVariation=40859589966,NA,NA,NA,NA,NA,#524696672,NA,NA,NA
8, Vidrio Cristal Trasero Repuesto iPhone 8 100% Original ,79.99,NA,5,15,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,2,1,https://perfil.mercadolibre.com.co/IWORLDSERVICE,https://articulo.mercadolibre.com.co/MCO-465277106-vidrio-cristal-trasero-repuesto-iphone-8-100-original-_JM,0,0,0,1,0,#465277106,APLE,CRIREP8,NA
9, Funda Iluv Para iPhone 8 Y 7 Plus Crystal Ring Transparente ,47,NA,2,NA,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/ANROHEZ,https://articulo.mercadolibre.com.co/MCO-518742210-funda-iluv-para-iphone-8-y-7-plus-crystal-ring-transparente-_JM,NA,NA,NA,NA,NA,#518742210,NA,NA,NA
10, Estuche Funda iPhone 7+ iPhone 8+ Protector Transparenterock ,34.99,NA,18,5,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TECHNOSMART+DISTRIBUCIONES,https://articulo.mercadolibre.com.co/MCO-462539535-estuche-funda-iphone-7-iphone-8-protector-transparenterock-_JM,NA,NA,NA,NA,NA,#462539535,NA,NA,NA
11, iPhone 8 Plus Kit Protector Funda Delgada + Vidrio Templado ,48.9,80.000,24,4,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.2,6,https://perfil.mercadolibre.com.co/TIENDANOSTRA.COM,https://articulo.mercadolibre.com.co/MCO-458321230-iphone-8-plus-kit-protector-funda-delgada-vidrio-templado-_JM,4,1,0,0,1,#458321230,NA,NA,NA
12, iPhone 8 Kit Protector Funda Ultra Delgada + Vidrio Templado ,48.9,80.000,18,2,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.3,4,https://perfil.mercadolibre.com.co/TIENDANOSTRA.COM,https://articulo.mercadolibre.com.co/MCO-458321711-iphone-8-kit-protector-funda-ultra-delgada-vidrio-templado-_JM,3,0,0,1,0,#458321711,NA,NA,NA
13, Otterbox Defender Series Funda Para iPhone 8 Plus Y iPhone 7 ,219.9,NA,1,5,12 cuotas,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AKARGO+COLOMBIA,https://articulo.mercadolibre.com.co/MCO-459385397-otterbox-defender-series-funda-para-iphone-8-plus-y-iphone-7-_JM,NA,NA,NA,NA,NA,#459385397,NA,NA,NA
14, Forro Estuche Funda 360 Antigolpe Waterproof iPhone 8 / 7 ,239.999,NA,4,5,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/IMM_COLOMBIA,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=Ur0g0Jisuo8kdNfc62NTWAq714GOrIqmSe9zNk6q4kb6P7Dco3FOo5sqBplfDIjIONKoDutbvVDQ9QdANW950VFbUwM6Z%2BUZ2s%2F4Lp19%2BtSjbqHeY1CD68a7qu7e40IuG6kT0%2B2TGldZ4PfmVRPYXRS8lOzEGch82mfl32Kbux3inULmydPE7Keaul4KrDxw4a6Nl6RHSPZUqmqYvsL9KimVqoxoXxLt%2FsGiB7OiLfqSFNWxFfYQwpfgImbpQLMlZqsY4m3o4ZeWl0cgDLt0A%2F0JbmPIxh38hcLuEtT6T%2F07ecMtb%2FJvFSZbDlrddFRjsACJ8Jhy26j8dJcL%2FLI0OkPx5HCvYftfFzZO1M1wmoZZ5kCQZ6rzsP%2F9XpfOqpI0N94lhmhpmDWJhrfM1QY9g0Zm6HqF6zpQm8bOgb1XrFu3TbNleKYzOHdabnp1w2TBsO31KIL%2FBkaSA6Qsb9sab54wc89NsBvNX1MKeaDdKgKD7dWHQd6WEZwr4BnOAi12wh99Xk0FDDYSXDEQVJhH7ePFVVXsl0ruNzO08oYlErUssvMmGH9u%2BpRq0vrikl5E08s6tcjSVubg18Cn%2Bw39FBpgLoZw%2Fvc3uoEXuOo1g%2BTcq%2BR%2BFVVKdwb9Rxfjnq6hgcPX%2BkqaQ5j2PTOt4HXu6pwgi0wQ%2FC9hBJDw0XQfH4gd8RiXhBuuSeNYhUyjoYV42EBktCKIU4J5sNC8JVFhYiD3dRFc6MHMEIOei6Cb2kg%2FybWjEZIUlYYGsvh20TgtW1Etm8Lbn7kk9gmttw3KR6x1m4vvLSjD5c2i3hSOTDqXffTrm961PjRtpmwu0kwszkmlsPGivPz5jFuEVp4zDBRy3nNKBh4Pa4dtrippMydHcbZkC3Ro0u84P07Y%2FyiK4odwMjL1tADpfW%2FsshtsDf51z2IEOBWbxQTzrT%2FwX4QOBwpOe4wltFnP3VAvrUPZBTFwFvAPaTc3%2BB%2BoMyWGkaHNw%2BClEYzXkF3epgOdEr1XKimMX10nsphZVu3xMonhR9G4jaY7GhGO%2BrjZBBR%2BrBaoNaPeA%2BjSl4Pl8Iq3z%2FrbreQj4wKkzzoDl4HdViaDpA0BToD64taRc5fMzcPSaZQDfBSvojlFTGpkssfYlJqPGWo67IS4svZrgf4p97h86YkcF3ON3v51FbANHFIOkbKI%2FjHLLbp5qTuXmCckjPbBkMpwSxgEDfwSWeMpVLsqEHihGDJmVOo4vVvzxbe%2BagI4SRQXaN9AFNkfhvj%2F9IArH1LIMzakIXo5vbYHsRe0CjtZ7z2obvHaf9ivwcZa56OigMo%2FYzOH1evLjPvgdGGouvcUyYbKA3T9aJBN4JUM7WForW0W1AHAlrT4%2BGntapPDlsbg3%2Bz2CZyHs4nwkq8RrpEk1wZ14emKm3Eq1WaHGTY709AEJwvowM26fi83heUlvefOXL6obTcvb3cUql1nGUaVQ%2BD5aWc6esetVjdPSEj3vd3fweKqAcpeiUqynf2fF0Fp9nP1iNRjoHVTreL9TCcgZFxi5K%2Bj6FRZuWdsFhIt5buF889nYFzk%2BCujrRMqs0r32zqcb3enYUBfP8M%3D,NA,NA,NA,NA,NA,#458915031,NA,NA,NA
15, Funda Spigen Thin Fit iPhone 8 Plus / iPhone 7 Plus Con Supe ,91.9,NA,1,5,12 cuotas,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AKARGO+COLOMBIA,https://articulo.mercadolibre.com.co/MCO-467949181-funda-spigen-thin-fit-iphone-8-plus-iphone-7-plus-con-supe-_JM,NA,NA,NA,NA,NA,#467949181,NA,NA,NA
