search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Marca,Modelo,Material
1, Protector Full 360 + Vidrio iPhone 8 7 6s 6 Y Plus 5 5s Se ® ,117,NA,1861,3920,18 cuotas,6.50,NA,Envío a todo el país,NA,NA,4.6,68,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-442559969-protector-full-360-vidrio-iphone-8-7-6s-6-y-plus-5-5s-se--_JM,51,12,3,0,2,#442559969,Apple,NA,NA,NA
2, Carcasa Case iPhone Original Silicona 6 7 8 6/7/8pls 10 X Xs ,449,NA,38,145,18 cuotas,24.94,NA,Envío a todo el país,NA,NA,5,4,http://perfil.mercadolibre.com.uy/MUNDOSHOP.UY,https://articulo.mercadolibre.com.uy/MLU-464439097-carcasa-case-iphone-original-silicona-6-7-8-678pls-10-x-xs-_JM?searchVariation=39510407317,4,0,0,0,0,#464439097,Apple,Apple,Todos,Silicona
3, Protector Tpu Borde Alto Impacto iPhone 8 7 6 6s Plus 5s 5 ® ,150,NA,252,3792,18 cuotas,8.33,NA,Envío a todo el país,NA,NA,4.6,8,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-446712450-protector-tpu-borde-alto-impacto-iphone-8-7-6-6s-plus-5s-5--_JM?searchVariation=39312263452,6,1,1,0,0,#446712450,Apple,NA,NA,TPU
4, Protector Fino Cristal Bumper iPhone 8 7 6 6s 5 5s Se Plus ® ,190,NA,638,3926,18 cuotas,10.56,NA,Envío a todo el país,NA,NA,4.4,35,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-443333988-protector-fino-cristal-bumper-iphone-8-7-6-6s-5-5s-se-plus--_JM,20,10,4,1,0,#443333988,Apple,Apple,5/SE/6s/7/8/ Plus,TPU
5, Protector Fino Simil Cuero iPhone 8 7 6s 6 Se 5s 5 Y Plus ® ,350,NA,807,3984,18 cuotas,19.44,NA,Envío a todo el país,NA,NA,4.1,26,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-443202210-protector-fino-simil-cuero-iphone-8-7-6s-6-se-5s-5-y-plus--_JM,13,7,2,3,1,#443202210,Apple,NA,NA,Cuero
6, Protector 360 Magnetico iPhone 6 7 7plus 8 8plus Xs Xr Xsmax ,490,NA,449,34,18 cuotas,27.22,NA,Envío a todo el país,NA,NA,2.3,3,http://perfil.mercadolibre.com.uy/TUBELUXUY,https://articulo.mercadolibre.com.uy/MLU-443922805-protector-360-magnetico-iphone-6-7-7plus-8-8plus-xs-xr-xsmax-_JM,1,0,0,0,2,#443922805,Apple,NA,NA,TPU
7, Funda Estuche C/ Bateria Powerbank iPhone 8 7 6s 6 ® ,690,NA,486,5000,18 cuotas,38.33,NA,Envío a todo el país,NA,NA,4.6,21,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-444690734-funda-estuche-c-bateria-powerbank-iphone-8-7-6s-6--_JM?searchVariation=40468487402,15,4,1,1,0,#444690734,NA,Power Bank,iPhone 8 / 7 / 6s / 6,NA
8, Estuche Espejados Aluminio iPhone 8 7 6 6 Plus 5 Se ,90,NA,158,79,18 cuotas,5.00,NA,Envío a todo el país,NA,NA,4.6,5,http://perfil.mercadolibre.com.uy/PRO+ACCESORIOSUY,https://articulo.mercadolibre.com.uy/MLU-445173371-estuche-espejados-aluminio-iphone-8-7-6-6-plus-5-se-_JM,4,0,1,0,0,#445173371,Apple,Iphone,Espejados,Aluminio
9, Estuche Funda iPhone 7 Y iPhone 8 ® Blister En Silicona ,450,NA,26,62,18 cuotas,25.00,NA,Entrega a acordar con el vendedor,NA,NA,4.3,3,http://perfil.mercadolibre.com.uy/VENTAUY,https://articulo.mercadolibre.com.uy/MLU-455406832-estuche-funda-iphone-7-y-iphone-8-blister-en-silicona-_JM,2,0,1,0,0,#455406832,Apple,NA,NA,Silicona
10, Protector 360 Magnetico iPhone 6s Plus 8 8 Plus X Xr Xs Max ,540,NA,45,40,18 cuotas,30.00,NA,Envío a todo el país,NA,NA,3,1,http://perfil.mercadolibre.com.uy/TUBELUXUY,https://articulo.mercadolibre.com.uy/MLU-460107403-protector-360-magnetico-iphone-6s-plus-8-8-plus-x-xr-xs-max-_JM,0,0,1,0,0,#460107403,Apple,NA,NA,NA
11, Funda Transparente iPhone 8 & 8 Plus Shockproof Hybrid Case ,440,NA,63,7,18 cuotas,24.44,NA,Envío a todo el país,NA,NA,5,4,http://perfil.mercadolibre.com.uy/FREE_BUY_2633,https://articulo.mercadolibre.com.uy/MLU-455994544-funda-transparente-iphone-8-8-plus-shockproof-hybrid-case-_JM,4,0,0,0,0,#455994544,Apple,NA,NA,NA
12, Funda Transparente iPhone 8 & 8 Plus Ultra Slim Hybrid Case ,499,NA,242,20,18 cuotas,27.72,NA,Envío gratis a todo el país,NA,NA,4.6,22,http://perfil.mercadolibre.com.uy/FREE_BUY_2633,https://articulo.mercadolibre.com.uy/MLU-448803228-funda-transparente-iphone-8-8-plus-ultra-slim-hybrid-case-_JM,14,7,1,0,0,#448803228,Apple,NA,NA,NA
13, Estuche Funda Cinto iPhone 8 7 6 Plus Samsung Note Cinturon ,190,NA,56,1,18 cuotas,10.56,NA,Envío a todo el país,NA,NA,3.5,4,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-444299695-estuche-funda-cinto-iphone-8-7-6-plus-samsung-note-cinturon-_JM?searchVariation=40016734251,1,2,0,0,1,#444299695,Apple,Samsung,55,Cuero
14, Protector 360 Magnetico iPhone 6 7 7plus 8 8plus Xs Xr Xsmax ,490,NA,449,34,18 cuotas,27.22,NA,Envío a todo el país,NA,NA,2.3,3,http://perfil.mercadolibre.com.uy/TUBELUXUY,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=dhpNEOdXQt1UQhwRzQDOa5uZMLUjHVrYCm1436qe3RWcPQUW6Dbrffvivx9jv6UNBxz9r3EOZVsVa4KJ9j0hDZ3C9LabFIqfVOeO6UXlWpPSfkFjkOd1PL%2FqDm28q%2F9Jx13Nde4Scii4XHuuA%2Fu8es%2B5kS0CNt4R53eDy68agDLhtfWBM3trkMe0HHNcsbOvB8vITUfMgGXkoJX9eFWVdsxXjcDzN097s6%2B%2B9HE7fWFCRieGG5y5aPK3uTCociAoAn9Edum1Hs1uILAMG6dEL8YrYeSadq%2FK38ZBpZqSqWh%2BZ%2BHrutdWaAlSwzZL8iq%2FqBy2XVNB6C2XTRgweCsB6C5fH5rEuRfOxtQDsDZSiAEFKAcGVNESJJM3pN8b%2B5nMo8AIcXVepAvi7e54bgmxfFm1wJ3GrWDkhqXivXAxmVTHnpqCAaO87Y8Pnmi6ybT9%2Fa4oIcK%2FLLg510hHo1YlMLYQZ2YXYM84byr7EB2N76l3R4r9Yu%2B71%2FWEh8Si9%2FpgOm2MyflwOOAULv7da2FvpVo4wk5Tpf3ot%2B36MRBI9otoEuRRcUqwBJO6v%2FS7Ujsbgmezd3LtJcetltBSddJKUH1ZVHbNW4IUZY6mnH4H8A02iQZfdD0o9CAym2hpx8neIvsjsKymjc27BlsP8UOVffs2eTbqV1v%2F%2F9m7bLvK9xBs4uuLzeesaRsxvGVpu5KM7UbObUI4IUiLLzBhxiB%2BVczh90oKZx2d%2BST8v5HV4fiVAJV%2FBJcD%2BOHayP5oB%2FS9U64X0lpc6aZlx0iGRBxWvd79GqrV2P4MaIA%2Bs%2BwPS814x1BdZtoyIRw4nneqjuHWp4fmirWarhj1FooDhgc%2BUgFWJ91005%2FwBr8c6T2BzCecT2ZrH%2FOqw14zhT6l0FD6TLQljzmDs98pw1JQ4a4%2Fd31ztqOi2F6xVOGVu63q7a%2F2oCM4IuujxY35Yj3S4eMmAP6mytS4UJrxw76DuwZafn21BjyWwK3zdnG1cWwgAh%2FNxEPtUTQ3ItW7v1uCE88FTjWYm4bwtjvzUE%2Fqjeiqm95NgWtDGi9%2BpBPpqLcIP4Xj7XZK1%2Ffu6xo%2B5vLKmAwrB8pjyNy9F8qjsV4lTPaqm62fEuAoijTDxVJxpKR25XfOwEvSh5GTcZEqdroA5nwd6jG2LKsuPPYKtEGO%2FljZlRF2Xim7jXp%2FojOX37tbrlOi2zUDF1ITlY29iWbmQQV1JniMwj98d%2FNm5h8MehY8vxgDIM2nuEokEwNSM5bAb6cSsBu2W3SaFix9cPsw68p3ltkWEMc8Kg3Xl86vIIOFevmOQAbgKnbT%2FPON8HBAxPNROl3MXBwLnAOgqfj7M%2BmDla8xk7XyEexmn6VKi%2FohtWNJQSnM7af6w3wtMsIrEQsLGNiP0ExRxElZev4alJtaw%2Fpg%2BzNb3ZKY3a6t7nlchOGwnHENUejCz%2BcN%2BDYSsd0lSVnJyL4p%2BLsaVR%2BNUvrdlBf5bSDobDYQyDZvoQ7au%2BmK0hiQiducTYsndkBPF2YdMyn0yPLu9zG74XmutzksmmG%2Fye%2FCSgMRCdwei%2Bex8dkpiunTIIu56CoeNdTp%2F6uSRpRVmbVl6WagXfgpe9ZJIlzsRnwd2myrQxDmoKybXfgNTqzlGF%2FxxTV%2FO1W31yW7YEMj0N9DxwIVN%2FZbBd%2F8GCbBLZ%2BYRjk9d6%2Fjaob9Vnu9KljqsNROgSeID4c%3D,1,0,0,0,2,#443922805,Apple,NA,NA,TPU
15, Protector 360 Magnetico iPhone 6 7 7plus 8 8plus + Vidrio 5d ,780,NA,44,45,18 cuotas,43.33,NA,Envío a todo el país,NA,NA,5,2,http://perfil.mercadolibre.com.uy/TUBELUXUY,https://articulo.mercadolibre.com.uy/MLU-443898511-protector-360-magnetico-iphone-6-7-7plus-8-8plus-vidrio-5d-_JM,2,0,0,0,0,#443898511,Apple,NA,NA,Aluminio
16, Funda Protector Estuche Case Premium iPhone 8 7 6 6s 5 5s Se ,200,NA,197,94,18 cuotas,11.11,NA,Envío a todo el país,NA,NA,4.7,11,http://perfil.mercadolibre.com.uy/PRO+ACCESORIOSUY,https://articulo.mercadolibre.com.uy/MLU-444778610-funda-protector-estuche-case-premium-iphone-8-7-6-6s-5-5s-se-_JM,8,3,0,0,0,#444778610,Apple,Iphone,Borde Cromado,TPU
17, Funda Eco Cuero Apple iPhone 8 8 Plus Caja Simi Original ,490,NA,6,12,18 cuotas,27.22,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/FREE_BUY_2633,https://articulo.mercadolibre.com.uy/MLU-453894906-funda-eco-cuero-apple-iphone-8-8-plus-caja-simi-original-_JM,NA,NA,NA,NA,NA,#453894906,Apple,Apple,NA,NA
