search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potência de saída (RMS),Tipos de alto-falante,Tipos de filtros do alto-falante,Lugares de colocação,Formato do alto-falante,Configuração de canais,Resposta máxima em frequência,Resposta mínima em frequência,Linha,Voltagem,Quantidade de alto-falantes,Conectores de entrada,Sensibilidade de entrada,Largura,Profundidade,Altura,Peso,Cor
125, Caixa Som Amplificado Bluetooth 290w Portátil Led Falante 12 ,489,NA,25,20,12x,40.83,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,31,https://perfil.mercadolivre.com.br/TOCADOSPEIXES,https://produto.mercadolivre.com.br/MLB-1138363128-caixa-som-amplificado-bluetooth-290w-portatil-led-falante-12-_JM,22,7,2,0,0,#1138363128,AMVOX,ACA 292,290 W,Subwoofer e Tweeter,Ativo,"De piso, mesa",Caixa,2.1,NA,NA,ACA 292 NEW,110V/220V (Bivolt),1,AUX/CARD/USB/Microfone ou instrumento,NA,NA,NA,NA,7.6 kg,NA
126, Logitech Ue Megaboom Speaker Bluetooth Preto Promoção ,479,NA,201,10,12x,45.78,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,26,https://perfil.mercadolivre.com.br/LOJAVISIVO,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=xxM5bQxRWaa2cFE2W8V6hteTJuQ43jhL5RoB3I6hmgDm8CDZCuUSbxuCqx%2FukKUgVwGoW8o1VTcxAgwd6ExC2JKsx40SjKe5vGsU5gxoRzEJUsNqBZXpqgf4FxILAsVntdiISAqYOeOf%2Fn0dmo2ROaSo8ggcx73ROK%2BpsI2epAa2KLK34SG8Oia%2BxpFvkV73xrYJ%2F%2Bx2kWcUZy5I%2BKyzqtagxBzI3up53rR2EvEPHVBXYfLTHQvQTnq3ysR2uHlAqNepfd%2F4FO0JPvi%2BDvpXElHQozImcG2UzOKVd5xOSElZwTdbQBbA69Ayt5MDMHtkjUUSr%2Fpprf538LfUelSBq22E6fNLxUqnRfxZBBIGVwiD9rapkmPe5EhfK8KIF6IXu5P571XRR3%2BbI5arKaQULWlc62zMKyGDq1ygz9kc88tCp%2FDVF9B93v9Nu%2FzJQETngXLLTF3vclrMEGz05yMKMTNCAzIx0Y3HgiP4Yh3sTQMnkVavc0ThsGbRckQd2DZJIvoBjaX5WWTY5jp488%2Fm4wfiNn0LEnmovhosstVIaJf5hUwXImMrcR30hU%2B9GV2ESv%2BinTFQTYB5liuTCY0ElgrXD%2B2ShhNBjXzmaGhmCtb%2FFWT%2BIed2OBaW2o36uXPe%2BicJ6%2BAJVHuCVyDRsSHJ%2BuJ3m%2B0yKz%2FJSQg%2FmKu7xMc9O1RNGFzivmt3JJ7b0zj0up6sEJTtVsqrXcOraVrx20%2FMQ5YzYCESNssKUuGpLtoUDrlmNDrDoRf43foG6TBFUe%2FPhAdHtMJm5gBpg5WS9GnPJwAQXMlefnScpak7UvfoJOwSBuTrymq2%2Bxx3Ts%2B7sXmAtasCFwAZNsM8tWqUHm1JN7qffAZ51xz4%2BgLvWuC19lrO1F5UEio9%2BinXICiu5BXTev35jOnTJqlh8da%2FtdWR%2Bv7TkkThxiGaPjBH%2FZWifB3k14A9vCRisUa9CFj3A4%2B8ejGtBNJ%2B1du%2FDyMQdjxMrkvbdb12q5yWMAYwR6Jfn4G11o23LD0k4XWzggdEvTmhB1jt%2B%2FR%2BlXOmGWerhAgU4nw6O5MufRTSKxNbNk%2FlcHw%2B5EgBQF7haAEpDYzNnLjmEcYESWk%2B%2BssnXalZofV3%2FWF7jD7nJ%2FvLPHMWRoRzQ4lxTL5r9dBKMA3o4rigHXESNWiwlHsA4%2BcYwOyW4CsI6L780IESKuzC7duQKO7L4RcSS4UNXzOtSoujPhxDHOcyVehQYDdwoCOd%2Flj7kMfUTbycfxj8RN8N72SJ9adJwa%2FbS7JO1IeP6W4%2Fmfw1LRnIXvbtp7MYjkqkPZgeEt%2BW7dXIH4NEEz3a3ZMoj%2FxxbVrpmgBW%2BI38ZzQIPdOCWqO5RQ3DSOZxngAH8jBNUVbtLKowXN039e9z1enR%2F7QBEP6XPgTVr%2F9IlGur%2BmhTwf4b7Ta0nFDHoh8MQ1VRc9S1z7CJxyoMiddJiPopMHQElbUikOj5ncILRj%2BTx5rPC%2BaWtKVGnZWlCkVLPIqHpTmEUfWzEK8rEhzdULRG45lLFMqKwLsiJQiSBX1Zc7T%2BD%2FxIJOXgyBmPazi4q0cPXOTi0hpcdRmlt1YpHAjp1pIScQLaZ%2Fj8NIlnEExFoUhMJ2gGIhWHZIGWLSnplby0fPVNJbz6eRUuICd6w7xhBzBR2MAdAkbNexPk9NpkoPi2KoWuNV9XUERgKH7%2Fucf1WXf8OaRtBIXbsCyLdeIIQ%2BEQylC7WdMpPZpYEFiA%2BwwJYf1COU4agJuagNtKO%2Fze3zvE1fNffR2WRHQJpDgIRG30chY0w8f5%2FLTNU8mSG%2B9TkFEfQ546epOs2h0dbSZcb0HVxnEqNjs%2BTvI%2B7N3TpsOfHLq4bqF3FuBVg3zICyyIpuAhRJAxcgppB%2B1%2BXk5GVWGrwzTB1yhBJZ%2FwlFt%2FsXYn%2FmoD,24,1,0,0,0,#1108551970,Logitech/UE,MEGABOOM,36 W,NA,Ativo,NA,Caixa,2.0,NA,NA,NA,NA,NA,NA,80 dB,NA,1 m,22.6 cm,877 g,NA
127, Mini Caixinha Som Bluetooth Portátil Prova De Água Ventosa ,24,NA,1601,21,4x,6.62,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.8,65,https://perfil.mercadolivre.com.br/ESPA%C3%87O+VENDASS,https://produto.mercadolivre.com.br/MLB-695474743-mini-caixinha-som-bluetooth-portatil-prova-de-agua-ventosa-_JM,36,7,8,4,10,#695474743,Importado,BTS-06,3 W,Tweeter,Ativo/Passivo,"Banheiro, Azulejo, Vidro",Caixa,2.1,NA,NA,3w,0,NA,NA,80 dB,NA,NA,NA,NA,NA
128, Jbl Go 2 Original A Prova De Água 3 Wats Apenas Preta ,749,NA,30,2,12x,62.50,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,5,https://perfil.mercadolivre.com.br/LUXURIESOFICIAL1,https://produto.mercadolivre.com.br/MLB-1228127385-caixa-de-som-bluetooth-mini-system-sony-gtk-xb5-_JM,5,0,0,0,0,#1228127385,Sony,GTK-XB5,200 W,NA,NA,NA,Caixa,NA,NA,NA,NA,NA,NA,RCA,NA,524 mm,273 mm,262 mm,7 kg,NA
129, Caixa Som Bluetooth Jbl Xtreme 2 40w Preta Jblxtreme2pto ,149,NA,125,6,12x,14.34,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,36,https://perfil.mercadolivre.com.br/CLGARCIAGARCIA,https://produto.mercadolivre.com.br/MLB-1218294568-jbl-go-2-original-a-prova-de-agua-3-wats-apenas-preta-_JM,34,2,0,0,0,#1218294568,JBL,GO 2,3 W,Subwoofer,s,De piso,Caixa,NA,NA,NA,NA,NA,NA,NA,80 dB,NA,NA,NA,184 g,NA
130, Caixa De Som 6 Em 1 Amplificada Com Bluetooth Usb Mp3 Sd Mic ,947,NA,47,223,12x,90.51,NA,Envio para todo o país,NA,NA,4.7,142,https://perfil.mercadolivre.com.br/FASTSHOP+OFICIAL?brandId=942,https://produto.mercadolivre.com.br/MLB-1182694346-caixa-som-bluetooth-jbl-xtreme-2-40w-preta-jblxtreme2pto-_JM,112,21,5,1,3,#1182694346,JBL,Xtreme,40 W,NA,Passivo,NA,NA,NA,NA,NA,NA,NA,1,NA,80 dB,136 mm,132 mm,288 mm,NA,NA
131, Caixa Som Torre Amplificada Bluetooth 500w - Usb Fm Oferta ,182,214,103,277,12x,15.23,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,630,https://perfil.mercadolivre.com.br/LOJADEKO,https://produto.mercadolivre.com.br/MLB-1183970256-caixa-de-som-6-em-1-amplificada-com-bluetooth-usb-mp3-sd-mic-_JM,445,120,37,16,12,#1183970256,Deko,SY-658,15 W,Redondo,Woofer,"Sala,quarto,suite,cozinha,festa,balada,escritorio,carro,quintal,sacada,terraço,salão,portatil,usb,fm",Caixa,Digital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132, Caixinha Som Bluetooth Tws Metal Amplificada Mini Speaker 3w ,37,39,204,795,6x,6.32,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,2.7,3,https://perfil.mercadolivre.com.br/FP+VAREJOEATACADO,https://produto.mercadolivre.com.br/MLB-1236302365-caixa-som-torre-amplificada-bluetooth-500w-usb-fm-oferta-_JM,1,0,0,1,1,#1236302365,Goldenultra,Torre,10 W,5.1,Ativo/Passivo,Diversos,Caixa,5.1,NA,NA,NA,NA,NA,USB,NA,NA,NA,NA,NA,NA
133, Caixinha Som Portátil Wireless Bluetooth Mp3 Usb Fm Sd Aux ,42,NA,471,3,6x,7.95,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,19,https://perfil.mercadolivre.com.br/FIXEXPLODE,https://produto.mercadolivre.com.br/MLB-1196109866-caixinha-som-bluetooth-tws-metal-amplificada-mini-speaker-3w-_JM,17,1,0,0,1,#1196109866,Importado,FN-0006/M3,3 W,Subwoofer,Subwoofer,Portátil,Caixa,5.1,NA,NA,NA,NA,NA,Bluetooth,NA,NA,NA,NA,70 g,NA
134, Caixa De Som Amplificada Sumay Thunder Black - 4000w Potente ,18,NA,222,5,3x,6.73,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.1,7,https://perfil.mercadolivre.com.br/MEGA+EXOPLANET.SHOP,https://produto.mercadolivre.com.br/MLB-1196105335-caixinha-som-portatil-wireless-bluetooth-mp3-usb-fm-sd-aux-_JM,4,0,3,0,0,#1196105335,Goldenultra,Ws-887,3 W,Mini tweeter,Mini tweeter,Portátil,Caixa,2.1,NA,NA,NA,NA,NA, ,NA,NA,NA,NA,NA,NA
135, Jbl Go 2 Original A Prova D'água Bluetooth Cores Variadas ,849,NA,306,11,12x,70.83,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,72,https://perfil.mercadolivre.com.br/SANBOX-BR,https://produto.mercadolivre.com.br/MLB-884741440-caixa-de-som-amplificada-sumay-thunder-black-4000w-potente-_JM,53,10,6,1,2,#884741440,Sumay,Caixa Amplificada Bluetooh,400 W,NA,Ativo,NA,Caixa,NA,NA,NA,caixa de som portátil,110/220V,NA,USB,NA,NA,NA,NA,11.2 kg,Preto
136, Caixa De Som Amplificada Bluetooth 150w Rms Multilaser Sp219 ,165,NA,133,27,12x,13.75,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,1544,https://perfil.mercadolivre.com.br/MEDEIROS+SHOP,https://produto.mercadolivre.com.br/MLB-1218791828-jbl-go-2-original-a-prova-dagua-bluetooth-cores-variadas-_JM,1415,99,19,5,6,#1218791828,JBL,GO 2,3.1 W,caixa,caixa,livre,Caixa,2.1,20 kHz,20 Hz,NA,NA,1,NA,80 dB,8.6 cm,3.16 cm,7.2 cm,NA,NA
137, Caixa Som Amplificada Bluetooth Canhão 500w Mp3 Usb Potente ,509,NA,14,18,12x,42.42,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,84,https://perfil.mercadolivre.com.br/ACME+ELETRONICOS,https://produto.mercadolivre.com.br/MLB-1069079849-caixa-de-som-amplificada-bluetooth-150w-rms-multilaser-sp219-_JM,61,17,3,2,1,#1069079849,Multilaser,SP219,150 W,Woofer,Ativo,De piso,Caixa,2.1,18 kHz,40 Hz,Trolley,Bivolt,NA,USB,85 dB,NA,NA,NA,7 kg,NA
138, Caixa Caixinha Som Portátil Bluetooth Mp3 Usb Cartão Fm E11 ,48,NA,297,8,6x,9.06,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,12,https://perfil.mercadolivre.com.br/LOJA10.ML,https://produto.mercadolivre.com.br/MLB-1240509047-caixa-som-amplificada-bluetooth-canho-500w-mp3-usb-potente-_JM,8,3,1,0,0,#1240509047,CMiK,MK-2000,10 W,Woofer,Woofer,NA,Caixa,NA,NA,NA,Portátil com Bluetooth,NA,1,Microfone P2. Bluetooth. FM. Micro SD. USB,80 dB,NA,NA,NA,1 kg,NA
139, Caixa Caixinha Som Portátil Bluetooth Mp4 Mp3 Pendrive Fm 8w ,159,NA,845,1,12x,15.28,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,50,https://perfil.mercadolivre.com.br/FLATSHOP,https://produto.mercadolivre.com.br/MLB-849513160-caixa-caixinha-som-portatil-bluetooth-mp3-usb-carto-fm-e11-_JM,35,10,2,3,0,#849513160,Knup,D-BH4204,10 W,Subwoofer,Subwoofer,NA,Torre,5.1,NA,NA,VoxMax,Bivolt,3,USB,78 dB,NA,NA,NA,300 g,NA
140, Caixinha De Som Bluetooth Mini Speaker 3w ,28,NA,85,5,5x,5.67,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,4,https://perfil.mercadolivre.com.br/REIDOSELETR%C3%94NICOS,https://produto.mercadolivre.com.br/MLB-783890493-caixa-caixinha-som-portatil-bluetooth-mp4-mp3-pendrive-fm-8w-_JM,3,0,0,1,0,#783890493,Briwax,MF-1604,8 W,Woofer,Mini tweeter,De piso,Caixa,2.1,NA,NA,NA,NA,NA,USB,NA,NA,NA,NA,300 g,NA
141, Soundbar Tomate 80w Rms Bluetooth Cinema Home Caixa De Som ,49,NA,536,11816,6x,8.33,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.8,10,https://perfil.mercadolivre.com.br/FLORESTA+ELETRONICO,https://produto.mercadolivre.com.br/MLB-1007384235-caixinha-de-som-bluetooth-mini-speaker-3w-_JM,6,1,0,1,2,#1007384235,SEM,mini,3 W,NA,Mini tweeter,De piso,Caixa,2.1,NA,NA,NA,5V,NA,NA,NA,NA,NA,NA,70 g,NA
142, Caixa De Som Portátil Jbl Wind P/ Moto E Bike Promoção ,349,NA,245,6,12x,29.08,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.1,14,https://perfil.mercadolivre.com.br/GOLDEN+ELETRONICOS.,https://produto.mercadolivre.com.br/MLB-1035264725-soundbar-tomate-80w-rms-bluetooth-cinema-home-caixa-de-som-_JM,5,8,0,0,1,#1035264725,Tomate,MTS-2016,80 W,Woofer,Woofer,"Embaixo da TV, no rack",Caixa,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143, Caixa De Som Amplificada Com Bluetooth Usb Mp3 Sd Mic 6em1 ,163,NA,892,139,12x,13.58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,68,https://perfil.mercadolivre.com.br/JPARTSBRASIL,https://produto.mercadolivre.com.br/MLB-952721014-caixa-de-som-portatil-jbl-wind-p-moto-e-bike-promoco-_JM,55,8,2,3,0,#952721014,JBL,Wind,3 W,NA,Ativo,NA,Caixa,n/A,20000 Hz,120 Hz,Caixa Portátil,3.7,NA,NA,NA,NA,NA,NA,NA,NA
144, Caixa De Som Portatil 180w Rms 8 Pol Mic Sem Fio Eclapower ,214,225,516,331,12x,17.85,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,630,https://perfil.mercadolivre.com.br/HW11MX,https://produto.mercadolivre.com.br/MLB-1162159536-caixa-de-som-amplificada-com-bluetooth-usb-mp3-sd-mic-6em1-_JM,445,120,37,16,12,#1162159536,Deko,SY-658,15 W,Woofer,Woofer,"Sala,quarto,suite,cozinha,festa,balada,escritorio,carro,quintal,sacada,terraço,salão,portatil,usb,fm",Caixa,Digital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145, Caixa De Som Home Theater 2.1 Pc Tv Bluetooth Mp3 Fm Usb ,389,NA,14,26,12x,32.49,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/AGATHASHOP.NET,https://produto.mercadolivre.com.br/MLB-1238974601-caixa-de-som-portatil-180w-rms-8-pol-mic-sem-fio-eclapower-_JM,1,0,0,0,0,#1238974601,ECLAPOWER,BR8 180W RMS,180 W,Woofer,Ativo,FESTAS / IGREJAS / ESCOLAS / ACADEMIAS DE DANÇA / CASA,Caixa,2.1,NA,NA,NA,NA,NA,Auxiliar,NA,NA,NA,NA,5 kg,NA
146, Caixa De Som Bluetooth Jbl 60w - Jblboomboxblk ,215,NA,27,27,12x,20.55,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,2,https://perfil.mercadolivre.com.br/AGATHA+SHOP,https://produto.mercadolivre.com.br/MLB-1228631805-caixa-de-som-home-theater-21-pc-tv-bluetooth-mp3-fm-usb-_JM,1,1,0,0,0,#1228631805,Knup,KP-BH6004,22 W,Subwoofer,Subwoofer,"Sala, Quarto, Portatil",Caixa,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147, Caixa De Som Amplificada Com Bluetooth Microfone Sd Pendrive ,1499,NA,39,122,12x,124.92,NA,Envio para todo o país,NA,NA,5,1,https://perfil.mercadolivre.com.br/FASTSHOP+OFICIAL?brandId=942,https://produto.mercadolivre.com.br/MLB-1028982824-caixa-de-som-bluetooth-jbl-60w-jblboomboxblk-_JM,1,0,0,0,0,#1028982824,JBL,JBLBOOMBOXBLK,60 W,NA,NA,NA,Caixa,NA,NA,NA,NA,NA,NA,Auxiliar,80 dB,260 mm,180 mm,460 mm,5.18 kg,Preto
148, Caixa De Som Bluetooth Canhão Portátil Mp3 Usb Fm Led D-p4 ,258,NA,1092,332,12x,21.58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,64,https://perfil.mercadolivre.com.br/HW11MX,https://produto.mercadolivre.com.br/MLB-1020222842-caixa-de-som-amplificada-com-bluetooth-microfone-sd-pendrive-_JM,49,12,0,2,1,#1020222842,Deko,SY-658,15 W,NA,Woofer,"Sala,quarto,suite,cozinha,festa,balada,escritorio,carro,quintal,sacada,terraço,salão,portatil,usb,fm",Caixa,Digital,NA,NA,Deko,NA,2,NA,NA,NA,NA,NA,NA,NA
149, Caixa Amplificada Multi Connect 50w Mco-03 Mondial Bivolt ,159,NA,581,13,12x,15.29,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,39,https://perfil.mercadolivre.com.br/MELITOTAL,https://produto.mercadolivre.com.br/MLB-1064757313-caixa-de-som-bluetooth-canho-portatil-mp3-usb-fm-led-d-p4-_JM,27,6,2,2,2,#1064757313,Grasep,D-P4,30 W,NA,NA,NA,Caixa,NA,NA,NA,D-p2,110---220,NA,NA,NA,NA,NA,NA,1173 g,NA
150, Caixa Som Bluetooth Jbl 16w Ios Android Vermelho Flip4 ,228,NA,110,8,12x,19.08,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,9,https://perfil.mercadolivre.com.br/DUTRA_MAQUINAS?brandId=104,https://produto.mercadolivre.com.br/MLB-1064892651-caixa-amplificada-multi-connect-50w-mco-03-mondial-bivolt-_JM,6,2,0,0,1,#1064892651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151, Caixa De Som Bluetooth Portátil Sem Fio Mp3 Usb Cartão A-22 ,457,NA,411,133,12x,38.15,NA,Envio para todo o país,NA,NA,4.9,94,https://perfil.mercadolivre.com.br/FASTSHOP+OFICIAL?brandId=942,https://produto.mercadolivre.com.br/MLB-1023582102-caixa-som-bluetooth-jbl-16w-ios-android-vermelho-flip4-_JM,86,7,0,0,1,#1023582102,JBL,Flip 4,16 W,NA,Ativo,NA,Caixa,NA,NA,NA,Flip Series,NA,NA,NA,80 dB,175 mm,66 mm,66 mm,NA,Vermelho
152, Caixa Som Logitech Megaboom Speaker Bluetooth 36w Agua Ñ Jbl ,38,NA,3773,9,6x,7.20,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.1,331,https://perfil.mercadolivre.com.br/DNR+PARTS,https://produto.mercadolivre.com.br/MLB-779818420-caixa-de-som-bluetooth-portatil-sem-fio-mp3-usb-carto-a-22-_JM,174,74,45,12,26,#779818420,Importado,A-22,8 W,Subwoofer,Subwoofer,Portátil,Caixa,7.1,NA,NA,Caixa De Som Portátil,110V/220V (Bivolt),NA,USB,NA,NA,NA,NA,NA,NA
153, Caixa Som Portatil Bluetooth Grasep D-p4 Fm Mp3 Amplificada ,598,NA,13,10,12x,49.83,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,40,https://perfil.mercadolivre.com.br/SISCOM+ATECH,https://produto.mercadolivre.com.br/MLB-1246312941-caixa-som-logitech-megaboom-speaker-bluetooth-36w-agua-n-jbl-_JM,39,1,0,0,0,#1246312941,Logitech,MEGABOOM  Ultimate Ears,36 W,Super tweeter,Super tweeter,"USB, BLUETOOTH",CILINDRICO,2.0,NA,NA,NA,NA,NA,NA,80 dB,NA,1 m,NA,877 g,NA
154, Mini Caixa Som Portátil Mp3 Fm Usb Pendrive Micro Sd Td-v26 ,159,NA,43,957,12x,13.33,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,71,https://perfil.mercadolivre.com.br/BEATRIZ.ELETRONICOS,https://produto.mercadolivre.com.br/MLB-1177451855-caixa-som-portatil-bluetooth-grasep-d-p4-fm-mp3-amplificada-_JM,44,15,8,1,3,#1177451855,Grasep,D-P4,30 W,Potência Total (em RMS): 30W,Ativo,portatil,Caixa,FM,NA,NA,NA,NA,NA,USB,NA,36 cm,19 cm,18 cm,2.4 kg,NA
155, Caixa Amplificada Ativa 100w C/ Bluetoth+usb+fm+sd+c. Remoto ,29,NA,205,1,5x,6.56,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,13,https://perfil.mercadolivre.com.br/CR10+IMPORTS,https://produto.mercadolivre.com.br/MLB-714132517-mini-caixa-som-portatil-mp3-fm-usb-pendrive-micro-sd-td-v26-_JM,11,1,1,0,0,#714132517,Importado,TD-V26,3 W,Subwoofer,NA,mesa,Caixa,NA,NA,NA,NA,NA,NA,"USB, Micro SD, Auxiliar",NA,NA,NA,NA,NA,NA
156, Caixa De Som Jbl Go 2 Preta Portátil 3w Original Bluetooth ,529,NA,112,2,12x,44.16,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,169,https://perfil.mercadolivre.com.br/MUNDODAMUSICARJ,https://produto.mercadolivre.com.br/MLB-913354621-caixa-amplificada-ativa-100w-c-bluetothusbfmsdc-remoto-_JM,115,41,9,3,1,#913354621,Datrel,AT-8.100,100 W,Redondo,NA,NA,Redondo,NA,NA,NA,NA,NA,977967,RCA,NA,NA,NA,NA,NA,NA
157, Caixa Caixinha Som Portátil Bluetooth Mp3 Usb Cartão Fm E4 ,154,NA,104,7,12x,12.92,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,1544,https://perfil.mercadolivre.com.br/CLGARCIAGARCIA,https://produto.mercadolivre.com.br/MLB-1218286190-caixa-de-som-jbl-go-2-preta-portatil-3w-original-bluetooth-_JM,1415,99,19,5,6,#1218286190,JBL,GO 2,3 W,Subwoofer,Subwoofer,De piso,Caixa,2.1,NA,NA,NA,NA,NA,NA,80 dB,NA,NA,NA,184 g,NA
158, Caixa Som Portátil Bluetooth 40w Recarregável Usb Microfone ,135,NA,3511,9,12x,12.99,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,333,https://perfil.mercadolivre.com.br/FLATSHOP,https://produto.mercadolivre.com.br/MLB-778908731-caixa-caixinha-som-portatil-bluetooth-mp3-usb-carto-fm-e4-_JM,231,58,24,7,13,#778908731,Altomex,Não Descrito,15 W,Woofer,6.5 polegadas,Casa / parque / praia / Viagem,Torre,NA,NA,NA,Alto Falante Móvel,NA,NA,Entrada para Microfone,NA,NA,NA,NA,400 g,NA
159, Caixa Som Amplificada Bluetooth 290w Portátil Led Sub 12 Tws ,239,NA,99,12,12x,20.00,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,7,https://perfil.mercadolivre.com.br/SATURNO+ELETRONICOS,https://produto.mercadolivre.com.br/MLB-1164610186-caixa-som-portatil-bluetooth-40w-recarregavel-usb-microfone-_JM,4,3,0,0,0,#1164610186,Briwax,FBX-108,40 W,Woofer,Subwoofer,De piso,Torre,2.1,80 kHz,18 kHz,NA,NA,2,Entrada para Microfone,NA,NA,NA,NA,2.75 kg,NA
160, Caixa Som Amplificada Bluetooth 290w Portátil Led Sub 12 Tws ,616,NA,285,122,12x,51.33,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,38,https://perfil.mercadolivre.com.br/CASADEI_INSTRUMENTOS,https://produto.mercadolivre.com.br/MLB-853713742-caixa-de-som-amplificada-multiuso-trx12-80w-bluetooth-fm-_JM,25,10,3,0,0,#853713742,Donner,TRX 12,80 W,seco,Ativo,"lojas, palcos, igreja",Caixa,2.1,NA,NA,Multiuso,NA,NA,NA,NA,NA,NA,NA,NA,NA
161, Caixa De Som Amplificada Multiuso Trx12 /80w Bluetooth + Fm ,229,NA,55,6,12x,19.08,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,5,https://perfil.mercadolivre.com.br/ACME+ELETRONICOS,https://produto.mercadolivre.com.br/MLB-931093103-caixa-de-som-portatil-bluetooth-amplificada-microfone-gratis-_JM,5,0,0,0,0,#931093103,HMIK,MK-B29,25 W,"Woofer, Subwoofer, Tweeter","Ativo, Passivo","Mesa, De piso",Caixa,2.1,18 kHz,80 Hz,NA,Bivolt,NA,USB,85 dB,20 cm,10 cm,32 cm,2.4 kg,NA
162, Caixa De Som Portátil Bluetooth Amplificada Microfone Grátis ,194,NA,186,12,12x,18.63,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,163,https://perfil.mercadolivre.com.br/VEM+C%C3%81,https://produto.mercadolivre.com.br/MLB-1145708642-caixa-de-som-bluetooth-amplificada-25w-portatil-karaok-fm-_JM,113,26,14,6,4,#1145708642,Briwax,FBX-103,25 W,Tweeter,Torre,Portatil,Caixa,NA,NA,NA,Amplificada,NA,NA,USB,NA,NA,NA,NA,2.4 kg,NA
163, Caixa De Som Bluetooth Amplificada 25w Portátil Karaokê Fm ,409,NA,68,97,12x,34.16,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,3,https://perfil.mercadolivre.com.br/EMANX+ELETRO,https://produto.mercadolivre.com.br/MLB-1137992559-google-home-assistente-pessoal-caixa-de-som-original-vitrine-_JM,2,1,0,0,0,#1137992559,Google,Google Home GA3A00417A14,7 W,Subwoofer,Ativo/Passivo,Casa,Caixa,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1100 g,NA
164, Google Home Assistente Pessoal Caixa De Som Original Vitrine ,169,NA,146,15,12x,14.17,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,1918,https://perfil.mercadolivre.com.br/NELCIAPFARIA,https://produto.mercadolivre.com.br/MLB-1245189571-nova-caixinha-de-som-bluetooth-extreme-k5-primeira-linha-_JM,1244,333,174,68,99,#1245189571,JBL,Xtreme k5,20 W,Woofer,Falantes & Twitters,Qualquer Lugar,Circular,5.1,20 kHz,70 Hz,NA,NA,NA,USB,80 dB,NA,NA,NA,800 g,NA
