search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Potencia de salida (RMS),Tipos de filtros del parlante,Lugares de colocación,Formato del parlante,Configuración de canales,Conectores de entrada,Peso,Voltaje,Tipos de parlante,Altura
1, Parlante Portatil Bluetoooth Thonet Vander Frei Potenciado ,2698,2998,591,81,6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,317,https://perfil.mercadolibre.com.ar/THONETANDVANDER?brandId=370,https://articulo.mercadolibre.com.ar/MLA-745802501-parlante-portatil-bluetoooth-thonet-vander-frei-potenciado-_JM,194,88,25,6,4,#745802501,Thonet & Vander,Portatil,Frei BT,16 W,Woofer,Living,Caja,1.0,"USB, bluetooth, 3.5"" stereo",600 g,NA,NA,NA
2, Parlante Portatil Bluetooth Noga Ngs-310 Manos Libres Usb ,346,NA,1264,2,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.2,69,https://perfil.mercadolibre.com.ar/TIENDAS+DEPOT?brandId=391,https://articulo.mercadolibre.com.ar/MLA-720652840-parlante-portatil-bluetooth-noga-ngs-310-manos-libres-usb-_JM,36,19,7,4,3,#720652840,Noganet,NGS-310,NGS-310USB,3 W,Portátil,"mesa, escritorio",Caja,1.0,NA,NA,220V,caja,6.5 cm
3, Parlante Bluetooth Portátil Luces Radio Fm Usb + Micrófono ,1490,2190,3877,33,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,429,https://perfil.mercadolibre.com.ar/ALCLICK+ML,https://articulo.mercadolibre.com.ar/MLA-665013349-parlante-bluetooth-portatil-luces-radio-fm-usb-microfono-_JM,255,95,46,10,23,#665013349,Otras Marcas,MS,SK-170,NA,Activo,NA,Caja,NA,"Bluetooth, USB, microSD, AUX, Micrófono.",1.5 kg,usb,Subwoofer,NA
4, Parlante Karaoke Bluetooth Torre Luces Led Fm Usb Micrófono ,3190,3990,2472,223,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,326,https://perfil.mercadolibre.com.ar/ALCLICK+ML,https://articulo.mercadolibre.com.ar/MLA-739077353-parlante-karaoke-bluetooth-torre-luces-led-fm-usb-microfono-_JM,214,84,18,4,6,#739077353,Otras Marcas,KPB,KPB-221,NA,Activo,NA,Caja,NA,"Bluetooth, USB, microSD y Aux 3.5 mm.",NA,220V,NA,NA
5, Parlante Karaoke Mp3 Sd Usb Bluetooth Luces Efecto Full! ,1599,1999,452,91,12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,32,https://perfil.mercadolibre.com.ar/REAL-COLOR,https://articulo.mercadolibre.com.ar/MLA-674207418-parlante-karaoke-mp3-sd-usb-bluetooth-luces-efecto-full-_JM,22,9,0,0,1,#674207418,TECHNOLOGY LINE,NA,Bronx,10 W,Woofer,No aplica,Caja,NA,Entrada para Micrófono,NA,NA,Portatil,NA
6, Parlante Portátil Bluetooth Karaoke Usb Fm Luces + Micrófono ,3190,NA,1643,85,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,275,https://perfil.mercadolibre.com.ar/ALCLICK+ML,https://articulo.mercadolibre.com.ar/MLA-663857293-parlante-portatil-bluetooth-karaoke-usb-fm-luces-microfono-_JM,186,61,21,3,4,#663857293,Otras Marcas,KPB,KPB-221,45 W,Activo,NA,Caja,NA,"Bluetooth, USB, microSD, AUX, Micrófono.",NA,220V,Subwoofer,NA
7, Parlante Portátil Bluetooth Karaoke Fm Led Usb Mp3 Aux + Mic ,3189,3990,1367,78,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,131,https://perfil.mercadolibre.com.ar/ALCLICK+ML,https://articulo.mercadolibre.com.ar/MLA-720520187-parlante-portatil-bluetooth-karaoke-fm-led-usb-mp3-aux-mic-_JM,91,22,11,4,3,#720520187,Oryx,KPB,KPB-221,NA,Activo,NA,Caja,NA,USB,NA,220,Subwoofer,NA
8, Parlantes Bluetooth Thonet And Vander Frei Ideal Celulares ,2998,NA,170,34,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,317,https://perfil.mercadolibre.com.ar/ROITZSA,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=bV4vzlA7%2BBcXUUNT%2F5A0xtTP%2FMBYXfSKEL69XLk76fTAtii365%2BrjH6jxj76LMwsSd4QuZKJ8ayQDFxFiuWi8HgGDayXIoPrXSngBOPHgLJn4STTro0V7A9GOOIv%2FFyz%2FkhFB9NhewK6nH5F6a4G%2B4fHU7LBb%2FnaVgR3Rh3ZRfiJTietnKkrEvu0eVw5ujOIHNCAqTGXaja5NHB1l7uw92onjnfovXD3Bcg2mebjHoF4cEJJs7B9aG%2B%2F4hww4N1jcxHfrNP%2BaBSRfXhrBOLXA1wqxcpaWn%2BoGXrrPcsch%2FJpWhaBWvA%2BOq%2B%2F8SgulvvbyCdCBV7TuaFaJyAzIiB0RTRTsMF2dK2gU2Ta6LphmvA%2FyhCeJ1G9%2BOP3I6brA%2BNDKOxqE8rd8LDs4DAal0ISvKIoi5o9xS%2BViioY49YgbeA16bhuIkaFB97EviW8pbdXCLVCwDK4bTg0LEsiA3FtvZmNXblks7H%2FQ0AKtcnEHh9Qw963EPU0hYfbHtXW9QwWXzsa6sbXbAVE2%2Fgh0Xebtf2uCWi6on4%2BgaZfUH6DIPiZ5HdG8ZuH5tLCWhTy0%2F3uVfVUtCSaSTWtQI5QzGWt%2FkbIcnMHfblXTlExj1HfUpe%2FVRLQ8Sq2jG8xLdll4TW3NgrkRT2anJITb%2FIRI9C3G9mjlmSiygAIVi15nmC4gLqCSlA8ZMwOPAg1y0A5Hn93aHWEPFqApTsS0BYm10kwQbsJKJ%2Ftq7dNXvD33iZzoGFIE0L3KbCo0Iq2JaWCIbyTC0UbmArmoeCWrNEwT55A3yAtXoexcW%2Fv8uLCUNzS7biSK1otQH0TxzOgKGurK5eThCMG4RPIzIXOtUjZ64mYPyFdMmvUe1%2Fs41MGRCsgT8flDrnsDEWE1yabacSfA23AC1ydfuRbmnjVH0LyzKMVqPFv9EQ6srACW%2F9acrF1i2qo9CVe4jd3qsA01Fjp3YI527fAaJO14VAlWpQta0Q%2Fk3zUc3Go7yDRZL21pp7YsdbmJ3Tvglnill50wke9kASBju4rf%2FOemSR8Uv2HrUMfjrbg9WnDuxtbskQMCRmkgYMTajgKZEqgDVGCpP0FSvWeyCTCqJZRscp6GGRPkkCsRIooRlWHOUKTHmtimdfVwSRsuEpzoCA%2FiVd6PmE57W4hCP4LVhsFparCvqxrBv2RQVZw0iOKkgdaBzkIp1suiAl5ZNs2Mr1d0xfrhxG9E1cm8WBTDc1J7x5phoPidhJ39ril4lZX%2FsVxEwgemgVF1zSD969g%2BWwVMfGGrVW0CiSkXSeCBHmWP%2B0WQqxIiLiL90U0MREDfdgG8f7CBd%2F6vQKN9XJjuljkfaZBcvEqKS6lJk6WzrvMyUD74Rj%2B3v7%2BcR54a9tgmd8Dtq%2FYVePTu%2FOd9iLSWoEwumYZliVCwzqKH9PlKw8Bi4Nbff%2B1nKm4556pBF9HaLbUQwuqeg3YaDrzjde7IhPUeMlNIGThnGKEGqm0E%2FaoAmObiQQeXzNUXSEbXYqdg7gZ%2F2VA9CsCPYyxSrDtheCcGe%2BAN71wnuJMrryYWaOPI5Ru%2Fiyp0eRxWhCEJA%2F2SIIYMJBvTIHcyaSqy3aGkc%2FOrzZf9olPnMJuXuhGS9lA0BnoBXktqq4uBce4Ykq%2BEAKiiJUEswwOHVHq0UYyWunKcriiTpc%2BYzy1lpV%2BLL%2BS%2Fa5T%2BSJrMCERccmn6lrwYQtoTIO1bnL0tM48WY4nZpOirlO7EX891Hab8wN6Z%2B4H1vpBsGnsHeM7PzCewkYkgOaE8o9CcppPs48G2ktZ40t4P3BVrejo6fkGQtmPcREJWPPlKQHWE3v3PQpp2Qw8ZgDXnPCqXRe5ijB%2BxBNm1UGFwg5llDtV3p3BBwIExlpV6A%3D%3D,194,88,25,6,4,#751396224,Thonet & Vander,NA,Frei,16 W,Portable,Transportable,Caja,1.0,NA,NA,NA,Activo,NA
9, Parlante Bluetooth Bomb 40w Luces Led Potenciado Usb Radio ,2699,3300,377,45,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,65,https://perfil.mercadolibre.com.ar/AJAXGOLD,https://articulo.mercadolibre.com.ar/MLA-735697832-parlante-bluetooth-bomb-40w-luces-led-potenciado-usb-radio-_JM,50,8,2,4,1,#735697832,Kolke,NA,KPM222 BOMB,40 W,Activo,NA,NA,NA,Entrada para Micrófono,NA,NA,NA,NA
10, Parlante Bluetooth Portátil 3x3 Usb Fm Mp3 + Control Remoto ,1190,NA,261,0,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,15,https://perfil.mercadolibre.com.ar/ALCLICK+ML,https://articulo.mercadolibre.com.ar/MLA-663075567-parlante-bluetooth-portatil-3x3-usb-fm-mp3-control-remoto-_JM,8,5,1,1,0,#663075567,Aliver,NA,ALIV-06,10 W,Activo,NA,Columna,NA,"USB, microSD, AUX.",NA,NA,Subwoofer,NA
