search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Conectores de entrada,Peso,Potencia de salida (RMS),Tipos de filtros del parlante,Altura,Color
11, Barra De Sonido Soundbar Bluetooth Sensewave Master G ,15.000,21.990,"
			
				Nuevo
			
			
				
					 - 
				
				155
				vendidos
			
		",(37 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 2.500
			
		
		 sin interés
		
	

	
		","
				$ 2.500
			",NA,Envío a todo el país,NA,NA,3.4,9,https://perfil.mercadolibre.cl/PROGLOBALCHILE,https://articulo.mercadolibre.cl/MLC-456354330-barra-de-sonido-soundbar-bluetooth-sensewave-master-g-_JM,4,1,1,1,2,#456354330,Master-G,Soundbar MGSB110,NA,NA,NA,NA,NA,NA
12, Parlante Bluetooth Harman Kardon Onyx Studio 4 ,114.990,129.990,"
			
				Nuevo
			
			
				
					 - 
				
				358
				vendidos
			
		","
		
			¡Último disponible!
		
	","
	
		
			
		
		6 cuotas de
		
			
				$ 19.165
			
		
		 sin interés
		
	

	
		","
				$ 19.165
			",NA,Envío gratis a todo el país,NA,NA,4.9,47,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-448975270-parlante-bluetooth-harman-kardon-onyx-studio-4-_JM,45,1,1,0,0,#448975270,Harman Kardon,Onyx Studio 4,NA,NA,60 W,Activo,NA,NA
13, Parlante Bose S1 Pro ,529.990,NA,"
			
			
				
				10
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 88.332
			
		
		 sin interés
		
	

	
		","
				$ 88.332
			",NA,Envío gratis a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=392,https://articulo.mercadolibre.cl/MLC-475923195-parlante-bose-s1-pro-_JM,NA,NA,NA,NA,NA,#475923195,Bose,Parlante Bose S1 Pro,XLR,NA,NA,Activo,NA,NA
14, Parlante Ducha Bluetooth Portátil Agua Piscina 71603 Gocy ,2.890,NA,"
			
				Nuevo
			
			
				
					 - 
				
				530
				vendidos
			
		",(97864 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 482
			
		
		 sin interés
		
	

	
		","
				$ 482
			",NA,Envío a todo el país,NA,NA,5.0,3,https://perfil.mercadolibre.cl/GOCY+EIRL,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=dsMUr8No%2F7iwOcQ3%2F8iXnAEndRoc3jQV7J6O522VpVCPMFUBwZJkPn56JpkCBJvfBzwCDFMAdMC4Y7IdZHjbTOzLvNax0BGtpaPfK7h7inZKGZEmtiDMsjMNdfdNPEW0I%2Fw4Acdvi86l3od1M0h0XdtwsZVvXuAf1bNlIKMDvX6e3e1ZwvwO8GOdieLe0Jbui8baGvhg%2FdvqqE6yi%2FINkV9lUCWWYlRxKLGNo7fNVP3BG%2FuwIny0EkP7TitqkefTxtI3VEw%2FH8tM5TKIhdNi0nsluo0NSYH3Fy0okFr4ux%2Fk3wMBlc2opUzCOEkP7EZ3IF4qDe0P1Z3JuTtD8tGpi8bzEj8hRJi7FYpgkAB3oHnKNxDZABJAgJzEvuSSMlfM89AiYQPFK%2FNh27RsDh0PvCJ6cQ%2Fiqv4TaW%2FG1ow8Ipf0wLWf39ehhMLIH3Wf9zQM73ZlXxR8eprO4e%2BmtC3DxtSg7Ar3WusaBu83%2FkAQI%2FOSGFIv4%2BNHhVbizo3kY%2FI8eYvRJ%2F9z5GnLeGTkABJACntt4spZy1HfAGDzvV3P14TXD34%2F2LM3r%2B5SDDEb71APxzI%2Bs3iblJDS0DzojndoCV1BNs2YZIr8jVLqKT30QeeWZaSeZqD950H2xjLXhm6C0kiMN1PsWwTG3EQZPPrw1e8i1y7EipkoMcNYYIoFwcbJ4iiCHDZMIwGRCDcNvKdCH%2FBkYIC5YdGltOwNo8z2CTir2%2F5FHzMcSGmbRfuZCj9oQJ6na%2BSNkYX1LvwiupwMpEE4Garbj73sXg4byx99zyd0D%2FiHQQeuUshZtMdx3ovdFuyt2GysfpnfJvfbSqsrC%2Bs9Vvj%2FHssHI3z0mxo2R6rZJShj12nR840D2WzRlplMpgHg5Xk796nj1VtBc04cxD46WzsFzkidXzNpYEsOjjzFkgtJbW3WSxfSXjnSotdGukTeWarky6PPzpz%2BU4yuGXTLOCVXlgooLeHq422Den2SYWQknKIhXdWlD6sYBEPpVMu4Ur0lPeFkL3RbIAo%2FaiRi5CBJJyPEpu1K8nE0vXSIsUBHnhEdGn%2FQO4T8tgZvif5bsKGOX4iihMcy6yASvQNDNr7RsVf7a7IQWd7OIasxeD27OycomMP%2FQLDS4NNCLvIc21rPddAbXDpHWhuLxWztflfNY%2FsFA65HnHCpp3jwN3W1US738L6Ds1GSfYqJQKPAiEiKpK2FAJobdagS65k6JGypL9gc5QlxQZWeQJLINDs3TYGVMPmrjSqgVq8WLQg9bBE6%2FomRt3e2O%2FOUfkuMkCfZ9p6JctHnGIw2X8LFkSvlSFd%2FU7lzcPRTZPoA8BopPLqR2DqxGmSV6dI8RbiY4oZOz1q8kjyJPWWx5eJTjCh800Q9AR3DbcyPmuSgRflbjr7222h9ELR5L99H4SovgdVF5cf6bqSFfEzM7421DQVjjvNm4mHL%2BljOUrPczioocXiN7RGXJxG6moR7qBLrpiw%2FWNQv9CXcHC20kTWznFbZlfqmHybmxoAW65922FVZwmagDyOguqEv8Z3OKJ3cC%2BINMZpSCFhYNet0YAZ6YxIH9eho0gHtmp8%3D,3,0,0,0,0,#439441873,Gocy,71603,NA,NA,3 W,NA,9 cm,NA
15, Parlante Jbl Charge 4 Bluetooth Portatil Cargador Waterproof ,119.990,159.990,"
			
				Nuevo
			
			
				
					 - 
				
				43
				vendidos
			
		",(390 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 9.999
			
		
		 sin interés
		
	

	
		","
				$ 9.999
			",NA,Envío gratis a todo el país,NA,NA,5.0,2,https://perfil.mercadolibre.cl/MR.CLICK+CHILE,https://articulo.mercadolibre.cl/MLC-481530674-parlante-jbl-charge-4-bluetooth-portatil-cargador-waterproof-_JM,NA,NA,NA,NA,NA,#481530674,JBL,Charge 4,NA,0.96 kg,30 W,Activo,NA,NA
16, Micrófono Karaoke Bluetooth Con Parlantes Inalámbrico Usb ,6.790,NA,"
			
				Nuevo
			
			
				
					 - 
				
				171
				vendidos
			
		",(129 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 566
			
		
		 sin interés
		
	

	
		","
				$ 566
			",NA,Envío a todo el país,NA,NA,3.0,2,https://perfil.mercadolibre.cl/HDFACTORY,https://articulo.mercadolibre.cl/MLC-457050245-microfono-karaoke-bluetooth-con-parlantes-inalambrico-usb-_JM,NA,NA,NA,NA,NA,#457050245,NA,NA,NA,NA,NA,NA,NA,NA
17, Parlante Karaoke Portátil Bluetooth Yf7 Master G + Micrófono ,29.990,39.990,"
			
			
				
				161
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.998
			
		
		 sin interés
		
	

	
		","
				$ 4.998
			",NA,Envío gratis a todo el país,NA,NA,3.0,2,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=278,https://articulo.mercadolibre.cl/MLC-472376689-parlante-karaoke-portatil-bluetooth-yf7-master-g-microfono-_JM,NA,NA,NA,NA,NA,#472376689,Master-G,Parlante Karaoke Portátil Bluetooth YF7 Master G + Micrófono,Auxiliar,3.13 kg,20 W,Activo,52 cm,NA
18, Jbl Go2 Parlante Portátil Bluetooth Inalámbrico Impermeable ,24.990,29.990,"
			
				Nuevo
			
			
				
					 - 
				
				332
				vendidos
			
		",(38 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.165
			
		
		 sin interés
		
	

	
		","
				$ 4.165
			",NA,Envío gratis a todo el país,NA,NA,4.8,49,https://perfil.mercadolibre.cl/ONLINECLUB,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=l5NPgnMBFE6ILM3kWVRpF%2BuM49G0PLao5Rr5Ub3TiUsMdFmVTujiFMO0W9qj4zOt%2BSDi4LeMWelOQ0hUKsRznJf%2B%2BpFptC3ZSccoFew4hqaKSAb2Ly5r5hgG%2BbP%2BreTBUePBxpBR6x9f8Q4i1RAYbEUS1lYnObEjRvMKDkIe4W9zzZ%2FXDmp4bXELOq%2Br7t%2FEBb3kBoJDe%2BLyFOnMR9%2Fr5jbAerKhTAw2rlTwfza%2FzQu7rwy7%2BU6s%2FidE26sLkI4dDHQ0svlBP85OVoDaVbfIo9d7hmSrE7b1zMkM2tf9uJznR0M%2Fbr0id8tFs5LL5eruh66DeN%2FJrMi4UAMw7jxnHQFKrguLGjQKfInOs5Ne3oV5nH3YN7IvaK3sXnVCAkvixBPzQtVW1a0sCAy4ylV6GC0jqREam%2FZVRfXQJHm0l4gkCAnzFjm%2Bc0cMPMTDpHr8uy%2FWrGmZWvH%2F9m8QcID8jgwa1dmv%2BFav0Po1lhvMw3LrPV5eynQS7Pyjf6ZE5QxFyIh4gE9nI9SDrp%2FpCN9Eoj8DI%2BxCxTj6pmaRR4TgrsPBmN7TwzsB9UmSq0OROkgyMK9SeuO%2F9pT%2ByOU4CuyATcRa5k9leWVeVB0i267gBfZiEJNaAly6U3dPBasD9lf%2BeBRjuwBLSWGK5AYzpbCXCmmg8O1t6ysnFGGAn%2Bvl5YzonbplT9hKFyF4Gs%2Bi0PyvoLJx%2BQqoOcNqEWL1Q9DrYQ%2FKFxnayG1o2UlcNslpbsb0C6X1gpUWIO2OhQdFyfcX53uj5Lghw3x5hGs6iX03Z6MOJ1lUh7Di4%2FaGcKibUEeh7SND3LL3fOahXKiHgnEeum8aow1VA13PN4MisItY6%2FSWCjmIiR72hXivwzsW2wf2wkesjrNf22CB6Wi4yngVyW90tWB2AL4TnszqeohlM8SdblED%2FTbghdFYln65LQa0%2FPhiHv2RCa5JJPQWkGiQM8B5A3OLO1a%2FmnmYR%2FNRwQlE9Gs6SJYjkjQgg3YcqpPHdeCj7Hxqpwb83qOPMFE4RlihIbJELOocJxxsu52HsyvpG%2BOS3iyDfMxFKCU8LFPBYE5ZpMAqhXb6PLSmIuHBcdRMdctDdnqvV7hM%2BEgGqyYWAiTlxZdvB3JLg0zjXNZ%2BSHjLJU6UGQOZUdTdoB%2Bvus7zGU5GKPUHcfIYeR7MNOjLiSre7dIRd7A6yH%2FsF1gvCRNQNLy2HhP3aoso2GvsBzCAjPDki%2Fj0bwSfTyNDPjEwBwEspjG%2BJDnlXJ%2FETeYCHLJS4AZvEmcNVNB0La2WPJcPpJng61kj%2FhqR%2FTo6K2jcd%2BcNTwgx%2FGF7VAskhbE1%2B0GSSH4QI%2BTKPZps5ij5AkhS0%2BoYrdDD5dScVMb1iSoNwDb8NvZ%2FLB2xvBocl5LMPyAXmsGukqICg9myLC5tgo%2BSHWH9XC1lHNsRMZ28brjfX4uj%2BEkI27r3s3w66Zr1eOoKzvu5CSAT0CUCCmKDXrP3IHbYiV7J78AFWYJLkRLr6Z7wl2cxRwhSNhV8JxemfnHN5Zu3apMsbUK7T0tAPVmu%2BrIwJN%2F4kPKjV%2FoosGZn5vjiHf%2FRgR9v%2Bn7eAw%3D%3D,41,6,1,1,0,#470706708,JBL,GO 2,NA,184 g,3 W,Activo,NA,NA
19, Parlante Bluetooth Outdoor Powerbass3 10w Ipx6 Njoytech ,24.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				118
				vendidos
			
		",(82 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.082
			
		
		 sin interés
		
	

	
		","
				$ 2.082
			",NA,Envío gratis a todo el país,NA,NA,4.7,9,https://perfil.mercadolibre.cl/NJOYTECH+CHILE,https://articulo.mercadolibre.cl/MLC-464586508-parlante-bluetooth-outdoor-powerbass3-10w-ipx6-njoytech-_JM,7,1,1,0,0,#464586508,NA,NA,NA,287 g,10 W,NA,NA,NA
20, Par Parlante Caja Acústica 15 Eon615 Jbl - Envío Gratis ,620.000,800.000,"
			
				Nuevo
			
			
				
					 - 
				
				11
				vendidos
			
		","
		
			¡Último disponible!
		
	","
	
		
			
		
		6 cuotas de
		
			
				$ 103.333
			
		
		 sin interés
		
	

	
		","
				$ 103.333
			",NA,Envío gratis a todo el país,NA,NA,5.0,2,https://perfil.mercadolibre.cl/ARTECNOINSTRUMENTOS,https://articulo.mercadolibre.cl/MLC-487403975-par-parlante-caja-acustica-15-eon615-jbl-envio-gratis-_JM,NA,NA,NA,NA,NA,#487403975,JBL,EON615,NA,NA,NA,NA,NA,NA
21, Parlante Bluetooth Charge Mini Ii Excelente Sonido Nuevo ,12.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				55
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.082
			
		
		 sin interés
		
	

	
		","
				$ 1.082
			",NA,Envío a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/KIOSKOFAST.COM,https://articulo.mercadolibre.cl/MLC-467242477-parlante-bluetooth-charge-mini-ii-excelente-sonido-nuevo-_JM,NA,NA,NA,NA,NA,#467242477,JBL,NA,NA,NA,NA,NA,NA,NA
22, Parlante Bluetooth Inalambrico Impermeable Ducha Agua ,3.990,4.990,"
			
				Nuevo
			
			
				
					 - 
				
				675
				vendidos
			
		",(318 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 665
			
		
		 sin interés
		
	

	
		","
				$ 665
			",NA,Envío a todo el país,NA,NA,4.3,7,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-434759217-parlante-bluetooth-inalambrico-impermeable-ducha-agua-_JM,4,1,2,0,0,#434759217,NA,NA,NA,NA,NA,NA,NA,NA
23, Parlante Bluetooth Portatil Excelente Sonido Usb Mini ,9.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				39
				vendidos
			
		",(84 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 832
			
		
		 sin interés
		
	

	
		","
				$ 832
			",NA,Envío a todo el país,NA,NA,4.5,2,https://perfil.mercadolibre.cl/MULTISHOPVIRTUAL23,https://articulo.mercadolibre.cl/MLC-492465137-parlante-bluetooth-portatil-excelente-sonido-usb-mini-_JM,NA,NA,NA,NA,NA,#492465137,charge,mini,NA,130 g,3 W,Activo,NA,NA
24, Parlante Bluetooth Bose Soundtouch 10 ,149.990,189.990,"
			
			
				
				33
				vendidos
			
		",(1 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 24.998
			
		
		 sin interés
		
	

	
		","
				$ 24.998
			",NA,Envío gratis a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=392,https://articulo.mercadolibre.cl/MLC-472177219-parlante-bluetooth-bose-soundtouch-10-_JM,NA,NA,NA,NA,NA,#472177219,Bose,Parlante Bluetooth Bose Soundtouch 10,Auxiliar,NA,NA,Activo,NA,NA
25, Amazon Echo Dot 3 Parlante Inteligente Alexa Español ,39.990,64.990,"
			
				Nuevo
			
			
				
					 - 
				
				46
				vendidos
			
		",(12 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 6.665
			
		
		 sin interés
		
	

	
		","
				$ 6.665
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MR.CLICK+CHILE,https://articulo.mercadolibre.cl/MLC-484950082-amazon-echo-dot-3-parlante-inteligente-alexa-espanol-_JM,NA,NA,NA,NA,NA,#484950082,Amazon,NA,NA,NA,NA,NA,NA,NA
26, Home Theater Mp3 Bluetooth/fm/puerto Usb/ Sd Aiwa Awa-299bt ,39.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				8
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 3.325
			
		
		 sin interés
		
	

	
		","
				$ 3.325
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/PARO1305168,https://articulo.mercadolibre.cl/MLC-477322523-home-theater-mp3-bluetoothfmpuerto-usb-sd-aiwa-awa-299bt-_JM,NA,NA,NA,NA,NA,#477322523,Aiwa,NA,NA,NA,NA,NA,NA,NA
27, Parlante Portátil Bluetooth Bose Soundlink Revolve ,199.990,NA,"
			
			
				
				42
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 33.332
			
		
		 sin interés
		
	

	
		","
				$ 33.332
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=392,https://articulo.mercadolibre.cl/MLC-471014399-parlante-portatil-bluetooth-bose-soundlink-revolve-_JM,NA,NA,NA,NA,NA,#471014399,Bose,Parlante Portátil Bluetooth Bose Soundlink Revolve,Auxiliar,NA,NA,Activo,NA,NA
28, Parlante Portátil Karaoke Bluetooth Master G T5w + Micrófono ,39.990,49.990,"
			
			
				
				45
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 6.665
			
		
		 sin interés
		
	

	
		","
				$ 6.665
			",NA,Envío gratis a todo el país,NA,NA,4.5,2,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=278,https://articulo.mercadolibre.cl/MLC-472376947-parlante-portatil-karaoke-bluetooth-master-g-t5w-microfono-_JM,NA,NA,NA,NA,NA,#472376947,Master-G,Parlante Portátil Karaoke Bluetooth Master G T5W + Micrófono,NA,NA,30 W,Activo,22 cm,NA
29, Parlante Jbl Flip 4 Bluetooth Portail Waterproof Garantia Mc ,59.990,74.990,"
			
				Nuevo
			
			
				
					 - 
				
				37
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 9.998
			
		
		 sin interés
		
	

	
		","
				$ 9.998
			",NA,Envío gratis a todo el país,NA,NA,4.4,17,https://perfil.mercadolibre.cl/MR.CLICK+CHILE,https://articulo.mercadolibre.cl/MLC-481529996-parlante-jbl-flip-4-bluetooth-portail-waterproof-garantia-mc-_JM,10,5,1,1,0,#481529996,JBL,Flip 4,NA,NA,16 W,Activo,NA,NA
30, Parlante Bluetooth Harman Kardon Aura Studio 2 ,139.990,249.990,"
			
				Nuevo
			
			
				
					 - 
				
				60
				vendidos
			
		",(8 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 23.332
			
		
		 sin interés
		
	

	
		","
				$ 23.332
			",NA,Envío gratis a todo el país,NA,NA,5.0,3,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-451893220-parlante-bluetooth-harman-kardon-aura-studio-2-_JM,3,0,0,0,0,#451893220,Harman Kardon,Aura Studio 2,NA,NA,NA,Activo,"1.5 """,NA
31, Parlante Soundbar Aiwa Bluetooth Sb-002l - Prophone ,37.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				16
				vendidos
			
		",(915 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 6.332
			
		
		 sin interés
		
	

	
		","
				$ 6.332
			",NA,Envío gratis a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/PROPHONELTDA,https://articulo.mercadolibre.cl/MLC-462029223-parlante-soundbar-aiwa-bluetooth-sb-002l-prophone-_JM,NA,NA,NA,NA,NA,#462029223,Aiwa,NA,NA,NA,NA,NA,NA,NA
32, Parlante Radio Reloj Bluetooth Lampara Master G ,15.997,NA,"
			
				Nuevo
			
			
				
					 - 
				
				38
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.333
			
		
		 sin interés
		
	

	
		","
				$ 1.333
			",NA,Envío a todo el país,NA,NA,5.0,2,https://perfil.mercadolibre.cl/ANDRESGOAHEAD,https://articulo.mercadolibre.cl/MLC-475071355-parlante-radio-reloj-bluetooth-lampara-master-g-_JM,NA,NA,NA,NA,NA,#475071355,Master-G,MGCLOCKBT,NA,537 g,5 W,NA,NA,NA
33, Parlante Caja Acústica 15 Eon615 Jbl - Envío Gratis ,320.000,400.000,"
			
				Nuevo
			
			
				
					 - 
				
				12
				vendidos
			
		","
		
			¡Último disponible!
		
	","
	
		
			
		
		6 cuotas de
		
			
				$ 53.333
			
		
		 sin interés
		
	

	
		","
				$ 53.333
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/ARTECNOINSTRUMENTOS,https://articulo.mercadolibre.cl/MLC-487386671-parlante-caja-acustica-15-eon615-jbl-envio-gratis-_JM,NA,NA,NA,NA,NA,#487386671,JBL,EON615,NA,NA,NA,NA,NA,NA
34, Parlante Portátil Bluetooth Yamaha Wx-021 ,199.990,229.990,"
			
			
				
				1
				vendido
			
		",(5 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 33.332
			
		
		 sin interés
		
	

	
		","
				$ 33.332
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=393,https://articulo.mercadolibre.cl/MLC-478663763-parlante-portatil-bluetooth-yamaha-wx-021-_JM,NA,NA,NA,NA,NA,#478663763,Yamaha,Parlante Portátil Bluetooth Yamaha Wx-021,USB,3 kg,40 W,Activo,28 cm,NA
