search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Linha,Modelo,Tipo de capacete,Tipo de visor,Materiais do interior,Materiais do exterior,Idade,Gênero,Peso
1, Capacete Moto Robocop Escamoteável Pro Tork V-pro Jet 3 ,149,189,"
			
			
				
				3916
				vendidos
			
		",(652 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1249
		
		 sem juros
		
	

	
		",49,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,1727,https://perfil.mercadolivre.com.br/SPORTBAY+PLUS?brandId=2047,https://produto.mercadolivre.com.br/MLB-1172406260-capacete-moto-robocop-escamoteavel-pro-tork-v-pro-jet-3-_JM?searchVariation=32456491659,1244,335,95,23,29,#1172406260,"Azul,Amarelo,Azul,Azul-claro,Gris,Laranja,Rosa,Verde,Vermelho","58,60,62",Pro Tork,Capacete,V-Pro Jet 3,Integral,Simple,Nylon Pluma,"ABS, Policarbonato",Adultos,Unissex,NA
2, Capacete Moto Aberto Pro Tork New Liberty 3 Three ,59,NA,"
			
			
				
				3756
				vendidos
			
		",(1740 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 590
		
		 sem juros
		
	

	
		",90,NA,Envio para todo o país,NA,NA,4.6,1592,https://perfil.mercadolivre.com.br/SPORTBAY?brandId=721,https://produto.mercadolivre.com.br/MLB-808714522-capacete-moto-aberto-pro-tork-new-liberty-3-three-_JM?searchVariation=19635871969,1178,278,102,15,19,#808714522,"Preto,Amarelo,Azul,Branco,Prateado,Preto,Preto-fosco,Rosa,Vermelho","56,58,60",Pro Tork,Capacetes,New Liberty 3,Integral,NA,NA,ABS,NA,NA,NA
3, Capacete Para Moto Protork R8 Fechado Viseira Iridium Loi ,120,144,"
			
				Novo
			
			
				
					 - 
				
				693
				vendidos
			
		",(63 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1147
		
		 sem juros
		
	

	
		",47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2129,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1162746915-capacete-para-moto-protork-r8-fechado-viseira-iridium-loi-_JM?searchVariation=31714122516,1413,398,186,62,70,#1162746915,"Amarelo,Azul,Azul-claro,Laranja,Prateado,Rosa,Verde,Vermelho","56,58,60",Pro Tork,R8,R8,Integral,NA,"espumas de memória para melhor absorção de impacto e conforto, tecidos nylon em pluma anti alérgicos e com alta resistência abrasiva",injetado em polímero abs de alto impacto virgem,Adultos,Unissex,1.27 kg
4, Capacete Para Moto Protork R8 Fechado Viseira Camaleão Loi ,120,144,"
			
				Novo
			
			
				
					 - 
				
				665
				vendidos
			
		",(29 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1147
		
		 sem juros
		
	

	
		",47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2129,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1162758324-capacete-para-moto-protork-r8-fechado-viseira-camaleo-loi-_JM?searchVariation=31714629230,1413,398,186,62,70,#1162758324,Azul,"56,58,60",Pro Tork,R8,R8,Integral,NA,"espumas de memória para melhor absorção de impacto e conforto, tecidos nylon em pluma anti alérgicos e com alta resistência abrasiva",injetado em polímero abs de alto impacto virgem,Adultos,Unissex,1.27 kg
5, Capacete Moto Feminino Fechado Ebf Varias Cores E Tamanho ,133,NA,"
			
			
				
				895
				vendidos
			
		",(45 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1116
		
		 sem juros
		
	

	
		",16,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,210,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-824544027-capacete-moto-feminino-fechado-ebf-varias-cores-e-tamanho-_JM,167,31,7,5,0,#824544027,Branco e rosa,58,EBF,New Spark,New Spark Borboleta,Integral,Simple,NA,ABS,Adultos,Unissex,NA
6, Capacete Moto Axxis By Mt Skull Caveira Preto Fosco ,120,144,"
			
				Novo
			
			
				
					 - 
				
				2195
				vendidos
			
		",(38 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1147
		
		 sem juros
		
	

	
		",47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2129,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1071430308-capacete-para-moto-protork-r8-fechado-resistente-oferta-loi-_JM?searchVariation=25824453651,1413,398,186,62,70,#1071430308,,"56,58,60",Pro Tork,Sportiva,R8,Integral,NA,Antialérgica,Injetado em Polímero ABS de alto impacto virgem,Adultos,Unissex,1.27 kg
7, Capacete Para Moto Protork R8 Fechado Resistente Oferta Loi ,120,NA,"
			
				Novo
			
			
				
					 - 
				
				1942
				vendidos
			
		",(1 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1147
		
		 sem juros
		
	

	
		",47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,71,https://perfil.mercadolivre.com.br/KAZZU+COMERCIO,https://produto.mercadolivre.com.br/MLB-1133429702-capacete-moto-mixs-fokker-storm-fundo-preto-fosco-lancamento-_JM?searchVariation=37766877288,41,12,13,1,4,#1133429702,Azul-escuro,58,Mixs,Capacetes,MX2,Fechado,NA,NA,NA,NA,Unissex,NA
8, Capacete Moto Mixs Fokker Storm Fundo Preto Fosco Lançamento ,399,NA,"
			
				Novo
			
			
				
					 - 
				
				207
				vendidos
			
		",(1 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 3325
		
		 sem juros
		
	

	
		",25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,19,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=2q%2B59Vgek8mZViyXQKAPdS5ul5r%2FBmpwkKPj0W7U6pWf9GKnIm3Gpad5y0Nb9T4MJWPKpHvogL1GtolGlgy4T29%2FN2%2BujojEaw8lFBvbYR9%2Fl77INVrLJe5qvqzI7W5diHGVnwyxRpSYPm3KNsDuJBNs5ut5o6B%2Bs0QZdbrt5SQGMnFQV9pzREY8RddglU4mC2p5JtRmmhX9qgMm2VN4E6Ymx4MOV8SLzH%2By%2BCQblAZRFzha%2BrVGImuF9qPTKnxNIAJ8fYmR3vD3W6qvcY2peOiWFFjDNXeterqQxTQ0TZBjlYAuESOW60gE3dC1gEecGM9PfcwevRu1Pn06kb53kvpoNS2OHdJ5rlmF4GyRCz32EU9IdaUEWDllfavBddLhB6lH86hKs6nxZSsybUMWbg0T%2B53Dh4eA7U3TPqbjpIfe4zdIVjX2X%2B3RwgmMHeq9Dxf%2B3RpVZdXa7S0%2BHgSn4kUc8k0kPdp5aRDIi2xwF8Cxuq8DEBtJ9MxPe2hy1iJjnOhB1%2FEsvmC18e4rCsHsQH6gn%2FbLJ52jc0q4WGzIBrJzEDl%2BB3263AKFjK5Vu%2FUxa2qi9hc95mHBFaFIyn%2Fn8EPqATirohfcesJi9Fw5wn3osdctyN6AJGMIt8D0tNcWyVVl6UQJAQ6IRlKKmLmKWuG0%2Fd%2F7GjpHt8DXJlwiDcHAaUhneOVyf3MUrN5FV2RK5qmfPoIhBeRIqpNwZ7chULGjlx58%2FpSuSBr9RthHKrzR2HHN%2FKt0e70dZA92r%2Bf1FFUIp1UGe5v%2B7EBtYdxBqAoYBU0fPSPhck%2BQGpWyqBzZgAWIFHpfZKkxY5fVDbJJakxwTcYIxqK3uqQ3RLY14I2HrdUNDkjBut%2ByKWonQbldrBX8ESYEHwwU%2FF5DCog1eSTCsUQeJWXdfm90aHvRiamms2PR6V3O553arND3ihmk5kTuzOn4dBEApSGG9um28nVX%2FWmp8%2FizV7%2FrveAWW%2BVY2qTSNIHQNNyP%2FemMdVp0W3u7EculXg3wp%2B%2BpoRRIu%2FORAtOqprxnybZh5Iq5FC6YOy5d3eFTnrotQ4%2BRXMCzo7cTX3UZc%2BeE7uTLHnO8PGh4GwBrvN%2FqhtsOUzBk1avvkva1iOTaLDmG9Dro25F4FgCMJ%2Bk0TFQcFtRDCrdWKl7KKYmM%2F2yDaLaCDiuwAjGUBlI8ivpEii8g0L2G2Z%2Beg0DianWYobcpHmEUMfX3nUwhUy9fmG7ejak03PtFIDd6UwbrEMEYNntmfqe0XNFYzzQ7uXaRcrIyy7TbgrF05dEU2FdVx7tk7%2BMYQTrAjva%2BLnvFAvSdD8qnT2hvmifaRWQzPdnqNPY13b7LIg0uKDePUPzZFlFBBE9e9Wh85aOynkmqEUSbaZoZIJ8ZnlTe%2BugAoo9C8QFsp5B1Ly%2FnJRnpWeuoOVZzut0rKh%2F%2B9A7becrL1%2BUgAO7680UBZE9jXk7%2FPoFiEMkToMkAnK8WkEShaio9BIfcL4yj%2BYXLpn5FMr02WkNPZ9wJpTqlZpTydBMiptRGePf%2F8%2BEsdffJCAvvsSG1h1AhkJb7aL629ANch6gQynggMxDfT5%2F%2BU9%2B5z6T%2BxwVRfFEadH9RreUfQ7oveCU9Idpn48bHY7VvCPDvxgrBXGe%2B5U8MUvjQEdW1Z1C5VuKGDTP2cOTPbDz%2FlznfjeM11%2FX3o8JueKRD5xqUB0s7Fkwup98zouhZK%2Bx%2Barp22GbG8NEdm1Z4pt1h2SLUiF6Eb%2FQFZtqioLRkBiYpGlkhGGnZWeDGt%2BrdcDqghuNdZhCh3KtrvbTGDxV%2B82YAqZiOXs0xg2VkXrynNWWX3QhcltKqe%2F6eujr16YFl%2ForqeTqcrNOB6xCz20KrlBsGHBqslAZYshgrM3vc91twl4osgTpm1Q%3D%3D,16,2,1,0,0,#702919658,Preto - Skull Fosco,60,Axxis,Axxis,Eagle,Integral,Simple,NA,ABS,Adultos,Unissex,1430 g
9, Capacete Moto Protork Evolution 3g Noscity Preto Dourado Loi ,134,161,"
			
				Novo
			
			
				
					 - 
				
				818
				vendidos
			
		",(11 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1290
		
		 sem juros
		
	

	
		",90,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,79,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-960763001-capacete-moto-protork-evolution-3g-noscity-preto-dourado-loi-_JM?searchVariation=25688881227,51,18,6,3,1,#960763001,Preto,56,Pro Tork,Capacetes,NOS Evolution,Integral,NA,camurça com alto nível de conforto e absorção;,Injetado em Polímero ABS de alto impacto virgem,Adultos,Unissex,1400 g
10, Capacete Moto Protork New Liberty Four Varias Cores Escolha ,57,NA,"
			
				Novo
			
			
				
					 - 
				
				1598
				vendidos
			
		",(577 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 658
		
		 sem juros
		
	

	
		",58,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,1594,https://perfil.mercadolivre.com.br/EMPORIUM+LIVRE,https://produto.mercadolivre.com.br/MLB-871667175-capacete-moto-protork-new-liberty-four-varias-cores-escolha-_JM?searchVariation=27219629615,1054,340,144,32,23,#871667175,,"56,58,60",Pro Tork,New liberty,New Liberty Four,Integral,Simple,NA,ABS,Adultos,Unissex,NA
