search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Formato,Línea,Color
1, Audífonos Bluetooth Bt-100 Negro Maxell- Entrega Inmediata. ,9.990,15.990,"
			
			
				
				338
				vendidos
			
		",(20 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 832
			
		
		 sin interés
		
	

	
		","
				$ 832
			",NA,Envío a todo el país,NA,NA,4.5,32,https://perfil.mercadolibre.cl/MAXELL+CHILE?brandId=219,https://articulo.mercadolibre.cl/MLC-452371070-audifonos-bluetooth-bt-100-negro-maxell-entrega-inmediata-_JM#position=1&type=item&tracking_id=9b59ae92-deaf-4c70-b68e-d0329c3a9e0d,23,5,2,2,0,#452371070,Maxell,EB-BT100 CARBON,NA,NA,NA
2, Audífonos Am61 Inalámbrico Bluetooth Huawei Am 61 -mobilehut ,28.990,39.990,"
			
			
				
				219
				vendidos
			
		",(9 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.832
			
		
		 sin interés
		
	

	
		","
				$ 4.832
			",NA,Envío gratis a todo el país,NA,NA,4.7,71,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-451201533-audifonos-am61-inalambrico-bluetooth-huawei-am-61-mobilehut-_JM#position=2&type=item&tracking_id=9b59ae92-deaf-4c70-b68e-d0329c3a9e0d,58,9,3,1,0,#451201533,Huawei,AM61,NA,NA,NA
3, Audífonos Bluetooth Tipo I7s Tws Gamer V4.2 Oem ,6.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				244
				vendidos
			
		",(852 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.165
			
		
		 sin interés
		
	

	
		","
				$ 1.165
			",NA,Lo retiro en el domicilio del vendedor,NA,NA,4.3,8,https://perfil.mercadolibre.cl/MAMI+HOUSE,https://articulo.mercadolibre.cl/MLC-491571996-audifonos-bluetooth-tipo-i7s-tws-gamer-v42-oem-_JM#position=3&type=item&tracking_id=9b59ae92-deaf-4c70-b68e-d0329c3a9e0d,4,3,0,1,0,#491571996,NA,NA,NA,NA,NA
4, Audifonos Bluetooth Qcy T1c ,22.690,NA,"
			
				Nuevo
			
			
				
					 - 
				
				235
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.782
			
		
		 sin interés
		
	

	
		","
				$ 3.782
			",NA,Envío gratis a todo el país,NA,NA,4.7,23,https://perfil.mercadolibre.cl/AFRICCA+STORE,https://articulo.mercadolibre.cl/MLC-471677503-audifonos-bluetooth-qcy-t1c-_JM#position=4&type=item&tracking_id=9b59ae92-deaf-4c70-b68e-d0329c3a9e0d,17,5,1,0,0,#471677503,QCY,T1c / T1,TWS,NA,NA
5, Audifonos Bluetooth I7s Tws Alta Calidad Colores + Base ,13.990,19.990,"
			
				Nuevo
			
			
				
					 - 
				
				508
				vendidos
			
		",(1042 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.166
			
		
		 sin interés
		
	

	
		","
				$ 1.166
			",NA,Envío a todo el país,NA,NA,4.4,18,https://perfil.mercadolibre.cl/WSTECHNOLOGY.,https://articulo.mercadolibre.cl/MLC-472793392-audifonos-bluetooth-i7s-tws-alta-calidad-colores-base-_JM#position=5&type=item&tracking_id=9b59ae92-deaf-4c70-b68e-d0329c3a9e0d,12,2,3,1,0,#472793392,CHINO,I7S,In-ear,NA,NA
6, Audifonos Inalámbrico Bluetooth Tws-k2 AirPods - Prophone ,18.990,19.990,"
			
				Nuevo
			
			
				
					 - 
				
				471
				vendidos
			
		",(59 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.165
			
		
		 sin interés
		
	

	
		","
				$ 3.165
			",NA,Envío gratis a todo el país,NA,NA,4.2,27,https://perfil.mercadolibre.cl/PROPHONELTDA,https://articulo.mercadolibre.cl/MLC-454472669-audifonos-inalambrico-bluetooth-tws-k2-airpods-prophone-_JM#position=6&type=item&tracking_id=9b59ae92-deaf-4c70-b68e-d0329c3a9e0d,18,2,3,3,1,#454472669,NA,NA,NA,NA,NA
7, Audifono Bluetooth V4.2 Inalámbrico Hbq I7-tws ,7.990,14.990,"
			
				Nuevo
			
			
				
					 - 
				
				459
				vendidos
			
		",(41 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.332
			
		
		 sin interés
		
	

	
		","
				$ 1.332
			",NA,Envío a todo el país,NA,NA,3.2,11,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-459017997-audifono-bluetooth-v42-inalambrico-hbq-i7-tws-_JM#position=7&type=item&tracking_id=9b59ae92-deaf-4c70-b68e-d0329c3a9e0d,3,2,2,2,2,#459017997,TWS,I7S,NA,NA,NA
8, Audifonos I7s Tws Bluetooth iPhone Android ,6.490,NA,"
			
				Nuevo
			
			
				
					 - 
				
				99
				vendidos
			
		",(91 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 541
			
		
		 sin interés
		
	

	
		","
				$ 541
			",NA,Lo retiro en el domicilio del vendedor,NA,NA,3.5,4,https://perfil.mercadolibre.cl/LAOCASIONSTORE,https://articulo.mercadolibre.cl/MLC-471461822-audifonos-i7s-tws-bluetooth-iphone-android-_JM#position=8&type=item&tracking_id=9b59ae92-deaf-4c70-b68e-d0329c3a9e0d,2,0,1,0,1,#471461822,i7,i7S TWS,NA,NA,NA
9, Audifonos Bluetooth 5.0 Qcy T1c AirPods iPhone Manos Libres ,24.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				191
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.165
			
		
		 sin interés
		
	

	
		","
				$ 4.165
			",NA,Envío gratis a todo el país,NA,NA,4.8,19,https://perfil.mercadolibre.cl/WIRELESS+MUNDO,https://articulo.mercadolibre.cl/MLC-470585752-audifonos-bluetooth-50-qcy-t1c-airpods-iphone-manos-libres-_JM#position=9&type=item&tracking_id=9b59ae92-deaf-4c70-b68e-d0329c3a9e0d,17,1,0,1,0,#470585752,QCY,T1C,In-ear,2019,NA
10, Audifonos Con Bluetooth Sony Oem Con Luz Led ,19.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				112
				vendidos
			
		",(98 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.332
			
		
		 sin interés
		
	

	
		","
				$ 3.332
			",NA,Envío gratis a todo el país,NA,NA,4.3,7,https://perfil.mercadolibre.cl/ELECTRONICA_ROCA,https://articulo.mercadolibre.cl/MLC-464459355-audifonos-con-bluetooth-sony-oem-con-luz-led-_JM#position=10&type=item&tracking_id=9b59ae92-deaf-4c70-b68e-d0329c3a9e0d,5,1,0,0,1,#464459355,Sony,NA,NA,NA,NA
