search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Marca del celular,Tipo de funda
1, Mophie Funda Bateria Juice Pack Para iPhone 8/7 Plus Negro ,47.99,69.990,1,2,6,7.998,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-475910245-mophie-funda-bateria-juice-pack-para-iphone-87-plus-negro-_JM#position=1&type=item&tracking_id=c045ceeb-20ad-4d17-8870-4e849deb2799,NA,NA,NA,NA,NA,#475910245,Mophie,NA,NA
2, Tech 21 Funda Dura iPhone 8/7 Plus Evoke Transparente/azul ,23.99,NA,1,9,6,3.998,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-496719646-tech-21-funda-dura-iphone-87-plus-evoke-transparenteazul-_JM#position=2&type=item&tracking_id=c045ceeb-20ad-4d17-8870-4e849deb2799,NA,NA,NA,NA,NA,#496719646,Tech 21,Apple,Carcasa
3, iPhone 5 5s 6 6s 7 8 Plus Carcasa 360 Slim Gkk | Kyrios ,6.99,NA,90,3,6,1.165,NA,Envío a todo el país,NA,NA,4.8,6,https://perfil.mercadolibre.cl/TIENDA+KYRIOS,https://articulo.mercadolibre.cl/MLC-473097419-iphone-5-5s-6-6s-7-8-plus-carcasa-360-slim-gkk-kyrios-_JM?searchVariation=41301697056#position=3&type=item&tracking_id=c045ceeb-20ad-4d17-8870-4e849deb2799,5,1,0,0,0,#473097419,GKK,Apple,Carcasa
4, Carcasa Silicona iPhone 7 iPhone 8 Apple Colores | Maxtech ,8.99,NA,79,NA,12,749,NA,Envío a todo el país,NA,NA,5,3,https://perfil.mercadolibre.cl/MAXTECHCHILELTDA,https://articulo.mercadolibre.cl/MLC-441102468-carcasa-silicona-iphone-7-iphone-8-apple-colores-maxtech-_JM#position=4&type=item&tracking_id=c045ceeb-20ad-4d17-8870-4e849deb2799,3,0,0,0,0,#441102468,Apple,Apple,Carcasa
5, Apple iPhone 8 64gb Nuevo + Lamina Y Funda - Phone Store ,699.99,NA,164,736,6,116.665,NA,Envío gratis a todo el país,NA,NA,4.8,40,https://perfil.mercadolibre.cl/PHONESTORE-RETAILCHILE,https://articulo.mercadolibre.cl/MLC-450308147-apple-iphone-8-64gb-nuevo-lamina-y-funda-phone-store-_JM#position=5&type=item&tracking_id=c045ceeb-20ad-4d17-8870-4e849deb2799,34,5,0,0,1,#450308147,Apple,NA,NA
6, Carcasa Silicona Logo Apple iPhone 7 / 8 + Lamina De Vidrio ,9.99,NA,43,90,12,832,NA,Envío a todo el país,NA,NA,5,2,https://perfil.mercadolibre.cl/CARCASASPUNTOCL,https://articulo.mercadolibre.cl/MLC-480609141-carcasa-silicona-logo-apple-iphone-7-8-lamina-de-vidrio-_JM#position=6&type=item&tracking_id=c045ceeb-20ad-4d17-8870-4e849deb2799,2,0,0,0,0,#480609141,NA,Apple,Carcasa
7, Carcasa Transparente Reforzada Para iPhone 8 Plus Miaustore ,1.99,NA,34,2,12,166,NA,Envío a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/MIAUSTORE.CL,https://articulo.mercadolibre.cl/MLC-453525745-carcasa-transparente-reforzada-para-iphone-8-plus-miaustore-_JM#position=7&type=item&tracking_id=c045ceeb-20ad-4d17-8870-4e849deb2799,1,0,0,0,0,#453525745,NA,Apple,Carcasa
8, Carcasa Original Ipaky 360º iPhone 8 + Vidrio Templado ,12.99,19.990,3022,5,6,2.165,NA,Envío gratis a todo el país,NA,NA,3,1,https://perfil.mercadolibre.cl/MONKEYCOLOR,https://articulo.mercadolibre.cl/MLC-451127669-carcasa-original-ipaky-360-iphone-8-vidrio-templado-_JM#position=8&type=item&tracking_id=c045ceeb-20ad-4d17-8870-4e849deb2799,0,0,1,0,0,#451127669,NA,NA,NA
9, Carcasa Original Ipaky 360º iPhone 8 Plus + Vidrio Templado ,12.99,19.990,3012,4,6,2.165,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MONKEYCOLOR,https://articulo.mercadolibre.cl/MLC-451130493-carcasa-original-ipaky-360-iphone-8-plus-vidrio-templado-_JM#position=9&type=item&tracking_id=c045ceeb-20ad-4d17-8870-4e849deb2799,NA,NA,NA,NA,NA,#451130493,Genérico,Apple,Carcasa
10, Carcasa Love Mei iPhone 7 8 X Y 7 8 Plus - Tecnostrike ,17.99,20.990,335,25,6,2.998,NA,Envío a todo el país,NA,NA,4.1,13,https://perfil.mercadolibre.cl/TECNOSTRIKE,https://articulo.mercadolibre.cl/MLC-435358128-carcasa-love-mei-iphone-7-8-x-y-7-8-plus-tecnostrike-_JM#position=10&type=item&tracking_id=c045ceeb-20ad-4d17-8870-4e849deb2799,8,1,1,3,0,#435358128,LOVE MEI,Apple,Carcasa
