search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Formato
1, V5 Audifonos Inalámbricos Bluetooth 5.0 Calidad Y Estilo ,120,NA,"
			
				Nuevo
			
			
				
					 - 
				
				64
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.6,5,http://perfil.mercadolibre.com.pe/CLOUD+BUSINESS,https://articulo.mercadolibre.com.pe/MPE-434419720-v5-audifonos-inalambricos-bluetooth-50-calidad-y-estilo-_JM,3,2,0,0,0,#434419720,NA,NA,NA,NA
2, Stock Audifonos Original Xiaomi Redmi Airdots Envió Inmediat ,88,NA,"
			
				Nuevo
			
			
				
					 - 
				
				441
				vendidos
			
		",(817 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.6,71,http://perfil.mercadolibre.com.pe/ZEALOTT+IMPORTACIONES,https://articulo.mercadolibre.com.pe/MPE-436293760-stock-audifonos-original-xiaomi-redmi-airdots-envio-inmediat-_JM,50,17,4,0,0,#436293760,Xiaomi,Audifonos Bluetooth,Redmi AirDots,Headset
3, Audifonos Jbl Bluetooth Pure Bass Sound T110 Wireles Colores ,119,149,"
			
				Nuevo
			
			
				
					 - 
				
				35
				vendidos
			
		",(39 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,6,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-435128963-audifonos-jbl-bluetooth-pure-bass-sound-t110-wireles-colores-_JM,5,1,0,0,0,#435128963,JBL,NA,T110,NA
4, Audifonos Original Xiaomi Redmi Airdots En Stock + Tienda !! ,89,99,"
			
				Nuevo
			
			
				
					 - 
				
				151
				vendidos
			
		",(449 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.6,71,http://perfil.mercadolibre.com.pe/CASEMOTIONS.PE,https://articulo.mercadolibre.com.pe/MPE-433005812-audifonos-original-xiaomi-redmi-airdots-en-stock-tienda--_JM,50,17,4,0,0,#433005812,Xiaomi,Mi,AirDots,In-ear
5, Stock Audifonos Original Xiaomi Redmi Airdots Envío Inmediat ,88,NA,"
			
				Nuevo
			
			
				
					 - 
				
				125
				vendidos
			
		",(138 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.6,71,http://perfil.mercadolibre.com.pe/MAJU4927724,https://articulo.mercadolibre.com.pe/MPE-436361713-stock-audifonos-original-xiaomi-redmi-airdots-envio-inmediat-_JM,50,17,4,0,0,#436361713,Xiaomi,Wearables Bluetooh,Redmi Airdots,Headset
6, Audifonos I7s Plus Bluetooth 5.0 Inalambricos Apple Android ,64,NA,"
			
				Nuevo
			
			
				
					 - 
				
				310
				vendidos
			
		",(290 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,2.0,1,http://perfil.mercadolibre.com.pe/HUMA7820320,https://articulo.mercadolibre.com.pe/MPE-433034458-audifonos-i7s-plus-bluetooth-50-inalambricos-apple-android-_JM,NA,NA,NA,NA,NA,#433034458,i7s Plus,NA,NA,NA
7, Audifonos Inalambrios Bluetooth Imantados Deportivos 2018 ,30,NA,"
			
				Nuevo
			
			
				
					 - 
				
				411
				vendidos
			
		",(33 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.3,28,http://perfil.mercadolibre.com.pe/FROG_PEOPLE+_IMPORT,https://articulo.mercadolibre.com.pe/MPE-420579803-audifonos-inalambrios-bluetooth-imantados-deportivos-2018-_JM,15,10,1,0,2,#420579803,NA,NA,NA,NA
8, Samsung Galaxy Buds 2019 Audifonos Inalambricos En Stock!! ,539,NA,"
			
				Nuevo
			
			
				
					 - 
				
				63
				vendidos
			
		",(36 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,5,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-436048863-samsung-galaxy-buds-2019-audifonos-inalambricos-en-stock-_JM,5,0,0,0,0,#436048863,Samsung,Galaxy,Buds,In-ear
9, Audifonos Deportivos Bluetooth 4.2 Inalámbricos Radio Sd ,39,49,"
			
				Nuevo
			
			
				
					 - 
				
				617
				vendidos
			
		",(383 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.4,9,http://perfil.mercadolibre.com.pe/GRUPONATIC.PE,https://articulo.mercadolibre.com.pe/MPE-418636835-audifonos-deportivos-bluetooth-42-inalambricos-radio-sd-_JM,5,3,1,0,0,#418636835,st3,NA,NA,NA
10, Audífonos I7s Tws Bluetooth Tipo AirPods Blanco Y Negro ,29,NA,"
			
				Nuevo
			
			
				
					 - 
				
				32
				vendidos
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,3.0,1,http://perfil.mercadolibre.com.pe/LIZANDROAN,https://articulo.mercadolibre.com.pe/MPE-432449528-audifonos-i7s-tws-bluetooth-tipo-airpods-blanco-y-negro-_JM,NA,NA,NA,NA,NA,#432449528,NA,NA,NA,NA
