search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Material,Marca,Modelo
1, Carcasa Case iPhone Original 6 6plus 7 8 Plus 10 X Xr Xsmax ,650,NA,987,256,18 cuotas,36.11,NA,Entrega a acordar con el vendedor,NA,NA,4.8,38,http://perfil.mercadolibre.com.uy/GOGREEN+IMPORTACIONES,https://articulo.mercadolibre.com.uy/MLU-451751865-carcasa-case-iphone-original-6-6plus-7-8-plus-10-x-xr-xsmax-_JM,31,7,0,0,0,#451751865,Apple,Silicona,NA,NA
2, Protector Full 360 + Vidrio iPhone 8 7 6s 6 Y Plus 5 5s Se ® ,117,NA,1842,3931,18 cuotas,6.50,NA,Envío a todo el país,NA,NA,4.6,67,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-442559969-protector-full-360-vidrio-iphone-8-7-6s-6-y-plus-5-5s-se--_JM?searchVariation=36823931469,50,12,3,0,2,#442559969,Apple,NA,NA,NA
3, Protector Silicona Simil Original iPhone 6 7 7 Plus 8 Plus ,449,NA,41,67,18 cuotas,24.94,NA,Entrega a acordar con el vendedor,NA,NA,5,2,http://perfil.mercadolibre.com.uy/O+TEC,https://articulo.mercadolibre.com.uy/MLU-448451214-protector-silicona-simil-original-iphone-6-7-7-plus-8-plus-_JM,2,0,0,0,0,#448451214,Apple,Silicona,NA,NA
4, Estuche Funda Silicona Original iPhone 5 6 6s 7 8 Plus X ,590,NA,165,3,18 cuotas,32.78,NA,Envío a todo el país,NA,NA,4.7,7,http://perfil.mercadolibre.com.uy/DATASURTECNOSTORE,https://articulo.mercadolibre.com.uy/MLU-454840861-estuche-funda-silicona-original-iphone-5-6-6s-7-8-plus-x-_JM,5,2,0,0,0,#454840861,Apple,Silicona,NA,NA
5, Protector 360 Magnetico iPhone 6s Plus 8 8 Plus X Xr Xs Max ,540,NA,43,40,18 cuotas,30.00,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/TUBELUXUY,https://articulo.mercadolibre.com.uy/MLU-460107403-protector-360-magnetico-iphone-6s-plus-8-8-plus-x-xr-xs-max-_JM?searchVariation=35752124172,NA,NA,NA,NA,NA,#460107403,Apple,NA,NA,NA
6, Protector 360 Magnetico iPhone 6 7 7plus 8 8plus Xs Xr Xsmax ,490,NA,443,36,18 cuotas,27.22,NA,Envío a todo el país,NA,NA,1,2,http://perfil.mercadolibre.com.uy/TUBELUXUY,https://articulo.mercadolibre.com.uy/MLU-443922805-protector-360-magnetico-iphone-6-7-7plus-8-8plus-xs-xr-xsmax-_JM?searchVariation=35598511116,0,0,0,0,2,#443922805,Apple,TPU,NA,NA
7, Carcasa Case iPhone Original Silicona 6 7 8 6/7/8pls 10 X Xs ,449,NA,15,160,18 cuotas,24.94,NA,Envío a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.uy/MUNDOSHOP.UY,https://articulo.mercadolibre.com.uy/MLU-464439097-carcasa-case-iphone-original-silicona-6-7-8-678pls-10-x-xs-_JM?searchVariation=39510407174,1,0,0,0,0,#464439097,Apple,Silicona,Apple,Todos
8, Protector Fino Cristal Bumper iPhone 8 7 6 6s 5 5s Se Plus ® ,190,NA,635,3929,18 cuotas,10.56,NA,Envío a todo el país,NA,NA,4.4,35,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-443333988-protector-fino-cristal-bumper-iphone-8-7-6-6s-5-5s-se-plus--_JM,20,10,4,1,0,#443333988,Apple,TPU,Apple,5/SE/6s/7/8/ Plus
9, Protector Agenda Flip Cover iPhone Xs Xs Max Xr X 10 8 Plus® ,290,NA,41,3978,18 cuotas,16.11,NA,Envío a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-442264811-protector-agenda-flip-cover-iphone-xs-xs-max-xr-x-10-8-plus-_JM,1,0,0,0,0,#442264811,Apple,Plástico,NA,Xs Xs Max Xr X 10 8 Plus
10, Protector Silicona Similar Original iPhone 6 7 8 X Plus Febo ,290,NA,235,4945,18 cuotas,16.11,NA,Envío a todo el país,NA,NA,4.7,15,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-451583235-protector-silicona-similar-original-iphone-6-7-8-x-plus-febo-_JM,10,5,0,0,0,#451583235,Apple,Silicona,NA,NA
11, Protector Case iPhone Simil Original 5 6 7 Y 8 Plus X Xs Max ,450,NA,199,472,18 cuotas,25.00,NA,Entrega a acordar con el vendedor,NA,NA,4.7,23,http://perfil.mercadolibre.com.uy/AR+IMPORT.,https://articulo.mercadolibre.com.uy/MLU-459085400-protector-case-iphone-simil-original-5-6-7-y-8-plus-x-xs-max-_JM?searchVariation=38909044581,18,3,1,1,0,#459085400,NA,NA,NA,NA
