search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potencia de salida (RMS),Tipos de filtros del parlante
23, [ ] Parlante Portatil Micronics Sound Master Bluethoot Micro ,290,NA,"
			
				Nuevo
			
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/OFERTAS+DELIVERY,https://articulo.mercadolibre.com.pe/MPE-436529376--parlante-portatil-micronics-sound-master-bluethoot-micro-_JM,NA,NA,NA,NA,NA,#436529376,NA,NA,NA,NA
24, Parlante Jbl Charge 4 Acuatico Bluetooth Portatil By Harman ,559,659,"
			
				Nuevo
			
			
				
					 - 
				
				5
				vendidos
			
		",(19 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434111505-parlante-jbl-charge-4-acuatico-bluetooth-portatil-by-harman-_JM,NA,NA,NA,NA,NA,#434111505,JBL,Charge 4,30 W,Activo
25, Parlante Sony Bluetooth Extra Bass Inalámbrico Xb31 (negro) ,369,499,"
			
			
				
				13
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,2,http://perfil.mercadolibre.com.pe/SONYPERUSRL?brandId=25,https://articulo.mercadolibre.com.pe/MPE-431904511-parlante-sony-bluetooth-extra-bass-inalambrico-xb31-negro-_JM,NA,NA,NA,NA,NA,#431904511,Sony,NA,NA,NA
26, Parlante Acuatico Bluetooth Manos Libres Microfono Ducha ,24,NA,"
			
				Nuevo
			
			
				
					 - 
				
				47
				vendidos
			
		",(53 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.3,4,http://perfil.mercadolibre.com.pe/SANTOFA+E.I.R.L,https://articulo.mercadolibre.com.pe/MPE-421447296-parlante-acuatico-bluetooth-manos-libres-microfono-ducha-_JM,3,0,0,1,0,#421447296,NA,NA,NA,NA
27, Parlante Karaoke Bluetooth + Microfono Y Entrada Guitarra ,120,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(97 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CIBERVENTAS4000,https://articulo.mercadolibre.com.pe/MPE-431844087-parlante-karaoke-bluetooth-microfono-y-entrada-guitarra-_JM,NA,NA,NA,NA,NA,#431844087,NA,NA,NA,NA
28, Parlante Sony Bluetooth Extra Bass Ip67 Acuatico Xb12 ,189,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(11 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434444306-parlante-sony-bluetooth-extra-bass-ip67-acuatico-xb12-_JM,NA,NA,NA,NA,NA,#434444306,Sony,XB12,NA,NA
29, Jbl Go 2 Parlante Bluetooth Portatil Acuatico Ipx7 Original ,109,139,"
			
				Nuevo
			
			
				
					 - 
				
				9
				vendidos
			
		",(44 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,14,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434444185-jbl-go-2-parlante-bluetooth-portatil-acuatico-ipx7-original-_JM,12,1,1,0,0,#434444185,JBL,GO 2,3.1 W,Activo
30, Parlante Bluetooth Klip Xtreme Kws-602wh Altavoz Acuatico ,59,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PERU_DE_SHOPPING,https://articulo.mercadolibre.com.pe/MPE-421807319-parlante-bluetooth-klip-xtreme-kws-602wh-altavoz-acuatico-_JM,NA,NA,NA,NA,NA,#421807319,NA,NA,NA,NA
31, Google Home Mini - Masplay ,139,NA,"
			
				Nuevo
			
			
				
					 - 
				
				9
				vendidos
			
		",(9990 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MASPLAY+PERU,https://articulo.mercadolibre.com.pe/MPE-434654884-google-home-mini-masplay-_JM,NA,NA,NA,NA,NA,#434654884,NA,NA,NA,NA
32, Jbl Charge 3 20w Parlante Bluetooth Acuatico Original ,529,NA,"
			
				Nuevo
			
			
				
					 - 
				
				9
				vendidos
			
		",(994 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/IMANIA.PERU,https://articulo.mercadolibre.com.pe/MPE-429572439-jbl-charge-3-20w-parlante-bluetooth-acuatico-original-_JM,NA,NA,NA,NA,NA,#429572439,JBL,Charge 3,20 W,Pasivo
33, Parlante Bluetooth Jbl Flip 4 Sellado / Tienda Acuático ,339,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5
				vendidos
			
		",(49 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/APPLEMALLCENTER,https://articulo.mercadolibre.com.pe/MPE-431669846-parlante-bluetooth-jbl-flip-4-sellado-tienda-acuatico-_JM,NA,NA,NA,NA,NA,#431669846,NA,NA,NA,NA
34, Parlante True Wireless Soundcore Motion B ,139,199,"
			
			
				
				16
				vendidos
			
		",(6 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,2,http://perfil.mercadolibre.com.pe/ANKER+PERU?brandId=144,https://articulo.mercadolibre.com.pe/MPE-434836116-parlante-true-wireless-soundcore-motion-b-_JM,NA,NA,NA,NA,NA,#434836116,NA,NA,NA,NA
35, Autoradio Pioneer Dxt-s4069bt Bluetooth + 4 Parlante Pioneer ,569,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5
				vendidos
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PERU_DE_SHOPPING,https://articulo.mercadolibre.com.pe/MPE-434645186-autoradio-pioneer-dxt-s4069bt-bluetooth-4-parlante-pioneer-_JM,NA,NA,NA,NA,NA,#434645186,NA,NA,NA,NA
36, Parlante Portatil Bluetooth Maxtron Zenith 80w Led Ritmico ,130,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(48 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/REYLU+PRODUCTS,https://articulo.mercadolibre.com.pe/MPE-434666116-parlante-portatil-bluetooth-maxtron-zenith-80w-led-ritmico-_JM,NA,NA,NA,NA,NA,#434666116,NA,NA,NA,NA
37, Parlante Bluetooth Jbl Flip 4 16w Original Acuatico ,349,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5
				vendidos
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/IMANIA.PERU,https://articulo.mercadolibre.com.pe/MPE-432749458-parlante-bluetooth-jbl-flip-4-16w-original-acuatico-_JM,NA,NA,NA,NA,NA,#432749458,JBL,Flip 4,NA,NA
38, Parlante Portatil Micronics Sound Master Bluethoot Microfono ,296,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(2 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/REYLU+PRODUCTS,https://articulo.mercadolibre.com.pe/MPE-435201375-parlante-portatil-micronics-sound-master-bluethoot-microfono-_JM,NA,NA,NA,NA,NA,#435201375,NA,NA,NA,NA
39, P Parlante Bluetooth Logitech Ue Megaboom 3 Ip67 ,649,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(1 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/INTECGLOBALPERU,https://articulo.mercadolibre.com.pe/MPE-435567205-p-parlante-bluetooth-logitech-ue-megaboom-3-ip67-_JM,NA,NA,NA,NA,NA,#435567205,Logitech,NA,NA,NA
40, Jbl Pulse 3 Parlante Bluetooth Altavoz - Tienda Dlectro ,749,NA,"
			
				Nuevo
			
			
				
					 - 
				
				9
				vendidos
			
		",(91 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DLECTRO,https://articulo.mercadolibre.com.pe/MPE-433189510-jbl-pulse-3-parlante-bluetooth-altavoz-tienda-dlectro-_JM,NA,NA,NA,NA,NA,#433189510,NA,NA,NA,NA
41, Parlante Portatil Altavoz Bluetooth Charge Mini ,39,NA,"
			
				Nuevo
			
			
				
					 - 
				
				15
				vendidos
			
		",(185 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.0,2,http://perfil.mercadolibre.com.pe/PRECIO.PE,https://articulo.mercadolibre.com.pe/MPE-429000664-parlante-portatil-altavoz-bluetooth-charge-mini-_JM,NA,NA,NA,NA,NA,#429000664,NA,NA,NA,NA
42, Potente Parlante Recargable Con Bluetooth Usb Sd Cafini ,69,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(96 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PLAZATECH,https://articulo.mercadolibre.com.pe/MPE-428756009-potente-parlante-recargable-con-bluetooth-usb-sd-cafini-_JM,NA,NA,NA,NA,NA,#428756009,NA,NA,NA,NA
43, Parlante Bluetooth Radio Usb Halion 8w Manos Libres ,49,NA,"
			
				Nuevo
			
			
				
					 - 
				
				16
				vendidos
			
		",(5 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/OSWALDO+VALVERDE,https://articulo.mercadolibre.com.pe/MPE-432544632-parlante-bluetooth-radio-usb-halion-8w-manos-libres-_JM,NA,NA,NA,NA,NA,#432544632,Halion,HA-S35,30 W,Pasivo
44, Parlante Jbl Charge 4 Acuatico 30w Bluetooth Portatil Harman ,559,659,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(8 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-436114782-parlante-jbl-charge-4-acuatico-30w-bluetooth-portatil-harman-_JM,NA,NA,NA,NA,NA,#436114782,JBL,Charge 4,30 W,Activo
45, Parlante Bluetooth Power Bank Usb Radio Fm Aux Sd ,54,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(95 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SPORTECH+BALHER,https://articulo.mercadolibre.com.pe/MPE-433385771-parlante-bluetooth-power-bank-usb-radio-fm-aux-sd-_JM,NA,NA,NA,NA,NA,#433385771,NA,NA,NA,NA
46, Microfono Bluetooth Karaoke Parlanrte Inalambrico Delivery ,99,NA,"
			
				Nuevo
			
			
				
					 - 
				
				8
				vendidos
			
		",(12 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.0,1,http://perfil.mercadolibre.com.pe/IMPORTACIONESMYJASOCIADOS,https://articulo.mercadolibre.com.pe/MPE-434083302-microfono-bluetooth-karaoke-parlanrte-inalambrico-delivery-_JM,NA,NA,NA,NA,NA,#434083302,NA,NA,NA,NA
47, Parlante Jbl Charge 4 Bt 100% Original 20horas 30w Acuático ,535,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(17 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NO2125288,https://articulo.mercadolibre.com.pe/MPE-436598987-parlante-jbl-charge-4-bt-100-original-20horas-30w-acuatico-_JM,NA,NA,NA,NA,NA,#436598987,JBL,Charge 4,30 W,Activo
48, Skullcandy Parlante Bluetooth Acuatico Barricade Mini + Gafa ,179,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(29 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-435362133-skullcandy-parlante-bluetooth-acuatico-barricade-mini-gafa-_JM,NA,NA,NA,NA,NA,#435362133,NA,NA,NA,NA
49, Parlante 2.1 Cybertel Para Pc Newton - Cyb S1000bt - Negro ,69,NA,"
			
				Nuevo
			
			
				
					 - 
				
				9
				vendidos
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/OSWALDO+VALVERDE,https://articulo.mercadolibre.com.pe/MPE-433420666-parlante-21-cybertel-para-pc-newton-cyb-s1000bt-negro-_JM,NA,NA,NA,NA,NA,#433420666,NA,NA,NA,NA
50, Parlante Altavoz Speaker Bluetooth Honguito Colores Latino ,35,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(22 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/LATINO.,https://articulo.mercadolibre.com.pe/MPE-426527385-parlante-altavoz-speaker-bluetooth-honguito-colores-latino-_JM,NA,NA,NA,NA,NA,#426527385,NA,NA,NA,NA
