search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Potencia de salida (RMS),Marca,Modelo,Tipos de filtros del parlante,Peso,Conectores de entrada
1, Parlante Bluetooth A Prueba De Agua 3w Rms Ideal Ducha Loi ,179,249,"
			
			
				
				91
				vendidos
			
		",(999 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 994
		
		 sin interés
		
	

	
		",94,NA,Envío a todo el país,NA,NA,4.3,8,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-463417487-parlante-bluetooth-a-prueba-de-agua-3w-rms-ideal-ducha-loi-_JM,3,4,1,0,0,#463417487,3 W,NA,NA,NA,NA,NA
2, Parlantes 2.1 Tower 5 Energy Sistem Bluetooth Aux Usb Sd Amv ,155,NA,"
			
				Nuevo
			
			
				
					 - 
				
				193
				vendidos
			
		",(10 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 30113
		
		 sin interés
		
	

	
		",13,NA,Envío a todo el país,NA,NA,4.8,19,http://perfil.mercadolibre.com.uy/AMVSTORE,https://articulo.mercadolibre.com.uy/MLU-452289064-parlantes-21-tower-5-energy-sistem-bluetooth-aux-usb-sd-amv-_JM,15,4,0,0,0,#452289064,NA,Energy Sistem,NA,NA,NA,NA
3, Parlante Bluetooth Jbl Go 2 Portátil Potencia Calidad Febo ,1248,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1556
				vendidos
			
		",(98443 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 6933
		
		 sin interés
		
	

	
		",33,NA,Envío a todo el país,NA,NA,4.8,215,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-446600412-parlante-bluetooth-jbl-go-2-portatil-potencia-calidad-febo-_JM,182,29,2,2,0,#446600412,3 W,JBL,GO 2,Activo,184 g,NA
4, Parlante Portátil Bluetooth 3w Luces Led Usb Microsd Aux Loi ,197,NA,"
			
			
				
				43
				vendidos
			
		",(998 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1094
		
		 sin interés
		
	

	
		",94,NA,Envío a todo el país,NA,NA,5.0,2,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-462659823-parlante-portatil-bluetooth-3w-luces-led-usb-microsd-aux-loi-_JM,NA,NA,NA,NA,NA,#462659823,3 W,NA,NA,NA,NA,NA
5, Parlante Jbl Flip 4 Bluetooth Portátil Gtia 1 Año Solo Febo ,3725,4350,"
			
				Nuevo
			
			
				
					 - 
				
				973
				vendidos
			
		",(99026 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 20694
		
		 sin interés
		
	

	
		",94,NA,Envío a todo el país,NA,NA,4.8,207,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-446600381-parlante-jbl-flip-4-bluetooth-portatil-gtia-1-ano-solo-febo-_JM,175,26,4,1,1,#446600381,16 W,JBL,Flip 4,Activo,515 g,NA
6, Parlante Bluetooth Jbl Boombox Potencia Calidad Febo ,24950,NA,"
			
				Nuevo
			
			
				
					 - 
				
				14
				vendidos
			
		",(99985 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1.38611
		
		 sin interés
		
	

	
		",11,NA,Envío a todo el país,NA,NA,4.3,3,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-450750864-parlante-bluetooth-jbl-boombox-potencia-calidad-febo-_JM,2,0,1,0,0,#450750864,NA,JBL,Boombox,NA,NA,NA
7, Parlante Mini Bluetooth Portatil Craquelado Ahorro Y Compras ,190,NA,"
			
				Nuevo
			
			
				
					 - 
				
				49
				vendidos
			
		",(152 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1056
		
		 sin interés
		
	

	
		",56,NA,Entrega a acordar con el vendedor,NA,NA,4.0,1,http://perfil.mercadolibre.com.uy/JESDEN+SA,https://articulo.mercadolibre.com.uy/MLU-451362894-parlante-mini-bluetooth-portatil-craquelado-ahorro-y-compras-_JM,NA,NA,NA,NA,NA,#451362894,NA,NA,NA,NA,NA,USB
8, Parlante Jbl Flip 4 Bluetooth Potente Colores Oferta Loi ,3790,4999,"
			
			
				
				174
				vendidos
			
		",(897 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 21056
		
		 sin interés
		
	

	
		",56,NA,Envío a todo el país,NA,NA,4.8,207,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-458480865-parlante-jbl-flip-4-bluetooth-potente-colores-oferta-loi-_JM,175,26,4,1,1,#458480865,16 W,JBL,Flip 4,Activo,NA,NA
9, Parlante Bluetooth Portátil Jbl Charge 4 Potencia Calidad ,6585,NA,"
			
				Nuevo
			
			
				
					 - 
				
				96
				vendidos
			
		",(99903 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 36583
		
		 sin interés
		
	

	
		",83,NA,Envío a todo el país,NA,NA,4.8,45,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-452532629-parlante-bluetooth-portatil-jbl-charge-4-potencia-calidad-_JM,36,7,0,0,1,#452532629,30 W,JBL,Charge 4,Activo,NA,NA
10, Parlante Portátil Bluetooth Park Led Karaoke Batería Mic Loi ,39,42,"
			
			
				
				64
				vendidos
			
		",(2979 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 7577
		
		 sin interés
		
	

	
		",77,NA,Envío a todo el país,NA,NA,4.6,7,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-456920787-parlante-portatil-bluetooth-park-led-karaoke-bateria-mic-loi-_JM,4,3,0,0,0,#456920787,NA,Kolke,NA,NA,NA,NA
