search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potência de saída (RMS),Tipos de alto-falante,Tipos de filtros do alto-falante,Lugares de colocação,Formato do alto-falante,Configuração de canais,Quantidade de alto-falantes,Peso,Linha,Voltagem,Conectores de entrada,Sensibilidade de entrada,Largura,Profundidade,Altura,Resposta máxima em frequência,Resposta mínima em frequência,Cor
11, Caixa Som Musica Caixinha Smartphone Android Bluetooth ,27,NA,2891,4,5x,6.13,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,81,https://perfil.mercadolivre.com.br/MEGA+EXOPLANET.SHOP,https://produto.mercadolivre.com.br/MLB-1169578372-caixa-caixinha-som-portatil-bluetooth-mp3-usb-carto-fm-300w-_JM,70,8,2,0,1,#1169578372,SPEAKER,MS-302bt,5 W,Subwoofer,Subwoofer,Portátil,Redondos,2.1,1,318 g,Bluetooth,NA,USB,80 dB,NA,NA,NA,1500 Hz,150 Hz,NA
12, Caixa De Som Amplificada Bluetooth 2000w Fortress Sumay ,39,NA,1526,121,6x,7.31,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,84,https://perfil.mercadolivre.com.br/ACME+ELETRONICOS,https://produto.mercadolivre.com.br/MLB-910970810-caixa-som-musica-caixinha-smartphone-android-bluetooth-_JM,75,8,1,0,0,#910970810,Wireless Speaker,HF-Q3,5 W,Woofer,Ativo/Passivo,Mesa,Caixa,2.1,1,480 g,Portátil,5V,USB,NA,9.5 cm,9.5 cm,10.8 cm,NA,NA,NA
13, Caixa Som Bluetooth Portátil Amplificada Torre Fm Sd Mp3 Usb ,699,NA,812,30,12x,58.33,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,72,https://perfil.mercadolivre.com.br/SANBOX-BR,https://produto.mercadolivre.com.br/MLB-919482965-caixa-de-som-amplificada-bluetooth-2000w-fortress-sumay-_JM,64,2,3,0,3,#919482965,JBL,Caixa Amplificada Bluetooh,200 W,NA,Ativo,NA,Caixa,NA,01,7 kg,NA,110/220v,USB,NA,NA,NA,NA,NA,NA,NA
14, Kit 10 Mini Caixinha Som Bluetooth Portátil Usb Mp3 P2 Sd ,36,NA,719,4,6x,6.84,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,21,https://perfil.mercadolivre.com.br/MAGAZINE+NOBREAK,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=CCtUjH1SyoCd5EeGJn091Ij9tXJktDNfxMQM%2BqeGFaW86EYZp6bP3RJcczWrHlbP2n09isBfGK2L1ekSE2IaP%2Bj1VTf%2BfS1z91HimrebHP1RRx4yn26vd5W7I2i5%2BW6%2FWJEEEVhphF3UzcbAA5wqj%2FGM%2BEs1e1t4pNAVVvRZVmN7AjzjFVS3tCmzwjTH4MzLzKTdb9lIXWItZYOGe0Dh1WbiVM2ASXPv7EEjgM5esAtV89M3MJGxgLxze0OSwdHK%2FkgzD7MC80DEEVNZzvTjPYDdOU3KIFH5u5C0M0uBC9DYEWUfCJFUvQqsdxSsZxBedzM8I3clpeRvXTS4QD57t0L85LdEu1%2B4JpNqwSgOumq0IZItxaaUup8lMKsG5pXSsfYjBjnOAHcPCAlhJ7k2hMUWSTyPesCguKe%2FgF07YuvVe95jvzbvc3TvMA9h%2B7jtxXjlWpY9IK9NhWhqXki51i%2BwC%2FFzHS%2B8eqXmx%2B2aZg8dL6wmHMoyQR%2FTYMsgdtiBWG2%2BSomNVhnYL3gEOWVf1eWHJoyhXF4V7rlzktabmx4COOaWL8uBGVmEDhPLqG%2F%2BE3DKuzGPRHy%2BfMcxMH3Dn4Z7I44bk5CTwSv7ihce3JqU78uRAoStQ46SEseBptpd%2FIdCjUvfYvTB5nmeAzuaXehovix1kXyjKOsbCQ%2FrtdQ99SUY1jTb%2B3iZoqHLoKl8pA%2BiLajkNkQzOxqZIeV6ONAhWEswkCo2HZSQf9GACBONTO7x8676OI%2FalrdIF9PVFHAVg4mxYiA1BR%2FH3rwGyqz5WezPUMcBptQvGhucsN1gXemISY7gYHZAcTx6CrGSd%2FDfdmBb%2BAAbzhJGxcBOy0RQIalp6SJT6qOdM3586EDWDaNnht9Gy6g%2FVls976iW0eUm7JHTOv7v3FjJUmBspukfQpE8UrRLZY65u8%2BDoHoFWuFQt8%2B6Bsl3Zi6qN7Vo4mVq278yuDNrjw5lxXvZW%2BYYt2J1pB3WGPEeEv0Bwi39TgDvnZ0VU%2BcCaKNDiAaCLXsDbmnE0%2BhkGiY8TJhD%2BK0UJqEHhCq0rp%2BJhIfRqkPqwXcUQubWpR71kDTU9%2BVNmQ%2BHnWTT5Ydu1qkRqvCLHEKbNQakeqY3i7WVARyzEmPfm%2Fcdsd0gk%2FpV968sZwGKgkwOmCItib%2FJnLKNnZsY2J3mxktDClYJxvKij0L4TK7omvsG4jm7czs%2BKU2bwGLrsxgFjfEAGMZcheYDElNLa%2B6mf5cODu7cPjm5UROA2Frp0PKv0SSP3X8kCdgPKdM1DszoFO6ZVGJRiob0WsWBb%2BDTT249lV2qeOZbecC6TWQ8RiCnKHMTIB3ydIcdMrt2MpyAI3dK6Z9s59aNXI8KFC%2FhLcFmvK5yqEw0VgnF5haNnF%2FzuvTkrlMVYDIzXzoTTYDy05yq4EVb97cfvsDp6h%2BI5NgsOuJs%2BjIQGFdV%2BvfAG%2FChOdzUGDUSnZTIBk1v%2FDOUAucoum7%2BJC473yv4aY1Ts4HHuhGzZD8X8GpPs3beOR4avOFlIkydcjuVSHlXFgOelo%2BU4LbOn9aU3296SybJT0dM3xOM%2BR3yfzoSUlOkUDb2Qxf%2BM0pq9GGAQ4zlyIwwfFtnmrxYP9FjaJZMgjOIYwP2wEx%2FZdqXpmyiu7Y0nwGc6%2BCJtIEee8g29bDFRNgYcC8audwkgy0IcdiqhCy%2F8OZ5pEhe6pUnBxM9kfonVwbvMhUzjsSScAx2m6mSQAgKLcMluqQX7IqmsvGW%2FruyX%2FEB9xp5tRqNHbgDiSe%2BoqUutxK5F3bZn9yAMQ4seRMWp%2BGO0iCeCB1mMW5RhokDtMCxePsy01NBMouHgZBx1hzpwhROQNRHULEikbiEaET8K7SQFd8MWIV3Ic4%3D,16,0,1,2,2,#1190350399,Goldenultra,Torre,10 W,NA,Ativo/Passivo,NA,Caixa,NA,NA,NA,Caixa de Som,Bivolt,USB,NA,NA,NA,NA,NA,NA,NA
15, Caixa Som Bluetooth Jbl Xtreme 2 40w Preta Jblxtreme2pto ,29,32,1131,3,5x,6.50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,43,https://perfil.mercadolivre.com.br/MEGA+EXOPLANET.SHOP,https://produto.mercadolivre.com.br/MLB-1174117073-caixa-som-bluetooth-portatil-amplificada-torre-fm-sd-mp3-usb-_JM,39,3,1,0,0,#1174117073,Goldenultra,GT-515bt,10 W,Subwoofer,Subwoofer,Portátil,Redondos,2.1,2,NA,BLUETOOTH,NA,USB,80 dB,NA,NA,NA,15000 Hz,150 Hz,NA
16, Caixa De Som Amplificada Bluetooth 100w Rms Microfone Fm Sd ,935,1213,216,580,12x,78.00,NA,Envio para todo o país,NA,NA,4.7,108,https://perfil.mercadolivre.com.br/FASTSHOP+OFICIAL?brandId=942,https://produto.mercadolivre.com.br/MLB-1182693732-caixa-som-bluetooth-jbl-xtreme-2-40w-preta-jblxtreme2pto-_JM,87,15,3,1,2,#1182693732,JBL,Xtreme,40 W,NA,Passivo,NA,NA,NA,1,NA,NA,NA,NA,80 dB,136 mm,132 mm,288 mm,NA,NA,NA
17, Caixa De Som Speaker Google Home Mini Wi-fi Vitrine ,284,NA,295,7,12x,23.75,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,14,https://perfil.mercadolivre.com.br/LOJA10.ML,https://produto.mercadolivre.com.br/MLB-1147070957-caixa-de-som-amplificada-bluetooth-100w-rms-microfone-fm-sd-_JM,8,6,0,0,0,#1147070957,Xtrad,XDG-26,100 W,"Woofer, Subwoofer, Tweeter",Ativo/Passivo,NA,Caixa,2.1,4,2.6 kg,Portátil,NA,Auxilar P2. Bluetooth. Micro SD. USB. FM,85 dB,NA,NA,NA,NA,NA,NA
18, Caixa Som Bluetooth Amplificada Torre Mp3 Fm Usb Sd Pc 500w ,174,NA,771,230,12x,14.58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,29,https://perfil.mercadolivre.com.br/CLICOU_TELECOM,https://produto.mercadolivre.com.br/MLB-1137932763-caixa-de-som-speaker-google-home-mini-wi-fi-vitrine-_JM,22,5,1,0,1,#1137932763,Google Home Mini,Google Home Mini,3 W,"Caixa de som, Speaker, Assistente Pessoal","Caixa de som, Speaker","Mesa, escritorio, sala, quarto",Caixa,5.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19, Caixa Som Portátil Recarregavel 2900w Multiuso Amvox ,529,NA,286,57,12x,50.65,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,11,https://perfil.mercadolivre.com.br/SANBOX-BR,https://produto.mercadolivre.com.br/MLB-1074171591-caixa-som-portatil-recarregavel-2900w-multiuso-amvox-_JM?searchVariation=31654758121,8,2,1,0,0,#1074171591,AMVOX,Caixa Amplificada Bluetooh Portátil,290 W,NA,Torre,NA,Torre,2.1,NA,NA,Caixa de som amplificada bluetooth,NA,USB,NA,NA,NA,NA,108 MHz,87.5 MHz,NA
20, Caixa Som Bluetooth Amplificada Torre Mp3 Fm Usb Sd Pc 500w ,199,NA,29,9,12x,16.67,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,4,https://perfil.mercadolivre.com.br/CRSPSHOP,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=SomZJXjnNa0I8IzGykMI5iqhixWGY%2BEJJVrMgodWLAp0KsxLufNGrOpZ96c%2FLYinnguVK%2FyA5DAz%2BRPoqep5jZBnl15pVorkBhE3L8C%2FkJpkMnrIODYP1p2TTwtYxARpnj3yzcXrxzS19xcJ4x%2BDQc1osbfCAHDUcahNxyMnzKp9EeIXuJtdAD23C60YEnw5GVaMXcdCblzbX%2BrUKsOYksssKzVxkBeL3XYM2%2F%2FVXPmvXTHRyTlshSQ%2BlY%2F%2BYp%2Fe0WyBixqTAvc4TB0enuyCoqMw5Pec089L%2B9%2BAOl5h3AVWkqVnQYqabgb0jlqonE%2BjoyzFfkWZJCqkQNyuUxBDLMOjvJzRkXCzPRkdQquw4g9uYqW4ZFZXaSnH48Zs7u6idC%2BLI%2BjgZXZSdSRRq0rwJuEiPqo2ewhsFaGR4bMFpo5e3hIpc1IQKfBZH%2BovyhE29ovR%2B%2BjjbF1%2FM1byGeD5c4d1as%2BQGTmIeCqF9UqwAZV8yfOH6ZuPcrgJL%2FYUbufj9tf6utAsTiusSbnZsnSYoPdZOkOC1MOh1fdA5dRhSMmDC9wUenOUovrpd1cGOH6C4FHLbCFSoA6pq1wGYU%2FjyAc3lI%2FmaXcbZrX8sdGPGHRCcVT1PFdL%2FQ2xAh7g8Zf64RQYMeaQqTeg3L3kEkeNhylSvWTSWYpp8ceDzGs2qXEbFaf%2FmSiMC5LFW%2BVbxE8DoFQh%2FGfVdWdpbbUrgBWcUq5WeAvIZSnutbPxp%2BBkqYSvma7XHV3uwJv7JYhcc%2BLIAuzG2w1bpvdzwfj5f35CQvfcGkgaHFLsQddZKBLL0HazlyMHhW3pcPTCqASI24Slhb%2F%2FAXxUbkXCZiv9ZqB%2BPLM6T3K97rzC5HH7kq%2FCtCrWw7MI56jY%2FdF9ApJVBhIt2TsHtZkBBuoQdV37tp%2FtfDbj7dXvQoE7daUeaigXBi9M47hfxELrfWV7VmDf3HrxkMNdXdEKNqprg1quXpTI93N3IGY3ldFJzhPshpQWa9awTwLyATd54TMmq95UkOfn84dy901FAzOmBXd1SAilLIV9Xq3C7S%2FACy04klZ%2Bxzgo7EOaFJBM15%2B2kuv3jnbj8ErAIS2iN%2FG%2BReFh%2FJVemf0hPbl8z%2BxrOCwSMWbNgfb6IGEey8STG1PfFNUkg3Zlbc0fs%2Bj4apiyI5DkiUi0p2SlTjNPjTW3WJCkV0JeHZkh3zm%2FXciUIbTwJRaE4r4vEu1YnduX83Ep2MC1vvbbDBZbvng3Ar00K%2FhMfPgDerKXLIokyekNj8XanpOkcuzqStKOf6RMSS0riVy%2FefKrLnkxnuvqsvLI%2BXrxjMZXAeUwxT9tF51RaA8ChqdcTgm0XO6injNOw1G0Xptesgn9DzlpY3p1uLg82iFKmhNSbbj6QZ5A9cBPqxMurgzCmfjrhZuMX6YR5bnVkXylJSzbkm0EUb67zRyC3PPkr3DgbRibyY4EAH2mnHDMSVcYGNFR97Nf6oirzNMsWI%2FyNygz1p%2FtOstYEKq9ii3MWPIMKnuGuWqLTJlxH%2FvjztQVceo3neaLol8V167SU1Q7Zz82zTXxed9womo7EjOascTprTT%2BMmYKsJe8mGvvqwxCFkiNNT%2BEuy%2FuZLEOrUFkcl7Q6D8Mka6qWWqbvt09Mjpy%2FZYSOD1zHWzPP%2BOVVkTYn3dXHxJoeFnpyePiEyhVCLfrR513kX9QFmELF1BS3js0hvPqpBrHTlleZ4WdMjSN8uiIYI%2FUv%2FU57hffVPNKtPJg%2FZuAZ41XDFi3S9zG20cNV7GwHZEc0ULtmvAtc97hAr%2Fk7pZOlpoXvPgRHupZ3lf3gs77wF79sXCLcNBfY0gJkGtaExKzQf1jESzBpcf%2BehLyHlQ%3D,2,2,0,0,0,#999285497,Grasep,Baú,100 W,NA,NA,NA,NA,NA,NA,3500 g,NA,NA,NA,NA,26 cm,26 cm,NA,NA,NA,Preto
21, Caixa De Som Jbl Boombox Original 1 Ano De Garantia Com Nf ,36,NA,719,4,6x,6.84,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,21,https://perfil.mercadolivre.com.br/MAGAZINE+NOBREAK,https://produto.mercadolivre.com.br/MLB-1190350399-caixa-som-bluetooth-amplificada-torre-mp3-fm-usb-sd-pc-500w-_JM,16,0,1,2,2,#1190350399,Goldenultra,Torre,10 W,NA,Ativo/Passivo,NA,Caixa,NA,NA,NA,Caixa de Som,Bivolt,USB,NA,NA,NA,NA,NA,NA,NA
22, Caixa Caixinha Som Portátil Bluetooth Mp3 Pen Drive 200w E83 ,1899,NA,257,187,12x,158.25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,540,https://perfil.mercadolivre.com.br/DIRETOCOMVOCE?brandId=1328,https://produto.mercadolivre.com.br/MLB-1001522471-caixa-de-som-jbl-boombox-original-1-ano-de-garantia-com-nf-_JM,424,46,21,20,29,#1001522471,JBL,Boombox,60 W,Não se aplica,Portátil,Não se aplica,Não se aplica,não se aplica,2,5.25 kg,Caixa Portátil,Bivolt, ,80 dB,NA,NA,NA,20 kHz,20 Hz,NA
23, Caixa De Som Bluetooth Amplificada Com Microfone Mp3 Usb ,31,NA,7062,9,6x,5.90,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,645,https://perfil.mercadolivre.com.br/FLATSHOP,https://produto.mercadolivre.com.br/MLB-755110784-caixa-caixinha-som-portatil-bluetooth-mp3-pen-drive-200w-e83-_JM,420,134,60,12,19,#755110784,Altomex,Não Descrito,5 W,Subwoofer,Woofer,Casa / Parque / Praia / Viagem / etc,Caixa,NA,1,300 g,Caixa de Som portátil,Alimentação USB,USB,NA,NA,NA,NA,NA,NA,NA
24, Google Home Mini Assistente Pessoal Caixa D Som Wifi Vitrine ,189,NA,893,3,12x,15.82,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,162,https://perfil.mercadolivre.com.br/123INBOX,https://produto.mercadolivre.com.br/MLB-1097049569-caixa-de-som-bluetooth-amplificada-com-microfone-mp3-usb-_JM,112,26,14,6,4,#1097049569,IMPORTADO RPC,FBX-103,25 W,Subwoofer,Subwoofer Embutido,"Festas em Geral, Praia, Sítios, Eventos Diversos",Torre,BLUETOOTH,NA,2.4 kg,NA,NA,"Entrada para Microfone P2 e P10, USB",NA,NA,NA,NA,NA,NA,NA
25, Caixa Som Amplificada Monster Bluetooth Portátil Mp3 Fm Usb ,172,NA,495,230,12x,14.41,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,21,https://perfil.mercadolivre.com.br/CLICOU+TELECOM,https://produto.mercadolivre.com.br/MLB-1137990984-google-home-mini-assistente-pessoal-caixa-d-som-wifi-vitrine-_JM,20,1,0,0,0,#1137990984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26," Caixa De Som Jbl, Wind, Bluetooth, 3 Watts, Preto - Jblwind ",41,NA,1045,3,6x,7.77,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,47,https://perfil.mercadolivre.com.br/MEGA+EXOPLANET.SHOP,https://produto.mercadolivre.com.br/MLB-1178641438-caixa-som-amplificada-monster-bluetooth-portatil-mp3-fm-usb-_JM,39,2,1,0,5,#1178641438,Goldenultra,JBK-409,5 W,Subwoofer,Subwoofer,Portátil,Redondos,2.1,NA,NA,NA,NA,"USB, Leitor SD, FM, Entrada para Auriculares",NA,NA,NA,NA,NA,NA,NA
