search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Cor,Potência de saída (RMS),Formato do alto-falante,Conectores de entrada,Sensibilidade de entrada,Largura,Profundidade,Altura,Peso,Linha,Voltagem,Tipos de alto-falante,Tipos de filtros do alto-falante,Lugares de colocação,Configuração de canais,Quantidade de alto-falantes,Resposta máxima em frequência,Resposta mínima em frequência
576, Caixa Amplificada Ativa 100w C/ Bluetoth+usb+fm+sd+c. Remoto ,529,NA,113,1,12x,44.16,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,169,https://perfil.mercadolivre.com.br/MUNDODAMUSICARJ,https://produto.mercadolivre.com.br/MLB-913354621-caixa-amplificada-ativa-100w-c-bluetothusbfmsdc-remoto-_JM,115,41,9,3,1,#913354621,Datrel,AT-8.100,NA,100 W,Redondo,RCA,NA,NA,NA,NA,NA,NA,NA,Redondo,NA,NA,NA,977967,NA,NA
577, Harman Kardon Onyx Studio 5 Caixa Bluetooth Revenda Oficial ,1079,NA,12,6,12x,103.13,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,14,https://perfil.mercadolivre.com.br/IDM+SHOP,https://produto.mercadolivre.com.br/MLB-886152536-harman-kardon-onyx-studio-5-caixa-bluetooth-revenda-oficial-_JM,13,1,0,0,0,#886152536,Harman Kardon,Onyx 5,NA,50 W,Portátil,NA,NA,NA,NA,NA,2980 g,NA,NA,Portátil,NA,NA,NA,NA,NA,NA
578, Caixa Som Portatil Bluetooth Bomx Mini 40w Rms Radio Fm ,125,NA,302,1,12x,10.47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,1933,https://perfil.mercadolivre.com.br/BHZ+MAGAZINE,https://produto.mercadolivre.com.br/MLB-1021684664-caixa-som-portatil-bluetooth-bomx-mini-40w-rms-radio-fm-_JM,1250,334,181,68,100,#1021684664,JBL,Xtreme Mini,NA,40 W,Caixa,USB,80 dB,NA,NA,NA,780 g,Xtreme,NA,Subwoofer,Passivo,NA,2.1,2,20 kHz,70 Hz
579, Caixa Bluetooth Jbl Go2 Laranja Com Potência De 3 W - Jbl ,151,NA,17,147,12x,14.48,NA,Envio para todo o país,NA,NA,4.6,133,https://perfil.mercadolivre.com.br/FASTSHOP+OFICIAL?brandId=942,https://produto.mercadolivre.com.br/MLB-1105341798-caixa-bluetooth-jbl-go2-laranja-com-potncia-de-3-w-jbl-_JM,100,22,6,0,5,#1105341798,JBL,III,Laranja,25 W,NA,Auxiliar,80 dB,71 mm,31 mm,86 mm,NA,Creature,NA,NA,NA,NA,NA,NA,NA,NA
580, Jbl Wind Mini Caixa De Som Bluetooth Bike Moto Android Ios ,170,NA,546,48,12x,14.17,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,251,https://perfil.mercadolivre.com.br/SHOP+PRATICO,https://produto.mercadolivre.com.br/MLB-882849397-jbl-wind-mini-caixa-de-som-bluetooth-bike-moto-android-ios-_JM,210,26,11,1,3,#882849397,JBL,Wind,NA,3 W,redondo,NA,NA,NA,NA,NA,340 g,NA,NA,NA,Caixa Bluetooth,"Bike, Motocicleta, Patinete",2.1,NA,NA,NA
581, Mini Caixinha Som Bluetooth Portátil Prova De Água Ventosa ,21,NA,25,6,4x,5.80,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/DECORA+ELETRO,https://produto.mercadolivre.com.br/MLB-1254709131-mini-caixinha-som-bluetooth-portatil-prova-de-agua-ventosa-_JM,NA,NA,NA,NA,NA,#1254709131,Importado,BTS-06,NA,NA,Caixa,NA,80 dB,NA,NA,NA,NA,NA,NA,Mini Tweeter,NA,Parede,NA,1,NA,NA
582, Caixinha Som Portátil Bluetooth Mp3 Sd Usb Suporte Celular ,39,NA,17,9983,6x,7.38,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/JUNIOROUTLETSTORE,https://produto.mercadolivre.com.br/MLB-1209047773-caixinha-som-portatil-bluetooth-mp3-sd-usb-suporte-celular-_JM,NA,NA,NA,NA,NA,#1209047773,SOM,HFQ3,NA,5 W,Caixa,Auxiliar,NA,NA,NA,NA,457 g,NA,NA,Normal,Alto,1,5.1,NA,NA,NA
583, Caixa De Som Estilo Radio Antigo Retro Bluetooth Usb Card ,59,NA,15,5,10x,6.00,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/TUUFY,https://produto.mercadolivre.com.br/MLB-1195105688-caixa-de-som-estilo-radio-antigo-retro-bluetooth-usb-card-_JM,NA,NA,NA,NA,NA,#1195105688,GLASSIC RETRO STYLES,AL-10,NA,5 W,Caixa,NA,NA,NA,NA,NA,NA,NA,NA,NA,caixa,varios,NA,NA,NA,NA
584, Caixa De Som Bluetooth Canhão 40w Portátil Mp3 Usb Fm Sd Aux ,199,NA,18,9,12x,19.11,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,103,https://perfil.mercadolivre.com.br/FASTER+SELL.SHOP,https://produto.mercadolivre.com.br/MLB-1188304738-caixa-de-som-bluetooth-canho-40w-portatil-mp3-usb-fm-sd-aux-_JM,65,19,5,8,6,#1188304738,Briwax,FBX-106,NA,40 W,Caixa,USB,NA,NA,NA,NA,1.645 kg,NA,NA,Woofer,Ativo,Portatíl,2.1,NA,NA,NA
585, Caixa De Som Jbl Wind Portátil Moto Bike Bluetooth Preta ,175,NA,15,5,12x,16.82,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,251,https://perfil.mercadolivre.com.br/QUALITYSP?brandId=515,https://produto.mercadolivre.com.br/MLB-1169950307-caixa-de-som-jbl-wind-portatil-moto-bike-bluetooth-preta-_JM,210,26,11,1,3,#1169950307,JBL,Wind,NA,3 W,NA,NA,80 dB,NA,NA,NA,0.185 kg,Portátil,NA,NA,Ativo,Portátil,NA,NA,NA,NA
586, Caixa Som Banheiro Prova Dágua Bluetooth Ligação + Nf ,23,24,243,5,4x,6.39,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,19,https://perfil.mercadolivre.com.br/ACME+ELETRONICOS,https://produto.mercadolivre.com.br/MLB-930981276-caixa-som-banheiro-prova-dagua-bluetooth-ligaco-nf-_JM,13,3,1,1,1,#930981276,Altomex,BTS-06,NA,3 W,Caixa,Bluetooth,80 dB,9 cm,5 cm,9 cm,140 g,Portatil,Bivolt,Woofer,Ativo/Passivo,De parede,2.1,1,20000 Hz,100 Hz
587, Caixa De Som Amplificada Bluetooth 2900w Aca292 Amvox C/micr ,599,NA,16,35,12x,50.00,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,182,https://perfil.mercadolivre.com.br/SANBOX-SHOP,https://produto.mercadolivre.com.br/MLB-1186750727-caixa-de-som-amplificada-bluetooth-2900w-aca292-amvox-cmicr-_JM,138,30,10,1,3,#1186750727,AMVOX,ACA 292,NA,290 W,Caixa,USB,NA,NA,NA,NA,NA,NA,NA,Woofer,Ativo,NA,NA,NA,NA,NA
588, Caixa De Som Bluetooth Sem Fio Super Bass 65w Recarregavel ,499,NA,NA,6,12x,41.58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/BASEUSBR?brandId=2153,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=Q5qtYGDMLFdl%2B2x%2FleM2Y5tQF8VrZZQQ5phN2M7ldbYIltv52uITjchGxdfAQihEZrq3CrnroE318%2B3ULOEXDgy35hsn7G4vgRuJ2HhXbBsIF9eQyivY8aWjWoQ84HR0kRanz9yNxgqXq1av6386doN%2BJmQOsu7D0eYgBLgqK7g366blDDwL1xAgJOir73QacnNIEioY%2BKEBfgyLHaJE4aSvwASGqVswgw6RgVMVGqm0Kw3p9vLONywAZzIsSloKoXcK8mMUWfx4fFPABIZ5cktPLe%2BzZYS2K1Wu4sRdhxDJ%2FqOUx7fi%2FZ%2Fyl5%2B8mpMzEw6nGI1pG%2BamBnfvK5xVGzj2H5EgPDyRZyzFe20VN60ACliVYCxBNtt%2FuOtiGNK08MEeVDEm0moCgaKebAujV1ky4DfRYllx5i9O%2B%2B87ByQ8UXoqBfN%2BfBQp0TyBwfyvGaBuRz%2BHnCVQ0Q4oSzzBwEO6cxzlxPlu%2Bror0tVLA%2Bxt90FnamC61whtXR%2FBDZTZoFC6OCnX3vqMSRKMmEsn6vlro4BgQU1zjwkse3EVfHpra2IFuaPsYT3%2BLColDf%2Bj3BU%2FxwQpxsDQq1MgNtdvcFStzc5cQfFIFd4Ykn%2FVEalpDZPnkEEzZUWiYZ4GGMRxqR%2ByVKhDnBukFl39pFCM%2BbLtXiu5%2FuIsbEBnDXA93bz%2F2H%2FfwEyDlQMrJn00f7R9Yve7GPXKOqQlxnOKJAflDprhH0EAC1IlDI0fNxAWabAr8nBMlx6DJA6ntjVLeDEx3axetrwh%2BogldrYDieSeRzD1jqNFN8CpWz30D8g5GLsBZQnf8vpqCAklzk8Uj4pkdqL4uheKNIBKurStKt0ggSKtc8hsMrLOY0NbejljQvIn892tkbmABP05fBnS9ELqlgZ3oFG7H%2BZ1vLTRTX66fk4KQhocLJXnzXkPevPqU%2Ba8B93xnHBXTYz3GUc%2ByGldOLhM0lUmXEW2reneRNwGB8AAOSt5OB7HLZqdcN5I%2Fehgake5mjIDn8IIBwolzsgVfbUKqKOKIDQxZIBi6VPYUb4kPT66vqkKDEzymC0WVNOVcPii6B0LJ1tuPwJpdD47obDo%2BIoZy%2FLM96Sz0M4j%2F0C%2FoKUwdlaVeNr%2FyzIxE3NdAWM%2BEv9fJWHJWe0V1UaN25m7ZWJ4NAYNMh66eLc632tgtUmFb6eea27LkAGB1nD0CkBsDQkkdokyyffd1xDtJ%2BkpmkQWhN5IGD4Vsq%2FHzqUYp4kiSmitUtJNLa563Oh0OjpQC5bGL4FeCXKU2NKk3KlvUETWzYeuruxZiU1BZmw2A7yY%2FCp0Sd2nUYWobAZdDwbCbvcsSEFODrCo5qa8rgxTPEhW21QEURSLfl6zKuEFbfsYrdNnMinOvDxN4XTLEmiZhTfOPK8VVagjhwd0NTSsS%2BfaNAGVO7fSSRNWGe0DB7maIuYaGYYFimQhaHsjX7B7xPxApcADLiVbGDxFSXR9b%2BD5LoTyVS68zPgrde3ET%2Bm%2BMhVrvV52gChtji0eTrSPK2LH8nR7CPgbnaQs5mX9LaMtVIJp%2FOcEovE7ogbY0q4IdAEgQORDECZ6ftw60EOiWfNWZg2uc36yMWV8ZcwNz2vEBoaR1ng5I1O3hMGOdfk%2FE8ndLd9n3vtFcDweziTBJM7IzfQWft0KRXVjRhmH9Y889vpjTuuNEH9IRym%2F%2BCBQmqGJ%2FsZ1XAzj4oDXJbxo3Z9PeqXVlVlazkayoUZs%2FyyR1pKfNul62%2FrHynhn1w9gqGy5OIg0IQNQ2xonFPgFLS4LtaYK07S78FEwV6IuZ1jEtwEMEsTcYpty10atFYsLezvNsJNUH%2FtDPuYMe4DxsHF0PgsvblCFOuJvEqc8vqKTFx%2BoKf%2B0L4MdS%2FpuSeU0zUHEj67ONQ6WzfSXK%2Ff6Ce2n2gVlcL9PotI%3D,NA,NA,NA,NA,NA,#1112026507,Baseus,E50,NA,14 W,Caixa,P2,NA,NA,NA,NA,NA,Encok,NA,NA,NA,NA,NA,NA,NA,NA
589, Caixa Som Portatil Amplificada Via Bluetooth Mp3 Usb Caxinha ,120,NA,62,14,12x,10.04,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4,2,https://perfil.mercadolivre.com.br/SELETOSTORE,https://produto.mercadolivre.com.br/MLB-870852187-caixa-som-portatil-amplificada-via-bluetooth-mp3-usb-caxinha-_JM,0,2,0,0,0,#870852187,Grasep,MS-188BT,NA,15 W,NA,Auxiliar,NA,NA,NA,NA,300 g,Caixa De Som Bluetooth Amplificada,BI-VOLT 110/220,NA,NA,NA,NA,1,NA,NA
590, Caixa De Som Bluetooth Frahm Groov Gr15 Abt Ativa Acústica ,1431,NA,1,4,12x,136.80,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/QUALITYSP?brandId=515,https://produto.mercadolivre.com.br/MLB-1223403470-caixa-de-som-bluetooth-frahm-groov-gr15-abt-ativa-acustica-_JM,NA,NA,NA,NA,NA,#1223403470,Frahm,GR15A BT,NA,995 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,De piso,NA,NA,NA,NA
591, Mini Caixa De Som Bluetooth Mini Speaker 3w Feitun Fn-0006 ,59,NA,59,55,10x,6.78,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/COMPRAS+MTGM,https://produto.mercadolivre.com.br/MLB-1124789602-mini-caixa-de-som-bluetooth-mini-speaker-3w-feitun-fn-0006-_JM,NA,NA,NA,NA,NA,#1124789602,Feitun,FN0006,NA,3 W,NA,NA,NA,NA,NA,NA,74 g,Caixa de som,NA,NA,Ativo,Mesa,NA,NA,NA,NA
592, Caixa De Som Para Tv Smart 80 Wats Bluetoth Soundbar Mts2019 ,379,NA,9,91,12x,36.32,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/MEGAOFERTA1000,https://produto.mercadolivre.com.br/MLB-1229699953-caixa-de-som-para-tv-smart-80-wats-bluetoth-soundbar-mts2019-_JM,NA,NA,NA,NA,NA,#1229699953,tomate 80 wats rms,Mts-2019,NA,80 W,Caixa,NA,NA,NA,NA,NA,NA,NA,NA,Woofer,Subwoofer,"sala, De parede",NA,NA,NA,NA
593, Bolsa Capa Case Para Caixa De Som Jbl Flip 3 Ou 4 ,57,NA,40,21,10x,6.48,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,31,https://perfil.mercadolivre.com.br/CASES+JBL,https://produto.mercadolivre.com.br/MLB-1181338153-bolsa-capa-case-para-caixa-de-som-jbl-flip-3-ou-4-_JM,25,2,2,1,1,#1181338153,JBL,Flip 3 ou 4,NA,NA,NA,NA,80 dB,NA,NA,NA,NA,Flip,NA,Case Para JBL Flip 3 ou 4,Case Para JBL Flip 3 ou 4,Case Para JBL Flip 3 ou 4,NA,NA,20 kHz,85 Hz
594, Caixa De Som Bluetooth - Super Promoção!!!!!!!!!!!!!!!!!!!!! ,1399,NA,4,25,12x,116.58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,1933,https://perfil.mercadolivre.com.br/RCAR+DISTRIBUIDORA,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=MPXwSgOEQz0qPUiLrU7TFDR063g4FIDoYA4UX7AcTgzQ5%2BXpFYBkHMo2TQoQqR1aHvcvd3dox%2BaYShzFkK65tB516nJHlXH8m7uALL2p7Cyvz4cxCggUm6AEIQT%2FYB21r%2BM3yc%2FK%2Fm9bHw7DXsEh4k2xMgmZWFTTsPDzITPnTuZiL6ImabLbqpzrfUzVKfxZQAqdd%2FFWBG%2BQQlEFj67WqR0Fj277E0%2BuYsvIax1tpqHP8WVWA1CuXo08i1mqF%2Fwbbft3vb482%2FtjYqM18RTFbcKQidMEkm0x4oEPCYOQRQKblRS5ehhL%2B%2FljyE4u1zuwgsdnqLM20EXR0sZlh%2FN5gtIws59WEkprslqNqYnVGdX8vjJ%2FvoqnPeguH7sxlnYwhvSApiBBRhL9wZL%2FTQ6KMc%2FBErKHiPv2xrlYLO58joIl3hrteDqGFVby0C6YxFeOgpqo9l7Qk4yfVMVADb1hUF7HdXMlDrm%2Fr9%2F9In%2BKYqJObKL%2FryTfHGjq6hHIJucaX549ZKUqiHCwOwDO5cMOlE0DJmloC5oQ9xonRssMWAg4v%2FnBFgLylHyGjYnj6X8wyv%2Fdiam2vDa1TW3Jer3A5oWp6B8RcNd97SXrZBygHYqobVwOLD%2F6amSBOoFG4TU6PTe3xfrNHVfCbxwW3fIEqnK0pxxutOpBGs2oCY5K1TQ%2BdqB7FhkNj2AEau2sTErnlmISEtZn6f1UX6qTiUVs%2F5esmU0J8uWVDRB4PUrRGTAlVdAM0KTH4Y%2FUpzFmd%2Bbk6Recbi1Vf%2BDGqMnUWSCaExqqun3liE%2FwyZLaP8alu2U%2F2P24UlLll2ln2GH056mjDdsrFAIKKe0dwh8OeFRQ18EahbJv%2F36qnXFyqh%2Bju3jCFKgGrm6papz2vVLFSMfjGapyfZMkKX9QtfyUKO1E7YNG5X41vQ80NGHocJzs7cuUI3jTZpbWEXR%2BueW3G460%2B0OuzW7Gpnq8TMx%2BDzkEvOcLsZDMylp6wQUoeqAM55hM8FupGwRYJIGjw8afvPH8KzmtPArxu7oRFLHwUWkxZ01JuWY4u1rYOOrSWwddqxxgpLQIGUNUwC58XCBZVGyyyv3EEtS7pvt11mW7g6yvNIjSMf3ehMH0rUfjXTpAu4%2BZ8l5HkBJDpzX7j2EGRQ93ATS7aWJtThHxLZ7UWkXT%2FRFmaC5wed9fa9kFh%2F8y3aJYK%2BsiQUrblOMgClh0xy7mL2OOSYLyH0ex7LyGT%2BhquGRiByFv7%2BjAtTOLOpI7fyIksRNzWLZuz3VuZGElLKWWx71rMp%2BjTDXDzObSDzdAfersS6owtMf%2FDWHv6EH6TBi4lqLK%2BpK9lHTGQdwAJRh6wmTXUK5goxhYafHAcONuSd%2BFDbfBWxNzUXS7dE5jqpbWZQGG75YdeI17kkFKdUO6iN6%2B6hDuc1jKIfnsHdSy%2FnjWdRRmQX6ekjOFgzIeKff8A4Ylv96oRH2CGBeaQWiAz%2B9rLGfpNwwSOQurOfMAiyRW4GUj5dUIKljxT%2FgcnPKgB2s%2F43dfjrNzwcpBHDdmxxAzwLrm8wgPQOeQZtMvhx2ZwWJRtRNwOmq2Q8e%2BNV9WIV9XDBwUL7zeBPTftcruRgXPvhapCboFBmEj66DaUHBoztMb0g7Fl1BIsQJ%2FCG4u62iLn1lU06VobGxfzlni3rLC323f9BIYwLt%2Bd1ePa%2BwUESnyqKO7E%2FFhs132ypfFxGrFHxos0OIpcLgLLUT98FrNWlrEJM1B9qDDyRDrxEBYsTUgzUhF2YaoRqbsNHLltbStuHDDBs0v6AjspRa%2FckD8hASpifPJxJHXFGYWUYH8tBCy6Y6lmJXIr6KfEI8tmDOiSfIn8mjNPd5AlGfR%2Bk4BCjEYPcd1ho%2BTr6v9m0JgZllOqHeO7PU%3D,1250,334,181,68,100,#1167324562,JBL,Xtreme 2,NA,40 W,NA,NA,80 dB,NA,NA,NA,NA,NA,NA,NA,Passivo,NA,NA,1,20 kHz,70 Hz
595, Caixa Som 300w Amplificada Bluetooth Bateria Até 6hrs Festas ,699,NA,7,48,12x,58.33,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/LOJAVALENCIO,https://produto.mercadolivre.com.br/MLB-1100292560-caixa-som-300w-amplificada-bluetooth-bateria-ate-6hrs-festas-_JM,NA,NA,NA,NA,NA,#1100292560,Sumay,300W,NA,300 W,Caixa,"Entrada para Microfone, P2, USB, Auxiliar, Leitor SD",NA,NA,NA,NA,7.5 kg,NA,NA,"Alto-falante 12”, Subwoofer 12"", Tweeter 5”",Ativo,De piso,não se aplica,NA,NA,NA
596, Caixinha Caixa De Som Usb Bluetooth Charge 3 Mini ,46,NA,114,192,6x,7.80,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4,1,https://perfil.mercadolivre.com.br/SPBR5635639,https://produto.mercadolivre.com.br/MLB-1257030918-caixinha-caixa-de-som-usb-bluetooth-charge-3-mini-_JM,0,1,0,0,0,#1257030918,JBL,Charge 3 mini,NA,20 W,redondo,NA,80 dB,NA,NA,NA,NA,NA,NA,Woofer,Passivo,NA,2.1,2,NA,65 Hz
597, Caixa De Som Jbl Charge 3 Bluetooth 100% Original ,619,NA,17,1,12x,51.58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,2379,https://perfil.mercadolivre.com.br/NCCAUDIOTEC,https://produto.mercadolivre.com.br/MLB-1193564928-caixa-de-som-jbl-charge-3-bluetooth-100-original-_JM,1765,338,134,52,90,#1193564928,JBL,Charge 3,NA,20 W,Caixa,NA,80 dB,NA,NA,NA,NA,NA,NA,Tweeter,Passivo,De piso,2,2,20 kHz,65 Hz
598, Caixa Som Bluetooth Boombox Grande 60 Watts Carregador Brind ,299,NA,20,4,12x,24.93,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/COMPRE+F%C3%81CILBR1,https://produto.mercadolivre.com.br/MLB-1185443759-caixa-som-bluetooth-boombox-grande-60-watts-carregador-brind-_JM,NA,NA,NA,NA,NA,#1185443759,Boombox,Boombox Grande,NA,60 W,Circular,USB,90 dB,NA,NA,NA,1500 g,Caixa Som,Boombox Grande,Circular Passivo,Passivo,NA,5.1,2,1800 MHz,150 MHz
599, 3caixinha De Som Mini Charge 3+ Bluetooth Sd E Pen Drive Jbl ,158,NA,23,16,12x,13.17,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,2379,https://perfil.mercadolivre.com.br/CELIAGOMESHENRIQUE,https://produto.mercadolivre.com.br/MLB-1257388500-3caixinha-de-som-mini-charge-3-bluetooth-sd-e-pen-drive-jbl-_JM,1765,338,134,52,90,#1257388500,JBL,Charge 3 mini,NA,15 W,Caixa,NA,80 dB,NA,NA,NA,NA,NA,NA,NA,Subwoofer,"jbl, charge mini, caixinha de som, caixa de som, bluetooth",5.1,2,20 kHz,65 Hz
600, Caixa Som Amplificada Bluetooth Microfone Radio Fm Usb 1000w ,1399,NA,5,3,12x,116.67,NA,Entrega a combinar com o vendedor,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/RCAR+DISTRIBUIDORA,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=ujpoSnaVxODJqegmMbDFQ3S4Cy3llfQsbZceusVUZ%2FrnnVwt4woSISa3WeF0CroCC%2FYYR8jQqewK3SloaoDg6leCV0YBu%2BTmEoxWVUTRotlKGWHrWfbFBvqGIhE3ZrWm6ag8kwpi8BNsIpn5Ouf69Ci79BvLrnIX9a2NX%2FnsPHK1CW%2F%2BBlQHsQlQUM%2FNqaXzbHZGsYU4qZk7if1Ww4hePNWUztLl1yQyObI9%2B7haElu6bBMrfOfuIvcNKijn4MIM510KM9A1Zz9QARYO7jyC%2B5ZpJe0JKWYqK7wxserxgz%2BEB%2BCgE8pkOR%2BOqbGtpl%2F67pPCb79ex6jNXfwQafgb0wDu37%2FC5uKsuOF8sV2K44kp4d0RAJrqYkiqy%2F3kjE8PVfGuzfIZvJ3XGMpdyLkHR82DulRIGg2DcQ8ahS8%2FKAdA%2FZwz0CofH7oyDaW1yZ4z1cg6uqTn7kMxXQVKecdzLGiSU4ZjL0QbrI%2BGZkYpX76u5wAfCFAclshkuLnozH6F8H5ioafbbXMMIOk%2BOQMJfvrxVPDE1XJ0MpesOwBQ3bjQPKef52pOFLhXNEhCzIwWFtzg7wzg6aEH%2BinarkqMzWqQ%2B8iVxPYCG8jcWEe8xXwG1oir%2BBcuatgTXpaW7nqwFFSh2vFM5qNGCSC4z0XStgAIJhlJE6s52dPRgtehMBc3ljBvKQgjdFKhSY4mrM%2FvnAV9WBvc1QrcoRO%2FKLfuvyEBvpf%2BD1xjST05WljwiijKV%2FZcduiPRZjCVxHUrs1qYUoS23whp4VkfGpiAuZmcLmGvXEOnwM1wNlhirHGKT5lUzsSdxYo0dhnSG0ovjR5oWMfSyQG2%2FAUCRkuG0aow4%2BH9JEmnqpCUXBeATr%2BgqZf2OG7J5UFE2djL5JHJdAIeqigpmBSbVNBX1OXLy9w%2Bmv%2BlCXKdlUb5xGgCoGuiLmGQZ12tsxa5VW3lC9F6WuMbFwAP7ZsS4Gzh%2BbRPgCxWXYjwYUcMglF10hZrUJ1nmRaoeuuN%2FsjyGWScFIkdFPfmXZ8MsbsbTSpTtHvlPTKjgzJSiU%2FHryk%2B4nJ4YyWW%2FR%2BeVH1%2B8au1CN8cHKQ9mn%2Fz6aFdMa5jS4m9SzYrbB8v52fUslLVMhJlNk6EFvI9iXEf6ltbtuN8v055YknA3mje46Zl6cYLHrpl0%2Faxe7t%2FiY25NtzMc%2B2vfn8lHCHEEkZmWH2HoDVUruyojB9mTGeHghSm9VhzFslypWF5jDDlFsTitiLgIpZlAFcMSzQz8hFfbqDsjpbtY845Ixgn0d7IEaylQ%2BMbOcG1V9MF4PlXvwa30EN%2BVPKyst279Eji7%2F8tr9hGxkyBzkaxxflyU6%2BUioFX6AMcIuT%2FZ%2F5A6NAEgZoJt%2BQNTYWkH1ELVrrUBUkPgPL7rhhneK6fzJisxjcTcTQzfn3rTHDFJqz4mLmpchlRo3bWbrg5DMBDL32QrZv2Vu5TtacUbrQIMu4sHER8OPxARAGdclPb7tc0nhG6buyRGPADZjB%2F8qycHLxLKjOTJpqCxyn0gjTN1wTbKu1et1ZjJrxVOtMLqo2%2Fy6AVuzby0jVl0R6sw76brGBdL0WK4DqW%2FPoI84RyZ1KX8S3zAH3sB5sK2ctMe%2B8DttMHIIuFbKRFGjGZ%2B%2FdC%2FoF6yUp%2F87KzrexY8V8aDdxrldccaZgPNnlGR9vwNjso93mTL67IO1oLKR6Ju%2FZeZXqrUYrXCw1yfCNUFWTE2%2FdIIaxi%2F5gz7q4TD0dZKOvV1aCsoIiXyiarEPoowneZQng%2F01BRl2QXQoEJvqubGCsMHOPv5RfTF5lTOB9L0%2FihgWv4%2BRxfkklNqmJ0yAaTcnh8Ghkym5kStd8JTBnsLyJd4G4jxw8pr1Hpp7SYhkhOz95f%2BI%2FDOvdd3ZdOmQ%2Bj0r6QlvDE2vHtlOX2qTjbD6BNw%3D%3D,NA,NA,NA,NA,NA,#1091997392,Frahm,gr15a bt,NA,350 W,NA,NA,NA,NA,NA,NA,14 kg,NA,NA,NA,NA,NA,NA,NA,NA,NA
601, Caixa De Som Bluetooth Usb Micro Sd Fm Aux Potente Home ,87,NA,161,998,12x,7.31,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,23,https://perfil.mercadolivre.com.br/AER+MAGAZINE,https://produto.mercadolivre.com.br/MLB-880274812-caixa-de-som-bluetooth-usb-micro-sd-fm-aux-potente-home-_JM,16,3,2,1,1,#880274812,H'maston,B28S,NA,20 W,Caixa,USB,NA,NA,NA,NA,800 g,CAIXA DE SOM HMASTER,NA,Woofer,Woofer,"tv, smarttv, escritorio, churrasco, lavanderia, piscina",2.1,NA,NA,NA
602, Mini Caixa Caixinha De Som Prova D'água Bluetooth Branca ,22,NA,20,30,4x,5.75,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/ISSOOUAQUILO,https://produto.mercadolivre.com.br/MLB-1179036687-mini-caixa-caixinha-de-som-prova-dagua-bluetooth-branca-_JM,NA,NA,NA,NA,NA,#1179036687,NA,Bts06,NA,4 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
