search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potência de saída (RMS),Tipos de filtros do alto-falante,Resposta máxima em frequência,Resposta mínima em frequência,Linha,Modelo alfanumérico,Voltagem,Tipos de alto-falante,Lugares de colocação,Formato do alto-falante,Configuração de canais,Quantidade de alto-falantes,Conectores de entrada,Sensibilidade de entrada,Largura,Profundidade,Altura,Cor,Peso
11, Caixa Som Musica Caixinha Smartphone Android Bluetooth ,39,NA,1564,96,6x,7.31,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,89,https://perfil.mercadolivre.com.br/ACME+ELETRONICOS,https://produto.mercadolivre.com.br/MLB-910970810-caixa-som-musica-caixinha-smartphone-android-bluetooth-_JM,80,8,1,0,0,#910970810,Wireless Speaker,HF-Q3,5 W,Ativo/Passivo,NA,NA,Portátil,HF-Q3,5V,Woofer,Mesa,Caixa,2.1,1,USB,NA,9.5 cm,9.5 cm,10.8 cm,NA,480 g
12, Caixa Caixinha Som Portátil Bluetooth Mp3 Usb Cartão Fm 300w ,27,NA,2921,4,5x,6.13,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,86,https://perfil.mercadolivre.com.br/MEGA+EXOPLANET.SHOP,https://produto.mercadolivre.com.br/MLB-1169578372-caixa-caixinha-som-portatil-bluetooth-mp3-usb-carto-fm-300w-_JM,73,9,3,0,1,#1169578372,SPEAKER,MS-302bt,5 W,Subwoofer,1500 Hz,150 Hz,Bluetooth,MS-302bt,NA,Subwoofer,Portátil,Redondos,2.1,1,USB,80 dB,NA,NA,NA,NA,318 g
13," Caixa De Som Jbl, Wind, Bluetooth, 3 Watts, Preto - Jblwind ",172,NA,1211,803,12x,14.39,NA,Envio para todo o país,NA,NA,4.8,120,https://perfil.mercadolivre.com.br/GLOBALDISTRIBUIODEBENS?brandId=1397,https://produto.mercadolivre.com.br/MLB-1068923654-caixa-de-som-jbl-wind-bluetooth-3-watts-preto-jblwind-_JM,100,14,5,0,1,#1068923654,JBL,28910851,3 W,Ativo,NA,NA,NA,NA,NA,Woofer,"Moto, bicicleta",Caixa,.,1,NA,NA,NA,NA,NA,NA,340 g
14, Caixa De Som Bluetooth Amplificada Com Microfone Mp3 Usb ,189,NA,906,61,12x,15.82,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,162,https://perfil.mercadolivre.com.br/123INBOX,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=jXJrIDftfvQYKIOGbP9od2yCIR9S7WZBWoxBBIAafPBJFImFgifzVRNtNO3Rcec8%2FHo73f%2B8b1MqPtIcfqjTuz%2FWdYCl1w%2Bzf78TFvOa0dGvD6C8anQTDdTaAR%2FmWe35GNMYgnb720VoeMI17f7Mp6otIkSShI0bt%2BsZqSyVBh5TpbqxnAfZzLsZ39O8drwc2fIA4CA%2BIpgeF6zWSodG7D39L24e48dlhV74K7EQeThV10IRQx%2BubPTU4UBNlfj7tbU3XElV%2BQky4GtRDIzz9DxF9O42y9qT781YnOhq%2Frb0783lIv6j0FHanWHj3kr%2B4KJa6oP%2FP4hYl1%2FjcZq7XouvOZyUDkdrDeCBqWS9mnn5KfTbHbdMurGzR%2F07bQzRR6DXi8SOaTjedSrA8mnN2RYCPgWpSZ7WRh4Q21oyPGiyCPDITMGHtHa0wSQP70MT9DpGV83OmcyfaZCISRSSVAieI4yr%2BUsOPZhJ4HAXT%2FBBVkhoIODtLOX93XIqo%2BKd%2FRZ9LYS%2BAB3e1gwcRvnP2QQYzM4ggytf1hJlfslC2%2FoBPsNXAzG7prfBU6rRVLNSZ8h3XkKAsrD05Kc8a8RdRjr2eZNCFf4EWHq4t1OrV2X84jzWITZ3AqvHrffW0zwkDbTO0Q2Wk2hrpjQ5d%2FhED4oYcEQCtvk4omk%2BlgYldIDwKV0SOCFQSOE6CIJG%2BOJT61VDD3K9uARzJ9SSiAROouK8AkRZgOQkLuYJHtnJc8ZSW93JyWsN1oIUb8bc6e5B8aMJPbTKSjTE2VtYrKdWjjXhs%2FchQnaEXqtTiWT3toXykUDvWd2Zy5XoF2fCf4Lc%2BrQhqGtuUGX%2BmGs3JofGEmQzWSymnlCCNyKD6ZbFLg5JXB0T%2BE3589rma4VYE2Fmg1FjljshyxwnUtt59jSY9NcUw%2FUnA6QDdUuLasnNNSWA5jdNEJ6MQyOL%2BmVye6k81cRMsLj8vH7BiCkxBV136Etlg710DOt44qXD5pe9hWqx0mYeDs1mLq5P76iDBRlqs9oIbKHZGlE6n00gn0QfCXnqUJ2LI3NMsoxpMWsrkfQtzhtlluv8O6dMinLH%2FicfixIYi64xULOp0VqIXIBgKlZGUCMjpcYBvgAst5xIZC4jC%2FT597yZKg1s9llM6C3rCKOyZp8h6ixz%2BsbH1PoBAGA1U6GkFswhWlNpe4MrIgYYvYih1NxgObEOouw%2BIQpMnwkbx7NCiuU7Q80ztiXjsfX4%2FhWvztGGWdO4dC%2FK%2FQo6BHNjUHNSsuaUNCnlAk3zXuDE0o3Naa6bCLtaVziTTLvWas8zpsVPLfNqQxt1QtyTSBP4f%2BJwpg2qxROfGs2EKXMwWpYFCxDIsV3rU9mOnBjmnu9h0%2BSYjmRKVrgDyvpI09irqZjo1aPRh0HxRjS%2F78b6N4NSz94PHI1dWY0rDf0u6SSF7MPokc3jfJEZ2LKhSLPEsbijTf3Z1FQw83iWutZfxlDz35Z8XGEGZ0WisXUbIv2po4ts6rIm8rvNPZjrmo4bSPxo0%2BqKiR3IS%2BwN%2FuxmQWqYJ%2F8spvzqJ%2FO0E7uFI6SF7tYxzi89MBK92Ls1uksObFX6HF5qjh82X7LORPmD6ChEdxfntrTAemO92dAHNIMLy0HQe8yv7mqFdPLjzm3N4mEzDR1Mipzi9taLnznxqVkMuERcXd%2FQj5kXshPgLJj8BMB8y5Y9XC1Hw6UyJrrvb3ANwFFcRV94yZsrpuseZtA2ttBvKBBvK6F0fOC2F1Nc35cCNrAjFXANYQ%2FoBCZR9IaxPdiC1tKSRzVPSYMtBNGEhZgP4ibQgIKlcF6TDjqo8wdz5mpxtTIbf6JT%2B5Uu607lG8mX0hcg5lHTemqn660SZc%2F%2Beg%3D%3D,112,26,14,6,4,#1097049569,IMPORTADO RPC,FBX-103,25 W,Subwoofer Embutido,NA,NA,NA,NA,NA,Subwoofer,"Festas em Geral, Praia, Sítios, Eventos Diversos",Torre,BLUETOOTH,NA,"Entrada para Microfone P2 e P10, USB",NA,NA,NA,NA,NA,2.4 kg
15, Caixa De Som Amplificada Bluetooth 2000w Fortress Sumay ,699,NA,817,25,12x,58.33,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,73,https://perfil.mercadolivre.com.br/SANBOX-BR,https://produto.mercadolivre.com.br/MLB-919482965-caixa-de-som-amplificada-bluetooth-2000w-fortress-sumay-_JM,65,2,3,0,3,#919482965,JBL,Caixa Amplificada Bluetooh,200 W,Ativo,NA,NA,NA,Torre,110/220v,NA,NA,Caixa,NA,01,USB,NA,NA,NA,NA,NA,7 kg
16, Caixa Som Bluetooth Portátil Amplificada Torre Fm Sd Mp3 Usb ,32,NA,1181,3,6x,6.10,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,46,https://perfil.mercadolivre.com.br/MEGA+EXOPLANET.SHOP,https://produto.mercadolivre.com.br/MLB-1174117073-caixa-som-bluetooth-portatil-amplificada-torre-fm-sd-mp3-usb-_JM,42,3,1,0,0,#1174117073,Goldenultra,GT-515bt,10 W,Subwoofer,15000 Hz,150 Hz,BLUETOOTH,GT-515bt,NA,Subwoofer,Portátil,Redondos,2.1,2,USB,80 dB,NA,NA,NA,NA,NA
17, Caixa Som Bluetooth Jbl Xtreme 2 40w Preta Jblxtreme2pto ,975,1213,222,646,12x,81.26,NA,Envio para todo o país,NA,NA,4.6,113,https://perfil.mercadolivre.com.br/FASTSHOP+OFICIAL?brandId=942,https://produto.mercadolivre.com.br/MLB-1182693732-caixa-som-bluetooth-jbl-xtreme-2-40w-preta-jblxtreme2pto-_JM,88,16,5,1,3,#1182693732,JBL,Xtreme,40 W,Passivo,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,80 dB,136 mm,132 mm,288 mm,NA,NA
18, Caixa De Som Speaker Google Home Mini Wi-fi Vitrine ,174,NA,775,198,12x,14.58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,30,https://perfil.mercadolivre.com.br/CLICOU_TELECOM,https://produto.mercadolivre.com.br/MLB-1137932763-caixa-de-som-speaker-google-home-mini-wi-fi-vitrine-_JM,23,5,1,0,1,#1137932763,Google Home Mini,Google Home Mini,3 W,"Caixa de som, Speaker",NA,NA,NA,NA,NA,"Caixa de som, Speaker, Assistente Pessoal","Mesa, escritorio, sala, quarto",Caixa,5.1,1,NA,NA,NA,NA,NA,NA,NA
19, Caixa Som Portátil Recarregavel 2900w Multiuso Amvox ,529,NA,295,42,12x,50.65,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,11,https://perfil.mercadolivre.com.br/SANBOX-BR,https://produto.mercadolivre.com.br/MLB-1074171591-caixa-som-portatil-recarregavel-2900w-multiuso-amvox-_JM?searchVariation=31654758121,8,2,1,0,0,#1074171591,AMVOX,Caixa Amplificada Bluetooh Portátil,290 W,Torre,108 MHz,87.5 MHz,Caixa de som amplificada bluetooth,410101,NA,NA,NA,Torre,2.1,NA,USB,NA,NA,NA,NA,NA,NA
20, Caixa De Som Portátil Bluetooth Amplificada Microfone Grátis ,189,NA,291,35,12x,18.16,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,12,https://perfil.mercadolivre.com.br/123INBOX,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=qqcWEtUflCdN6WltLLYvbioyK5CtBMChw9dmJz8bR30ZktKNcIPd5UG889WiLKVwp09WEqjEE6h9hkEdFxJSi5oEcwFvxIYhMX76ZYErUk8gtNXX%2FvrtzoIN7neSdq%2BXDfY1wlSsxOFhUKtIPK1nih1y8kBW0PTsE0jsA5Z2qVd92ZIeDlFVVQol4TMkvjNwcCKDHJph%2BLk92DW0f3ZSpF4nhLuQsvuPxpiMIld8NU342032MlzqYo%2BjDlVXMIla7lNJ6zyq2CT2sy676eXqRNV3RJs9sGRq9Qu8r0%2BOP96qpgqH8rT3gkSpxpxmnf6TsvzEj8SvBapWSor127rKB0yZl0iSOtdyrbn7KEQZZtemLhb%2FH7YvgRQTd22epYw9R1TLuF2hw2ArxinuxO3SecDdJ8L94xyiBoxvzA5%2BwKzaZTU2iPm3lnVSAnHjQek%2Bt%2BtCoshGK%2FZKD3QfX%2FdrHlgurnKg9xp62Y0xjJtQCCinmKJF8txl1eFaqhmCsHlzBYvMN90QZ%2Fsj%2F1cDbuza5OhRJNJmm4Q8CD2W4zvSbIXzYxDWqM0Q6zvkHVZ0kzNBiPAquY%2B%2B43Ed1ucr6P5RBtEw9%2FrJ%2FQlY0kTe6PCROihtpliXiGmhNrK2bHkavXDUZURRJDNnZecPNfXpWHdbKYf40UPDbBCdwK%2Bv7k6Ip99bDANV%2FNXrRCHv5jdqjUHR3AakbdcElzgKRNhduw9CpBvlqmqu0e491S3Uln37lhhvsEleRUPic2U7PaziyeYZMQPGSjY4kmByEf6FjIF%2BIwf%2FBgD4uM9Z85zmK548erz5CdatFm08V8s8SHDPEJE82R0nYuRUBQ7uJx0oiNKJ1CvXGG8A006w43BKpcx8TJarVVy%2BlAsxrqcv%2FyrFNXfUwTotXslwUVoWaFfknaxEl0VrkLsssIdUpzgqIGmV%2FNG%2FZtyJfb8ftUpgm8fuTPLOh1h10D8za3%2FGpZoqS36EXhdOQd4GjlH7APPjRfMAk3C%2BPt7JxPUQTq2HhJeW%2FOT%2FLwsEEn%2FmbPRaXqI%2BZpZE7YT4P7DbLRYT73Ni%2F5JSG9GNwFmhg4zpf5UctJ1YXUtj9E9nk8vf77RG8zkWLIu%2BnlwQmgohaj0LYXvc%2B7iK%2B946FeBwtoei%2BqAK%2BcB0wo4TCDcG%2FcvhvPSk4C9U8e9GUjkAmIqqhU19me5G%2BGr1mgP%2FlBHY8NbIAaV5NNWyrG9laHOq8Pd4jK3RuvMGKtORjbNL1YrSDZne2JlKpH%2Fj4Sjw4iY4ck7yDFonxFRA4S5pGaJgpXY34gO63oXL1cIaOHKiLNTq6EEx3R1gLiapycnQXQsl7MapMk37BAzY%2BaQLmtijAwDCCWogkYOzvLdd38Em5vaTLTjENaQ%2F%2FJHpon%2FMqOn7iTSAH0TfkUuJIP%2B%2FI4VNxwxC%2F%2Be8%2BseJkCgkQ8x0KTNn6z2aJw4Q9ANbljEK9C%2BklJMhxKlRpRefBATkTXOlce2WOqaunxbzDtjitrHZgZwh4f62lVVGZe8NkNDCXukxzYFnZW7VSpPKqncWgvCo44LVnHtJ289GqHqGx93pWpegsOa5cogaroBet6xhVeApkV0PygUI3qASO2WyKHN%2FCikSursQYpyHnuXiKalYxR0IFCf%2BlrkD8%2BVoec7BfVmTJtXiDfnrNIF6Y5Nf1BUHC0VE8JQa2cA29OakTqzJOBikLeXkyOYko5Wq28hHSAWqwjdH0XuXY5hr5ZDtccXi5UifRVrcFp7u1mGTjDel0N7aSDQwpx2FQRZ9D3AtzTOfJN5s2pvSfgAKBkBxqqspmiqZezopBvbBDvq9b4vFVBaDGWWS6uuJQG5JXZNMHa%2FUE2EYz1oQ8fwR8MA4eFW54TXTJ3yb%2BItTuLM%3D,11,1,0,0,0,#1097047029,IMPORTADO RPC,FBX-103,25 W,AMPLIFICADO,NA,NA,BLIETOOTH,NA,BIVOLT AUTOMÁTICO 110/220V,Subwoofer,"Festas em Geral, Praia, Sítios, Eventos",Torre,BLUETOOTH,NA,Entrada para Microfone P2 e P10,NA,NA,NA,NA,Preto,2.4 kg
21, Caixa Som Bluetooth Amplificada Torre Mp3 Fm Usb Sd Pc 500w ,36,NA,726,4,6x,6.84,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,22,https://perfil.mercadolivre.com.br/MAGAZINE+NOBREAK,https://produto.mercadolivre.com.br/MLB-1190350399-caixa-som-bluetooth-amplificada-torre-mp3-fm-usb-sd-pc-500w-_JM,17,0,1,2,2,#1190350399,Goldenultra,Torre,10 W,Ativo/Passivo,NA,NA,Caixa de Som,NA,Bivolt,NA,NA,Caixa,NA,NA,USB,NA,NA,NA,NA,NA,NA
22, Caixa De Som Jbl Boombox Original 1 Ano De Garantia Com Nf ,1899,NA,257,228,12x,158.25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,544,https://perfil.mercadolivre.com.br/DIRETOCOMVOCE?brandId=1328,https://produto.mercadolivre.com.br/MLB-1001522471-caixa-de-som-jbl-boombox-original-1-ano-de-garantia-com-nf-_JM,426,46,22,20,30,#1001522471,JBL,Boombox,60 W,Portátil,20 kHz,20 Hz,Caixa Portátil,NA,Bivolt,Não se aplica,Não se aplica,Não se aplica,não se aplica,2, ,80 dB,NA,NA,NA,NA,5.25 kg
23, Caixa De Som Bluetooth Amplificada Com Microfone Mp3 Usb ,189,NA,906,61,12x,15.82,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,162,https://perfil.mercadolivre.com.br/123INBOX,https://produto.mercadolivre.com.br/MLB-1097049569-caixa-de-som-bluetooth-amplificada-com-microfone-mp3-usb-_JM,112,26,14,6,4,#1097049569,IMPORTADO RPC,FBX-103,25 W,Subwoofer Embutido,NA,NA,NA,NA,NA,Subwoofer,"Festas em Geral, Praia, Sítios, Eventos Diversos",Torre,BLUETOOTH,NA,"Entrada para Microfone P2 e P10, USB",NA,NA,NA,NA,NA,2.4 kg
24, Caixa Caixinha De Som Portátil Bluetooth Exbom M33bt Mp3 Fm ,49,NA,334,36,6x,9.25,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,26,https://perfil.mercadolivre.com.br/BREVISTORE,https://produto.mercadolivre.com.br/MLB-939772594-caixa-caixinha-de-som-portatil-bluetooth-exbom-m33bt-mp3-fm-_JM,16,7,3,0,0,#939772594,Exbom,CS-M33BT,10 W,Ativo/Passivo,20 kHz,85 Hz,Bluetooth,CS-M33BT,110/220v Bi-volt ou 5v USB,Subwoofer,"Sala, Quarto, Cozinha, Praia, Sítio",Caixa,1.1,2,"Bluetooth, P2 Auxiliar, USB Pendrive, SD Cartão",NA,NA,NA,NA,NA,NA
25, Caixa Som Amplificada Bluetooth 290w Portátil Led Sub 12 Tws ,476,NA,256,53,12x,45.54,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,173,https://perfil.mercadolivre.com.br/MCACESSORIO,https://produto.mercadolivre.com.br/MLB-1178843183-caixa-som-amplificada-bluetooth-290w-portatil-led-sub-12-tws-_JM,131,28,10,1,3,#1178843183,AMVOX,ACA 292 NEW X PRETO BIVOL,290 W,Ativo,NA,NA,NA,NA,110/220V (Bivolt),Subwoofer e Tweeter,De piso,Caixa,2.1,NA,NA,NA,NA,NA,NA,Preto,7.6 kg
