search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potencia de salida (RMS),Tipos de filtros del parlante,Peso,Conectores de entrada
1, Parlante Bluetooth A Prueba De Agua 3w Rms Ideal Ducha Loi ,179,249,"
			
			
				
				76
				vendidos
			
		",(998 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 994
		
		 sin interés
		
	

	
		",94,NA,Envío a todo el país,NA,NA,4.0,5,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-463417487-parlante-bluetooth-a-prueba-de-agua-3w-rms-ideal-ducha-loi-_JM,1,3,1,0,0,#463417487,NA,NA,NA,NA,NA,NA
2, Parlantes 2.1 Tower 5 Energy Sistem Bluetooth Aux Usb Sd Amv ,155,NA,"
			
				Nuevo
			
			
				
					 - 
				
				191
				vendidos
			
		",(10 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 30501
		
		 sin interés
		
	

	
		",01,NA,Envío a todo el país,NA,NA,4.8,18,http://perfil.mercadolibre.com.uy/AMVSTORE,https://articulo.mercadolibre.com.uy/MLU-452289064-parlantes-21-tower-5-energy-sistem-bluetooth-aux-usb-sd-amv-_JM,14,4,0,0,0,#452289064,Energy Sistem,NA,NA,NA,NA,NA
3, Parlante Bluetooth Jbl Go 2 Portátil Potencia Calidad Febo ,1282,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1533
				vendidos
			
		",(98466 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 7122
		
		 sin interés
		
	

	
		",22,NA,Envío a todo el país,NA,NA,4.8,212,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-446600412-parlante-bluetooth-jbl-go-2-portatil-potencia-calidad-febo-_JM,180,29,1,2,0,#446600412,JBL,GO 2,3 W,Activo,184 g,NA
4, Parlante Mini Bluetooth Portatil Craquelado Ahorro Y Compras ,190,NA,"
			
				Nuevo
			
			
				
					 - 
				
				45
				vendidos
			
		",(156 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1056
		
		 sin interés
		
	

	
		",56,NA,Entrega a acordar con el vendedor,NA,NA,4.0,1,http://perfil.mercadolibre.com.uy/JESDEN+SA,https://articulo.mercadolibre.com.uy/MLU-451362894-parlante-mini-bluetooth-portatil-craquelado-ahorro-y-compras-_JM,NA,NA,NA,NA,NA,#451362894,NA,NA,NA,NA,NA,USB
5, Parlante Jbl Flip 4 Bluetooth Portátil Gtia 1 Año Solo Febo ,3748,4350,"
			
				Nuevo
			
			
				
					 - 
				
				966
				vendidos
			
		",(99033 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 20822
		
		 sin interés
		
	

	
		",22,NA,Envío a todo el país,NA,NA,4.8,201,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-446600381-parlante-jbl-flip-4-bluetooth-portatil-gtia-1-ano-solo-febo-_JM,170,25,4,1,1,#446600381,JBL,Flip 4,16 W,Activo,515 g,NA
6, Parlante Bluetooth Jbl Boombox Potencia Calidad Febo ,24950,NA,"
			
				Nuevo
			
			
				
					 - 
				
				14
				vendidos
			
		",(99985 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1.38611
		
		 sin interés
		
	

	
		",11,NA,Envío a todo el país,NA,NA,4.3,3,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-450750864-parlante-bluetooth-jbl-boombox-potencia-calidad-febo-_JM,2,0,1,0,0,#450750864,JBL,Boombox,NA,NA,NA,NA
7, Parlante Jbl Flip 4 Bluetooth Potente Colores Oferta Loi ,4370,4999,"
			
			
				
				172
				vendidos
			
		",(898 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 24278
		
		 sin interés
		
	

	
		",78,NA,Envío a todo el país,NA,NA,4.8,201,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-458480865-parlante-jbl-flip-4-bluetooth-potente-colores-oferta-loi-_JM,170,25,4,1,1,#458480865,JBL,Flip 4,16 W,Activo,NA,NA
8, Parlante Portátil Bluetooth 3w Luces Led Usb Microsd Aux Loi ,197,NA,"
			
			
				
				29
				vendidos
			
		",(999 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1094
		
		 sin interés
		
	

	
		",94,NA,Envío a todo el país,NA,NA,5.0,2,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-462659823-parlante-portatil-bluetooth-3w-luces-led-usb-microsd-aux-loi-_JM,NA,NA,NA,NA,NA,#462659823,NA,NA,NA,NA,NA,NA
9, Parlante Bluetooth Portátil Jbl Charge 4 Potencia Calidad ,6619,NA,"
			
				Nuevo
			
			
				
					 - 
				
				95
				vendidos
			
		",(99904 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 36772
		
		 sin interés
		
	

	
		",72,NA,Envío a todo el país,NA,NA,4.7,43,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-452532629-parlante-bluetooth-portatil-jbl-charge-4-potencia-calidad-_JM,35,7,0,0,1,#452532629,JBL,Charge 4,30 W,Activo,NA,NA
10, Parlante Portátil Bluetooth Park Led Karaoke Batería Mic Loi ,39,42,"
			
			
				
				63
				vendidos
			
		",(2980 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 7674
		
		 sin interés
		
	

	
		",74,NA,Envío a todo el país,NA,NA,4.7,6,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-456920787-parlante-portatil-bluetooth-park-led-karaoke-bateria-mic-loi-_JM,4,2,0,0,0,#456920787,Kolke,NA,NA,NA,NA,NA
11, Parlante Portable T&g Bluetooth 10w Rms Oferta Loi ,697,NA,"
			
			
				
				35
				vendidos
			
		",(999 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 3872
		
		 sin interés
		
	

	
		",72,NA,Envío a todo el país,NA,NA,4.0,4,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-462663421-parlante-portable-tg-bluetooth-10w-rms-oferta-loi-_JM,1,2,1,0,0,#462663421,NA,NA,NA,NA,NA,NA
12, Parlante Jbl Charge 4 Bluetooth A Prueba De Agua Oferta Loi ,197,249,"
			
			
				
				18
				vendidos
			
		",(991 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 38765
		
		 sin interés
		
	

	
		",65,NA,Envío a todo el país,NA,NA,4.7,43,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-463032205-parlante-jbl-charge-4-bluetooth-a-prueba-de-agua-oferta-loi-_JM,35,7,0,0,1,#463032205,JBL,Charge 4,30 W,Activo,NA,NA
13, Parlante A Batería Bluetooth Karaoke C/ Mic + Bat Extra Loi ,29,NA,"
			
			
				
				251
				vendidos
			
		",(787 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 5901
		
		 sin interés
		
	

	
		",01,NA,Envío a todo el país,NA,NA,4.4,11,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-457013554-parlante-a-bateria-bluetooth-karaoke-c-mic-bat-extra-loi-_JM,7,3,0,0,1,#457013554,NA,NA,NA,NA,NA,NA
