search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potência de saída (RMS),Tipos de alto-falante,Tipos de filtros do alto-falante,Lugares de colocação,Formato do alto-falante,Configuração de canais,Quantidade de alto-falantes,Peso,Linha,Modelo alfanumérico,Voltagem,Conectores de entrada,Sensibilidade de entrada,Largura,Profundidade,Altura,Resposta máxima em frequência,Resposta mínima em frequência,Cor
1," Caixa De Som Jbl, Wind, Bluetooth, 3 Watts, Preto - Jblwind ",139,299,"
			
			
				
				1162
				vendidos
			
		",(350 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1158
		
		 sem juros
		
	

	
		",58,NA,Envio para todo o país,NA,NA,4.8,110,https://perfil.mercadolivre.com.br/GLOBALDISTRIBUIODEBENS?brandId=1397,https://produto.mercadolivre.com.br/MLB-1068923654-caixa-de-som-jbl-wind-bluetooth-3-watts-preto-jblwind-_JM,92,12,5,0,1,#1068923654,JBL,28910851,3 W,Woofer,Ativo,"Moto, bicicleta",Caixa,0,1,340 g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2, Caixa De Som Bluetooth Amplificada Portátil Microfone Grátis ,159,NA,"
			
				Novo
			
			
				
					 - 
				
				12398
				vendidos
			
		",(61 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1529
		
		 sem juros
		
	

	
		",29,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,1277,https://perfil.mercadolivre.com.br/BREVISTORE,https://produto.mercadolivre.com.br/MLB-757364044-caixa-de-som-bluetooth-amplificada-portatil-microfone-gratis-_JM,785,259,122,45,66,#757364044,Infokit,VC-M874BT,12 W,"Subwoofer, Twitter",Ativo/Passivo,"Festas, Eventos, Sala, TV, Notebook, PC, Computador, Celular",Torre,Bluetooth,3,NA,Bluetooth,VC-M874QBT,110/220v ou USB 5v,"Bluetooth, P2 Auxiliar, USB Pendrive, SD Cartão, P10 Microfone, P10 Instrumento Musicais, Violão, Guitarra, Baixo",80 dB,17 cm,14 cm,36.5 cm,NA,NA,NA
3, Caixa De Som Amplificada Portátil Bateria Bluetooth Usb 500w ,164,NA,"
			
				Novo
			
			
				
					 - 
				
				2961
				vendidos
			
		",(18 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1573
		
		 sem juros
		
	

	
		",73,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,86,https://perfil.mercadolivre.com.br/A7NOVIDADES,https://produto.mercadolivre.com.br/MLB-1089428322-caixa-de-som-amplificada-portatil-bateria-bluetooth-usb-500w-_JM,53,19,6,5,3,#1089428322,exbom,VC-M874BT,12 W,Woofer,Woofer,"Sala, Quarto, Festas, Eventos, Sítio, Praia",Torre,5.1,NA,NA,NA,NA,Bivolt,Entrada para Microfone,NA,NA,NA,NA,NA,NA,NA
4, Caixinha Som Portátil Bluetooth Fm P2 Mp3 Cartão Pen Drive ,26,NA,"
			
				Novo
			
			
				
					 - 
				
				2789
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		5x 
		
			
				R$ 589
		
		 sem juros
		
	

	
		",89,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,146,https://perfil.mercadolivre.com.br/TROPARDI+ELETRO,https://produto.mercadolivre.com.br/MLB-1175510231-caixinha-som-portatil-bluetooth-fm-p2-mp3-carto-pen-drive-_JM,131,10,4,1,0,#1175510231,Goldenultra,GT-356BT,8 W, , , , , ,NA,NA,NA,NA,(Bivolt),"P2,Leitor SD, Usb, Auxiliar P2",NA,NA,NA,NA,NA,NA,NA
5, Caixa Som Bluetooth Amplificada Torre Mp3 Fm Usb Sd Pc 500w ,36,NA,"
			
				Novo
			
			
				
					 - 
				
				2920
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 684
		
		 sem juros
		
	

	
		",84,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,129,https://perfil.mercadolivre.com.br/TROPARDI+ELETRO,https://produto.mercadolivre.com.br/MLB-1175508663-caixa-som-bluetooth-amplificada-torre-mp3-fm-usb-sd-pc-500w-_JM,109,7,6,1,6,#1175508663,Grasep,Torre,10 W,NA, , , , ,2,NA,Portátil,GT--515BT,110V/220V (Bivolt),USB,80 dB,NA,NA,NA,NA,NA,NA
6, Kit 10 Mini Caixinha Som Bluetooth Portátil Usb Mp3 P2 Sd ,205,NA,"
			
				Novo
			
			
				
					 - 
				
				955
				vendidos
			
		",(317 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1966
		
		 sem juros
		
	

	
		",66,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,40,https://perfil.mercadolivre.com.br/A7NOVIDADES,https://produto.mercadolivre.com.br/MLB-1114227033-caixa-de-som-amplificada-portatil-bateria-bluetooth-fm-1200w-_JM,29,6,3,1,1,#1114227033,Grasep,D-Q10,30 W,Woofer,Woofer,"Sala, Quarto, Festas, Eventos, Sítio, Praia",Caixa,5.1,3,NA,Voxcube,NA,Bivolt,Entrada para Microfone,NA,NA,NA,NA,NA,NA,NA
7, Caixa De Som Amplificada Portátil Bateria Bluetooth Fm 1200w ,27,NA,"
			
				Novo
			
			
				
					 - 
				
				2717
				vendidos
			
		",(5 disponíveis),"
	
		
			
		
		5x 
		
			
				R$ 613
		
		 sem juros
		
	

	
		",13,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,71,https://perfil.mercadolivre.com.br/MEGA+EXOPLANET.SHOP,https://produto.mercadolivre.com.br/MLB-1169578372-caixa-caixinha-som-portatil-bluetooth-mp3-usb-carto-fm-300w-_JM,60,8,2,0,1,#1169578372,SPEAKER,MS-302bt,5 W,Subwoofer,Subwoofer,Portátil,Redondos,2.1,1,NA,Bluetooth,MS-302bt,NA,USB,80 dB,NA,NA,NA,1500 Hz,150 Hz,NA
8, Caixa Caixinha Som Portátil Bluetooth Mp3 Usb Cartão Fm 300w ,159,NA,"
			
				Novo
			
			
				
					 - 
				
				345
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1529
		
		 sem juros
		
	

	
		",29,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,21,https://perfil.mercadolivre.com.br/MAGAZINE+NOBREAK,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=hY6b5mxUwh%2BmS2TEWgXIpHW%2BwVjGJ4KCMubYu%2BoTmGRiJN9e50hWuJIcJ3DIETeXUFrIvPRYb1%2FJ3U5a%2FMRyKDZOn8rh%2FKy%2F9QjyVJw8KELWs8m4PX55mEAzPMWt%2BlI0JzrEFxQLNOIZLWZqW5T9%2FKH8wp7omgVAyJ0WBcGtOoijNKgp8Dx6L0wdS1B5IDZvuZeC1kgvWizN76dcsGi1w5LNnytQWbnnOU9anV82wG5SDF8PJ5q9SJF0tul%2FcIiyEDaAKvmz1Pil10o662E4dcMta9lO7JKFIrK0UYkYmZ5buE18t65twEVsVOmaCePGdHIL74lMu65xm6I9da8sc2NNMQT8ZzgFcpEVJKZuYP9tAGcVk3bE0z3EdU26qMQ8ZSoyNWCW%2BpCorqmjDAZdckuw4nmHsd%2F%2F4NrEuCkpWytCRhE1eCGAaI4BPxXHCf9ZFxbo5KK3siSsFX94mcWSm8xsxyrn3wbKIjawLV9fDJJDjaNNa0gGE%2BNXTjrkJGYPRYGNZ5gYfYgaWD%2Bw7LlETBpPu%2BEEpC5ueJUPXrZwBVe9qKQG3ZlZM5YGmYcpN%2FQeKGOecChdFqx6NxiI93ucu%2FwHwJL9Whyx0%2FdLRJI1RW3eXNy5HtcRXVcAyJ6BLZQeQdV9%2F26gbg4dGzGXxCLaOtQlzcAJ1PVlYmwvjMcnz8S%2Fm8T8E3%2FPNs53sM8HIiDlK81Gu9DKgV%2FYGUGtIIpqS%2BtbCz62h4%2BoBxN6xhGV7GyS59ldsoZXtmjkvVR6AhzD0D31qzOHBD8Y5h1nD3jKs0sQpTttsrk5IyoOrKNIZVCaC9DLw0WM2Ro0ARKhMZSksxnaH9vOPiwGxt2AsMUw9WJh1vszBg3e2nMOafeFx77a2S49yhNB3gT3pR%2BlSEELZh6yIN3Mfz8PqhgLylfTH6elZJCsnc2hWjnWd3Oh5vlvppmxz1EO4fU8qDqBin%2F5JKxHD4P2xkKc4ud6u6fObmhWFSQCMRzDyYDnVPqa5Kpf%2FkKXRJZLb0lbeVw%2FGEpeopklfU6UvBkiUKnmjWBvOWN4VBiWVY%2FufQR4%2FgAOIQFM1UuCSh3zKZHIwydnXxcGUFkRGpFOdRl0AOytPpyxpQ2Yh%2Farthfbk%2BvIRlH%2BD5i4e0E%2BLQxNycPGtqETv1%2BCrDWodqg9sTJwmiRP9B4bxwv8tBcPySwgwUiNcNVENfy6Ucx%2BH8gR%2BiRHdqvjDMY1JxRjJ9St2r0nuUe6CUiLm4CxJUZo0s8XtCeVoAg6oX4D%2BRCbHX692OfGAGGUZ3kUbpkuT3EOQ6MfiHxeaw6p449uyiLMZrptrXnc0JR8dzRQz0ykuVOhPmvWNGhAA00PCSBVr8Q85mjuBWkmNc3fYKUPpuf5MhPKNv37IBaxi8Ah4IlT35RJnLiZSLxIFEr8yx0Cppmj8aba3cn7AabkqxhztzuzGEs4O7k7bcAX1wSQSzFx9D1X82eX9jUmmGThWzDCViZvQ0%2BAYogqud1If%2FHk8HsLO%2FJOcpPQAb2FvKBxnwJyQWG2c6iWvyP8mHwcrQp5ORjyJR9Y5UzfTfeRBAWpblfy44Y3U2p4Sn%2BPm%2Bq3TzE%2FvNF78L%2FWVFxm71ZdxucpFICI%2F5GTukEssYKcdR4NySWET%2Bzv1DvYz4pq%2FoRAw6U8klo4dSCp1lE%3D,20,0,1,0,0,#1208611850,Goldenultra,Ws-887,3 W,NA, ,NA,NA,NA,NA,NA,NA,NA, , ,NA,NA,NA,NA,NA,NA,Pele
9, Caixinha Som Potente 80w Bluetooth Caixa Amplificada Mondial ,207,NA,"
			
				Novo
			
			
				
					 - 
				
				705
				vendidos
			
		",(45 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1732
		
		 sem juros
		
	

	
		",32,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,24,https://perfil.mercadolivre.com.br/ENCOMENDAMAIS-SP,https://produto.mercadolivre.com.br/MLB-1147417505-caixinha-som-potente-80w-bluetooth-caixa-amplificada-mondial-_JM,19,3,2,0,0,#1147417505,Mondial,MCO-07,80 W,Subwoofer,Subwoofer,Alça para Transporte,Caixa,Digial,NA,NA,Thunder VII,MCO-07,Bivolt,NA,NA,NA,NA,NA,NA,NA,NA
10, Caixa De Som Jbl Boombox Bluetooth Preto Original Full ,1848,NA,"
			
				Novo
			
			
				
					 - 
				
				163
				vendidos
			
		",(13 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 15408
		
		 sem juros
		
	

	
		",08,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,97,https://perfil.mercadolivre.com.br/STOCKCARNET,https://produto.mercadolivre.com.br/MLB-986918342-caixa-de-som-jbl-boombox-bluetooth-preto-original-full-_JM,86,5,1,2,3,#986918342,JBL,Boombox,60 W,Subwoofer,Subwoofer,De piso,Caixa,5.1,NA,NA,caixas portatil,NA,Bivolt,NA,NA,NA,NA,NA,NA,NA,Preto
11, Caixa De Som Portátil Bluetooth Amplificada Microfone Grátis ,199,NA,"
			
				Novo
			
			
				
					 - 
				
				428
				vendidos
			
		",(30 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1667
		
		 sem juros
		
	

	
		",67,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,180,https://perfil.mercadolivre.com.br/123INBOX,https://produto.mercadolivre.com.br/MLB-1097032335-caixa-de-som-portatil-bluetooth-amplificada-microfone-gratis-_JM,128,27,15,6,4,#1097032335,Briwax,FBX-103,25 W,Subwoofer,AMPLIFICADO,"Festas em Geral, Praia, Sítios, Eventos, Conexões com Vilão",Torre,5.1 - Bluetooth,NA,2.4 kg,NA,NA,NA,Entrada para Microfone P2 e P10,NA,NA,NA,NA,NA,NA,NA
12, Caixa Som Musica Caixinha Smartphone Android Bluetooth ,699,NA,"
			
				Novo
			
			
				
					 - 
				
				801
				vendidos
			
		",(21 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 5833
		
		 sem juros
		
	

	
		",33,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,71,https://perfil.mercadolivre.com.br/SANBOX-BR,https://produto.mercadolivre.com.br/MLB-919482965-caixa-de-som-amplificada-bluetooth-2000w-fortress-sumay-_JM,63,2,3,0,3,#919482965,JBL,Caixa Amplificada Bluetooh,200 W,NA,Ativo,NA,Caixa,NA,01,7 kg,NA,Torre,110/220v,USB,NA,NA,NA,NA,NA,NA,NA
13, Caixa De Som Amplificada Bluetooth 2000w Fortress Sumay ,164,NA,"
			
				Novo
			
			
				
					 - 
				
				1018
				vendidos
			
		",(3 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1572
		
		 sem juros
		
	

	
		",72,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,154,https://perfil.mercadolivre.com.br/A7NOVIDADES,https://produto.mercadolivre.com.br/MLB-1139499740-caixa-de-som-bluetooth-amplificada-portatil-bateria-usb-nfe-_JM,113,23,8,7,3,#1139499740,Infokit,VC-M883BT,12 W,Woofer,Woofer,"Sala, Quarto, Festas, Eventos, Sítio, Praia",Torre,5.1,3,NA,Bluetooth,NA,NA,Entrada para Microfone,80 dB,NA,NA,NA,NA,NA,NA
14, Caixa De Som Bluetooth Amplificada Portátil Bateria Usb +nfe ,39,NA,"
			
				Novo
			
			
				
					 - 
				
				1355
				vendidos
			
		",(6 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 731
		
		 sem juros
		
	

	
		",31,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,75,https://perfil.mercadolivre.com.br/ACME+ELETRONICOS,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=soTo8XsZdC4r3JEM2j1UjzK2UGhnq3dW1M29J2n3VgK1%2Bez%2B%2FjODuDh36eNryLEtJhun8F8uLwz6pbmzhrLiCOPmwov5fsEkIa%2FrRvt25rbsA6e3eLQLQKbs4zc%2FFCczxeVVoXR7Kamr3L4qoxhDsTQ4EZlvT9zlT86LtO3THIytrxTj2qrSLvBGE%2F0EoQHQP%2F1G1TVfVM2KJQY%2FBtO1J4e6xfAlaWhH4admnEKEAB4HT1Ts%2BIqwuH0GQ7a45OMao47U0Ot%2BUlNtGGAYIhP93MNXVogbWHioLvVKERrnugxYz5mslThRVyJngY4ygjoEMwczGEZC1NiAYIzFp%2BU0JZ6lhN5KPqHG%2FcaUjuuhQXaR3jUxhic7g8QZa5KVLaEIbHwK6tLVtZPIwEgPBfqRE23REH%2BLiG0BE6NQu8hMaB4q9mPLchjg6wAA99QHvk1f9HQqRyJHl7xOdxmvMBuLF%2Frl5nWu5WgcCAuVVsXiContiPdSwVbEXU7cGgszGR2aUEVRQOhpi%2Fs6spifWu3WtYfO1w1TU1aDh6DUfhzDlEqx7Dply%2Bb8BrpL3QA%2FN7X2p3uIu728BP9rBTqtfTFRapqIXPhUbkecCYfGt6NDzbIEXWPfCoacfQuxRsc5T8aS%2FEyaN7rdklObVzWu7AyCizYHQxMqLBvj7PQ4lz8AgYz1Ssbx10BL6er3at2AnNIW9gOFsC32W2RewsPi0yoZxb67l21OHJR2y7JSECMndT6Oph%2BQsGJibi0HKOQXWlJDUwAiUOUqk4lSMDLNvbfxYJziGGhc6sejjWZCArjvk6RSwME90kEBIlfoHX%2FZsyL%2FQBQwgXs4TjAlyfcMY9I7tSL0Osgc4PF7I0x%2F%2Fi%2F3nEWSNPspiNUxJWqQoJ3V3szLdKxO0xM12Vidv6kBAsxoJWBjCBFw80XC9J6wz4%2FH1zEpCZu32OrNSkqAopg1XAfT4OeB4g%2FADKA9NQyZ9FnkKZE3zApFdsYrCP5eahefcL3wnly3r3MdVr8zbC6Wc6d7bodqNsE42kTLvXkoSop5l0UkPzovaFDmAsIL9MLfYO2l%2BEMvrgvMx9xPHCxvzUQFbEBd3%2FgUBt9Bx8qQhgFo25JEYP%2BYygnQxILhiAojJuPrZLdvsdSvZc4qEfBXXRI%2FvBpdWaJnXq%2BDcmaa0zpB5830jHZq7haNW9p1k44qilkggJ%2FD1RzJW3cL%2FQTvmnh4RUa%2BfpPBAoVDJQtLHFOY%2BNLyiO9XrnVc2EOV%2ByWyoihFMMDMOAaQ1ibTmCA7vYCCISwHwKjZMYjquKHEk54O8l8C7IBC7a58s3gFrqaorF1bWevTcI5Xv47KYIIKTWvbovQ3ieTd31YAp%2FBmybq5JUzdZyHlzB7lHrn6Bu2u%2B5lJ6qTtBwMLbUmmr72LMgm7hbr8dg0cRthqj6IzmgP4jAtNfJztFTEKGmrt4dKu6JD0vlO95iJCm%2B4UPyKwK%2BQHOX10auemF3hzv%2FDAHK09tGPHGMDdiLom7AGyUvBdYw0U%2FAp8yPtRT0b8xYu7ltOjcTxFjRhUCWsIelXhM0xfQamd5OAZWeBHpEUedP4h6U8GL53R7py9y2YVlzkLPLMb5mEFl4XPWwBardc56H%2F7qHeobizz3DzXCSG3wl2bxxK5s27%2FtWMMHw%3D%3D,65,9,1,0,0,#910970810,Wireless Speaker,HF-Q3,5 W,Woofer,Ativo/Passivo,Mesa,Caixa,2.1,1,480 g,Portátil,HF-Q3,5V,USB,NA,9.5 cm,9.5 cm,10.8 cm,NA,NA,NA
15, Caixa De Som Speaker Google Home Mini Wi-fi Vitrine ,174,NA,"
			
				Novo
			
			
				
					 - 
				
				739
				vendidos
			
		",(100 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1458
		
		 sem juros
		
	

	
		",58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,27,https://perfil.mercadolivre.com.br/CLICOU_TELECOM,https://produto.mercadolivre.com.br/MLB-1137932763-caixa-de-som-speaker-google-home-mini-wi-fi-vitrine-_JM,20,5,1,0,1,#1137932763,Google Home Mini,Google Home Mini,3 W,"Caixa de som, Speaker, Assistente Pessoal","Caixa de som, Speaker","Mesa, escritorio, sala, quarto",Caixa,5.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16, Caixa Som Bluetooth Portátil Amplificada Torre Fm Sd Mp3 Usb ,32,NA,"
			
				Novo
			
			
				
					 - 
				
				985
				vendidos
			
		",(3 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 610
		
		 sem juros
		
	

	
		",10,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,34,https://perfil.mercadolivre.com.br/MEGA+EXOPLANET.SHOP,https://produto.mercadolivre.com.br/MLB-1174117073-caixa-som-bluetooth-portatil-amplificada-torre-fm-sd-mp3-usb-_JM,31,2,1,0,0,#1174117073,Goldenultra,GT-515bt,10 W,Subwoofer,Subwoofer,Portátil,Redondos,2.1,2,NA,BLUETOOTH,GT-515bt,NA,USB,80 dB,NA,NA,NA,15000 Hz,150 Hz,NA
17, Caixa De Som Jbl Boombox Original 1 Ano De Garantia Com Nf ,1899,NA,"
			
			
				
				248
				vendidos
			
		",(154 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 15825
		
		 sem juros
		
	

	
		",25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,530,https://perfil.mercadolivre.com.br/DIRETOCOMVOCE?brandId=1328,https://produto.mercadolivre.com.br/MLB-1001522471-caixa-de-som-jbl-boombox-original-1-ano-de-garantia-com-nf-_JM,417,44,19,21,29,#1001522471,JBL,Boombox,60 W,Não se aplica,Portátil,Não se aplica,Não se aplica,não se aplica,2,5.25 kg,Caixa Portátil,NA,Bivolt, ,80 dB,NA,NA,NA,20 kHz,20 Hz,NA
18, Caixa Som Bluetooth Amplificada Torre Mp3 Fm Usb Sd Pc 500w ,28,NA,"
			
				Novo
			
			
				
					 - 
				
				977
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		5x 
		
			
				R$ 633
		
		 sem juros
		
	

	
		",33,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,54,https://perfil.mercadolivre.com.br/TROPARDI+ELETRO,https://produto.mercadolivre.com.br/MLB-1175494618-caixa-som-bluetooth-portatil-radio-fm-mp3-usb-p2-aux-sd-300w-_JM,46,2,3,2,1,#1175494618,Goldenultra,GT-356BT,8 W,NA, Portátil,NA,Caixa,NA,NA,NA,NA,NA,Bivolt,"USB,Leitor SD,Auxiliar,P2",NA,NA,NA,NA,NA,NA,NA
19, Caixa Som Bluetooth Portátil Rádio Fm Mp3 Usb P2 Aux Sd 300w ,39,NA,"
			
				Novo
			
			
				
					 - 
				
				1355
				vendidos
			
		",(6 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 731
		
		 sem juros
		
	

	
		",31,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,75,https://perfil.mercadolivre.com.br/ACME+ELETRONICOS,https://produto.mercadolivre.com.br/MLB-910970810-caixa-som-musica-caixinha-smartphone-android-bluetooth-_JM,65,9,1,0,0,#910970810,Wireless Speaker,HF-Q3,5 W,Woofer,Ativo/Passivo,Mesa,Caixa,2.1,1,480 g,Portátil,HF-Q3,5V,USB,NA,9.5 cm,9.5 cm,10.8 cm,NA,NA,NA
20, Caixa Som Musica Caixinha Smartphone Android Bluetooth ,36,NA,"
			
				Novo
			
			
				
					 - 
				
				639
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 684
		
		 sem juros
		
	

	
		",84,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,19,https://perfil.mercadolivre.com.br/MAGAZINE+NOBREAK,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=%2FIgmU0FVqSEfmjksbtDk0qsCQPh3faKXcY%2FeVfeO%2Fwgo9yc3GmwFZ%2FBRllLu3hYcipZbEF%2B8fTRR2TBYEqenvhypts3%2BxDLyC1wcrJ4NZaqLDPF4plJy10yN5FZh6gobqFzmZX1c6l9bp0iB0z%2Fo3lYSHGVf1nqVCM1Z2eHjGsgXVEN9DsTpqpaGcnE2e1IAhKclX2IQ3qqaSbxXTrMmbkgy4RcE2toL55BeFNsfKmzDA4j2WRHzczlXgtneFonoQ69EsIL3qHAol5iRZ7IP7OCQrQDZQiPNj5PPKWt2LxbKpZtQ0wS442la2UTx1W%2FmQiRCg7wizdFu5FKJgdZ7Twx7OD73uEdMdROb%2FAI7v3rn3LfvCqhdTxHX6btLT9pggHdswKlghKS5OpkARToqlfz0dqHj4GcuK4XDrpLWY1gvfdM8kctCwgSwlzCal9W%2FwI7WNdJwLn%2BjO9cnoqSYqRI5s5%2FHc2WQPXLAb8aYRyMubTy0p840fWrXqU%2BpoarRJpUeo%2FygzB6Ru2RIj3lkqF%2BgrXWK0xXe%2BxbyjIelL7ZQU1%2FduyaNflPdUL4u90cfpeR6x7Es6sesnl1d2CIF33MzoxNqJRXdh%2F1YIAPkwiS9%2BI8HI%2B5p3sMgO%2BVhjqQnnge6DROElrXwCd02c%2FhFat7R%2FMwvz6l8wVV2LF0cTxA06Z8BL9BxnVzaCAk7qDcDmWhrNXw3fHJRrqUr2KYIA04eelxdWv1RgEPZzYoxdTuhnD%2BnHWaAMgJaFYtDDUAyannGQa%2FmmxVXVZWYj8hGhh0D6LZJhe12o6UQ3gQ%2BTYEhtOwn3IUjVZUWeZ4N9zufckE9h%2BXpIoDr9DcsI4Kgwhtdo6xkbk5uXYxpb4SX50l5GoAYmj0RDMgcbZpENrBV%2BLr0nR1X96qGKjq85WfICZjv%2FrmlbeI6GBUURg10T8IiQbgNl%2FmFDaoyInJpWqH3KtekzOPPlQJXDewY2F25mGaCsCnb8JP3Itz4md19WRxmD5JfYkw%2F4gMvBA6mvVx%2Fecv1VwNpbDrlnSWiIqyB49%2FKMYbCU%2BaKnuh61LHBiQnpnzyZQoClM8cpLfSwWfVVp1RIXmeUMMpeBgLzXXRXm12WCCMkosbnxJDI8uNz8g99SXeK4fm%2FB3d0Pp843womqNVd%2BumNf1jlp7fTAszBPQav526%2B4Vd1DVTPzyZcL9W8e3JKJ7lffa98hwzNc%2B6jhpE8gP2NLOJkxyPXuXcH3RZJI9tiEWyKPIVv7RhkwVVQ6s05TTh60JwMezins6HEuO7jutZfcJ3jqEu52%2B8sE50MpgKkUxPB2QbKqHNRS6BHX0%2FfcnqPI5WSwC3aHWq9hXSptQ2g0ancm8NRuPk%2F51pm2q0NTNSOXSMXie3KCdSrspX0UhyblFbhH2%2BmuHAue3LZ09fVcXl%2FQFm4TPpxyV2kSLihpLjMvW9YwXlsjhJtSd8e4iEYXk6dOdIBdojAN6iKrbJqxFc98tEcMB7cNdtw6hAfUV%2Fsh91DxABHDbA9foGh5yLSD1JPAtkec3UTmDTIWHvB21cwNH49xiTMaY7fWjONIP3Jzv6KssNwgCfWY%2FeetHbHtKKX8DKe7jN%2BeytVECnS9008Op6NYWxaqXD1qrOAchd4NH%2FjIXUtNK2bKLSplnWlAeiJMmLk24A%3D,14,0,1,2,2,#1190350399,Goldenultra,Torre,10 W,NA,Ativo/Passivo,NA,Caixa,NA,NA,NA,Caixa de Som,NA,Bivolt,USB,NA,NA,NA,NA,NA,NA,NA
21, Caixa Som Amplificada Monster Bluetooth Portátil Mp3 Fm Usb ,41,NA,"
			
				Novo
			
			
				
					 - 
				
				1000
				vendidos
			
		",(3 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 777
		
		 sem juros
		
	

	
		",77,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,46,https://perfil.mercadolivre.com.br/MEGA+EXOPLANET.SHOP,https://produto.mercadolivre.com.br/MLB-1178641438-caixa-som-amplificada-monster-bluetooth-portatil-mp3-fm-usb-_JM,39,2,1,0,4,#1178641438,Goldenultra,JBK-409,5 W,Subwoofer,Subwoofer,Portátil,Redondos,2.1,NA,NA,NA,NA,NA,"USB, Leitor SD, FM, Entrada para Auriculares",NA,NA,NA,NA,NA,NA,NA
22, Caixa De Som Bluetooth Amplificada Com Microfone Mp3 Usb ,189,NA,"
			
				Novo
			
			
				
					 - 
				
				834
				vendidos
			
		",(10 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1582
		
		 sem juros
		
	

	
		",82,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,180,https://perfil.mercadolivre.com.br/123INBOX,https://produto.mercadolivre.com.br/MLB-1097049569-caixa-de-som-bluetooth-amplificada-com-microfone-mp3-usb-_JM,128,27,15,6,4,#1097049569,Briwax,FBX-103,25 W,Subwoofer,Subwoofer Embutido,"Festas em Geral, Praia, Sítios, Eventos Diversos",Torre,BLUETOOTH,NA,NA,NA,NA,NA,"Entrada para Microfone P2 e P10, USB",NA,NA,NA,NA,NA,NA,NA
