search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Materiales del interior,Materiales del exterior,Edad,Género,Tipo de visor,Línea,Modelo alfanumérico,Usos recomendados,Peso
1, Casco Moto Hawk Zx7 Mx Cross Enduro Negro Mate Oficial ,5995,NA,"
			
			
				
				1
				vendido
			
		",(10 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/HAWK+HELMETS?brandId=1746,https://articulo.mercadolibre.com.ar/MLA-796287611-casco-moto-hawk-zx7-mx-cross-enduro-negro-mate-oficial-_JM?searchVariation=39610166914,NA,NA,NA,NA,NA,#796287611,NERO M,,Hawk,ZX7,Cross,Frontura Hipoalergenico,ABS,Adultos,Unisex,NA,NA,NA,NA,NA
2, Casco Moto Hawk Rs1 Integral Negro Mate Tienda Oficial Full ,2645,NA,"
			
			
				
				375
				vendidos
			
		",(27 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,319,https://perfil.mercadolibre.com.ar/HAWK+HELMETS?brandId=1746,https://articulo.mercadolibre.com.ar/MLA-777255941-casco-moto-hawk-rs1-integral-negro-mate-tienda-oficial-full-_JM?searchVariation=34759668377,214,67,32,4,1,#777255941,Negro mate,,Hawk,RS1,Integral,Cuero sintético,ABS,Adultos,Unisex,Simple,NA,NA,NA,NA
3, Casco Moto Integral Vertigo Max. En Gravedadx ,799,949,"
			
				Nuevo
			
			
				
					 - 
				
				824
				vendidos
			
		",(22 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,50,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-683109534-casco-moto-integral-vertigo-max-en-gravedadx-_JM?searchVariation=35477314599,35,9,6,0,0,#683109534,Negro,"S (56 cm),M - 58 cm,XL (62 cm)",Vértigo,Vertigo Max,Integral,Set Poliester,ABS,Adultos,Unisex,Simple,Vértigo,NA,NA,NA
4, Casco Moto Integral Vertigo Dominium. En Gravedadx ,2399,2699,"
			
				Nuevo
			
			
				
					 - 
				
				874
				vendidos
			
		",(27 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,217,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-698754581-casco-moto-integral-vertigo-dominium-en-gravedadx-_JM?searchVariation=32109894632,134,54,20,3,5,#698754581,Amarillo fluo,"XL (62 cm),XS (54 cm),L (60 cm),M - 58 cm,S (56 cm)",Vértigo,DOMINIUM,Integral,Set Poliester,ABS,Adultos,Unisex,Simple,Vértigo,NA,NA,NA
5, Casco Motos Integral Halcon H57 + Cuello + Guantes Sti Full ,1546,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2287
				vendidos
			
		",(10 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,305,https://perfil.mercadolibre.com.ar/STIMOTOS2008,https://articulo.mercadolibre.com.ar/MLA-616668706-casco-motos-integral-halcon-h57-cuello-guantes-sti-full-_JM?searchVariation=32288304731,192,67,32,12,2,#616668706,,"S,L,XL",Halcon,H57,Integral,NA,Policarbonato,Adultos,Unisex,Simple,Integral,H57,NA,NA
6, Casco Rebatible Hawk Rs5 Flipup Negro Envios Gratis Al Pais ,2999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1008
				vendidos
			
		",(4 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,879,https://perfil.mercadolibre.com.ar/ANTARES-MOTOS,https://articulo.mercadolibre.com.ar/MLA-639034451-casco-rebatible-hawk-rs5-flipup-negro-envios-gratis-al-pais-_JM?searchVariation=27160362786,557,236,57,14,15,#639034451,Negro - Brillo,"S 56cm,L 60cm,M - 58 cm,XL 62cm",Hawk,RS5,Rebatible,NA,Acrilico,Adultos,Unisex,Simple,Rs5 Rebatible,NA,Urbana,NA
7, Casco Moto Integral Vertigo Hk7 Mate. En Gravedadx ,2899,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1416
				vendidos
			
		",(14 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,217,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-673895784-casco-moto-integral-vertigo-hk7-mate-en-gravedadx-_JM?searchVariation=25749397824,134,54,20,3,5,#673895784,"Azul,Gris oscuro,Naranja,Rojo Flúo,Violeta","XL (62 cm),S (56 cm),L (60 cm),M - 58 cm,XS (54 cm)",Vértigo,HK7,Integral,Set Poliester,ABS,Adultos,Unisex,Simple,Vértigo,NA,NA,NA
8, Casco Moto Hawk Zx7 Mx Cross Enduro Negro Mate Oficial ,5995,NA,"
			
			
				
				1
				vendido
			
		",(10 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/HAWK+HELMETS?brandId=1746,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=7YaxC49bvilnof4I%2BVqD6Hh4EtUMqwv%2FH8Ul8hGhHwsEtD9GmFf0Tg36%2Fow433A7rQNyFk7S0Qj64PXyxTcLqtji%2BKPwvNuolOZgd9kqDEl41KveAYYiOVdyBc1IdBRQhpTzBeaI%2FIJfGsS1LorCcM4PC4Kw7ScNl5S2yxV7oMtg%2F30T9kkSjtWg8PDu7%2Bz6oAHBlc4i2%2BlbUDft4uS%2FcNukMYlyHXi1oozWRsMD%2BXfrdGuNU%2BIpCayIRHw9tDwqJitpXfcYw%2Ba%2BQC%2FfoRn3NskGP5cpyEA4ghBoz5AOmFdsQArPlo8OO1c1VflnR%2BM0EERjF1MwJbVHPfwWdWmexFw118OVXRs55Pbmf7MemPKJRv%2BzhZ89CVVIafIyGoN6twP0w5peji3AZfTI%2B%2FOCeIxzawXf1Xczu4xxcI14LxFpNRl1DOe1ZEEyozBa%2BbPmYMhcrcSZM5qw9OalxXNNYxvkyG0VIqecuakH7BlP8snHJgQiJjJFLJpKn7IRrEqXVOWTTrMDU9CqB85EMxnw2CGrNo7pC%2FOqWyr4PKtO0a4kBxFuw%2Fxj8MJVCtKB4BWl%2B1xwBSdxdh2vTnvjwpOCJ0Wd7XP%2FbCAOu04quZBGxLKxrQDg2RCYh%2B5bBWm5sKX1iimvm5tJFxe7yCHzWIRRrGyCMe0XciMpgT%2BjTcQlO0F7HBu9WeM2iM51L7HOpDMSuZhsVCDC7aatsxYqQ0YXvpEWtJDufyQBymzWHNlCixg5lBxViz4I7LnOaECSCAeZigpU8gmICyIrXdeUN79d9wLdTNMRHirfL%2BQHktjwEGyaVVYQa2xA8RG0JsaR2Shif2auRPQDYn8iph58X8nvE8svsypmvwGwZpUrBywVQoSkWyAxYQitKSqEMnAAHPVg5ugVfQMSIaib2EQybUWtT7x2LJkVHUG9QIQ9jPdRxV3q7zZf1esU8oBATL1JN4RRST8DF%2B9fyQyJ%2F8ISpVqRmtQfdcndrhThKDms6Dvm02ATQu1jIdfJvo8kIpOAlQOb7d0ZrlZlNvotQg2vGtnPkuTkuifcWzvlHvlIt%2BnnmnQg3AxrLVZ5wW9XYJmE66FGeLyKKmx3fKWOUQNm0k0r40FwaieBSibK6kjyecsUp9NCdFakzmaHNj7Qd%2BM%2FSCRXU4u5WBcNy3MlEHtxEDdVW91%2BBoqHS62v5z9bxAXh7g7gLR7SS9h5AXGqv5%2BFME%2FhkqHgD8RGKxJMKVzKCcF%2FYxad7XIynjzZ7Q4uXJ0F6R7WdVe3Vda0%2BPpKJlnn6uSzw5Gum%2FoaHIbk6Kd9Izaaa3V9NDmVGdF%2F31o%2BLjAkf%2FQHWR2c6qam6IEbGIemgsplTNSwy7W5K1GYqxIvRXuScXUupaf570POAxldceryv9AFnsVCkyaRCHWM5WAtQhG%2FC0meiE%2BgWAJPt1O8QMGtzu7DQrk8d8DI3i4qJ4OXCMet6oQDEPR%2Bgnf%2F1naDbU3zYOEGCBmDU8%2BZo7p6Y49wgEvmSs%2FGp2RJoV784D2%2B3SRF92Sb3NaFC1qklxGp2ABGT2A%2B8IrMAlExtA6IN6ojRS1WZ60YEtHrUv%2B1kfhfciMbJq5Zb20LpdL68pr%2BMFTU5t5ajDAwmaDNoJ814n%2Bl9edGuoEy7TOAfKzRMX7W%2FTonYdyamr8ljX82w%2B539dY7T0bv4kij3ZT24bLyv4BOwxVCA0S8SwVkFoFpBwTgXjGPRDr4JcvZbTb4ZxceiSgdGAO5SgcOwy%2FW%2BQu3QkPFntZUXjtKzRUI3lNvuOW8VTUqopGQKq5C2REtYQTwBgViP8x2DvtQcinfSagrH5%2BJtunwoKLtNDiAuyOINukDueiBGkDTzKxGHT%2BcFOTvSPd4Ra2r8jTyQ%2B4fDA%3D%3D,NA,NA,NA,NA,NA,#796287611,NERO M,,Hawk,ZX7,Cross,Frontura Hipoalergenico,ABS,Adultos,Unisex,NA,NA,NA,NA,NA
9, Casco Moto Abierto Vertigo Vintage Maya. En Gravedadx ,2225,NA,"
			
				Nuevo
			
			
				
					 - 
				
				790
				vendidos
			
		",(28 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,106,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-674080413-casco-moto-abierto-vertigo-vintage-maya-en-gravedadx-_JM?searchVariation=35477292242,70,28,2,2,3,#674080413,Negro,"S (56 cm),XS (54 cm),M - 58 cm,L (60 cm)",Vértigo,Vintage Maya,Abierto,Micro Fibra,Termoplástico,Adultos,Unisex,NA,Vértigo,NA,NA,NA
10, Kit Casco Cross H5 Mx Road + Antiparra + Guantes Sti Motos ,2365,NA,"
			
				Nuevo
			
			
				
					 - 
				
				693
				vendidos
			
		",(3622 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,103,https://perfil.mercadolibre.com.ar/STIMOTOS2008,https://articulo.mercadolibre.com.ar/MLA-745949532-kit-casco-cross-h5-mx-road-antiparra-guantes-sti-motos-_JM?searchVariation=41519443921,66,21,14,1,1,#745949532,,"S,M,L,XL",Halcon,MX Road,Cross,NA,Polipropileno,Adultos,Unisex,NA,Cross,NA,NA,NA
