search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca da Capa,Marca de Celular,Modelo de Celular,Modelo da Capa,Tipo de capa,Material
11, Capinha Silicone Aveludado iPhone 8 Plus Verde Agua ,15,NA,"
			
				Novo
			
			
				
					 - 
				
				237
				vendidos
			
		",(20 disponíveis),"
	
		
			
		

		3x 
		
			
				R$ 533

			 sem juros
			
		
	


	
		",33,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,5.0,2,https://perfil.mercadolivre.com.br/TECMODENA,https://produto.mercadolivre.com.br/MLB-1056485759-capa-anti-impacto-p-iphone-5-6-7-8-10-x-xs-xr-pel-gel-_JM?searchVariation=26828676463,NA,NA,NA,NA,NA,#1056485759,H+,Apple,Escolher no anúncio.,TPU,capinha de silicone,Silicone
12, Capinha Anti Impacto Queda iPhone 5 5s Se 6 6s 7 8 Plus X 10 ,10,NA,"
			
				Novo
			
			
				
					 - 
				
				125
				vendidos
			
		",(17 disponíveis),"
	
		
			
		

		2x 
		
			
				R$ 550

			 sem juros
			
		
	


	
		",50,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,4.0,1,https://perfil.mercadolivre.com.br/TECMODENA,https://produto.mercadolivre.com.br/MLB-1230329082-capa-anti-impacto-p-iphone-6-7-8-10-x-xs-xr-pelicula-vidro-_JM?searchVariation=37033346817,NA,NA,NA,NA,NA,#1230329082,HR,Apple,Escolher no anúncio.,TPU,Capinha,Silicone
13, Capinha Capa Case Silicone iPhone 6/6s 7 8 Plus C/logo Apple ,12,NA,"
			
				Novo
			
			
				
					 - 
				
				555
				vendidos
			
		",(4358 disponíveis),"
	
		
			
		

		2x 
		
			
				R$ 655

			 sem juros
			
		
	


	
		",55,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,4.1,13,https://perfil.mercadolivre.com.br/CORONITASCOMERCIOLTDA,https://produto.mercadolivre.com.br/MLB-734555290-capinha-iphone-7-8-x-xr-xs-max-case-ultra-fina-transparente-_JM?searchVariation=28225276339,7,3,1,1,1,#734555290,Apple,Apple,iPhone 8,Silicone Flexível,Flexível,Silicone
14, Capinha Capa Case Silicone iPhone 7 Plus 8 Plus Lacrada ,28,NA,"
			
				Novo
			
			
				
					 - 
				
				4
				vendidos
			
		",(967 disponíveis),"
	
		
			
		

		5x 
		
			
				R$ 580

			 sem juros
			
		
	


	
		",80,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/GLOBALELETRONICOSEIRELI,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=6W1Gb9OGwgL%2F6vegzITVx%2BbhDgBPoA%2FnlzISWQkPIieULtPiwqmt4Te%2BS3fBXL677vsBAXmIgLQ4HTbX7TnzVUQdeL8HUcCIJ9JADBuRw%2Fh3VhVmOIeyu61mT8XSTcWhgnczpO8MtOHt5%2Ba0gSPR7niJ2dA2NiJstx2ckPUvNc%2BOlO3m3fQcAEqqmxOVjE3KrGBhfI9tZu3z3DydCyy0w7M0fyyKfL67eEgq6zhwa3L8TfUA%2B6Fn28uEzYJaKUkQsYldMi4kBy8YL6Ru5KtqQvTRFFmHdZCPowRDXqckjyAn3%2FG37h6VUIvPlxWCDvHBrxnIQ8tXXdpY0P6z%2BVbpfTdfmTLFc%2Fs3qo824HYzqXCEHHd3hbdqedTKBldK7adfFex6c6382LOpw3O%2FeSnMLt%2FRQSdt1IUCikJk7oyac22qWCYdjyUaew%2FYN2IKkrZ8wpnWeRqmc9unruwtbHS2lAJkI3910eQAxUk49JRz1sBu8Qobt2duCD3y1C7Y0wzhnF2LTdDikCcFAkI%2BS%2FdoYxUnbdpEduREadiZvHlMzdoamuEgZrdatrP3pZDz8LtkZAHT231ioxCoUTet80ZJOLsL3RFdtXlfNtnAiuXQctOizmveXG7UMi8N41%2Br3ZjO5w0YQPZg7zZAt0AYheUbe0P6IlAX2BLjxDeYjUEiU3u7TFtZws%2FUwiJ2eahf1o%2FrjDc3qDom6xFoj0LwE7Vj8Y7Gzd5JGlBzh%2FZSvkdZOUsGwskERqOGgICNwju4m6XWLjchvhSFqNzIuTkyq0%2BQHuSparoeIQpvKzUPFFuCc4F18OFh50lx4yITrgLUNAFYCaj0ZVh8%2FIT8Q%2BUifEkW5E3t3DBQzPZb3u%2FSP1kyesyCgdtVAjyZ72MEq5mHCEKkfWNzuZqlwtuerz5f0LQqwrkTcbiCoDr9TAij8dQJrHUI37HAB0GRYZHbVWdux%2BmLzYUSuY%2FKHU%2B6m8JogIob9G4au5u%2FaNWzmZfRo5jj06uRpLRyiaFr0aWRYoJABZJHRJH7zQowX8uaMOcknUkArJcQHAsC%2FO%2BQDUdiFggWaeYBxaLRmQQ2kP80GcCCLotv0UtYCp%2BXFWLIt5dtdZvNuCiTr9LKhP4P%2F4YQmQYaxkj1%2BB80kJW9EE1cl7Q508XwugphMRQiTcq3TBaD4gRUWlEMHN6dB08x2HAQfCZYoaUXQfVFE92SCtuerRHv1Fxq5Rj7yhFm5K1pzSifCJMJW%2Fu9uvbEOlVUb7ynpF8EA5twCbqX8y8pYcqrKktvT1AkAd7%2B6EWxbKuS%2FZGsP6QiyWxSLlgIrGDrhtixCr8yLoqRux9Aj%2FyHDbAqCU7o%2BMASQmehdTBEDN9fNCll6uz8cUEqnFJpy8eImNpx3ynG%2BEdZsJV7vq%2FQMD4pK%2F6IRTq9a%2FnM7MKchYiseuEQJDvUL1Cq8BGfjqvgZumnotpDPQVuJsW4Cj8o5uj8Drlz,NA,NA,NA,NA,NA,#1246926811,Apple,Apple,iphone7 iphone 8,iPhone,Apple Original,Silicone- Aveludada
15, Capa Anti Impacto P iPhone 6 7 8 10 X Xs Xr + Película Vidro ,44,NA,"
			
				Novo
			
			
				
					 - 
				
				27
				vendidos
			
		",(6 disponíveis),"
	
		
			
		

		10x 
		
			
				R$ 510

			 sem juros
			
		
	


	
		",10,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/ANTONIOROBERTOA2005,https://produto.mercadolivre.com.br/MLB-1172536042-capinha-magnetica-case-top-para-iphone-7-iphone-8-_JM?searchVariation=32465211249,NA,NA,NA,NA,NA,#1172536042,Chapolin Store,Apple,IPhone 7 e IPhone 8,Case Magnética,Magnética,Alumínio
16, Capinha Silicone Aveludado iPhone 8 Plus Amarelo ,14,NA,"
			
				Novo
			
			
				
					 - 
				
				2598
				vendidos
			
		",(288 disponíveis),"
	
		
			
		

		3x 
		
			
				R$ 508

			 sem juros
			
		
	


	
		",08,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,4.5,99,https://perfil.mercadolivre.com.br/CORONITASCOMERCIOLTDA,https://produto.mercadolivre.com.br/MLB-804273735-capinha-anti-queda-silicone-resistent-iphone-xs-7-8-plus-xr-_JM?searchVariation=25221276124,73,12,6,2,6,#804273735,Apple,Apple,iPhone 7 8 X XR XS XS Max,Anti Impacto,Anti Shock,Silicone
17, Capinha Maxima Proteção 3 Em 1 iPhone 5_5s_se_6_7_8_plus ,29,NA,"
			
				Novo
			
			
				
					 - 
				
				70
				vendidos
			
		",(430 disponíveis),"
	
		
			
		

		5x 
		
			
				R$ 580

			 sem juros
			
		
	


	
		",80,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,5.0,1,https://perfil.mercadolivre.com.br/REI_CELULAR,https://produto.mercadolivre.com.br/MLB-1165543047-capa-case-capinha-silicone-aveludado-iphone-8-preto-_JM,NA,NA,NA,NA,NA,#1165543047,Apple,Apple,Iphone 8,Iphone 8,Silicone,Silicone
18, Capinha Silicone Aveludado iPhone 8 Plus Rosa ,59,NA,"
			
				Novo
			
			
				
					 - 
				
				55
				vendidos
			
		",(495 disponíveis),"
	
		
			
		

		10x 
		
			
				R$ 599

			 sem juros
			
		
	


	
		",99,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,5.0,1,https://perfil.mercadolivre.com.br/L%C3%8DDER+STORE,https://produto.mercadolivre.com.br/MLB-1137307341-capinha-couro-iphone-6-6s-7-8-plus-x-xs-porta-cartoes-apple-_JM?searchVariation=30080973459,NA,NA,NA,NA,NA,#1137307341,Suteri,Apple,iPhone,NA,NA,Couro
19, Capinha Capa iPhone 7 8 Plus Anti-shock + Pelicula De Vidro ,8,NA,"
			
				Novo
			
			
				
					 - 
				
				58
				vendidos
			
		",(8 disponíveis),"
	
		
			
		

		1x 
		
			
				R$ 899

			 sem juros
			
		
	


	
		",99,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/TECMODENA,https://produto.mercadolivre.com.br/MLB-1222747558-capa-capinha-anti-impacto-iphone-5-6-6s-7-8-plus-x-xs-max-xr-_JM?searchVariation=36252714242,NA,NA,NA,NA,NA,#1222747558,HR,iPhone,Escolher no anúncio.,TPU,Capinha,Silicone
20, Capinha Maxima Proteção 3 Em 1 iPhone 5_5s_se_6_7_8_plus ,30,NA,"
			
				Novo
			
			
				
					 - 
				
				154
				vendidos
			
		",(10987 disponíveis),"
	
		
			
		

		6x 
		
			
				R$ 500

			 sem juros
			
		
	


	
		",00,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,5.0,1,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1197368219-capa-capinha-ultra-fina-fosca-iphone-5-6-7-8-plus-xs-xr-max-_JM?searchVariation=34356084379,NA,NA,NA,NA,NA,#1197368219,jk capas,iPhone,iphone,ultra fina fosca,capa protetor,TPU/Policarbonato
21, Capa Case Capinha Silicone Aveludado iPhone 8 Plus Branco ,30,NA,"
			
				Novo
			
			
				
					 - 
				
				23
				vendidos
			
		",(1093 disponíveis),"
	
		
			
		

		6x 
		
			
				R$ 500

			 sem juros
			
		
	


	
		",00,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,5.0,3,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1198709844-capa-capinha-ultra-fina-luxo-fosca-premium-iphone-8-tela-47-_JM,3,0,0,0,0,#1198709844,JK CAPAS,Apple,IPHONE 8 TELA 4.7,ULTRA FINA,ULTRA FINA,TPU/Policarbonato
22, Capinha Anti Queda Silicone iPhone X Xs Xr Max 5 6 7 8 Plus ,9,NA,"
			
				Novo
			
			
				
					 - 
				
				7
				vendidos
			
		",(9 disponíveis),"
	
		
			
		

		1x 
		
			
				R$ 999

			 sem juros
			
		
	


	
		",99,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/TECMODENA,https://produto.mercadolivre.com.br/MLB-1230666766-capa-capinha-fina-p-iphone-6-7-8-10-x-xs-xr-pelicula-vidro-_JM?searchVariation=37057646880,NA,NA,NA,NA,NA,#1230666766,H+,Apple,Escolher no anúncio. 5 6 6s 7 8 Plus X XS XR MAX,TPU,Capinha,Silicone
23, Capinha Capa Case iPhone 4 5 6 6s 7 8 X Plus +pelicula Vidro ,19,NA,"
			
				Novo
			
			
				
					 - 
				
				19
				vendidos
			
		",(15 disponíveis),"
	
		
			
		

		3x 
		
			
				R$ 666

			 sem juros
			
		
	


	
		",66,Envio para todo o país,NA,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/ALDAN+MIXVENDAS,https://produto.mercadolivre.com.br/MLB-1168804217-capinha-capa-iphone-7-8-plus-anti-shock-pelicula-de-vidro-_JM?searchVariation=32162425298,NA,NA,NA,NA,NA,#1168804217,Importada,iPhone,7 8 7 Plus 8 Plus,Anti-Impacto,Flexível Anti-impacto,Silicone
24, Capinha Ultra Fina Fosca iPhone 6 6s Plus 7 Plus 8 Luxo Capa ,14,NA,"
			
				Novo
			
			
				
					 - 
				
				20
				vendidos
			
		",(497 disponíveis),"
	
		
			
		

		2x 
		
			
				R$ 750

			 sem juros
			
		
	


	
		",50,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/STORECCS,https://produto.mercadolivre.com.br/MLB-1130081482-capinha-anti-queda-silicone-iphone-x-xs-xr-max-5-6-7-8-plus-_JM?searchVariation=29616456884,NA,NA,NA,NA,NA,#1130081482,Marketmix1,Apple,Iphone,Silicone,Anti impacto,Silicone
25, Capa Case Capinha Silicone Aveludado iPhone 8 Plus Preto ,28,NA,"
			
				Novo
			
			
				
					 - 
				
				19
				vendidos
			
		",(932 disponíveis),"
	
		
			
		

		5x 
		
			
				R$ 580

			 sem juros
			
		
	


	
		",80,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/GLOBALELETRONICOSEIRELI,https://produto.mercadolivre.com.br/MLB-1246923437-capinha-capa-case-silicone-iphone-7-plus-8-plus-lacrada-_JM,NA,NA,NA,NA,NA,#1246923437,Apple,Apple,iphone7 plus  iphone 8 plus,iPhone,Apple Original,Silicone- Aveludada
26, Capa Capinha Anti Impacto iPhone 5 6 6s 7 8 Plus X Xs Max Xr ,29,NA,"
			
				Novo
			
			
				
					 - 
				
				49
				vendidos
			
		",(295 disponíveis),"
	
		
			
		

		6x 
		
			
				R$ 553

			 sem juros
			
		
	


	
		",53,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,3.0,1,https://perfil.mercadolivre.com.br/FAVA+STORE,https://produto.mercadolivre.com.br/MLB-908244248-capinha-case-iphone-5s-se-6-6s-7-8-plus-x-frente-verso-360-_JM?searchVariation=31530911141,NA,NA,NA,NA,NA,#908244248,Protect 360° Case,Apple,iPhone,360,Frente e Verso,Acrílico
27, Capa Capinha iPhone 8 / 7 Caseology Skyfall Case Original ,17,NA,"
			
				Novo
			
			
				
					 - 
				
				2122
				vendidos
			
		",(3724 disponíveis),"
	
		
			
		

		3x 
		
			
				R$ 600

			 sem juros
			
		
	


	
		",00,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,4.6,95,https://perfil.mercadolivre.com.br/MARKETMIX1,https://produto.mercadolivre.com.br/MLB-686071680-capa-capinha-iphone-xs-x-xr-6-6s-7-8-plus-max-anti-impacto-_JM?searchVariation=20023563955,74,10,6,1,4,#686071680,Marketmix1,Apple,Iphone 5s/se/6/6s/7/Plus/X,Anti Impacto,Anti Impacto,Silicone
28, Capa Capinha iPhone Xs X Xr 6 6s 7 8 Plus Max Anti Impacto ,29,NA,"
			
				Novo
			
			
				
					 - 
				
				35
				vendidos
			
		",(465 disponíveis),"
	
		
			
		

		5x 
		
			
				R$ 580

			 sem juros
			
		
	


	
		",80,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/REI_CELULAR,https://produto.mercadolivre.com.br/MLB-1165536357-capinha-silicone-aveludado-iphone-8-plus-rosa-_JM,NA,NA,NA,NA,NA,#1165536357,Apple,Apple,Iphone 8 Plus,Iphone 8 Plus,Silicone,Silicone
29, Capa Anti Impacto P/ iPhone 5 6 7 8 10 X Xs Xr + Pel. Gel ,84,NA,"
			
				Novo
			
			
				
					 - 
				
				10
				vendidos
			
		",(1 disponíveis),"
	
		
			
		

		12x 
		
			
				R$ 812

			 sem juros
			
		
	


	
		",12,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/AZBUY,https://produto.mercadolivre.com.br/MLB-930593061-capinha-case-iphone-8-nillkin-pelicula-vidro-full-_JM,NA,NA,NA,NA,NA,#930593061,Nillkin,Apple,iPhone 8,Frosted (Slim),Back Cover,TPU/Policarbonato
30, Capinha iPhone 8 Plus Apple 5.5 Poleg. Silicone Case Lacrada ,49,NA,"
			
				Novo
			
			
				
					 - 
				
				16
				vendidos
			
		",(8880 disponíveis),"
	
		
			
		

		6x 
		
			
				R$ 833

			 sem juros
			
		
	


	
		",33,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1204440894-capa-capinha-360-anti-impacto-luxo-iphone-6-7-8-plus-x-xr-xs-_JM?searchVariation=34758789532,NA,NA,NA,NA,NA,#1204440894,gkk,Apple,iphone,capa 360,capa protetor,TPU/Policarbonato
31, Capa Capinha Ultra Fina Fosca iPhone 7 Tpu Case Varias Cores ,24,NA,"
			
				Novo
			
			
				
					 - 
				
				38
				vendidos
			
		",(962 disponíveis),"
	
		
			
		

		4x 
		
			
				R$ 600

			 sem juros
			
		
	


	
		",00,Envio para todo o país,NA,NA,NA,5.0,1,https://perfil.mercadolivre.com.br/SC+ACESSORIOSPARACELULAR,https://produto.mercadolivre.com.br/MLB-1086472111-capa-case-capinha-apple-iphone-kpop-bts-bangtan-boys-_JM?searchVariation=26612627399,NA,NA,NA,NA,NA,#1086472111,SC Acessórios,Apple,Iphone,TPU com estampa UV,TPU com estampa UV,NA
32, Capa Capinha Ultrafina Apple iPhone 8 4.7 Case Slim Flexível ,64,NA,"
			
				Novo
			
			
				
					 - 
				
				22
				vendidos
			
		",(99 disponíveis),"
	
		
			
		

		12x 
		
			
				R$ 621

			 sem juros
			
		
	


	
		",21,Envio para todo o país,NA,Devolução grátis,Você tem 10 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/STORECCS,https://produto.mercadolivre.com.br/MLB-1134696586-capa-capinha-a-prova-de-agua-shock-areia-iphone-5-6-7-8-x-10-_JM?searchVariation=29936208704,NA,NA,NA,NA,NA,#1134696586,Extreme.Deal,Apple,Iphone 6 6s 7 7 Plus,A prova de Agua,A prova de Agua,Silicone
