search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del Celular,Modelo del Celular,Marca de la Funda,Modelo de la Funda,Tipo de funda,Material,Fabricante
1, Ringke Fusion Case Funda Rigida iPhone 7 / 8 Bumper + Mica ,199,NA,"
			
			
				
				207
				vendidos
			
		",(25 disponibles),"
	
		
			
		

		12 meses de
		
			
				$ 1966

			 sin intereses
			
		
	


	
		",66,NA,Envío gratis,Devolución gratis,Tienes 10 días desde que lo recibes,4.7,31,https://perfil.mercadolibre.com.mx/RINGKE.MX?brandId=873,https://articulo.mercadolibre.com.mx/MLM-566187365-ringke-fusion-case-funda-rigida-iphone-7-8-bumper-mica-_JM?searchVariation=29753835855,25,4,0,2,0,#566187365,Apple,iphone 7 / iphone 8,Ringke,Fusion,Alta resistencia,POLIMERO HIBRIDO ALTA RESISTENCIA,REARTH RINGKE
2, Funda Apple iPhone 8 - Nillkin Magic Case Magnética ,699,NA,"
			
			
				
				81
				vendidos
			
		",(4 disponibles),"
	
		
			
		

		18 meses de
		
			
				$ 3883

			 sin intereses
			
		
	


	
		",83,NA,Envío gratis,Devolución gratis,Tienes 10 días desde que lo recibes,4.8,4,https://perfil.mercadolibre.com.mx/DEWESI_OFICIALES?brandId=1898,https://articulo.mercadolibre.com.mx/MLM-592289406-funda-iphone-7-plus-8-plus-love-mei-powerful-de-uso-rudo-_JM?searchVariation=22653876064,3,1,0,0,0,#592289406,Apple,iPhone 8 Plus / 7 Plus,LOVE MEI,Powerful,Uso Rudo,Aluminio,Love Mei
3, Funda Tipo Piel Leather Case iPhone 6 7 8 Plus X Max Xr +mic ,167,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5071
				vendidos
			
		",(11 disponibles),"
	
		
			
		

		18 meses de
		
			
				$ 930

			 sin intereses
			
		
	


	
		",30,Envío a todo el país,NA,Devolución gratis,Tienes 10 días desde que lo recibes,4.7,123,https://perfil.mercadolibre.com.mx/TEKKNOSHOP,https://articulo.mercadolibre.com.mx/MLM-633555603-funda-silicon-iphone-5-6-6s-7-8-plus-x-xs-max-xr-24-colores-_JM,104,10,5,1,3,#633555603,Apple,"iPhone 5, 6, 7, 8, X, 6+, 6S+ XS",Apple,Silicon Case,Silicon,Silicona,Apple
4," Funda iPhone X, iPhone 8 Plus, iPhone 7 Plus, iPhone 6 Plus ",269,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1798
				vendidos
			
		",(61 disponibles),"
	
		
			
		

		18 meses de
		
			
				$ 1494

			 sin intereses
			
		
	


	
		",94,NA,Envío gratis,Devolución gratis,Tienes 10 días desde que lo recibes,4.8,114,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-623748083-funda-tipo-piel-leather-case-iphone-6-7-8-plus-x-max-xr-mic-_JM?searchVariation=32254170260,92,17,4,1,0,#623748083,Apple,6 6s 6 plus 6s plus 7 7 plus 8 8 plus X Xs Xs max Xr,Mikki,Business Leather,Protector,TPU,NA
5," Funda 360 iPhone 6, 6 Plus, 7, 7 Plus, 8, 8 Plus X + Cristal ",20,NA,"
			
				Nuevo
			
			
				
					 - 
				
				979
				vendidos
			
		",(655 disponibles),"
	
		
			
		

		18 meses de
		
			
				$ 111

			 sin intereses
			
		
	


	
		",11,Envío a todo el país,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/SHOP-TECHLIFE,https://articulo.mercadolibre.com.mx/MLM-646406677-fundas-y-cristal-templado-por-mayoreo-_JM,NA,NA,NA,NA,NA,#646406677,Apple,Iphone 8 | 7 | 6 | SE | 5s,Shock-Proof Suit,Gorilla Bumper Armor Case + Glass Protector,Glass Protector,Plástico,Apple
6, Funda Silicon iPhone 5 6 6s 7 8 Plus X Xs Max Xr 24 Colores ,199,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3357
				vendidos
			
		",(3035 disponibles),"
	
		
			
		

		18 meses de
		
			
				$ 1106

			 sin intereses
			
		
	


	
		",06,NA,Envío gratis a todo el país,Devolución gratis,Tienes 10 días desde que lo recibes,4.8,243,https://perfil.mercadolibre.com.mx/BENNY2711,https://articulo.mercadolibre.com.mx/MLM-558302579-funda-iphone-55sse-6-6s-7-8-x-y-plus-xs-max-xr-regalo-_JM?searchVariation=34126119426,201,34,7,0,1,#558302579,Apple,iPhone 5 iPhone 5s iPhone SE iPhone 6 iPhone 6s iPhone 6s Plus iPhone 7 iPhone 7 Plus iPhone 8 iPhone 8 Plus iPhone X iPhone XS iPhone XS Max iPhone XR,Ultimate experience,Rugged Armor,TPU Silicona,Silicona,Apple
7, Funda Marmol Sujetador Pompon iPhone 6 7 8 Plus X Xr Xs Max ,349,NA,"
			
				Nuevo
			
			
				
					 - 
				
				10
				vendidos
			
		",(3 disponibles),"
	
		
			
		

		18 meses de
		
			
				$ 1939

			 sin intereses
			
		
	


	
		",39,NA,Envío gratis,Devolución gratis,Tienes 10 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/TODO+FUNDA,https://articulo.mercadolibre.com.mx/MLM-633787458-funda-vrs-duo-guard-hard-case-iphone-7-8-alto-impacto-_JM,NA,NA,NA,NA,NA,#633787458,Apple,iPhone 7 | iPhone 8,VRS Design (Verus),Duo Guard,Rugerizada,TPU/Policarbonato,VRS
8, Funda Tipo Piel Leather Case iPhone 6 7 8 Plus X Max Xr +mic ,269,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1798
				vendidos
			
		",(61 disponibles),"
	
		
			
		

		18 meses de
		
			
				$ 1494

			 sin intereses
			
		
	


	
		",94,NA,Envío gratis,Devolución gratis,Tienes 10 días desde que lo recibes,4.8,114,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=gYBhp7lLQqR1XGxgcGG5oJYISuiDJ%2B%2Fgbid3UXVbcrLaEmbRAnaamA7UT6%2BR7CEsK6kkwcuqAuyu4TeLTIONihEObRdzHZrw1JlOCBJUdZ22pFr1n04zkgTEhzfiD8q01nNPjPqOc6d2r8NceWqAqsvl9R%2FP24yNAJSuhuVLE4HbMQBPjKUbTXvgyEuJhWA9S3G6LIcHPcJJsJxQyKxvJj9L0yUTUzg9H%2FTbZtG8ZRzCEB5cobQBnReRNdsVGV%2FDrj02tUuvoqN6W4b8%2F%2FMXAm47B9g7fqm8n1xyq%2FT%2FACFW%2BDdBGQ6QZib4zGq3KAFMOzZMMbYpP0sp%2FYm1HMC5fNJOCqF4RXt5tk85kq3vervqSAz8bhmn9BWY6dnzxis15KJAJGac%2BQBY0DRfzcJ8ZbFcxzD2Q08x4X6N7ZwFoJsCL8auDhXPb%2B55nj%2Fi%2FG1wD7blv6e8daFFxzTl39I5p09%2BEJF7rIwzO2mSBtH5QGj7QeaQEM64Xhm%2FsZw5xm3dUarRitiRpIyxxcBgfGV8YaBYFz9pMouL%2FDql2M3yMM8I2S3Y1iQG82k22k9vYDD7P73fCsyR8MJFGpYMoDQ%2FIPHgK9%2FfLW7Fr7a6PCPPxh3qlWpHcOgpboGe14GE3TABrtbNJAPvkVfT%2F2IGlrfwjfmfYKOV3DDyA7e7gXRYv2eX8DoKikrIWA55Ftyzjj7il%2BoAXX6N4Zz9duA4updr00PhZB8KjdzsgUmiNU%2F9DhbVMqGy5ODYoQTGHuLhCG94xQHM42ZOkZn99bN6RilgsAmWDQk%2B%2BYOJaYb8OdZH2kP3zn5LRS%2BZh1yj%2Bmh52LUUhAOPPbmgosYcoogupgOP%2BuF7Ng7mNBhPg%2BULivxLTk9gB4B%2BMeHR7u03Zp9RPV4G74a4Tr%2BIBEDItImfWaXuYw1q%2FORS66GI2rLX%2FQF2snZwSz6kXQt9d26VDhOiKV4sTPowMNA%2FvpIq7ZlVoS1C2dBtj%2BTl3XPzx2Bj3SFrpxuOXT6HYmMI8Brn%2FVP5uv5u1NqqvTd5wSJmb7U%2F6c%2FZrLTRpwkYzYLQ9ip3ioQrH8QnJvLl4ZTprWdA9leOEasbOqAvDu3mSLERgjmX08tliACbKWn6Yt9u7L1M2wl%2BN1VYSkN3bJAAMXErmQwaKowO%2FRzWw7KHGdJxoUj0p90dibcWuge%2FJFdzEkG8fjP6oggnzfRiYIDI%2B2sSTJgZpCtnlYIRGmQUrtn0zkAOr9iS8zsCAZQN4wPyjD5Q9kxTGOhywr9ItoKbXu8l8OIEDKjwKQqFB036GShOGpoZhKbMSf7XY8xN8rB5rYW%2F8%2Bv9xyXGLvt%2BBs7zzYzzVmYpklHU5LuGnGGmSxtqwhVC6vBG%2Bx3JcDkOKZM5WV%2B6lEmdZlM7rTYuE%2FAIl1GrgITbGUnQDfW8pv5kGY4mcg1XOVr9T7Hf%2B2xaPuyluBCg1uNmMBes%2F9JW6C7OiZr1spileRClrEYIyqcE8RWZdtg83H4CDYdFxeGKZuskjuYFlp1ET1jkLI3jwLRL7XBYt9oiVnfv3q4rsfLT5mmBMe5M%2BHlcI301ROy%2BB4QHDSIyUn7XGqI5meh5OwXqRGBbW2ruiZnBUyzMkdJNtYVxEJiDdxuFiilNzbfjqboK64zW,92,17,4,1,0,#623748083,Apple,6 6s 6 plus 6s plus 7 7 plus 8 8 plus X Xs Xs max Xr,Mikki,Business Leather,Protector,TPU,NA
9, Funda Uso Rudo Transparente Air Cushion I iPhone 7 | 8 ,189,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1673
				vendidos
			
		",(21 disponibles),"
	
		
			
		

		18 meses de
		
			
				$ 1050

			 sin intereses
			
		
	


	
		",50,NA,Envío gratis,Devolución gratis,Tienes 10 días desde que lo recibes,4.4,65,https://perfil.mercadolibre.com.mx/PISITOU+TEAM,https://articulo.mercadolibre.com.mx/MLM-590869446-funda-case-360-iphone-8-8-plus-7-7-plus-6-6s-6-x-_JM?searchVariation=21075473347,45,9,6,2,3,#590869446,Apple,"IPHONE 7, IPHONE 7 PLUS",360,iPhone,FUNDA CASE BUMPER,Plástico,IPHONE
10, Funda Uso Rudo Antigolpes Camuflaje iPhone 5 6s 7 7+ 8 8+ X ,330,NA,"
			
				Nuevo
			
			
				
					 - 
				
				731
				vendidos
			
		",(35 disponibles),"
	
		
			
		

		18 meses de
		
			
				$ 1833

			 sin intereses
			
		
	


	
		",33,NA,Envío gratis,Devolución gratis,Tienes 10 días desde que lo recibes,4.9,16,https://perfil.mercadolibre.com.mx/FLIG2855199,https://articulo.mercadolibre.com.mx/MLM-639416252-funda-marmol-arcoiris-sujetador-iphone-6-7-8-plus-xr-xs-max-_JM?searchVariation=32045615191,14,2,0,0,0,#639416252,Apple,iPhone 6 6s 7 8 Plus X XS XR XS MAX,iPhoneMX,marmol soporte arcoiris sock sujetador tornasol galaxia marble negra blanca lila morada dama caballero niño niña mujer hombre love amor pop pareja novios,Case Protector Resistente,Goma Dura,NA
