search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potência de saída (RMS),Tipos de filtros do alto-falante,Formato do alto-falante,Largura,Profundidade,Altura,Voltagem,Tipos de alto-falante,Lugares de colocação,Configuração de canais,Conectores de entrada,Linha,Quantidade de alto-falantes,Sensibilidade de entrada,Cor,Resposta máxima em frequência,Resposta mínima em frequência,Peso
11, Caixa De Som Amplificada Bluetooth 100w Rms Microfone Fm Sd ,284,NA,"
			
				Novo
			
			
				
					 - 
				
				277
				vendidos
			
		",(25 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2375
		
		 sem juros
		
	

	
		",75,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,14,https://perfil.mercadolivre.com.br/LOJA10.ML,https://produto.mercadolivre.com.br/MLB-1147070957-caixa-de-som-amplificada-bluetooth-100w-rms-microfone-fm-sd-_JM,8,6,0,0,0,#1147070957,XTrad,XDG-26,100 W,Ativo/Passivo,Caixa,NA,NA,NA,NA,"Woofer, Subwoofer, Tweeter",NA,2.1,Auxilar P2. Bluetooth. Micro SD. USB. FM,Portátil,4,85 dB,NA,NA,NA,2.6 kg
12, Caixa Som Musica Caixinha Smartphone Android Bluetooth ,39,NA,"
			
				Novo
			
			
				
					 - 
				
				1465
				vendidos
			
		",(161 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 731
		
		 sem juros
		
	

	
		",31,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,80,https://perfil.mercadolivre.com.br/ACME+ELETRONICOS,https://produto.mercadolivre.com.br/MLB-910970810-caixa-som-musica-caixinha-smartphone-android-bluetooth-_JM,71,8,1,0,0,#910970810,Wireless Speaker,HF-Q3,5 W,Ativo/Passivo,Caixa,9.5 cm,9.5 cm,10.8 cm,5V,Woofer,Mesa,2.1,USB,Portátil,1,NA,NA,NA,NA,480 g
13, Caixa De Som Speaker Google Home Mini 2019 Em Portugues ,207,NA,"
			
				Novo
			
			
				
					 - 
				
				612
				vendidos
			
		",(9648 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1988
		
		 sem juros
		
	

	
		",88,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,24,https://perfil.mercadolivre.com.br/RODOLFOSANTOSMOTTA,https://produto.mercadolivre.com.br/MLB-1204735042-caixa-de-som-speaker-google-home-mini-2019-em-portugues-_JM,23,1,0,0,0,#1204735042,Google,Home Mini,2 W,Passivo,Caixa,"3.86 """,NA,"3.86 """,NA,caixa,multiplos,mono,USB,NA,NA,NA,NA,NA,NA,350 g
14, Kit 3 Caixa Som Bluetooth Torre Amplificada - Mp3 Usb Fm Top ,90,NA,"
			
				Novo
			
			
				
					 - 
				
				41
				vendidos
			
		",(959 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 750
		
		 sem juros
		
	

	
		",50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/LUCRIMAXTENDNCIAS,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=O3EN1RdGz0GptCB2VK8gscGsIcBtzZi7glXl%2BG2ZZJ9SUhuyIEuVBDoljIq%2BJcuOv8mRr%2BszNcKss1Q%2BMT19Cy4tMFOlprTVHOGnllA2OzD%2B9GyapDQBWArxcyux4DK%2BqzcP%2F27comSOjL71bf5YBteawzOjMPM%2FSYWXQLtDT3ZBQXNi7Kyyat4BDvGC%2FYipjJBcPWEGoxMA%2BVUbQQfp1wdxtQxLdiN%2F%2FlrDzMhnFqha9ZI2MtNQ2OM%2BTvLEo2yid2UIkEjfAFoHjPabU9e%2BAOtBTmrLX6SY1khxuo6dANSCpp9TWSah7LnG6YVRP%2Bz92pRPm%2FaqVwW5tEyJYS3YGWGw3pVL%2BL5pFIJKVdJWCoe5%2BrPN8ucbWlW71EO8WqExvWV9DxZn8RE6fECuyWqwYZcTDqOpY2hmCkCdcFul8H%2BrWjQTdpqLrbxz2yOzxla%2B2OMxjz2lMSNtcWxGWrS3aV9Ir4rpo9YctzEqI85kfE2ZwdIz3cvcBClgRQZ0o3gNB8yHvFAKd%2B8YL3fahFBwk8c6NdVJu6fyhJAeFmUk1OLbz55FhGMhkt1fNQMJb1TalfU6yUxCn3KsAvIiiVpsxcGIUuFCYrZn8l%2B8PyT%2FHhfHQ7xzCR1z3ZvWOL5i1lfLa0keeQFJEP6%2ByvF6iZ%2FKg24QqgBHJGl1OYvfJXsjcUd8sUZNrgr3e3I8gfVkxd2E943Z2kX%2B0XVB8xyhCjRjHDZFZiyEFCKgDOzRe8tCFBWyR1wfzdg9bGO98zvqDiVGG7q%2BTMcDk1UFooTaM4JTOLLzxo0lYKfBALwTIAKSLvkqVOkFaTinq%2Fb2bG15vBObp1aamdYO2k9NWkMnwg0ufTEpsdee9a5bAl1%2BonkrFdnt%2F143v77pTRzFoEWr2LP8Eny74djJaP4ZCrBuGgHG4lksZj53Tzy6sNHkI9nqfp833fERdenlUDOu8jxoium8sKjo100khbaqjrrkZft3DZKVs32mbLB7HvNmO1JxIm9BgKCs0Mw28zOnUOfU%2FHzeclC7a4Pv8YFqX%2FIQWHFaiXDpeWlMeWCFUb954N4mPAFO72dNAjn0QOdiGyIPf5YDx1MredxeWnOHGzFHed3TyJEQNp6wI7X%2FhmjvGyZDbHsSqCWT8fKLMNk8%2BSiIfB6wZHxrwTWgZXqwXiwHf%2BgiKZVmw9zZSjMDhV9rgxE7mdw5A%2FoaN%2BlljfvojirSwUtDyGW%2FwISPir5aC3JXbm3pnz8F%2BNeXH9fWCgTSPuI8WrWcx0Fv8UkYIzIHJe%2BQ7PpT%2FXAAhbV%2FbmEVKFq1OUmknDenQB8sZCr2qz1L%2FKExOIdltLkHNzdrXVOBfUKcR71VK9YMiHYkaxiWlBJobZli5HjG%2BkKLlOWqVQGWm%2Bf1UfaoFcKLtBOZqG%2FGiCZqgQqqtyUjqYXtme6hARFyeXWDMmCVCu%2FfWbO25Hn%2BI73Mf%2FfbU7iCOoDp%2BwmemkUtwl%2FRiyyrWxSaZDpblCfsAxOXW6ImtByhMcIsRiZ6yUWKQIroVSuwJ6mCB%2B6%2FJG6k9OVM1sMUCWxpN2LngnAFVRluFv2bNpZze6TneJEfS3KBqKUwSzSISE1nkvG19NBb0%2Bkmg5YzJvcFX1mQqm32vdzYJXmWv06yDm9B%2Fjasd9RLlLUYI%2Bi5ifa1FcIxarkiz4Pem1cuj14Ge%2FHULK%2FyAItsZDcu3HZOYd9wuRPzEigJNCI7WgbtqGKhWagEVX5O4bDhHEYItrSVvQgbYDZNpy3juMfScS8XVITk4qXt03jUW6Tuv3j6t5nuIYE7hO%2BpJlXPbjJDVk5h2abXguQdTK6udSQa39AX10Ebi9aYvwcn%2BUs5TGs4Qgpt7WxS7i7es7f0c47CrX2BjrZLBl3XUg%3D%3D,NA,NA,NA,NA,NA,#1244442589,Goldenultra,Torre,10 W,Ativo/Passivo,Caixa,NA,NA,NA,NA,Subwoofer,Todos,5.1,USB,NA,NA,NA,NA,NA,NA,NA
15, Caixa De Som Amplificada Bluetooth 2000w Fortress Sumay ,699,NA,"
			
				Novo
			
			
				
					 - 
				
				809
				vendidos
			
		",(13 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 5833
		
		 sem juros
		
	

	
		",33,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,72,https://perfil.mercadolivre.com.br/SANBOX-BR,https://produto.mercadolivre.com.br/MLB-919482965-caixa-de-som-amplificada-bluetooth-2000w-fortress-sumay-_JM,64,2,3,0,3,#919482965,JBL,Caixa Amplificada Bluetooh,200 W,Ativo,Caixa,NA,NA,NA,110/220v,NA,NA,NA,USB,NA,01,NA,NA,NA,NA,7 kg
16, Caixa De Som Speaker Google Home Mini Wi-fi Vitrine ,174,NA,"
			
				Novo
			
			
				
					 - 
				
				765
				vendidos
			
		",(3 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1458
		
		 sem juros
		
	

	
		",58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,29,https://perfil.mercadolivre.com.br/CLICOU_TELECOM,https://produto.mercadolivre.com.br/MLB-1137932763-caixa-de-som-speaker-google-home-mini-wi-fi-vitrine-_JM,22,5,1,0,1,#1137932763,Google Home Mini,Google Home Mini,3 W,"Caixa de som, Speaker",Caixa,NA,NA,NA,NA,"Caixa de som, Speaker, Assistente Pessoal","Mesa, escritorio, sala, quarto",5.1,NA,NA,1,NA,NA,NA,NA,NA
17, Caixa De Som Portátil Jbl Wind P/ Moto E Bike P2 E Bluetooth ,158,206,"
			
			
				
				620
				vendidos
			
		",(209 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1516
		
		 sem juros
		
	

	
		",16,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,875,https://perfil.mercadolivre.com.br/GIRO+R%C3%81PIDO?brandId=2104,https://produto.mercadolivre.com.br/MLB-1073888661-caixa-de-som-portatil-jbl-wind-p-moto-e-bike-p2-e-bluetooth-_JM,707,118,34,6,10,#1073888661,JBL,Wind,3 W,Ativo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 kHz,20 Hz,NA
18, Caixa Som Bluetooth Portátil Amplificada Torre Fm Sd Mp3 Usb ,32,NA,"
			
				Novo
			
			
				
					 - 
				
				1065
				vendidos
			
		",(3 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 610
		
		 sem juros
		
	

	
		",10,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,37,https://perfil.mercadolivre.com.br/MEGA+EXOPLANET.SHOP,https://produto.mercadolivre.com.br/MLB-1174117073-caixa-som-bluetooth-portatil-amplificada-torre-fm-sd-mp3-usb-_JM,34,2,1,0,0,#1174117073,Goldenultra,GT-515bt,10 W,Subwoofer,Redondos,NA,NA,NA,NA,Subwoofer,Portátil,2.1,USB,BLUETOOTH,2,80 dB,NA,15000 Hz,150 Hz,NA
19," Caixa De Som Jbl, Wind, Bluetooth, 3 Watts, Preto - Jblwind ",169,NA,"
			
			
				
				1205
				vendidos
			
		",(247 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1411
		
		 sem juros
		
	

	
		",11,NA,Envio para todo o país,NA,NA,4.8,115,https://perfil.mercadolivre.com.br/GLOBALDISTRIBUIODEBENS?brandId=1397,https://produto.mercadolivre.com.br/MLB-1068923654-caixa-de-som-jbl-wind-bluetooth-3-watts-preto-jblwind-_JM,95,13,5,0,1,#1068923654,JBL,28910851,3 W,Ativo,Caixa,NA,NA,NA,NA,Woofer,"Moto, bicicleta",0,NA,NA,1,NA,NA,NA,NA,340 g
20, Caixa De Som Amplificada 300w Bluetooth Microfone Usb Sd Fm ,599,NA,"
			
				Novo
			
			
				
					 - 
				
				1
				vendido
			
		",(499 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 5000
		
		 sem juros
		
	

	
		",00,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/MEGA2019,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=zmkXAs054PF%2Bwgywe4wvKraGpbd09pBeED6gANOaq67EU4eroBVoGJke6j9m8Oj9C3Uz%2BI4JdEEFQOhKt26Ddhr4r4tOntjCsprWxX9sWNqzzG%2FKqd7lbT%2Fk%2BNSxA7wTOU04QIIwtzqeXTBtS%2F89AiR9%2FzExv68X4CjDZR%2F8KlLMRraDFQ2vm%2FGX3X5ObQgu0wEzqg8DcgWaluR67IrpE5N2xVAk2qCv2Kiyf9Jy3guqO4UplFhT73CPjGMKjoBIsgbC3uP0zAauRfnF47MQxM0mdFQ5kI8yQRW1bSBlVLt6ZOev0x2U6DoipLJBG%2Fo8Ahde0rJqQBnjenSThDXKaqhAr0wO%2BR2NPo%2FrlbzLTw11lxK0YntK9reQcvwcd25%2FbCcat5eeFMrfGCEwSfLGKw%2BQ8PwF%2By9iEgU6%2FKYUcy%2BrPP3%2FV6FY2YNkb5kG%2BUffVxc3%2Fc0vjTIYYmfP30oY6%2FwR7lGovJRlrB%2FWSiY%2BsYsGSa16BIbA0jZpRNS37htO6i%2BWlFKvSWvuIfbDGHGsxzrG0wYkTUqsUzD%2FkwoDR7HfcgcZb15iWL9ID6lpMdgGvHykBvdLMHJFk4sqtC8Qw5wmKdgYLnOA8M2gM3GW%2F4%2BXlrh8DICrSkNB9K7ScV2ZxBSrsMb4AVs%2BnqCksv%2FxxVlhh8dFOHEp%2FpCFp0Lo1zsMdU4sSAFnBVwYrmBCyxtBE4dDah5a7hBW9wuU2qOXxyfmUBHi%2FkFZ0Pg92YbrPfFLUUEEVxdGOwfUzeL8M18YRgOtz0Iy%2BaT8mX7xNaZR2%2FBU3FHo26n5UmK5J%2BMCBhEHco9RbqhhE0WM1JNmldSOZN1glshNtw1cZn3IRQaUq89hJk1hNEHGJtlBwqqF9rsUW2u%2FXv1EMpbCZx71x1efFMw6TRDupg5qBIUFFzPssr1uQt7W6uZLrxLY1K2eAp%2FHuNzmxfh8nXt%2FG%2FW6RUl%2Fb07P5HOKvcFH7PELcsKRWoZoFxnOpeaubxHCCN8vXuB6tFE%2BdsGygkKjZHw37GalwyksMJ6oOd9GWTALL3WnfVJEXdAdcQZffrkxn6FUVOgKkOdJERb6k7S00CV50JHhUMLfGeO1KMdXXv4q8RhCt6ohO68Vkz2YIicgec5gf7qWUJ1dejwctCLkO%2BU5Hzj%2F6M9tgKPTZc5rX9tE40uQIVZOa8aXtDZM8c3wDpcirgLObaTF%2F04NwEkvlCpLDo4W%2B2dZW%2F6ZkGEl9w%2FPxqsCHSF4BDB%2BUye%2FYyAzBmRDFSDf0uC%2Bd7HURUx1UXINJkS3H74MysUx%2Fj5Cyb7SCwahQor49MQj555KK74%2Fs34uHHKgN6ozDD83FqEhS70ZA4qyzxNa614ArmoCXRUocT5e3u6tfLL18t0w%2BdcD236V7bKKxB5zePrzmdiKHYZMoyM5eZw1TVZwdOtsvZFSf3Vt%2Bzr2ZM8opY%2FEMd%2FmP8zltVxqQv%2FN8CereqWRZXJynGP%2Fh7mIWA60y1OlPFubXnP3HdwueHtLv4LcJmHwtDhcGhV2v5DAhBICApp1FSwfzPJKJzGg8v7%2BlNbLD2SfsDX4JWQFrAMu7sMGNp7TAhG9zA5vSNzxLoCy6etb1jyGiHR2pbtdZRuMSi9pzHShyJQJfEEf%2Bm0LHRY2nfMgIPiOxOAPe8GD8PzQgZvIouGC4LRkn4cWn1tTuwlgCrwDDC6dpKw69Bzq6smgSln8KgtQAopgqkGt2zYxzrxvASK7aIS2hEMPb7FUY6DTNPVsjoRgji9Vqan9WyDn%2BjL%2BpD2UNAQpf7NwhgHnGh%2FtbUT0i%2BrcbLhwNbJ%2BrdoPve8iKcGDyEz3J5elj6gAMvJLr6JcVzXJv5Rd2olTlTx3sU8lvHvqXcoQQLf7nuvUE1sRS%2FU%3D,NA,NA,NA,NA,NA,#1273740067,GRAZEP,BH3201,100 W,Ativo,Torre,NA,NA,NA,NA,REDONDO,"PRAIA , CASA , CIDADE , SITIO",2.1,USB,NA,NA,NA,NA,NA,NA,NA
